,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,Level1,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,ZIP,ZIP5,nteeFinal
9566,150 BEEKMAN ST FL 3,NEW YORK,0,33922,113278319,36308,36061.0,150 BEEKMAN ST NEW YORK NY 10038-2015,O,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,A23,0.0,33922,NY,150 BEEKMAN ST,10038-2015,10038.0,A23
9625,200 MADISON AVENUE,NEW YORK,50000,0,113395787,73982,36061.0,200 MADISON AVENUE NEW YORK NY 10016-3903,O,MEDICAL ADVERTISING HALL OF FAME INC,A50,66000.0,86043,NY,200 MADISON AVENUE,10016-3903,10016.0,A50
9669,2227 33RD ST,ASTORIA,0,29080,113477797,71450,36081.0,2227 33RD ST ASTORIA NY 11105-2402,O,SYLLOGOS KRETON MINOS INC,A23,5550.0,40060,NY,2227 33RD ST,11105-2402,11105.0,A23
9980,125 BARCLAY ST,NEW YORK CITY,0,0,116042353,93703,36061.0,125 BARCLAY ST NEW YORK CITY NY 10007-2233,O,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,102597.0,102701,NY,125 BARCLAY ST,10007-2233,10007.0,A50
10020,10916 JAMAICA AVE,RICHMOND HILL,60621,0,116102176,247571,36081.0,10916 JAMAICA AVE RICHMOND HILL NY 11418-2334,O,NATIONAL ASSOCIATION OF LETTER CARRIERS,A23,187888.0,187888,NY,10916 JAMAICA AVE,11418-2334,11418.0,A23
10089,432 PARK AVE S FL 6,NEW YORK,2010204,0,130417765,5206220,36061.0,432 PARK AVE S NEW YORK NY 10016-8013,O,ADVERTISING RESEARCH FOUNDATION INC,A03,5492583.0,5651131,NY,432 PARK AVE S,10016-8013,10016.0,A03
10119,50 E 42ND ST RM 506,NEW YORK,0,0,130453215,159763,36061.0,50 E 42ND ST NEW YORK NY 10017-5436,O,PAINTING & DECORATING CONTRACTORS OF AMERICA,A40,102363.0,267903,NY,50 E 42ND ST,10017-5436,10017.0,A40
10179,31 W 15TH ST,NEW YORK,1500,0,130876693,19567,36061.0,31 W 15TH ST NEW YORK NY 10011-6849,O,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,A23,2883.0,5000,NY,31 W 15TH ST,10011-6849,10011.0,A23
10191,6 E 87TH ST,NEW YORK,155017,173500,130971750,244382,36061.0,6 E 87TH ST NEW YORK NY 10128-0505,O,LIEDERKRANZ OF THE CITY OF NEW YORK,A6A,77521.0,253361,NY,6 E 87TH ST,10128-0505,10128.0,A6A
10233,299 BROADWAY 226,NEW YORK,48119,0,131101367,144281,36061.0,299 BROADWAY NEW YORK NY 10007-1901,O,NEW YORK SOCIETY OF ARCHITECTS,A03,142072.0,143162,NY,299 BROADWAY,10007-1901,10007.0,A03
10272,980 AVE OF AMERICAS 3RD FLR,NEW YORK,20000,0,131374145,41236,36061.0,980 AVE OF AMERICAS NEW YORK NY 10018-0000,O,TEXTILE DISTRIBUTORS ASSOCIATION INC,A40,21500.0,25249,NY,980 AVE OF AMERICAS,10018-0000,10018.0,A40
10312,536 LAGUARDIA PL,NEW YORK,659302,0,131505524,2249797,36061.0,536 LAGUARDIA PL NEW YORK NY 10012-1401,O,AMERICAN INSTITUTE OF ARCHITECTS,A40,712740.0,2527672,NY,536 LAGUARDIA PL,10012-1401,10012.0,A40
10355,1230 AVE OF THE AMERICAS 7THFL,NEW YORK,106608,130496,131589984,220155,36061.0,1230 AVE OF THE AMERICAS NEW YORK NY 10020-1513,O,WOOLMARK AMERICAS INC,A60,131529.0,262885,NY,1230 AVE OF THE AMERICAS,10020-1513,10020.0,A60
10552,326 W 48TH ST,NYC,0,0,131769475,32450,36061.0,326 W 48TH ST NYC NY 10036-1314,O,THEATRICAL MUTUAL ASSOCIATION NEW YORK LODGE-1,A65,2150.0,5514,NY,326 W 48TH ST,10036-1314,10036.0,A65
10702,1000 5TH AVE,NEW YORK,11400,0,131956457,378742,36061.0,1000 5TH AVE NEW YORK NY 10028-0113,O,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,369241.0,376376,NY,1000 5TH AVE,10028-0113,10028.0,A50
10758,45 W 14TH ST,NEW YORK,0,0,132534897,209763,36061.0,45 W 14TH ST NEW YORK NY 10011-7419,O,PAINTING INDUSTRY FUND BUILDING CORP,A40,146058.0,146215,NY,45 W 14TH ST,10011-7419,10011.0,A40
10951,485 BROADWAY STE FL 5,NEW YORK,0,0,132857251,99051,36061.0,485 BROADWAY STE NEW YORK NY 10013-0000,O,DECORATIVE FABRICS ASSOCIATION INC,A40,49576.0,51548,NY,485 BROADWAY STE,10013-0000,10013.0,A40
10968,360 MADISON AVE 15 FL,NEW YORK,0,0,132877623,117843,36061.0,360 MADISON AVE NEW YORK NY 10017-7111,O,FIXED INCOME ANALYSTS SOCIETY INC HARRHANSEN MGMT INC,A01,112069.0,113509,NY,360 MADISON AVE,10017-7111,10017.0,A01
11089,430 E 57TH ST,NEW YORK,0,0,132989680,100524,36061.0,430 E 57TH ST NEW YORK NY 10022-3061,O,DINNER DANCERS INC,A62,100700.0,100751,NY,430 E 57TH ST,10022-3061,10022.0,A62
11091,243 5TH AVE STE 236,NEW YORK,0,0,132990527,80967,36061.0,243 5TH AVE NEW YORK NY 10016-8703,O,MUSIC PUBLISHERS ASSOCIATION OF THE UNITED STATES INC,A68,81249.0,82911,NY,243 5TH AVE,10016-8703,10016.0,A68
11241,27 W 20TH ST STE 601,NEW YORK,47017,0,133131629,156130,36061.0,27 W 20TH ST NEW YORK NY 10011-3728,O,ADVERTISING PHOTOGRAPHER OF AMERICA INC,A40,161914.0,162003,NY,27 W 20TH ST,10011-3728,10011.0,A40
11245,3625 BAINBRIDGE AVE,BRONX,0,0,133132781,86670,36005.0,3625 BAINBRIDGE AVE BRONX NY 10467-1168,O,3680 HOLDING COMPANY INC,A60,86640.0,86670,NY,3625 BAINBRIDGE AVE,10467-1168,10467.0,A60
11262,LOCAL,JAMAICA,5940,0,133154895,9260,36081.0,LOCAL JAMAICA NY 11435-0000,O,INDIAN DENTAL ASSOCIATION USA INC,A23,1325.0,19,NY,LOCAL,11435-0000,11435.0,A23
11286,420 LEXINGTON AVE RM 2034,NEW YORK,78770,0,133183002,373287,36061.0,420 LEXINGTON AVE NEW YORK NY 10170-0012,O,ARAB BANKERS ASSOCIATION OF NORTH AMERICA INC,A23,433103.0,440369,NY,420 LEXINGTON AVE,10170-0012,10170.0,A23
11326,56 W 45TH ST STE 705,NEW YORK,23400,0,133211019,340052,36061.0,56 W 45TH ST NEW YORK NY 10036-4215,O,INDIAN DIAMOND & COLORSTONE ASSOC INC,A23,307080.0,309180,NY,56 W 45TH ST,10036-4215,10036.0,A23
11366,90 JOHN ST RM 403,NEW YORK,0,0,133251595,85940,36061.0,90 JOHN ST NEW YORK NY 10038-3242,O,GRAPHIC ARTISTS GUILD OF NEW YORK,A40,1937.0,93089,NY,90 JOHN ST,10038-3242,10038.0,A40
11390,201 E 17TH ST APT 28J,NEW YORK,0,1495,133302569,31990,36061.0,201 E 17TH ST NEW YORK NY 10003-3681,O,NEW YORK DIVISION ELECTRIC RAILROADERS ASSOCIATION,A54,28389.0,29955,NY,201 E 17TH ST,10003-3681,10003.0,A54
11408,60 E 42ND ST RM 1341,NEW YORK,0,0,133341914,154196,36061.0,60 E 42ND ST NEW YORK NY 10165-1341,O,GRUPPO ESPONENTI ITALIANI INC,A23,140450.0,141485,NY,60 E 42ND ST,10165-1341,10165.0,A23
11421,3333 HENRY HUDSON PKWY,BRONX,0,5996,133358453,39736,36005.0,3333 HENRY HUDSON PKWY BRONX NY 10463-3224,O,U S S INTREPID ASSOCIATION INC,A12,29285.0,35925,NY,3333 HENRY HUDSON PKWY,10463-3224,10463.0,A12
11424,3 METROTECH CENTER,BROOKLYN,8000,0,133364852,902888,36047.0,3 METROTECH CENTER BROOKLYN NY 11245-0001,O,CORNING GLASS WORKS LTD SALARIED EMPLOYEES,A40,776158.0,792846,NY,3 METROTECH CENTER,11245-0001,11245.0,A40
11443,,,0,760,133395530,111313,36061.0,,O,CHUNG KUO KUO MIN TANG INC,A23,0.0,110248,NY,,10013,10013.0,A23
11447,165 W 46TH ST,NEW YORK,0,0,133398825,0,36061.0,165 W 46TH ST NEW YORK NY 10036-2501,O,ACTORS EQUITY HOLDING CORPORATION,A65,0.0,621745,NY,165 W 46TH ST,10036-2501,10036.0,A65
11461,90 ELIZABETH ST,NEW YORK,0,0,133418616,118649,36061.0,90 ELIZABETH ST NEW YORK NY 10013-5566,O,CHINESE WEN CHOW ASSOCIATION INC,A23,7980.0,120561,NY,90 ELIZABETH ST,10013-5566,10013.0,A23
11494,79 BAYARD ST 2/FL,NEW YORK,0,0,133471375,15896,36061.0,79 BAYARD ST NEW YORK NY 10013-4806,O,NEW YORK CHINESE AMERICAN BANKERS ASSOCIATION INC,A23,18500.0,15237,NY,79 BAYARD ST,10013-4806,10013.0,A23
11521,470 PARK AVE S FRNT 2,NEW YORK,35999,0,133498699,76136,36061.0,470 PARK AVE S FRNT NEW YORK NY 10016-6819,O,GLOBAL PUBLIC AFFAIRS INSTITUTE INC,A01,134500.0,134733,NY,470 PARK AVE S FRNT,10016-6819,10016.0,A01
11533,13 E 16TH ST FL 6,NEW YORK,283095,0,133506309,929465,36061.0,13 E 16TH ST NEW YORK NY 10003-3114,O,UNITED STATES ASSOCIATION OF IMPORTERS OF TEXTILES AND APPAREL,A40,485995.0,932201,NY,13 E 16TH ST,10003-3114,10003.0,A40
11549,LOCAL,NEW YORK,1000,0,133520340,50550,36061.0,LOCAL NEW YORK NY 10001-0000,O,GRUPPO RISTORATORI ITALIANI INC,A23,49991.0,50032,NY,LOCAL,10001-0000,10001.0,A23
11588,PO BOX 872,NEW YORK,0,0,133568008,31959,36061.0,,O,PRIVATE ART DEALERS ASSOCIATION INC,A03,30550.0,31025,NY,,10021-0002,10021.0,A03
11621,522 FIFTH AVE,NEW YORK,0,0,133597634,2273582,36061.0,522 FIFTH AVE NEW YORK NY 10036-7601,O,TREMONT LAND HOLDING COMPANY INC,A60,5383607.0,9825107,NY,522 FIFTH AVE,10036-7601,10036.0,A60
11704,545 8TH AVENUE 12FL,NEW YORK,5850,0,133670200,62641,36061.0,545 8TH AVENUE NEW YORK NY 10018-4307,O,KOREAN APPAREL MANUFACTURES ASSOC OF GREATER NEW YORK INC,A23,96208.0,96208,NY,545 8TH AVENUE,10018-4307,10018.0,A23
11733,245 PARK AVE,NEW YORK,0,0,133698552,3440000,36061.0,245 PARK AVE NEW YORK NY 10167-0002,O,QUEENRHIS FUNDING COMPANY,A60,0.0,3440000,NY,245 PARK AVE,10167-0002,10167.0,A60
11797,PO BOX 757,NEW YORK,0,0,133761506,51134,36061.0,,O,GUITAR AND ACCESSORIES MARKETING ASSOCIATION INC,A68,66000.0,32835,NY,,10033-0595,10033.0,A68
11811,322 8TH AVE FL 21,NEWYORK,0,60070,133772271,85873,36061.0,322 8TH AVE NEWYORK NY 10001-6763,O,LEAGUE OF OFF-BROADWAY THEATRES AND PRODUCERS INC,A65,34502.0,94572,NY,322 8TH AVE,10001-6763,10001.0,A65
11821,PO BOX 5005,NEW YORK,0,0,133781444,3813416,36061.0,,O,WALNUT CREEK PROPERTIES INC,A23,6855569.0,6858262,NY,,10163-5005,10163.0,A23
11843,522 5TH AVE,NEW YORK,0,0,133801078,1279292,36061.0,522 5TH AVE NEW YORK NY 10036-7601,O,MOONLITE FUNDING COMPANY,A60,0.0,1279292,NY,522 5TH AVE,10036-7601,10036.0,A60
11868,915 BROADWAY STE 1400,NEW YORK,0,0,133835380,7028,36061.0,915 BROADWAY NEW YORK NY 10010-7176,O,COMMITTEE OF FRENCH SPEAKING SOCIETIES INC,A23,2529.0,6526,NY,915 BROADWAY,10010-7176,10010.0,A23
11885,136 30 MAPLE ST,FLUSHING,0,129930,133853865,107604,36081.0,136 30 MAPLE ST FLUSHING NY 11355-3865,O,AMERICAN ASSOCIATION OF CHINESE PHYSICIANS,A23,0.0,129930,NY,136 30 MAPLE ST,11355-3865,11355.0,A23
11914,PO BOX 3165,NEW YORK,0,0,133873175,31852,36061.0,,O,NETWORK OF INDIAN PROFESSIONALS INC,A23,40600.0,40600,NY,,10163-3165,10163.0,A23
11933,245 PARK AVE,NEW YORK,0,0,133893891,9453152,36061.0,245 PARK AVE NEW YORK NY 10167-0002,O,SIXTH AVENUE ML COMPANY INC,A60,0.0,9453152,NY,245 PARK AVE,10167-0002,10167.0,A60
12008,1251 AVE OF THE AMERICAS 35TH FLR,NEW YORK,0,0,133975917,0,36061.0,1251 AVE OF THE AMERICAS NEW YORK NY 10020-1104,O,CRYSTAL CREEK INVESTMENT GROUP INC,A23,0.0,1545820,NY,1251 AVE OF THE AMERICAS,10020-1104,10020.0,A23
12039,245 PARK AVE,NEW YORK,0,0,134005504,5049661,36061.0,245 PARK AVE NEW YORK NY 10167-0002,O,RIDGEWAY FUNDING COMPANY INC,A60,0.0,5049661,NY,245 PARK AVE,10167-0002,10167.0,A60
12063,3 W 18TH ST,NEW YORK,0,0,134017838,35138,36061.0,3 W 18TH ST NEW YORK NY 10011-4610,O,ASSOCIATION OF MUSIC PRODUCERS INC,A68,32125.0,32125,NY,3 W 18TH ST,10011-4610,10011.0,A68
12222,501 W 42ND ST,NEW YORK,32410,0,134192352,558997,36061.0,501 W 42ND ST NEW YORK NY 10036-6205,O,ARCHITECTURAL IRON REALTY CORP,A40,204700.0,204700,NY,501 W 42ND ST,10036-6205,10036.0,A40
12251,45 E 85TH ST,NEW YORK,29280,63210,134218359,89211,36061.0,45 E 85TH ST NEW YORK NY 10028-0957,O,ASSOCIATION OF ART MUSEUM CURATORS,A50,23195.0,86615,NY,45 E 85TH ST,10028-0957,10028.0,A50
12424,45 E 33RD ST,NEW YORK,162305,0,135493557,229427,36061.0,45 E 33RD ST NEW YORK NY 10016-5336,O,CEMETERY DEPT OF THE WORKMENS CIRCLE INC,A23,70890.0,115395,NY,45 E 33RD ST,10016-5336,10016.0,A23
12426,45 W 14TH ST,NEW YORK,0,0,135502139,72444,36061.0,45 W 14TH ST NEW YORK NY 10011-7419,O,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,A40,67503.0,67503,NY,45 W 14TH ST,10011-7419,10011.0,A40
12511,307 W 30TH ST,NEW YORK,92185,0,135580391,287036,36061.0,307 W 30TH ST NEW YORK NY 10001-2703,O,LITHUANIAN ALLIANCE OF AMERICA,A23,169473.0,169473,NY,307 W 30TH ST,10001-2703,10001.0,A23
12547,126 UNIVERSITY PL APT 5,NEW YORK,197325,287724,135606408,600502,36061.0,126 UNIVERSITY PL NEW YORK NY 10003-4571,O,NATIONAL LAWYERS GUILD,A20,223259.0,590770,NY,126 UNIVERSITY PL,10003-4571,10003.0,A20
12600,225 W 39TH ST RM 302,NEW YORK,0,0,135647466,26785,36061.0,225 W 39TH ST NEW YORK NY 10018-3148,O,PLEATERS STITCHERS & EMBROIDERERS ASSN INC,A40,24027.0,25777,NY,225 W 39TH ST,10018-3148,10018.0,A40
12604,355 LEXINGTON AVE FL 17,NEW YORK,0,0,135651681,7467,36061.0,355 LEXINGTON AVE NEW YORK NY 10017-6603,O,COMICS MAGAZINE ASSOCIATION OF AMERICA INC,A01,50635.0,50635,NY,355 LEXINGTON AVE,10017-6603,10017.0,A01
12687,400 LAFAYETTE ST RM 4,NEW YORK,0,0,136092225,7245,36061.0,400 LAFAYETTE ST NEW YORK NY 10003-6900,O,TEXTILE CONVERTERS LIQUIDATION BENEFIT FUND,A40,0.0,15648,NY,400 LAFAYETTE ST,10003-6900,10003.0,A40
12834,575 MADISON AVE,NEW YORK,0,0,136149730,468134,36061.0,575 MADISON AVE NEW YORK NY 10022-2511,O,ART DEALERS ASSOCIATION OF AMERICA INC,A03,839951.0,871861,NY,575 MADISON AVE,10022-2511,10022.0,A03
13133,1501 BROADWAY STE 6TH FL,NEW YORK,0,0,136976195,0,36061.0,1501 BROADWAY STE NEW YORK NY 10036-5601,O,AMERICAN FEDERATION OF MUSICIANS OF THE US & CANADA,A68,0.0,25875,NY,1501 BROADWAY STE,10036-5601,10036.0,A68
15218,770 BROADWAY 5TH FLR,NEW YORK,0,0,160876072,117078,36061.0,770 BROADWAY NEW YORK NY 10003-9522,O,NATO THEATRE OWNERS OF NEW YORK STATE INC,A65,25017.0,123714,NY,770 BROADWAY,10003-9522,10003.0,A65
17442,40 WALL ST FLR 11,NEW YORK,0,0,200864170,11850,36061.0,40 WALL ST NEW YORK NY 10005-1304,PC,SOUTH ASIAN AMERICAN ASSOCIATION INC,A23,0.0,18818,NY,40 WALL ST,10005-1304,10005.0,A23
18104,37 OVERLOOK TER APT 3E,NEW YORK,0,15000,201575771,44694,36061.0,37 OVERLOOK TER NEW YORK NY 10033-2214,O,SELF-HELP ASSOCIATION OF AMERICAN RUSSIAN ELDERLY,A23,29625.0,44625,NY,37 OVERLOOK TER,10033-2214,10033.0,A23
19026,41 MADISON AVE RM 4000,NEW YORK,187500,0,203132925,500933,36061.0,41 MADISON AVE NEW YORK NY 10010-2239,O,AMERICAN ASSOCIATION OF INDEPENDENT MUSIC INC,A68,1071169.0,1075733,NY,41 MADISON AVE,10010-2239,10010.0,A68
21572,156 W 56TH ST STE 1902,NEW YORK,0,0,222701258,244595,36061.0,156 W 56TH ST NEW YORK NY 10019-3922,O,BOOKBINDERS GUILD OF NEW YORK INC,A20,243882.0,244252,NY,156 W 56TH ST,10019-3922,10019.0,A20
22354,,,0,0,223199519,29505,36061.0,,U,ASSOC OF INDIAN IN CONSTRUCTION IND INC,A23,0.0,-1449,NY,,10016,10016.0,A23
28375,730 BROADWAY,NEW YORK,6000,0,237055265,272521,36061.0,730 BROADWAY NEW YORK NY 10003-9502,O,ST LOUIS TEXTILE PROCESSORS LOCAL 108 WELFARE FUND GROUP 1200,A40,297123.0,363094,NY,730 BROADWAY,10003-9502,10003.0,A40
35954,99 PARK AVE RM 1700,NEW YORK,100000,0,237411166,205678,36061.0,99 PARK AVE NEW YORK NY 10016-1601,O,LIBERIAN SHIPOWNERS COUNCIL LTD,A23,216683.0,220273,NY,99 PARK AVE,10016-1601,10016.0,A23
45609,875 SIXTH AVE STE 2302,NEW YORK,0,0,330274349,1289565,36061.0,875 SIXTH AVE NEW YORK NY 10001-3507,O,THEATRICAL DEALERS ASSOCIATION,A65,1209709.0,1317811,NY,875 SIXTH AVE,10001-3507,10001.0,A65
46478,1 ASTOR PL APT 5N,NEW YORK,0,66049,331049386,94388,36061.0,1 ASTOR PL NEW YORK NY 10003-6929,PC,EAST PARK PRODUCTIONS INC,A65,20024.0,86073,NY,1 ASTOR PL,10003-6929,10003.0,A65
52758,711 W END AVE APT 7DS,NEW YORK,0,70000,352237120,44322,36061.0,711 W END AVE NEW YORK NY 10025-6887,O,MUSIC ACCORD INC,A68,0.0,70000,NY,711 W END AVE,10025-6887,10025.0,A68
53239,PO BOX 757,NEW YORK,0,0,356048417,41070,36061.0,,O,NATIONAL ASSOCIATION OF BAND INSTRUMENT MANUFACTURERS INCORPORA,A6C,37125.0,37486,NY,,10033-0595,10033.0,A6C
74184,730 BROADWAY,NEW YORK,3000,0,430721295,102175,36061.0,730 BROADWAY NEW YORK NY 10003-9502,O,TEXTILE PROCESSORS LOCAL 108 WELFARE FUND GROUP 1053,A40,30369.0,35361,NY,730 BROADWAY,10003-9502,10003.0,A40
81905,1300 MORRIS PARK AVE RM 502,BRONX,0,0,510192888,64605,36005.0,1300 MORRIS PARK AVE BRONX NY 10461-1930,O,NEW YORK OBSTETRICAL SOCIETY INC,A69,67381.0,67381,NY,1300 MORRIS PARK AVE,10461-1930,10461.0,A69
82694,7 W 96TH ST,NEW YORK,0,0,510244825,34333,36061,7 W 96TH ST NEW YORK NY 10025-6540,O,KING SOLOMON-BEETHOVEN LODGE NO 232,A68,10619.0,43820,NY,7 W 96TH ST,10025-6540,10025.0,A68
85335,9120 95TH AVE,OZONE PARK,1880,0,521592386,55490,36081,9120 95TH AVE OZONE PARK NY 11416-1413,O,POLISH FALCONS OF AMERICA,A23,44740.0,51077,NY,9120 95TH AVE,11416-1413,11416.0,A23
85987,52 VANDERBILT AVE STE 20TH FL,NEW YORK,131000,0,521902671,271114,36061,52 VANDERBILT AVE STE NEW YORK NY 10017-3808,O,BRITISH-AMERICAN BUSINESS COUNCIL,A23,34430.0,214401,NY,52 VANDERBILT AVE STE,10017-3808,10017.0,A23
86369,275 7TH AVE,NEW YORK,0,0,522127537,61256,36061.0,275 7TH AVE NEW YORK NY 10001-6708,O,2801 M STREET HOLDING COMPANY INC,A60,95411.0,95411,NY,275 7TH AVE,10001-6708,10001.0,A60
89409,111 E 14TH ST PMB 157,NEW YORK,0,15,541585995,68568,36061.0,111 E 14TH ST PMB NEW YORK NY 10003-4103,O,NATIONAL ASSOCIATION OF INDEPENDENT PUBLISHERS REPRESENTATIVES INC,A03,90739.0,90754,NY,111 E 14TH ST PMB,10003-4103,10003.0,A03
98271,230 PARK AVE 12TH FLOOR,NEW YORK,226682,0,582648602,2827244,36061.0,230 PARK AVE NEW YORK NY 10169-0005,O,ERS PLAZA MUSEUM INC,A50,3018649.0,3024670,NY,230 PARK AVE,10169-0005,10169.0,A50
101698,1251 AVE OF THE AMERICAS 35TH FLR,NEW YORK,0,0,593334243,0,36061.0,1251 AVE OF THE AMERICAS NEW YORK NY 10020-1104,O,INDIAN RIVER APARTMENTS INC,A23,0.0,684536,NY,1251 AVE OF THE AMERICAS,10020-1104,10020.0,A23
115991,366 5TH AVE FL 12,NEW YORK,0,0,742066156,3414339,36061.0,366 5TH AVE NEW YORK NY 10001-2211,O,DUWEL COMPANY,A60,0.0,3394983,NY,366 5TH AVE,10001-2211,10001.0,A60
143828,770 BROADWAY 5TH FLR,NEW YORK,0,0,952786905,250192,36061,770 BROADWAY NEW YORK NY 10003-9522,O,INTERNATIONAL THEATRE EQUIPMENT ASSOCIATION INC,A65,256725.0,267823,NY,770 BROADWAY,10003-9522,10003.0,A65
147579,8115 SURREY PL,JAMAICA,0,0,112099939,29972,36081.0,8115 SURREY PL JAMAICA NY 11432-1434,O,JAMAICA ESTATES ASSOCIATION INC,A23,21220.0,26179,NY,8115 SURREY PL,11432-1434,11432.0,A23
147651,1407 BROADWAY RM 1112,NEW YORK,0,0,134190455,53812,36061.0,1407 BROADWAY NEW YORK NY 10018-5111,O,SIKH ORGANIZATION OF NY INC,A20,43543.0,43543,NY,1407 BROADWAY,10018-5111,10018.0,A20
147670,45 E 33RD ST,NEW YORK,0,41910,135562400,57750,36061.0,45 E 33RD ST NEW YORK NY 10016-5336,O,SOCIAL SERVICE DEPARTMENT OF THE WORKMENS CIRCLE,A23,12883.0,55799,NY,45 E 33RD ST,10016-5336,10016.0,A23
148204,25 W 39TH ST-11TH FL,NEW YORK,11538,500000,203249437,19957,36061.0,25 W 39TH NEW YORK NY 10018-3805,PC,SEPHARDIC HERITAGE MUSEUM INC,A50,0.0,500000,NY,25 W 39TH,10018-3805,10018.0,A50
148847,61 MARTENSE ST APT 5A,BROOKLYN,0,0,237444871,78806,36047.0,61 MARTENSE ST BROOKLYN NY 11226-3236,O,CIVIL SERVICE EMPLOYEES ASSOCIATION,A57,152824.0,154724,NY,61 MARTENSE ST,11226-3236,11226.0,A57
177,200 PARK AVE S 1116,NEW YORK,468323,1106547,10263908,1515235,36061.0,200 PARK AVE S NEW YORK NY 10003-1512,,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,A25,413460.0,1786794,NY,200 PARK AVE S,10003-1512,10003.0,A25
