,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,ZIP,ZIP5,nteeFinal
10527,PO BOX 2222,NEW YORK,0,350,113163244,10248,36061.0,,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,A23,0.0,8486,NY,,10008-2222,10008.0,A23
10560,35-22 FARRINGTON ST STE 201,FLUSHING,0,160598,113212678,170502,36081.0,35-22 FARRINGTON ST FLUSHING NY 11354-2827,KOREAN-AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,A23,0.0,160598,NY,35-22 FARRINGTON ST,11354-2827,11354.0,A23
10563,1324 FLATBUSH AVE,BROOKLYN,16200,18500,113216404,139553,36047.0,1324 FLATBUSH AVE BROOKLYN NY 11210-1233,CARIBBEAN CUP INC,A23,161924.0,180424,NY,1324 FLATBUSH AVE,11210-1233,11210.0,A23
10574,,,0,0,113234458,79964,36081.0,,MOVEMENT OF THE CHILDREN DANCENTER INC,A62,0.0,99587,NY,,11436,11436.0,A62
10591,1528 127TH ST,COLLEGE POINT,0,0,113261970,80854,36081.0,1528 127TH ST COLLEGE POINT NY 11356-2332,KOREAN AIR CONDITIONING & REFRIG ASSOC OF NY INC,A23,0.0,101462,NY,1528 127TH ST,11356-2332,11356.0,A23
10599,800 FOOD CENTER DR UNIT 96B,BRONX,0,41920,113278319,53517,36005.0,800 FOOD CENTER DR UNIT BRONX NY 10474-0060,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,A23,0.0,41920,NY,800 FOOD CENTER DR UNIT,10474-0060,10474.0,A23
10601,10 ROCKEFELLER PLZ STE 900,NEW YORK,0,0,113281373,142678,36061.0,10 ROCKEFELLER PLZ NEW YORK NY 10020-1903,IRISH AMERICAN BUILDING SOCIETY INC,A23,152400.0,152400,NY,10 ROCKEFELLER PLZ,10020-1903,10020.0,A23
10647,27-04 PARSONS BLVD,FLUSHING,0,57789,113383944,41649,36081.0,27-04 PARSONS BLVD FLUSHING NY 11354-1343,KOREAN MEDICAL PRACITIONER ASSOC OF GREATER NEW YORK INC,A23,0.0,57890,NY,27-04 PARSONS BLVD,11354-1343,11354.0,A23
10697,2227 33RD ST,ASTORIA,0,8995,113477797,144469,36081.0,2227 33RD ST ASTORIA NY 11105-2402,SYLLOGOS KRETON MINOS INC,A23,0.0,115656,NY,2227 33RD ST,11105-2402,11105.0,A23
11092,200 EASTERN PKWY,BROOKLYN,0,0,116042353,120916,36047.0,200 EASTERN PKWY BROOKLYN NY 11238-6052,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,0.0,119304,NY,200 EASTERN PKWY,11238-6052,11238.0,A50
11137,10916 JAMAICA AVE,RICHMOND HILL,94969,0,116102176,205209,36081.0,10916 JAMAICA AVE RICHMOND HILL NY 11418-2334,NATIONAL ASSOCIATION OF LETTER CARRIERS,A23,0.0,210562,NY,10916 JAMAICA AVE,11418-2334,11418.0,A23
11219,432 PARK AVE S FL 6,NEW YORK,3530112,0,130417765,7129044,36061.0,432 PARK AVE S NEW YORK NY 10016-8013,ADVERTISING RESEARCH FOUNDATION INC,A03,3210741.0,7470339,NY,432 PARK AVE S,10016-8013,10016.0,A03
11249,50 E 42ND ST RM 506,NEW YORK,0,0,130453215,215391,36061.0,50 E 42ND ST NEW YORK NY 10017-5436,ASSOCIATION OF MASTER PAINTERS AND DECORATORS OF THE CITY OF NEW YORK,A40,152651.0,132556,NY,50 E 42ND ST,10017-5436,10017.0,A40
11304,275 7TH AVE 18TH FLR,NEW YORK,0,0,130876693,12006,36061.0,275 7TH AVE NEW YORK NY 10001-6708,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,A23,0.0,37567,NY,275 7TH AVE,10001-6708,10001.0,A23
11355,299 BROADWAY STE 208,NEW YORK,0,0,131101367,163227,36061.0,299 BROADWAY NEW YORK NY 10007-4107,NEW YORK SOCIETY OF ARCHITECTS,A03,110863.0,162373,NY,299 BROADWAY,10007-4107,10007.0,A03
11410,167-10 CROCHERON AVE 2D,FLUSHING,0,0,131426099,39817,36081.0,167-10 CROCHERON AVE FLUSHING NY 11358-0000,UNITED IRISH COUNTIES ASSOCIATION OF NEW YORK INC,A23,760.0,19328,NY,167-10 CROCHERON AVE,11358-0000,11358.0,A23
11430,536 LAGUARDIA PL,NEW YORK,1190088,0,131505524,3119296,36061.0,536 LAGUARDIA PL NEW YORK NY 10012-1401,AMERICAN INSTITUTE OF ARCHITECTS,A40,2100592.0,2913416,NY,536 LAGUARDIA PL,10012-1401,10012.0,A40
11466,125 W 55TH ST,NEW YORK,0,29500,131583260,29174,36061.0,125 W 55TH ST NEW YORK NY 10019-5369,STATION REPRESENTATIVES ASSOCIATION INC,A01,0.0,32410,NY,125 W 55TH ST,10019-5369,10019.0,A01
11471,1120 AVENUE OF THE AMERICAS,NEW YORK,0,0,131589984,33643,36061.0,1120 AVENUE OF THE AMERICAS NEW YORK NY 10036-6700,WOOLMARK AMERICAS INC,A60,57025.0,56616,NY,1120 AVENUE OF THE AMERICAS,10036-6700,10036.0,A60
11817,1000 5TH AVE,NEW YORK,18742,0,131956457,418314,36061.0,1000 5TH AVE NEW YORK NY 10028-0113,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,424187.0,426019,NY,1000 5TH AVE,10028-0113,10028.0,A50
11868,45 WEST 14TH STREET,NEW YORK,0,0,132534897,266671,36061.0,45 WEST 14TH STREET NEW YORK NY 10011-7419,PAINTING INDUSTRY FUND BUILDING CORP,A40,339795.0,340037,NY,45 WEST 14TH STREET,10011-7419,10011.0,A40
12068,244 FIFTH AVE STE L230,NEW YORK,0,27939,132877623,137040,36061.0,244 FIFTH AVE NEW YORK NY 10001-7604,FIXED INCOME ANALYSTS SOCIETY INC,A01,125230.0,155398,NY,244 FIFTH AVE,10001-7604,10001.0,A01
12186,243 5TH AVE RM 236,NEW YORK,0,11500,132990527,137704,36061.0,243 5TH AVE NEW YORK NY 10016-8703,MUSIC PUBLISHERS ASSOCIATION OF THE UNITED STATES INC,A68,96899.0,130549,NY,243 5TH AVE,10016-8703,10016.0,A68
12263,NEW YORK TERMINAL MKT RM C27,BRONX,0,0,133071647,123968,36005.0,NEW YORK TERMINAL MKT BRONX NY 10474-0000,KOREAN PRODUCE ASSOCIATION INC,A23,123100.0,123100,NY,NEW YORK TERMINAL MKT,10474-0000,10474.0,A23
12335,27 W 20TH ST STE 601,NEW YORK,0,90631,133131629,88318,36061.0,27 W 20TH ST NEW YORK NY 10011-3728,ADVERTISING PHOTOGRAPHER OF AMERICA INC,A40,0.0,90638,NY,27 W 20TH ST,10011-3728,10011.0,A40
12341,3625 BAINBRIDGE AVE,BRONX,0,0,133132781,119619,36005.0,3625 BAINBRIDGE AVE BRONX NY 10467-1168,3680 HOLDING COMPANY INC,A60,0.0,119619,NY,3625 BAINBRIDGE AVE,10467-1168,10467.0,A60
12360,14602 89TH AVE,JAMAICA,3529,0,133154895,47302,36081.0,14602 89TH AVE JAMAICA NY 11435-3638,INDIAN DENTAL ASSOCIATION USA INC,A23,79306.0,83617,NY,14602 89TH AVE,11435-3638,11435.0,A23
12387,420 LEXINGTON AVE RM 2034,NEW YORK,144443,0,133183002,475404,36061.0,420 LEXINGTON AVE NEW YORK NY 10170-0012,ARAB BANKERS ASSOCIATION OF NORTH AMERICA INC,A23,243912.0,263612,NY,420 LEXINGTON AVE,10170-0012,10170.0,A23
12396,101 W 23RD ST STE 2343,NEW YORK,0,0,133190575,51853,36061.0,101 W 23RD ST NEW YORK NY 10011-2490,AMERICAN SOCIETY OF MEDIA PHOTOGRAPHERS INC,A40,0.0,47563,NY,101 W 23RD ST,10011-2490,10011.0,A40
12419,360 PARK AVENUE S 17TH FL,NEW YORK,0,131417,133205392,681518,36061.0,360 PARK AVENUE S NEW YORK NY 10010-1710,WOMENS JEWELRY ASSOCIATION INC,A40,540674.0,687098,NY,360 PARK AVENUE S,10010-1710,10010.0,A40
12430,56 W 45TH ST STE 705,NEW YORK,20800,0,133211019,284307,36061.0,56 W 45TH ST NEW YORK NY 10036-4215,INDIAN DIAMOND & COLORSTONE ASSOC INC,A23,348275.0,349236,NY,56 W 45TH ST,10036-4215,10036.0,A23
12471,32 BROADWAY STE 1114,NEW YORK,0,0,133251595,15394,36061.0,32 BROADWAY NEW YORK NY 10004-1612,GRAPHIC ARTISTS GUILD OF NEW YORK,A40,27198.0,27205,NY,32 BROADWAY,10004-1612,10004.0,A40
12492,201 E 17TH ST APT 28J,NEW YORK,0,1557,133302569,35961,36061.0,201 E 17TH ST NEW YORK NY 10003-3681,NEW YORK DIVISION ELECTRIC RAILROADERS ASSOCIATION,A54,8800.0,36541,NY,201 E 17TH ST,10003-3681,10003.0,A54
12512,60 E 42ND ST RM 1341,NEW YORK,0,0,133341914,95342,36061.0,60 E 42ND ST NEW YORK NY 10165-1341,GRUPPO ESPONENTI ITALIANI INC,A23,91712.0,91744,NY,60 E 42ND ST,10165-1341,10165.0,A23
12523,3333 HENRY HUDSON PKWY,BRONX,0,4535,133358453,46848,36005.0,3333 HENRY HUDSON PKWY BRONX NY 10463-3224,U S S INTREPID ASSOCIATION INC,A12,0.0,44468,NY,3333 HENRY HUDSON PKWY,10463-3224,10463.0,A12
12527,1 CHASE PLAZA STE 13TH FL,NEW YORK,12500,0,133364852,376024,36061.0,1 CHASE PLAZA STE NEW YORK NY 10005-0000,CORNING GLASS WORKS LTD SALARIED EMPLOYEES,A40,806870.0,818319,NY,1 CHASE PLAZA STE,10005-0000,10005.0,A40
12548,,,0,0,133395530,86067,36061.0,,CHUNG KUO KUO MIN TANG INC,A23,5641.0,89726,NY,,10013,10013.0,A23
12551,165 WEST 46TH STREET,NEW YORK,0,0,133398825,6000,36061.0,165 WEST 46TH STREET NEW YORK NY 10036-0000,ACTORS EQUITY HOLDING CORPORATION,A65,0.0,840185,NY,165 WEST 46TH STREET,10036-0000,10036.0,A65
12566,90 ELIZABETH ST,NEW YORK,0,0,133418616,221225,36061.0,90 ELIZABETH ST NEW YORK NY 10013-5566,CHINESE WEN CHOW ASSOCIATION INC,A23,17100.0,263946,NY,90 ELIZABETH ST,10013-5566,10013.0,A23
12587,385 5TH AVE,NEW YORK,0,83424,133443010,387296,36061.0,385 5TH AVE NEW YORK NY 10016-3319,NATIONAL CHINESE AMERICAN JEWELRY ASSOCIATION INC,A23,310151.0,401539,NY,385 5TH AVE,10016-3319,10016.0,A23
12602,77 BOWERY,NEW YORK,0,0,133471375,2820,36061.0,77 BOWERY NEW YORK NY 10002-4915,NEW YORK CHINESE AMERICAN BANKERS ASSOCIATION INC,A23,0.0,12387,NY,77 BOWERY,10002-4915,10002.0,A23
12693,PO BOX 872,NEW YORK,0,0,133568008,33545,36061.0,,PRIVATE ART DEALERS ASSOCIATION INC,A03,1260.0,35781,NY,,10021-0002,10021.0,A03
12803,205 W 38TH ST RM 5W,NEW YORK,0,88995,133670200,106497,36061.0,205 W 38TH ST NEW YORK NY 10018-4417,KOREAN APPAREL MANUFACTURES ASSOC OF GREATER NEW YORK INC,A23,0.0,88995,NY,205 W 38TH ST,10018-4417,10018.0,A23
12827,245 PARK AVE,NEW YORK,0,0,133698552,3440000,36061.0,245 PARK AVE NEW YORK NY 10167-0002,QUEENRHIS FUNDING COMPANY,A60,3440000.0,3440000,NY,245 PARK AVE,10167-0002,10167.0,A60
12894,875 W 181ST ST APT 2D,NEW YORK,0,93900,133761506,198586,36061.0,875 W 181ST ST NEW YORK NY 10033-4486,GUITAR AND ACCESSORIES MARKETING ASSOCIATION INC,A68,0.0,162891,NY,875 W 181ST ST,10033-4486,10033.0,A68
12906,322 8TH AVE FL 21,NEW YORK,0,99598,133772271,106481,36061.0,322 8TH AVE NEW YORK NY 10001-6763,LEAGUE OF OFF-BROADWAY THEATRES AND PRODUCERS INC,A65,0.0,101319,NY,322 8TH AVE,10001-6763,10001.0,A65
12916,PO BOX 5005,NEW YORK,0,0,133781444,1881779,36061.0,,WALNUT CREEK PROPERTIES INC,A23,4412456.0,42820362,NY,,10163-5005,10163.0,A23
12958,192 LEXINGTON AVE RM 1101,NEW YORK,0,0,133835380,19515,36061.0,192 LEXINGTON AVE NEW YORK NY 10016-6823,COMMITTEE OF FRENCH SPEAKING SOCIETIES INC,A23,0.0,-18190,NY,192 LEXINGTON AVE,10016-6823,10016.0,A23
12977,3370 PRINCE ST STE 703,FLUSHING,0,39250,133853865,94741,36081.0,3370 PRINCE ST FLUSHING NY 11354-2703,AMERICAN ASSOCIATION OF CHINESE PHYSICIANS,A23,0.0,39250,NY,3370 PRINCE ST,11354-2703,11354.0,A23
13006,C/O KING 636 ROCKAWAY ST,STATEN ISLAND,0,0,133880803,17302,36085.0,C/O KING 636 ROCKAWAY ST STATEN ISLAND NY 10307,ANCIENT ORDER OF HIBERNIANS DIV 4,A23,0.0,13347,NY,C/O KING 636 ROCKAWAY ST,10307,10307.0,A23
13016,245 PARK AVE,NEW YORK,0,0,133893891,9454405,36061.0,245 PARK AVE NEW YORK NY 10167-0002,SIXTH AVENUE ML COMPANY INC,A60,9454405.0,9454405,NY,245 PARK AVE,10167-0002,10167.0,A60
13067,370 7TH AVE STE 420,NEW YORK,0,28730,133967440,25814,36061.0,370 7TH AVE NEW YORK NY 10001-0023,CONCERNED FILIPINOS FOR UNITY INC,A23,3850.0,32580,NY,370 7TH AVE,10001-0023,10001.0,A23
13105,245 PARK AVE,NEW YORK,0,0,134005504,3576436,36061.0,245 PARK AVE NEW YORK NY 10167-0002,RIDGEWAY FUNDING COMPANY INC,A60,3576436.0,3576436,NY,245 PARK AVE,10167-0002,10167.0,A60
13127,3 W 18TH ST,NEW YORK,0,0,134017838,64296,36061.0,3 W 18TH ST NEW YORK NY 10011-4610,ASSOCIATION OF MUSIC PRODUCERS INC,A68,0.0,44331,NY,3 W 18TH ST,10011-4610,10011.0,A68
13272,C/O LOCAL UNION 580 501 W 42ND,NEW YORK,48899,0,134192352,378682,36061.0,C/O LOCAL UNION 580 501 W NEW YORK NY 10036-0000,ARCHITECTURAL IRON REALTY CORP,A40,204700.0,204700,NY,C/O LOCAL UNION 580 501 W,10036-0000,10036.0,A40
13292,45 E 85TH ST,NEW YORK,0,50,134218359,93536,36061.0,45 E 85TH ST NEW YORK NY 10028-0957,ASSOCIATION OF ART MUSEUM CURATORS,A50,0.0,106957,NY,45 E 85TH ST,10028-0957,10028.0,A50
13491,318 W 39TH ST FL 5,NEW YORK,0,0,135493557,187178,36061.0,318 W 39TH ST NEW YORK NY 10018-1655,CEMETERY DEPT OF THE WORKMENS CIRCLE INC,A23,99468.0,130426,NY,318 W 39TH ST,10018-1655,10018.0,A23
13493,45 W 14TH ST,NEW YORK,0,0,135502139,70561,36061.0,45 W 14TH ST NEW YORK NY 10011-7419,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,A40,0.0,68160,NY,45 W 14TH ST,10011-7419,10011.0,A40
13539,45 E 33RD ST,NEW YORK,0,11500,135562400,59066,36061.0,45 E 33RD ST NEW YORK NY 10016-5336,SOCIAL SERVICE DEPARTMENT OF THE WORKMENS CIRCLE,A23,0.0,27296,NY,45 E 33RD ST,10016-5336,10016.0,A23
13576,307 W 30TH ST,NEW YORK,101571,0,135580391,413690,36061.0,307 W 30TH ST NEW YORK NY 10001-2703,LITHUANIAN ALLIANCE OF AMERICA,A23,0.0,138745,NY,307 W 30TH ST,10001-2703,10001.0,A23
13607,132 NASSAU ST RM 922,NEW YORK,0,201007,135606408,483988,36061.0,132 NASSAU ST NEW YORK NY 10038-2439,NATIONAL LAWYERS GUILD,A20,77944.0,482410,NY,132 NASSAU ST,10038-2439,10038.0,A20
13660,355 LEXINGTON AVE FL 15,NEW YORK,0,0,135651681,22875,36061.0,355 LEXINGTON AVE NEW YORK NY 10017-6603,COMICS MAGAZINE ASSOCIATION OF AMERICA INC,A01,7010.0,29033,NY,355 LEXINGTON AVE,10017-6603,10017.0,A01
13748,400 LAFAYETTE ST RM 4,NEW YORK,0,0,136092225,9059,36061.0,400 LAFAYETTE ST NEW YORK NY 10003-6900,TEXTILE CONVERTERS LIQUIDATION BENEFIT FUND,A40,0.0,27846,NY,400 LAFAYETTE ST,10003-6900,10003.0,A40
13801,79TH ST AND CENTRAL PARK W,NEW YORK,0,0,136117924,120069,36061.0,79TH ST AND CENTRAL PARK W NEW YORK NY 10024-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,0.0,122331,NY,79TH ST AND CENTRAL PARK W,10024-0000,10024.0,A50
13899,205 LEXINGTON AVE RM 901,NEW YORK,150000,735182,136149730,1092792,36061.0,205 LEXINGTON AVE NEW YORK NY 10016-6022,ART DEALERS ASSOCIATION OF AMERICA INC,A03,397435.0,903083,NY,205 LEXINGTON AVE,10016-6022,10016.0,A03
14164,4534 COURT SQ,LONG IS CITY,0,0,136356709,411643,36081.0,4534 COURT SQ LONG IS CITY NY 11101-4301,MOSAIC AND TERRAZZO VACATION FUND,A40,407186.0,408884,NY,4534 COURT SQ,11101-4301,11101.0,A40
14223,1501 BROADWAY NO 6TH FL,NEW YORK,0,0,136976195,0,36061.0,1501 BROADWAY NO NEW YORK NY 10036-5601,AMERICAN FEDERATION OF MUSICIANS OF THE US & CANADA,A68,0.0,26868,NY,1501 BROADWAY NO,10036-5601,10036.0,A68
15100,245 PARK AVE,NEW YORK,0,0,141876785,5577796,36061.0,245 PARK AVE NEW YORK NY 10167-0002,SPOKANE BUSINESS & INDUSTRIAL FUNDING COMPANY INC,A60,5577796.0,5577796,NY,245 PARK AVE,10167-0002,10167.0,A60
16470,770 BROADWAY 7TH FLOOR,NEW YORK,0,0,160876072,156426,36061.0,770 BROADWAY NEW YORK NY 10003-9595,NATO THEATRE OWNERS OF NEW YORK STATE INC,A65,29030.0,43678,NY,770 BROADWAY,10003-9595,10003.0,A65
18282,232 3RD ST 3RD FLOOR,BROOKLYN,42850,96203,200367608,119235,36047.0,232 3RD ST BROOKLYN NY 11215-2714,ISSUE PROJECT ROOM INCORPORATED,A61,26395.0,122619,NY,232 3RD ST,11215-2714,11215.0,A61
19249,37 OVERLOOK TER APT 3E,NEW YORK,0,14000,201575771,56968,36061.0,37 OVERLOOK TER NEW YORK NY 10033-2214,SELF-HELP ASSOCIATION OF AMERICAN RUSSIAN ELDERLY,A23,42153.0,56153,NY,37 OVERLOOK TER,10033-2214,10033.0,A23
19550,,Brooklyn,0,25722,201925554,24636,36047.0,,AMERICAN CONTEMPORARY MUSIC ENSEMBLE,A6C,0.0,25722,NY,,11201,11201.0,A6C
20489,29 W 17TH ST FL 10,NEW YORK,0,0,203132925,623796,36061.0,29 W 17TH ST NEW YORK NY 10011-5507,AMERICAN ASSOCIATION OF INDEPENDENT MUSIC INC,A68,79129.0,704773,NY,29 W 17TH ST,10011-5507,10011.0,A68
21035,2038 DAVIDSON AVE,BRONX,0,30615,203834646,25913,36005.0,2038 DAVIDSON AVE BRONX NY 10453-4652,LATINO ASSOCIATION OF TAX PREPARERS INC,A23,0.0,30616,NY,2038 DAVIDSON AVE,10453-4652,10453.0,A23
22690,,,0,22655,205782277,24337,36047.0,,THEATRE OF THE EXPENDABLE,A65,0.0,26355,NY,,11231,11231.0,A65
22889,,,0,0,205965679,21044,36081.0,,ENGLISH SUCCESS INC,A23,0.0,33390,NY,,11372,11372.0,A23
23548,PO BOX 5005,NEW YORK,0,0,208574404,10486096,36061.0,,SSPF ALISO CREEK INC,A23,9632768.0,9645437,NY,,10163-5005,10163.0,A23
23671,70 HAVEN AVE APT 4D,NEW YORK,0,22560,208728956,39102,36061.0,70 HAVEN AVE NEW YORK NY 10032-2612,PARALLEL EXIT INC,A65,24193.0,48105,NY,70 HAVEN AVE,10032-2612,10032.0,A65
23727,,,0,68471,208794205,87814,36047.0,,ASIAN AMERICAN RESTAURANT ASSOCIATION CORP,A23,0.0,68471,NY,,11237,11237.0,A23
23868,,,0,56495,208970506,38497,36061.0,,REGIONAL TIBETAN WOMENS ASSOCIATION OF NEW YORK AND,A23,0.0,56495,NY,,10016,10016.0,A23
26243,156 WEST 56 TH STREET NO 1804,NEW YORK,0,21000,222701258,226323,36061.0,156 WEST 56 TH STREET NO NEW YORK NY 10019-0000,BOOKBINDERS GUILD OF NEW YORK INC,A20,165497.0,187123,NY,156 WEST 56 TH STREET NO,10019-0000,10019.0,A20
27078,419 PARK AVENUE SOUTH #12,NEW YORK,0,0,223199519,0,36061.0,419 PARK AVENUE SOUTH #12 NEW YORK NY 10016,ASSOC OF INDIAN IN CONSTRUCTION IND INC,A23,0.0,39739,NY,419 PARK AVENUE SOUTH #12,10016,10016.0,A23
28190,PO BOX 610533,BAYSIDE,0,0,226067322,19696,36081.0,,DANCE MASTERS OF AMERICA NEW YORK CITY CHAPTER INC,A62,26270.0,26270,NY,,11361-0533,11361.0,A62
33564,730 BROADWAY,NEW YORK,3000,0,237055265,566278,36061,730 BROADWAY NEW YORK NY 10003-9502,ST LOUIS TEXTILE PROCESSORS LOCAL 108 WELFARE FUND GROUP 1200,A40,31251.0,16844,NY,730 BROADWAY,10003-9502,10003.0,A40
37385,121 SAINT JOHNS PL,BROOKLYN,0,11085,237166317,48320,36047.0,121 SAINT JOHNS PL BROOKLYN NY 11217-3401,PROFESSIONAL PHOTOGRAPHERS OF GREATER NY INC,A40,26967.0,38452,NY,121 SAINT JOHNS PL,11217-3401,11217.0,A40
38830,79TH ST CENTRAL PARK WEST,NEW YORK,0,0,237240585,59863,36061.0,79TH ST CENTRAL PARK WEST NEW YORK NY 10024-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,0.0,63976,NY,79TH ST CENTRAL PARK WEST,10024-0000,10024.0,A50
42016,99 PARK AVE RM 1700,NEW YORK,113000,0,237411166,261582,36061.0,99 PARK AVE NEW YORK NY 10016-1609,LIBERIAN SHIPOWNERS COUNCIL LTD,A23,344662.0,348393,NY,99 PARK AVE,10016-1609,10016.0,A23
42654,61 MARTENSE ST APT 5A,BROOKLYN,0,0,237444871,64130,36047.0,61 MARTENSE ST BROOKLYN NY 11226-3236,CIVIL SERVICE EMPLOYEES ASSOCIATION,A57,2528.0,75766,NY,61 MARTENSE ST,11226-3236,11226.0,A57
48140,,,0,0,260460046,3203259,36061.0,,CONCAR ACQUISITION COMPANY INC,A60,8930028.0,8933125,NY,,10163,10163.0,A60
48184,PO BOX 5005,NEW YORK,0,0,260509362,32736,36061.0,,FOURTH & HARRISON FUNDING COMPANY INC,A60,0.0,9502586,NY,,10163-0000,10163.0,A60
48219,PO BOX 5005,NEW YORK,0,0,260542856,300,36061.0,,URBAN W FUNDING COMPANY,A60,0.0,508300,NY,,10163-0000,10163.0,A60
48426,PO BOX 5005,NEW YORK,0,0,260744293,300,36061.0,,MIRAMAR FUNDING COMPANY,A60,64359.0,64359,NY,,10163-0000,10163.0,A60
48509,,,0,0,260837381,66947,36061.0,,PUSHKIN RUSSIAN SOCIETY,A23,66565.0,66565,NY,,10021,10021.0,A23
48708,PO BOX 5005,NEW YORK,0,0,261232350,0,36061.0,,MARINER FUNDING COMPANY,A60,1090458.0,1090458,NY,,10163-5005,10163.0,A60
50097,207 CANAL ST FL 3,NEW YORK,0,136183,262752840,172574,36061.0,207 CANAL ST NEW YORK NY 10013-4125,CHAO CHIU ASSOCIATION INC,A20,0.0,136381,NY,207 CANAL ST,10013-4125,10013.0,A20
51405,,,0,25750,264321526,24039,36061.0,,BLACK AND HISPANIC CAUCUS OF THE NYC COUNCIL INC,A23,0.0,25750,NY,,10007,10007.0,A23
51878,291 8TH ST,BROOKLYN,0,0,270207636,72594,36047.0,291 8TH ST BROOKLYN NY 11215-3313,MAGIS THEATRE COMPANY INC,A65,85548.0,85923,NY,291 8TH ST,11215-3313,11215.0,A65
52742,PO BOX 250807,NEW YORK,0,0,300379922,15920,36061.0,,ETHIOPIAN EDIR MUTUAL ASSISTANCE ASSOCIATION IN NEW YORK INC,A23,0.0,28296,NY,,10025-1509,10025.0,A23
52823,890 BROADWAY,NEW YORK,0,135120,300459786,20468,36061.0,890 BROADWAY NEW YORK NY 10003-1211,ABT DANCERS BENEFIT TR FUND,A62,0.0,135889,NY,890 BROADWAY,10003-1211,10003.0,A62
