,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,TOTLOB,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEECC4D,NTEE2,NTEE,NTMAJ12,NTMAJ5,msa,PMSA,FIPS,RandNum,NTEESRC,nteeConf,Auspice,MailName,MailStreet,MailCity,CBSA,DIVCODE,MSA_NECH,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
20500,131624124,200106,2000,6029322,175042,43903643,43430631,1151378,2015794,151729,229014,46601536,3019176,52805900,8539197,52478623,324688,0,55129260,53165352,1802919,686729,0,0,0,0,0,0,0,0,0,0,0,0,107584,196053,-45309,223181,S,9115956,3,7,0,285261,866117,684263,684263,0,473012,0,0,0,62275,380743,9115956,576759,-1424477,3349215,27263,0,0,0,0,0,53326341,25630634,452551,3718124,5990208,0,0,37526214,33808090,0,0,0,119.0,N,9.0,1.0,200211.0,29490054019032.0,1.0,2001,9.0,Y,1.0,N,1.0,0.0,2000.0,10024-5102,10024.0,131624124200106.0,1316241242001.0,6,119.0,59.0,62.0,170 CENTRAL PARK W,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,NEW YORK HISTORICAL SOCIETY,1.0,193804.0,,NY,RTF01PC,,5.0,,5.0,A,A80,IN,,AR,A,PC,O,AR,A,,A54Z,A82Z,AR,AR,5602.0,5600.0,36061.0,0.365829,1,N,Z,New York Historical Society,170 Central Park W,New York,35620.0,35644.0,5602.0,A80,NY,10024.0,NEW YORK,A82,,2059192.0,1b,2001.0,0.0,1b,2001.0,23281410.0,3a,2001.0,22582009.0,1b,2001.0,5733403.0,3a,2001.0,23463710.0,3a,2001.0,0.0,1b,2001.0,0.0,1b,2001.0,3970130.0,1b,2001.0,24684668.0,1d,2002.0,PC,O,AR,A,IN,,0.0,1b,2001.0,78152.0,1b,2001.0,24382707.0,1b,2001.0,1951.0,1b,2001.0,A82,A
20555,131628183,200106,2000,2394442,0,2416280,370486,376435,427999,120493,55750,4849473,4358494,7243915,4022928,13494492,0,0,15624416,14771028,1092443,1276536,0,0,0,0,0,0,0,0,0,0,0,0,40914,1617392,0,58209,S,6712022,3,2,0,0,376435,164000,164000,0,2045794,0,0,0,40914,176243,6712022,2689094,-3726575,0,0,0,0,0,0,0,14531973,0,0,0,0,0,0,0,0,0,0,0,59.0,N,8.0,1.0,200226.0,29490159019272.0,1.0,2001,7.0,Y,1.0,N,1.0,0.0,2000.0,10128-0114,10128.0,131628183200106.0,1316281832001.0,6,59.0,0.0,0.0,1083 FIFTH AVE,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,NATIONAL ACADEMY OF DESIGN,1.0,193501.0,,NY,RTF01PC,,5.0,5.0,4.0,A,A25,IN,,AR,A,PC,O,AR,A,,A44Z,A25Z,AR,AR,5602.0,5600.0,36061.0,0.689074,1,N,Z,National Academy of Design,1083 Fifth Ave.,New York,35620.0,35644.0,5602.0,B40,NY,10128.0,NEW YORK,A25,,101150.0,1b,2001.0,0.0,1b,2001.0,4275229.0,3a,2001.0,2186568.0,1b,2001.0,5028834.0,3a,2001.0,4190329.0,3a,2001.0,0.0,1b,2001.0,0.0,1b,2001.0,2293292.0,1b,2001.0,2781577.0,1d,2002.0,PC,O,AR,A,IN,,0.0,1b,2001.0,14710.0,1b,2001.0,11126629.0,1b,2001.0,236528.0,1b,2001.0,A25,A
20556,131628185,200012,2000,61002,79938,893893,450668,75940,0,0,0,1074526,623858,1215466,409197,7760099,147339,0,8199331,7760099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21392,59122,11028,13151,S,743406,3,9,0,0,75940,0,0,0,443225,0,0,0,32420,0,743406,334209,-773441,0,0,0,0,0,0,0,8199331,272696,316413,319196,299693,0,0,1210625,891429,0,0,0,59.0,N,7.0,1.0,200140.0,29490258270161.0,1.0,2000,6.0,Y,1.0,N,1.0,0.0,2000.0,10021-4501,10021.0,131628185200012.0,1316281852000.0,12,59.0,62.0,61.0,215 E 71ST ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,NATIONAL SOCIETY OF COLONIAL DAMES IN THE STATE OF NEW YORK,1.0,194104.0,,NY,CORE00PC,5.0,3.0,4.0,2.0,A,A80,IN,,AR,A,PC,O,AR,A,,,A82Z,AR,AR,5602.0,5600.0,36061.0,0.198904,1,N,Z,National Society of Colonial Dames in the State of New York,215 E. 71st St.,New York,35620.0,35644.0,5602.0,A80,NY,10021.0,NEW YORK,A80,,0.0,1b,2000.0,0.0,1b,2000.0,6978689.0,3a,2000.0,1.0,1b,2000.0,132802.0,3a,2000.0,648508.0,3a,2000.0,0.0,1b,2000.0,9240.0,1b,2000.0,61002.0,1b,2000.0,1.0,1c,2099.0,PC,O,AR,A,IN,,0.0,1b,2000.0,0.0,1b,2000.0,7634798.0,1b,2000.0,71770.0,1b,2000.0,A80,A
20564,131632509,200112,2001,15770,43405,1531367,1491339,85109,0,0,2109,1623133,131794,1682308,226624,2877295,0,0,3236035,2903851,16107,26556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4548,,190969,3,7,0,53219,31890,0,0,0,40028,0,0,0,0,2109,190969,-35655,-306978,0,0,0,0,0,0,0,3219928,22033,175304,31268,381058,0,0,637523,606255,0,0,0,92.0,N,6.0,1.0,200240.0,29490257347162.0,1.0,2001,6.0,Y,1.0,Y,1.0,0.0,2001.0,10021-0043,10021.0,131632509200112.0,1316325092001.0,12,92.0,0.0,0.0,PO BOX 1537,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,BIBLIOGRAPHICAL SOCIETY OF AMERICA,1.0,195101.0,,NY,RTF01PC,4.0,2.0,4.0,2.0,A,A03,IN,,AR,A,PC,O,AR,A,3,,A33C,AR,AR,5602.0,5600.0,36061.0,0.0645044,1,N,Z,Bibliographical Society of America,PO Box 1537 Lenox Hill Station,New York,35620.0,35644.0,5602.0,A03,NY,10021.0,NEW YORK,A03,,0.0,3a,2001.0,0.0,3a,2001.0,445515.0,3a,2001.0,0.0,3a,2001.0,2143971.0,3a,2001.0,287709.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,15770.0,3a,2001.0,100.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,17000.0,3a,2001.0,2707348.0,3a,2001.0,0.0,3a,2001.0,A03,A
20577,131635274,200106,2000,134338,0,150494,147750,118557,1274,0,0,1344003,1196253,1478341,1080570,3097010,0,0,1963333,3169339,84935,72329,0,0,0,0,0,0,0,0,0,0,0,0,0,1074052,0,900,,1330591,3,2,0,0,118557,0,0,0,2744,0,0,0,0,0,1330591,250021,968591,710635,68296,0,0,0,0,0,1878398,0,0,0,0,0,0,0,0,0,0,0,88.0,N,6.0,1.0,200215.0,29490082018262.0,1.0,2001,6.0,Y,1.0,N,1.0,0.0,2000.0,10022-5017,10022.0,131635274200106.0,1316352742001.0,6,88.0,0.0,0.0,340 E 54 ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,NEIGHBORHOOD PLAYHOUSE INC,1.0,193607.0,,NY,RTF01PC,4.0,4.0,4.0,4.0,A,A6E,IN,,AR,A,PC,O,AR,A,,A65P,A6EZ,AR,AR,5602.0,5600.0,36061.0,0.542533,1,N,Z,Neighborhood Playhouse Inc.,340 E. 54 St.,New York,35620.0,35644.0,5602.0,A6E,NY,10022.0,NEW YORK,A6E,,0.0,3a,2001.0,0.0,3a,2001.0,2723109.0,3a,2001.0,93101.0,3a,2001.0,373801.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,134338.0,3a,2001.0,92602.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,0.0,3a,2001.0,2166627.0,3a,2001.0,117701.0,3a,2001.0,A6E,A
20578,131635277,200206,2001,1595424,0,-65141,0,142707,151727,0,0,3881783,3881783,5477207,3734882,5310197,0,0,4884884,6511100,1317012,1200902,0,0,0,0,0,0,0,0,0,0,0,0,0,3648742,84378,70397,,5477207,3,2,0,0,142707,700,700,0,-65141,0,0,0,84378,0,5477207,1742325,0,2074896,169966,0,0,775708,704993,0,3567872,0,0,0,0,0,0,0,0,0,0,0,30.0,N,7.0,1.0,200252.0,29490341248192.0,1.0,2002,7.0,Y,1.0,N,1.0,0.0,2001.0,10023-7402,10023.0,131635277200206.0,1316352772002.0,6,30.0,0.0,0.0,132 W 60TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,PROFESSIONAL CHILDRENS SCHOOL INC,1.0,193410.0,,NY,RTF01PC,5.0,5.0,5.0,4.0,A,A6E,IN,,AR,A,PC,O,AR,A,,,A6EZ,AR,AR,5602.0,5600.0,36061.0,0.10831400000000001,1,N,Z,Professional Childrens School Inc.,132 W. 60th St.,New York,35620.0,35644.0,5602.0,A6E,NY,10023.0,NEW YORK,A6E,,0.0,3a,2002.0,0.0,3a,2002.0,2776551.0,3a,2002.0,1977600.0,3a,2002.0,679112.0,3a,2002.0,1854434.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,1595424.0,3a,2002.0,1635228.0,3a,2002.0,PC,O,AR,A,IN,,0.0,3a,2002.0,21700.0,3a,2002.0,1815200.0,3a,2002.0,113400.0,3a,2002.0,A6E,A
20591,131641082,200012,2000,2611701,0,81778,82939,417843,321990,0,0,699326,616387,3311027,2896206,13022711,134193,0,12951757,13451679,228132,428968,0,0,0,0,0,0,0,0,0,0,0,0,161027,76787,-82427,44318,,3067061,3,9,0,406718,11125,0,0,0,-1161,0,0,0,78600,0,3067061,170855,128231,1275421,112687,0,0,0,0,0,12723625,9277752,0,421952,1635863,0,0,11335567,10913615,0,0,0,161.0,N,8.0,1.0,200204.0,29490005280042.0,1.0,2000,6.0,Y,1.0,N,1.0,0.0,2000.0,10011-6301,10011.0,131641082200012.0,1316410822000.0,12,161.0,180.0,59.0,15 W 16TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,YIVO INSTITUTE FOR JEWISH RESEARCH INC,1.0,195710.0,,NY,RTF01PC,,4.0,4.0,4.0,A,A23,IN,,AR,A,PC,O,AR,A,,,H99Z,AR,AR,5602.0,5600.0,36061.0,0.19306700000000002,1,N,J,Yivo Institute for Jewish Research Inc.,15 W. 16th St.,New York,35620.0,35644.0,5602.0,X30,NY,10011.0,NEW YORK,X30,,35300.0,3a,2000.0,0.0,3a,2000.0,3781503.0,3a,2000.0,36800.0,3a,2000.0,7472506.0,3a,2000.0,1768601.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,2576401.0,3a,2000.0,41600.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,7801446.0,3a,2000.0,2987418.0,3a,2000.0,0.0,3a,2000.0,X30,X
20600,131655273,200012,2000,8220,37300,145755,101219,15212,0,0,0,236280,135061,281800,53146,361407,0,0,301580,362807,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,67608,0,1167,6538,,112973,3,9,0,0,15212,0,0,0,44536,0,0,0,68775,0,112973,59827,0,17367,3932,0,0,0,0,0,301580,16232,240579,0,79699,0,0,336510,336510,0,0,0,64.0,N,4.0,1.0,200141.0,29490216119061.0,1.0,2000,4.0,Y,1.0,N,1.0,0.0,2000.0,10022-1909,10022.0,131655273200012.0,1316552732000.0,12,64.0,59.0,62.0,122 E 58TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,ST NICHOLAS SOCIETY OF THE CITY OF NY,1.0,194710.0,,NY,CORE00PC,2.0,2.0,2.0,1.0,A,A80,IN,,AR,A,PC,O,AR,A,,,A82Z,AR,AR,5602.0,5600.0,36061.0,0.496224,1,N,RQ,St. Nicholas Society of the City of Ny,122 E. 58th St.,New York,35620.0,35644.0,5602.0,A80,NY,10022.0,NEW YORK,A82,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,1200.0,3a,2000.0,0.0,3a,2000.0,8220.0,3a,2000.0,0.0,3a,2000.0,PC,O,AR,A,IN,,260105.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,19800.0,3a,2000.0,A82,A
20606,131656636,200112,2001,141095,44275,0,0,32121,33913,0,0,471069,471069,656439,290281,1752859,41000,0,1562622,1782249,26036,29390,0,0,0,0,0,0,0,0,0,0,0,0,149885,7068,257865,0,,506554,3,9,0,32121,0,24130,24130,0,0,0,0,0,407750,0,506554,216273,0,39327,7822,0,0,0,0,0,1536586,250668,171219,1531515,206991,0,0,2179185,647670,0,0,0,62.0,N,6.0,1.0,200239.0,29490250208132.0,1.0,2001,5.0,Y,1.0,N,1.0,0.0,2001.0,10028-0101,10028.0,131656636200112.0,1316566362001.0,12,62.0,61.0,0.0,991 FIFTH AVE,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,AMERICAN IRISH HISTORICAL SOCIETY INC,1.0,194301.0,,NY,RTF01PC,4.0,3.0,3.0,2.0,A,A80,IN,,AR,A,PC,O,AR,A,,,A82Z,AR,AR,5602.0,5600.0,36061.0,0.47086300000000003,1,N,Z,American Irish Historical Society Inc.,991 Fifth Ave.,New York,35620.0,35644.0,5602.0,A80,NY,10028.0,NEW YORK,A82,,0.0,3a,2001.0,0.0,3a,2001.0,1752859.0,3a,2001.0,335109.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,141095.0,3a,2001.0,325505.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,0.0,3a,2001.0,2900.0,3a,2001.0,541215.0,3a,2001.0,A82,A
20620,131656691,200112,2001,60246,51838,228486,302668,35838,39987,0,0,272869,-29799,384953,146268,1094794,0,0,1240030,1106494,11858,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,8545,0,0,,82285,3,9,0,0,35838,0,0,0,-74182,0,0,0,0,0,82285,-63983,-69395,33845,2476,0,0,0,0,0,1228172,311646,204059,30491,120477,0,0,666673,636182,0,0,0,59.0,N,6.0,1.0,200230.0,29490180036012.0,1.0,2001,4.0,Y,1.0,N,1.0,0.0,2001.0,10022-1909,10022.0,131656691200112.0,1316566912001.0,12,59.0,908.0,0.0,122 E 58TH ST,2.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,SOCIETY OF MAYFLOWER DESCENDANTS IN THE STATE OF NEW YORK,1.0,194212.0,,NY,RTF01PC,4.0,1.0,2.0,2.0,A,A80,IN,,AR,A,PC,O,AR,A,,,A82Z,AR,AR,5602.0,5600.0,36061.0,0.41884799999999994,1,N,Z,Society of Mayflower Descendants in the State of New York,122 E. 58th St.,New York,35620.0,35644.0,5602.0,A80,NY,10022.0,NEW YORK,A80,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,60246.0,3a,2001.0,0.0,3a,2001.0,PC,O,AR,A,IN,,1074691.0,3a,2001.0,11701.0,3a,2001.0,0.0,3a,2001.0,15001.0,3a,2001.0,A80,A
20632,131661610,200109,2000,42837,44209,0,0,20766,0,0,0,105716,105716,192762,168169,503389,0,0,478796,503389,0,0,503389,0,0,0,0,0,0,0,0,0,0,0,0,40915,0,44035,,192762,3,7,0,0,20766,0,0,0,0,0,0,0,0,0,192762,24593,0,48725,3657,0,0,0,0,478796,478796,251747,154571,157576,76262,0,0,641030,483454,0,0,0,119.0,N,5.0,1.0,200235.0,29490159212222.0,1.0,2001,4.0,Y,1.0,N,1.0,0.0,2000.0,10003-3208,10003.0,131661610200109.0,1316616102001.0,9,119.0,59.0,0.0,41 UNION SQUARE W,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,NATIONAL ASSOCIATION OF WOMEN ARTISTS INC,1.0,194209.0,,NY,RTF01PC,3.0,2.0,2.0,2.0,A,A03,IN,,AR,A,PC,O,AR,A,4,,A40C,AR,AR,5602.0,5600.0,36061.0,0.43463900000000005,1,N,Z,National Association of Women Artists Inc.,41 Union Sq W. Ste. 906,New York,35620.0,35644.0,5602.0,A03,NY,10003.0,NEW YORK,A03,26,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,42837.0,3a,2001.0,0.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,1600.0,3a,2001.0,0.0,3a,2001.0,5301.0,3a,2001.0,A0326,A
20639,131664048,200112,2001,1333031,0,109838964,108582628,192364,143829,0,0,110462955,1880327,111795986,3092142,14941674,0,0,15248909,15214131,337761,272457,0,0,0,0,0,0,0,0,0,0,0,0,90690,0,340937,0,,3122668,3,7,0,40791,151573,0,0,0,1256336,0,0,0,431627,0,3122668,30526,0,160461,14763,0,0,0,0,0,14911148,4742346,0,414655,796519,0,0,5924465,5509810,0,0,0,119.0,N,8.0,1.0,200245.0,29490285168082.0,1.0,2001,9.0,Y,1.0,N,1.0,0.0,2001.0,10017-5404,10017.0,131664048200112.0,1316640482001.0,12,119.0,911.0,0.0,51 E 42ND ST STE 400,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,AMERICA-ISRAEL CULTURAL FOUNDATION INC,1.0,195105.0,,NY,RTF01PC,,4.0,6.0,4.0,A,A12,IN,,AR,A,PC,S,ZB,A,0,,A00J,AR,AR,5602.0,5600.0,36061.0,0.328339,1,N,Z,America-Israel Cultural Foundation Inc.,51 E. 42nd St. Ste. 400,New York,35620.0,35644.0,5602.0,A12,NY,10017.0,NEW YORK,A12,20,0.0,3a,2001.0,7600.0,3a,2001.0,9167945.0,3a,2001.0,32600.0,3a,2001.0,528503.0,3a,2001.0,5245226.0,3a,2001.0,27500.0,3a,2001.0,0.0,3a,2001.0,1325431.0,3a,2001.0,47200.0,3a,2001.0,PC,S,ZB,A,IN,,0.0,3a,2001.0,2779706.0,3a,2001.0,11896224.0,3a,2001.0,410001.0,3a,2001.0,A1220,A
20641,131664054,200108,2000,42664282,0,111947881,108085413,4813253,2668552,0,0,137076371,28990958,179740653,46148436,214137271,677581,327351,252898827,232313934,19083749,18176663,0,0,0,0,0,0,0,0,0,0,0,0,669593,20030092,-384448,0,S,70985647,3,7,0,280319,4532934,0,0,0,3862468,0,0,0,285145,0,69531044,23382608,-43060415,24070330,1266453,0,0,0,0,0,233815078,51465863,0,76614222,13376482,0,0,141456567,64842345,0,0,0,119.0,N,9.0,1.0,200223.0,29490124219152.0,1.0,2001,9.0,Y,1.0,N,1.0,0.0,2000.0,10023-6210,10023.0,131664054200108.0,1316640542001.0,8,119.0,0.0,0.0,10 LINCOLN CENTER PLAZA,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,PHILHARMONIC-SYMPHONY SOCIETY OF NEW YORK INC,1.0,192802.0,NEW YORK PHILHARMONIC,NY,RTF01PC,6.0,,6.0,,A,A69,IN,,AR,A,PC,O,AR,A,,,A69Z,AR,AR,5602.0,5600.0,36061.0,0.708481,1,N,Z,Philharmonic-Symphony Society of New York Inc.,10 Lincoln Center Plz,New York,35620.0,35644.0,5602.0,A69,NY,10023.0,NEW YORK,A69,,390700.0,1b,2001.0,357648.0,1b,2001.0,98237033.0,3a,2001.0,6730110.0,1b,2001.0,8463303.0,3a,2001.0,107436836.0,3a,2001.0,0.0,1b,2001.0,0.0,1b,2001.0,41915934.0,1b,2001.0,9221879.0,1d,2002.0,PC,O,AR,A,IN,,523741.0,1b,2001.0,0.0,1b,2001.0,196589404.0,1b,2001.0,0.0,1b,2001.0,A69,A
20645,131669204,200108,2000,125112,0,0,0,2963,8640,0,0,269401,269401,394513,369549,172502,0,0,210471,1183570,28474,1011068,0,0,0,0,0,0,0,0,0,0,0,0,34459,154828,77151,0,,360054,3,9,0,2963,0,0,0,0,0,0,0,0,111610,0,360054,-9495,0,108063,31019,0,0,0,1000000,0,181997,447542,0,1093667,6483,0,0,1547692,454025,0,0,0,349.0,N,6.0,1.0,200217.0,29490096131062.0,1.0,2001,4.0,Y,1.0,N,1.0,0.0,2000.0,10021-5108,10021.0,131669204200108.0,1316692042001.0,8,349.0,0.0,0.0,167 E 69TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,SCULPTURE CENTER INC,1.0,194409.0,,NY,RTF01PC,4.0,2.0,2.0,2.0,A,A40,IN,,AR,A,PC,O,AR,A,,,A43Z,AR,AR,5602.0,5600.0,36061.0,0.23918000000000003,1,N,Z,Sculpture Center Inc.,11 17 43rd Ave.,Long Is City,35620.0,35644.0,5602.0,A40,NY,10021.0,NEW YORK,A40,,24002.0,3a,2001.0,0.0,3a,2001.0,161002.0,3a,2001.0,1160769.0,3a,2001.0,11500.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,101110.0,3a,2001.0,93932.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,2400.0,3a,2001.0,0.0,3a,2001.0,9001.0,3a,2001.0,A40,A
20646,131669334,200206,2001,1252980,227297,0,0,76884,633871,0,0,4262989,4262989,5743266,5991759,5903121,169170,0,12863422,12426012,5774621,6522891,0,0,0,0,0,0,0,0,0,0,0,0,87703,3715157,84582,252648,,5655563,3,7,0,29826,47058,46015,46015,0,0,0,0,0,172285,0,5655563,-336196,-849484,1722799,133332,0,0,0,0,0,7088801,6002762,970279,13119859,688723,0,0,21534771,8414912,0,0,0,119.0,N,8.0,1.0,200252.0,29490341133122.0,1.0,2002,7.0,Y,1.0,N,1.0,0.0,2001.0,10021-6508,10021.0,131669334200206.0,1316693342002.0,6,119.0,0.0,0.0,41 E 65TH ST,1.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,AMERICAN FEDERATION OF ARTS INC,1.0,194408.0,,NY,RTF01PC,,5.0,5.0,5.0,A,A02,IN,,AR,A,PC,O,AR,A,5,A31Z,A51B,AR,AR,5602.0,5600.0,36061.0,0.741448,1,N,Z,American Federation of Arts Inc.,41 E. 65th St.,New York,35620.0,35644.0,5602.0,A03,NY,10021.0,NEW YORK,A03,50,0.0,1a,2002.0,0.0,1a,2002.0,252601.0,3a,2002.0,1587212.0,1a,2002.0,1653106.0,3a,2002.0,4502616.0,3a,2002.0,0.0,1a,2002.0,0.0,1a,2002.0,1252980.0,1a,2002.0,1633385.0,1b,2001.0,PC,O,AR,A,IN,,0.0,1a,2002.0,0.0,1a,2002.0,4361211.0,1a,2002.0,96487.0,1a,2002.0,A0350,A
20649,131671027,200006,1999,78435,28741,9100,9100,4069,12361,192,5308,24950,15658,132126,167735,445565,21250,0,597647,516481,107181,70916,0,0,0,0,0,0,0,0,0,0,0,0,0,6281,0,0,,122834,3,7,0,7956,0,0,0,-3887,0,0,0,0,0,5500,122834,-44901,0,35820,4399,0,0,0,0,0,490466,1580027,257969,128164,67901,0,0,2322356,2194192,0,0,0,30.0,N,5.0,1.0,200236.0,29490229139172.0,1.0,2000,4.0,Y,1.0,N,1.0,0.0,1999.0,10022-6830,10022.0,131671027200006.0,1316710272000.0,6,30.0,0.0,0.0,457 MADISON AVE,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,ARCHITECTURAL LEAGUE OF NEW YORK,1.0,194712.0,,NY,RTF01PC,3.0,2.0,2.0,2.0,A,A03,IN,,AR,A,PC,O,AR,A,4,,A41C,AR,AR,5602.0,5600.0,36061.0,0.651687,1,N,Z,Architectural League of New York,457 Madison Ave.,New York,35620.0,35644.0,5602.0,A03,NY,10022.0,NEW YORK,A03,40,11607.0,3a,2000.0,0.0,3a,2000.0,81408.0,3a,2000.0,41484.0,3a,2000.0,297286.0,3a,2000.0,66780.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,66813.0,3a,2000.0,5489.0,3a,2000.0,PC,O,AR,A,IN,,10371.0,3a,2000.0,127910.0,3a,2000.0,129985.0,3a,2000.0,0.0,3a,2000.0,A0340,A
