,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,OLDNTEE,NTEE2,TOTREV,RASCD,RINCCD,RREVCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
10355,112104059,2531123,0,0,0,59991,498908,111906,130956,1194345,1082439,3725468,3659891,1278298,0,0,2753859,3246558,1429232,1968260,0,0,0,0,0,0,0,0,0,0,0,0,0,641350,0,250142,,A57Z,,3613562,4.0,4.0,4.0,4.0,NEW YORK HALL OF SCIENCE,,47 01 111TH ST,CORONA,NY,11368-2999,0.0,3.0,3.0,2000.0,196411.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,,A57Z,A57,,PC,O,AR,A,IN,,1991,A,A57Z,0.904429,11368.0,11368.0,5602.0,5600.0,36081.0,,AR,1992,A57,199206,NY,11368.0,CORONA,,,A,AR,AR,PC,O,AR,A,IN,,A57,A
10357,112106191,352370,0,0,0,842,40035,0,0,131045,131045,483415,478953,-102680,29539,0,73213,49909,180355,152589,0,0,0,0,0,0,0,0,0,0,0,0,0,85649,42613,1941,,A69Z,,483415,1.0,2.0,2.0,2.0,QUEENS SYMPHONY ORCHESTRA INC,,31 00 47TH AVE,LONG ISLAND CITY,NY,11101-0000,0.0,3.0,3.0,2000.0,195703.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,0.0,1,1,6.0,1,36081.0,,A69Z,A69,,PC,O,AR,A,IN,,1991,A,A69Z,0.105976,11101.0,11101.0,5602.0,5600.0,36081.0,,AR,1992,A69,199206,NY,11101.0,LONG ISLAND CITY,,,A,AR,AR,PC,O,AR,A,IN,,A69,A
10377,112136919,36075,0,0,0,73,0,0,0,73,73,36148,34210,200079,0,0,200100,200079,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A99Z,,36148,2.0,1.0,1.0,1.0,ALFRED T WHITE JR COMMUNITY CENTER,,26 WILLOW PL,BROOKLYN,NY,11201-4513,0.0,3.0,3.0,2000.0,63.0,1.0,15.0,1.0,1.0,0.0,10.0,4,,119.0,59.0,0.0,ALM97,1992.0,1.0,1,1,6.0,1,36047.0,,A99Z,A99,,PC,O,AR,A,IN,,1990,A,A99Z,0.951369,11201.0,11201.0,5602.0,5600.0,36047.0,,AR,1991,A99,199104,NY,11201.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A99,A
10392,112157260,24100,0,0,0,7,0,0,0,1657,1657,25757,27301,11473,0,0,13017,11473,0,0,11473,0,0,0,0,0,0,0,0,0,0,0,0,1650,0,0,,A65Z,,25757,1.0,1.0,1.0,1.0,N Y STREET THEATRE CARAVAN INC,% MARKETA KIMBRELL,87 05 CHELSEA ST,JAMAICA,NY,11432-2438,0.0,3.0,3.0,1000.0,196807.0,1.0,15.0,1.0,11.0,0.0,20.0,6,,59.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.7291569999999999,11432.0,11432.0,5602.0,5600.0,36081.0,,AR,1993,A65,199306,NY,11432.0,JAMAICA,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
10403,112164064,5295,0,0,0,0,0,0,0,36649,36649,41944,42608,649,0,0,1313,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34549,2100,0,,A65Z,,41944,1.0,1.0,1.0,1.0,THE BELMONT ITALIAN AMERICAN PLAYHOUSE LTD,,2385 ARTHUR AVE,BRONX,NY,10458-8103,0.0,3.0,3.0,1000.0,199601.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,319.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36005.0,,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.623596,10458.0,10458.0,5602.0,5600.0,36005.0,,AR,1992,A65,199212,NY,10458.0,BRONX,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
10421,112201344,8378417,0,0,0,98458,680492,0,0,4586299,4555698,12964716,12994637,2390660,506515,0,6593792,11140580,3992344,8749920,0,0,0,0,0,0,8292,0,8292,0,0,0,150266,2818608,0,907807,S,A60Z,,12783849,6.0,6.0,6.0,6.0,BROOKLYN ACADEMY OF MUSIC INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,1000.0,196912.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36047.0,,A60Z,A60,,PC,O,AR,A,IN,,1991,A,A60Z,0.245444,11217.0,11217.0,5602.0,5600.0,36047.0,,AR,1992,A60,199206,NY,11217.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A60,A
10434,112207752,74989,0,0,0,0,0,0,0,32008,32008,106997,104048,299560,12845,0,344976,302989,48365,3429,0,0,0,0,0,0,0,0,0,0,0,0,0,32008,0,0,,A62Z,A23Z,106997,2.0,2.0,2.0,2.0,AIMS OF MODZAWE INC,,115 62 SUTPHIN BLVD,JAMAICA,NY,11434-1019,0.0,3.0,3.0,2000.0,197309.0,1.0,15.0,1.0,11.0,0.0,10.0,7,,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,,A62Z,A62,,PC,O,AR,A,IN,,1991,A,A62Z,0.649705,11434.0,11434.0,5602.0,5600.0,36081.0,,AR,1992,A62,199207,NY,11434.0,JAMAICA,,,A,AR,AR,PC,O,AR,A,IN,,A62,A
10444,112219193,926089,5420,0,0,2277,0,0,0,115848,115848,1047357,999591,133766,312859,0,147641,193180,32906,59414,0,0,0,0,0,0,0,0,0,0,0,0,28735,49643,24661,10532,,A26Z,,1018622,2.0,4.0,4.0,3.0,QUEENS COUNCIL ON THE ARTS INC,,79 01 PARK LN S,WOODHAVEN,NY,11421-0000,0.0,3.0,3.0,2000.0,197012.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,,A26Z,A26,,PC,O,AR,A,IN,,1992,A,A26Z,0.37701399999999996,11421.0,11421.0,5602.0,5600.0,36081.0,,AR,1993,A26,199306,NY,11421.0,WOODHAVEN,,,A,AR,AR,PC,O,AR,A,IN,,A26,A
10518,112278998,1176295,9805,0,0,5207,0,11639,9776,140293,128654,1326393,1403955,2070,84800,0,241401,202048,123188,199978,0,0,0,0,0,0,0,0,0,0,0,0,26942,58199,28530,0,,A20Z,,1287812,2.0,4.0,4.0,4.0,QUEENS MUSEUM OF ART,,FLSHNG MDWS CORONA PARK N,QUEENS,NY,11368-0000,0.0,3.0,3.0,1200.0,197208.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,,A20Z,A20,,PC,O,AR,A,IN,,1991,A,A20Z,0.611526,11368.0,11368.0,5602.0,5600.0,36081.0,,AR,1992,A51,199206,NY,11368.0,QUEENS,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
10568,112309024,387820,0,0,0,0,0,0,0,11895,11895,399715,406035,18393,0,0,65426,51851,40713,33458,0,0,0,0,0,0,0,0,0,0,0,0,0,11895,0,0,,A20Z,,399715,1.0,2.0,2.0,2.0,MARTIN DEPORRES COMMUNITY SERVICE CENTER INC,,4 25 ASTORIA BLVD,ASTORIA,NY,11102-4322,,3.0,3.0,1000.0,74.0,,15.0,,,,,12,,296.0,0.0,0.0,ALM97,1992.0,1.0,1,1,6.0,1,36081.0,,A20Z,A20,,PC,O,AR,A,IN,,1990,A,A20Z,0.0351577,11102.0,11102.0,5602.0,5600.0,36081.0,,AR,1990,A20,199012,NY,11102.0,ASTORIA,,,A,AR,AR,PC,O,AR,A,IN,,A20,A
10615,112346647,3987130,2325,0,0,2450,0,0,0,8321,8321,3997776,3992005,-3270,0,0,398617,451638,367492,454908,0,0,0,0,0,0,0,0,0,0,0,0,40445,0,-17245,-17329,,S80Z,,3957331,2.0,4.0,4.0,4.0,COUNCIL OF JEWISH ORGANIZATIONS OF BORO PARK INC,,5224 13TH AVE,BROOKLYN,NY,11219-3810,0.0,3.0,3.0,1000.0,198308.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,408.0,569.0,0.0,B9710,,0.0,1,1,6.0,1,36047.0,,S80Z,S80,,PC,O,PB,S,IN,,1992,S,S80Z,0.871143,11219.0,11219.0,5602.0,5600.0,36047.0,,PU,1992,S80,199212,NY,11219.0,BROOKLYN,,,S,PU,OT,PC,O,PB,S,IN,,A23,A
10664,112393789,26412,0,0,0,977,0,0,0,21584,21584,47996,44711,54985,0,0,52032,54985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17215,3392,0,,A65Z,,47996,1.0,1.0,1.0,1.0,GOLD MOUNTAIN INSTITUTE FOR TRADITIONAL SHADOW THEATER INC,,33 47 91ST ST,JACKSON HEIGHTS,NY,11372-1749,0.0,3.0,3.0,2000.0,197702.0,1.0,16.0,1.0,11.0,0.0,10.0,3,ATER INC,90.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.07494680000000001,11372.0,11372.0,5602.0,5600.0,36081.0,,AR,1993,A65,199303,NY,11372.0,JACKSON HEIGHTS,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
10668,112396324,79790,0,0,0,679,15335,0,0,679,679,80469,81395,12175,36692,0,13101,44368,0,32193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A54Z,,80469,1.0,1.0,1.0,1.0,KING MANOR ASSOCIATION OF LONG ISLAND INC,,90 04 161ST ST STE 704,JAMAICA,NY,11432-0000,0.0,3.0,3.0,1200.0,197901.0,1.0,15.0,1.0,11.0,0.0,10.0,12,TTE KNOBLOCK,62.0,60.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,,A54Z,A54,,PC,O,AR,A,IN,,1992,A,A54Z,0.547856,11432.0,11432.0,5602.0,5600.0,36081.0,,AR,1992,A54,199212,NY,11432.0,JAMAICA,,,A,AR,AR,PC,O,AR,A,IN,,A54,A
10688,112407454,17927,4341,0,0,49,0,0,0,9409,9409,31677,34761,9284,0,0,12368,9343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4667,0,4693,,A69Z,,31677,1.0,1.0,1.0,1.0,NEIGHBORHOOD CHAMBER ORCHESTRA INC,,1344 E 22ND ST,BROOKLYN,NY,11210-4517,0.0,3.0,3.0,1000.0,197702.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,90.0,119.0,149.0,B9702,1997.0,1.0,1,1,6.0,1,36047.0,,A69Z,A69,,PC,O,AR,A,IN,,1992,A,A69Z,0.287746,11210.0,11210.0,5602.0,5600.0,36047.0,,AR,1992,A69,199212,NY,11210.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A69,A
