,EIN,NAME,SEC_NAME,ADDRESS,CITY,STATE,ZIP,ZIP5,CONTACT,NTEEIRS,SUBSECCD,FNDNCD,RULEDATE,ORGCD,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,CLASSCD,DEDUCTCD,EOSTATUS,FRCD,GEN,TAXPER,FISYR,SOIYR,STYEAR,subcd,CONT,PROGREV,INVINC,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,RENTINC,rntlexpnsreal,rntlexpnsprsnl,RENTEXP,rntlincreal,rntlincprsnl,NETRENT,SECUR,SALEOTHG,SALESEXP,SALEOTHE,SALESECN,SALEOTHN,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,SPEVTG,DIREXP,FUNDINC,INVENTG,GOODS,GRPROF,OTHINC,TOTREV2,TOTREV,GRREC,COMPENS,OTHSAL,PAYTAX,FUNDFEES,EXPS,NETINC,OTHCHGS,ASS_BOY,ASS_EOY,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,unsecurednotesend,LIAB_BOY,LIAB_EOY,RETE_BOY,RETEARN,NETA_BOY,FUNDBAL,Q78A,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,REASON,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,grsinc170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,txrevnuelevied509,srvcsval509,subtotsuppinc509,totsupp509,inPrior,inPriorSrc,taxperP,fisyrP,doccdP,contP,progrevP,duesP,invincP,netrentP,salesecnP,saleothnP,fundincP,grprofP,othincP,totrevP,expsP,netincP,compensP,othsalP,paytaxP,fundfeesP,DocCD,FileName,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,DLN,nteeFinal,nteeFinal1,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NAICS,LONGITUDE,LATITUDE,censusTract,block,epostcard,SOURCE,KeyID,VERIFY
5536,261164518,WOODFIELD COLUMBIA PIKE ACQUISITION COMPANY,,PO BOX 5005,NEW YORK,NY,10163-5005,10163.0,CYNDI QUINTERO,Y19,25,0.0,201311.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201212,2012,2012,2012,25.0,0,1395760,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1395810,1395810,1395810,0.0,0.0,0.0,0.0,548121,847689,,0.0,85258113,,0.0,,0.0,0.0,0.0,310650,,3660936.0,0.0,84947463,N,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,261164518_201212_990O,IN,,261164518201212,2611645182012,,A60,A,36061.0,5602.0,5600.0,A60,A,O,O,AR,A,A,1,AR,AR,AR,0.38044,C,711100.0,,,,,0,rtf13_990_VER,105857,0
5739,271068257,REMBRANDT CLUB,,16 REMSEN ST,BROOKLYN,NY,11201-4501,11201.0,THOMAS CHITTENDEN,A19,4,0.0,201002.0,5.0,6.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,10.0,0.0,201306,2013,2012,2012,4.0,0,52800,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,52800,52800,52800,,,,,48306,4494,0.0,33328.0,37822,,,,,,0.0,0,,,33328.0,37822,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2011co,201206.0,2012.0,92.0,0.0,51500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51500.0,50558.0,942.0,,,,,92,271068257_201306_990EO,IN,,271068257201306,2710682572013,,A19,A,36047.0,5602.0,5600.0,A19,A,O,O,AR,A,A,1,AR,AR,AR,0.08294,B,813219.0,,,,,0,rtf13_990EZ_VER,123703,0
14317,133667013,AMERICAN BOOK PRODUCERS ASSOCIATION INC,,435 W 23RD ST APT 8C,NEW YORK,NY,10011-1437,10011.0,MTM PUBLISHING,,6,0.0,199207.0,1.0,6.0,120.0,200.0,0.0,3.0,1000.0,2.0,1.0,2.0,0.0,201306,2013,2012,2012,6.0,0,12111,2,,,,,,,,,,,,,0,,0,,0,0.0,320.0,,,0.0,,,320,707,-387,0,0,0,0,11726,11726,12433,,,,,8759,2967,0.0,3620.0,3147,,,,,,3440.0,0,,,180.0,3147,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2012co,201206.0,2012.0,92.0,0.0,16165.0,0.0,2.0,0.0,0.0,0.0,84.0,0.0,0.0,16251.0,19031.0,-2780.0,,,,,92,133667013_201306_990EO,IN,,133667013201306,1336670132013,29492018131164.0,A33,A,36061.0,5602.0,5600.0,A33,A,O,O,AR,A,A,1,AR,AR,AR,0.9532299999999999,C,511100.0,,,,,0,rtf13_990EZ_VER,6664,0
16212,352237120,MUSIC ACCORD INC,,340 W 55TH ST APT 10B,NEW YORK,NY,10019-3753,10019.0,ED YIM,A68,4,0.0,200601.0,1.0,12.0,0.0,0.0,0.0,3.0,3000.0,2.0,1.0,1.0,0.0,201312,2013,2013,2013,4.0,52500,0,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,52500,52500,52500,,,,,79415,-26915,0.0,173263.0,146348,,,,,,0.0,0,,,173263.0,146348,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2012co,201212.0,2012.0,92.0,86000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86000.0,71612.0,14388.0,,,,,92,352237120_201312_990EO,IN,,352237120201312,3522371202013,29492067072064.0,A68,A,36061.0,5602.0,5600.0,A68,A,O,O,AR,A,A,1,AR,AR,AR,0.28765999999999997,A,711130.0,,,,,0,rtf13_990EZ_VER,16975,0
18131,42565109,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,,152 MADISON AVE RM 1702,NEW YORK,NY,10016-5464,10016.0,,,6,0.0,197704.0,1.0,12.0,200.0,0.0,0.0,3.0,2000.0,2.0,1.0,1.0,0.0,201312,2013,2013,2013,6.0,0,182434,8,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,182442,182442,182442,,,,,182225,217,0.0,168.0,385,,,,,,0.0,0,,,168.0,385,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2012co,201212.0,2012.0,92.0,0.0,177623.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,177641.0,208933.0,-31292.0,,,,,92,042565109_201312_990EO,IN,,42565109201312,425651092013,29492074190124.0,A23,A,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.5959,A,710000.0,,,,,0,rtf13_990EZ_VER,23754,0
19038,510180605,NATIONAL ANTIQUE AND ART DEALERS ASSOCIATION OF AMERICA INC,,220 E 57TH ST,NEW YORK,NY,10022-2805,10022.0,,,6,0.0,197602.0,1.0,4.0,200.0,0.0,0.0,3.0,2000.0,2.0,1.0,2.0,0.0,201304,2013,2012,2012,6.0,0,22100,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,9,22109,22109,22109,,,,,35418,-13309,0.0,43050.0,29741,,,,,,2000.0,2000,,,41050.0,27741,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2012co,201204.0,2012.0,92.0,0.0,27882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27885.0,983.0,26902.0,,,,,92,510180605_201304_990EO,IN,,510180605201304,5101806052013,29492088078144.0,A0326,A,36061.0,5602.0,5600.0,A032,A,O,O,AR,A,A,1,AR,AR,AR,0.9022600000000001,A,813920.0,,,,,0,rtf13_990EZ_VER,28137,0
19690,300379922,ETHIOPIAN EDIR MUTUAL ASSISTANCE ASSOCIATION IN NEW YORK INC,,PO BOX 250807,NEW YORK,NY,10025-1509,10025.0,WOLDE G MARIAM,Y22,12,0.0,200711.0,1.0,12.0,0.0,0.0,0.0,3.0,1000.0,2.0,1.0,2.0,0.0,201312,2013,2013,2013,12.0,0,34770,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,34770,34770,34770,,,,,41079,-6309,0.0,114131.0,107822,,,,,,0.0,0,,,114131.0,107822,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2012co,201212.0,2012.0,92.0,0.0,21125.0,0.0,6529.0,0.0,0.0,0.0,0.0,0.0,0.0,27654.0,14846.0,12808.0,,,,,92,300379922_201312_990EO,IN,,300379922201312,3003799222013,29492088209154.0,A23,A,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.71548,A,710000.0,,,,,0,rtf13_990EZ_VER,30256,0
24850,742066156,DUWEL COMPANY,,70 W 36TH ST,NEW YORK,NY,10018-8007,10018.0,,,2,0.0,194204.0,1.0,12.0,29.0,0.0,0.0,3.0,1000.0,2.0,1.0,2.0,0.0,201312,2013,2013,2013,2.0,0,0,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0.0,21808.0,21808,,,,,,0.0,0,,,21808.0,21808,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2012co,201212.0,2012.0,92.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,,,,,92,742066156_201312_990EO,IN,,742066156201312,7420661562013,29492151047034.0,A1960,A,36061.0,5602.0,5600.0,A196,A,O,O,AR,A,A,1,AR,AR,AR,0.93455,C,813219.0,,,,,0,rtf13_990EZ_VER,48789,0
30417,136117924,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,1306 NY LOC AMER MUSEUM NATL HISTRY,79TH ST AND CENTRAL PARK W,NEW YORK,NY,10024-0000,10024.0,ROBERT G SAUNDERS,,5,0.0,195708.0,5.0,12.0,263.0,264.0,279.0,9.0,3000.0,2.0,1.0,1.0,1381.0,201312,2013,2013,2013,5.0,0,115202,47,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,115249,115249,115249,,,,,113820,1429,0.0,49068.0,50497,,,,,,306.0,306,,,48762.0,50191,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2012co,201212.0,2012.0,92.0,0.0,116058.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,116144.0,112686.0,3458.0,,,,,92,136117924_201312_990EO,IN,,136117924201312,1361179242013,29492179103014.0,A50,A,36061.0,5602.0,5600.0,A50,A,O,O,AR,A,A,1,AR,AR,AR,0.26236,A,712110.0,,,,,0,rtf13_990EZ_VER,70635,0
32095,43191447,NORTH AMERICAN TRAVELING MUSICIANS UNION LOCAL NO 1000,,322 W 48TH ST 3RD FLR,NEW YORK,NY,10036-1308,10036.0,STEVE EULBERG SECRETARY,J40,5,0.0,201403.0,5.0,12.0,263.0,264.0,279.0,3.0,3000.0,2.0,1.0,1.0,0.0,201312,2013,2013,2013,5.0,0,52533,11,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,52544,52544,52544,,,,,54325,-1781,14611.0,0.0,21084,,,,,,0.0,8254,,,0.0,12830,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,92,043191447_201312_990EO,IN,,43191447201312,431914472013,29492200026174.0,A68,A,36061.0,5602.0,5600.0,A68,A,O,O,AR,A,A,1,AR,AR,AR,0.3613,A,711130.0,,,,,0,rtf13_990EZ_VER,79985,0
32421,132857251,DECORATIVE FABRICS ASSOCIATION INC,,319 E 24TH ST APT 16A,NEW YORK,NY,10010-4042,10010.0,STEVEN GOLDSTEIN,,6,0.0,197708.0,1.0,12.0,200.0,0.0,0.0,3.0,2000.0,2.0,1.0,1.0,0.0,201312,2013,2013,2013,6.0,30000,74800,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,104800,104800,104800,,,,,80829,23971,0.0,1612.0,25583,,,,,,0.0,0,,,1612.0,25583,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2012co,201212.0,2012.0,92.0,0.0,59916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59916.0,68695.0,-8779.0,,,,,92,132857251_201312_990EO,IN,,132857251201312,1328572512013,29492200141044.0,A40,A,36061.0,5602.0,5600.0,A40,A,O,O,AR,A,A,1,AR,AR,AR,0.60073,A,710000.0,,,,,0,rtf13_990EZ_VER,81917,0
33812,455454734,VOCAL-NY ACTION FUND INC,,80A 4TH AVE,BROOKLYN,NY,11217-1908,11217.0,JAMES LISTER,P20,4,0.0,201308.0,1.0,12.0,0.0,0.0,0.0,3.0,3000.0,1.0,1.0,1.0,0.0,201312,2013,2013,2013,4.0,114068,0,8,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,114076,114076,114076,,,,,61313,52763,0.0,0.0,88037,,,,,,0.0,15437,,,0.0,72600,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,92,455454734_201312_990EO,IN,,455454734201312,4554547342013,29492221170214.0,A6B,A,36047.0,5602.0,5600.0,A6B,A,O,O,AR,A,A,1,AR,AR,AR,0.85049,B,711130.0,,,,,0,rtf13_990EZ_VER,88370,0
34955,133947683,ASSOCIATION OF KOREAN AMERICAN MEDICAL GRADUATES INC,,135 WILLOW ST APT 903,BROOKLYN,NY,11201-2216,11201.0,MINA SONG,N50,7,0.0,201409.0,1.0,12.0,0.0,0.0,0.0,3.0,1000.0,2.0,1.0,2.0,0.0,201312,2013,2013,2013,7.0,0,0,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,48165,48165,48165,48165,,,,,44210,3955,0.0,0.0,83422,,,,,,0.0,0,,,0.0,83422,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,92,133947683_201312_990EO,IN,,133947683201312,1339476832013,29492249072114.0,A23,A,36047.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.3475,A,710000.0,,,,,0,rtf13_990EZ_VER,94028,0
