,EIN,TAXPER,CYCLE,DLN,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA
6203,61532031,200912,201023.0,93491152003020,A12,N,Y,0.0,1.0,2009,3.0,6.0,1.0,3,0.0,0,5,0,0,0,0,0,60000,5,60250,-60245,60000,5,0,1193762,0,0,0,0,54000,1193762,0,61513,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,5,0,250,0,0,0,0,3762,0,0,1193762,0,1139762,0,0,0,0,0,0,0,0,0,0,1248985,61513,0,0,0,0,0,0,0,0,0,0,0,1254007,1314434,1335208,3903649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,61532031200912,615320312009,rtf09pf,0,0,10065.0,ALEPH FOUNDATION FOR HUMANITIES,EURISTATES INC,667 MADISON AVE 11TH FL,NEW YORK,NY,10065-8029,0.0,3.0,1.0,199904.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,3,N,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.56375,A,A70,A,36061.0,5602.0,5600.0
6252,61551999,201006,201050.0,29491324208090,A68,N,Y,0.0,1.0,2009,2.0,3.0,1.0,3,0.0,7051,240,0,0,0,715,0,5600,8006,8982,-976,8255,240,240,46577,0,0,0,0,0,46577,0,2396,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,240,955,3382,0,2655,0,715,501,0,0,46577,0,46577,5,0,0,0,0,0,0,0,0,5,48650,0,240,606,0,1164,2010,2655,14397,10373,16085,43510,0,0,0,0,0,0,0,0,0,0,1597,1459,1057,1381,5494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,61551999201006,615519992010,rtf09pf,5,0,10463.0,JOYCE DUTKA ARTS FOUNDATION INC,JOYCE DUTKA,PO BOX 630053,BRONX,NY,10463-0800,0.0,3.0,1.0,200004.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6,,,0,N,,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.39069,B,A1261,A,36005.0,5602.0,5600.0
6585,61683335,200912,201035.0,93491226002000,A60,N,Y,0.0,1.0,2009,3.0,1.0,1.0,3,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2500,0,0,0,0,1,2500,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,2500,0,0,2500,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,5000,2500,2500,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,61683335200912,616833352009,rtf09pf,0,0,10036.0,MADE TO MOVE INC,FRAN KISMER PRODUCTIONS LLC,C/O FRAN KIRMSER PRODUCTIONS,NEW YORK,NY,10036-0000,0.0,3.0,2.0,200307.0,1.0,15.0,0.0,0.0,0.0,1.0,1.0,200712.0,20.0,12,,,0,N,,A60,A,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.75966,B,A60,A,36061.0,5602.0,5600.0
7151,66356055,200912,201047.0,29491317026170,A40,N,Y,0.0,1.0,2009,3.0,6.0,5.0,3,91.0,0,0,123952,2800,0,0,0,200600,126752,235830,-109078,200600,119138,116336,4441184,783642,0,1447490,2231132,974,4666201,0,149723,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,126752,123952,35230,7614,0,7614,7616,31145,0,1400000,4666201,0,4440210,2383,0,0,13664,0,0,0,0,11281,2383,3040068,147340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,66356055200912,663560552009,rtf09pf,-11281,0,10118.0,THE STEPHEN HAHN FOUNDATION,ISRAELOFF TRATTNER & CO,350 5TH AVE STE 1000,NEW YORK,NY,10118-1000,0.0,3.0,1.0,199108.0,1.0,4.0,91.0,0.0,0.0,2.0,1.0,0.0,1.0,12,HAHN STEPHEN R TTEE,,0,N,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.16908,B,A40,A,36061.0,5602.0,5600.0
7417,112538932,200912,201024.0,29491150051130,,N,Y,0.0,1.0,2009,3.0,4.0,1.0,3,40.0,0,5409,0,0,0,0,0,15973,5409,16195,-10786,15973,5409,0,152014,125000,0,0,125000,0,151921,0,7752,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,5409,0,222,0,0,0,0,0,0,0,151921,0,152014,108,0,0,0,0,0,0,0,0,108,157407,7644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,112538932200912,1125389322009,rtf09pf,108,0,10021.0,RICHARD H GOLDMAN MEMORIAL FOUNDA TION,,150 E 69TH ST APT 7G,NEW YORK,NY,10021-5704,0.0,3.0,1.0,198107.0,1.0,4.0,40.0,0.0,0.0,2.0,1.0,0.0,1.0,12,,,0,N,,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.51783,C,A80,A,36061.0,5602.0,5600.0
7440,112587802,201008,201048.0,29491317013030,,N,Y,0.0,1.0,2009,3.0,1.0,1.0,3,90.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,17,0,0,0,0,0,17,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,17,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,112587802201008,1125878022010,rtf09pf,0,0,10150.0,TOP HAT DANCERS INC,HARRY V SCOTT JR,PO BOX 241,NEW YORK,NY,10150-0241,0.0,3.0,1.0,198112.0,1.0,4.0,90.0,994.0,92.0,1.0,1.0,0.0,1.0,8,,,0,N,,A62,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9407,A,A62,A,36061.0,5602.0,5600.0
7512,112748834,200806,201005.0,29491262000099,,N,Y,0.0,1.0,2007,3.0,1.0,2.0,3,90.0,19635,0,0,0,0,0,0,0,19635,19949,-314,0,0,0,3592,0,0,0,0,0,3592,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,19949,0,0,0,0,3585,0,0,3592,0,3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,112748834200806,1127488342008,rtf09pf,0,0,11207.0,BUSHWICK INSTITUTE OF THE PERFORMING ARTS INC,,112 HENDRIX ST,BROOKLYN,NY,11207-2612,0.0,3.0,2.0,198509.0,1.0,4.0,90.0,0.0,0.0,1.0,1.0,0.0,1.0,6,,,0,N,,A65,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.77727,B,A65,A,36047.0,5602.0,5600.0
7520,112775942,200906,201026.0,29491150211110,A230,N,Y,0.0,1.0,2008,3.0,5.0,3.0,3,90.0,0,0,39028,0,0,0,0,0,39028,27101,11927,27101,11927,0,938207,0,829023,0,829023,0,621240,3256,30596,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,39028,0,27101,27101,27101,27101,0,9117,0,0,621240,0,938207,239,0,0,0,0,0,0,0,0,239,621240,30357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,112775942200906,1127759422009,rtf09pf,239,0,10163.0,THE ARMENIAN CENTER INC,N ORDJANIAN,PO BOX 4042,NEW YORK,NY,10163-4042,0.0,3.0,1.0,198605.0,1.0,15.0,90.0,92.0,119.0,1.0,1.0,0.0,10.0,6,,,0,N,,A23,A,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.27041,A,A23,A,36061.0,5602.0,5600.0
7535,112801382,200906,201003.0,29491353225069,,N,Y,0.0,1.0,2008,3.0,1.0,1.0,3,124.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,500,0,0,0,0,500,500,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,112801382200906,1128013822009,rtf09pf,0,0,11206.0,THE MOVEMENT INTERFACE RESEARCH INSTITUTE INC,,54 BOERUM ST APT 11N,BKLYN NY,NY,11206-2418,0.0,3.0,1.0,198702.0,1.0,4.0,124.0,209.0,0.0,1.0,1.0,0.0,1.0,6,,,0,N,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.39242,C,A70,A,36047.0,5602.0,5600.0
7579,112864409,201002,201034.0,29491212093220,,N,Y,0.0,1.0,2009,3.0,1.0,1.0,3,602.0,0,5,0,0,0,0,0,300,5,365,-360,365,0,0,5019,0,0,0,0,0,5019,0,247,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,5,5,65,65,65,65,65,5019,0,0,5019,0,5019,0,0,0,0,0,0,0,0,0,0,5019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,112864409201002,1128644092010,rtf09pf,0,0,10075.0,THE PHILIP KAPLAN CULTURAL FOUNDATION INC,,445 E 80TH ST APT 4A,NEW YORK,NY,10075-0603,0.0,3.0,1.0,198709.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,0.0,1.0,2,,,0,N,,A122,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.09064,B,A1220,A,36061.0,5602.0,5600.0
7611,112942428,200912,201045.0,29491289004110,,N,Y,0.0,1.0,2009,3.0,2.0,4.0,3,90.0,0,0,0,0,-138501,184000,0,0,45499,29874,15625,0,0,45499,15695,0,0,0,0,0,15695,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,138501,0,45499,29874,0,0,0,0,15695,0,0,15695,0,15695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,112942428200912,1129424282009,rtf09pf,0,0,10122.0,PODVAL ARTS AND POETRY GALLERIES LTD,V MOLOT ESQ,225 W 34TH ST STE 1504,NEW YORK,NY,10122-0049,0.0,3.0,1.0,198903.0,1.0,4.0,90.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.33978,A,A70,A,36061.0,5602.0,5600.0
7617,112945662,200812,,29491115023049,A20,,,,,2008,,,,3,,400,0,0,0,0,0,0,0,400,0,400,0,0,0,2256,0,0,0,0,0,2256,0,110,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,742,0,0,0,0,2256,0,0,0,0,0,0,0,0,0,0,2256,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,112945662200812,1129456622008,CORE08pf,0,0,11361.0,SHOSTAKOVICH CULTURAL PROGRAM INC,,,BAYSIDE,NY,11361-1624,0.0,3.0,1.0,198901.0,1.0,4.0,90.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,,0,N,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.38071,B,A20,A,36081.0,5602.0,5600.0
