,FILER,CODE990,EIN,styear,ASSETCD,INCOMECD,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,POPCD,REASON,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,P1TOTREV,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
13448,990.0,1,130417765,1994,6,6,919,0,922978,0,0,140237,0,0,0,2398756,2398756,3321734,3318385,1957297,523727,0,3235057,3087720,1281109,1130423,0,0,0,0,0,0,0,0,0,0,0,0,0,2258519,0,0,6,1,0,Y,ADVERTISING RES FND,NEW YORK,NY,10022-4503,10022.0,36061,A30,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.0343,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199412,3321734,3321734,199412,1994,NY,10022.0,NEW YORK,A03,A,12,919.0,0.0,0.0,641 LEXINGTON AVE 11TH FLR,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4303.0,,PC,O,AR,A,IN,,A03,A,813920.0
13467,990.0,1,130448930,1993,6,5,65,0,124965,0,0,335,0,0,0,770541,770541,895506,740598,937872,56533,0,1344013,1254306,519394,316434,0,0,0,0,0,0,0,0,0,0,0,0,0,722981,0,47225,6,1,0,Y,ART DIRECTORS CLUB,NEW YORK,NY,10003-1402,10003.0,36061,A25,A,10003.0,5602.0,5600.0,36061.0,,O,O,0.6814899999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199408,895506,895506,199408,1994,NY,10003.0,NEW YORK,A25,A,8,65.0,207.0,119.0,250 PARK AVE S,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3807.0,,PC,O,AR,A,IN,,A25,A,611610.0
13471,990.0,1,130452445,1993,6,6,59,0,2279105,0,0,36757,0,0,0,487562,487562,2766667,1856682,1442210,433317,0,1223407,1719585,330603,277375,0,0,0,0,0,0,0,0,0,0,0,0,360579,0,37660,52566,6,1,0,N,AMER BUSINESS PRESS,NEW YORK,NY,10017-5704,10017.0,36061,A01,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.72123,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199406,2406088,2406088,199406,1994,NY,10017.0,NEW YORK,A0330,A,6,59.0,200.0,0.0,675 3RD AVE RM 415,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3504.0,,PC,O,AR,A,IN,,S41,S,813910.0
13479,990.0,1,130453230,1993,6,7,919,0,3793431,0,0,80939,0,0,0,2177509,2177509,5970940,5987185,590699,1007587,0,3276339,2629633,2669395,2038934,590699,0,0,0,0,0,0,0,0,0,0,0,0,2062475,0,34095,6,1,0,Y,ASSOC NAT ADVERTISERS,NEW YORK,NY,10017-4201,10017.0,36061,A30,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.40059,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199411,5970940,5970940,199411,1994,NY,10017.0,NEW YORK,S41,A,11,919.0,205.0,0.0,155 E 44TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,5.0,4208.0,,PC,O,AR,A,IN,,S41,S,813910.0
13487,990.0,1,130508050,1993,6,4,298,25580,0,405056,485319,87720,0,0,0,387678,-97641,413258,26230,1069234,0,0,1176528,1072234,9003,3000,1060249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-105098,4,1,0,N,BOHEMIAN BENEVOLENT & LITERARY ASSOC NEW YORK CITY,NEW YORK,NY,10021-3705,10021.0,36061,A70,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.44477,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199406,-72061,-72061,199406,1994,NY,10021.0,NEW YORK,A23,B,6,298.0,318.0,319.0,321 E 73RD ST,3.0,0.0,3000.0,JAN HIRD POKORNY PRESIDENT,2.0,13.0,0.0,10.0,0.0,5.0,6501.0,TY,PC,O,AR,A,IN,,A23,A,710000.0
13561,990.0,1,130872850,1994,4,6,279,0,1200201,0,0,4160,0,0,0,200398,200398,1400599,1251163,415324,219060,0,363277,477235,97389,61911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196238,5,1,0,N,INTL PHOTO LOCAL 644 IATSE,NEW YORK,NY,10018-6505,10018.0,36061,A65,A,,5602.0,5600.0,,,O,O,0.84452,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199505,1400599,1400599,199505,1995,NY,,NEW YORK,A65,A,5,279.0,268.0,0.0,505 EIGHTH AVE,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4104.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,J40,J,813930.0
13573,990.0,1,130951470,1993,6,6,119,0,1979394,0,0,128406,0,0,0,799929,799929,2779323,2638472,1652574,872767,0,2220105,2390903,706737,738329,1652574,0,0,0,0,4800,0,0,0,0,0,0,0,577780,0,93743,6,1,0,N,LEAGUE AMER THEATRES & PRODUCERS,NEW YORK,NY,10036-1413,10036.0,36061,A99,A,10036.0,5602.0,5600.0,36061.0,,O,O,0.16183,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199408,2779323,2779323,199408,1994,NY,10036.0,NEW YORK,A0365,A,8,119.0,205.0,279.0,226 W 47TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4210.0,,PC,O,AR,A,IN,,A0365,A,813920.0
13576,990.0,1,130971750,1993,3,4,119,4845,3560,0,0,16,0,0,0,287067,287067,295472,286636,32422,0,0,43972,38711,14665,6289,0,0,0,0,0,0,0,0,0,0,0,0,4872,163307,838,118033,7,1,9,N,LIEDERKRANZ CITY NEW YORK,NEW YORK,NY,10128-0505,10128.0,36061,A6A,A,10128.0,5602.0,5600.0,36061.0,,O,O,0.051829999999999994,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199406,290600,290600,199406,1994,NY,10128.0,NEW YORK,A6A,A,6,119.0,916.0,318.0,6 E 87TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3907.0,,PC,O,AR,A,IN,,A6A,A,711130.0
13613,990.0,1,131087160,1994,7,8,200,506942,6166421,2167507,1984024,145171,0,0,0,4410590,2426566,11083953,8923773,4251981,1407685,0,5770092,5318684,1694267,1066703,4251981,0,0,0,0,0,0,0,0,0,0,0,0,2027176,0,70736,6,1,0,N,MAGAZINE PUBLISHERS AMERICA,NEW YORK,NY,10022-3801,10022.0,36061,A01,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.8906700000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199412,9099929,9099929,199412,1994,NY,10022.0,NEW YORK,A33,A,12,200.0,0.0,0.0,919 THIRD AVE 22ND FL,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4209.0,,PC,O,AR,A,IN,,A0333,A,813920.0
13626,990.0,1,131101367,1993,2,4,200,3660,59560,0,0,219,0,14235,4281,72301,58066,135521,124350,868,0,0,20385,16968,16453,16100,868,0,0,0,0,0,0,0,0,0,0,0,0,51319,0,2247,6,1,0,Y,NEW YORK SOC ARCHITECTS,NEW YORK,NY,10001-6708,10001.0,36061,A01,A,10001.0,5602.0,5600.0,36061.0,,O,O,0.81217,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199411,121286,121286,199411,1994,NY,10001.0,NEW YORK,A03,B,11,200.0,205.0,0.0,275 SEVENTH AVE 15TH FLR,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4208.0,,PC,O,AR,A,IN,,A03,A,813920.0
13679,990.0,1,131374145,1994,5,5,200,0,303388,0,0,11731,0,0,0,302325,302325,605713,393873,558115,87500,0,519746,558115,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,170616,41653,75530,2795,6,1,0,Y,TEXTILE DISTRIBUTORS ASSOC,NEW YORK,NY,10018-7904,10018.0,36061,A01,A,10018.0,5602.0,5600.0,36061.0,,O,O,0.42452,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199412,435097,435097,199412,1994,NY,10018.0,NEW YORK,A40,A,12,200.0,279.0,0.0,45 W 36TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4409.0,,PC,O,AR,A,IN,,A40,A,710000.0
13689,990.0,1,131394480,1994,5,6,205,0,819091,0,0,20878,0,0,0,351521,351521,1170612,1146016,56196,131590,0,606291,677175,574641,620979,0,0,0,0,0,0,0,0,0,0,0,0,0,330643,0,0,6,1,0,N,TRAFFIC AUDIT BUREAU MEDIA MEASUREMENT,NEW YORK,NY,10170-2599,10170.0,36061,A01,A,10170.0,5602.0,5600.0,36061.0,,O,O,0.66399,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199412,1170612,1170612,199412,1994,NY,10170.0,NEW YORK,A30,B,12,205.0,0.0,0.0,420 LEXINGTON AVE 2520,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5501.0,,PC,O,AR,A,IN,,A30,A,510000.0
13697,990.0,1,131406872,1994,2,3,263,0,45180,0,0,287,0,0,0,287,287,45467,44093,17957,0,0,23455,21433,6872,3476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,N,INTL ALLIANCE THEATRICAL STAGE EMP & MVG PIC MACH OP US&CAN,BRONX,NY,10036-5701,10036.0,36061,A65,A,,5602.0,5600.0,,,O,O,0.1962,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199412,45467,45467,199412,1994,NY,,BRONX,A65,A,12,263.0,0.0,0.0,1515 BROADWAY 601,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4407.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,A65,A,711110.0
13704,990.0,1,131426099,1994,4,3,999,0,300,0,0,3563,0,0,0,43223,43223,43523,15981,125042,0,0,124388,125042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26888,0,12772,0,4,1,0,N,UNITED IRISH COUNTIES ASSOC NEW YORK,JACKSON HTS,NY,11372-1457,11372.0,36081,A23,A,11372.0,5602.0,5600.0,36081.0,,O,O,0.9869399999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36081.0,199504,16635,16635,199504,1995,NY,11372.0,JACKSON HTS,A23,A,4,999.0,0.0,0.0,213 16 50TH AVE,3.0,0.0,1000.0,MICHAEL FOGARTY,2.0,11.0,0.0,10.0,0.0,5.0,5604.0,,PC,O,AR,A,IN,,A23,A,710000.0
13728,990.0,1,131505524,1994,6,5,205,0,456986,2566,0,39126,0,1074,3161,278774,277700,735760,511635,1090395,37768,0,1145821,1295082,205272,204687,0,0,0,0,0,0,0,0,0,0,0,0,73205,0,60945,94747,6,1,0,N,AMER INST ARCHITECTS N Y CHAPTER,NEW YORK,NY,10016-6186,10016.0,36061,A40,A,10016.0,5602.0,5600.0,36061.0,,O,O,0.6152,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199412,661481,661481,199412,1994,NY,10016.0,NEW YORK,A40,B,12,205.0,40.0,279.0,200 LEXINGTON AVE RM 602,0.0,0.0,1000.0,,2.0,13.0,11.0,10.0,0.0,1.0,4208.0,N Y CHAPTER,PC,O,AR,A,IN,,A40,A,710000.0
13740,990.0,1,131520977,1993,3,3,119,0,45915,0,0,0,0,0,0,26260,26260,72175,45785,42741,0,0,16351,42741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26260,0,0,6,1,0,N,ART & ANTIQUE DEALERS LEAGUE AMERICA,NEW YORK,NY,10021-1313,10021.0,36061,A01,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.66047,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199409,72175,72175,199409,1994,NY,10021.0,NEW YORK,A0380,A,9,119.0,0.0,0.0,353 E 78TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7601.0,,PC,O,AR,A,IN,,A0380,A,813920.0
13774,990.0,1,131572247,1992,4,5,119,0,155239,0,0,9613,0,166226,267930,464190,297964,619429,437212,353167,0,0,482582,380156,145406,26989,0,32135,0,0,0,0,0,0,0,0,0,0,0,0,0,20421,7,1,0,Y,METRO OPERA CLUB,NEW YORK,NY,10023-0000,10023.0,36061,A11,A,10023.0,5602.0,5600.0,36061.0,,O,S,0.93909,,ZA,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199307,453203,453203,199307,1993,NY,10023.0,NEW YORK,A11,A,7,119.0,319.0,0.0,LINCOLN CENTER,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4608.0,,PC,S,ZA,A,IN,,A11,A,813219.0
13784,990.0,1,131583260,1994,6,5,919,0,524663,109276,127664,67188,0,0,0,176464,48800,701127,554011,174702,226351,0,1100033,1269544,944783,1094842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,STATION REPRESENTATIVES ASSOC,NEW YORK,NY,10169-0005,10169.0,36061,A30,A,10169.0,5602.0,5600.0,36061.0,,O,O,0.08536,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199506,573463,573463,199506,1995,NY,10169.0,NEW YORK,A01,C,6,919.0,200.0,0.0,230 PARK AVE,3.0,0.0,2000.0,KATZ MEDIA J BELOYIANIS,2.0,13.0,0.0,10.0,0.0,1.0,6910.0,,PC,O,AR,A,IN,,A01,A,813319.0
13852,990.0,1,131673348,1994,5,3,908,0,664,5698,5757,17854,0,0,0,31712,25955,32376,38489,894259,0,0,926395,894259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8160,0,0,4,1,0,N,OLD GUARD CITY NEW YORK,NEW YORK,NY,10024-1001,10024.0,36061,A82,A,10024.0,5602.0,5600.0,36061.0,,O,O,0.83354,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199502,26619,26619,199502,1995,NY,10024.0,NEW YORK,W20,C,2,908.0,0.0,0.0,307 W 91ST ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5203.0,,PC,O,AR,A,IN,,W20,W,813410.0
13858,990.0,1,131677485,1994,6,6,121,283500,0,0,0,7300,0,0,0,3443000,3443000,3726500,3565000,1871700,4300,0,2562400,3025900,991000,1154200,1871700,0,0,0,0,0,0,0,0,0,0,0,0,3423200,0,2400,4,1,0,N,BRITISH BROADCASTING,NEW YORK,NY,10023-5882,10023.0,36061,A30,A,10023.0,5602.0,5600.0,36061.0,,O,O,0.19867,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199503,3726500,3726500,199503,1995,NY,10023.0,NEW YORK,A30,A,3,121.0,122.0,149.0,1995 BROADWAY STE 50K,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,9202.0,,PC,O,AR,A,IN,,A30,A,510000.0
14050,,1,131769475,1994,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,N,THEATRICAL MUTUAL ASSOC NEW YORK LODGE 1,NYC,NY,10019-0000,10019.0,36061,A65,A,10019.0,5602.0,5600.0,36061.0,,O,O,0.24039000000000002,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199412,0,0,199412,1994,NY,10019.0,NYC,A65,B,12,319.0,0.0,0.0,211 W 53RD ST,3.0,0.0,3000.0,,2.0,13.0,0.0,20.0,0.0,1.0,5504.0,,PC,O,AR,A,IN,,A65,A,711110.0
14061,990.0,1,131777183,1993,6,6,919,0,903826,0,0,12265,0,42,38,165737,165695,1069563,1035473,1211706,246840,0,1810895,1832704,627763,620995,0,0,0,0,0,0,0,0,0,0,0,0,0,20450,0,130712,6,1,0,N,TELEVISION BUREAU ADVERTISING,NEW YORK,NY,10022-6222,10022.0,36061,A01,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.11634000000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199312,1069521,1069521,199312,1993,NY,10022.0,NEW YORK,A0132,B,12,919.0,200.0,59.0,850 THIRD AVENUE,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5602.0,,PC,O,AR,A,IN,,A0132,A,813319.0
14064,990.0,1,131783842,1994,5,5,200,0,163543,0,0,13214,0,0,0,360273,360273,523816,438252,550692,0,0,733950,551579,887,887,550692,0,0,0,0,0,0,0,0,0,0,0,267798,0,79261,0,6,1,9,N,ANTIQUARIAN BOOKSELLERS ASSOC AMERICA SHOP 2 CONCOURSE,NEW YORK,NY,10020-1605,10020.0,36061,A03,A,10020.0,5602.0,5600.0,36061.0,,O,O,0.87749,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199412,256018,256018,199412,1994,NY,10020.0,NEW YORK,A0333,A,12,200.0,0.0,0.0,50 ROCKERFELLER PLAZA,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5109.0,2 CONCOURSE,PC,O,AR,A,IN,,A0333,A,813920.0
14083,990.0,1,131813049,1993,3,3,123,40085,0,0,0,657,6576,0,0,49924,49924,90009,73886,31826,9529,0,30826,42338,15123,10512,0,0,0,0,0,0,0,0,0,0,0,0,0,48822,0,445,4,1,0,N,AMER COMM AFRICA,NEW YORK,NY,10038-4010,10038.0,36061,A70,A,10038.0,5602.0,5600.0,36061.0,,O,O,0.32743,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199312,90009,90009,199312,1993,NY,10038.0,NEW YORK,A70,C,12,123.0,124.0,480.0,17 JOHN STREET 12TH FLOOR,3.0,0.0,3000.0,AFRICA ACTION,2.0,13.0,0.0,10.0,0.0,1.0,7911.0,,PC,O,AR,A,IN,,A70,A,710000.0
