,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,TOTLOB,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEECC4D,NTEE2,NTEE,NTMAJ12,NTMAJ5,msa,PMSA,FIPS,RandNum,MSA_NECH,NTEESRC,nteeConf,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
17357,112933128,200104,2000,0,10630,0,0,242,0,0,0,29957,29957,40587,11090,567,0,0,0,60474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28930,0,785,0,,11657,3,9,0,0,0,0,0,242,0,0,0,0,29715,0,11657,567,0,0,0,0,0,0,0,0,0,14096,0,28728,1955,0,0,44579,15851,0,0,0,88.0,N,3.0,1.0,200150.0,29409272027251.0,1.0,2001,3.0,Y,1.0,N,1.0,0.0,2000.0,10122-0008,10122.0,112933128200104.0,1129331282001.0,4,88.0,0.0,0.0,225 W 34TH ST,3.0,0.0,NEW YORK,1.0,% JACK LICATEMSTEIN,1.0,13.0,16.0,20.0,0.0,FIRE ISLAND PINES ARTS PROJECT INC,5.0,198905.0,,NY,RTF00PC,1.0,1.0,1.0,1.0,A,A65,IN,,AR,A,PC,O,AR,A,,,A65Z,AR,AR,5602.0,5600.0,36061.0,0.397477,5602.0,1,N,A65,NY,10122.0,NEW YORK,A65,,,,,,,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,,,,0.0,3c,2000.0,PC,O,AR,A,IN,,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,60474.0,3a,2001.0,A65,A
17377,112942081,200012,2000,25652,0,0,0,0,0,0,0,0,0,25652,25744,173,0,0,265,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25652,3,8,0,0,0,0,0,0,0,0,0,0,0,0,25652,-92,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,90.0,N,1.0,1.0,200129.0,29409174098271.0,1.0,2000,3.0,Y,1.0,N,1.0,0.0,2000.0,11232-1111,11232.0,112942081200012.0,1129420812000.0,12,90.0,0.0,0.0,156 23RD ST,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,15.0,20.0,0.0,NEW YORK DANCE ENSEMBLE FOR CULTURAL AND CIVIC ENRICHMENT INC,1.0,199310.0,,NY,RTF00PC,1.0,1.0,1.0,1.0,A,A62,IN,,AR,A,PC,O,AR,A,,,A62Z,AR,AR,5602.0,5600.0,36047.0,0.561004,5602.0,1,N,A62,NY,11232.0,BROOKLYN,A62,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,A62,A
17399,112956108,200006,1999,433165,0,0,0,31884,52550,0,0,152692,152692,585857,1324700,769335,80000,0,1591649,1014142,84515,244807,0,0,0,0,0,0,0,0,0,0,0,0,0,119352,0,1456,,585857,3,9,0,31884,0,0,0,0,0,0,0,0,0,0,585857,-738843,1044,278010,43948,0,0,0,0,0,1507134,5037390,0,684646,29889,0,0,5765192,5080546,0,0,0,90.0,N,6.0,1.0,200121.0,29490132130001.0,1.0,2000,5.0,Y,1.0,N,1.0,0.0,1999.0,11217-1112,11217.0,112956108200006.0,1129561082000.0,6,90.0,0.0,0.0,651 FULTON ST,3.0,0.0,BROOKLYN,1.0,% BROOKLYN ACADEMY OF MUSIC,1.0,11.0,15.0,10.0,0.0,KINGS MAJESTIC CORPORATION,1.0,199401.0,,NY,RTF00PC,4.0,3.0,3.0,4.0,A,A99,IN,,AR,A,PC,O,AR,A,,,A99Z,AR,AR,5602.0,5600.0,36047.0,0.9076280000000001,5602.0,1,N,A61,NY,11217.0,BROOKLYN,A61,,172726.0,3a,2000.0,0.0,3a,2000.0,413519.0,3a,2000.0,23401.0,3a,2000.0,712432.0,3a,2000.0,470321.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,260439.0,3a,2000.0,37201.0,3a,2000.0,PC,O,AR,A,IN,,241010.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,18501.0,3a,2000.0,A61,A
17402,112957591,199812,1998,28350,0,0,0,1754,0,0,0,1754,1754,30104,30184,29427,0,0,29507,29427,0,0,29427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30104,3,0,0,0,1754,0,0,0,0,0,0,0,0,0,30104,-80,0,0,0,0,0,0,0,29507,29507,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1998,,,,,,,,11371-0000,11371.0,,,12,119.0,0.0,0.0,MARINE AIR TERMINAL LA GUARDIA APRT,3.0,0.0,FLUSHING,1000.0,% MARINE AIR TERMINAL,1.0,11.0,15.0,20.0,0.0,NORTH BEACH CLUB INC,1.0,199104.0,,NY,CORE99PC,1.0,1.0,1.0,1.0,A,A99,IN,,AR,A,PC,O,AR,A,,,,AR,AR,5602.0,5600.0,36081.0,0.367159,5602.0,1,N,A99,NY,11371.0,FLUSHING,N50,,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,28350.0,3b,1999.0,0.0,3b,1999.0,PC,O,AR,A,IN,,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,4204.0,3b,1999.0,A99,A
17404,112958388,200009,1999,23135,14400,0,0,0,9930,0,0,198183,198183,235718,227322,33706,0,0,31069,39846,5759,6140,0,0,0,0,0,0,0,0,0,0,0,0,0,198183,0,0,,235718,3,7,0,0,0,0,0,0,0,0,0,0,0,0,235718,8396,0,21564,1987,0,0,0,0,0,25310,0,0,0,0,0,0,0,0,0,0,0,119.0,N,3.0,1.0,200134.0,29490216122201.0,1.0,2000,4.0,Y,1.0,N,1.0,0.0,1999.0,11354-5314,11354.0,112958388200009.0,1129583882000.0,9,119.0,0.0,0.0,135 12 ROOSEVELT AVE 3RD FLR,3.0,0.0,FLUSHING,1.0,,1.0,11.0,15.0,10.0,0.0,FCBA INC,1.0,198911.0,,NY,RTF00PC,1.0,2.0,2.0,2.0,A,A99,IN,,AR,A,PC,O,AR,A,,,A99Z,AR,AR,5602.0,5600.0,36081.0,0.347182,5602.0,1,N,A99,NY,11354.0,FLUSHING,A23,,0.0,3a,2000.0,0.0,3a,2000.0,33706.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,23135.0,3a,2000.0,0.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,100.0,3a,2000.0,0.0,3a,2000.0,38745.0,3a,2000.0,A23,A
17425,112967342,200012,2000,35750,0,0,0,0,0,0,0,38515,38515,74265,73036,1402,0,0,304,1402,131,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,20150,9365,0,,74265,3,7,0,0,0,9000,9000,0,0,0,0,0,9365,0,74265,1229,0,0,0,0,0,0,0,173,173,130120,0,51756,0,0,0,181876,130120,0,0,0,994.0,N,1.0,1.0,200143.0,29490272251111.0,1.0,2000,3.0,Y,1.0,N,1.0,0.0,2000.0,10025-4115,10025.0,112967342200012.0,1129673422000.0,12,994.0,90.0,0.0,320 RIVERSIDE DR 5F,3.0,199812.0,NEW YORK,1.0,% G VOORHEES,1.0,13.0,15.0,10.0,0.0,WHITE WAVE RISING-YOUNG SOON KIM DANCE COMPANY INC,1.0,199511.0,,NY,RTF00PC,1.0,1.0,1.0,1.0,A,A62,IN,,AR,A,PC,O,AR,A,,,A62Z,AR,AR,5602.0,5600.0,36061.0,0.334677,5602.0,1,N,A62,NY,10025.0,NEW YORK,A62,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,35750.0,3a,2000.0,0.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,1402.0,3a,2000.0,A62,A
17464,112981112,200012,2000,4153786,0,2085700,2291382,192266,119895,0,0,2479206,187824,6632992,3754573,7743330,146816,0,7230418,7743330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201240,,4341610,3,7,0,192266,0,0,0,0,-205682,0,0,0,0,0,4341610,587037,-74125,1490883,88243,0,0,0,0,0,7230418,16784070,0,0,545702,0,0,18120020,18120020,0,0,0,8.0,N,7.0,1.0,200149.0,29490314034201.0,1.0,2000,7.0,Y,1.0,Y,1.0,0.0,2000.0,11232-4212,11232.0,112981112200012.0,1129811122000.0,12,8.0,0.0,0.0,4401 2ND AVE,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,15.0,10.0,0.0,MESORAH HERITAGE FOUNDATION,1.0,199403.0,,NY,RTF00PC,5.0,4.0,5.0,4.0,A,A05,IN,,AR,A,PC,O,AR,A,7,,A75E,AR,AR,5602.0,5600.0,36047.0,0.908449,5602.0,1,N,A05,NY,11232.0,BROOKLYN,A05,82,0.0,3a,2000.0,0.0,3a,2000.0,7743330.0,3a,2000.0,133101.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,4153786.0,3a,2000.0,122000.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,2248309.0,3a,2000.0,557302.0,3a,2000.0,373101.0,3a,2000.0,A0582,A
17507,112995986,200103,2000,100304,0,0,0,0,0,0,0,0,0,100304,83787,60762,18981,0,44964,62575,719,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100304,3,7,0,0,0,0,0,0,0,0,0,0,0,0,100304,16517,0,0,515,0,0,0,0,0,44245,529590,0,0,83,0,0,529673,529673,0,0,0,8.0,N,3.0,1.0,200140.0,29490223038161.0,1.0,2001,4.0,Y,1.0,N,1.0,0.0,2000.0,11358-2606,11358.0,112995986200103.0,1129959862001.0,3,8.0,0.0,0.0,41 10 163RD ST,3.0,0.0,FLUSHING,1.0,,1.0,11.0,15.0,10.0,0.0,STUMP OVERSEAS MISSION INC,1.0,199101.0,,NY,RTF00PC,1.0,2.0,2.0,1.0,A,A33,IN,,AR,A,PC,O,AR,A,,,A33Z,AR,AR,5602.0,5600.0,36081.0,0.49623500000000004,5602.0,1,N,A33,NY,11358.0,FLUSHING,X83,,0.0,3a,2001.0,0.0,3a,2001.0,60762.0,3a,2001.0,7204.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,0.0,3a,2001.0,100304.0,3a,2001.0,2302.0,3a,2001.0,PC,O,AR,A,IN,,0.0,3a,2001.0,6451.0,3a,2001.0,0.0,3a,2001.0,2580.0,3a,2001.0,X83,X
17513,112997255,200012,2000,125695,0,0,0,31,0,0,0,31,31,125726,94836,51788,19057,0,20898,54879,0,3091,51788,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,125726,3,7,0,31,0,0,0,0,0,0,0,0,0,0,125726,30890,0,13910,1202,0,0,0,0,220898,20898,399154,0,0,0,0,41200,440354,440354,0,0,0,90.0,N,3.0,1.0,200131.0,29490188004121.0,1.0,2000,4.0,Y,1.0,N,1.0,0.0,2000.0,11424-1015,11424.0,112997255200012.0,1129972552000.0,12,90.0,994.0,0.0,120 55 QUEENS BLVD RM 333,3.0,0.0,KEW GARDENS,2.0,,1.0,11.0,15.0,10.0,0.0,LATIN AMERICAN CULTURAL CENTER OF QUEENS INC,1.0,199003.0,,NY,RTF00PC,1.0,2.0,2.0,1.0,A,A20,IN,,AR,A,PC,O,AR,A,,,A20Z,AR,AR,5602.0,5600.0,36081.0,0.132723,5602.0,1,N,A23,NY,11424.0,KEW GARDENS,A23,,115587.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,13519.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,10108.0,3a,2000.0,14166.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,4506.0,3a,2000.0,0.0,3a,2000.0,33348.0,3a,2000.0,A23,A
17526,113000997,199912,1999,38901,0,0,0,47,0,0,0,47,47,38948,40541,4791,0,0,6384,4791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38948,3,9,0,0,0,0,0,47,0,0,0,0,0,0,38948,-1593,0,0,0,0,0,0,0,0,6384,112231,28415,3821,728,0,0,145195,141374,0,0,0,,,,,,,,1999,,,,,,,,11238-4302,11238.0,,,12,123.0,0.0,0.0,328 FLATBUSH AVE 322,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,15.0,10.0,0.0,ASSOCIATION OF INDEPENDENTS IN RADIO INC,1.0,199110.0,,NY,CORE99PC,1.0,1.0,1.0,1.0,A,A34,IN,,AR,A,PC,O,AR,A,Z,,,AR,AR,5602.0,5600.0,36047.0,0.153417,5602.0,1,N,A34,NY,11238.0,BROOKLYN,A34,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,4791.0,3a,1999.0,A34,A
17542,113010435,200012,2000,853803,0,0,0,3792,625025,0,0,3792,3792,857595,625494,47198,0,0,387120,531997,572023,484799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,857595,3,1,0,3792,0,0,0,0,0,0,0,0,0,0,857595,232101,0,0,0,0,0,0,0,0,-184903,0,0,0,0,0,0,0,0,0,0,0,64.0,N,5.0,1.0,200133.0,29490209075081.0,1.0,2000,5.0,Y,1.0,N,1.0,0.0,2000.0,11355-3040,11355.0,113010435200012.0,1130104352000.0,12,64.0,0.0,0.0,43 42 BOWNE ST,3.0,0.0,FLUSHING,1.0,% K C PATEL,1.0,11.0,15.0,10.0,0.0,CULTURAL HERITAGE OF INDIA INC,5.0,199008.0,,NY,RTF00PC,3.0,3.0,3.0,3.0,A,A23,IN,,AR,A,PC,O,AR,A,,,A23Z,AR,AR,5602.0,5600.0,36081.0,0.403658,5602.0,1,N,A23,NY,11355.0,FLUSHING,A23,,0.0,3a,2000.0,0.0,3a,2000.0,47198.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,853803.0,3a,2000.0,0.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,105019.0,3a,2000.0,A23,A
17572,113021951,199905,1998,42561,0,0,0,0,0,0,0,45814,45814,88375,99224,20800,0,0,35879,27755,6182,8907,0,0,0,0,0,0,0,0,0,0,0,0,0,45814,0,0,,88375,3,7,0,0,0,0,0,0,0,0,0,0,0,0,88375,-10849,1952,0,0,0,0,0,0,0,29697,141236,0,177771,0,0,0,319007,141236,0,0,0,,,,,,,,1999,,,,,,,,11231-4014,11231.0,,,5,90.0,0.0,0.0,522 A COURT ST,3.0,0.0,BROOKLYN,1.0,% JACQUELINE REINIER,1.0,11.0,15.0,10.0,0.0,FLYING BRIDGE COMMUNITY ARTS INC,1.0,199010.0,,NY,CORE99PC,1.0,1.0,1.0,1.0,A,A65,IN,,AR,A,PC,O,AR,A,Z,,,AR,AR,5602.0,5600.0,36047.0,0.9794649999999999,5602.0,1,N,A25,NY,11231.0,BROOKLYN,A25,,0.0,3c,1998.0,0.0,3c,1998.0,,,,,,,,,,,,,,,,0.0,3c,1998.0,0.0,3c,1998.0,,,,PC,O,AR,A,IN,,,,,,,,,,,,,,A25,A
17586,113027538,200008,1999,206092,0,0,0,0,0,0,0,94804,94804,300896,259949,-26763,0,0,8761,31820,76471,58583,0,0,0,0,0,0,0,0,0,0,0,0,0,87879,0,6925,,300896,3,7,0,0,0,0,0,0,0,0,0,0,0,0,300896,40947,0,20269,2328,0,0,0,0,0,-67710,210746,0,333170,0,0,0,594824,261654,0,0,0,149.0,N,3.0,1.0,200138.0,29490244075271.0,1.0,2000,4.0,Y,1.0,N,1.0,0.0,1999.0,11226-2507,11226.0,113027538200008.0,1130275382000.0,8,149.0,90.0,30.0,2135 CATON AVE STE 3,3.0,0.0,BROOKLYN,1.0,,1.0,11.0,16.0,10.0,0.0,IFETAYO CULTURAL ARTS FACILITY INC,1.0,199206.0,,NY,RTF00PC,1.0,2.0,2.0,2.0,A,A20,IN,,AR,A,PC,O,AR,A,,,A20Z,AR,AR,5602.0,5600.0,36047.0,0.112822,5602.0,1,N,A20,NY,11226.0,BROOKLYN,A20,,48422.0,3a,2000.0,0.0,3a,2000.0,-321.0,6,2003.0,10607.0,3a,2000.0,-14835.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,157670.0,3a,2000.0,0.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,1001.0,3a,2000.0,0.0,3a,2000.0,5804.0,3a,2000.0,A20,A
17648,113051230,200006,1999,16500,0,0,0,0,0,0,0,730980,730980,747480,724621,127783,31800,0,110264,136095,5340,8312,127783,0,0,0,0,0,0,0,0,0,0,0,0,728885,0,2095,,747480,3,9,0,0,0,0,0,0,0,0,0,0,0,0,747480,22859,0,71712,8573,0,0,0,0,104924,104924,41580,0,2253426,0,0,0,2295006,41580,0,0,0,,,,,,,,2000,,,,,,,,10314-4961,10314.0,,,6,119.0,0.0,0.0,11 BORMAN AVE,3.0,0.0,STATEN ISLAND,1.0,,1.0,13.0,16.0,10.0,0.0,ENRICHMENT THROUGH THE ARTS INC,1.0,199206.0,,NY,CORE99PC,2.0,3.0,3.0,3.0,A,A65,IN,,AR,A,PC,O,AR,A,Z,,,AR,AR,5602.0,5600.0,36085.0,0.810584,5602.0,1,N,A25,NY,10314.0,STATEN ISLAND,A25,,0.0,6,2002.0,0.0,6,2002.0,127783.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,7902.0,6,2002.0,0.0,6,2002.0,16500.0,6,2002.0,0.0,6,2002.0,PC,O,AR,A,IN,,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,104417.0,6,2002.0,A25,A
17686,113066597,199912,1999,270294,0,0,0,1251,2884,0,0,5017,5017,275311,271062,78156,17000,0,92878,94651,18971,16495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3766,,275311,3,7,0,1251,0,0,0,0,0,0,0,0,0,0,275311,4249,0,44985,10985,0,0,0,0,0,73907,836847,0,4238,1307,0,0,842392,838154,0,0,0,200.0,N,3.0,1.0,200104.0,29490008096341.0,1.0,1999,4.0,Y,1.0,N,1.0,0.0,1999.0,11106-0259,11106.0,113066597199912.0,1130665971999.0,12,200.0,0.0,0.0,PO BOX 6259,3.0,0.0,LONG ISLAND CITY,1.0,,1.0,11.0,15.0,10.0,0.0,SOCRATES SCULPTURE PARK INC,1.0,199207.0,,NY,RTF00PC,1.0,2.0,2.0,2.0,A,A40,IN,,AR,A,PC,O,AR,A,,,,AR,AR,5602.0,5600.0,36081.0,0.485188,5602.0,1,C,A40,NY,11106.0,LONG ISLAND CITY,A40,,43215.0,3a,1999.0,0.0,3a,1999.0,64646.0,3a,1999.0,28916.0,3a,1999.0,13510.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,227079.0,3a,1999.0,30125.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,3102.0,3a,1999.0,0.0,3a,1999.0,1701.0,3a,1999.0,A40,A
17702,113071458,199912,1999,176574,0,0,0,558,25108,0,0,178801,178801,355375,336574,29678,0,0,66346,65440,55469,35762,0,0,0,0,0,0,0,0,0,0,0,0,0,153102,591,0,,355375,3,7,0,558,0,24550,24550,0,0,0,0,0,591,0,355375,18801,0,157479,20369,0,0,1870,1206,0,10877,581218,0,335503,46468,0,0,970368,634865,0,0,0,90.0,N,3.0,1.0,200103.0,29490358064220.0,1.0,1999,4.0,Y,1.0,N,1.0,0.0,1999.0,11215-3326,11215.0,113071458199912.0,1130714581999.0,12,90.0,0.0,0.0,421 FIFTH AVE 3RD FL,3.0,0.0,BROOKLYN,2.0,,1.0,11.0,15.0,10.0,0.0,BROOKLYN ARTS EXCHANGE INC,1.0,199109.0,,NY,RTF00PC,1.0,2.0,2.0,2.0,A,A99,IN,,AR,A,PC,O,AR,A,,,A99Z,AR,AR,5602.0,5600.0,36047.0,0.7234079999999999,5602.0,1,N,A99,NY,11215.0,BROOKLYN,A02,61,34014.0,3a,1999.0,0.0,3a,1999.0,11029.0,3a,1999.0,31019.0,3a,1999.0,84485.0,3b,2000.0,10728.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,142560.0,3a,1999.0,29821.0,3a,1999.0,PC,O,AR,A,IN,,10707.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,17511.0,3a,1999.0,A99,A
17712,113075174,199812,1998,272911,0,0,0,0,0,0,0,0,0,272911,291616,-25754,69900,0,6523,-17113,13572,8641,-25754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,272911,3,7,0,0,0,0,0,0,0,0,0,0,0,0,272911,-18705,0,38312,3944,0,0,0,0,-7049,-7049,0,0,135931,0,0,0,135931,0,0,0,0,408.0,N,0.0,1.0,200106.0,29490344206070.0,20.0,1998,4.0,N,1.0,N,1.0,0.0,1998.0,11101-0000,11101.0,113075174199812.0,1130751741998.0,12,408.0,279.0,0.0,42 15 CRESCENT ST STE 304,3.0,0.0,LONG ISLAND CITY,1.0,,1.0,11.0,15.0,10.0,0.0,MISION HISPANA INC,1.0,199303.0,,NY,RTF00PC,0.0,2.0,2.0,2.0,A,A23,IN,,AR,A,PC,O,AR,A,,,A23Z,AR,AR,5602.0,5600.0,36081.0,0.297095,5602.0,1,N,P84,NY,11101.0,LONG ISLAND CITY,A23,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,272911.0,3a,1998.0,0.0,3a,1998.0,PC,O,AR,A,IN,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,-17113.0,3a,1998.0,R20,R
17719,113080748,200007,1999,54317,0,0,0,0,0,0,0,0,0,54317,49625,9102,0,0,6909,11602,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54317,3,7,0,0,0,0,0,0,0,0,0,0,0,0,54317,4692,1,0,0,0,0,0,0,0,4409,139700,0,0,0,0,0,139700,139700,0,0,0,602.0,N,2.0,1.0,200108.0,29409013110271.0,1.0,2000,3.0,Y,1.0,N,1.0,0.0,1999.0,11219-1556,11219.0,113080748200007.0,1130807482000.0,7,602.0,0.0,0.0,1436 42ND ST,3.0,0.0,BKLYN,1.0,% C DONN,1.0,11.0,15.0,10.0,0.0,KAV L KAV CENTER FOR JEWISH HERITAGE INC,1.0,199212.0,,NY,RTF00PC,1.0,1.0,1.0,1.0,A,A80,IN,,AR,A,PC,O,AR,A,,X30Z,A80Z,AR,AR,5602.0,5600.0,36047.0,0.8485719999999999,5602.0,1,N,A80,NY,11219.0,BKLYN,A80,,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,PC,O,AR,A,IN,,0.0,3b,2001.0,6518.0,3b,2001.0,0.0,3b,2001.0,0.0,3b,2001.0,A80,A
17749,113090744,199912,1999,332793,0,0,0,0,0,0,0,0,0,332793,342752,1445,14711,0,11404,1445,0,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,332793,3,9,0,0,0,0,0,0,0,0,0,0,0,0,332793,-9959,0,122081,12905,0,0,0,0,11304,11404,1245043,0,0,0,0,0,1245043,1245043,0,0,0,,,,,,,,1999,,,,,,,,11372-2405,11372.0,,,12,121.0,0.0,0.0,78 10 34TH AVE STE 2F,3.0,0.0,JACKSON HEIGHTS,1.0,%,1.0,11.0,15.0,10.0,0.0,COMPREHENSION INC,1.0,199210.0,,NY,CORE99PC,1.0,2.0,2.0,2.0,A,A32,IN,,AR,A,PC,O,AR,A,Z,,,AR,AR,5602.0,5600.0,36081.0,0.634681,5602.0,1,N,A32,NY,11372.0,JACKSON HEIGHTS,A32,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,1032.0,3a,1999.0,0.0,3a,1999.0,332793.0,3a,1999.0,0.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,310.0,3a,1999.0,A32,A
