,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,OLDNTEE,NTEE2,TOTREV,RASCD,RINCCD,RREVCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
10135,61297352,1035519,0,0,0,2581,0,0,0,34595,34595,1070114,968046,112079,256261,0,621863,141253,611852,29174,0,0,0,0,0,0,0,0,0,0,0,0,0,32014,0,0,,A65Z,,1070114,2,4,4,3,NIGHT KITCHEN INC,,10 E 53RD ST,NEW YORK,NY,10022-5244,0.0,3.0,3.0,1000.0,199008.0,1.0,15.0,1.0,13.0,199406.0,10.0,6,,200.0,0.0,0.0,B9710,,1,1,1,6,1,36061,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.245243,10022.0,10022.0,5602.0,5600.0,36061.0,,AR,1993,A65,199306,NY,10022.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
10198,61313662,510229,0,304372,287106,36143,0,0,0,340515,53409,850744,177114,1730664,0,0,1349784,1733405,5644,2741,1220814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A26Z,,563638,4,3,3,2,THE ELIZABETH FOUNDATION FOR THE ARTS,% JANE STEPHENSON,PO BOX 2670,NEW YORK,NY,10036-0000,0.0,3.0,3.0,1000.0,199211.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,91.0,0.0,0.0,B9710,,1,1,1,6,1,36061,A26Z,A26,,PC,O,AR,A,IN,,1994,A,A26Z,0.471625,10036.0,10036.0,5602.0,5600.0,36061.0,,AR,1994,A90,199412,NY,10036.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A90,A
10254,61330883,51000,2500,0,0,0,0,0,1422,42940,42940,96440,67745,-43989,0,0,6699,0,0,43989,0,0,0,0,0,0,0,0,0,0,0,0,79384,20048,-57914,0,,A68Z,,17056,0,1,1,1,EDVARD GRIEG SOCIETY INC,% GORDON W PAULSEN,29 BROADWAY,NEW YORK,NY,10006-3102,0.0,3.0,3.0,2000.0,199608.0,1.0,16.0,1.0,6.0,0.0,10.0,12,,90.0,0.0,0.0,B9710,,0,0,1,6,0,36061,A68Z,A68,,PC,O,AR,A,IN,,1993,A,A68Z,0.9182530000000001,10006.0,10006.0,5602.0,5600.0,36061.0,,AR,1993,A68,199312,NY,10006.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
10861,110339104,23462,0,0,0,0,0,0,0,3631,3631,27093,2263,230,0,0,1493,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26093,0,-22462,0,,A60Z,,1000,1,1,1,1,EPODE INC,,77 SEVENTH AVENUE NO 8G,NEW YORK,NY,10011-6623,0.0,3.0,3.0,1000.0,199103.0,1.0,16.0,1.0,13.0,0.0,20.0,8,,90.0,995.0,123.0,B9710,,1,1,1,6,1,36061,A62Z,A62,,PC,O,AR,A,IN,,1993,A,A62Z,0.42242299999999994,10011.0,10011.0,5602.0,5600.0,36061.0,,AR,1994,A62,199408,NY,10011.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A62,A
10882,111532426,61071,0,59715,62231,16408,0,0,0,930653,868422,991724,1000800,294296,75000,0,574544,523685,208941,229389,0,0,0,0,0,0,0,0,0,0,0,0,0,834452,0,20078,,B99Z,,929493,3,3,3,4,BROOKLYN CONSERVATORY OF MUSIC,,58 7TH AVE,BROOKLYN,NY,11217-3608,0.0,3.0,3.0,2000.0,194812.0,1.0,11.0,1.0,11.0,0.0,10.0,6,,46.0,119.0,30.0,B9710,,1,1,1,6,1,36047,B99Z,B99,,PC,O,ED,B,IN,,1993,B,B99Z,0.0380955,11217.0,11217.0,5602.0,5600.0,36047.0,,ED,1994,A6E,199406,NY,11217.0,BROOKLYN,,,B,ED,ED,PC,O,ED,B,IN,,A6E,A
10904,111630813,975265,38470,1097243,974036,82824,8813,0,0,1239497,265461,2253232,1334791,2928554,74088,0,4247161,4148398,1246809,1219844,0,0,0,0,0,0,0,0,0,0,0,0,16203,43227,0,0,,A82Z,,1262993,4,4,4,4,THE BROOKLYN HISTORICAL SOCIETY,,128 PIERREPONT ST,BROOKLYN,NY,11201-2711,0.0,3.0,3.0,2000.0,193412.0,1.0,15.0,1.0,11.0,0.0,10.0,4,,62.0,61.0,0.0,B9710,,1,1,1,6,1,36047,A82Z,A82,,PC,O,AR,A,IN,,1993,A,A82Z,0.0392849,11201.0,11201.0,5602.0,5600.0,36047.0,,AR,1994,A80,199404,NY,11201.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A82,A
11001,111672743,12852096,761961,13150160,10880004,898196,951220,516688,461980,17393302,5996610,31007359,17662758,58144689,0,0,59296250,60374350,3099470,2229661,0,0,0,0,0,0,0,0,0,0,0,0,0,449886,0,1916392,S,A99Z,,19610667,6,6,6,6,BROOKLYN INSTITUTE OF ARTS AND SCIENCES,,200 EASTERN PKY,BROOKLYN,NY,11238-6052,0.0,3.0,3.0,1000.0,193506.0,1.0,15.0,1.0,11.0,0.0,10.0,6,BROOKLYN MUSEUM,119.0,0.0,0.0,B9710,,1,1,1,6,1,36047,A99Z,A99,,PC,O,AR,A,IN,,1993,A,A99Z,0.21250500000000003,11238.0,11238.0,5602.0,5600.0,36047.0,,AR,1994,A51,199406,NY,11238.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
11053,111773636,1515110,0,0,0,1613,143284,0,0,665004,665004,2180114,2204895,-43870,82521,0,278726,516716,274432,560586,0,0,0,0,0,0,0,0,0,0,0,0,23383,625221,0,14787,,A69Z,,2156731,3,4,4,4,BROOKLYN PHILHARMONIC SYMPHONY ORCHESTRA INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,2000.0,195601.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,0,1,1,6,1,36047,A69Z,A69,,PC,O,AR,A,IN,,1993,A,A69Z,0.569643,11217.0,11217.0,5602.0,5600.0,36047.0,,AR,1994,A69,199406,NY,11217.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A69,A
11178,112004760,13868,16660,10000,10353,14113,0,0,0,152795,142442,183323,130527,262620,0,0,248140,264565,415,1945,0,0,0,0,0,0,0,0,0,0,0,0,14320,109124,5238,0,,A6BZ,,158650,2,2,2,2,ST CECILIA CLUB INC,,PO BOX 421 FDR STA,NEW YORK,NY,10150-0421,0.0,3.0,3.0,2000.0,194410.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1,1,0,1,0,36061,A6BZ,A6B,,PC,O,AR,A,IN,,1993,A,A6BZ,0.73569,10150.0,10150.0,5602.0,5600.0,36061.0,,AR,1994,A6B,199406,NY,10150.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A6B,A
11195,112034097,371897,0,0,0,0,0,0,0,0,0,371897,408053,23588,5000,0,105508,192190,45764,168601,-911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A6CZ,,371897,2,2,2,2,SEUFFERT BAND INC,,45 22 DOUGLASTON PKY,DOUGLASTON,NY,11362-1059,0.0,3.0,3.0,2000.0,196603.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,59.0,119.0,0.0,B9606,1996.0,1,1,1,6,1,36081,A6CZ,A6C,,PC,O,AR,A,IN,,1994,A,A6CZ,0.75021,11362.0,11362.0,5602.0,5600.0,36081.0,,AR,1994,A6C,199412,NY,11362.0,DOUGLASTON,,,A,AR,AR,PC,O,AR,A,IN,,A6C,A
11216,112104059,4653102,0,0,0,43224,434569,74106,98247,914651,840545,5567753,5276867,1560673,0,0,4130039,5246774,2786146,3686101,0,0,0,0,0,0,0,0,0,0,0,0,0,478564,0,220510,,A57Z,,5493647,5,5,5,5,NEW YORK HALL OF SCIENCE,,47 01 111TH ST,CORONA,NY,11368-2999,0.0,3.0,3.0,2000.0,196411.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1,1,1,6,1,36081,A57Z,A57,,PC,O,AR,A,IN,,1993,A,A57Z,0.636023,11368.0,11368.0,5602.0,5600.0,36081.0,,AR,1994,A57,199406,NY,11368.0,CORONA,,,A,AR,AR,PC,O,AR,A,IN,,A57,A
11218,112106191,506667,0,0,0,656,42800,0,0,168815,168815,675482,571394,30481,39269,0,77028,120912,131338,90431,0,0,0,0,0,0,0,0,0,0,0,0,19297,81197,65642,2023,,A69Z,,656185,2,3,3,3,QUEENS SYMPHONY ORCHESTRA INC,,31 00 47TH AVE,LONG ISLAND CITY,NY,11101-0000,0.0,3.0,3.0,2000.0,195703.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1,1,1,6,1,36081,A69Z,A69,,PC,O,AR,A,IN,,1993,A,A69Z,0.25409899999999996,11101.0,11101.0,5602.0,5600.0,36081.0,,AR,1994,A69,199406,NY,11101.0,LONG ISLAND CITY,,,A,AR,AR,PC,O,AR,A,IN,,A69,A
11238,112136919,1000,0,0,0,0,0,0,0,46400,46400,47400,39247,214404,0,0,206251,214404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46400,0,0,,A99Z,,47400,2,1,1,1,ALFRED T WHITE JR COMMUNITY CENTER,,26 WILLOW PL,BROOKLYN,NY,11201-4513,0.0,3.0,3.0,2000.0,63.0,1.0,15.0,1.0,1.0,0.0,10.0,4,,119.0,59.0,0.0,ALM97,1992.0,1,1,1,6,1,36047,A99Z,A99,,PC,O,AR,A,IN,,1993,A,A99Z,0.871748,11201.0,11201.0,5602.0,5600.0,36047.0,,AR,1994,A99,199404,NY,11201.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A99,A
11262,112164064,112910,0,0,0,0,0,1098,8046,44953,43855,157863,100615,65632,0,0,11477,77550,0,11918,0,0,0,0,0,0,0,0,0,0,0,0,1995,33934,-120,0,,A65Z,,154770,1,2,2,2,THE BELMONT ITALIAN AMERICAN PLAYHOUSE LTD,,2385 ARTHUR AVE,BRONX,NY,10458-8103,0.0,3.0,3.0,1000.0,199601.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,319.0,0.0,0.0,B9710,,1,1,1,6,1,36005,A65Z,A65,,PC,O,AR,A,IN,,1994,A,A65Z,0.07888919999999999,10458.0,10458.0,5602.0,5600.0,36005.0,,AR,1994,A65,199412,NY,10458.0,BRONX,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
11278,112201344,13095480,0,0,0,1664,1073372,0,0,5119209,5119209,18214689,15217995,1920619,659891,0,8327714,9655468,6248969,7734849,0,0,0,0,0,0,26874,0,26874,0,0,0,195876,4014166,0,907503,,A60Z,,18018813,5,6,6,6,BROOKLYN ACADEMY OF MUSIC INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,1000.0,196912.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1,1,0,1,0,36047,A60Z,A60,,PC,O,AR,A,IN,,1993,A,A60Z,0.201035,11217.0,11217.0,5602.0,5600.0,36047.0,,AR,1994,A60,199406,NY,11217.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A60,A
11300,112219193,924085,5345,0,0,2530,0,0,0,344251,344251,1273681,1297928,90332,0,0,201954,197112,87375,106780,0,0,0,0,0,0,0,0,0,0,0,0,0,268686,73035,0,,A26Z,,1273681,2,4,4,4,QUEENS COUNCIL ON THE ARTS INC,,79 01 PARK LN S,WOODHAVEN,NY,11421-0000,0.0,3.0,3.0,2000.0,197012.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1,1,1,6,1,36081,A26Z,A26,,PC,O,AR,A,IN,,1994,A,A26Z,0.169436,11421.0,11421.0,5602.0,5600.0,36081.0,,AR,1995,A26,199506,NY,11421.0,WOODHAVEN,,,A,AR,AR,PC,O,AR,A,IN,,A26,A
11375,112278998,1694781,5581,0,0,1757,136242,46294,-5393,193949,147655,1894311,1672377,238004,78000,0,298110,545269,195612,307265,0,0,0,0,0,0,0,0,0,0,0,0,40134,84738,13506,12913,,A20Z,,1807883,3,4,4,4,QUEENS MUSEUM OF ART,,FLSHNG MDWS CORONA PARK N,QUEENS,NY,11368-0000,0.0,3.0,3.0,1200.0,197208.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1,1,1,6,1,36081,A20Z,A20,,PC,O,AR,A,IN,,1994,A,A20Z,0.177887,11368.0,11368.0,5602.0,5600.0,36081.0,,AR,1995,A51,199506,NY,11368.0,QUEENS,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
11473,112346647,4503222,975,0,0,1660,0,0,0,-875,-875,4503322,4458658,3828,0,0,451638,499298,454908,495470,0,0,0,0,0,0,0,0,0,0,0,0,37566,0,-5566,-34535,,S80Z,,4465756,2,4,4,4,COUNCIL OF JEWISH ORGANIZATIONS OF BORO PARK INC,,5224 13TH AVE,BROOKLYN,NY,11219-3810,0.0,3.0,3.0,1000.0,198308.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,408.0,569.0,0.0,B9710,,1,1,1,6,1,36047,S80Z,S80,,PC,O,PB,S,IN,,1993,S,S80Z,0.461053,11219.0,11219.0,5602.0,5600.0,36047.0,,PU,1993,S80,199312,NY,11219.0,BROOKLYN,,,S,PU,OT,PC,O,PB,S,IN,,A23,A
11518,112393789,19468,0,0,0,1017,0,0,0,14501,14501,33969,53280,35946,0,0,55891,35946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13484,0,0,,A65Z,,33969,1,1,1,1,GOLD MOUNTAIN INSTITUTE FOR TRADITIONAL SHADOW THEATER INC,,33 47 91ST ST,JACKSON HEIGHTS,NY,11372-1749,0.0,3.0,3.0,2000.0,197702.0,1.0,16.0,1.0,11.0,0.0,10.0,3,ATER INC,90.0,0.0,0.0,B9710,,1,1,0,1,0,36081,A65Z,A65,,PC,O,AR,A,IN,,1994,A,A65Z,0.714982,11372.0,11372.0,5602.0,5600.0,36081.0,,AR,1995,A65,199503,NY,11372.0,JACKSON HEIGHTS,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
11522,112396324,95470,0,0,0,531,13338,0,0,531,531,96001,92971,15205,35308,0,44368,149016,32193,133811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A54Z,,96001,2,1,1,1,KING MANOR ASSOCIATION OF LONG ISLAND INC,,90 04 161ST ST STE 704,JAMAICA,NY,11432-0000,0.0,3.0,3.0,1200.0,197901.0,1.0,15.0,1.0,11.0,0.0,10.0,12,TTE KNOBLOCK,62.0,60.0,0.0,B9710,,1,1,1,6,1,36081,A54Z,A54,,PC,O,AR,A,IN,,1993,A,A54Z,0.290543,11432.0,11432.0,5602.0,5600.0,36081.0,,AR,1993,A54,199312,NY,11432.0,JAMAICA,,,A,AR,AR,PC,O,AR,A,IN,,A54,A
11539,112407454,29720,5216,0,0,93,0,0,0,19301,19301,54237,53604,12815,0,0,12182,12815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16157,0,3051,,A69Z,,54237,1,1,1,1,NEIGHBORHOOD CHAMBER ORCHESTRA INC,,1344 E 22ND ST,BROOKLYN,NY,11210-4517,0.0,3.0,3.0,1000.0,197702.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,90.0,119.0,149.0,B9702,1997.0,1,1,1,6,1,36047,A69Z,A69,,PC,O,AR,A,IN,,1994,A,A69Z,0.358093,11210.0,11210.0,5602.0,5600.0,36047.0,,AR,1994,A69,199412,NY,11210.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A69,A
11543,112408985,17575,3145,0,0,46,0,0,0,27639,27639,48359,47104,13626,12500,0,21255,20216,13239,6590,0,0,0,0,0,0,0,0,0,0,0,0,0,27593,0,0,,A65Z,,48359,1,1,1,1,THE NEW YORK CHILDRENS THEATRE INC,,250 W 65TH ST,NEW YORK,NY,10023-6403,0.0,3.0,3.0,2000.0,198001.0,1.0,10.0,1.0,13.0,198506.0,10.0,6,,994.0,149.0,0.0,B9710,,1,1,0,1,0,36061,A65Z,A65,,PC,O,AR,A,IN,,1994,A,A65Z,0.260847,10023.0,10023.0,5602.0,5600.0,36061.0,,AR,1995,A65,199506,NY,10023.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
11544,112409274,26014,4093,0,0,44,5802,2318,2506,8399,6081,38506,31354,145167,5823,0,148543,151137,7057,5970,145167,0,0,0,0,0,0,0,0,0,0,0,1901,426,1204,0,,A82Z,,34287,2,1,1,1,GREATER RIDGEWOOD HISTORICAL SOCIETY INC,WALTER,54 49 63RD PL,MASPETH,NY,11378-1212,0.0,3.0,3.0,1000.0,197702.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,994.0,0.0,0.0,B9710,,1,1,1,3,1,36081,A82Z,A82,,PC,O,AR,A,IN,,1994,A,A82Z,0.512433,11378.0,11378.0,5602.0,5600.0,36081.0,,AR,1995,A82,199506,NY,11378.0,MASPETH,,,A,AR,AR,PC,O,AR,A,IN,,A82,A
