,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,OLDNTEE,NTEE2,TOTREV,RASCD,RINCCD,RREVCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
9448,111532426,84114,0,31085,26688,20172,0,0,0,918235,891547,1002349,990757,365603,0,0,550700,574544,170001,208941,0,0,0,0,0,0,0,0,0,0,0,0,0,850422,0,16556,,B99Z,,975661,3.0,4.0,3.0,3.0,BROOKLYN CONSERVATORY OF MUSIC,,58 7TH AVE,BROOKLYN,NY,11217-3608,0.0,3.0,3.0,2000.0,194812.0,1.0,11.0,1.0,11.0,0.0,10.0,6,,46.0,119.0,30.0,B9710,,1.0,1,1,6.0,1,36047.0,B99Z,B99,,PC,O,ED,B,IN,,1992,B,B99Z,0.548007,11217.0,11217.0,5602.0,5600.0,36047.0,,ED,1993,A6E,199306,NY,11217.0,BROOKLYN,,,B,ED,ED,PC,O,ED,B,IN,,A6E,A
9469,111630813,765227,42112,731041,693096,96697,18134,0,0,924862,231766,1732201,1123135,3000352,0,0,4103787,4247161,1006664,1246809,0,0,0,0,0,0,0,0,0,0,0,0,12741,84383,0,0,,A82Z,,1026364,4.0,4.0,4.0,4.0,THE BROOKLYN HISTORICAL SOCIETY,,128 PIERREPONT ST,BROOKLYN,NY,11201-2711,0.0,3.0,3.0,2000.0,193412.0,1.0,15.0,1.0,11.0,0.0,10.0,4,,62.0,61.0,0.0,B9710,,1.0,1,1,6.0,1,36047.0,A82Z,A82,,PC,O,AR,A,IN,,1992,A,A82Z,0.15074,11201.0,11201.0,5602.0,5600.0,36047.0,,AR,1993,A80,199304,NY,11201.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A82,A
9565,111672743,13328980,738148,16265121,13920914,1485347,972644,405303,486451,19887326,5561109,33954454,15747970,42512595,0,0,44416721,58741989,5784393,16229394,0,0,0,0,0,0,0,0,0,0,0,0,0,461280,0,783824,S,A99Z,,19628237,6.0,6.0,6.0,6.0,BROOKLYN INSTITUTE OF ARTS AND SCIENCES,,200 EASTERN PKY,BROOKLYN,NY,11238-6052,0.0,3.0,3.0,1000.0,193506.0,1.0,15.0,1.0,11.0,0.0,10.0,6,BROOKLYN MUSEUM,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36047.0,A99Z,A99,,PC,O,AR,A,IN,,1991,A,A99Z,0.939262,11238.0,11238.0,5602.0,5600.0,36047.0,,AR,1992,A51,199206,NY,11238.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
9619,111773636,1360044,0,0,0,2255,113345,0,0,597492,597492,1957536,1945930,4294,65000,0,308716,278726,305920,274432,0,0,0,0,0,0,0,0,0,0,0,0,10108,576733,0,8396,,A69Z,,1947428,2.0,4.0,4.0,4.0,BROOKLYN PHILHARMONIC SYMPHONY ORCHESTRA INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,2000.0,195601.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36047.0,A69Z,A69,,PC,O,AR,A,IN,,1992,A,A69Z,0.17404,11217.0,11217.0,5602.0,5600.0,36047.0,,AR,1993,A69,199306,NY,11217.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A69,A
9744,112004760,13868,16660,10000,10353,14113,0,0,0,152795,142442,183323,130527,262620,0,0,248140,264565,415,1945,0,0,0,0,0,0,0,0,0,0,0,0,14320,109124,5238,0,,A6BZ,,158650,2.0,2.0,2.0,2.0,ST CECILIA CLUB INC,,PO BOX 421 FDR STA,NEW YORK,NY,10150-0421,0.0,3.0,3.0,2000.0,194410.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1.0,1,0,1.0,0,36061.0,A6BZ,A6B,,PC,O,AR,A,IN,,1993,A,A6BZ,0.210247,10150.0,10150.0,5602.0,5600.0,36061.0,,AR,1994,A6B,199406,NY,10150.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A6B,A
9762,112034097,269922,0,0,0,0,0,0,0,0,0,269922,254125,59744,4700,0,63558,105508,19610,45764,35244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A6CZ,,269922,2.0,2.0,2.0,2.0,SEUFFERT BAND INC,,45 22 DOUGLASTON PKY,DOUGLASTON,NY,11362-1059,0.0,3.0,3.0,2000.0,196603.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,59.0,119.0,0.0,B9606,1996.0,1.0,1,1,6.0,1,36081.0,A6CZ,A6C,,PC,O,AR,A,IN,,1993,A,A6CZ,0.661403,11362.0,11362.0,5602.0,5600.0,36081.0,,AR,1993,A6C,199312,NY,11362.0,DOUGLASTON,,,A,AR,AR,PC,O,AR,A,IN,,A6C,A
9786,112104059,3478431,0,0,0,38620,610150,90042,129792,1233530,1143488,4711961,4556324,1343893,406925,0,3246558,4130039,1968260,2786146,0,0,0,0,0,0,0,0,0,0,0,0,0,653365,0,248296,,A57Z,,4621919,4.0,4.0,4.0,4.0,NEW YORK HALL OF SCIENCE,,47 01 111TH ST,CORONA,NY,11368-2999,0.0,3.0,3.0,2000.0,196411.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36081.0,A57Z,A57,,PC,O,AR,A,IN,,1992,A,A57Z,0.8372059999999999,11368.0,11368.0,5602.0,5600.0,36081.0,,AR,1993,A57,199306,NY,11368.0,CORONA,,,A,AR,AR,PC,O,AR,A,IN,,A57,A
9788,112106191,399606,0,0,0,361,41829,0,0,182319,182319,581925,510940,-54310,36077,0,49909,77028,152589,131338,0,0,0,0,0,0,0,0,0,0,0,0,22615,105429,52576,1338,,A69Z,,559310,1.0,3.0,3.0,3.0,QUEENS SYMPHONY ORCHESTRA INC,,31 00 47TH AVE,LONG ISLAND CITY,NY,11101-0000,0.0,3.0,3.0,2000.0,195703.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,0.0,1,1,6.0,1,36081.0,A69Z,A69,,PC,O,AR,A,IN,,1992,A,A69Z,0.15543900000000002,11101.0,11101.0,5602.0,5600.0,36081.0,,AR,1993,A69,199306,NY,11101.0,LONG ISLAND CITY,,,A,AR,AR,PC,O,AR,A,IN,,A69,A
9808,112136919,800,0,0,0,0,0,0,0,42960,42960,43760,40683,206251,0,0,0,206251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42960,0,0,,A99Z,,43760,2.0,1.0,1.0,1.0,ALFRED T WHITE JR COMMUNITY CENTER,,26 WILLOW PL,BROOKLYN,NY,11201-4513,0.0,3.0,3.0,2000.0,63.0,1.0,15.0,1.0,1.0,0.0,10.0,4,,119.0,59.0,0.0,ALM97,1992.0,1.0,1,0,1.0,0,36047.0,A99Z,A99,,PC,O,AR,A,IN,,1992,A,A99Z,0.161415,11201.0,11201.0,5602.0,5600.0,36047.0,,AR,1993,A99,199304,NY,11201.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A99,A
9833,112164064,59559,390,0,0,0,0,6545,2289,38230,31685,98179,76808,10813,0,0,649,10813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4662,24044,0,690,,A65Z,,86972,1.0,1.0,1.0,1.0,THE BELMONT ITALIAN AMERICAN PLAYHOUSE LTD,,2385 ARTHUR AVE,BRONX,NY,10458-8103,0.0,3.0,3.0,1000.0,199601.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,319.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36005.0,A65Z,A65,,PC,O,AR,A,IN,,1993,A,A65Z,0.340943,10458.0,10458.0,5602.0,5600.0,36005.0,,AR,1993,A65,199312,NY,10458.0,BRONX,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9851,112201344,16261861,0,0,0,971,1023637,0,0,4704874,4704874,20966735,14102709,2078745,488831,0,11140580,8327714,8749920,6248969,0,0,0,0,0,0,0,0,0,0,0,0,225317,2894699,0,1060289,,A60Z,,20741418,5.0,6.0,6.0,6.0,BROOKLYN ACADEMY OF MUSIC INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,1000.0,196912.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36047.0,A60Z,A60,,PC,O,AR,A,IN,,1992,A,A60Z,0.09381410000000001,11217.0,11217.0,5602.0,5600.0,36047.0,,AR,1993,A60,199306,NY,11217.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A60,A
9864,112207752,74989,0,0,0,0,0,0,0,32008,32008,106997,104048,299560,12845,0,344976,302989,48365,3429,0,0,0,0,0,0,0,0,0,0,0,0,0,32008,0,0,,A62Z,A23Z,106997,2.0,2.0,2.0,2.0,AIMS OF MODZAWE INC,,115 62 SUTPHIN BLVD,JAMAICA,NY,11434-1019,0.0,3.0,3.0,2000.0,197309.0,1.0,15.0,1.0,11.0,0.0,10.0,7,,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,A62Z,A62,,PC,O,AR,A,IN,,1991,A,A62Z,0.8214469999999999,11434.0,11434.0,5602.0,5600.0,36081.0,,AR,1992,A62,199207,NY,11434.0,JAMAICA,,,A,AR,AR,PC,O,AR,A,IN,,A62,A
9874,112219193,956454,8320,0,0,2131,0,0,0,275962,275962,1240736,1259923,114579,0,0,193180,201954,59414,87375,0,0,0,0,0,0,0,0,0,0,0,0,0,188294,85537,0,,A26Z,,1240736,2.0,4.0,4.0,4.0,QUEENS COUNCIL ON THE ARTS INC,,79 01 PARK LN S,WOODHAVEN,NY,11421-0000,0.0,3.0,3.0,2000.0,197012.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,A26Z,A26,,PC,O,AR,A,IN,,1993,A,A26Z,0.612345,11421.0,11421.0,5602.0,5600.0,36081.0,,AR,1994,A26,199406,NY,11421.0,WOODHAVEN,,,A,AR,AR,PC,O,AR,A,IN,,A26,A
9951,112278998,1352383,9640,0,0,567,0,11031,9010,123649,112618,1485672,1351018,57358,70235,0,202048,194727,199978,137369,0,0,0,0,0,0,0,0,0,0,0,0,29761,30338,42942,0,,A20Z,,1444880,2.0,4.0,4.0,4.0,QUEENS MUSEUM OF ART,,FLSHNG MDWS CORONA PARK N,QUEENS,NY,11368-0000,0.0,3.0,3.0,1200.0,197208.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1.0,1,0,1.0,0,36081.0,A20Z,A20,,PC,O,AR,A,IN,,1992,A,A20Z,0.536241,11368.0,11368.0,5602.0,5600.0,36081.0,,AR,1993,A51,199306,NY,11368.0,QUEENS,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
10050,112346647,4503222,975,0,0,1660,0,0,0,-875,-875,4503322,4458658,3828,0,0,451638,499298,454908,495470,0,0,0,0,0,0,0,0,0,0,0,0,37566,0,-5566,-34535,,S80Z,,4465756,2.0,4.0,4.0,4.0,COUNCIL OF JEWISH ORGANIZATIONS OF BORO PARK INC,,5224 13TH AVE,BROOKLYN,NY,11219-3810,0.0,3.0,3.0,1000.0,198308.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,408.0,569.0,0.0,B9710,,1.0,1,1,6.0,1,36047.0,S80Z,S80,,PC,O,PB,S,IN,,1993,S,S80Z,0.243509,11219.0,11219.0,5602.0,5600.0,36047.0,,PU,1993,S80,199312,NY,11219.0,BROOKLYN,,,S,PU,OT,PC,O,PB,S,IN,,A23,A
10097,112393789,33158,0,0,0,885,0,0,0,11658,11658,44816,44403,56304,0,0,54985,56304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10773,0,0,,A65Z,,44816,1.0,1.0,1.0,1.0,GOLD MOUNTAIN INSTITUTE FOR TRADITIONAL SHADOW THEATER INC,,33 47 91ST ST,JACKSON HEIGHTS,NY,11372-1749,0.0,3.0,3.0,2000.0,197702.0,1.0,16.0,1.0,11.0,0.0,10.0,3,ATER INC,90.0,0.0,0.0,B9710,,1.0,1,0,1.0,0,36081.0,A65Z,A65,,PC,O,AR,A,IN,,1993,A,A65Z,0.42313199999999995,11372.0,11372.0,5602.0,5600.0,36081.0,,AR,1994,A65,199403,NY,11372.0,JACKSON HEIGHTS,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
10101,112396324,95470,0,0,0,531,13338,0,0,531,531,96001,92971,15205,35308,0,44368,149016,32193,133811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A54Z,,96001,2.0,1.0,1.0,1.0,KING MANOR ASSOCIATION OF LONG ISLAND INC,,90 04 161ST ST STE 704,JAMAICA,NY,11432-0000,0.0,3.0,3.0,1200.0,197901.0,1.0,15.0,1.0,11.0,0.0,10.0,12,TTE KNOBLOCK,62.0,60.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,A54Z,A54,,PC,O,AR,A,IN,,1993,A,A54Z,0.208027,11432.0,11432.0,5602.0,5600.0,36081.0,,AR,1993,A54,199312,NY,11432.0,JAMAICA,,,A,AR,AR,PC,O,AR,A,IN,,A54,A
10119,112407454,24936,3860,0,0,52,0,0,0,8551,8551,37347,36511,10214,0,0,9378,10214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6564,0,1935,,A69Z,,37347,1.0,1.0,1.0,1.0,NEIGHBORHOOD CHAMBER ORCHESTRA INC,,1344 E 22ND ST,BROOKLYN,NY,11210-4517,0.0,3.0,3.0,1000.0,197702.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,90.0,119.0,149.0,B9702,1997.0,1.0,1,1,6.0,1,36047.0,A69Z,A69,,PC,O,AR,A,IN,,1993,A,A69Z,0.467376,11210.0,11210.0,5602.0,5600.0,36047.0,,AR,1993,A69,199312,NY,11210.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A69,A
10123,112408985,28226,0,0,0,179,0,0,0,56024,56024,84250,75486,11046,0,0,2486,20196,0,9150,0,0,0,0,0,0,0,0,0,0,0,0,0,55845,0,0,,A65Z,,84250,1.0,1.0,1.0,1.0,THE NEW YORK CHILDRENS THEATRE INC,,250 W 65TH ST,NEW YORK,NY,10023-6403,0.0,3.0,3.0,2000.0,198001.0,1.0,10.0,1.0,13.0,198506.0,10.0,6,,994.0,149.0,0.0,B9710,,1.0,1,1,6.0,1,36061.0,A65Z,A65,,PC,O,AR,A,IN,,1991,A,A65Z,0.136076,10023.0,10023.0,5602.0,5600.0,36061.0,,AR,1992,A65,199206,NY,10023.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
10124,112409274,26282,3160,0,0,33,2761,2592,1980,6026,3434,35468,45333,149412,0,0,164482,151187,1445,1775,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,253,,A82Z,,31708,2.0,1.0,1.0,1.0,GREATER RIDGEWOOD HISTORICAL SOCIETY INC,WALTER,54 49 63RD PL,MASPETH,NY,11378-1212,0.0,3.0,3.0,1000.0,197702.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,994.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,A82Z,A82,,PC,O,AR,A,IN,,1992,A,A82Z,0.0820822,11378.0,11378.0,5602.0,5600.0,36081.0,,AR,1993,A82,199306,NY,11378.0,MASPETH,,,A,AR,AR,PC,O,AR,A,IN,,A82,A
10202,112451587,398754,15282,0,0,0,96542,0,0,197730,197730,611766,599129,389994,153169,0,480274,467119,90206,77125,0,0,0,0,0,0,0,0,0,0,0,0,12711,108482,0,5952,,A60Z,,599055,2.0,3.0,3.0,3.0,BARGEMUSIC LTD C O STANLEY T STAIRS,,FULTON FERRY LANDING,BROOKLYN,NY,11201-0000,0.0,3.0,3.0,1200.0,197812.0,1.0,15.0,1.0,11.0,0.0,10.0,8,,90.0,119.0,123.0,B9710,,1.0,1,1,4.0,1,36047.0,A60Z,A60,,PC,O,AR,A,IN,,1992,A,A60Z,0.707518,11201.0,11201.0,5602.0,5600.0,36047.0,,AR,1993,A68,199308,NY,11201.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
10230,112465993,51329,0,0,0,0,0,0,0,0,0,51329,51157,172,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Z99Z,,51329,1.0,1.0,1.0,1.0,PAUL ROBESON MEMORIAL CULTURAL CENTER INCORPORATED,,468 MAREY AVE,BROOKLYN,NY,11206-7402,0.0,3.0,3.0,1000.0,198311.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,149.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36047.0,A99Z,A99,,PC,O,AR,A,IN,,1992,A,A99Z,0.379281,11206.0,11206.0,5602.0,5600.0,36047.0,,AR,1992,A99,199212,NY,11206.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A23,A
