,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
3965,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112801382,1995,1994,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MOVEMENT INTERFACE RES INST,BROOKLYN,NY,11206-3040,Z,Z99,0.275717,36047.0,11206.0,11206.0,5602.0,5600.0,36047.0,4.0,,198702.0,199506,199506,NY,11206.0,BROOKLYN,PF,O,UN,Z,IN,,6,209.0,0.0,31 LEONARD ST 1M,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
4034,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112879579,1995,1995,1,0,90,0,0,0,0,0,0,0,0,0,0,82,-82,0,0,0,0,8704,0,0,0,0,0,8704,0,0,ASIAN AMER FND ARTS,NEW YORK,NY,10025-8052,Z,Z99,0.41545699999999997,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,4.0,,198810.0,199512,199512,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,517 W 113TH ST STE 54,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
4058,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112918759,1993,1993,0,3,29,31407,0,0,0,0,0,0,0,1129,31407,56113,-24706,0,0,0,0,0,0,0,0,0,0,0,0,0,AMER FRIENDS MUS MIKVEH,BROOKLYN,NY,11219-2130,Z,Z99,0.813592,36047.0,11219.0,11219.0,5602.0,5600.0,36047.0,4.0,,8901.0,199312,199312,NY,11219.0,BROOKLYN,PF,O,UN,Z,IN,,12,0.0,0.0,1360 44TH ST,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1150,A,,
4069,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112942428,1995,1995,1,2,90,16900,0,0,0,0,0,0,0,0,16900,15843,1057,15843,0,0,0,5464,0,0,0,0,0,5464,0,0,PODVAL ARTS & POETRY GALLERIES,BROOKLYN,NY,11235-5841,Z,Z99,0.49590500000000004,36047.0,11235.0,11235.0,5602.0,5600.0,36047.0,4.0,,198903.0,199512,199512,NY,11235.0,BROOKLYN,PF,O,UN,Z,IN,,12,0.0,0.0,150 BRIGHTON 15TH ST,3.0,0.0,1000.0,V MOLOT ESQ,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
4077,3,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,112948645,1995,1994,4,4,602,0,3193,0,0,0,0,0,0,44000,122776,175680,-52904,105451,52547,1051,0,191943,0,0,0,0,0,191943,0,10564,WORLD JOURNAL CULTURE FND,FLUSHING,NY,11354-0000,Z,Z99,0.328288,36081.0,11354.0,11354.0,5602.0,5600.0,36081.0,4.0,,198909.0,199506,199506,NY,11354.0,FLUSHING,PF,O,UN,Z,IN,,6,0.0,0.0,141 07 20TH AVE,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4085,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112964287,1994,1994,1,3,120,36500,0,0,0,0,0,11124,0,0,47624,50171,-2547,0,0,0,0,3043,0,0,0,0,0,11,0,0,INTL COMMENTARY SERVICE,BROOKLYN,NY,11201-1808,A,A32,0.939358,36047.0,11201.0,11201.0,5602.0,5600.0,36047.0,4.0,,9104.0,199412,199412,NY,11201.0,BROOKLYN,PF,O,AR,A,IN,,12,0.0,0.0,195 ADAMS ST - STE 6H,3.0,0.0,1000.0,% GUPTE,1.0,11.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A32,A,,
4091,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112976829,1995,1994,1,1,91,8015,0,0,0,0,0,0,0,0,8015,10938,-2923,0,0,0,0,4117,0,0,0,0,0,4117,0,0,AMER MEDALLIC SCULPTURE ASSOC,NEW YORK,NY,10021-0467,Z,Z99,0.20286099999999999,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,199003.0,199506,199506,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,1394 3RD AVE,3.0,0.0,1000.0,% GANZ HOLLINGER & TOWE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,
4105,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112994852,1995,1995,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUDAICA FND RES & PUBLICATION,NEW YORK,NY,10038-2400,Z,Z99,0.329801,36061.0,10038.0,10038.0,5602.0,5600.0,36061.0,4.0,,9106.0,199512,199512,NY,10038.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,132 NASSAU ST 812,3.0,0.0,1000.0,% HAVAZELET,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4107,3,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,112995688,1995,1994,1,1,90,3900,162,0,0,0,0,4725,0,2500,8787,21704,-12917,16817,162,2,0,86,0,0,0,0,4439,86,0,0,MERANOFEST,NEW YORK,NY,10006-1705,A,A68,0.458334,36061.0,10006.0,10006.0,5602.0,5600.0,36061.0,3.0,,199003.0,199510,199510,NY,10006.0,NEW YORK,PF,O,AR,A,IN,,10,,,,,,,,,,,,,,A,AR,AR,AR,,,,,,,,A68,A,,
4120,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113005761,1995,1995,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE MEDIA YOUTH,NEW YORK,NY,10272-1063,B,B99,0.00686464,36061.0,10272.0,10272.0,5602.0,5600.0,36061.0,4.0,,199005.0,199512,199512,NY,10272.0,NEW YORK,PF,O,ED,B,IN,,12,0.0,0.0,PO BOX 1063 PECK SLIP STA,3.0,0.0,1000.0,% CHARLES G THOMAS,1.0,11.0,1.0,0.0,1.0,,B,ED,ED,ED,3.0,,,,,,,A30,A,,
4131,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113028110,1995,1995,2,3,429,0,0,0,0,0,0,47570,0,0,47570,36559,11011,0,0,0,0,22131,0,0,0,0,0,22131,0,0,LAC HONG MAGAZINE,BROOKLYN,NY,11218-1754,Z,Z99,0.7751170000000001,36047.0,11218.0,11218.0,5602.0,5600.0,36047.0,4.0,,199203.0,199512,199512,NY,11218.0,BROOKLYN,PF,O,UN,Z,IN,,12,120.0,408.0,81 OCEAN PKY RM 3G,3.0,0.0,2000.0,% DIEN THOAI,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4138,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113038143,1995,1994,4,4,200,200000,0,25523,16289,0,0,0,0,218350,241812,219191,22621,218400,41812,836,0,256546,0,72222,168343,240565,0,279068,0,12078,NOSSEN FND,BROOKLYN,NY,11230-5102,Z,Z99,0.020176200000000002,36047.0,11230.0,11230.0,5602.0,5600.0,36047.0,4.0,,199104.0,199511,199511,NY,11230.0,BROOKLYN,PF,O,UN,Z,IN,,11,0.0,0.0,1280 OCEAN PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4170,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113081355,1995,1995,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAN FLAVIN ART FND,NEW YORK,NY,10017-3140,Z,Z99,0.411739,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199209.0,199512,199512,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,92.0,0.0,237 PARK AVE 21ST FL,3.0,0.0,1000.0,% THOMAS J KOVARCIK,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
4209,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113137086,1995,1995,4,3,560,30000,9521,0,0,0,0,0,0,86945,39521,89624,-50103,88285,8182,82,8182,300828,0,0,0,0,0,300828,0,16054,J Z L FND,HOLLISWOOD,NY,11423-0000,A,A99,0.447841,36081.0,11423.0,11423.0,5602.0,5600.0,36081.0,4.0,,199508.0,199512,199512,NY,11423.0,HOLLISWOOD,PF,O,AR,A,IN,,12,0.0,0.0,87 09 CLIO ST,3.0,0.0,1000.0,% MICKEY WOHL,1.0,11.0,1.0,0.0,2.0,,A,AR,AR,AR,3.0,,,,,,,A99,A,,
4294,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113227149,1995,1994,2,3,0,4000,0,0,0,0,339,32099,0,0,36439,35089,1350,35089,0,0,0,10500,0,0,0,0,0,9908,0,0,CLAYWORKS COLUMBIA,BROOKLYN,NY,11231-0000,A,A47,0.847776,36047.0,11231.0,11231.0,5602.0,5600.0,36047.0,4.0,,199612.0,199506,199506,NY,11231.0,BROOKLYN,PF,O,AR,A,IN,,6,149.0,59.0,195 COLUMBIA ST,3.0,0.0,3.0,,1.0,1.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A40,A,,
4504,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,116036776,1996,1995,5,3,60,37848,0,0,0,0,0,0,0,0,37848,14725,23123,7867,0,0,0,512119,0,0,0,0,6558,512119,0,1113,ANONYMOUS ARTS RECOVERY SOC,NEW YORK,NY,10012-5115,Z,Z99,0.058418899999999996,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,3.0,,196311.0,199603,199603,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,3,91.0,0.0,380 W BROADWAY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A03,A,,
4608,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,116101563,1995,1994,1,1,119,500,0,0,0,0,0,0,0,0,500,770,-270,0,0,0,0,165,0,0,0,0,0,165,0,16,FND CLASSIC THEATRE & ACAD,NEW YORK,NY,10036-7211,Z,Z99,0.516484,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,4.0,,196805.0,199506,199506,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,6,59.0,0.0,220 W 42ND ST,3.0,0.0,2300.0,% N J STATHIS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,
4688,2,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,130429640,1995,1995,8,6,65,299426,0,1836446,1762539,0,0,388131,90000,702160,4286542,2503557,1782985,2383024,3821934,0,2059395,31574028,31542091,0,0,31542091,1485,34471706,0,1511187,AMER ACAD ARTS & LETTERS,NEW YORK,NY,10032-7501,Z,Z99,0.0636991,36061.0,10032.0,10032.0,5602.0,5600.0,36061.0,2.0,,193503.0,199512,199512,NY,10032.0,NEW YORK,PF,O,UN,Z,IN,,12,207.0,60.0,633 W 155TH ST,3.0,0.0,2300.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A25,A,,
4701,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,131624012,1995,1995,9,9,119,2528993,180913,6122316,10518466,0,448468,1730501,407073,0,21529657,9762978,11766679,8491024,16265530,325311,9916583,145629796,14989473,67297403,39079069,121365945,4717672,174080819,0,7187445,FRICK COLLECTION,NEW YORK,NY,10021-4907,Z,Z99,0.997604,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,193910.0,199512,199512,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,59.0,60.0,1 E 70TH ST,3.0,0.0,1200.0,,1.0,13.0,1.0,0.0,3.0,,Z,UN,UN,OT,3.0,,,,,,,A51,A,,
4719,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,131656673,1995,1994,6,5,119,91946,9347,35706,132768,0,11100,161564,41275,23132,442431,411591,30840,341012,144185,1442,184777,1039145,151130,653657,0,804787,113650,1584057,0,74099,NAT SCULPTURE SOC,NEW YORK,NY,10036-2714,Z,Z99,0.26462800000000003,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,3.0,,193901.0,199509,199509,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,9,59.0,40.0,1177 AVE OF THE AMERICAS,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,
4747,3,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,131790739,1995,1994,6,4,561,115133,7914,93099,0,-17298,0,0,30000,99690,198848,164606,34242,132635,70707,1414,0,1647637,849532,473305,49775,1372612,0,1768995,0,83752,MUSICIANS FND,NEW YORK,NY,10001-3507,Z,Z99,0.9793290000000001,36061.0,10001.0,10001.0,5602.0,5600.0,36061.0,4.0,,195305.0,199504,199504,NY,10001.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,200 W 55TH ST,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
4767,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,131873289,1995,1995,6,5,119,13775,160,61141,50541,0,0,0,0,39054,125619,96867,28752,81396,96483,1930,0,1197298,387409,684775,100801,1172985,320,1549160,0,71316,BAGBY FND MUSICAL ARTS,NEW YORK,NY,10017-6103,A,A50,0.860915,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,194211.0,199512,199512,NY,10017.0,NEW YORK,PF,O,AR,A,IN,,12,0.0,0.0,501 FIFTH AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A68,A,,
4780,3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,131926551,1995,1995,7,6,119,0,5860,462711,866061,0,0,300,109650,669375,1334932,962860,372072,814259,1345726,13457,0,9762826,0,4549208,899175,5448383,26890,12587322,0,571022,HARKNESS FND DANCE,NEW YORK,NY,10017-1259,Z,Z99,0.804728,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197903.0,199512,199512,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,145 E 48TH ST SUITE 26C,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
4787,2,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,131947036,1995,1994,1,3,119,23760,1,47,0,0,0,57085,0,0,80893,83331,-2438,26197,47,1,48,504,0,180,0,180,13600,504,0,279,AMOR ARTIS,NEW YORK,NY,10028-0040,Z,Z99,0.820031,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,3.0,,196311.0,199504,199504,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,4,59.0,0.0,175 RIVERSIDE DR,3.0,0.0,1200.0,% JEAN CANNON APT 5H,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
4859,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132621140,1995,1995,4,5,161,0,0,3240,92040,0,0,0,0,210000,95280,216761,-121481,210633,89152,892,0,283665,0,0,0,0,0,283665,0,21782,VIOLA W BERNARD FND,NEW YORK,NY,10021-2651,Z,Z99,0.39217399999999997,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,196812.0,199512,199512,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,180.0,602.0,930 FIFTH AVE,3.0,0.0,1000.0,% HARRY GOODKIN & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
4919,2,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,132760185,1995,1994,4,3,8,40000,0,0,0,0,36342,0,0,0,76342,95199,-18857,0,0,0,0,165784,0,0,0,0,2995,165784,0,7983,EAKINS PRESS FND,NEW YORK,NY,10023-6226,Z,Z99,0.170131,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197404.0,199506,199506,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,15 W 67TH ST,3.0,0.0,1000.0,%LESLIE KATZ,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4950,3,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,132874843,1995,1995,1,2,995,12238,0,0,0,0,0,0,0,0,12238,15389,-3151,0,0,0,0,3622,0,0,0,0,0,3622,0,191,LAURA PAWEL DANCE COMPANY,NEW YORK,NY,10023-3402,Z,Z99,0.38443299999999997,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197701.0,199512,199512,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,15 W 72ND ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
