,EIN,FisYr,STYEAR,TAXPER,NTEE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TX4940,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ZIP5,P6TEXCTX,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,randnum,nteeConf,FIPS,MSA_NECH,PMSA,stateOld1,zip5Old1,cityOld1,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
5885,132898805,1998,1997,199806,,3,119,908433,50,33000,41903,0,472406,65000,0,1455792,1237479,218313,841756,34496,150190,1341591,179073,0,0,179073,113970,1341591,0,53908,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,74953,505456,1237479,40457,841756,40457,355266,59875,0,805721,1341591,0,1227621,345,0,0,0,0,400,0,0,0,1094575,0,53908,0,0,41896,95804,841756,415114,353947,687316,2298133,1341591,1007195,933372,1042925,4325083,0,0,0,0,0,35939,27151,26778,27931,117799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC ART FUND INC,,1 E 53RD ST,NEW YORK,NY,10022-4200,0.0,3.0,2.0,197707.0,1.0,3.0,119.0,123.0,429.0,5.0,13.0,0.0,1.0,6,,10022.0,345,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.812673,B,36061.0,5602.0,5600.0,NY,10022.0,NEW YORK,PF,O,AR,A,IN,,A1240,A
6264,133150248,1997,1997,199712,,3,149,4487,4687,126586,58247,0,0,0,57384,194007,102998,91009,75102,163298,0,2243363,1259609,757674,0,2017283,0,3015775,0,144085,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,0,189520,0,45614,26222,17718,26222,0,13671,0,0,3015775,0,2243363,3266,0,0,3877,0,0,0,0,611,2925576,140819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOCIETE DES PROFESSEORS FRANCAIS EN AMERIQUE,,PO BOX 6641,NEW YORK,NY,10128-0015,0.0,3.0,2.0,199410.0,1.0,4.0,149.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,10128.0,3266,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.609893,A,36061.0,5602.0,5600.0,NY,10128.0,NEW YORK,PF,S,AR,A,IN,,B82,B
6420,133229829,1999,1998,199904,A23Z,3,46,53072,0,0,0,0,0,0,0,53072,58400,-5328,0,0,0,8523,0,0,0,0,4150,8523,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,58400,0,0,0,0,8147,0,0,8523,0,4373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOREAN LANGUAGE & CULTURAL INSTITUTE INC,,246 5TH AVE STE 500,NEW YORK,NY,10001-7603,0.0,3.0,1.0,199101.0,1.0,4.0,46.0,0.0,0.0,1.0,13.0,0.0,1.0,4,,10001.0,0,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.916615,A,36061.0,5602.0,5600.0,NY,10001.0,NEW YORK,PF,S,AR,A,IN,,A23,A
6864,133389923,1998,1997,199810,,3,122,10000,0,0,0,0,10827,0,0,20827,147718,-126891,5036,0,0,158241,0,0,0,0,311668,36614,0,204,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,10827,147718,0,5036,0,35539,9870,0,0,36614,0,-153427,0,0,0,0,0,0,0,0,0,4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THE TEREZIN FOUNDATION INC,,262 CENTRAL PARK WEST,NEW YORK,NY,10024-3512,0.0,3.0,1.0,198703.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,10,,10024.0,0,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.213089,A,36061.0,5602.0,5600.0,NY,10024.0,NEW YORK,PF,S,AR,A,IN,,A31,A
6921,133406046,1997,1997,199712,,3,0,20000,0,0,0,0,0,0,17600,20000,17680,2320,17680,0,0,5586,0,0,0,0,0,5661,0,222,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,80,0,80,0,0,5586,0,0,5661,0,5586,0,0,0,0,0,0,0,0,0,4514,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRANCIS J GREENBURGER FOUNDATION INC,% TIME EQUITIES INC,55 5TH AVE,NEW YORK,NY,10003-4301,0.0,3.0,1.0,200106.0,1.0,4.0,0.0,0.0,0.0,1.0,75.0,0.0,1.0,12,,10003.0,0,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.708274,C,36061.0,5602.0,5600.0,NY,10003.0,NEW YORK,PF,O,AR,A,IN,,A40,A
7022,133442712,1997,1997,199712,,3,122,215204,0,0,0,0,19291,0,0,234495,84327,150168,0,0,0,160760,0,0,0,0,0,160760,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,84327,0,0,0,0,160460,0,0,160760,0,160760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OUTSIDE IN JULY INC,% J L ROSENHOUSE CPA INC,250 W 57TH ST STE 2203,NEW YORK,NY,10019-3741,0.0,3.0,1.0,198810.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,12,GARRISON,10019.0,0,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.41537700000000005,B,36061.0,5602.0,5600.0,NY,10019.0,NEW YORK,PF,S,AR,A,IN,,A31,A
7024,133442953,1998,1998,199812,,3,121,5000,36,0,0,0,0,0,0,5036,12888,-7852,0,36,36,-8874,0,0,0,0,0,1918,0,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,36,36,12888,0,0,0,0,1918,0,0,1918,0,-8874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIDEO INFORMATION NETWORK,,257 W 86TH ST APT 5A,NEW YORK,NY,10024-3105,0.0,3.0,1.0,198802.0,1.0,4.0,121.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,10024.0,1,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.748742,B,36061.0,5602.0,5600.0,NY,10024.0,NEW YORK,PF,S,AR,A,IN,,A31,A
7075,133464919,1997,1997,199712,,3,91,92495,0,0,0,0,0,0,0,92495,88811,3684,0,0,0,14551,0,0,0,0,25960,14551,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,88811,0,0,0,0,13980,0,0,14551,0,-11409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WORLD PRESS PHOTO USA FOUNDATION INC,% RABOBANK NEDERLAND,245 PARK AVE,NEW YORK,NY,10167-0002,0.0,3.0,1.0,198909.0,1.0,4.0,91.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,10167.0,0,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.433278,B,36061.0,5602.0,5600.0,NY,10167.0,NEW YORK,PF,S,AR,A,IN,,A40,A
7115,133486646,1998,1998,199812,,3,123,0,0,5399,-16801,0,0,0,10000,-11402,11750,-23152,10626,5138,0,243211,0,181017,53258,234275,0,301661,8787,15473,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,5399,0,1750,261,626,261,0,1,0,0,301661,0,243211,51,0,0,525,0,0,0,0,474,314177,15422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RONALD A WILFORD FOUNDATION FOR CONDUCTORS INC,% US TRUST CO OF NY,114 W 47TH ST TAXVS,NEW YORK,NY,10036-1510,0.0,3.0,1.0,198906.0,1.0,4.0,123.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,10036.0,51,,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.538797,B,36061.0,5602.0,5600.0,NY,10036.0,NEW YORK,PF,S,AR,A,IN,,A60,A
7290,133556699,1998,1998,199812,,3,60,18341,14,0,0,0,0,0,0,18355,29017,-10662,0,14,14,3763,0,0,0,0,0,3763,356,356,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,14,14,29017,0,0,0,0,0,0,0,3763,0,3763,0,0,0,0,0,0,0,0,0,7219,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAIM GROSS MUSEUM,% ADFEL LEVY ZLOTNICK & CO,526 LA GUARDIA PL,NEW YORK,NY,10012-1401,0.0,3.0,1.0,199008.0,1.0,4.0,60.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,10012.0,0,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.959684,B,36061.0,5602.0,5600.0,NY,10012.0,NEW YORK,PF,S,AR,A,IN,,A50,A
7333,133572120,1998,1997,199809,,3,122,9200,0,0,728,0,-420,0,0,9508,32911,-23403,27497,308,0,34150,0,0,0,0,114074,34150,0,1147,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,308,0,32911,0,27497,0,0,3013,0,23295,34150,0,-79924,3,0,0,0,0,0,0,0,0,23295,0,1147,0,0,0,1147,27497,59944,70908,0,158349,34150,15054,19256,0,68460,34150,15054,19256,0,68460,765,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FUND FOR NEW PERFORMANCE VIDEO INC,,175 W 73RD STE 12D,NEW YORK,NY,10023-2934,0.0,3.0,1.0,199401.0,1.0,3.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,9,,10023.0,3,,A11,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.146824,A,36061.0,5602.0,5600.0,NY,10023.0,NEW YORK,PF,S,ZA,A,IN,,A1131,A
7340,133573803,1997,1997,199712,,3,119,481360,4057,0,0,0,0,0,330000,485417,344035,141382,330000,4057,4057,243929,0,0,0,0,0,243929,122,8532,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,4057,4057,14035,0,0,0,0,0,0,0,243929,0,243929,81,0,0,0,0,0,0,0,0,173238,8451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FILM FOUNDATION INC,% STARR & COMPANY,350 PARK AVENUE 9TH FLOOR,NEW YORK,NY,10022-6022,0.0,3.0,1.0,199008.0,1.0,4.0,119.0,0.0,0.0,1.0,52.0,0.0,1.0,12,,10022.0,81,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.775551,B,36061.0,5602.0,5600.0,NY,10022.0,NEW YORK,PF,S,AR,A,IN,,A31,A
7380,133591085,1998,1998,199812,A42Z,3,91,0,3640,0,0,11700,2578,0,0,17918,39524,-21606,0,3640,0,1418630,0,0,0,0,0,1418630,5492,5565,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,3640,17918,39524,0,0,0,39524,0,0,0,1418630,0,1418630,73,0,0,0,0,0,0,0,0,113000,5492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LISETTE MODEL FOUNDATION INC,% BLUM GERSEN AND WOOD ESQ,270 MADISON AVE,NEW YORK,NY,10016-0601,0.0,3.0,1.0,199604.0,1.0,4.0,91.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,10016.0,73,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.10120499999999999,C,36061.0,5602.0,5600.0,NY,10016.0,NEW YORK,PF,S,AR,A,IN,,A40,A
7391,133593900,1998,1998,199812,A99Z,3,123,0,275,0,0,0,0,0,0,275,31,244,25,250,250,11588,0,0,0,0,93,11588,534,564,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,275,275,31,0,0,25,25,0,0,0,11588,0,11495,5,0,0,0,0,0,0,0,0,11451,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOVIET BUSINESS AND COMMERCIAL LAW EDUCATION FOUNDATION INC,% EUGENE R SULLICAN ESQ CHADBOURNE,30 ROCKEFELLER PLAZA,NEW YORK,NY,10112-0002,0.0,3.0,1.0,199102.0,1.0,4.0,123.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,10112.0,5,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.021481599999999997,C,36061.0,5602.0,5600.0,NY,10112.0,NEW YORK,PF,S,AR,A,IN,,B11,B
