,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,TFLD,P6TXRFD,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,randnum,nteeConf,FIPS,MSA_NECH,PMSA,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
6179,113131714,200312,2003,200430.0,29491185051114,A99Z,N,Y,0.0,1.0,2003,3.0,1.0,1.0,3,560,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11419.0,PEACE UNITY AND PROSPERITY FOUNDATION INC,SARITA SACHOEUA,95 54 111TH ST,RICHMOND HILL,NY,11419-1023,0.0,3.0,1.0,199607.0,1.0,4.0,1.0,11.0,0.0,1.0,12,,560.0,0.0,0.0,0,0,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.36244899999999997,C,36081.0,5602.0,5600.0,NY,11419.0,RICHMOND HILL,core2003pf_ver1,PF,S,AR,A,IN,,A99,A
6191,113137086,200312,2003,200445.0,29491290078024,A99Z,N,Y,0.0,1.0,2003,3.0,4.0,4.0,3,560,100000,975,0,0,0,0,0,101185,100975,101339,-364,101185,821,821,196372,0,0,0,0,0,196372,0,9897,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,975,975,154,154,0,154,154,196372,0,0,196372,0,196372,8,0,0,0,0,0,0,0,0,8,200951,9889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11423.0,J Z L FOUNDATION,MICKEY WOHL,87 09 CLIO ST,HOLLISWOOD,NY,11423-1229,0.0,3.0,1.0,199508.0,1.0,4.0,2.0,11.0,0.0,1.0,12,,560.0,0.0,0.0,8,0,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.296069,C,36081.0,5602.0,5600.0,NY,11423.0,HOLLISWOOD,core2003pf_ver1,PF,S,AR,A,IN,,A99,A
6209,113162087,200312,2003,200452.0,29491339256124,,N,Y,0.0,1.0,2003,3.0,6.0,5.0,3,994,257295,0,0,0,0,315781,0,0,573076,474475,98601,455783,0,301219,1222938,0,566138,0,566138,222475,1222938,0,4372,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,315781,474475,0,455783,0,14562,24017,0,0,1222938,0,1000463,0,0,0,0,0,0,0,0,0,0,88761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10018.0,AMERICAN AIRPOWER MUSEUM,AVIREX LTD,15 W 39TH ST,NEW YORK,NY,10018-3806,0.0,3.0,1.0,199308.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,994.0,60.0,0.0,0,0,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.15026099999999998,B,36061.0,5602.0,5600.0,NY,10018.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A50,A
6282,113227149,200406,2004,200446.0,29491304006054,A47P,N,Y,0.0,1.0,2003,3.0,1.0,3.0,3,91,0,0,0,0,0,59870,0,50,59870,58136,1734,50,0,0,7948,0,0,0,0,7093,7945,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,58086,0,0,0,0,4560,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11231.0,CLAYWORKS ON COLUMBIA INC,,195 COLUMBIA STREET,BROOKLYN,NY,11231-0000,0.0,3.0,3.0,199612.0,1.0,4.0,1.0,11.0,0.0,1.0,6,,91.0,149.0,59.0,0,0,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.342063,C,36047.0,5602.0,5600.0,NY,11231.0,BROOKLYN,core2003pf_ver1,PF,S,AR,A,IN,,A40,A
6324,113265032,200211,2002,200447.0,29491311029074,A20Z,N,Y,0.0,1.0,2001,3.0,1.0,1.0,3,994,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11212.0,CHILDRENS TALENT UNLIMITED INC,JANICE ROBERTSON,1059 CLARKSON AVE,BROOKLYN,NY,11212-2040,0.0,3.0,1.0,199601.0,1.0,4.0,1.0,11.0,0.0,1.0,11,,994.0,88.0,90.0,0,0,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.5048229999999999,C,36047.0,5602.0,5600.0,NY,11212.0,BROOKLYN,core2003pf_ver1,PF,S,AR,A,IN,,A20,A
6404,113343213,200309,2003,200430.0,29491192020184,A25,N,Y,0.0,1.0,2002,2.0,4.0,1.0,3,0,9008,328,0,0,0,0,20000,8000,9336,30281,-20945,10233,328,328,172033,0,0,0,0,60000,172033,0,3163,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,328,328,22281,0,2233,0,0,28784,0,0,172033,0,112033,7,0,0,0,0,0,0,0,0,7,64214,0,328,293,1908,2370,4899,10233,13197,25407,20907,69744,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11238.0,ROY AND SHERRY DECARAVA FOUNDATION,ROY & SHERRY & SUSAN W DECARAVA,201 EASTERN PKWY 5G,BROOKLYN,NY,11238-6137,0.0,3.0,1.0,199904.0,1.0,3.0,2.0,11.0,0.0,1.0,9,,0.0,0.0,0.0,7,0,,A25,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.43557399999999996,C,36047.0,5602.0,5600.0,NY,11238.0,BROOKLYN,core2003pf_ver1,PF,O,AR,A,IN,,A25,A
6692,113498583,200307,2003,200417.0,29491101019184,T22,N,Y,0.0,42.0,2002,3.0,6.0,5.0,3,0,15248,71654,73487,0,0,782155,57434,20,942544,204265,738279,20,0,0,4932702,299875,2059428,588481,2947784,67675,6257280,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,204245,0,0,0,0,3,0,0,6257280,0,4865027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11354.0,VOELKER-ORTH MUSEUM,CATHERINE ABRAMS,149 19 38TH AVE,FLUSHING,NY,11354-4839,0.0,3.0,1.0,200006.0,1.0,4.0,5.0,11.0,0.0,1.0,7,,0.0,0.0,0.0,0,0,M,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.454979,C,36081.0,5602.0,5600.0,NY,11354.0,FLUSHING,core2003pf_ver1,PF,S,AR,A,IN,,A50,A
6820,113559712,200312,2003,200445.0,29491220040074,A51,N,Y,0.0,1.0,2003,2.0,6.0,2.0,3,0,0,0,0,-300,0,0,0,800,-300,17581,-17881,-17881,0,0,2620348,0,0,0,0,0,2621411,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,16781,0,16135,0,16935,60448,0,0,2621411,0,2620348,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16935,7549,6186,0,30670,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11215.0,HAROLD WESTON FOUNDATION,REBECCA FOSTER,338 8TH ST 8,BROOKLYN,NY,11215-3339,0.0,3.0,1.0,200108.0,1.0,3.0,2.0,11.0,0.0,1.0,12,,0.0,0.0,0.0,0,0,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.828991,C,36047.0,5602.0,5600.0,NY,11215.0,BROOKLYN,core2003pf_ver1,PF,O,AR,A,IN,,A51,A
6908,113630680,200306,2003,200445.0,29491178101004,A51,N,Y,0.0,1.0,2002,2.0,5.0,6.0,3,0,199153,290,0,3765,0,-46652,23835,120774,156556,386516,-229960,379076,1321,0,976617,0,0,0,0,15898,976617,0,52310,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,0,0,4055,4447,265742,2734,258302,2734,4447,671,0,875810,976617,0,960719,13,0,0,0,0,10,0,0,0,13,1062136,0,1,0,0,0,1,379076,118457,0,0,497533,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11101.0,DORSKY GALLERY CURATORIAL PROGRAMS,DAVID DORSKY,11 03 45TH AVE,LONG IS CITY,NY,11101-5109,0.0,3.0,1.0,200204.0,1.0,3.0,1.0,11.0,0.0,1.0,6,,0.0,0.0,0.0,3,0,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8832969999999999,C,36081.0,5602.0,5600.0,NY,11101.0,LONG IS CITY,core2003pf_ver1,PF,O,AR,A,IN,,A50,A
7394,131873289,200312,2003,200421.0,29491122079154,A50Z,N,Y,0.0,1.0,2003,3.0,6.0,4.0,3,119,43625,4,60380,32386,0,0,0,73548,136396,145574,-9178,123406,70725,0,1720972,100072,1038164,571934,1710170,570,2107412,0,96536,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,0,0,92771,0,72026,22046,49858,22046,0,3444,0,0,2107412,0,1720401,707,0,0,611,0,0,0,0,0,707,1960139,95829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017.0,BAGBY FOUNDATION FOR THE MUSICAL ARTS INC,,501 FIFTH AVE,NEW YORK,NY,10017-6103,0.0,3.0,1.0,194211.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,119.0,0.0,0.0,97,0,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.0980688,C,36061.0,5602.0,5600.0,NY,10017.0,NEW YORK,core2003pf_ver1,PF,S,AR,A,IN,,A68,A
7419,131966496,200112,2001,200417.0,29491073056034,,N,Y,0.0,1.0,2001,3.0,6.0,4.0,3,119,159709,98672,8608,6593,0,-37954,0,304110,235628,508172,-272544,455202,3155,28286,4860131,4300939,0,0,4300939,11145,4860131,0,455082,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,44195,69326,204062,41040,151092,41040,41040,47584,0,0,4860131,0,4848986,63,0,0,0,0,0,0,0,0,63,9240238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10016.0,AUTHORS LEAGUE FUND ESTABLISHED BY THE AUTHORS LEAGUE OF AMERICA INC,,31 E 28TH ST 10TH FLR,NEW YORK,NY,10016-7923,0.0,1.0,1.0,193603.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,119.0,561.0,0.0,63,0,M,A11,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.5914119999999999,A,36061.0,5602.0,5600.0,NY,10016.0,NEW YORK,core2003pf_ver1,PF,S,ZA,A,IN,,A1170,A
