,EIN,DocCD,EOY,TAXPER,STYEAR,NTEEIRS,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,FUNDBALx,ASS_EOYx,LIAB_EOYx,RETEARNx,BOND_EOYx,MRTG_EOYx,FISYRx,BOND_BOY_OLD,MRTG_BOY_OLD,RETE_BOY_OLD,fincheckv,DuesFlg,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA
9639,112224061,92,10.0,201006,2009,,0,141959,0,0,2806,0,0,0,0,0,144765,494935,-1250294,0,0,405993,505938,1311063,1756232,0,0,0,0,0,0,0,0,0,0,0,0,,144765,144765,0,0,0,0,0,0,0,-350170,0,0,0,0,0,0,0,-905070,0,0,0,0,0,2806,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,566.0,N,5.0,1.0,201114.0,29492078008381,1.0,2010,4.0,Y,1.0,N,1.0,0.0,2009,10016-8804,10016.0,112224061201006,1122240612010,6.0,566.0,0.0,0.0,386 PARK AVE S,3.0,0.0,NEW YORK,3.0,,2.0,0.0,10.0,0.0,EXHIBITION EMPLOYEES LOCAL 829 HIRING HALL FUND,2.0,197111.0,,NY,rtf10co,3.0,2.0,2.0,2.0,-904070,405993,1310063,0,0,0,2009.0,0,0,0,,1,A114,A,O,S,ZA,A,A,IN,,1,AR,AR,AR,0.30951999999999996,B,A1140,A,36061.0,5602.0,5600.0
9814,112511065,92,10.0,201006,2009,,0,0,0,0,5064,0,0,0,0,0,186696,107307,377154,0,0,303789,385409,6024,8255,0,0,0,0,0,0,0,0,0,181555,0,77,,186696,186696,0,0,0,0,0,0,0,79389,0,0,0,0,0,0,0,297765,0,0,0,0,0,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200.0,N,4.0,1.0,201119.0,93492124005141,1.0,2010,4.0,Y,1.0,N,1.0,0.0,2009,11241-0000,11241.0,112511065201006,1125110652010,6.0,200.0,0.0,0.0,C/O WILLIAM ROTHBERG 16 COURT ST,3.0,0.0,BROOKLYN,1.0,WILLIAM ROTHBERG,2.0,0.0,10.0,0.0,BUILDING RESTORATION CONTRACTORS INDUSTRY PROMOTION FUND OF NY,2.0,197912.0,,NY,rtf10co,2.0,2.0,2.0,2.0,297765,303789,6024,0,0,0,2009.0,0,0,0,,0,A82,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9887299999999999,B,A82,A,36047.0,5602.0,5600.0
9862,112579110,93,10.0,201012,2010,,0,0,0,0,0,0,0,0,0,0,40120,44960,27673,0,0,32513,28272,0,599,0,0,0,0,0,0,0,0,0,40120,0,0,,40120,40120,0,0,0,0,0,0,0,-4840,0,0,0,0,0,0,0,32513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,200.0,N,3.0,1.0,201127.0,29493162120041,1.0,2010,3.0,Y,1.0,N,1.0,0.0,2010,10472-3102,10472.0,112579110201012,1125791102010,12.0,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,BRONX,1.0,ATLAS FUEL,2.0,0.0,20.0,0.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,1.0,198311.0,,NY,rtf10co,1.0,1.0,1.0,1.0,32513,32513,0,0,0,0,2009.0,0,0,0,,0,A65,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.3524,C,A65,A,36005.0,5602.0,5600.0
10026,112803518,93,10.0,201012,2010,,27623,0,0,0,11351,0,0,0,0,0,38974,36793,1609204,0,0,1607023,1609204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38974,38974,0,0,0,0,0,0,0,2181,0,0,0,0,0,0,0,1607023,0,0,0,0,0,11351,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,319.0,N,6.0,1.0,201123.0,29493141085151,1.0,2010,3.0,Y,1.0,Y,1.0,0.0,2010,11357-1072,11357.0,112803518201012,1128035182010,12.0,319.0,0.0,0.0,33 CENTER DR,3.0,0.0,WHITESTONE,1.0,ROCCO NAPOLEONE,2.0,0.0,20.0,0.0,FRATERNAL CIRCLE OF NATIVES CONVERSAND INC,1.0,199308.0,,NY,rtf10co,4.0,1.0,1.0,1.0,1607023,1607023,0,0,0,0,2009.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.2503,B,A23,A,36081.0,5602.0,5600.0
10196,113097379,93,10.0,201012,2010,,0,0,0,0,143401,0,0,0,0,0,219376,219376,79791,0,0,194159,184134,139575,104343,0,0,0,0,0,0,0,0,0,75975,0,0,,219376,219376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54584,0,0,0,0,0,143401,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,319.0,N,4.0,1.0,201137.0,87493231000071,1.0,2010,4.0,Y,1.0,N,1.0,0.0,2010,11385-6930,11385.0,113097379201012,1130973792010,12.0,319.0,119.0,0.0,7254 65TH PL,3.0,0.0,GLENDALE,1.0,DUSHAN RADOVICH,2.0,0.0,10.0,0.0,SERBIAN ASSOCIATION OF NEW YORK INC,1.0,199301.0,,NY,rtf10co,2.0,2.0,2.0,2.0,54584,194159,139575,0,0,0,2009.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.83621,A,A23,A,36081.0,5602.0,5600.0
10250,113163244,92,10.0,201004,2009,A23,9000,0,0,0,0,0,0,0,0,0,37016,1189,19331,0,0,21446,19331,0,0,0,0,0,0,0,0,0,0,37942,0,-9926,0,,-926,-926,0,0,0,0,0,28016,0,-2115,0,0,0,0,0,0,0,21446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,N,2.0,1.0,201134.0,29492225001171,1.0,2010,3.0,Y,1.0,N,1.0,0.0,2009,11230-0182,11230.0,113163244201004,1131632442010,4.0,0.0,0.0,0.0,PO BOX 300182,3.0,0.0,BROOKLYN,1.0,,2.0,0.0,20.0,0.0,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,1.0,200201.0,,NY,rtf10co,1.0,0.0,1.0,1.0,21446,21446,0,0,0,0,2009.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.8522,B,A23,A,36047.0,5602.0,5600.0
10281,113212678,93,10.0,201012,2010,,160137,0,0,0,0,0,0,0,0,0,160137,151618,15490,0,0,7221,15490,250,0,0,0,0,0,0,0,0,0,0,0,0,0,,160137,160137,0,0,0,0,0,0,0,8519,0,0,0,0,0,0,0,6971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200.0,N,2.0,1.0,201137.0,29493155004181,1.0,2010,4.0,Y,1.0,N,1.0,0.0,2010,11354-2827,11354.0,113212678201012,1132126782010,12.0,200.0,0.0,0.0,35-22 FARRINGTON ST STE 201,3.0,0.0,FLUSHING,1.0,,2.0,0.0,0.0,0.0,KOREAN-AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,1.0,199509.0,,NY,rtf10co,1.0,2.0,2.0,2.0,6971,7221,250,0,0,0,2009.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.50976,A,A23,A,36081.0,5602.0,5600.0
10284,113216404,93,10.0,201009,2009,,28395,0,0,0,219,0,0,0,0,0,128130,144106,43303,10200,0,60274,44303,995,1000,38467,0,0,0,0,0,0,0,0,99516,0,0,,128130,128130,0,0,0,0,0,0,0,-15976,0,0,0,0,0,0,0,59279,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,54443,317.0,N,3.0,1.0,201105.0,29493008341121,1.0,2010,4.0,Y,1.0,N,1.0,0.0,2009,11210-1233,11210.0,113216404201009,1132164042010,9.0,317.0,0.0,0.0,1324 FLATBUSH AVE,3.0,0.0,BROOKLYN,1.0,FREDERICK BALLENTYNE,2.0,0.0,10.0,0.0,CARIBBEAN CUP INC,1.0,199609.0,,NY,rtf10co,1.0,2.0,2.0,2.0,59279,60274,995,54443,0,0,2009.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.69963,C,A23,A,36047.0,5602.0,5600.0
10314,113261970,92,10.0,201012,2010,S40,91317,0,0,0,1433,0,0,0,0,0,92750,97518,140492,0,0,140648,140492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,92750,92750,0,0,0,0,0,0,0,-4768,0,0,0,0,0,0,0,140648,0,0,0,0,0,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.0,N,4.0,1.0,201152.0,29492344183051,1.0,2010,3.0,Y,1.0,N,1.0,0.0,2010,11356-2332,11356.0,113261970201012,1132619702010,12.0,0.0,0.0,0.0,1528 127TH ST,3.0,0.0,COLLEGE POINT,2.0,,2.0,0.0,10.0,0.0,KOREAN AIR CONDITIONING & REFRIG ASSOC OF NY INC,1.0,200003.0,,NY,rtf10co,2.0,1.0,1.0,1.0,140648,140648,0,0,0,0,2009.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.0032,A,A23,A,36081.0,5602.0,5600.0
10320,113278319,92,10.0,201012,2010,S41,0,34374,0,0,0,0,0,0,0,0,65176,63062,34435,0,0,32321,34435,0,0,0,0,0,0,0,0,0,0,0,30802,0,0,,65176,65176,0,0,0,0,0,0,0,2114,0,0,0,0,0,0,0,32321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.0,N,3.0,1.0,201128.0,29492169243001,1.0,2010,3.0,Y,1.0,N,1.0,0.0,2010,10474-0060,10474.0,113278319201012,1132783192010,12.0,0.0,0.0,0.0,800 FOOD CENTER DR UNIT 96B,3.0,0.0,BRONX,2.0,,2.0,0.0,10.0,0.0,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,1.0,199904.0,,NY,rtf10co,1.0,1.0,1.0,1.0,22543,22544,1,0,0,0,2008.0,0,0,0,,1,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.63942,A,A23,A,36005.0,5602.0,5600.0
10322,113281373,93,9.0,200912,2009,,0,0,0,0,0,0,0,0,0,0,53825,88415,8042,0,0,55634,8042,13002,0,8042,0,0,0,0,0,0,0,0,53825,0,0,,53825,53825,0,0,0,0,0,0,0,-34590,0,0,0,0,0,0,0,42632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,42632,229.0,N,1.0,1.0,201103.0,29493001120051,1.0,2009,3.0,N,1.0,N,1.0,0.0,2009,10118-5999,10118.0,113281373200912,1132813732009,12.0,229.0,0.0,0.0,350 5TH AVE FL 59,3.0,0.0,NEW YORK,1.0,FGH KEOGH & ASSOCIATES PLLC,2.0,0.0,20.0,0.0,IRISH AMERICAN BUILDING SOCIETY INC,1.0,199706.0,,NY,rtf10co,1.0,1.0,1.0,1.0,42632,55634,13002,42632,0,0,2008.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.6101300000000001,C,A23,A,36061.0,5602.0,5600.0
10369,113383944,93,9.0,200912,2009,,57789,0,0,0,101,0,0,0,0,0,57890,41649,55700,0,0,39459,55700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,57890,57890,0,0,0,0,0,0,0,16241,0,0,0,0,0,0,0,39459,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205.0,N,3.0,1.0,201030.0,29493198083250,1.0,2009,3.0,Y,1.0,N,1.0,0.0,2009,11354-1343,11354.0,113383944200912,1133839442009,12.0,205.0,0.0,0.0,27-04 PARSONS BLVD,3.0,0.0,FLUSHING,1.0,KEVIN LEE MD,2.0,0.0,10.0,0.0,KOREAN MEDICAL PRACITIONER ASSOC OF GREATER NEW YORK INC,1.0,199710.0,,NY,CORE09co,1.0,1.0,1.0,1.0,55700,55700,0,0,0,0,2009.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.42841,A,A23,A,36081.0,5602.0,5600.0
10420,113477797,92,,200812,2008,N31,8995,0,0,0,65700,0,0,0,0,0,115656,144469,142429,0,0,833138,804325,661896,661896,0,0,0,0,0,0,0,0,0,0,40411,550,,115656,115656,0,0,0,0,0,40411,0,-28813,0,0,0,0,0,0,0,171242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,279.0,N,5.0,1.0,200940.0,29492185371459,1.0,2008,4.0,Y,1.0,N,1.0,0.0,2008,11105-2402,11105.0,113477797200812,1134777972008,12.0,279.0,210.0,0.0,2227 33RD ST,9.0,0.0,ASTORIA,1.0,GREGORIS KAVALOS,2.0,0.0,20.0,924.0,PANCRETAN ASSOCIATION OF AMERICA,5.0,194603.0,SYLLOGOS KRETON MINOS INC,NY,CORE09co,3.0,2.0,2.0,2.0,142429,804325,661896,0,0,0,2008.0,0,0,0,,0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.75422,A,A23,A,36081.0,5602.0,5600.0
10706,116024777,92,,200812,2008,,0,1400,0,0,107,0,0,0,0,0,25087,6845,15000,0,0,28518,15000,0,0,0,0,0,0,0,0,0,0,31760,0,-8180,0,,-6673,-6673,0,0,0,0,0,23580,0,-13518,0,0,0,0,0,0,0,28518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263.0,N,2.0,1.0,200926.0,29492157253189,1.0,2008,3.0,Y,1.0,N,1.0,0.0,2008,11417-0185,11417.0,116024777200812,1160247772008,12.0,263.0,264.0,267.0,PO BOX 185,3.0,0.0,JAMAICA,3.0,,2.0,0.0,20.0,0.0,NEW YORK TURF WRITERS ASSOCIATION INC OZONE PARK,1.0,196311.0,,NY,CORE09co,1.0,0.0,1.0,1.0,15000,15000,0,0,0,0,2008.0,0,0,0,,0,A70,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.24666,A,A70,A,36081.0,5602.0,5600.0
