,fincheckv,VerifyBy,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,TOTLOB,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,NTEE,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEECC4D,NTEE2,NTMAJ12,NTMAJ5,RandNum,CNAB,ASSTSALE,CGR2NET,CTOTREVM,CTOTREVB,CNAO,CNAM,CRERATIO,IERATIO,VINCEXP,VBS,VOK,FIPS,MSA,PMSA,V1SECURN,verfail,V1OTHN,V1SPEVN,V1INVNTN,V1TOTREV,V1NETINC,V1NASEOY,VBS_BOY,VBS_EOY,VASSTLIA,VGRENTEXP,VGCOMPENS,VGOTHSAL,VGPAYTAX,VGFUNDFEES,VGSOLICIT,VGBOND_BOY,VGMRTG_BOY,VGBOND_EOY,VGMRTG_EOY,TOTREV_F,GRREC_F,GRINC_F,SALES_F,FUNDB_F,TOTREV_O,GRREC_O,GRINC_O,SALES_O,FUNDB_O,CRINC_F,MSA_NECH,NTEESRC,nteeConf,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
22464,,,131624124,200206,2001,5183780,269605,62357253,62876927,520567,2249657,230098,288408,64387550,1280525,69840935,9697087,48443168,238249,0,53165352,48933645,686729,490477,0,0,0,0,0,0,0,0,0,0,0,0,117828,363716,-68703,206786,,6616082,3,7,0,58270,462297,371597,371597,0,-519674,0,0,0,49125,518506,6616082,-3081005,-954450,3478843,275509,0,0,0,0,0,52478623,26749935,541352,3518819,5449186,0,0,38124216,34605397,0,0,0,119,N,8,1,200311,29490039118193,1,2002,9,Y,1,N,1,0,2001,10024-5152,10024.0,131624124200206,1316241242002,6,119.0,59.0,62.0,170 CENTRAL PARK W,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,NEW YORK HISTORICAL SOCIETY,1.0,193804.0,,NY,RTF02PC,,5.0,,5.0,A,A80,IN,,AR,A,A82Z,PC,O,AR,A,,A54Z,AR,AR,0.325223,-4035455,-519674,63224853,6616082,5661632,-3081005,-3081005,1,0,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,2,2,2,0,2,0,0,0,0,N,N,N,N,N,6616082,69840935,1280525,64387550,48443168,,5602.0,1,N,A80,NY,10024.0,NEW YORK,A82,,1291610.0,1b,2002.0,0.0,1b,2002.0,22621532.0,3a,2002.0,21910543.0,1b,2002.0,2804804.0,3a,2002.0,23016732.0,3a,2002.0,0.0,1b,2002.0,0.0,1b,2002.0,3892170.0,1b,2002.0,22582009.0,1c,2001.0,PC,O,AR,A,IN,,0.0,1b,2002.0,17200.0,1b,2002.0,21852374.0,1b,2002.0,1372.0,1b,2002.0,A82,A
22518,,,131628183,200206,2001,1625935,0,1897957,1797590,412602,386778,114346,85183,4296410,2384474,5922345,4017722,12442992,170983,0,14771028,13415972,1276536,972980,0,0,0,0,0,0,0,0,0,0,0,0,52201,1573292,0,64257,,3958208,3,2,0,0,412602,96572,96572,0,100367,0,0,0,52201,199529,3958208,-59514,-991986,0,0,0,0,0,0,0,13494492,0,0,0,0,0,0,0,0,0,0,0,59,N,8,1,200327,29490172226123,1,2002,7,Y,1,N,1,0,2001,10128-0114,10128.0,131628183200206,1316281832002,6,59.0,0.0,0.0,1083 FIFTH AVE,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,NATIONAL ACADEMY OF DESIGN,1.0,193501.0,,NY,RTF02PC,,4.0,5.0,4.0,A,A25,IN,,AR,A,A25Z,PC,O,AR,A,,A44Z,AR,AR,0.287069,-1051500,100367,1964137,3958208,2966222,-59514,-59514,17,0,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,2,0,0,0,2,0,0,0,0,N,N,N,N,N,3958208,5922345,2384474,4296410,12442992,,5602.0,1,N,B40,NY,10128.0,NEW YORK,A25,,45248.0,1b,2002.0,0.0,1b,2002.0,3940929.0,3a,2002.0,2388455.0,1b,2002.0,4379932.0,3a,2002.0,4122130.0,3a,2002.0,0.0,1b,2002.0,0.0,1b,2002.0,1580687.0,1b,2002.0,2186568.0,1c,2001.0,PC,O,AR,A,IN,,0.0,1b,2002.0,15030.0,1b,2002.0,9657484.0,1b,2002.0,98756.0,1b,2002.0,A25,A
22519,,,131628185,200212,2002,107732,82250,2968011,1956201,106098,0,0,0,3165967,1209766,3355949,454881,5083655,0,0,6140444,5083655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19545,55064,995,16254,,1380203,3,9,0,1229,104869,0,0,0,1011810,0,0,0,20540,0,1380203,925322,-1982111,159229,11946,0,0,0,0,0,6140444,342829,329722,334625,362595,0,0,1376191,1041566,0,0,0,59,N,7,1,200334,29490221004113,1,2002,6,Y,1,N,1,0,2002,10021-4501,10021.0,131628185200212,1316281852002,12,59.0,62.0,61.0,215 E 71ST ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,NATIONAL SOCIETY OF COLONIAL DAMES IN THE STATE OF NEW YORK,1.0,194104.0,,NY,RTF02PC,5.0,4.0,4.0,2.0,A,A80,IN,,AR,A,A82Z,PC,O,AR,A,,,AR,AR,0.0465272,-1056789,1011810,1975746,1380203,-601908,925322,925322,-1,3,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,N,N,N,N,N,1380203,3355949,1209766,3165967,5083655,,5602.0,1,N,A80,NY,10021.0,NEW YORK,A80,,0.0,1a,2002.0,0.0,1a,2002.0,4367947.0,3a,2002.0,1.0,1a,2002.0,56701.0,3a,2002.0,659007.0,3a,2002.0,0.0,1a,2002.0,9560.0,1a,2002.0,107732.0,1a,2002.0,1.0,1a,2002.0,PC,O,AR,A,IN,,0.0,1a,2002.0,0.0,1a,2002.0,3237574.0,1a,2002.0,0.0,1a,2002.0,A80,A
22527,,,131632509,200212,2002,8065,44063,1568221,1454204,72113,0,0,6153,1652203,197999,1704331,272312,2468745,0,0,2903851,2512692,26556,43947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5716,,250127,3,7,0,40829,31284,0,0,0,114017,0,0,0,0,6153,250127,-22185,-386365,0,0,0,0,0,0,0,2877295,47803,172579,21450,355608,0,0,610482,589032,0,0,0,92,N,6,1,200330,29490166046223,1,2002,6,Y,1,Y,1,0,2002,10021-0043,10021.0,131632509200212,1316325092002,12,92.0,0.0,0.0,PO BOX 1537,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,BIBLIOGRAPHICAL SOCIETY OF AMERICA,1.0,195101.0,,NY,RTF02PC,4.0,2.0,4.0,2.0,A,A03,IN,,AR,A,A33C,PC,O,AR,A,3.0,,AR,AR,0.9290719999999999,-408550,114017,1454204,250127,-136238,-22185,-22185,18,0,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,250127,1704331,197999,1652203,2468745,,5602.0,1,N,A03,NY,10021.0,NEW YORK,A03,,0.0,3a,2002.0,0.0,3a,2002.0,348806.0,3a,2002.0,0.0,3a,2002.0,1832133.0,3a,2002.0,287705.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,8065.0,3a,2002.0,0.0,3a,2002.0,PC,O,AR,A,IN,,0.0,3a,2002.0,9800.0,3a,2002.0,2423989.0,3a,2002.0,0.0,3a,2002.0,A03,A
22540,,,131635274,200206,2001,104578,0,180323,173696,131639,1430,0,0,1325236,1151540,1429814,1123883,2974111,0,0,3169339,3063798,72329,89687,0,0,0,0,0,0,0,0,0,0,0,0,0,1011678,0,1596,,1256118,3,2,0,0,131639,0,0,0,6627,0,0,0,0,0,1256118,132235,-255134,727053,71000,0,0,0,0,0,3097010,0,0,0,0,0,0,0,0,0,0,0,88,N,6,1,200313,29490067176013,1,2002,6,Y,1,N,1,0,2001,10022-5017,10022.0,131635274200206,1316352742002,6,88.0,0.0,0.0,340 E 54 ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,NEIGHBORHOOD PLAYHOUSE INC,1.0,193607.0,,NY,RTF02PC,4.0,4.0,4.0,4.0,A,A6E,IN,,AR,A,A6EZ,PC,O,AR,A,,A65P,AR,AR,0.42335600000000007,-122899,6627,173696,1256118,1000984,132235,132235,0,1,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,2,2,0,2,0,0,0,0,N,N,N,N,N,1256118,1429814,1151540,1325236,2974111,,5602.0,1,N,A6E,NY,10022.0,NEW YORK,A6E,,0.0,3a,2002.0,0.0,3a,2002.0,2594010.0,3a,2002.0,87703.0,3a,2002.0,380001.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,104578.0,3a,2002.0,93101.0,3a,2002.0,PC,O,AR,A,IN,,0.0,3a,2002.0,0.0,3a,2002.0,2373876.0,3a,2002.0,82703.0,3a,2002.0,A6E,A
22541,,,131635277,200306,2002,752829,0,36008,0,109570,165639,0,0,4028735,4028735,4781564,4015977,6075785,0,0,6511100,7110503,1200902,1034717,0,0,0,0,0,0,0,0,0,0,0,0,0,3777903,74806,28473,,4781564,3,2,0,0,109570,1975,1975,0,36008,0,0,0,74806,0,4781564,765587,0,2257890,175923,0,0,704993,621331,0,5310198,0,0,0,0,0,0,0,0,0,0,0,30,N,7,1,200349,29490319082023,1,2003,6,Y,1,N,1,0,2002,10023-7402,10023.0,131635277200306,1316352772003,6,30.0,0.0,0.0,132 W 60TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,PROFESSIONAL CHILDRENS SCHOOL INC,1.0,193410.0,,NY,RTF02PC,5.0,4.0,4.0,4.0,A,A6E,IN,,AR,A,A6EZ,PC,O,AR,A,,,AR,AR,0.688488,765588,36008,0,4781564,4781565,765587,765587,1,1,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,2,2,0,0,2,2,0,2,0,2,0,2,N,N,N,N,N,4781564,4781564,4028735,4028735,6075785,,5602.0,1,N,A6E,NY,10023.0,NEW YORK,A6E,,0.0,3a,2003.0,0.0,3a,2003.0,4168158.0,3a,2003.0,2552401.0,3a,2003.0,7200.0,3a,2003.0,1900327.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,752829.0,3a,2003.0,1977600.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,11500.0,3a,2003.0,1867801.0,3a,2003.0,91900.0,3a,2003.0,A6E,A
22554,,,131641082,200212,2002,2777705,0,225761,227058,164989,607994,0,0,664316,437258,3442021,3865790,12095489,144428,0,13168270,12361084,276982,265595,0,0,0,0,0,0,12000,0,0,0,0,0,182462,92883,-86837,85058,,3032501,3,9,0,81576,83413,0,0,0,-1297,0,0,0,95625,0,3032501,-833289,37490,1724694,135535,0,0,0,0,0,12891288,9774764,0,581732,1624412,0,0,11980908,11399176,0,0,0,161,N,8,1,200352,29490340198113,1,2002,6,Y,1,N,1,0,2002,10011-6301,10011.0,131641082200212,1316410822002,12,161.0,180.0,59.0,15 W 16TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,YIVO INSTITUTE FOR JEWISH RESEARCH INC,1.0,195710.0,,NY,RTF02PC,,4.0,4.0,4.0,A,A23,IN,,AR,A,H99Z,PC,O,AR,A,,,AR,AR,0.542605,-795799,-1297,409520,3032501,3069991,-833289,-833289,0,0,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,2,2,2,0,2,0,0,0,0,N,N,N,N,N,3032501,3442021,437258,664316,12095489,,5602.0,1,N,X30,NY,10011.0,NEW YORK,X30,,8700.0,3a,2002.0,0.0,3a,2002.0,2796621.0,3a,2002.0,67600.0,3a,2002.0,7294754.0,3a,2002.0,2004015.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,2768905.0,3a,2002.0,40500.0,3a,2002.0,PC,O,AR,A,IN,,0.0,3a,2002.0,6689945.0,3a,2002.0,2622318.0,3a,2002.0,0.0,3a,2002.0,X30,X
22563,,,131655273,200212,2002,7165,38560,597333,513779,13988,0,0,0,677309,163530,723034,60195,431710,0,0,348542,433176,1549,1466,0,0,0,0,0,0,0,0,0,0,0,0,64343,0,-865,2510,,144912,3,9,0,0,13988,0,0,0,83554,0,0,0,63478,0,144912,84717,0,22334,3473,0,0,0,0,0,346993,17490,255397,116038,53007,0,0,441932,325894,0,0,0,64,N,4,1,200346,29490291225203,1,2002,5,Y,1,N,1,0,2002,10022-1909,10022.0,131655273200212,1316552732002,12,64.0,59.0,62.0,122 E 58TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,ST NICHOLAS SOCIETY OF THE CITY OF NY,1.0,194710.0,,NY,RTF02PC,2.0,2.0,3.0,1.0,A,A80,IN,,AR,A,A82Z,PC,O,AR,A,,,AR,AR,0.7540180000000001,84717,83554,578122,144912,144912,84717,84717,1,2,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,N,N,N,N,N,144912,723034,163530,677309,431710,,5602.0,1,N,A80,NY,10022.0,NEW YORK,A82,,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,1000.0,3a,2002.0,0.0,3a,2002.0,7165.0,3a,2002.0,0.0,3a,2002.0,PC,O,AR,A,IN,,0.0,3a,2002.0,0.0,3a,2002.0,415673.0,3a,2002.0,16403.0,3a,2002.0,A82,A
22570,,,131656636,200212,2002,103063,35092,0,0,13686,37644,0,0,514860,514860,653015,310420,1893484,42000,0,1782249,1907277,29390,13793,0,0,0,0,0,0,0,0,0,0,0,0,202310,3424,291040,0,,450705,3,9,0,13686,0,4400,4400,0,0,0,0,0,493350,0,450705,140285,340,47408,6833,0,0,0,0,0,1752859,342001,177094,1429245,230422,0,0,2202552,773307,0,0,0,62,N,6,1,200338,29490235234323,1,2002,5,Y,1,N,1,0,2002,10028-0101,10028.0,131656636200212,1316566362002,12,62.0,61.0,0.0,991 FIFTH AVE,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,AMERICAN IRISH HISTORICAL SOCIETY INC,1.0,194301.0,,NY,RTF02PC,4.0,2.0,3.0,2.0,A,A80,IN,,AR,A,A82Z,PC,O,AR,A,,,AR,AR,0.8618020000000001,140625,0,202310,450705,451045,140285,140285,1,1,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,2,2,2,0,2,0,0,0,0,N,N,N,N,N,450705,653015,514860,514860,1893484,,5602.0,1,N,A80,NY,10028.0,NEW YORK,A82,,0.0,3a,2002.0,0.0,3a,2002.0,1888484.0,3a,2002.0,322413.0,3a,2002.0,5000.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,103063.0,3a,2002.0,335109.0,3a,2002.0,PC,O,AR,A,IN,,0.0,3a,2002.0,0.0,3a,2002.0,3500.0,3a,2002.0,684628.0,3a,2002.0,A82,A
22584,,,131656691,200212,2002,71543,54236,462634,518958,36383,47401,0,0,507062,-11896,632841,169534,927882,0,0,1106494,931704,11700,3822,0,0,0,0,0,0,0,0,0,0,0,0,0,8045,0,0,,113883,3,7,0,0,36383,0,0,0,-56324,0,0,0,0,0,113883,-55651,-111261,34620,3039,0,0,0,0,0,1094794,298534,208229,35257,131227,0,0,673247,637990,0,0,0,59,N,5,1,200341,29490263049183,1,2002,5,Y,1,N,1,0,2002,10022-1909,10022.0,131656691200212,1316566912002,12,59.0,908.0,0.0,122 E 58TH ST,2.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,SOCIETY OF MAYFLOWER DESCENDANTS IN THE STATE OF NEW YORK,1.0,194212.0,,NY,RTF02PC,3.0,2.0,3.0,2.0,A,A80,IN,,AR,A,A82Z,PC,O,AR,A,,,AR,AR,0.751858,-166912,-56324,518958,113883,2622,-55651,-55651,2,0,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,2,2,0,2,0,0,0,0,N,N,N,N,N,113883,632841,-11896,507062,927882,,5602.0,1,N,A80,NY,10022.0,NEW YORK,A80,,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,71543.0,3a,2002.0,0.0,3a,2002.0,PC,O,AR,A,IN,,921404.0,3a,2002.0,3800.0,3a,2002.0,0.0,3a,2002.0,1200.0,3a,2002.0,A80,A
22596,,,131661610,200209,2001,10757,43668,265245,268978,13366,15269,0,0,305003,36025,359428,132599,473871,0,0,503389,474076,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,26257,0,135,,90450,3,7,0,25,13341,0,0,0,-3733,0,0,0,0,0,90450,-42149,12631,43297,3264,0,0,0,0,0,503389,335085,164720,165809,81133,0,0,747621,581812,0,0,0,119,N,4,1,200323,29490130104113,1,2002,4,Y,1,N,1,0,2001,10011-8002,10011.0,131661610200209,1316616102002,9,119.0,59.0,0.0,80 FIFTH AVE STE 1405,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,NATIONAL ASSOCIATION OF WOMEN ARTISTS INC,1.0,194209.0,,NY,RTF02PC,2.0,1.0,2.0,2.0,A,A03,IN,,AR,A,A40C,PC,O,AR,A,4.0,,AR,AR,0.06644860000000001,-29518,-3733,268978,90450,103081,-42149,-42149,0,0,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,2,2,0,2,0,0,0,0,N,N,N,N,N,90450,359428,36025,305003,473871,,5602.0,1,N,A03,NY,10011.0,NEW YORK,A03,26,0.0,3a,2002.0,0.0,3a,2002.0,68710.0,3a,2002.0,0.0,3a,2002.0,31705.0,3a,2002.0,373256.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,10757.0,3a,2002.0,0.0,3a,2002.0,PC,O,AR,A,IN,,0.0,3a,2002.0,1600.0,3a,2002.0,465675.0,3a,2002.0,200.0,3a,2002.0,A0326,A
22603,,,131664048,200212,2002,3094815,0,174538056,173366671,162258,189944,0,0,174750314,1383643,177845129,3988190,15340567,0,0,15214131,15604946,272457,264379,0,0,0,0,0,0,0,0,0,0,0,0,91375,0,-41375,0,,4387083,3,7,0,6577,155681,0,0,0,1171385,0,0,0,50000,0,4387083,398893,0,217259,18448,0,0,0,0,0,14941674,4820130,0,797567,705947,0,0,6256161,5458594,0,0,0,119,N,8,1,200348,29490305157043,1,2002,9,Y,1,N,1,0,2002,10017-5404,10017.0,131664048200212,1316640482002,12,119.0,911.0,0.0,51 E 42ND ST STE 400,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,AMERICA-ISRAEL CULTURAL FOUNDATION INC,1.0,195105.0,,NY,RTF02PC,,4.0,6.0,4.0,A,A12,IN,,AR,A,A00J,PC,S,ZB,A,0.0,,AR,AR,0.9150290000000001,398893,1171385,173458046,4387083,4387083,398893,398893,1,1,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,2,2,0,2,0,0,0,0,N,N,N,N,N,4387083,177845129,1383643,174750314,15340567,,5602.0,1,N,A12,NY,10017.0,NEW YORK,A12,20,0.0,3a,2002.0,12800.0,3a,2002.0,9398941.0,3a,2002.0,27300.0,3a,2002.0,583003.0,3a,2002.0,5358523.0,3a,2002.0,27500.0,3a,2002.0,0.0,3a,2002.0,3082015.0,3a,2002.0,32600.0,3a,2002.0,PC,S,ZB,A,IN,,0.0,3a,2002.0,2701308.0,3a,2002.0,11996535.0,3a,2002.0,786302.0,3a,2002.0,A1220,A
22605,,,131664054,200208,2001,20867575,0,139371184,142616795,6032691,2714022,0,0,166822175,24205380,187689750,49601039,185490848,2339004,1339611,232313934,203298076,18176663,17807228,0,0,0,0,0,0,0,0,0,0,0,0,595137,21092161,-268998,0,,44477818,3,7,0,189305,5843386,0,0,0,-3245611,0,0,0,326139,0,44477818,-5123221,-23523202,24153062,1364639,0,0,0,0,0,214137271,86146960,0,79530660,15393543,0,0,181071163,101540503,0,0,0,119,N,9,1,200329,29490186215073,1,2002,9,Y,1,N,1,0,2001,10023-6912,10023.0,131664054200208,1316640542002,8,119.0,0.0,0.0,10 LINCOLN CENTER PLZ,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,PHILHARMONIC-SYMPHONY SOCIETY OF NEW YORK INC,1.0,192802.0,NEW YORK PHILHARMONIC,NY,RTF02PC,6.0,,6.0,,A,A69,IN,,AR,A,A69Z,PC,O,AR,A,,,AR,AR,0.00686515,-28646423,-3245611,143211932,44477818,20954616,-5123221,-5123221,5,0,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,0,0,0,0,N,N,N,N,N,44477818,187689750,24205380,166822175,185490848,,5602.0,1,N,A69,NY,10023.0,NEW YORK,A69,,643100.0,1b,2002.0,352877.0,1b,2002.0,72072919.0,3a,2002.0,7413270.0,1b,2002.0,11035903.0,3a,2002.0,102381926.0,3a,2002.0,0.0,1b,2002.0,0.0,1b,2002.0,19871598.0,1b,2002.0,6730110.0,1c,2001.0,PC,O,AR,A,IN,,4325691.0,1b,2002.0,0.0,1b,2002.0,162610004.0,1b,2002.0,44586.0,1b,2002.0,A69,A
22609,,,131669204,200208,2001,146066,0,0,0,36381,0,0,0,3750967,3387203,3897033,362561,3328827,0,0,1183570,3471719,1011068,142892,0,0,0,0,0,0,0,0,0,0,0,0,14383,13160,36487,556,,3518886,3,9,0,400,35981,0,0,0,0,3650000,363764,3286236,50870,0,3518886,3156325,0,151374,11580,0,0,1000000,0,0,172502,404787,0,934666,7848,0,0,1347301,412635,0,0,0,349,N,6,1,200331,29490193244153,1,2002,6,Y,1,N,1,0,2001,11101-2907,11101.0,131669204200208,1316692042002,8,349.0,0.0,0.0,4419 PURVES ST,3.0,0.0,LONG IS CITY,2.0,,1.0,11.0,15.0,10.0,0.0,SCULPTURE CENTER INC,1.0,194409.0,,NY,RTF02PC,4.0,4.0,4.0,2.0,A,A40,IN,,AR,A,A43Z,PC,O,AR,A,,,AR,AR,0.946524,3156325,3286236,378147,3518886,3518886,3156325,3156325,1,9,1,0,0,36081.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,0,2,2,0,0,0,2,0,0,N,N,N,N,N,3518886,3897033,3387203,3750967,3328827,,5602.0,1,N,A40,NY,11101.0,LONG IS CITY,A40,,27512.0,3a,2002.0,0.0,3a,2002.0,2009916.0,3a,2002.0,0.0,3a,2002.0,12400.0,3a,2002.0,1306411.0,3a,2002.0,1560609.0,3a,2002.0,0.0,3a,2002.0,118554.0,3a,2002.0,0.0,3a,2002.0,PC,O,AR,A,IN,,0.0,3a,2002.0,10000.0,3a,2002.0,0.0,3a,2002.0,7400.0,3a,2002.0,A40,A
22610,,,131669334,200206,2001,1252980,227297,0,0,76884,633871,0,0,4262989,4262989,5743266,5991759,5903121,169170,0,12863422,12426012,5774621,6522891,0,0,0,0,0,0,0,0,0,0,0,0,87703,3715157,84582,252648,,5655563,3,7,0,29826,47058,46015,46015,0,0,0,0,0,172285,0,5655563,-336196,-849484,1722799,133332,0,0,0,0,0,7088801,6002762,970279,13119859,688723,0,0,21534771,8414912,0,0,0,119,N,8,1,200252,29490341133122,1,2002,7,Y,1,N,1,0,2001,10021-6508,10021.0,131669334200206,1316693342002,6,119.0,0.0,0.0,41 E 65TH ST,1.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,AMERICAN FEDERATION OF ARTS INC,1.0,194408.0,,NY,CORE01PC,,5.0,5.0,5.0,A,A02,IN,,AR,A,A51B,PC,O,AR,A,5.0,A31Z,AR,AR,0.553392,-1185680,0,87703,5655563,4806079,-336196,-336196,3,0,1,0,0,36061.0,5602.0,5600.0,1,,1,1,1,1,1,1,1,1,1,0,2,2,2,0,2,0,0,0,0,N,N,N,N,N,5655563,5743266,4262989,4262989,5903121,,5602.0,1,N,A03,NY,10021.0,NEW YORK,A03,50,0.0,1b,2002.0,0.0,1b,2002.0,252601.0,3a,2002.0,1587212.0,1b,2002.0,1653106.0,3a,2002.0,4502616.0,3a,2002.0,0.0,1b,2002.0,0.0,1b,2002.0,1252980.0,1b,2002.0,1633385.0,1c,2001.0,PC,O,AR,A,IN,,0.0,1b,2002.0,0.0,1b,2002.0,4361211.0,1b,2002.0,96487.0,1b,2002.0,A0350,A
