,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P6INVTAX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,randnum,nteeConf,LEVEL1,LEVEL2,LEVEL3,LEVEL4,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
5940,113559712,200112,2001,200248.0,29491173119152,A51,N,Y,0.0,1.0,2001,2.0,6.0,3.0,3,0,30816,0,0,0,-9741,0,0,0,0,21075,6750,14325,6186,40309,0,40309,2649125,0,0,0,0,0,2649125,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,40309,40309,6750,0,6186,0,0,62120,0,0,2649125,0,2649125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6186,0,0,0,6186,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11215.0,HAROLD WESTON FOUNDATION,% REBECCA FOSTER,388 8TH ST,BROOKLYN,NY,11215-3663,0.0,3.0,1.0,200108.0,1.0,3.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,12,,36047.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.749841,N,PF,O,AR,A,NY,11215.0,BROOKLYN,core2001pf_ver1,PF,O,AR,A,IN,,A51,A
6388,131655152,200012,2000,200222.0,29491117017072,A41Z,N,Y,0.0,25.0,2000,2.0,7.0,6.0,3,59,37512,0,196365,481578,0,0,10250,75000,0,1257251,739179,518072,404191,877476,8775,413970,5756729,0,0,0,0,117343,7517214,0,369313,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,531546,0,1209489,745983,739179,332013,404191,332013,332013,32186,0,4291695,7517214,0,5639386,8775,0,0,0,0,0,0,0,0,0,7498733,0,369313,329358,326695,312590,1337956,404191,425594,428242,244400,1502427,7517214,7404731,7115553,7106792,29144290,533333,533333,533333,533333,2133332,246209,219572,217797,208393,891971,37512,64342,36180,18156,156190,37512,64342,36180,18156,156190,199601,327948,296445,641669,1465663,10010.0,VAN ALEN INSTITUTE PROJECTS IN PUBLIC ARCHITECTURE,,30 W 22ND ST 6TH FLR,NEW YORK,NY,10010-5884,0.0,1.0,2.0,193804.0,1.0,3.0,59.0,0.0,0.0,1.0,13.0,200312.0,1.0,12,,36061.0,5602.0,5600.0,A40,A,A,IN,,1,AR,AR,AR,0.566503,N,PF,O,AR,A,NY,10010.0,NEW YORK,core2001pf_ver1,PF,O,AR,A,IN,,A40,A
6433,131873289,200112,2001,200219.0,29491103011162,A50Z,N,Y,0.0,1.0,2001,3.0,6.0,3.0,3,119,14675,51,75870,0,-37836,0,0,0,58080,52759,140184,-87425,116067,51925,519,0,1917805,199654,1036249,662927,1898830,728,2264041,45776,118758,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,0,0,75921,0,82104,23995,57986,23995,0,18413,0,0,2264041,0,1917076,519,0,0,4000,0,0,0,0,-3481,1000,2411334,118238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017.0,BAGBY FOUNDATION FOR THE MUSICAL ARTS INC,,501 FIFTH AVE,NEW YORK,NY,10017-6103,0.0,3.0,1.0,194211.0,1.0,4.0,119.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A50,A,A,IN,,1,AR,AR,AR,0.6187239999999999,N,PF,O,AR,A,NY,10017.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A68,A
7071,133224878,200112,2001,200240.0,29491250115012,A20Z,N,Y,0.0,1.0,2001,2.0,1.0,2.0,3,123,14514,7,0,0,0,0,1290,0,225,15811,15396,415,13589,7,0,7,4656,0,0,0,0,0,4656,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,7,7,15171,0,13364,0,0,0,0,0,4656,0,4656,0,0,0,0,0,0,0,0,0,0,3310,0,0,0,0,124,124,13589,21427,34302,38510,107828,4656,4546,2538,1425,13165,4656,4546,2538,1425,13165,0,0,0,0,0,15804,18703,35396,38165,108068,15804,18703,35396,38165,108068,7,11,19,38,75,10025.0,CHILDRENS MUSIC WORKSHOP INC,,315 RIVERSIDE DRIVE SUITE 7C,NEW YORK,NY,10025-4100,0.0,3.0,1.0,199112.0,1.0,3.0,123.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A20,A,A,IN,,1,AR,AR,AR,0.529779,N,PF,O,AR,A,NY,10025.0,NEW YORK,core2001pf_ver1,PF,O,AR,A,IN,,A20,A
7081,133229829,200204,2002,200242.0,29491278035202,A23Z,N,Y,0.0,1.0,2001,3.0,2.0,3.0,3,46,54952,0,0,0,0,0,0,0,0,54952,47745,7207,0,0,0,0,18257,0,0,0,0,1003,18257,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,47745,0,0,0,0,18257,0,0,18257,0,17254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001.0,KOREAN LANGUAGE & CULTURAL INSTITUTE INC,,246 5TH AVE STE 500,NEW YORK,NY,10001-7603,0.0,3.0,1.0,199101.0,1.0,4.0,46.0,0.0,0.0,1.0,13.0,0.0,1.0,4,,36061.0,5602.0,5600.0,A23,A,A,IN,,1,AR,AR,AR,0.0355012,N,PF,O,AR,A,NY,10001.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A23,A
7320,133354834,200106,2001,200228.0,29491159306142,A31Z,N,Y,0.0,1.0,2000,3.0,1.0,3.0,3,122,30325,330,0,0,0,0,0,0,15300,30655,30779,-124,15300,175,2,0,3795,0,0,0,0,0,3795,0,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,330,0,15479,155,0,155,0,0,0,0,3795,0,3795,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10025.0,MEDIA ASSOCIATION OF SOCIAL SCIENTISTS AND ARTISTS INC,,292 RIVERSIDE DR 4A,NEW YORK,NY,10025-9003,0.0,3.0,1.0,199001.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,6,,36061.0,5602.0,5600.0,A31,A,A,IN,,1,AR,AR,AR,0.9225120000000001,N,PF,O,AR,A,NY,10025.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A0330,A
7493,133389923,200110,2001,200209.0,29491047012052,,N,Y,0.0,1.0,2000,3.0,4.0,1.0,3,122,0,0,0,0,0,0,522,0,0,522,8466,-7944,2632,0,0,0,128628,0,0,0,0,302168,25071,0,294,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,522,8466,0,2632,0,35539,5071,0,0,25071,0,-173540,0,0,0,0,0,0,0,0,0,0,5969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10024.0,THE TEREZIN FOUNDATION INC,,262 CENTRAL PARK WEST,NEW YORK,NY,10024-3512,0.0,3.0,1.0,198703.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,10,,36061.0,5602.0,5600.0,A31,A,A,IN,,1,AR,AR,AR,0.28162,N,PF,O,AR,A,NY,10024.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A31,A
7640,133442712,200012,2000,200218.0,29491103022112,,N,Y,0.0,1.0,2000,3.0,2.0,3.0,3,122,71685,0,0,0,0,0,11025,0,0,82710,139708,-56998,136323,0,0,0,10351,0,0,0,0,3385,10351,0,2231,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,139708,0,136323,0,0,10051,0,0,10351,0,6966,0,0,0,0,0,0,0,0,0,0,45300,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019.0,OUTSIDE IN JULY INC,% J L ROSENHOUSE CPA INC,250 W 57TH ST STE 2203,NEW YORK,NY,10019-3741,0.0,3.0,1.0,198810.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,12,GARRISON,36061.0,5602.0,5600.0,A31,A,A,IN,,1,AR,AR,AR,0.1782,N,PF,O,AR,A,NY,10019.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A31,A
7690,133464919,200112,2001,200236.0,29491229035172,,N,Y,0.0,1.0,2001,3.0,2.0,1.0,3,91,6211,0,0,0,0,0,0,0,0,6211,3177,3034,0,0,0,0,19078,0,0,0,0,15960,19078,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,3177,0,0,0,0,19078,0,0,19078,0,3118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10167.0,WORLD PRESS PHOTO USA FOUNDATION INC,% RABOBANK NEDERLAND,245 PARK AVE,NEW YORK,NY,10167-0002,0.0,3.0,1.0,198909.0,1.0,4.0,91.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A40,A,A,IN,,1,AR,AR,AR,0.405401,N,PF,O,AR,A,NY,10167.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A40,A
7728,133486646,200112,2001,200252.0,29491341031212,,N,Y,0.0,1.0,2001,3.0,4.0,2.0,3,123,0,2223,4919,0,-1760,0,0,0,15000,5382,17882,-12500,16280,6218,124,0,248340,0,148962,53258,202220,0,351394,7741,18346,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,7142,0,2882,924,1280,924,0,46120,0,0,351394,0,248340,124,0,0,546,0,0,0,0,-422,422,372516,18222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10036.0,RONALD A WILFORD FOUNDATION FOR CONDUCTORS INC,% US TRUST CO OF NY,114 W 47TH ST TAXVS,NEW YORK,NY,10036-1510,0.0,3.0,1.0,198906.0,1.0,4.0,123.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A60,A,A,IN,,1,AR,AR,AR,0.8572209999999999,N,PF,O,AR,A,NY,10036.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A60,A
7894,133553683,200112,2001,200231.0,29491194037012,A99Z,N,Y,0.0,1.0,2001,3.0,1.0,1.0,3,90,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,0,0,0,0,0,16,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,16,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019.0,OPERA DE PARIS FOUNDATION INC,% WILLKIE FARR & GALLAGHER,787 SEVENTH AVE,NEW YORK,NY,10019-6018,0.0,3.0,1.0,199004.0,1.0,4.0,90.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.886172,N,PF,O,AR,A,NY,10019.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A6A,A
