,EIN,NteeIrs,EOY,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,DocCd,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,Verifyby,fincheckv
9881,112511065,,7.0,200706,2006,0.0,0,0,0,3315,0.0,0,0,162111,162111,162111.0,108391.0,203459,0,0,155492,209077,5753,5618,0.0,0,0,0,0,0,0,0,0,158796,0,0,,162111.0,162111,0,0,0,0,0,0,0,53720.0,0,0,0,0,0,0,0,149739.0,0,0,0,0,3315.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,200,N,4.0,1,200821.0,93490134011698,90,1.0,2007,4.0,Y,1.0,N,1.0,0.0,2006.0,11241-0000,11241.0,112511065200706.0,1125110652007.0,6,200.0,0.0,0.0,C/O WILLIAM ROTHBERG 16 COURT ST,3.0,0.0,BROOKLYN,1.0,WILLIAM ROTHBERG,2.0,11.0,0.0,10.0,0.0,BUILDING RESTORATION CONTRACTORS INDUSTRY PROMOTION FUND OF NY,2.0,197912.0,,NY,rtf07co,2.0,2.0,2.0,2.0,36047.0,5602.0,5600.0,A82,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9540700000000001,B,O,O,AR,A,IN,,A82,A,,,
9922,112579110,,7.0,200712,2007,0.0,47742,0,0,0,12992.0,0,0,0,0,47742.0,41292.0,36554,0,0,29219,36554,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,47742.0,47742,0,0,0,0,0,0,0,6450.0,885,0,0,0,0,0,0,29219.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.0,200,N,3.0,1,200827.0,29490167217008,90,1.0,2007,3.0,Y,1.0,N,1.0,0.0,2007.0,10472-3102,10472.0,112579110200712.0,1125791102007.0,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,BRONX,1.0,CHARLES WEINER,2.0,13.0,0.0,10.0,0.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,1.0,198311.0,,NY,rtf07co,1.0,1.0,1.0,1.0,36005.0,5602.0,5600.0,A65,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.69797,C,O,O,AR,A,IN,,A65,A,,,
10013,112689446,,7.0,200712,2007,0.0,336689,0,0,0,0.0,0,0,0,0,336689.0,355411.0,-28486,204396,0,-7201,-15544,2563,12942,-28486.0,2100,0,0,0,0,0,0,0,0,0,0,,336689.0,336689,0,0,0,0,0,0,0,-18722.0,0,7561,12011,0,0,0,0,-9764.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-9764.0,261,N,0.0,1,200849.0,29490313028018,90,1.0,2007,4.0,Y,1.0,N,1.0,0.0,2007.0,10461-2622,10461.0,112689446200712.0,1126894462007.0,12,261.0,0.0,0.0,1401 BLONDELL AVE,3.0,0.0,BRONX,1.0,,2.0,13.0,0.0,20.0,0.0,PRODUCTION INDUSTRIAL TECHNICAL,1.0,199104.0,,NY,rtf07co,0.0,2.0,2.0,2.0,36005.0,5602.0,5600.0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.02593,C,O,O,AR,A,IN,,A60,A,,,
10015,112691482,,7.0,200712,2007,0.0,0,0,0,0,0.0,0,0,6699427,6699427,6699427.0,6525003.0,20199,185308,0,122451,116474,276676,96275,20199.0,0,0,0,0,0,0,0,0,6697959,0,1468,,6699427.0,6699427,0,0,0,0,0,0,0,174424.0,0,37168,12061,0,0,0,0,-154225.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,-154225.0,254,N,4.0,1,200849.0,29490313042058,90,1.0,2007,7.0,Y,1.0,N,1.0,0.0,2007.0,10461-2622,10461.0,112691482200712.0,1126914822007.0,12,254.0,0.0,0.0,1401 BLONDELL AVE,3.0,0.0,BRONX,1.0,,2.0,13.0,0.0,10.0,0.0,PRODUCTION INDUSTRIAL TECH TEXTILE & PROF EMPLOYEES LOC 124 WLFR FUND,2.0,199211.0,,NY,rtf07co,2.0,5.0,5.0,5.0,36005.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.39354,A,O,O,AR,A,IN,,A40,A,,,
10087,112803536,,7.0,200707,2006,0.0,0,0,0,0,0.0,0,0,67549,67549,67549.0,20933.0,134943,0,0,147727,134943,0,0,0.0,0,0,0,0,0,0,0,59400,0,8149,0,,8149.0,8149,0,0,0,0,0,67549,0,-12784.0,0,0,0,0,0,0,0,147727.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,119,N,4.0,1,200846.0,29409292139458,9,1.0,2007,3.0,Y,1.0,N,1.0,0.0,2006.0,11103-1264,11103.0,112803536200707.0,1128035362007.0,7,119.0,0.0,0.0,4602 30TH AVE,3.0,0.0,ASTORIA,1.0,,2.0,11.0,0.0,10.0,0.0,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,1.0,198707.0,,NY,rtf07co,2.0,1.0,1.0,1.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.5401,B,O,O,AR,A,IN,,A23,A,,,
10251,113097379,,,200612,2006,0.0,122556,0,0,0,0.0,0,0,58615,58615,181171.0,160525.0,253173,0,0,232527,253183,0,0,215925.0,0,0,0,0,0,0,0,0,58615,0,0,,181171.0,181171,0,0,0,0,0,0,0,20646.0,0,0,0,0,0,0,0,232527.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,215925.0,319,,,1,200750.0,29490321008047,90,,2006,,,,N,,,,11385-6930,11385.0,113097379200612.0,1130973792006.0,12,319.0,119.0,0.0,7254 65TH PL,3.0,0.0,GLENDALE,1.0,DUSHAN RADOVICH,2.0,11.0,0.0,10.0,0.0,SERBIAN ASSOCIATION OF NEW YORK INC,1.0,199301.0,,NY,CORE06co,2.0,2.0,2.0,2.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.40292,A,O,O,AR,A,IN,,A23,A,,,
10263,113110485,,,200512,2005,48854.0,0,0,0,0,0.0,0,0,0,0,48854.0,45454.0,3930,0,0,14270,4690,13740,760,0.0,0,0,0,0,0,0,0,0,0,0,0,,48854.0,48854,0,0,0,0,0,0,0,3400.0,0,22931,1760,0,0,0,0,530.0,0,0,0,0,0.0,0,0,0.0,0,0,0,372184,0,0,0,0,0,372184,372184,4,7,0,0.0,328,,,1,,29490112005146,90,,2005,,,,N,,,,11691-4304,11691.0,,,12,328.0,0.0,0.0,1848 CORNAGA AVE,3.0,0.0,FAR ROCKAWAY,1.0,,2.0,11.0,0.0,10.0,0.0,ROCKAWAY PENINSULA CIVIC ASSOC INC,1.0,199211.0,DAVID N DINKINS CTR PHYS CULTURE,NY,CORE06co,,,,,36081.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.88692,A,O,O,AR,A,IN,,A40,A,,,
10306,113163244,A23,8.0,200804,2007,0.0,300,0,0,7,0.0,0,0,47210,47210,47510.0,8095.0,23208,0,0,29496,23208,0,0,0.0,0,0,0,0,0,0,0,45703,0,1281,219,,1807.0,1807,0,0,0,0,0,46984,0,-6288.0,0,0,0,0,0,0,0,29496.0,0,0,0,0,0.0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,0,N,2.0,1,200847.0,29409299000028,9,1.0,2008,3.0,Y,1.0,N,1.0,0.0,2007.0,10008-2222,10008.0,113163244200804.0,1131632442008.0,4,0.0,0.0,0.0,PO BOX 2222,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,1.0,200201.0,,NY,rtf07co,1.0,1.0,1.0,1.0,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.8557299999999999,B,O,O,AR,A,IN,,A23,A,,,
10341,113212678,,,200512,2005,166200.0,0,0,0,0,0.0,0,0,0,0,166200.0,138535.0,43550,0,0,15885,43549,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,166200.0,166200,0,0,0,0,0,0,0,27665.0,0,0,0,0,0,0,0,15885.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,200,,,1,,29490210350006,90,,2005,,,,N,,,,11354-2827,11354.0,,,12,200.0,0.0,0.0,35 30 FARRINGTON ST 2ND FLR,3.0,0.0,FLUSHING,1.0,,2.0,11.0,0.0,10.0,0.0,KOREAN AMERICAN NAIL SALON ASSOC OF NEW YORK INC,1.0,199509.0,,NY,CORE06co,,,,,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.63563,A,O,O,AR,A,IN,,A23,A,,,
10343,113216404,,7.0,200709,2006,0.0,5324,0,0,0,0.0,0,0,123158,123158,128482.0,116366.0,28866,10700,0,16750,21827,0,2525,14466.0,0,0,0,0,0,0,0,0,123158,0,0,,128482.0,128482,0,0,0,0,0,0,0,12116.0,0,0,0,0,0,0,0,16750.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,35410,339743,0,0,0,375153,35410,4,9,0,2350.0,317,N,3.0,1,200810.0,29490034126268,90,1.0,2007,4.0,Y,1.0,N,1.0,0.0,2006.0,11210-1233,11210.0,113216404200709.0,1132164042007.0,9,317.0,0.0,0.0,1324 FLATBUSH AVE,3.0,0.0,BROOKLYN,1.0,FREDERICK BALLENTYNE,2.0,11.0,0.0,10.0,0.0,CARIBBEAN CUP INC,1.0,199609.0,,NY,rtf07co,1.0,2.0,2.0,2.0,36047.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.18869,C,O,O,AR,A,IN,,A23,A,,,
10356,113238845,,7.0,200712,2007,24125.0,18756,0,0,3587,0.0,0,0,29352,29352,72233.0,45728.0,66503,0,0,66012,69281,410,2778,0.0,0,0,0,0,0,0,0,25604,0,161,0,,46629.0,46629,0,0,0,0,0,25765,0,901.0,0,0,0,0,0,0,0,65602.0,0,0,0,0,0.0,0,0,3587.0,0,0,0,49187,54288,35510,4367,0,0,143352,107842,6,9,0,0.0,205,N,3.0,1,200841.0,29409264062318,9,1.0,2007,3.0,Y,1.0,N,1.0,0.0,2007.0,11379-2315,11379.0,113238845200712.0,1132388452007.0,12,205.0,0.0,0.0,8101 FURMANVILLE AVE,3.0,0.0,MIDDLE VLG,2.0,NAT COSTANZA,2.0,11.0,0.0,10.0,0.0,A I A QUEENS INC,1.0,199503.0,,NY,rtf07co,1.0,1.0,1.0,1.0,36081.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.66686,C,O,O,AR,A,IN,,A40,A,,,
10369,113261970,,,200512,2005,0.0,2800,0,0,0,0.0,0,0,71875,71875,74675.0,66642.0,47002,0,0,38060,47002,0,0,0.0,0,0,0,0,0,0,0,0,71875,0,0,,74675.0,74675,0,0,0,0,0,0,0,8033.0,909,0,0,0,0,0,0,38060.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,0,,,1,,29409273056336,9,,2005,,,,N,,,,11101-1801,11101.0,,,12,0.0,0.0,0.0,45 03 37TH ST,3.0,0.0,LONG IS CITY,2.0,HYUNG SUK CHOI,2.0,11.0,0.0,10.0,0.0,KOREAN AIR CONDITIONING AND REFRIGERATION ASSOCIATION OF NEW,1.0,200003.0,,NY,CORE06co,,,,,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9549200000000001,A,O,O,AR,A,IN,,A23,A,,,
10380,113278319,S41,7.0,200712,2007,65435.0,0,0,0,0,0.0,0,0,0,0,65435.0,49583.0,34140,0,0,18289,34141,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,65435.0,65435,0,0,0,0,0,0,0,15852.0,0,0,0,0,0,0,0,18288.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,0,N,3.0,1,200852.0,29409348029458,9,1.0,2007,3.0,Y,1.0,N,1.0,0.0,2007.0,10474-0060,10474.0,113278319200712.0,1132783192007.0,12,0.0,0.0,0.0,800 FOOD CENTER DR UNIT 96B,3.0,0.0,BRONX,2.0,,2.0,13.0,0.0,10.0,0.0,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,1.0,199904.0,,NY,rtf07co,1.0,1.0,1.0,1.0,36005.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.53451,A,O,O,AR,A,IN,,A23,A,,,
10382,113281373,,6.0,200612,2006,0.0,0,0,0,2393,0.0,0,0,241174,241174,241174.0,228455.0,14125,0,0,89788,77507,88382,63382,14125.0,0,0,0,0,0,0,0,0,213781,0,25000,,241174.0,241174,0,0,0,0,0,0,0,12719.0,0,0,0,0,0,0,0,1406.0,0,0,0,0,22.0,2371,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1406.0,229,N,3.0,1,200808.0,29490033208258,90,1.0,2006,4.0,Y,1.0,N,1.0,0.0,2006.0,10108-2619,10108.0,113281373200612.0,1132813732006.0,12,229.0,0.0,0.0,PO BOX 2619,3.0,0.0,NEW YORK,1.0,TREASURER,2.0,13.0,0.0,20.0,0.0,IRISH AMERICAN BUILDING SOCIETY INC,1.0,199706.0,,NY,rtf07co,1.0,2.0,2.0,2.0,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.5381,C,O,O,AR,A,IN,,A23,A,,,
