,EIN,TAXPER,CYCLE,DLN,DocCd,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,nteeFinal1
5616,61507432,200706,200835.0,29491208060018,91,A20Z,N,Y,0.0,1.0,2006,3.0,1.0,1.0,3,994.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,61507432200706,615074322007,rtf07pf,0,0,10003.0,WYOMING ARTS INC,HOWARD GUTTENPLAN,5 E 3RD ST,NEW YORK,NY,10003-0800,0.0,3.0,2.0,199808.0,1.0,4.0,994.0,90.0,91.0,1.0,13.0,0.0,1.0,6.0,,,0,N,,36061.0,5602.0,5600.0,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.77015,B,A20,A
5711,61532031,200612,200810.0,29491047004108,91,A12,N,Y,0.0,1.0,2006,3.0,6.0,1.0,3,0.0,0,220,0,0,0,0,0,65000,220,65275,-65055,65275,220,0,1335208,0,0,0,0,4000,1335208,0,68700,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,220,0,275,0,275,0,0,5208,0,0,1335208,0,1331208,2,0,0,0,0,0,0,0,0,2,1394919,68698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,61532031200612,615320312006,rtf07pf,2,0,10021.0,ALEPH FOUNDATION FOR HUMANITIES,JOEL ORNSTEIN,667 MADISON AVE 11TH FLR,NEW YORK,NY,10021-8029,0.0,3.0,1.0,199904.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.7632899999999999,A,A70,A
5762,61551999,200806,200851.0,29491334000178,91,A68,N,Y,0.0,1.0,2007,2.0,3.0,3.0,3,0.0,26810,673,0,0,0,0,0,1100,27483,12747,14736,11473,673,0,44468,0,0,0,0,0,44468,0,1585,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,673,673,11647,0,10373,0,1262,888,0,0,44468,0,44468,13,0,0,0,0,0,0,0,0,13,32192,0,0,1164,1467,0,2631,10373,16085,21879,19583,67920,0,0,0,0,0,0,0,0,0,0,1057,1381,1859,2239,6536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,61551999200806,615519992008,rtf07pf,13,0,10463.0,JOYCE DUTKA ARTS FOUNDATION INC,JOYCE DUTKA,PO BOX 630053,BRONX,NY,10463-0800,0.0,3.0,1.0,200004.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,6.0,,,0,N,,36005.0,5602.0,5600.0,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.87355,B,A1261,A
6743,112538932,200712,200830.0,29491173000018,91,,N,Y,0.0,1.0,2007,3.0,4.0,4.0,3,40.0,110000,1354,3154,-4163,0,0,0,22782,110345,22976,87369,22782,4508,0,200905,100000,0,0,100000,0,200140,0,7615,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,4508,0,194,0,0,0,0,0,0,0,200140,0,200905,90,0,0,0,0,0,0,0,0,90,154613,7525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,112538932200712,1125389322007,rtf07pf,90,0,10021.0,RICHARD H GOLDMAN MEMORIAL FOUNDA TION,,150 E 69TH ST APT 7G,NEW YORK,NY,10021-5704,0.0,3.0,1.0,198107.0,1.0,4.0,40.0,0.0,0.0,2.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.4709,C,A80,A
6865,112801382,200706,200827.0,29491047017118,91,,N,Y,0.0,1.0,2006,3.0,1.0,1.0,3,124.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,450,0,0,0,0,0,450,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,450,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,112801382200706,1128013822007,rtf07pf,0,0,11206.0,THE MOVEMENT INTERFACE RESEARCH INSTITUTE INC,,54 BOERUM ST APT 11N,BKLYN NY,NY,11206-2418,0.0,3.0,1.0,198702.0,1.0,4.0,124.0,209.0,0.0,1.0,11.0,0.0,1.0,6.0,,,0,N,,36047.0,5602.0,5600.0,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.32495999999999997,C,A70,A
6912,112864409,200802,200835.0,29491215014168,91,,N,Y,0.0,1.0,2007,3.0,1.0,1.0,3,602.0,0,268,0,0,0,0,0,300,268,365,-97,365,203,203,5625,0,0,0,0,0,5625,0,277,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,268,268,65,65,65,65,65,5625,0,0,5625,0,5625,0,0,0,0,0,0,0,0,0,0,5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,112864409200802,1128644092008,rtf07pf,0,0,10021.0,THE PHILIP KAPLAN CULTURAL FOUNDATION INC,,445 E 80TH ST,NEW YORK,NY,10021-0616,0.0,3.0,1.0,198709.0,1.0,4.0,602.0,0.0,0.0,1.0,13.0,0.0,1.0,2.0,,,0,N,,36061.0,5602.0,5600.0,A122,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.23645,B,A1220,A
6946,112942428,200712,200815.0,29491082069228,91,,N,Y,0.0,1.0,2007,3.0,1.0,3.0,3,90.0,55700,0,0,0,0,0,0,0,55700,54740,960,0,0,0,7576,0,0,0,0,0,7576,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,54740,0,0,0,0,7576,0,0,7576,0,7576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,112942428200712,1129424282007,rtf07pf,0,0,10122.0,PODVAL ARTS AND POETRY GALLERIES LTD,V MOLOT ESQ,225 W 34TH ST STE 1504,NEW YORK,NY,10122-0049,0.0,3.0,1.0,198903.0,1.0,4.0,90.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9255700000000001,A,A70,A
6950,112945662,200712,200837.0,29491138195118,91,A20,N,Y,0.0,20.0,2007,3.0,1.0,1.0,3,90.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1852,0,0,0,0,0,1852,0,90,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,342,0,0,1852,0,1852,0,0,0,0,0,0,0,0,0,0,1847,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,112945662200712,1129456622007,rtf07pf,0,0,11361.0,SHOSTAKOVICH CULTURAL PROGRAM INC,,3316 214TH ST,BAYSIDE,NY,11361-1624,0.0,3.0,1.0,198901.0,1.0,4.0,90.0,0.0,0.0,1.0,11.0,0.0,1.0,12.0,,,0,N,,36081.0,5602.0,5600.0,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.85144,B,A20,A
6956,112948645,200806,200846.0,29491299033118,91,,N,Y,0.0,1.0,2007,3.0,4.0,3.0,3,602.0,0,3074,0,0,0,0,0,10000,68074,15532,52542,12900,65442,65442,249958,0,0,0,0,10897,249957,0,10748,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,65000,0,68074,68074,5532,2632,2900,2632,2632,4044,0,0,249957,0,239061,1309,0,0,400,0,0,0,36,0,1309,218239,9439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,112948645200806,1129486452008,rtf07pf,945,0,11354.0,WORLD JOURNAL CULTURE FOUNDATION INC,,141 07 20 AVE 6 FLR,FLUSING,NY,11354-0000,0.0,3.0,1.0,198909.0,1.0,4.0,602.0,0.0,0.0,1.0,11.0,0.0,1.0,6.0,,,0,N,,36081.0,5602.0,5600.0,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.62075,A,A33,A
6999,113027025,200712,200825.0,29491152208138,91,A23Z,N,Y,0.0,1.0,2007,3.0,1.0,1.0,3,119.0,0,2,409,0,0,0,0,335,411,2093,-1682,1085,0,411,9622,0,0,0,0,0,7676,0,356,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,411,411,1758,930,750,930,0,91,0,6572,7676,0,9622,0,0,0,0,0,0,0,0,0,0,7232,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,113027025200712,1130270252007,rtf07pf,0,0,10021.0,SJMS HUMANITIES ARTS AND SCIENCES CHARITY INC,MELVIN ROSEN,340 E 74TH ST,NEW YORK,NY,10021-3737,0.0,3.0,1.0,199108.0,1.0,4.0,119.0,0.0,0.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.11755,A,A70,A
7002,113028110,200712,200824.0,29491124054238,91,,N,Y,0.0,1.0,2007,3.0,1.0,3.0,3,429.0,0,0,0,0,0,99612,0,1260,99612,110905,-11293,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,109645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,113028110200712,1130281102007,rtf07pf,0,0,10024.0,LAC HONG MAGAZINE,DIEN THOAI,309 W 78TH ST,NEW YORK,NY,10024-6543,0.0,3.0,2.0,199203.0,1.0,4.0,429.0,120.0,408.0,1.0,13.0,0.0,1.0,12.0,,,0,N,,36061.0,5602.0,5600.0,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.23848000000000003,A,A33,A
7040,113080063,200605,,29491329061206,91,,,,,,2005,,,,3,,2500,0,0,0,54192,0,2450,0,56692,60532,-3840,0,0,54192,1061,0,0,0,0,0,1061,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,54192,60532,0,0,0,0,1061,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,113080063200605,1130800632006,CORE06pf,0,0,10464.0,ONE WORLD ARTS INCORPORATED,,,BRONX,NY,10464-0007,0.0,3.0,1.0,199207.0,1.0,4.0,998.0,0.0,0.0,1.0,13.0,0.0,1.0,5.0,,,0,N,,36005.0,5602.0,5600.0,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.6973199999999999,A,A60,A
