,EIN,EOY,TAXPER,STYEAR,NTEEIRS,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,DocCd,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NAICS,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NumEmpEstimate,NumEmpCode,NumEmpYr
9837,112022650,9.0,200912,2009,,0,0,0,0,0,0,0,0,0,0,145116,148700,62472,0,0,66311,62949,255,477,0,0,0,0,0,0,0,0,0,140166,0,0,,145116,145116,0,0,0,0,0,0,0,-3584,0,0,0,0,0,0,0,66056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,920,N,3,1,201035,29492219201240,92,1,2009,4,Y,1,Y,1,0,2009,11223-5002,11223.0,IN,,112022650200912,1120226502009,12,920.0,0.0,0.0,2366 CONEY ISLAND AVE,3.0,0.0,BROOKLYN,2.0,,2.0,0.0,10.0,0.0,AUTO BODY CRAFTSMENS GUILD INC,1.0,196506.0,,NY,rtf09co,1.0,2.0,2.0,2.0,A40,A,710000.0,36047.0,5602.0,5600.0,A40,A,O,O,AR,A,A,1,AR,AR,AR,0.24971999999999997,A,0.0,Z,2009.0
9905,112224061,9.0,200906,2008,,0,0,0,0,3924,0,0,0,0,0,190149,461631,-904070,0,0,475078,405993,1038510,1310063,0,0,0,0,0,0,0,0,0,0,0,0,,142573,142573,0,0,22365,47576,-25211,0,0,-319058,0,0,0,0,0,0,0,-563432,0,0,0,0,0,3924,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,566,N,4,1,201014,29492072054220,92,1,2009,4,Y,1,N,1,0,2008,10016-8804,10016.0,IN,,112224061200906,1122240612009,6,566.0,0.0,0.0,386 PARK AVE S FL 19,3.0,0.0,NEW YORK,3.0,,2.0,0.0,10.0,0.0,EXHIBITION EMPLOYEES LOCAL 829 HIRING HALL FUND,2.0,197111.0,,NY,rtf09co,2.0,2.0,2.0,2.0,A1140,A,813219.0,36061.0,5602.0,5600.0,A114,A,O,S,ZA,A,A,1,AR,AR,AR,0.13594,B,0.0,Z,2009.0
10082,112511065,9.0,200906,2008,,0,0,0,0,4408,0,0,0,0,0,211643,149823,297765,0,0,240742,303789,4797,6024,0,0,0,0,0,0,0,0,0,207175,0,60,,211643,211643,0,0,0,0,0,0,0,61820,0,0,0,0,0,0,0,235945,0,0,0,0,0,4408,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,N,4,1,201023,93492133008020,92,1,2009,4,Y,1,N,1,0,2008,11241-0000,11241.0,IN,,112511065200906,1125110652009,6,200.0,0.0,0.0,C/O WILLIAM ROTHBERG 16 COURT ST,3.0,0.0,BROOKLYN,1.0,WILLIAM ROTHBERG,2.0,0.0,10.0,0.0,BUILDING RESTORATION CONTRACTORS INDUSTRY PROMOTION FUND OF NY,2.0,197912.0,,NY,rtf09co,2.0,2.0,2.0,2.0,A82,A,,36047.0,5602.0,5600.0,A82,A,O,O,AR,A,A,1,AR,AR,AR,0.06298,B,0.0,Z,2009.0
10128,112579110,9.0,200912,2009,,0,0,0,0,0,0,0,0,0,0,47936,46612,32513,0,0,31386,32513,239,0,0,0,0,0,0,0,0,0,0,47936,0,0,,47936,47936,0,0,0,0,0,0,0,1324,0,0,0,0,0,0,0,31147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,200,N,3,1,201029,29493184130230,93,1,2009,3,Y,1,N,1,0,2009,10472-3102,10472.0,IN,,112579110200912,1125791102009,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,BRONX,1.0,CHARLES WEINER,2.0,0.0,10.0,0.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,1.0,198311.0,,NY,rtf09co,1.0,1.0,1.0,1.0,A65,A,711110.0,36005.0,5602.0,5600.0,A65,A,O,O,AR,A,A,1,AR,AR,AR,0.7691,C,0.0,Z,2009.0
10220,112689446,9.0,200912,2009,,0,0,0,0,0,0,0,0,0,0,364478,368167,-44890,0,0,-16357,-15096,24844,29794,0,0,0,0,0,0,0,0,0,0,0,0,,364478,364478,0,0,0,0,0,0,0,-3689,0,0,0,0,0,0,0,-41201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,261,N,0,1,201040,29492240180390,92,1,2009,4,Y,1,N,1,0,2009,10461-2622,10461.0,IN,,112689446200912,1126894462009,12,261.0,0.0,0.0,1401 BLONDELL AVE,3.0,0.0,BRONX,1.0,,2.0,0.0,10.0,0.0,PRODUCTION INDUSTRIAL TECHNICAL,1.0,199104.0,,NY,rtf09co,0.0,2.0,2.0,2.0,A60,A,711100.0,36005.0,5602.0,5600.0,A60,A,O,O,AR,A,A,1,AR,AR,AR,0.50979,C,0.0,Z,2009.0
10222,112691482,,200812,2008,,0,0,0,0,0,0,0,0,0,0,6409355,6371254,58300,187220,0,116474,215015,96275,156715,58300,0,0,0,0,0,0,0,0,6406293,0,3062,,6409355,6409355,0,0,0,0,0,0,0,38101,0,57667,12128,0,0,0,0,20199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,20199,254,N,4,1,200952,29493346016199,93,1,2008,7,Y,1,N,1,0,2008,10461-2622,10461.0,IN,,112691482200812,1126914822008,12,254.0,0.0,0.0,1401 BLONDELL AVE,3.0,0.0,BRONX,1.0,,2.0,0.0,10.0,0.0,PRODUCTION INDUSTRIAL TECH TEXTILE & PROF EMPLOYEES LOC 124 WLFR FUND,2.0,199211.0,,NY,CORE08co,2.0,5.0,5.0,5.0,A40,A,710000.0,36005.0,5602.0,5600.0,A40,A,O,O,AR,A,A,1,AR,AR,AR,0.08571000000000001,A,7.0,G,0.0
10301,112803518,9.0,200912,2009,,7768,0,0,0,20611,0,0,0,0,0,28379,50623,1607023,0,0,1629267,1607023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28379,28379,0,0,0,0,0,0,0,-22244,0,0,0,0,0,0,0,1629267,0,0,0,0,0,20611,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,319,N,6,1,201047,29493296028050,93,1,2009,3,Y,1,Y,1,0,2009,11357-1072,11357.0,IN,,112803518200912,1128035182009,12,319.0,0.0,0.0,33 CENTER DR,3.0,0.0,WHITESTONE,1.0,ROCCO NAPOLEONE,2.0,0.0,10.0,0.0,FRATERNAL CIRCLE OF NATIVES CONVERSAND INC,1.0,199308.0,,NY,rtf09co,4.0,1.0,1.0,1.0,A23,A,710000.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.13831,B,0.0,Z,2009.0
10344,112910678,,200712,2007,,3149,2005,0,0,659,0,0,37798,171007,171007,176161,158417,698957,0,0,718886,708957,0,0,0,0,0,0,0,0,0,0,37673,0,86027,0,,138488,138488,8850,0,0,0,0,123700,37798,-19929,0,19764,1512,0,0,0,0,718886,0,0,0,0,659,0,8850,0,0,0,0,0,0,955772,6154,0,0,961926,6154,5,9,0,0,907,N,5,1,200910,29490017101139,90,1,2007,4,Y,1,N,1,0,2007,11433-3441,11433.0,IN,,112910678200712,1129106782007,12,907.0,0.0,0.0,11002 MERRICK BLVD,3.0,0.0,JAMAICA,1.0,,2.0,0.0,10.0,0.0,PROCTOR HOPSON POST MEMORIAL ASSOCIATION INCORPORATED,1.0,198906.0,,NY,CORE08co,3.0,2.0,2.0,2.0,A80,A,712120.0,36081.0,5602.0,5600.0,A80,A,O,O,AR,A,A,1,AR,AR,AR,0.41086000000000006,B,1.0,H,0.0
10472,113097379,9.0,200912,2009,,0,0,0,0,0,0,0,0,0,0,218076,252830,54584,0,0,211238,194159,121900,139575,0,0,0,0,0,0,0,0,0,74675,0,0,,218076,218076,0,0,0,0,0,0,0,-34754,0,0,0,0,0,0,0,89338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,319,N,4,1,201037,29492240101150,92,1,2009,4,Y,1,N,1,0,2009,11385-6930,11385.0,IN,,113097379200912,1130973792009,12,319.0,119.0,0.0,7254 65TH PL,3.0,0.0,GLENDALE,1.0,DUSHAN RADOVICH,2.0,0.0,10.0,0.0,SERBIAN ASSOCIATION OF NEW YORK INC,1.0,199301.0,,NY,rtf09co,2.0,2.0,2.0,2.0,A23,A,710000.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.80328,A,0.0,Z,2009.0
10493,113123913,9.0,200912,2009,,607,0,0,0,781,0,0,0,0,0,76574,44608,229276,0,0,231283,229276,0,0,0,0,0,0,0,0,0,0,33973,0,27170,0,,42601,42601,0,0,0,0,0,61143,0,-2007,0,0,0,0,0,0,0,231283,0,0,0,0,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,N,4,1,201044,29492282134190,92,36,2009,3,Y,1,N,1,0,2009,11102,11102.0,IN,,113123913200912,1131239132009,12,,,,,,,,,,,0.0,,,MALTESE CTR INC,,0.0,,NY,rtf09co,2.0,1.0,1.0,1.0,A23,A,710000.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.7784300000000001,C,0.0,Z,2009.0
10527,113163244,9.0,200904,2008,A23,350,0,0,0,0,0,0,0,0,0,53278,10248,21446,0,0,23208,21446,0,0,0,0,0,0,0,0,0,0,44792,0,5945,991,,8486,8486,0,0,0,0,0,50737,0,-1762,0,0,0,0,0,0,0,23208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,N,2,1,201052,29492345320130,92,1,2009,3,Y,1,N,1,0,2008,10008-2222,10008.0,IN,,113163244200904,1131632442009,4,0.0,0.0,0.0,PO BOX 2222,3.0,0.0,NEW YORK,1.0,,2.0,0.0,10.0,0.0,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,1.0,200201.0,,NY,rtf09co,1.0,1.0,1.0,1.0,A23,A,710000.0,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.46676000000000006,B,0.0,Z,2009.0
10560,113212678,9.0,200912,2009,,160598,0,0,0,0,0,0,0,0,0,160598,170502,6971,0,0,16875,7221,0,250,0,0,0,0,0,0,0,0,0,0,0,0,,160598,160598,0,0,0,0,0,0,0,-9904,0,0,0,0,0,0,0,16875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,N,1,1,201038,29493240152070,93,1,2009,4,Y,1,N,1,0,2009,11354-2827,11354.0,IN,,113212678200912,1132126782009,12,200.0,0.0,0.0,35-22 FARRINGTON ST STE 201,3.0,0.0,FLUSHING,1.0,,2.0,0.0,0.0,0.0,KOREAN-AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,1.0,199509.0,,NY,rtf09co,1.0,2.0,2.0,2.0,A23,A,710000.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.99369,A,0.0,Z,2009.0
10563,113216404,9.0,200909,2008,,18500,0,0,0,0,0,0,0,0,0,180424,139553,59279,16200,0,18172,60274,375,995,54443,0,0,0,0,0,0,0,0,161924,0,0,,180424,180424,0,0,0,0,0,0,0,40871,0,0,0,0,0,0,0,17797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,317,N,3,1,201005,29493016034140,93,1,2009,4,Y,1,N,1,0,2008,11210-1233,11210.0,IN,,113216404200909,1132164042009,9,317.0,0.0,0.0,1324 FLATBUSH AVE,3.0,0.0,BROOKLYN,1.0,FREDERICK BALLENTYNE,2.0,0.0,10.0,0.0,CARIBBEAN CUP INC,1.0,199609.0,,NY,rtf09co,1.0,2.0,2.0,2.0,A23,A,710000.0,36047.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.54342,C,1.0,G,0.0
10574,113234458,9.0,200907,2008,,0,0,0,0,0,0,0,0,0,0,99587,79964,29702,0,0,10079,29702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,99587,99587,0,0,0,0,0,0,0,19623,0,0,0,0,0,0,0,10079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,N,3,1,201034,29492212455180,92,36,2009,3,Y,1,N,1,0,2008,11436,11436.0,IN,,113234458200907,1132344582009,7,,,,,,,,,,,0.0,,,MOVEMENT OF THE CHILDREN DANCENTER INC,,0.0,,NY,rtf09co,1.0,1.0,1.0,1.0,A62,A,711120.0,36081.0,5602.0,5600.0,A62,A,O,O,AR,A,A,1,AR,AR,AR,0.70639,A,0.0,Z,2009.0
10591,113261970,9.0,200912,2009,S40,0,0,0,0,0,0,0,0,0,0,101462,80854,140648,0,0,39389,140648,0,0,0,0,0,0,0,0,0,0,0,0,0,101462,,101462,101462,0,0,0,0,0,0,0,20608,0,0,0,0,0,0,0,39389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,N,4,1,201031,29492198225360,92,1,2009,4,Y,1,N,1,0,2009,11356-2332,11356.0,IN,,113261970200912,1132619702009,12,0.0,0.0,0.0,1528 127TH ST,3.0,0.0,COLLEGE POINT,2.0,,2.0,0.0,10.0,0.0,KOREAN AIR CONDITIONING & REFRIG ASSOC OF NY INC,1.0,200003.0,,NY,rtf09co,2.0,2.0,2.0,1.0,A23,A,710000.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.85246,A,0.0,Z,2009.0
10599,113278319,,200812,2008,S41,41920,0,0,0,0,0,0,0,0,0,41920,53517,22543,0,0,34141,22544,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,41920,41920,0,0,0,0,0,0,0,-11597,0,0,0,0,0,0,0,34140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,N,2,1,200934,29492206369189,92,1,2008,3,Y,1,N,1,0,2008,10474-0060,10474.0,IN,,113278319200812,1132783192008,12,0.0,0.0,0.0,800 FOOD CENTER DR UNIT 96B,3.0,0.0,BRONX,2.0,,2.0,0.0,10.0,0.0,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,1.0,199904.0,,NY,CORE08co,1.0,1.0,1.0,1.0,A23,A,710000.0,36005.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.92468,A,0.0,Z,2008.0
10601,113281373,8.0,200812,2008,,0,0,0,0,0,0,0,0,0,0,152400,142678,42632,0,0,79187,55634,46277,13002,42632,0,0,0,0,0,0,0,0,152400,0,0,,152400,152400,0,0,0,0,0,0,0,9722,0,0,0,0,0,0,0,32910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,229,N,3,1,201003,29493360200019,93,1,2008,4,Y,1,N,1,0,2008,10020-1903,10020.0,IN,,113281373200812,1132813732008,12,229.0,0.0,0.0,10 ROCKEFELLER PLZ STE 900,3.0,0.0,NEW YORK,1.0,TREASURER,2.0,0.0,10.0,0.0,IRISH AMERICAN BUILDING SOCIETY INC,1.0,199706.0,,NY,rtf09co,1.0,2.0,2.0,2.0,A23,A,710000.0,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.26943,C,0.0,Z,2008.0
