,FILER,CODE990,ACTIVCD1,POPCODE,REASON,EIN,styear,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,P6UNRELB,ASCD,INCCD,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
12574,990.0,1,200,1,0,131087160,1992,159974,5599771,1746936,1675775,214567,0,0,0,3740348,2064573,9500093,7627929,3932148,1402157,0,4085208,4100128,349449,167980,3932148,0,0,0,0,0,0,0,0,0,0,0,0,1756322,0,22523,6,N,6,7,MAGAZINE PUBLISHERS AMERICA,NEW YORK,NY,10022-3801,10022.0,36061.0,A01,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.63059,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199212,7824318,199212,1992,NY,10022.0,NEW YORK,A33,A,12,200.0,0.0,0.0,919 THIRD AVE 22ND FL,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4209.0,,PC,O,AR,A,IN,,A0333,A,813920.0
12586,990.0,1,200,1,0,131101367,1991,0,67400,0,0,399,0,30697,-7658,80877,50180,148277,119020,25766,0,0,49824,38127,22618,12361,25766,0,0,0,0,0,0,0,0,0,0,0,0,47970,0,9469,6,Y,3,4,NEW YORK SOC ARCHITECTS,NEW YORK,NY,10001-6708,10001.0,36061.0,A01,A,10001.0,5602.0,5600.0,36061.0,,O,O,0.6251800000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199211,117580,199211,1992,NY,10001.0,NEW YORK,A03,B,11,200.0,205.0,0.0,275 SEVENTH AVE 15TH FLR,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4208.0,,PC,O,AR,A,IN,,A03,A,813920.0
12638,990.0,1,200,1,0,131374145,1992,0,250925,0,0,20776,0,0,0,287708,287708,538633,406135,466823,75000,0,500249,470457,3717,3634,0,0,0,0,0,0,0,0,0,0,0,0,162207,44695,56749,3281,6,Y,4,5,TEXTILE DISTRIBUTORS ASSOC,NEW YORK,NY,10018-7904,10018.0,36061.0,A01,A,10018.0,5602.0,5600.0,36061.0,,O,O,0.045610000000000005,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199212,376426,199212,1992,NY,10018.0,NEW YORK,A40,A,12,200.0,279.0,0.0,45 W 36TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4409.0,,PC,O,AR,A,IN,,A40,A,710000.0
12647,990.0,1,205,1,0,131394480,1992,0,686238,0,0,18308,0,592,4125,378148,377556,1064386,1109623,1738,106909,0,382352,424562,334785,422824,0,0,0,0,0,0,0,0,0,0,0,0,0,355122,0,0,6,N,4,6,TRAFFIC AUDIT BUREAU MEDIA MEASUREMENT,NEW YORK,NY,10170-2599,10170.0,36061.0,A01,A,10170.0,5602.0,5600.0,36061.0,,O,O,0.50825,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199212,1063794,199212,1992,NY,10170.0,NEW YORK,A30,B,12,205.0,0.0,0.0,420 LEXINGTON AVE 2520,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5501.0,,PC,O,AR,A,IN,,A30,A,510000.0
12656,990.0,1,263,1,0,131406872,1992,0,53894,0,0,1046,0,0,0,1046,1046,54940,66983,2885,0,0,28282,22768,13354,19883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,N,2,3,INTL ALLIANCE THEATRICAL STAGE EMP & MVG PIC MACH OP US&CAN,BRONX,NY,10036-5701,10036.0,36061.0,A65,A,,5602.0,5600.0,,,O,O,0.8855799999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199212,54940,199212,1992,NY,,BRONX,A65,A,12,263.0,0.0,0.0,1515 BROADWAY 601,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4407.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,A65,A,711110.0
12663,990.0,1,999,1,0,131426099,1992,0,340,0,0,3611,0,0,0,30290,30290,30630,12828,121581,0,0,130599,121581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26820,0,-141,0,4,N,4,3,UNITED IRISH COUNTIES ASSOC NEW YORK,JACKSON HTS,NY,11372-1457,11372.0,36081.0,A23,A,11372.0,5602.0,5600.0,36081.0,,O,O,0.25201999999999997,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36081.0,199304,3810,199304,1993,NY,11372.0,JACKSON HTS,A23,A,4,999.0,0.0,0.0,213 16 50TH AVE,3.0,0.0,1000.0,MICHAEL FOGARTY,2.0,11.0,0.0,10.0,0.0,5.0,5604.0,,PC,O,AR,A,IN,,A23,A,710000.0
12701,990.0,1,119,1,0,131520977,1992,35050,15,0,0,0,0,0,0,46891,46891,81956,83215,16351,0,0,17610,16351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46891,0,0,6,N,2,3,ART & ANTIQUE DEALERS LEAGUE AMERICA,NEW YORK,NY,10021-1313,10021.0,36061.0,A01,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.64884,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199309,81956,199309,1993,NY,10021.0,NEW YORK,A0380,A,9,119.0,0.0,0.0,353 E 78TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7601.0,,PC,O,AR,A,IN,,A0380,A,813920.0
12710,,1,59,0,0,131530748,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,N,0,0,CINEMA RADIO TV UNIT 6000,NEW YORK,NY,10036-7209,10036.0,36061.0,A32,A,10036.0,5602.0,5600.0,36061.0,,O,O,0.50067,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199112,0,199112,1991,NY,10036.0,NEW YORK,A32,A,12,59.0,29.0,349.0,229 W 42ND ST,9.0,0.0,1000.0,,1.0,13.0,0.0,20.0,947.0,5.0,4606.0,,PC,O,AR,A,IN,,A32,A,513120.0
12735,990.0,1,119,1,0,131572247,1990,0,140920,0,0,16646,0,174169,229241,440474,266305,581394,423105,329885,0,0,482677,534264,161792,204379,0,25525,0,0,0,0,0,0,0,0,0,0,0,0,0,20418,7,Y,5,5,METRO OPERA CLUB,NEW YORK,NY,10023-0000,10023.0,36061.0,A11,A,10023.0,5602.0,5600.0,36061.0,,O,S,0.05708,,ZA,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199107,407225,199107,1991,NY,10023.0,NEW YORK,A11,A,7,119.0,319.0,0.0,LINCOLN CENTER,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4608.0,,PC,S,ZA,A,IN,,A11,A,813219.0
12745,990.0,1,919,1,0,131583260,1992,0,442457,0,0,29318,0,0,0,29318,29318,471775,474644,90976,188572,0,793030,896925,685754,805949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,N,5,4,STATION REPRESENTATIVES ASSOC,NEW YORK,NY,10169-0005,10169.0,36061.0,A30,A,10169.0,5602.0,5600.0,36061.0,,O,O,0.7188,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199306,471775,199306,1993,NY,10169.0,NEW YORK,A01,C,6,919.0,200.0,0.0,230 PARK AVE,3.0,0.0,2000.0,KATZ MEDIA J BELOYIANIS,2.0,13.0,0.0,10.0,0.0,1.0,6910.0,,PC,O,AR,A,IN,,A01,A,813319.0
12814,990.0,1,908,1,0,131673348,1992,0,954,0,0,20776,0,0,0,33294,33294,34248,43104,945954,0,0,897592,945954,3420,0,12227,0,0,0,0,0,0,0,0,0,0,0,0,12518,0,0,4,N,5,3,OLD GUARD CITY NEW YORK,NEW YORK,NY,10024-1001,10024.0,36061.0,A82,A,10024.0,5602.0,5600.0,36061.0,,O,O,0.58306,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199302,34248,199302,1993,NY,10024.0,NEW YORK,W20,C,2,908.0,0.0,0.0,307 W 91ST ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5203.0,,PC,O,AR,A,IN,,W20,W,813410.0
13020,,1,319,0,0,131769475,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,N,0,0,THEATRICAL MUTUAL ASSOC NEW YORK LODGE 1,NYC,NY,10019-0000,10019.0,36061.0,A65,A,10019.0,5602.0,5600.0,36061.0,,O,O,0.70262,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199212,0,199212,1992,NY,10019.0,NYC,A65,B,12,319.0,0.0,0.0,211 W 53RD ST,3.0,0.0,3000.0,,2.0,13.0,0.0,20.0,0.0,1.0,5504.0,,PC,O,AR,A,IN,,A65,A,711110.0
13031,990.0,1,919,1,0,131777183,1990,0,5760263,0,0,44468,0,0,0,848859,848859,6609122,6340997,163181,836358,0,1467728,1320356,1068172,1157175,163181,0,0,0,0,0,0,0,0,0,0,0,504500,82421,217470,0,6,N,6,7,TELEVISION BUREAU ADVERTISING,NEW YORK,NY,10022-6222,10022.0,36061.0,A01,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.51547,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199012,6104622,199012,1990,NY,10022.0,NEW YORK,A0132,B,12,919.0,200.0,59.0,850 THIRD AVENUE,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5602.0,,PC,O,AR,A,IN,,A0132,A,813319.0
13034,990.0,1,200,1,9,131783842,1992,0,195774,0,0,13691,0,0,0,138019,138019,333793,243862,514264,0,0,444580,514264,523,0,514264,0,0,0,0,0,0,0,0,0,0,0,19724,0,92121,0,6,Y,5,4,ANTIQUARIAN BOOKSELLERS ASSOC AMERICA SHOP 2 CONCOURSE,NEW YORK,NY,10020-1605,10020.0,36061.0,A03,A,10020.0,5602.0,5600.0,36061.0,,O,O,0.9898,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199212,314069,199212,1992,NY,10020.0,NEW YORK,A0333,A,12,200.0,0.0,0.0,50 ROCKERFELLER PLAZA,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5109.0,2 CONCOURSE,PC,O,AR,A,IN,,A0333,A,813920.0
13054,990.0,1,123,1,0,131813049,1992,61581,0,0,0,320,8510,0,0,20640,20640,82221,62481,15703,9428,0,12622,30826,16659,15123,0,0,0,0,0,0,0,0,0,0,0,0,0,19670,0,650,4,N,3,3,AMER COMM AFRICA,NEW YORK,NY,10038-4010,10038.0,36061.0,A70,A,10038.0,5602.0,5600.0,36061.0,,O,O,0.013890000000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199212,82221,199212,1992,NY,10038.0,NEW YORK,A70,C,12,123.0,124.0,480.0,17 JOHN STREET 12TH FLOOR,3.0,0.0,3000.0,AFRICA ACTION,2.0,13.0,0.0,10.0,0.0,1.0,7911.0,,PC,O,AR,A,IN,,A70,A,710000.0
13069,990.0,1,205,1,0,131830960,1991,0,84373,96353,96000,16276,0,0,0,986083,890083,1070456,1128004,164224,0,0,433241,408488,115469,244264,0,0,0,0,0,0,0,0,0,0,0,0,0,798454,0,75000,6,Y,4,6,INTL RADIO & TELEVISION SOC,NEW YORK,NY,10170-0002,10170.0,36061.0,A32,A,,5602.0,5600.0,,,O,O,0.57333,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199112,974456,199112,1991,NY,,NEW YORK,A32,A,12,205.0,120.0,0.0,420 LEXINGTON AVE,3.0,,2000.0,,,,0.0,,,,5406.0,,PC,O,AR,A,IN,,A32,A,513120.0
13084,990.0,1,265,1,0,131841248,1991,0,0,697381,679075,54049,0,0,0,2774963,2095888,2774963,1380833,1153393,0,0,1077214,1741179,638936,587786,0,0,0,0,0,0,0,0,0,0,0,0,0,2004986,0,18547,9,N,6,6,INTL PHOTOGRAPHERS 644 WELFARE FND,NEW YORK,NY,10011-5126,10011.0,36061.0,A40,A,10011.0,5602.0,5600.0,36061.0,,O,O,0.19362000000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199208,2095888,199208,1992,NY,10011.0,NEW YORK,A40,A,8,265.0,0.0,0.0,505 EIGHTH AVE,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,5.0,5811.0,,PC,O,AR,A,IN,,A40,A,710000.0
13120,990.0,1,263,1,0,131866133,1992,0,160584,0,0,334,0,0,0,1448,1448,162032,147227,47568,0,0,32763,47568,0,0,47568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,5,N,3,4,INTL ALLIANCE THEATRICAL STAGE EMP & MVG PIC MACH OP US&CAN,NEW YORK,NY,10018-6505,10018.0,36061.0,A65,A,,5602.0,5600.0,,,O,O,0.44523999999999997,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199212,162032,199212,1992,NY,,NEW YORK,A65,A,12,263.0,0.0,0.0,505 EIGHTH AVE 16TH FLR,9.0,,3000.0,,,,0.0,,,,6205.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,A65,A,711110.0
