,FILER,CODE990,EIN,STYEAR,ASSETCD,INCOMECD,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,POPCD,REASON,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,P1TOTREV,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
13155,,1,113344197,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,N,LINKS INC,TAMAICA,NY,11411-0792,11411.0,36081.0,A99,A,11411.0,5602.0,5600.0,36081.0,,O,O,0.98382,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199604,0,0,199604,1996,NY,11411.0,TAMAICA,1133441971996,A99,C,4,119.0,40.0,279.0,11226 178TH PL,9.0,0.0,1.0,RENEE N BLUFORD,2.0,1.0,0.0,20.0,1520.0,5.0,196112.0,GREATER QUEENS CHAPTER,PC,O,AR,A,IN,,A99,A,710000.0
13283,,1,116035572,1994,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,N,ASSOC ARCHITECTURAL & STORE FRONT CONTRACTORS,HOWARD BEACH,NY,11414-2415,11414.0,36081.0,A40,A,11414.0,5602.0,5600.0,36081.0,,O,O,0.60869,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199506,0,0,199506,1995,NY,11414.0,HOWARD BEACH,1160355721995,A40,A,6,200.0,0.0,0.0,90 53 SHORE PARKWAY,3.0,0.0,2000.0,,2.0,11.0,0.0,20.0,0.0,1.0,196312.0,,PC,O,AR,A,IN,,A40,A,710000.0
13598,990.0,1,130417765,1996,6,6,919,0,1027059,0,0,122401,0,0,0,2770581,2770581,3797640,4165331,1228904,529445,0,2875390,2462067,1278795,1233163,0,0,0,0,0,0,0,0,0,0,0,0,0,2648180,0,0,6,1,0,Y,ADVERTISING RES FND,NEW YORK,NY,10022-4503,10022.0,36061.0,A30,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.29845,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199612,3797640,3797640,199612,1996,NY,10022.0,NEW YORK,1304177651996,A03,A,12,919.0,0.0,0.0,641 LEXINGTON AVE 11TH FL,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,194303.0,,PC,O,AR,A,IN,,A03,A,813920.0
13620,990.0,1,130452445,1996,6,6,59,0,2714886,0,0,92793,0,0,0,808117,808117,3523003,2804393,1530176,415138,0,1834975,2078841,424396,548665,0,0,0,0,0,0,0,0,0,0,0,0,599013,0,51906,64405,6,1,0,N,AMER BUSINESS PRESS,NEW YORK,NY,10017-5704,10017.0,36061.0,A01,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.58929,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199706,2923990,2923990,199706,1997,NY,10017.0,NEW YORK,1304524451997,A0330,A,6,59.0,200.0,0.0,675 THIRD AVE,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,193504.0,,PC,O,AR,A,IN,,S41,S,813910.0
13628,990.0,1,130453230,1995,6,7,919,0,4027181,325458,331934,69576,0,0,0,2628735,2296801,6655916,6250109,506169,1070952,0,3037744,3901695,2605448,3395526,0,0,0,0,0,0,0,0,0,0,0,0,0,2084651,0,149050,6,1,0,Y,ASSOC NAT ADVERTISERS,NEW YORK,NY,10017-4201,10017.0,36061.0,A30,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.18225,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199611,6323982,6323982,199611,1996,NY,10017.0,NEW YORK,1304532301996,S41,A,11,919.0,205.0,0.0,155 E 44TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,5.0,194208.0,,PC,O,AR,A,IN,,S41,S,813910.0
13636,990.0,1,130508050,1995,5,4,298,95373,0,119644,120583,37151,0,0,0,112565,-8018,207938,349384,665546,0,0,968867,668546,3000,3000,656561,0,0,0,0,0,0,0,0,0,0,0,38292,0,15973,-98495,4,1,0,N,BOHEMIAN BENEVOLENT & LITERARY ASSOC NEW YORK CITY,NEW YORK,NY,10021-3705,10021.0,36061.0,A70,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.12849000000000002,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199606,49063,49063,199606,1996,NY,10021.0,NEW YORK,1305080501996,A23,B,6,298.0,318.0,319.0,321 E 73RD ST,3.0,0.0,3000.0,JAN HIRD POKORNY PRESIDENT,2.0,13.0,0.0,10.0,0.0,5.0,196501.0,,PC,O,AR,A,IN,,A23,A,710000.0
13714,990.0,1,130951470,1995,6,6,119,0,2308851,0,0,165083,0,0,0,1433778,1433778,3742629,4152459,2317449,797044,0,2905797,3095865,761932,778416,0,0,0,0,0,1500,0,0,0,0,0,0,0,1263764,0,4931,6,1,0,N,LEAGUE AMER THEATRES & PRODUCERS,NEW YORK,NY,10036-1413,10036.0,36061.0,A99,A,10036.0,5602.0,5600.0,36061.0,,O,O,0.61245,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199608,3742629,3742629,199608,1996,NY,10036.0,NEW YORK,1309514701996,A0365,A,8,119.0,205.0,279.0,226 W 47TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,194210.0,,PC,O,AR,A,IN,,A0365,A,813920.0
13717,990.0,1,130971750,1995,3,4,119,3150,3387,0,0,130,0,0,0,298786,298786,305323,295119,27090,0,0,42525,42108,19917,15017,0,0,0,0,0,0,0,0,0,0,0,0,5721,166352,1821,124761,7,1,0,N,LIEDERKRANZ CITY NEW YORK,NEW YORK,NY,10128-0505,10128.0,36061.0,A6A,A,10128.0,5602.0,5600.0,36061.0,,O,O,0.13385999999999998,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199606,299602,299602,199606,1996,NY,10128.0,NEW YORK,1309717501996,A6A,A,6,119.0,916.0,318.0,6 E 87TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,193907.0,,PC,O,AR,A,IN,,A6A,A,711130.0
13754,990.0,1,131087160,1996,7,8,200,276500,6510927,2694461,2487145,168423,0,0,0,6274715,3787570,13062142,9941964,5696738,1121700,0,5530164,6709644,924997,1012906,0,0,0,0,0,0,0,0,0,0,0,0,0,2863007,0,548824,6,1,0,N,MAGAZINE PUBLISHERS AMERICA,NEW YORK,NY,10022-3801,10022.0,36061.0,A01,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.75926,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199612,10574997,10574997,199612,1996,NY,10022.0,NEW YORK,1310871601996,A33,A,12,200.0,0.0,0.0,919 THIRD AVE 22ND FL,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,194209.0,,PC,O,AR,A,IN,,A0333,A,813920.0
13766,990.0,1,131101367,1995,2,4,200,450,37889,0,0,4,0,3000,1916,63346,60346,101685,92636,3060,0,0,14367,14411,17356,11350,3061,0,0,0,0,0,0,0,0,0,0,0,0,58426,0,0,6,1,0,N,NEW YORK SOC ARCHITECTS,NEW YORK,NY,10001-6708,10001.0,36061.0,A01,A,10001.0,5602.0,5600.0,36061.0,,O,O,0.9872200000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199611,98685,98685,199611,1996,NY,10001.0,NEW YORK,1311013671996,A03,B,11,200.0,205.0,0.0,275 SEVENTH AVE,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,194208.0,,PC,O,AR,A,IN,,A03,A,813920.0
13818,990.0,1,131374145,1996,5,5,200,0,240900,0,0,43865,0,0,0,351338,351338,592238,341229,660300,90000,0,615816,660300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206525,27818,70127,3003,6,1,0,Y,TEXTILE DISTRIBUTORS ASSOC,NEW YORK,NY,10018-7904,10018.0,36061.0,A01,A,10018.0,5602.0,5600.0,36061.0,,O,O,0.03482,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199612,385713,385713,199612,1996,NY,10018.0,NEW YORK,1313741451996,A40,A,12,200.0,279.0,0.0,45 W 36TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,194409.0,,PC,O,AR,A,IN,,A40,A,710000.0
13828,990.0,1,131394480,1996,5,6,205,0,841599,0,0,17660,0,15709,9614,517144,501435,1358743,1327533,94813,234000,0,1325383,533349,1251818,438536,0,0,0,0,0,0,0,0,0,0,0,0,0,474161,0,0,6,1,0,N,TRAFFIC AUDIT BUREAU MEDIA MEASUREMENT,NEW YORK,NY,10170-2599,10170.0,36061.0,A01,A,10170.0,5602.0,5600.0,36061.0,,O,O,0.80603,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199612,1343034,1343034,199612,1996,NY,10170.0,NEW YORK,1313944801996,A30,B,12,205.0,0.0,0.0,420 LEXINGTON AVE STE 252,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,195501.0,,PC,O,AR,A,IN,,A30,A,510000.0
13843,990.0,1,131426099,1996,4,3,999,0,835,0,0,4795,0,0,0,62069,62069,62904,15492,136811,0,0,137187,136811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47788,0,9486,0,4,1,0,N,UNITED IRISH COUNTIES ASSOC NEW YORK,JACKSON HTS,NY,11372-1457,11372.0,36081.0,A23,A,11372.0,5602.0,5600.0,36081.0,,O,O,0.89423,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36081.0,199704,15116,15116,199704,1997,NY,11372.0,JACKSON HTS,1314260991997,A23,A,4,999.0,0.0,0.0,82 19 NORTHERN BLVD,3.0,0.0,1000.0,MICHAEL FOGARTY,2.0,11.0,0.0,10.0,0.0,5.0,195604.0,,PC,O,AR,A,IN,,A23,A,710000.0
13866,990.0,1,131505524,1996,6,6,205,0,449955,401358,0,87402,0,0,0,890659,890659,1340614,599987,1811433,96955,0,1441138,1948726,136593,137293,1105649,0,0,0,0,0,0,0,0,0,0,0,181446,0,198679,21774,6,1,0,N,AMER INST ARCHITECTS N Y CHAPTER,NEW YORK,NY,10016-6186,10016.0,36061.0,A40,A,10016.0,5602.0,5600.0,36061.0,,O,O,0.53461,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199612,1159168,1159168,199612,1996,NY,10016.0,NEW YORK,1315055241996,A40,B,12,205.0,40.0,279.0,200 LEXINGTON AVE RM 602,0.0,0.0,1000.0,,2.0,13.0,11.0,10.0,0.0,1.0,194208.0,N Y CHAPTER,PC,O,AR,A,IN,,A40,A,710000.0
13878,990.0,1,131520977,1995,2,3,119,0,49593,0,0,0,0,0,0,0,0,49593,59771,24125,0,0,34303,24125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,ART & ANTIQUE DEALERS LEAGUE AMERICA,NEW YORK,NY,10021-1313,10021.0,36061.0,A01,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.66346,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199609,49593,49593,199609,1996,NY,10021.0,NEW YORK,1315209771996,A0380,A,9,119.0,0.0,0.0,353 E 78TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,197601.0,,PC,O,AR,A,IN,,A0380,A,813920.0
13911,990.0,1,131572247,1994,5,5,119,0,167674,0,0,17268,0,136909,227355,424250,287341,591924,408094,510255,0,0,507859,776914,44525,266659,0,12596,0,0,0,0,0,0,0,0,0,0,0,0,0,42718,7,1,0,Y,METRO OPERA CLUB,NEW YORK,NY,10023-0000,10023.0,36061.0,A11,A,10023.0,5602.0,5600.0,36061.0,,O,S,0.71533,,ZA,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199507,455015,455015,199507,1995,NY,10023.0,NEW YORK,1315722471995,A11,A,7,119.0,319.0,0.0,LINCOLN CTR,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,194608.0,,PC,S,ZA,A,IN,,A11,A,813219.0
13921,990.0,1,131583260,1996,6,5,919,0,492588,0,0,96472,0,0,0,96472,96472,589060,531592,309629,238202,0,1480337,1693975,1228176,1384346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,STATION REPRESENTATIVES ASSOC,NEW YORK,NY,10169-0005,10169.0,36061.0,A30,A,10169.0,5602.0,5600.0,36061.0,,O,O,0.41192,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199706,589060,589060,199706,1997,NY,10169.0,NEW YORK,1315832601997,A01,C,6,919.0,200.0,0.0,230 PARK AVE,3.0,0.0,2000.0,KATZ MEDIA J BELOYIANIS,2.0,13.0,0.0,10.0,0.0,1.0,196910.0,,PC,O,AR,A,IN,,A01,A,813319.0
13986,990.0,1,131673348,1996,5,3,908,0,1803,31643,20640,18028,0,0,0,63251,42611,65054,39332,940877,0,0,935448,940877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13580,0,0,4,1,0,N,OLD GUARD CITY NEW YORK,NEW YORK,NY,10024-1001,10024.0,36061.0,A82,A,10024.0,5602.0,5600.0,36061.0,,O,O,0.74061,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199702,44414,44414,199702,1997,NY,10024.0,NEW YORK,1316733481997,W20,C,2,908.0,0.0,0.0,307 W 91ST ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,195203.0,,PC,O,AR,A,IN,,W20,W,813410.0
13991,990.0,1,131677485,1996,6,6,121,286700,0,0,0,20900,0,0,0,3917000,3917000,4203700,4060500,2152000,3709,0,2904200,3421500,1024100,1269500,2152000,0,0,0,0,0,0,0,0,0,0,0,0,3839700,0,43900,4,1,0,N,BRITISH BROADCASTING,NEW YORK,NY,10023-5882,10023.0,36061.0,A30,A,10023.0,5602.0,5600.0,36061.0,,O,O,0.05341,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199703,4203700,4203700,199703,1997,NY,10023.0,NEW YORK,1316774851997,A30,A,3,121.0,122.0,149.0,1995 BROADWAY STE 505,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,199202.0,,PC,O,AR,A,IN,,A30,A,510000.0
14171,990.0,1,131769475,1996,4,3,319,0,3556,0,0,8972,0,0,0,81337,81337,84893,22353,246493,0,0,226725,249503,0,3060,0,0,0,0,0,0,0,0,0,0,0,0,42771,0,29594,0,4,1,0,N,THEATRICAL MUTUAL ASSOC NEW YORK LODGE 1,NYC,NY,10019-0000,10019.0,36061.0,A65,A,10019.0,5602.0,5600.0,36061.0,,O,O,0.30541999999999997,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199612,42122,42122,199612,1996,NY,10019.0,NYC,1317694751996,A65,B,12,319.0,0.0,0.0,211 W 53RS ST ATE 5G,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,195504.0,,PC,O,AR,A,IN,,A65,A,711110.0
14182,990.0,1,131777183,1996,6,6,919,0,4608623,0,0,168314,0,0,0,363015,363015,4971638,4584572,3247297,303628,0,3389301,3823194,506421,575897,0,0,0,0,0,0,0,0,0,0,0,0,0,160866,0,33835,6,1,0,N,TELEVISION BUREAU ADVERTISING,NEW YORK,NY,10022-6222,10022.0,36061.0,A01,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.45205,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199612,4971638,4971638,199612,1996,NY,10022.0,NEW YORK,1317771831996,A0132,B,12,919.0,200.0,59.0,850 THIRD AVENUE,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,195602.0,,PC,O,AR,A,IN,,A0132,A,813319.0
14185,990.0,1,131783842,1996,5,5,200,0,179120,0,0,28193,0,0,0,623314,623314,802434,529831,533423,0,0,803744,534669,120,1246,533423,0,0,0,0,0,0,0,0,0,0,0,542804,0,52317,0,6,1,0,N,ANTIQUARIAN BOOKSELLERS ASSOC AMERICA SHOP 2 CONCOURSE,NEW YORK,NY,10020-1605,10020.0,36061.0,A03,A,10020.0,5602.0,5600.0,36061.0,,O,O,0.18186,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199612,259630,259630,199612,1996,NY,10020.0,NEW YORK,1317838421996,A0333,A,12,200.0,0.0,0.0,50 ROCKERFELLER PLAZA,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,195109.0,,PC,O,AR,A,IN,,A0333,A,813920.0
14205,990.0,1,131813049,1996,3,3,123,30996,0,0,0,779,5182,0,0,27079,27079,58075,70316,35941,8073,0,56314,44879,8132,8938,0,0,0,0,0,0,0,0,0,0,0,0,0,26300,0,0,4,1,0,N,AMER COMM AFRICA,NEW YORK,NY,10038-4010,10038.0,36061.0,A70,A,10038.0,5602.0,5600.0,36061.0,,O,O,0.54613,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199612,58075,58075,199612,1996,NY,10038.0,NEW YORK,1318130491996,A70,C,12,123.0,124.0,480.0,17 JOHN STREET 12TH FLOOR,3.0,0.0,3000.0,AFRICA ACTION,2.0,13.0,0.0,10.0,0.0,1.0,197911.0,,PC,O,AR,A,IN,,A70,A,710000.0
