,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,NteeOldB,NTEECC,NTEECC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,FIPS,MSA_NECH,PMSA,Ntee2007a,Confidence2007a,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,DocCd
9452,113097379,200512,2005,0,65450,0,0,0,0,0,0,33515,33515,98965,118706,232124,0,0,251865,232527,0,0,215925,0,0,0,0,0,0,0,0,33515,0,0,,98965,98965,0,0,0,0,0,0,0,-19741,0,0,0,0,0,0,0,251865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,235263,319.0,1.0,29490260066076.0,2005,N,11385-6930,11385.0,12,319.0,119.0,0.0,7254 65TH PL,3.0,0.0,GLENDALE,1.0,DUSHAN RADOVICH,2.0,11.0,0.0,10.0,0.0,SERBIAN ASSOCIATION OF NEW YORK INC,1.0,199301.0,,NY,rtf05CO,,A23,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.9471700000000001,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,IN,,A23,A,710000.0,90.0
9464,113110485,200512,2005,48854,0,0,0,0,0,0,0,0,0,48854,45454,3930,0,0,14270,4690,13740,760,0,0,0,0,0,0,0,0,0,0,0,0,,48854,48854,0,0,0,0,0,0,0,3400,0,22931,1760,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,372184,0,0,0,0,0,372184,372184,4.0,7.0,0,328.0,1.0,29490112005146.0,2005,N,11234-3402,11234.0,12,328.0,0.0,0.0,1546 E 31ST ST,3.0,0.0,BROOKLYN,1.0,,2.0,11.0,0.0,10.0,0.0,ROCKAWAY PENINSULA CIVIC ASSOC INC,1.0,199211.0,DAVID N DINKINS CTR PHYS CULTURE,NY,rtf05CO,,A40,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.9757399999999999,36047.0,5602.0,5600.0,A40,A,PC,O,AR,A,IN,,A40,A,710000.0,90.0
9501,113163244,200604,2005,6660,700,0,0,36,0,0,0,52163,52163,59523,2973,44069,0,0,27508,44069,0,0,0,0,0,0,0,0,0,0,39989,0,12138,0,,19534,19534,0,0,0,0,0,52127,0,16561,0,0,0,0,0,0,0,27508,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,1.0,29409280030126.0,2006,N,10008-2222,10008.0,4,0.0,0.0,0.0,PO BOX 2222,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,1.0,200201.0,,NY,rtf05CO,,A23,,B,A,A,AR,AR,AR,IN,,O,O,AR,A,0.26181,36061.0,5602.0,5600.0,A23,B,PC,O,AR,A,IN,,A23,A,710000.0,9.0
9530,113212678,200512,2005,166200,0,0,0,0,0,0,0,0,0,166200,138535,43550,0,0,15885,43549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,166200,166200,0,0,0,0,0,0,0,27665,0,0,0,0,0,0,0,15885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0,200.0,1.0,29490210350006.0,2005,N,11354-2827,11354.0,12,200.0,0.0,0.0,35-30 FARRINGTON ST 2FL,3.0,0.0,FLUSHING,1.0,,2.0,11.0,0.0,0.0,0.0,KOREAN AMERICAN NAIL SALON ASSOC OF NEW YORK INC,1.0,199509.0,,NY,rtf05CO,,A23,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.7649699999999999,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,IN,,A23,A,710000.0,90.0
9532,113216404,200509,2004,0,10510,0,0,0,0,0,0,145619,145619,156129,177668,18498,0,0,40037,29478,0,10980,13662,0,0,0,0,0,0,0,0,145619,0,0,,156129,156129,0,0,0,0,0,0,0,-21539,0,0,0,0,0,0,0,40037,0,0,0,0,0,0,0,0,0,0,0,0,21300,186718,0,0,0,208018,21300,4.0,9.0,35201,317.0,1.0,29490196027026.0,2005,N,11210-1233,11210.0,9,317.0,0.0,0.0,1324 FLATBUSH AVE,3.0,0.0,BROOKLYN,1.0,FREDERICK BALLENTYNE,2.0,11.0,0.0,10.0,0.0,CARIBBEAN CUP INC,1.0,199609.0,,NY,rtf05CO,,A23,,C,A,A,AR,AR,AR,IN,,O,O,AR,A,0.70749,36047.0,5602.0,5600.0,A23,C,PC,O,AR,A,IN,,A23,A,710000.0,90.0
9545,113238845,200512,2005,12110,13855,0,0,501,0,0,0,24931,24931,50896,26254,63229,0,0,55210,63327,0,98,0,0,0,0,0,0,0,0,20218,0,4212,0,,30678,30678,0,0,0,0,0,24430,0,4424,3595,0,0,0,0,0,0,55210,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0,205.0,1.0,29409252091246.0,2005,N,11379-2315,11379.0,12,205.0,0.0,0.0,8101 FURMANVILLE AVE,3.0,0.0,MIDDLE VLG,2.0,GINO O LONGO,2.0,11.0,0.0,10.0,0.0,A I A QUEENS INC,1.0,199503.0,,NY,rtf05CO,,A40,,C,A,A,AR,AR,AR,IN,,O,O,AR,A,0.19297999999999998,36081.0,5602.0,5600.0,A40,C,PC,O,AR,A,IN,,A40,A,710000.0,9.0
9549,113248502,200407,2003,0,0,0,0,0,0,0,0,34000,34000,34000,65478,3275,0,0,116445,0,0,0,0,0,0,0,0,0,0,0,0,34000,0,0,,34000,34000,0,0,0,0,0,0,0,-31478,-81692,23690,0,0,0,0,0,116445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,29490325118004.0,2004,N,10010-4606,10010.0,7,,,,,,,,,,,,,,,RECORD TELEVISION NETWORK INC  NOT-FOR-PROFIT,,,,NY,rtf05CO,,A32,,A,A,A,AR,AR,AR,IN,,U,O,AR,A,0.46843999999999997,36061.0,5602.0,5600.0,A32,A,PC,O,AR,A,IN,,A32,A,513120.0,90.0
9557,113261970,200512,2005,0,2800,0,0,0,0,0,0,71875,71875,74675,66642,47002,0,0,38060,47002,0,0,0,0,0,0,0,0,0,0,0,71875,0,0,,74675,74675,0,0,0,0,0,0,0,8033,909,0,0,0,0,0,0,38060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,1.0,29409273056336.0,2005,N,11101-1801,11101.0,12,0.0,0.0,0.0,4503 37TH ST,3.0,0.0,LONG IS CITY,2.0,HYUNG SUK CHOI,2.0,11.0,0.0,10.0,0.0,KOREAN AIR CONDITIONING AND REFRIGERATION ASSOCIATION OF NEW,1.0,200003.0,,NY,rtf05CO,,A23,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.14060999999999998,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,IN,,A23,A,710000.0,9.0
9566,113278319,200512,2005,33922,0,0,0,0,0,0,0,0,0,33922,36308,32009,0,0,34395,32010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33922,33922,0,0,0,0,0,0,0,-2386,0,0,0,0,0,0,0,34395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,1.0,29409259061176.0,2005,N,10038-2015,10038.0,12,0.0,0.0,0.0,150 BEEKMAN ST FL 3,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,1.0,199904.0,,NY,rtf05CO,,A23,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.30868,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,IN,,A23,A,710000.0,9.0
9625,113395787,200512,2005,0,66000,0,0,0,0,0,365,234129,234129,300129,73982,106446,50000,0,94385,106446,0,0,0,0,0,0,0,0,0,0,214086,0,19678,0,,86043,86043,0,0,0,0,0,233765,365,12061,0,0,3825,0,0,0,0,94385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0,200.0,1.0,29490161038026.0,2005,N,10016-3903,10016.0,12,200.0,0.0,0.0,200 MADISON AVENUE,3.0,0.0,NEW YORK,2.0,WILLIAM G CASTAGNOLI,2.0,13.0,0.0,10.0,0.0,MEDICAL ADVERTISING HALL OF FAME INC,1.0,199808.0,,NY,rtf05CO,,A50,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.32122,36061.0,5602.0,5600.0,A50,A,PC,O,AR,A,IN,,A50,A,712110.0,90.0
9669,113477797,200512,2005,29080,5550,0,0,0,0,0,0,39106,39106,73736,71450,200131,0,0,631017,814627,399496,614496,40131,0,0,0,0,0,0,30354,3322,0,28984,0,,40060,40060,-23554,0,0,0,0,32306,0,-31390,0,0,0,0,0,399496,539496,231521,0,0,0,0,0,0,6800,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,71521,0.0,1.0,29490176238076.0,2005,N,11105-2402,11105.0,12,0.0,0.0,0.0,2227 33RD ST,3.0,0.0,ASTORIA,3.0,,2.0,11.0,0.0,0.0,0.0,SYLLOGOS KRETON MINOS INC,1.0,199908.0,,NY,rtf05CO,,A23,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.21563000000000002,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,IN,,A23,A,710000.0,90.0
9901,116024777,200512,2005,0,1240,0,0,194,0,0,0,32134,32134,33374,7846,31896,0,0,29484,31896,0,0,0,0,0,0,0,0,0,0,23116,0,8824,0,,10258,10258,0,0,0,0,0,31940,0,2412,0,0,0,0,0,0,0,29484,0,0,0,0,0,0,0,194,0,0,0,0,8784,103455,1482,0,0,113721,10266,5.0,9.0,0,263.0,1.0,29409336052206.0,2005,N,11417-0185,11417.0,12,263.0,264.0,267.0,PO BOX 185,3.0,0.0,JAMAICA,3.0,,2.0,11.0,0.0,10.0,0.0,NEW YORK TURF WRITERS ASSOCIATION INC OZONE PARK,1.0,196311.0,,NY,rtf05CO,,A70,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.92406,36081.0,5602.0,5600.0,A70,A,PC,O,AR,A,IN,,A70,A,710000.0,9.0
9932,116036702,200604,2005,0,23037,0,0,1087,0,47992,12802,104725,56733,127762,76812,182597,0,0,357273,366375,168091,138827,177221,0,0,0,0,0,0,0,9543,0,9651,23650,,70227,70227,0,0,0,0,0,19194,60794,-6585,0,0,0,0,0,0,0,189182,0,0,0,0,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,183809,904.0,1.0,29490266105276.0,2006,N,11693-1105,11693.0,4,904.0,602.0,328.0,1622 CHURCH RD,3.0,0.0,BROAD CHANNEL,1.0,,2.0,11.0,0.0,10.0,0.0,NORTH CHANNEL YACHT CLUB INC,1.0,195712.0,,NY,rtf05CO,,A32,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.0395,36081.0,5602.0,5600.0,A32,A,PC,O,AR,A,IN,,A32,A,513120.0,90.0
9980,116042353,200509,2004,0,102597,0,0,104,0,0,0,104,104,102701,93703,13434,0,0,24707,43935,20271,30501,0,0,0,0,0,0,0,0,0,0,0,0,,102701,102701,0,0,0,0,0,0,0,8998,0,0,0,0,0,0,0,4436,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0,263.0,1.0,29490049044106.0,2005,N,10007-2233,10007.0,9,263.0,59.0,264.0,125 BARCLAY ST,9.0,0.0,NEW YORK CITY,3.0,WILSON SOUFFRANT,2.0,13.0,0.0,10.0,1381.0,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,5.0,195708.0,1502 NY LOC NYC BROOKLYN MUSEUM EMP,NY,rtf05CO,,A50,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.78591,36061.0,5602.0,5600.0,A50,A,PC,O,AR,A,IN,,A50,A,712110.0,90.0
10020,116102176,200512,2005,0,187888,0,0,0,0,0,0,0,0,187888,247571,-7237,60621,0,54863,56801,2417,2417,53384,0,0,0,0,0,0,0,0,0,0,0,,187888,187888,0,0,0,0,0,0,0,-59683,0,0,17767,0,0,0,0,52446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,52446,263.0,1.0,29490098138086.0,2005,N,11418-2334,11418.0,12,263.0,264.0,279.0,10916 JAMAICA AVE,9.0,0.0,RICHMOND HILL,3.0,GAETANO J TESORIERO,2.0,11.0,0.0,10.0,685.0,NATIONAL ASSOCIATION OF LETTER CARRIERS,5.0,194409.0,0562 JAMAICA NEW YORK,NY,rtf05CO,,A23,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.9562,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,IN,,A23,A,710000.0,90.0
10089,130417765,200512,2005,0,2731606,0,0,53380,0,0,0,2919525,2919525,5651131,5206220,797769,610879,0,1382764,2483776,1029906,1686007,0,0,0,0,0,0,0,0,0,2760977,0,105168,,5651131,5651131,0,0,0,0,0,0,0,444911,0,1399325,127727,0,0,0,0,352858,0,0,0,0,53380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0,919.0,1.0,29490196054196.0,2005,Y,10016-8013,10016.0,12,919.0,0.0,0.0,432 PARK AVE S FL 6,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,ADVERTISING RESEARCH FOUNDATION INC,1.0,194303.0,,NY,rtf05CO,,A03,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.01295,36061.0,5602.0,5600.0,A03,A,PC,O,AR,A,IN,,A03,A,813920.0,90.0
10101,130431735,200503,2004,0,489964,0,0,2631,0,0,0,111743,111743,601707,574482,-55956,15900,0,535501,561194,618682,617150,0,0,0,0,0,0,0,0,0,0,0,109112,,601707,601707,0,0,0,0,0,0,0,27225,0,194067,19125,0,0,0,0,-83181,0,0,0,0,2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0,263.0,1.0,29490070319286.0,2005,N,10001-3904,10001.0,3,263.0,0.0,0.0,363 7TH AVE FL 17,2.0,0.0,NEW YORK,3.0,,2.0,13.0,0.0,10.0,0.0,AMERICAN GUILD OF VARIETY ARTISTS,5.0,195711.0,,NY,rtf05CO,,A40,,C,A,A,AR,AR,AR,IN,,O,O,AR,A,0.60733,36061.0,5602.0,5600.0,A40,C,PC,O,AR,A,IN,,A99,A,710000.0,90.0
10110,130452378,200504,2004,0,560265,0,0,13007,0,0,0,13007,13007,573272,545594,556472,17500,0,530142,557278,1348,806,556472,0,0,0,0,0,0,0,0,0,0,0,M,573272,573272,0,0,0,0,0,0,0,27678,0,0,1872,0,0,0,0,528794,0,0,0,0,0,13007,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,528794,263.0,1.0,29490365300105.0,2005,N,10036-2501,10036.0,4,263.0,264.0,0.0,165 W 46ST,3.0,0.0,NEW YORK,3.0,,2.0,13.0,0.0,10.0,0.0,ASSOCIATED ACTORS AND ARTISTES OF AMERICA,5.0,193809.0,,NY,rtf05CO,,A65,,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.8841700000000001,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,IN,,J40,J,813930.0,90.0
10112,130452445,200506,2004,0,3811265,554538,522593,112675,0,3784,16970,2487858,1930821,6299123,5090162,3305695,743846,0,3892118,4169150,945811,874658,0,0,0,0,0,0,0,0,283611,1123633,139144,223274,,5458475,5458475,0,31945,30229,30660,-431,422755,20754,368313,-8925,637116,85266,0,0,0,0,2946307,0,0,0,0,15312,97363,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0,59.0,1.0,29490070277286.0,2005,N,10017-5707,10017.0,6,59.0,200.0,0.0,675 THIRD AVENUE,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,AMERICAN BUSINESS MEDIA INC,1.0,193504.0,,NY,rtf05CO,,A03,30.0,A,A,A,AR,AR,AR,IN,,O,O,AR,A,0.06799,36061.0,5602.0,5600.0,A0330,A,PC,O,AR,A,IN,,S41,S,813910.0,90.0
