,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,FIPS,MSA_NECH,PMSA,FipsOldA,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
76544,237044630,200505,2005,200621.0,29491077037006,,N,Y,0.0,1.0,2004,3.0,1.0,1.0,3,119,1071,0,0,0,0,0,0,0,1071,325,746,0,0,0,1476,0,0,0,0,0,1476,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,325,0,0,0,0,1476,0,0,0,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10025.0,RIVERSIDE THEATER WORKSHOP INC,,280 RIVERSIDE DR STE 10E,NEW YORK,NY,10025-9027,0.0,3.0,1.0,196912.0,1.0,4.0,119.0,59.0,0.0,1.0,13.0,0.0,1.0,5,,,A65,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.279125,B,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A65,A
76704,311811031,200504,2005,200608.0,29491323007125,A20,N,Y,0.0,1.0,2004,3.0,1.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10016.0,THE GABARRON FOUNDATION INC,THE CARRIAGE HOUSE,149 E 38TH ST,NEW YORK,NY,10016-2604,0.0,3.0,2.0,200205.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,4,,,A20,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.378065,B,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A20,A
76705,311815304,200511,2005,200610.0,29491042039186,A65,N,Y,0.0,1.0,2004,3.0,1.0,1.0,3,0,1000,0,0,0,0,0,0,0,1000,0,1000,0,0,0,1000,0,0,0,0,0,1000,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10024.0,THE CONSTANT THEATER FOUNDATION INC,ROBERT CAMP,365 WEST END AVE SUITE 7 C,NEW YORK,NY,10024-6560,0.0,3.0,1.0,200207.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,11,,,A12,A,PF,S,ZB,A,A,IN,,,AR,AR,AR,0.937258,B,36061.0,5602.0,5600.0,,,,,core2005pf,PC,S,ZB,A,IN,,A1265,A
77109,522262698,200510,2005,200644.0,29491273071036,A20,N,Y,0.0,1.0,2004,2.0,1.0,1.0,3,0,3000,738,0,0,0,0,15000,0,3738,346423,-342685,346423,738,738,430,0,0,0,0,0,430,0,11945,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,738,738,346423,0,346423,0,0,0,0,0,0,430,15,0,0,0,0,0,0,0,0,15,242531,0,738,0,0,0,738,346423,0,0,0,346423,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10014.0,INSTITUTE FOR CULTURAL ENTERPRISE INC,MECCAD,302 A W 12TH ST 120,NEW YORK,NY,10014-0000,0.0,3.0,1.0,200304.0,1.0,15.0,0.0,0.0,0.0,1.0,13.0,200410.0,10.0,10,,,A23,A,PC,O,AR,A,A,IN,,,AR,AR,AR,0.894453,B,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A23,A
78076,134012144,200412,2004,200734.0,29491216102177,A23,N,N,0.0,1.0,2004,3.0,3.0,2.0,3,0,10141,0,0,0,0,0,0,0,10141,34015,-23874,0,0,0,73439,0,0,0,0,0,73439,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,34015,0,0,0,0,32800,0,0,0,73439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11223.0,JEWISH ALLIANCE FOR PERFORMING ARTS INC,,PO BOX 230098,BROOKLYN,NY,11223-0098,0.0,3.0,1.0,200005.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,A01,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.191054,A,36047.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A0160,A
78080,113309848,200412,2004,200732.0,29491104016237,A700,N,N,0.0,1.0,2004,3.0,3.0,3.0,3,994,54570,0,0,0,0,0,0,0,54570,57083,-2513,0,0,0,30855,0,0,0,0,233864,30855,62,62,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,57083,0,0,0,0,8070,0,0,207774,-203009,0,0,0,0,0,0,0,0,0,0,1250,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10036.0,PAUL ROBESON FOUNDATION INC,ELIZABETH J SALEN,1560 BROADWAY SUITE 1600,NEW YORK,NY,10036-1518,0.0,3.0,1.0,199610.0,1.0,4.0,994.0,64.0,0.0,1.0,1.0,0.0,1.0,12,,,A70,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.13892100000000002,A,36061.0,5602.0,5600.0,,,,,core2005pf,PC,O,AR,A,IN,,A70,A
78091,10547898,200312,2003,200451.0,29491311026054,A80,N,Y,0.0,1.0,2003,3.0,4.0,2.0,3,0,20000,0,0,0,0,0,0,0,20000,2244,17756,2244,0,0,135325,0,0,0,0,125000,135325,0,0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,2244,2244,2244,2244,0,10325,0,0,0,10325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003.0,WTC PLATFORM FOUNDATION INC,MILGROM GALUSKIN BALMUTH & CO CPA,5 UNION SQ W,NEW YORK,NY,10003-3306,0.0,3.0,1.0,200205.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A80,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.458108,C,36061.0,5602.0,5600.0,,,,,core2005pf,PF,S,AR,A,IN,,A80,A
78264,133573803,200312,2003,200424.0,29491143247154,,N,Y,0.0,1.0,2003,3.0,1.0,1.0,3,119,0,0,0,0,0,0,0,0,1,194,-193,194,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,194,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10022.0,FILM FOUNDATION INC,STARR & COMPANY,445 PARK AVE 7TH FLR,NEW YORK,NY,10022-2606,0.0,3.0,1.0,199008.0,1.0,4.0,119.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A31,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.42863199999999996,B,36061.0,5602.0,5600.0,,,,,core2005pf,PF,S,AR,A,IN,,A31,A
78623,300136129,200406,2004,200432.0,29491206006214,A65,N,Y,0.0,20.0,2003,2.0,1.0,3.0,3,0,39401,19,0,-3127,0,8053,2355,89,44626,37589,7037,17360,299,2248,1,0,0,0,0,0,1,0,1,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,280,0,299,8053,37500,0,17271,0,5805,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,22,0,1,0,0,0,1,17360,39257,0,0,56617,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10009.0,BOTTLE FACTORY THEATER COMPANY,AMANDA GRUSS,195 E 3RD ST,NEW YORK,NY,10009-7424,0.0,3.0,2.0,200301.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,6,,,A65,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.403409,C,36061.0,5602.0,5600.0,,,,,core2005pf,PF,O,AR,A,IN,,A65,A
78656,311595881,200312,2003,200445.0,29491290070234,A31Z,N,Y,0.0,1.0,2003,3.0,2.0,4.0,3,994,287846,0,0,0,0,38675,35922,3500,326521,316739,9782,3500,0,38675,19782,0,0,0,0,0,19782,0,80,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,38675,313239,0,0,0,0,1020,0,0,0,19782,0,0,0,0,0,0,0,0,0,0,1620,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10170.0,URBANWORLD FOUNDATION INC,FEINSTEIN MGT,420 LEXINGTON AVE STE 215,NEW YORK,NY,10170-0014,0.0,3.0,1.0,199807.0,1.0,4.0,994.0,62.0,0.0,1.0,13.0,0.0,1.0,12,,,A31,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.8102050000000001,C,36061.0,5602.0,5600.0,,,,,core2005pf,PF,S,AR,A,IN,,A31,A
79271,611446755,200312,2003,200436.0,29491234058174,A31,N,Y,0.0,1.0,2003,2.0,3.0,4.0,3,0,158223,0,0,0,0,0,0,0,158223,136712,21511,28181,0,0,41792,0,0,0,0,20281,41792,0,868,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,136712,0,28181,0,107500,37774,0,0,0,21511,0,0,0,0,0,0,0,0,0,0,20896,0,1,0,0,0,1,28181,0,0,0,28181,1,0,0,0,1,0,0,0,0,0,579,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10119.0,FONDAZIONE PRADA NEW YORK INC,GEORGE R FUNARO & CO PC,1 PENN PLZ,NEW YORK,NY,10119-0002,0.0,3.0,1.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A31,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.230479,C,36061.0,5602.0,5600.0,,,,,core2005pf,PF,O,AR,A,IN,,A31,A
79796,10733159,200312,2003,200426.0,29491164220004,A70,N,Y,0.0,1.0,2003,2.0,4.0,1.0,3,0,0,0,0,0,0,1547,20625,0,1547,53313,-51766,51764,0,0,124223,0,0,0,0,0,124223,0,0,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,0,1547,53313,0,51764,0,1549,28223,0,0,0,124223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,51764,0,0,0,51764,124223,0,0,0,124223,0,0,0,0,0,1941,3562,0,0,5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10011.0,FELIX GONZALEZ-TORRES FOUNDATION,ANDREA M ROSEN,525 W 24TH ST,NEW YORK,NY,10011-1104,0.0,3.0,1.0,200307.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,A70,A,PF,O,AR,A,A,IN,,,AR,AR,AR,0.72822,C,36061.0,5602.0,5600.0,,,,,core2003pf,PF,O,AR,A,IN,,A70,A
