,EIN,CYCLE,DLN,NTEEIRS,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NteeOldB,NTEECC,NteeCC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,FIPS,MSA_NECH,PMSA,NteeFinal,nteeFinal1,DirSupEstimate,DirSupCode,DirSupYr,GovGtEstimate,GovGtCode,GovGtYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,IndSupEstimate,IndSupCode,IndSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LONGITUDE,LATITUDE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr
2604,10730531,200707.0,85409020001157.0,A50,200512,2005,88674,0,0,0,0,0,0,0,0,0,88674,49017,50337,0,0,10680,50337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,88674,88674,0,0,0,0,0,0,0,39657,0,0,0,0,0,0,0,10680,0,0,0,0,0,0,0,0,0,0,0,62725,0,0,0,0,0,62725,62725,3,9,0,0,0.0,1.0,2005,N,11354-7398,11354.0,10730531200512,107305312005,12,0.0,0.0,0.0,PO BOX 541398,3.0,200606.0,FLUSHING,1.0,ALBERT STERN,1.0,11.0,15.0,10.0,0.0,FRIENDS OF THE NEW YORK CITY HALL OF FAME,1.0,200210.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A1150,50.0,A,A,A,AR,AR,AR,IN,,PC,S,ZA,A,0.36889,36081.0,5602.0,5600.0,A1150,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,,,,-73.8271,40.7686,PC,S,ZA,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
2633,10734181,200703.0,29409357040216.0,A032,200512,2005,46041,10725,0,0,0,0,0,0,25750,25750,82516,95921,-694,0,0,12711,0,0,694,0,0,0,0,0,0,0,0,0,15000,0,10750,,82516,82516,0,0,0,0,0,0,0,-13405,0,0,0,0,0,0,0,12711,0,0,0,0,0,0,0,0,0,0,0,46723,10490,15022,0,0,0,72235,57213,3,9,0,0,0.0,1.0,2005,N,10003-2965,10003.0,10734181200512,107341812005,12,0.0,0.0,0.0,151 1ST AVE,3.0,200712.0,NEW YORK,1.0,HOWARD MANDEL,1.0,13.0,16.0,10.0,0.0,JAZZ JOURNALISTS ASSOCIATION,1.0,200406.0,,NY,rtf06pc,0.0,1.0,1.0,1.0,,A6C,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.0708814,36061.0,5602.0,5600.0,A6C,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.9891,40.7316,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
2836,10769997,,,,200412,2004,500000,0,0,0,8456,0,0,0,8456,8456,508456,117361,878359,0,0,500000,891095,12736,12736,0,0,0,0,0,0,0,0,0,0,0,0,,508456,508456,0,0,0,0,0,0,0,391095,0,0,0,0,0,0,0,487264,0,0,0,0,8456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,,,2004,N,10128-0112,10128.0,10769997200412,107699972004,12,0.0,0.0,0.0,1071 5TH AVE,3.0,0.0,NEW YORK,1.0,THOMAS KRENS,1.0,13.0,17.0,20.0,0.0,HERMITAGE-GUGGENHEIM FOUNDATION INC,1.0,200311.0,,NY,core05pc,,,,,,A51,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.801955,36061.0,5602.0,5600.0,A51,A,500000,5,2004.0,0.0,5,2004.0,878359.0,2,2005.0,0.0,8,2004.0,0.0,2,2005.0,0.0,2,2005.0,0.0,0,2004.0,0.0,2,2005.0,0.0,5,2004.0,0.0,4,2005.0,-73.9507,40.7819,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
2862,10775069,200734.0,29490216084007.0,A30,200612,2006,8000,0,0,0,166,7722,0,0,106541,106541,114541,172410,48826,51451,0,118478,57009,10000,8183,0,0,0,0,0,0,0,0,0,106375,0,0,,114541,114541,0,0,0,0,0,0,0,-57869,-1783,0,0,0,0,0,0,108478,0,0,0,0,166,0,0,0,0,0,0,336523,0,50775,0,0,0,425012,374237,3,7,0,0,0.0,1.0,2006,N,11213-1584,11213.0,10775069200612,107750692006,12,0.0,0.0,0.0,1276 BERGEN ST APT 4,3.0,0.0,BROOKLYN,2.0,CATHERINE BORGMAN-ARBOLEDA,1.0,11.0,15.0,10.0,0.0,CENTER FOR INTERNATIONAL MEDIA ACTION INC,1.0,200403.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A30,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.21159699999999998,36047.0,5602.0,5600.0,A30,A,8000,8,2006.0,0.0,8,2006.0,48826.0,8,2006.0,3676.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,0,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,8,2005.0,-73.9366,40.6708,PC,O,AR,A,IN,,,,,,,,,,,,,
2903,10782375,,29409224031146.0,,200512,2005,40676,0,0,0,0,0,0,0,0,0,40676,46097,-5421,0,0,15657,15657,15657,15657,0,0,0,0,0,0,0,0,0,0,0,0,,40676,40676,0,0,0,0,0,0,0,-5421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,,2005,N,11375-2749,11375.0,10782375200512,107823752005,12,0.0,0.0,0.0,10118 QUEENS BLVD,3.0,200712.0,FOREST HILLS,1.0,NIKOLOZ CHKHEIDZE,1.0,11.0,16.0,10.0,0.0,TVISTOMI ASSOCIATION CORP,1.0,200405.0,,NY,core05pc,,,,,,A32,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.24966300000000002,36081.0,5602.0,5600.0,A32,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.845,40.7228,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
2994,10798319,200731.0,29490195345047.0,A65,200606,2005,21067,0,0,0,37,1300,0,0,63832,63832,84899,118659,29303,0,0,65227,29648,2164,403,0,0,0,0,0,0,0,0,0,63795,0,0,,84899,84899,0,0,0,0,0,0,0,-33760,0,33301,4795,0,0,0,0,63063,0,0,0,0,37,0,0,0,0,0,0,21549,0,202833,0,0,0,224382,21549,3,7,0,0,0.0,1.0,2006,N,10018-4707,10018.0,10798319200606,107983192006,6,0.0,0.0,0.0,505 8TH AVE RM 1802,3.0,0.0,NEW YORK,2.0,GLATZER,1.0,13.0,16.0,10.0,0.0,TANK LTD,1.0,200503.0,,NY,rtf06pc,1.0,1.0,1.0,2.0,,A65,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.113657,36061.0,5602.0,5600.0,A65,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.9967,40.7557,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
3031,10808098,200739.0,29490251011117.0,A32,200612,2006,204646,0,0,0,0,88423,0,0,0,0,204646,251347,-46234,0,0,9171,22497,8704,68731,0,0,0,0,0,0,0,0,0,0,0,0,,204646,204646,0,0,0,0,0,0,0,-46701,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,477792,0,0,0,0,0,477792,477792,3,7,0,0,0.0,1.0,2006,N,10012-1055,10012.0,10808098200612,108080982006,12,0.0,0.0,0.0,143 W 4TH ST,3.0,200812.0,NEW YORK,1.0,WILLIAM H SCHAAP,1.0,13.0,15.0,10.0,0.0,INDEPENDENT WORLD TELEVISION INC,1.0,200503.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A32,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.7249800000000001,36061.0,5602.0,5600.0,A32,A,204646,4,2006.0,0.0,4,2006.0,-46234.0,4,2006.0,0.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-73.9979,40.7253,PC,O,AR,A,IN,,,,,,,,,,,,,
3104,10825812,200736.0,29490223091197.0,A61,200609,2005,404750,0,0,0,1,32457,0,0,193177,193177,597927,545758,93552,66790,0,70962,95142,29579,1590,0,0,0,0,0,0,0,0,0,197439,0,-4263,,597927,597927,0,0,0,0,0,0,0,52169,0,0,11142,0,0,0,0,41383,0,0,0,0,1,0,0,0,0,0,0,3100,0,66146,1,0,0,69247,3101,3,7,0,0,0.0,1.0,2006,N,10014-1947,10014.0,10825812200609,108258122006,9,0.0,0.0,0.0,302A W 12TH ST 209,3.0,200909.0,NEW YORK,1.0,MARTIN PLATT,1.0,13.0,16.0,10.0,0.0,PERRY STREET THEATRE COMPANY INC,1.0,200612.0,,NY,rtf06pc,1.0,3.0,3.0,3.0,,A65,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.43577899999999997,36061.0,5602.0,5600.0,A65,A,404750,4,2006.0,0.0,4,2006.0,93552.0,4,2006.0,650.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,448.0,2,2006.0,-74.0071,40.733000000000004,PC,O,AR,A,IN,,,,,,,,,,,,,
3467,20223438,200742.0,29490272153227.0,,200612,2006,67105,0,27796,0,26560,3960,0,0,57026,57026,124131,128653,2291699,0,0,2180683,2291699,0,0,0,0,0,0,0,0,0,0,0,0,0,787,,124131,124131,1883,27796,0,0,0,0,0,-4522,115538,26400,2799,0,0,0,0,2180683,0,0,0,0,47,26513,1883,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,62.0,1.0,2006,N,10017-1920,10017.0,20223438200612,202234382006,12,62.0,0.0,0.0,17 E 47TH ST,3.0,0.0,NEW YORK,1.0,ROGER HOOKER,1.0,13.0,17.0,10.0,0.0,SAINT-GAUDENS MEMORIAL,1.0,194703.0,,NY,rtf06pc,4.0,2.0,2.0,2.0,,A80,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.23548000000000002,36061.0,5602.0,5600.0,A80,A,67105,2,2007.0,0.0,2,2007.0,2280951.0,2,2007.0,772280.0,8,2006.0,10666.0,2,2007.0,0.0,2,2007.0,0.0,0,2006.0,0.0,2,2007.0,0.0,2,2007.0,734824.0,2,2006.0,-73.9728,40.7519,PC,O,AR,A,IN,,1221654.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,8667.0,6,2003.0
4871,20557576,200739.0,29490251299037.0,A50,200612,2006,95900,0,0,0,843,0,0,0,843,843,96743,89464,111615,0,0,109211,111615,4875,0,0,0,0,0,0,0,0,0,0,0,0,0,,96743,96743,0,0,0,0,0,0,0,7279,0,0,0,0,0,0,0,104336,0,0,0,0,843,0,0,0,0,0,0,418435,0,0,439,0,0,418874,418874,3,7,0,0,0.0,1.0,2006,N,10041-0004,10041.0,20557576200612,205575762006,12,0.0,0.0,0.0,55 WATER ST CONCOURSE LEVEL,3.0,200612.0,NEW YORK,2.0,NEW WATER STREET CORPORATION,1.0,13.0,15.0,10.0,0.0,FRIENDS OF THE PLAZA-VVP CORPORATION,1.0,200211.0,,NY,rtf06pc,2.0,1.0,1.0,1.0,,A80,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.14014400000000002,36061.0,5602.0,5600.0,A80,A,95900,4,2006.0,0.0,4,2006.0,111615.0,4,2006.0,0.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-74.0113,40.705,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,111615.0,6,2003.0
