,FILER,ACTIVCD1,SUBSECCD,POPCODE,styear,REASON,CODE990,INCCD,ASCD,EIN,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,LEVEL3,LEVEL4,RandNum,nteeConf,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
12176,990.0,919,6,1,1989,0,1,6,6,130453230,0,3462905,0,0,74669,0,0,0,1432530,1432530,4895435,4685327,117140,661235,0,1868976,1735696,1961944,1618556,117140,0,0,0,0,0,0,0,0,0,0,N,ASSOC NAT ADVERTISERS,NEW YORK,NY,10017-4201,10017.0,36061,A30,A,,5602.0,5600.0,,,O,O,AR,A,0.49632,,A,IN,,Q,AR,AR,AR,Z99,C,,,199011,199011,1990,NY,10017.0,,S41,A,11,919.0,205.0,0.0,155 E 44TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,5.0,4208.0,,PC,O,AR,A,OUT,S,S41,S,813910.0
12186,990.0,298,4,1,1990,0,1,3,6,130508050,0,0,0,0,173755,0,0,0,82945,82945,82945,7561,1269402,0,0,1295485,1370869,101467,101467,1260417,0,0,0,0,0,0,0,0,0,0,N,BOHEMIAN BENEVOLENT & LITERARY ASSOC NEW YORK CITY,NEW YORK,NY,10021-3705,10021.0,36061,A70,A,,5602.0,5600.0,,,O,O,AR,A,0.19222999999999998,,A,IN,,Q,AR,AR,AR,Z99,C,,,199106,199106,1991,NY,10021.0,,A23,B,6,298.0,318.0,319.0,321 E 73RD ST,3.0,0.0,3000.0,JAN HIRD POKORNY PRESIDENT,2.0,13.0,0.0,10.0,0.0,5.0,6501.0,TY,PC,O,AR,A,OUT,S,A23,A,710000.0
12260,990.0,279,5,1,1990,0,1,5,4,130872850,0,662758,0,0,10414,0,0,0,84781,84781,747539,847353,221968,109084,0,322640,227810,858,5842,0,0,0,0,0,0,0,0,0,0,0,N,INTERNATIONAL ALLIANCE THEATRICAL STAGE EMP & MVG,NEW YORK,NY,10018-6505,10018.0,36061,A65,A,,5602.0,5600.0,,,O,O,AR,A,0.70455,,A,IN,,Q,AR,AR,AR,Z99,C,,,199105,199105,1991,NY,10018.0,,A65,A,5,279.0,268.0,0.0,505 EIGHTH AVE,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4104.0,PIC MACH OP-US&CAN,PC,O,AR,A,OUT,S,J40,J,813930.0
12272,990.0,119,6,1,1989,0,1,6,6,130951470,0,1276276,0,0,162350,0,0,0,519218,519218,1795494,1749294,1230442,255114,0,1473024,1699540,287830,469098,0,0,0,0,0,2900,0,0,0,0,0,N,LEAGUE AMER THEATRES & PRODUCERS,NEW YORK,NY,10036-1413,10036.0,36061,A99,A,,5602.0,5600.0,,,O,O,AR,A,0.30219,,A,IN,,Q,AR,AR,AR,Z99,C,,,199008,199008,1990,NY,10036.0,,A0365,A,8,119.0,205.0,279.0,226 W 47TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4210.0,,PC,O,AR,A,OUT,S,A0365,A,813920.0
12275,990.0,119,7,1,1989,9,1,4,3,130971750,7051,3753,0,0,77,0,0,0,252183,252183,262987,252761,33939,0,0,42614,43235,13245,9296,0,0,0,0,0,0,0,0,0,0,0,N,LIEDERKRANZ CITY NEW YORK,NEW YORK,NY,10128-0505,10128.0,36061,A6A,A,,5602.0,5600.0,,,O,O,AR,A,0.34988,,A,IN,,Q,AR,AR,AR,Z99,A,,,199006,199006,1990,NY,10128.0,,A6A,A,6,119.0,916.0,318.0,6 E 87TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3907.0,,PC,O,AR,A,OUT,S,A6A,A,711130.0
12313,990.0,200,6,1,1990,0,1,7,6,131087160,151158,4998755,625925,512632,393864,0,0,0,2729930,2217298,7879843,8267297,4141956,1245841,0,3864077,4461159,0,319203,4141956,0,0,0,0,0,0,0,0,0,0,N,MAGAZINE PUBLISHERS AMERICA,NEW YORK,NY,10022-3801,10022.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.7844399999999999,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10022.0,,A33,A,12,200.0,0.0,0.0,919 THIRD AVE 22ND FL,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4209.0,,PC,O,AR,A,OUT,S,A0333,A,813920.0
12326,990.0,200,6,1,1989,0,1,4,3,131101367,0,70704,0,0,4591,0,53060,-11546,97508,44448,168212,128891,42102,0,0,65231,94144,9390,52042,42102,0,0,0,0,0,0,0,0,0,0,Y,NEW YORK SOC ARCHITECTS,NEW YORK,NY,10001-6708,10001.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.18307,,A,IN,,Q,AR,AR,AR,Z99,C,,,199011,199011,1990,NY,10001.0,,A03,B,11,200.0,205.0,0.0,275 SEVENTH AVE 15TH FLR,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4208.0,,PC,O,AR,A,OUT,S,A03,A,813920.0
12380,990.0,200,6,1,1990,0,1,5,5,131374145,0,265919,0,0,43690,0,0,0,283192,283192,549111,435007,515821,74302,0,530267,518408,0,2587,0,0,0,0,0,0,0,0,0,0,0,Y,TEXTILE DISTRIBUTORS ASSOC,NEW YORK,NY,10018-7904,10018.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.90171,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10018.0,,A40,A,12,200.0,279.0,0.0,45 W 36TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4409.0,,PC,O,AR,A,OUT,S,A40,A,710000.0
12389,990.0,205,6,1,1990,0,1,6,5,131394480,0,629723,0,0,34497,0,5387,7090,390258,384871,1019981,1087461,47462,104330,0,609777,653960,489447,606497,0,0,0,0,0,0,0,0,0,0,0,N,TRAFFIC AUDIT BUREAU MEDIA MEASUREMENT,NEW YORK,NY,10170-2599,10170.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.9028799999999999,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10170.0,,A30,B,12,205.0,0.0,0.0,420 LEXINGTON AVE 2520,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5501.0,,PC,O,AR,A,OUT,S,A30,A,510000.0
12399,990.0,263,5,1,1990,0,1,3,3,131406872,63210,0,0,0,64,0,0,0,64,64,63274,45174,7160,0,0,16200,26731,27140,19571,0,0,0,0,0,0,0,0,0,0,0,N,INTERNATIONAL ALLIANCE THEATRICAL STAGE EMP & MVG,NEW YORK,NY,10036-5701,10036.0,36061,A65,A,,5602.0,5600.0,,,O,O,AR,A,0.03845,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10036.0,,A65,A,12,263.0,0.0,0.0,1515 BROADWAY 601,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4407.0,PIC MACH OP-US&CAN,PC,O,AR,A,OUT,S,A65,A,711110.0
12431,990.0,205,6,1,1988,0,1,6,5,131505524,0,433033,521269,497784,57592,0,51881,14234,671124,121459,1104157,710064,595628,76534,0,890303,805663,153687,210035,0,0,0,0,0,0,0,0,0,0,0,N,AMERICAN INSTITUTE OF ARCHITECTS N Y CHAPTER,NEW YORK,NY,10022-6830,10022.0,36061,A40,A,,5602.0,5600.0,,,O,O,AR,A,0.26247,,A,IN,,Q,AR,AR,AR,Z99,B,,,198812,198812,1988,NY,10022.0,,A40,B,12,205.0,40.0,279.0,200 LEXINGTON AVE RM 602,0.0,0.0,1000.0,,2.0,13.0,11.0,10.0,0.0,1.0,4208.0,N Y CHAPTER,PC,O,AR,A,OUT,S,A40,A,710000.0
12445,990.0,119,6,1,1990,0,1,3,3,131520977,0,40275,0,0,1542,0,0,0,1542,1542,41817,48014,59679,0,0,65876,59679,0,0,0,0,0,0,0,0,0,0,0,0,0,N,ART & ANTIQUE DEALERS LEAGUE AMERICA,NEW YORK,NY,10021-1313,10021.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.6251399999999999,,A,IN,,Q,AR,AR,AR,Z99,B,,,199109,199109,1991,NY,10021.0,,A0380,A,9,119.0,0.0,0.0,353 E 78TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7601.0,,PC,O,AR,A,OUT,S,A0380,A,813920.0
12454,990.0,059,8,1,1990,0,1,3,2,131530748,1635,13099,0,0,0,0,0,0,40189,40189,54923,32472,14139,0,0,17028,14543,796,404,0,0,0,0,0,0,0,0,0,0,0,N,CINEMA RADIO TV UNIT 6000,NEW YORK,NY,10036-7209,10036.0,36061,A32,A,,5602.0,5600.0,,,O,O,AR,A,0.28888,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10036.0,,A32,A,12,59.0,29.0,349.0,229 W 42ND ST,9.0,0.0,1000.0,,1.0,13.0,0.0,20.0,947.0,5.0,4606.0,,PC,O,AR,A,OUT,S,A32,A,513120.0
12481,990.0,119,7,1,1989,0,1,5,4,131572247,0,163838,0,0,17373,0,222356,308961,557699,335343,721537,468044,320885,0,0,453655,482677,163907,161792,0,9775,0,0,0,0,0,0,0,0,0,N,METRO OPERA CLUB,NEW YORK,NY,10023-0000,10023.0,36061,A11,A,,5602.0,5600.0,,,O,S,ZA,A,0.79379,,A,IN,,Q,AR,AR,AR,Z99,A,,,199007,199007,1990,NY,10023.0,,A11,A,7,119.0,319.0,0.0,LINCOLN CENTER,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4608.0,,PC,S,ZA,A,OUT,S,A11,A,813219.0
12491,990.0,919,6,1,1990,0,1,4,5,131583260,0,419073,0,0,47220,0,0,0,47220,47220,466293,438697,174209,154553,0,635119,736119,488506,561910,0,0,0,0,0,0,0,0,0,0,0,N,STATION REPRESENTATIVES ASSOC,NEW YORK,NY,10169-0005,10169.0,36061,A30,A,,5602.0,5600.0,,,O,O,AR,A,0.02,,A,IN,,Q,AR,AR,AR,Z99,C,,,199106,199106,1991,NY,10169.0,,A01,C,6,919.0,200.0,0.0,230 PARK AVE,3.0,0.0,2000.0,KATZ MEDIA J BELOYIANIS,2.0,13.0,0.0,10.0,0.0,1.0,6910.0,,PC,O,AR,A,OUT,S,A01,A,813319.0
12560,,908,4,0,1990,0,1,0,0,131673348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,OLD GUARD CITY NEW YORK,NEW YORK,NY,10024-1001,10024.0,36061,A82,A,,5602.0,5600.0,,,O,O,AR,A,0.0873,,A,IN,,Q,AR,AR,AR,Z99,A,,,199102,199102,1991,NY,10024.0,,W20,C,2,908.0,0.0,0.0,307 W 91ST ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5203.0,,PC,O,AR,A,OUT,S,W20,W,813410.0
12586,990.0,000,3,1,1990,9,1,3,2,131694606,53150,34609,0,0,133,0,0,0,133,133,87892,82020,13886,4050,0,8014,13998,0,112,13886,0,0,0,0,0,0,0,0,0,0,N,NEW REVIEW INC,NEW YORK,NY,10012-2608,10012.0,36061,A33,A,10012.0,5602.0,5600.0,36061.0,,PC,O,AR,A,0.2315,,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199012,199012,1990,NY,10012.0,NEW YORK,A33,A,12,92.0,0.0,0.0,611 BROADWAY RM 842,3.0,0.0,1200.0,,1.0,13.0,16.0,10.0,0.0,1.0,9003.0,,PC,O,AR,A,IN,,A33,A,511100.0
12764,,319,4,0,1990,0,1,0,0,131769475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,THEATRICAL MUTUAL ASSOC NEW YORK LODGE 1,NEW YORK,NY,10019-0000,10019.0,36061,A65,A,,5602.0,5600.0,,,O,O,AR,A,0.9052,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10019.0,,A65,B,12,319.0,0.0,0.0,211 W 53RD ST,3.0,0.0,3000.0,,2.0,13.0,0.0,20.0,0.0,1.0,5504.0,,PC,O,AR,A,OUT,S,A65,A,711110.0
12777,990.0,200,6,1,1989,0,1,4,4,131783842,0,289673,0,0,13674,0,0,0,13674,13674,303347,251074,141503,0,0,77398,130077,-11832,-11426,141503,0,0,0,0,0,0,0,0,0,0,N,ANTIQUARIAN BOOKSELLERS ASSOC AMERICA SHOP 2 CONCOURSE,NEW YORK,NY,10020-1605,10020.0,36061,A03,A,,5602.0,5600.0,,,O,O,AR,A,0.8221299999999999,,A,IN,,Q,AR,AR,AR,Z99,A,,,198912,198912,1989,NY,10020.0,,A0333,A,12,200.0,0.0,0.0,50 ROCKERFELLER PLAZA,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5109.0,2 CONCOURSE,PC,O,AR,A,OUT,S,A0333,A,813920.0
12794,990.0,123,4,1,1990,0,1,4,2,131813049,92722,0,0,0,113,14163,0,0,45024,45024,137746,144216,-12394,25253,0,23003,22451,28927,34845,0,0,0,0,0,0,0,0,0,0,0,N,AMER COMM AFRICA,NEW YORK,NY,10038-4010,10038.0,36061,A70,A,,5602.0,5600.0,,,O,O,AR,A,0.17171,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10038.0,,A70,C,12,123.0,124.0,480.0,17 JOHN STREET 12TH FLOOR,3.0,0.0,3000.0,AFRICA ACTION,2.0,13.0,0.0,10.0,0.0,1.0,7911.0,,PC,O,AR,A,OUT,S,A70,A,710000.0
12809,990.0,205,6,1,1990,0,1,6,4,131830960,0,79363,0,0,19416,0,0,0,1164702,1164702,1244065,1125822,317772,0,0,291090,433241,91561,115469,0,0,0,0,0,0,0,0,0,0,0,Y,INTERNATIONAL RADIO AND TELEVISION SOCIETY INC,NEW YORK,NY,10170-0002,10170.0,36061,A32,A,,5602.0,5600.0,,,O,O,AR,A,0.64423,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10170.0,,A32,A,12,205.0,120.0,0.0,420 LEXINGTON AVE,3.0,,2000.0,,,,0.0,,,,5406.0,,PC,O,AR,A,OUT,S,A32,A,513120.0
