,EIN,FisYr,TAXPER,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,verify,NteeOldB,NTEECC,NteeCC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,FIPS,MSA_NECH,PMSA,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
5967,112538932,2005,200512,200625.0,29491161193106.0,,N,Y,0.0,1.0,2005,3.0,4.0,1.0,3,40.0,0,440,6360,0,0,0,0,26937,6800,27207,-20407,26937,6800,0,158179,150002,0,0,150002,0,153261,0,8293,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,6800,0,270,0,0,0,0,0,0,0,0,158179,136,0,0,0,0,0,0,0,0,136,168382,8157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,10021.0,RICHARD H GOLDMAN MEMORIAL FOUNDA TION,,150 E 69TH ST APT 7G,NEW YORK,NY,10021-5704,0.0,3.0,1.0,198107.0,1.0,4.0,40.0,0.0,0.0,2.0,13.0,0.0,1.0,12,,,,A80,,C,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.9288290000000001,36061.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A80,A
6000,112620092,2005,200506,200604.0,29491007001066.0,,N,Y,0.0,20.0,2004,3.0,1.0,1.0,3,91.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8000,0,0,0,0,67527,8000,0,394,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,-59527,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11355.0,INSTITUTE FOR ADVANCED STUDIES OF CHINESE ART INC,,5945 154TH PL,FLUSHING,NY,11355-5508,0.0,3.0,1.0,198311.0,1.0,4.0,91.0,93.0,123.0,1.0,11.0,198706.0,1.0,6,,,,A25,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.541295,36081.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,T20,T
6081,112801382,2005,200506,200610.0,29491042033116.0,,N,Y,0.0,1.0,2004,3.0,1.0,1.0,3,124.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,400,0,0,0,0,0,400,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11206.0,THE MOVEMENT INTERFACE RESEARCH INSTITUTE INC,,54 BOERUM ST 11N,BKLYN NY,NY,11206-2418,0.0,3.0,1.0,198702.0,1.0,4.0,124.0,209.0,0.0,1.0,11.0,0.0,1.0,6,,,,A70,,C,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.584862,36047.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A70,A
6125,112864409,2006,200602,200628.0,29491168091136.0,,N,Y,0.0,1.0,2005,3.0,1.0,1.0,3,602.0,0,166,0,0,0,0,0,100,166,165,1,165,101,101,5724,0,0,0,0,0,5724,0,281,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,166,166,65,65,65,65,65,5724,0,0,0,5724,0,0,0,0,0,0,0,0,0,0,5724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10021.0,THE PHILIP KAPLAN CULTURAL FOUNDATION INC,,530 E 72ND ST APT 5D,NEW YORK,NY,10021-4844,0.0,3.0,1.0,198709.0,1.0,4.0,602.0,0.0,0.0,1.0,13.0,0.0,1.0,2,,,,A12,20.0,B,A,A,AR,AR,AR,IN,,PF,S,ZB,A,0.0767175,36061.0,5602.0,5600.0,core2005pf_ver1,PC,S,ZB,A,IN,,A1220,A
6156,112942428,2005,200512,200626.0,29491162235086.0,,N,Y,0.0,1.0,2005,3.0,2.0,1.0,3,90.0,5878,0,0,0,0,0,0,0,5878,11191,-5313,0,0,0,19754,0,0,0,0,0,16904,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,11191,0,0,0,0,1806,0,0,0,19754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10122.0,PODVAL ARTS AND POETRY GALLERIES LTD,V MOLOT ESQ,225 W 34TH ST STE 1504,NEW YORK,NY,10122-1599,0.0,3.0,1.0,198903.0,1.0,4.0,90.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,,A70,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.201544,36061.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A70,A
6164,112948645,2006,200606,200647.0,29491301039186.0,,N,Y,0.0,1.0,2005,3.0,4.0,3.0,3,602.0,0,2882,0,0,0,0,0,0,66181,81181,-15000,2937,0,0,128826,0,0,0,0,0,128826,0,6714,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,63299,0,66181,66181,81181,78244,2937,78244,78244,8359,0,0,0,128826,0,0,0,423,0,0,0,0,423,0,136326,6714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-423,0,11354.0,WORLD JOURNAL CULTURE FOUNDATION INC,,141 07 20 AVE 6 FLR,FLUSING,NY,11354-0000,0.0,3.0,1.0,198909.0,1.0,4.0,602.0,0.0,0.0,1.0,11.0,0.0,1.0,6,,,,A33,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.0801875,36081.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A33,A
6205,113027025,2005,200512,200642.0,29491273005206.0,A23Z,N,Y,0.0,1.0,2005,3.0,2.0,1.0,3,119.0,0,2,454,0,0,0,0,545,456,4595,-4139,3615,0,456,13094,0,0,0,0,0,8084,0,659,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,456,456,4050,870,3070,870,0,275,0,9970,0,13094,0,0,0,0,0,0,0,0,0,0,13379,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10021.0,SJMS HUMANITIES ARTS AND SCIENCES CHARITY INC,MELVIN ROSEN,340 E 74TH ST,NEW YORK,NY,10021-3737,0.0,3.0,1.0,199108.0,1.0,4.0,119.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,,A70,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.5757,36061.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A70,A
6208,113028110,2005,200512,200625.0,29491147094136.0,,N,Y,0.0,1.0,2005,3.0,1.0,3.0,3,429.0,0,0,0,0,0,85974,0,5070,85974,94937,-8963,0,0,0,2420,0,0,0,0,0,2420,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,89867,0,0,0,0,1120,0,0,0,2420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11218.0,LAC HONG MAGAZINE,DIEN THOAI,81 OCEAN PKWY APT 1K,BROOKLYN,NY,11218-1713,0.0,3.0,2.0,199203.0,1.0,4.0,429.0,120.0,408.0,1.0,11.0,0.0,1.0,12,,,,A33,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.248979,36047.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A33,A
6241,113080063,2006,200605,200650.0,29491329061206.0,,N,Y,0.0,1.0,2005,3.0,1.0,3.0,3,998.0,2500,0,0,0,54192,0,2450,0,56692,60532,-3840,0,0,54192,1061,0,0,0,0,0,1061,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,54192,60532,0,0,0,0,1061,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10464.0,ONE WORLD ARTS INCORPORATED,NANCY FRIEDMAN,PO BOX 7,BRONX,NY,10464-0007,0.0,3.0,1.0,199207.0,1.0,4.0,998.0,0.0,0.0,1.0,13.0,0.0,1.0,5,,,,A60,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.497039,36005.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A60,A
6292,113162087,2005,200512,200651.0,29491336149206.0,,N,Y,0.0,1.0,2005,3.0,6.0,5.0,3,994.0,566085,0,0,0,0,270068,0,0,836153,714964,121189,676139,0,233284,1869557,0,565316,0,565316,484118,1869557,0,1539,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,270068,714964,0,676139,0,36784,48986,0,0,0,1385439,0,0,0,0,0,0,0,0,0,0,31255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10018.0,AMERICAN AIRPOWER MUSEUM,AVIREX LTD,15 W 39TH ST,NEW YORK,NY,10018-3806,0.0,3.0,1.0,199308.0,1.0,4.0,994.0,60.0,0.0,1.0,13.0,0.0,1.0,12,,,,A50,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.724603,36061.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A50,A
6359,113227149,2006,200606,200646.0,29491238061036.0,A47P,N,Y,0.0,1.0,2005,3.0,2.0,3.0,3,91.0,0,0,0,0,0,49810,0,0,49810,40304,9506,0,0,0,12261,0,0,0,0,5047,12261,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,40304,0,0,0,0,11116,0,0,0,7214,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11231.0,CLAYWORKS ON COLUMBIA INC,,195 COLUMBIA STREET,BROOKLYN,NY,11231-0000,0.0,3.0,3.0,199612.0,1.0,4.0,91.0,149.0,59.0,1.0,11.0,0.0,1.0,6,,,,A40,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.590454,36047.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A40,A
6398,113247858,2005,200512,200626.0,29491162157196.0,T30J,N,Y,0.0,1.0,2005,3.0,1.0,1.0,3,994.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11210.0,KOTEL MUSEUM FUND INC,SAADIA SHAPIRO,1300 FLATBUSH AVE,BROOKLYN,NY,11210-1233,0.0,3.0,1.0,199504.0,1.0,4.0,994.0,602.0,0.0,1.0,11.0,0.0,1.0,12,,,,A50,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.403871,36047.0,5602.0,5600.0,core2005pf_ver1,PC,O,AR,A,IN,,A50,A
