,EIN,styear,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,NTEE,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,OUTREAS,OUTNCCS,LEVEL2,LEVEL3,LEVEL4,LEVEL1,RASCD,RINCCD,REXPCD,RREVCD,VBS,VFB,VINCEXP,VINCTYPE,VOK,FIPS,MSA_NECH,FNDNCD,CATEGORY,SUBCATEGORY,NTEE1,NTEE4,nteecc,RandNum,zipnew,ZIP5,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
61158,133378184,1994,75413,0,0,0,0,0,0,0,3600,3600,79013,88610,16616,34304,0,29033,21167,2820,4551,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,,79013,A42Z,,EN FOCO INCORPORATED,,32 E KINGSBRIDGE RD,BRONX,NY,10468-7513,0.0,3.0,3.0,1000.0,198610.0,1.0,,1.0,13.0,0.0,10.0,6.0,,91.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,1,1.0,1,6.0,1,36005,5602.0,15.0,A,A42,A,A42Z,A42,0.317601,10468.0,10468.0,5600.0,36005.0,,AR,1995,A40,199506,NY,10468.0,BRONX,A40,,,,A,AR,AR,PC,O,AR,A,IN,,A40,A
61168,112164064,1995,63933,100,0,0,133,7444,0,0,50346,50346,114379,136298,42577,0,0,77550,50526,11918,7949,-23055,0,0,0,0,0,0,0,0,0,0,0,1136,48983,94,0,,113243,A65Z,,THE BELMONT ITALIAN AMERICAN PLAYHOUSE LTD,,2385 ARTHUR AVE,BRONX,NY,10458-8103,0.0,3.0,3.0,1000.0,199601.0,1.0,,1.0,11.0,0.0,10.0,12.0,,319.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,1,1.0,1,6.0,1,36005,5602.0,16.0,A,A65,A,A65Z,A65,0.600076,10458.0,10458.0,5600.0,36005.0,,AR,1995,A65,199512,NY,10458.0,BRONX,A65,,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
61174,133574221,1994,59049,0,0,0,0,0,0,0,0,0,59049,56153,23378,0,0,20482,24547,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,59049,A33Z,,INNER CITY PRESS COMMUNITY ON THE MOVE INC,,PO BOX 416 HUB STATION,BRONX,NY,10455-0416,0.0,3.0,3.0,1000.0,199007.0,1.0,,1.0,13.0,0.0,10.0,12.0,,400.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,1,1.0,1,6.0,1,36005,5602.0,15.0,A,A33,A,A33Z,A33,0.361491,10455.0,10455.0,5600.0,36005.0,,AR,1994,A33,199412,NY,10455.0,BRONX,A33,,,,A,AR,AR,PC,O,AR,A,IN,,A33,A
61177,136533451,1994,24825,0,0,0,0,0,0,0,6799,6799,31624,32923,6622,0,0,10652,14339,2731,7717,0,0,0,0,0,0,0,0,0,0,0,0,0,6799,0,0,,31624,A65Z,,MASS TRANSIT STREET THEATRE INC,,BOX 347 JEROME AVE STA,BRONX,NY,10468-0347,0.0,3.0,3.0,2000.0,197302.0,1.0,,1.0,13.0,0.0,10.0,6.0,,602.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,1,1.0,1,6.0,1,36005,5602.0,16.0,A,A65,A,A65Z,A65,0.45406499999999994,10468.0,10468.0,5600.0,36005.0,,AR,1995,A65,199506,NY,10468.0,BRONX,A65,,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
61182,133261148,1994,23580,0,0,0,72,0,0,0,14237,14237,37817,36925,7254,0,0,7981,7605,1619,351,0,3,3,0,0,0,0,0,0,0,0,0,0,14165,0,0,,37817,A40Z,,THE BRONX RIVER ART CENTER INC,,1087 E TREMONT AVE,BRONX,NY,10460-2306,0.0,3.0,3.0,1000.0,198712.0,1.0,,1.0,13.0,0.0,10.0,6.0,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,1,1.0,1,6.0,1,36005,5602.0,15.0,A,A40,A,A40Z,A40,0.489692,10460.0,10460.0,5600.0,36005.0,,AR,1995,A40,199506,NY,10460.0,BRONX,A40,,,,A,AR,AR,PC,O,AR,A,IN,,A40,A
61183,510243951,1995,23775,40927,0,0,24834,0,0,0,132816,132816,197518,167619,192178,0,0,209999,192178,5527,0,0,0,0,0,0,0,0,0,0,0,0,0,42193,12379,53323,87,,155325,A82Z,,BARTOW-PELL LANDMARK FUND,,PELHAM BAY PARK - 895 SHO,BRONX,NY,10464-0000,0.0,3.0,3.0,2000.0,197510.0,1.0,,2.0,13.0,0.0,10.0,5.0,,60.0,62.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,1,1.0,1,6.0,1,36005,5602.0,15.0,A,A82,A,A82Z,A82,0.937702,10464.0,10464.0,5600.0,36005.0,,AR,1996,A82,199605,NY,10464.0,BRONX,A54,,,,A,AR,AR,PC,O,AR,A,IN,,A54,A
61219,132709368,1994,1414130,96333,0,0,12477,95852,0,0,12477,12477,1522940,2377240,1097780,0,0,2483990,2606470,1327050,1508680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1522940,A51Z,,BRONX MUSEUM OF THE ARTS,,1040 GRAND CONCOURSE,BRONX,NY,10456-3901,0.0,3.0,3.0,1000.0,197303.0,1.0,,1.0,13.0,0.0,10.0,9.0,,60.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,4.0,4.0,1,1.0,0,1.0,0,36005,5602.0,15.0,A,A51,A,A51Z,A51,0.775085,10456.0,10456.0,5600.0,36005.0,,AR,1995,A51,199509,NY,10456.0,BRONX,A51,,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
61223,133047056,1994,516721,0,0,0,114,0,0,0,469161,469161,985882,1076380,-47741,0,0,210268,282696,164545,330437,0,0,0,0,0,0,0,0,0,0,0,0,2964,275020,0,8370,,982918,A61Z,,LEHMAN COLLEGE CENTER FOR THE PERFORMING ARTS INC,,BEDFORD PARK BLVD W,BRONX,NY,10468-0000,0.0,3.0,3.0,1200.0,198101.0,1.0,,1.0,13.0,0.0,10.0,6.0,,995.0,90.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,3.0,4.0,3.0,1,0.0,1,4.0,1,36005,5602.0,16.0,A,A61,A,A61Z,A61,0.0391366,10468.0,10468.0,5600.0,36005.0,,AR,1995,A61,199506,NY,10468.0,BRONX,A61,,,,A,AR,AR,PC,O,AR,A,IN,,A61,A
61237,132961164,1994,11930,0,0,0,0,0,0,0,30343,30343,42273,40939,2802,0,0,1468,2802,0,0,2802,0,0,0,0,0,0,0,0,0,0,0,0,30343,0,0,,42273,Z99Z,,MOZARTEAN PLAYERS INC,,5621 SYLVAN AVE,BRONX,NY,10471-2612,0.0,3.0,3.0,2000.0,197812.0,1.0,,1.0,13.0,0.0,20.0,6.0,,995.0,90.0,0.0,B9710,,,IN,O,UN,Z,PC,1.0,1.0,1.0,1.0,1,1.0,1,6.0,1,36005,5602.0,16.0,Z,Z99,Z,Z99Z,Z99,0.631517,10471.0,10471.0,5600.0,36005.0,,UN,1995,Z99,199506,NY,10471.0,BRONX,A65,,,,Z,UN,OT,PC,O,UN,Z,IN,,A65,A
61242,133253144,1994,96250,0,0,0,63,5021,0,0,151895,151895,248145,210518,33438,0,0,44214,172107,47092,138669,0,0,0,0,0,0,0,0,0,0,0,0,0,151354,0,478,,248145,Z99Z,,PEPATIAN,,1001 GRAND CONCOURSE 10F,BRONX,NY,10452-9128,0.0,3.0,3.0,1200.0,199403.0,1.0,,1.0,13.0,199709.0,10.0,9.0,,994.0,90.0,0.0,B9710,,,IN,O,UN,Z,PC,2.0,2.0,2.0,2.0,1,1.0,1,6.0,1,36005,5602.0,15.0,Z,Z99,Z,Z99Z,Z99,0.122597,10452.0,10452.0,5600.0,36005.0,,UN,1995,Z99,199509,NY,10452.0,BRONX,A23,,,,Z,UN,OT,PC,O,UN,Z,IN,,A23,A
61272,133545233,1995,978832,0,220301,296113,58918,0,0,0,319552,23439,1298380,1390270,2750830,75000,0,3038230,2786200,9794,35374,0,0,0,0,0,0,0,0,0,0,0,0,0,40333,0,0,,1002270,A32Z,,BRONX COMMUNITY CABLE PROGRAMMING CORP,,LEHMAN COLLEGE CARMAN HAL,BRONX,NY,10468-0000,0.0,3.0,3.0,1000.0,199101.0,1.0,,1.0,13.0,199412.0,10.0,12.0,,995.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,4.0,4.0,1,1.0,0,1.0,0,36005,5602.0,16.0,A,A32,A,A32Z,A32,0.723355,10468.0,10468.0,5600.0,36005.0,,AR,1995,A32,199512,NY,10468.0,BRONX,A32,,,,A,AR,AR,PC,O,AR,A,IN,,A32,A
61298,112561104,1994,0,1330,0,0,156,0,0,0,36635,36635,37965,24434,8050,0,0,7980,8051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10253,25000,1232,0,,27712,A6BZ,,GLEE CLUB OF THE FRIENDLY SONS OF ST PATRICK IN THE CITY OF NY INC,,277 W 261ST ST,BRONX,NY,10471-1124,0.0,3.0,3.0,1000.0,198105.0,1.0,,1.0,13.0,0.0,10.0,8.0,,89.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,1,1.0,0,0.0,0,36005,5602.0,16.0,A,A6B,A,A6BZ,A6B,0.144321,10471.0,10471.0,5600.0,36005.0,,AR,1995,A6B,199508,NY,10471.0,BRONX,A6B,,,,A,AR,AR,PC,O,AR,A,IN,,A6B,A
61320,237448754,1995,0,0,0,0,0,0,21009,24494,45503,24494,45503,23682,4912,0,0,4100,4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24494,A33Z,,ISLAND CURRENT INC,,PO BOX 6,CITY ISLAND,NY,10464-0006,0.0,3.0,3.0,2000.0,199206.0,1.0,,1.0,13.0,0.0,10.0,3.0,,120.0,402.0,126.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,1,1.0,1,6.0,1,36005,5602.0,16.0,A,A33,A,A33Z,A33,0.9536399999999999,10464.0,10464.0,5600.0,36005.0,,AR,1996,A33,199603,NY,10464.0,CITY ISLAND,A33,,,,A,AR,AR,PC,O,AR,A,IN,,A33,A
61321,132999528,1994,122635,0,0,0,3975,0,0,0,293160,293160,415795,426504,31219,94000,0,313553,316422,271625,285203,0,0,0,0,0,0,0,0,0,0,0,0,0,289185,0,0,,415795,A65Z,,BRONX DANCE THEATRE INC,,286 E 204TH ST,BRONX,NY,10467-4102,0.0,3.0,3.0,1000.0,198308.0,1.0,,1.0,13.0,198506.0,10.0,6.0,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,1,1.0,1,6.0,1,36005,5602.0,15.0,A,A65,A,A65Z,A65,0.577849,10467.0,10467.0,5600.0,36005.0,,AR,1995,A62,199506,NY,10467.0,BRONX,A62,,,,A,AR,AR,PC,O,AR,A,IN,,A62,A
61342,237170675,1994,121928,0,0,0,511,0,0,0,38296,38296,160224,158436,26385,7500,0,24597,26385,0,0,26385,0,0,0,0,0,0,0,0,0,0,0,0,37785,0,0,,160224,A6AZ,,BRONX OPERA COMPANY INC,,5 MINERVA PLACE,BRONX,NY,10468-1635,0.0,3.0,3.0,2000.0,197202.0,1.0,,1.0,13.0,0.0,10.0,7.0,,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,1,1.0,1,6.0,1,36005,5602.0,15.0,A,A6A,A,A6AZ,A6A,0.9853709999999999,10468.0,10468.0,5600.0,36005.0,,AR,1995,A6A,199507,NY,10468.0,BRONX,A6A,,,,A,AR,AR,PC,O,AR,A,IN,,A6A,A
61344,237408447,1995,34691,1396,0,0,3706,0,0,0,7603,7603,43690,37281,165337,0,0,158661,170837,42159,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,3897,0,0,,43690,A60Z,,DAUGAVAS VANAGI LATVIAN WELFARE ASSOCIATION INC,,115 W 183RD ST,BRONX,NY,10453-1103,0.0,3.0,3.0,1200.0,197410.0,1.0,,1.0,13.0,0.0,10.0,12.0,,90.0,92.0,119.0,B9710,,,IN,O,AR,A,PC,2.0,1.0,1.0,1.0,1,1.0,0,1.0,0,36005,5602.0,15.0,A,A60,A,A60Z,A60,0.553629,10453.0,10453.0,5600.0,36005.0,,AR,1995,A98,199512,NY,10453.0,BRONX,A60,,,,A,AR,AR,PC,O,AR,A,IN,,A60,A
61361,132988157,1994,905699,0,0,0,0,0,0,0,126624,126624,1032320,941672,591608,0,0,653103,719869,152146,128261,0,0,0,0,0,0,0,0,0,0,0,0,0,126624,0,0,,1032320,A99Z,,MIND BUILDERS CREATIVE ARTS CO,MADAHA KINSEY-LAMB,3415 OLINVILLE AVE,BRONX,NY,10467-5612,0.0,3.0,3.0,2000.0,197907.0,1.0,,1.0,13.0,0.0,10.0,6.0,,119.0,349.0,0.0,B9710,,,IN,O,AR,A,PC,3.0,4.0,3.0,4.0,1,1.0,1,6.0,1,36005,5602.0,16.0,A,A99,A,A99Z,A99,0.413421,10467.0,10467.0,5600.0,36005.0,,AR,1995,A25,199506,NY,10467.0,BRONX,A25,,,,A,AR,AR,PC,O,AR,A,IN,,A25,A
61366,133697553,1994,7204,0,0,0,0,0,0,0,88312,88312,95516,98272,-54935,0,0,564,103,52743,55038,0,0,0,0,0,0,0,0,0,0,0,0,0,88312,0,0,,95516,A6FZ,,SCHUYLER HILL PERFORMING ARTS & CULTURAL CENTER,% DONNA KOSLOFF,THROGGS NECK ST POB 870,BRONX,NY,10465-0870,0.0,3.0,3.0,2000.0,199506.0,1.0,,1.0,13.0,0.0,10.0,11.0,,88.0,90.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,0.0,1,6.0,0,36005,5602.0,15.0,A,A6F,A,A6FZ,A6F,0.35787800000000003,10465.0,10465.0,5600.0,36005.0,,AR,1995,A60,199511,NY,10465.0,BRONX,A60,,,,A,AR,AR,PC,O,AR,A,IN,,A60,A
61384,510186869,1994,260639,0,0,0,859,23067,0,0,134189,134189,394828,380537,28381,25757,22786,53301,72676,39211,44295,0,0,0,0,0,0,0,0,0,0,0,0,0,133330,0,0,,394828,A6CZ,A6CP,BRONX ARTS ENSEMBLE INC,,VAN CORTLANDT PARK,BRONX,NY,10471-0000,0.0,3.0,3.0,1200.0,197601.0,1.0,,1.0,13.0,0.0,10.0,8.0,,90.0,119.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,1,1.0,1,6.0,1,36005,5602.0,16.0,A,A6C,A,A6CZ,A6C,0.46081099999999997,10471.0,10471.0,5600.0,36005.0,,AR,1995,A68,199508,NY,10471.0,BRONX,A68,,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
61399,133138626,1995,0,0,0,0,6129,0,0,0,66129,66129,66129,26621,72565,8000,0,33057,72565,0,0,72565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,,66129,A82Z,T90Z,THE HISTORY OF NEW YORK CITY PROJEC T INC,,PO BOX 104,BRONX,NY,10471-0104,0.0,3.0,0.0,1000.0,0.0,0.0,,5.0,13.0,0.0,10.0,12.0,,0.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,1,1.0,1,6.0,1,36005,5602.0,16.0,A,A82,A,A82Z,A82,0.62907,10471.0,10471.0,5600.0,36005.0,,AR,1995,A82,199512,NY,10471.0,BRONX,A80,,,,A,AR,AR,PC,O,AR,A,IN,,A80,A
61783,133443539,1995,153358,0,0,0,253,0,0,0,72711,72711,226069,216684,7641,30875,0,30703,32039,6600,24398,7641,0,0,0,0,0,0,0,0,0,0,0,25847,0,46611,0,,200222,R20M,,GREEK-AMERICAN EDUCATIONAL PUBLIC INFORMATION SYSTEM INC,,59 SCHEMERHORN ST,BROOKLYN,NY,11201-5006,0.0,3.0,3.0,1000.0,199003.0,1.0,,1.0,11.0,0.0,10.0,12.0,,60.0,0.0,0.0,B9710,,,IN,O,PB,R,PC,1.0,2.0,2.0,2.0,1,1.0,1,6.0,1,36047,5602.0,15.0,R,R20,R,R20M,R20,0.30337,11201.0,11201.0,5600.0,36047.0,,PU,1995,R20,199512,NY,11201.0,BROOKLYN,A30,,,,R,PU,OT,PC,O,PB,R,IN,,A30,A
61790,113120989,1995,92235,0,0,0,505,20206,0,0,505,505,92740,81151,18053,20025,0,3620,18053,6260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,92740,A80C,,ITALIAN HISTORICAL SOCIETY OF AMERICA,% JOHN N LA CORTE,111 COLUMBIA HGTS,BROOKLYN,NY,11201-1608,0.0,3.0,3.0,1000.0,196307.0,1.0,,5.0,11.0,0.0,10.0,12.0,,59.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,1,1.0,0,1.0,0,36047,5602.0,16.0,A,A80,A,A80C,A80,0.580151,11201.0,11201.0,5600.0,36047.0,,AR,1995,A80,199512,NY,11201.0,BROOKLYN,A03,82,,,A,AR,AR,PC,O,AR,A,IN,,A0382,A
