,EIN,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,P6UNRELB,styear,ACTIVCD1,FILER,CODE990,POPCODE,REASON,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,P1TOTREV,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
11257,130508050,25580,0,405056,485319,87720,0,0,0,387678,-97641,413258,26230,1069234,0,0,1176528,1072234,9003,3000,1060249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-105098,4,N,1993,298,990,1,, .,BOHEMIAN BENEVOLENT & LITERARY ASSOC NEW YORK CITY,NEW YORK,NY,10021-3705,10021.0,36061,A70,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.20803000000000002,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199406,-72061,-72061,199406,1994,NY,10021.0,NEW YORK,A23,B,6,298.0,318.0,319.0,321 E 73RD ST,3.0,0.0,3000.0,JAN HIRD POKORNY PRESIDENT,2.0,13.0,0.0,10.0,0.0,5.0,6501.0,TY,PC,O,AR,A,IN,,A23,A,710000.0
11330,130872850,0,1197379,0,0,2866,0,0,0,226798,226798,1424177,1313277,265888,242526,0,267800,363277,112812,97389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223932,5,N,1993,279,990,1,, .,INTL PHOTO LOCAL 644 IATSE,NEW YORK,NY,10018-6505,10018.0,36061,A65,A,,5602.0,5600.0,,,O,O,0.24795999999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199405,1424177,1424177,199405,1994,NY,,NEW YORK,A65,A,5,279.0,268.0,0.0,505 EIGHTH AVE,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4104.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,J40,J,813930.0
11342,130951470,0,1527200,0,0,132082,0,0,0,800442,800442,2327642,2116573,1513368,830915,0,1996246,2220105,693250,706737,1513368,0,0,0,0,2150,0,0,0,0,0,0,0,635079,0,33281,6,N,1992,119,990,1,, .,LEAGUE AMER THEATRES & PRODUCERS,NEW YORK,NY,10036-1413,10036.0,36061,A99,A,10036.0,5602.0,5600.0,36061.0,,O,O,0.22373,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199308,2327642,2327642,199308,1993,NY,10036.0,NEW YORK,A0365,A,8,119.0,205.0,279.0,226 W 47TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4210.0,,PC,O,AR,A,IN,,A0365,A,813920.0
11345,130971750,4845,3560,0,0,16,0,0,0,287067,287067,295472,286636,32422,0,0,43972,38711,14665,6289,0,0,0,0,0,0,0,0,0,0,0,0,4872,163307,838,118033,7,N,1993,119,990,1,, .,LIEDERKRANZ CITY NEW YORK,NEW YORK,NY,10128-0505,10128.0,36061,A6A,A,10128.0,5602.0,5600.0,36061.0,,O,O,0.52647,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199406,290600,290600,199406,1994,NY,10128.0,NEW YORK,A6A,A,6,119.0,916.0,318.0,6 E 87TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3907.0,,PC,O,AR,A,IN,,A6A,A,711130.0
11383,131087160,79750,5732157,2417842,2199912,167185,0,0,0,4508988,2309076,10320895,7977306,4075825,1347665,0,4100128,5770092,167980,1694267,4075825,0,0,0,0,0,0,0,0,0,0,0,0,1884925,0,39036,6,N,1993,200,990,1,, .,MAGAZINE PUBLISHERS AMERICA,NEW YORK,NY,10022-3801,10022.0,36061,A01,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.49645,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199312,8120983,8120983,199312,1993,NY,10022.0,NEW YORK,A33,A,12,200.0,0.0,0.0,919 THIRD AVE 22ND FL,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4209.0,,PC,O,AR,A,IN,,A0333,A,813920.0
11395,131101367,0,67400,0,0,399,0,30697,-7658,80877,50180,148277,119020,25766,0,0,49824,38127,22618,12361,25766,0,0,0,0,0,0,0,0,0,0,0,0,47970,0,9469,6,Y,1991,200,990,1,, .,NEW YORK SOC ARCHITECTS,NEW YORK,NY,10001-6708,10001.0,36061,A01,A,10001.0,5602.0,5600.0,36061.0,,O,O,0.009609999999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199211,117580,117580,199211,1992,NY,10001.0,NEW YORK,A03,B,11,200.0,205.0,0.0,275 SEVENTH AVE 15TH FLR,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4208.0,,PC,O,AR,A,IN,,A03,A,813920.0
11447,131374145,0,307806,0,0,13613,0,0,0,304747,304747,612553,387352,516891,78125,0,470457,519746,3634,2855,0,0,0,0,0,0,0,0,0,0,0,0,175133,54689,58522,2790,6,Y,1993,200,990,1,, .,TEXTILE DISTRIBUTORS ASSOC,NEW YORK,NY,10018-7904,10018.0,36061,A01,A,10018.0,5602.0,5600.0,36061.0,,O,O,0.20219,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199312,437420,437420,199312,1993,NY,10018.0,NEW YORK,A40,A,12,200.0,279.0,0.0,45 W 36TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4409.0,,PC,O,AR,A,IN,,A40,A,710000.0
11457,131394480,0,698028,0,0,16786,0,1153,1978,435918,434765,1133946,1102931,31599,112410,0,424562,606241,422824,574641,0,0,0,0,0,0,0,0,0,0,0,0,0,416000,0,0,6,N,1993,205,990,1,, .,TRAFFIC AUDIT BUREAU MEDIA MEASUREMENT,NEW YORK,NY,10170-2599,10170.0,36061,A01,A,10170.0,5602.0,5600.0,36061.0,,O,O,0.85767,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199312,1132793,1132793,199312,1993,NY,10170.0,NEW YORK,A30,B,12,205.0,0.0,0.0,420 LEXINGTON AVE 2520,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5501.0,,PC,O,AR,A,IN,,A30,A,510000.0
11465,131406872,0,52070,0,0,0,0,0,0,0,0,52070,47262,25473,0,0,22768,32345,10993,6872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,N,1993,263,990,1,, .,INTL ALLIANCE THEATRICAL STAGE EMP & MVG PIC MACH OP US&CAN,BRONX,NY,10036-5701,10036.0,36061,A65,A,,5602.0,5600.0,,,O,O,0.55073,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199312,52070,52070,199312,1993,NY,,BRONX,A65,A,12,263.0,0.0,0.0,1515 BROADWAY 601,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4407.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,A65,A,711110.0
11472,131426099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,N,1993,999,ZER,1,, .,UNITED IRISH COUNTIES ASSOC NEW YORK,JACKSON HTS,NY,11372-1457,11372.0,36081,A23,A,11372.0,5602.0,5600.0,36081.0,,O,O,0.29646999999999996,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36081.0,199404,0,0,199404,1994,NY,11372.0,JACKSON HTS,A23,A,4,999.0,0.0,0.0,213 16 50TH AVE,3.0,0.0,1000.0,MICHAEL FOGARTY,2.0,11.0,0.0,10.0,0.0,5.0,5604.0,,PC,O,AR,A,IN,,A23,A,710000.0
11498,131505524,4627,401674,3363,0,40696,0,5526,8226,195525,189999,601826,538508,940549,88269,0,1048810,1145821,95279,205272,0,0,0,0,0,0,0,0,0,0,0,0,70774,0,16884,31481,6,N,1993,205,990,1,, .,AMER INST ARCHITECTS N Y CHAPTER,NEW YORK,NY,10016-6186,10016.0,36061,A40,A,10016.0,5602.0,5600.0,36061.0,,O,O,0.5797100000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199312,525526,525526,199312,1993,NY,10016.0,NEW YORK,A40,B,12,205.0,40.0,279.0,200 LEXINGTON AVE RM 602,0.0,0.0,1000.0,,2.0,13.0,11.0,10.0,0.0,1.0,4208.0,N Y CHAPTER,PC,O,AR,A,IN,,A40,A,710000.0
11510,131520977,0,45915,0,0,0,0,0,0,26260,26260,72175,45785,42741,0,0,16351,42741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26260,0,0,6,N,1993,119,990,1,, .,ART & ANTIQUE DEALERS LEAGUE AMERICA,NEW YORK,NY,10021-1313,10021.0,36061,A01,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.04727,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199409,72175,72175,199409,1994,NY,10021.0,NEW YORK,A0380,A,9,119.0,0.0,0.0,353 E 78TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7601.0,,PC,O,AR,A,IN,,A0380,A,813920.0
11519,131530748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,N,1991,59,ZER,1,, .,CINEMA RADIO TV UNIT 6000,NEW YORK,NY,10036-7209,10036.0,36061,A32,A,10036.0,5602.0,5600.0,36061.0,,O,O,0.76271,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199112,0,0,199112,1991,NY,10036.0,NEW YORK,A32,A,12,59.0,29.0,349.0,229 W 42ND ST,9.0,0.0,1000.0,,1.0,13.0,0.0,20.0,947.0,5.0,4606.0,,PC,O,AR,A,IN,,A32,A,513120.0
11543,131572247,0,155239,0,0,9613,0,166226,267930,464190,297964,619429,437212,353167,0,0,482582,380156,145406,26989,0,32135,0,0,0,0,0,0,0,0,0,0,0,0,0,20421,7,Y,1992,119,990,1,, .,METRO OPERA CLUB,NEW YORK,NY,10023-0000,10023.0,36061,A11,A,10023.0,5602.0,5600.0,36061.0,,O,S,0.40943,,ZA,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199307,453203,453203,199307,1993,NY,10023.0,NEW YORK,A11,A,7,119.0,319.0,0.0,LINCOLN CENTER,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4608.0,,PC,S,ZA,A,IN,,A11,A,813219.0
11553,131583260,0,499185,0,0,60601,0,0,0,60601,60601,559786,508943,155250,202733,0,896925,1100033,805949,944783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,N,1993,919,990,1,, .,STATION REPRESENTATIVES ASSOC,NEW YORK,NY,10169-0005,10169.0,36061,A30,A,10169.0,5602.0,5600.0,36061.0,,O,O,0.04793,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199406,559786,559786,199406,1994,NY,10169.0,NEW YORK,A01,C,6,919.0,200.0,0.0,230 PARK AVE,3.0,0.0,2000.0,KATZ MEDIA J BELOYIANIS,2.0,13.0,0.0,10.0,0.0,1.0,6910.0,,PC,O,AR,A,IN,,A01,A,813319.0
11622,131673348,0,954,0,0,20776,0,0,0,33294,33294,34248,43104,945954,0,0,897592,945954,3420,0,12227,0,0,0,0,0,0,0,0,0,0,0,0,12518,0,0,4,N,1992,908,990,1,, .,OLD GUARD CITY NEW YORK,NEW YORK,NY,10024-1001,10024.0,36061,A82,A,10024.0,5602.0,5600.0,36061.0,,O,O,0.8343299999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199302,34248,34248,199302,1993,NY,10024.0,NEW YORK,W20,C,2,908.0,0.0,0.0,307 W 91ST ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5203.0,,PC,O,AR,A,IN,,W20,W,813410.0
11628,131677485,261400,0,0,0,3000,0,0,0,2966000,2966000,3227400,3118100,1571400,3600,0,2415800,2562400,976900,991000,1571400,0,0,0,0,0,0,0,0,0,0,0,0,2955500,0,700,4,N,1993,121,990,1,, .,BRITISH BROADCASTING,NEW YORK,NY,10023-5882,10023.0,36061,A30,A,10023.0,5602.0,5600.0,36061.0,,O,O,0.16410999999999998,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199403,3227400,3227400,199403,1994,NY,10023.0,NEW YORK,A30,A,3,121.0,122.0,149.0,1995 BROADWAY STE 50K,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,9202.0,,PC,O,AR,A,IN,,A30,A,510000.0
11824,131769475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,N,1993,319,ZER,1,, .,THEATRICAL MUTUAL ASSOC NEW YORK LODGE 1,NYC,NY,10019-0000,10019.0,36061,A65,A,10019.0,5602.0,5600.0,36061.0,,O,O,0.53087,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199312,0,0,199312,1993,NY,10019.0,NYC,A65,B,12,319.0,0.0,0.0,211 W 53RD ST,3.0,0.0,3000.0,,2.0,13.0,0.0,20.0,0.0,1.0,5504.0,,PC,O,AR,A,IN,,A65,A,711110.0
11835,131777183,0,903826,0,0,12265,0,42,38,165737,165695,1069563,1035473,1211706,246840,0,1810895,1832704,627763,620995,0,0,0,0,0,0,0,0,0,0,0,0,0,20450,0,130712,6,N,1993,919,990,1,, .,TELEVISION BUREAU ADVERTISING,NEW YORK,NY,10022-6222,10022.0,36061,A01,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.09439,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199312,1069521,1069521,199312,1993,NY,10022.0,NEW YORK,A0132,B,12,919.0,200.0,59.0,850 THIRD AVENUE,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5602.0,,PC,O,AR,A,IN,,A0132,A,813319.0
11838,131783842,0,194834,0,0,13808,0,0,0,499043,499043,693877,475778,733062,0,0,514264,733950,0,887,733063,0,0,0,0,0,0,0,0,0,0,0,0,0,485235,0,6,N,1993,200,990,1,, .,ANTIQUARIAN BOOKSELLERS ASSOC AMERICA SHOP 2 CONCOURSE,NEW YORK,NY,10020-1605,10020.0,36061,A03,A,10020.0,5602.0,5600.0,36061.0,,O,O,0.00246,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199312,693877,693877,199312,1993,NY,10020.0,NEW YORK,A0333,A,12,200.0,0.0,0.0,50 ROCKERFELLER PLAZA,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5109.0,2 CONCOURSE,PC,O,AR,A,IN,,A0333,A,813920.0
11857,131813049,40085,0,0,0,657,6576,0,0,49924,49924,90009,73886,31826,9529,0,30826,42338,15123,10512,0,0,0,0,0,0,0,0,0,0,0,0,0,48822,0,445,4,N,1993,123,990,1,, .,AMER COMM AFRICA,NEW YORK,NY,10038-4010,10038.0,36061,A70,A,10038.0,5602.0,5600.0,36061.0,,O,O,0.42141000000000006,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199312,90009,90009,199312,1993,NY,10038.0,NEW YORK,A70,C,12,123.0,124.0,480.0,17 JOHN STREET 12TH FLOOR,3.0,0.0,3000.0,AFRICA ACTION,2.0,13.0,0.0,10.0,0.0,1.0,7911.0,,PC,O,AR,A,IN,,A70,A,710000.0
11872,131830960,0,73860,100535,100553,3224,0,0,0,1177836,1077283,1251696,1267763,47604,0,0,408488,268293,244264,220689,0,0,0,0,0,0,0,0,0,0,0,0,0,974077,0,100000,6,Y,1992,205,990,1,, .,INTL RADIO & TELEVISION SOC,NEW YORK,NY,10170-0002,10170.0,36061,A32,A,,5602.0,5600.0,,,O,O,0.87554,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199212,1151143,1151143,199212,1992,NY,,NEW YORK,A32,A,12,205.0,120.0,0.0,420 LEXINGTON AVE,3.0,,2000.0,,,,0.0,,,,5406.0,,PC,O,AR,A,IN,,A32,A,513120.0
11887,131841248,0,0,578141,563479,88581,0,0,0,2940688,2377209,2940688,1285337,2245265,0,0,1741179,2832604,587786,587339,0,0,0,0,0,0,0,0,0,0,0,0,0,2263155,0,10811,9,N,1992,265,990,1,, .,INTL PHOTOGRAPHERS 644 WELFARE FND,NEW YORK,NY,10011-5126,10011.0,36061,A40,A,10011.0,5602.0,5600.0,36061.0,,O,O,0.33846,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199308,2377209,2377209,199308,1993,NY,10011.0,NEW YORK,A40,A,8,265.0,0.0,0.0,505 EIGHTH AVE,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,5.0,5811.0,,PC,O,AR,A,IN,,A40,A,710000.0
11922,131866133,0,0,0,0,287,0,0,0,177142,177142,177142,156477,68233,0,0,47568,68233,0,0,68233,0,0,0,0,0,0,0,0,0,0,0,0,176855,0,0,5,N,1993,263,990,1,, .,INTL ALLIANCE THEATRICAL STAGE EMP & MVG PIC MACH OP US&CAN,NEW YORK,NY,10018-6505,10018.0,36061,A65,A,,5602.0,5600.0,,,O,O,0.11855,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199312,177142,177142,199312,1993,NY,,NEW YORK,A65,A,12,263.0,0.0,0.0,505 EIGHTH AVE 16TH FLR,9.0,,3000.0,,,,0.0,,,,6205.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,A65,A,711110.0
