,EIN,FisYr,STYEAR,CODE990,ASSET,INCOME,ACTIVITY,SUBSEC,POPCODE,REASON,Q78A,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,FNDN,FRC,RULEDATE,INC_BMF,ASSETS,TAXPERbad,AFCODE,ACTIV1,ORGCODE,GEN,NAME,CITY,STATE,ZIP,STATESRC,FILER,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
3540,112634917,1993,1992,3,2,3,349,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2125,241,0,0,0,0,52645,19652,0,55011,51546,3465,51396,0,0,0,10005,0,0,0,0,6241,10005,0,0,4.0,1.0,1983.0,49914,7840,9506.0,3.0,349000000.0,1.0,0.0,INST THEATRE LEARNING,FRESH MEADOWS,NY,11365-1634,BMF95,PF,Z,Z99,0.0014604000000000002,36081.0,11365.0,11365.0,5602.0,5600.0,36081.0,4.0,,199306,199306,NY,11365.0,FRESH MEADOWS,PF,O,UN,Z,IN,,6,0.0,0.0,56 15A UTOPIA PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,
3643,112780069,1991,1991,3,0,1,91,,0,0,,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,633,0,0,0,0,0,0,0,633,61749,-61116,11022,633,6,0,0,0,0,0,0,0,0,0,279,,,,0,0,,,,,,EAST HAMPTON CTR CONTEMPORARY ART,NEW YORK,NY,10007-3001,BMF89,PF,Z,Z99,0.8700600000000001,36061.0,10007.0,10007.0,5602.0,5600.0,36061.0,,,199112,199112,NY,10007.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A20,A,,
3658,112801382,1992,1991,3,0,0,124,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,1987.0,0,0,9506.0,3.0,124209000.0,1.0,0.0,MOVEMENT INTERFACE RES INST,BROOKLYN,NY,11206-3040,BMF95,PFZ,Z,Z99,0.867816,36047.0,11206.0,11206.0,5602.0,5600.0,36047.0,4.0,,199206,199206,NY,11206.0,BROOKLYN,PF,O,UN,Z,IN,,6,209.0,0.0,31 LEONARD ST 1M,3.0,0.0,1000.0,,1.0,11.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
3761,112942428,1992,1992,3,1,1,90,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7100,0,0,0,0,0,0,0,0,7100,5855,1245,5855,0,0,0,4485,0,0,0,0,0,4485,0,0,4.0,1.0,1989.0,13200,4407,9412.0,3.0,90000000.0,1.0,0.0,PODVAL ARTS & POETRY GALLERIES,BROOKLYN,NY,11235-5841,BMF95,PF,Z,Z99,0.0817061,36047.0,11235.0,11235.0,5602.0,5600.0,36047.0,4.0,,199212,199212,NY,11235.0,BROOKLYN,PF,O,UN,Z,IN,,12,0.0,0.0,150 BRIGHTON 15TH ST,3.0,0.0,1000.0,V MOLOT ESQ,1.0,11.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
3768,112948645,1992,1991,3,4,3,602,,0,0,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,50000,3887,0,0,0,0,0,0,14000,54087,22269,31818,16748,4087,41,0,176880,0,0,0,0,0,176880,0,6961,4.0,1.0,1989.0,122776,191943,9506.0,3.0,602000000.0,1.0,0.0,WORLD JOURNAL CULTURE FND,FLUSHING,NY,11354-0000,BMF95,PF,Z,Z99,0.568562,36081.0,11354.0,11354.0,5602.0,5600.0,36081.0,4.0,,199206,199206,NY,11354.0,FLUSHING,PF,O,UN,Z,IN,,6,0.0,0.0,141 07 20TH AVE,3.0,0.0,1000.0,,1.0,11.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
3794,112994852,1992,1992,3,0,0,602,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,9106.0,0,0,9412.0,3.0,602000000.0,1.0,0.0,JUDAICA FND RES & PUBLICATION,NEW YORK,NY,10038-2400,BMF95,PFZ,Z,Z99,0.679976,36061.0,10038.0,10038.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10038.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,245 PARK AVE 1600,3.0,0.0,1000.0,% HAVAZELET,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
3818,113028110,1991,1991,3,0,2,429,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,17300,0,0,17300,18609,-1309,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,1992.0,28337,11120,9412.0,3.0,429120408.0,1.0,0.0,LAC HONG MAGAZINE,BROOKLYN,NY,11218-1754,BMF95,PF,Z,Z99,0.13276300000000002,36047.0,11218.0,11218.0,5602.0,5600.0,36047.0,4.0,,199112,199112,NY,11218.0,BROOKLYN,PF,O,UN,Z,IN,,12,120.0,408.0,81 OCEAN PKY RM 3G,3.0,0.0,2000.0,% DIEN THOAI,1.0,11.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
3826,113038143,1992,1991,3,3,4,200,,0,0,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,256500,0,11628,20616,0,0,0,0,254500,288744,254832,33912,254658,32244,322,0,63059,0,0,0,0,0,63059,0,7401,4.0,1.0,1991.0,303970,233925,9411.0,3.0,200000000.0,1.0,0.0,NOSSEN FND,BROOKLYN,NY,11230-5102,BMF95,PF,Z,Z99,0.9387059999999999,36047.0,11230.0,11230.0,5602.0,5600.0,36047.0,4.0,,199211,199211,NY,11230.0,BROOKLYN,PF,O,UN,Z,IN,,11,0.0,0.0,1280 OCEAN PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
3857,113081355,1992,1992,3,0,0,91,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,1992.0,0,0,9412.0,3.0,91092000.0,1.0,0.0,DAN FLAVIN ART FND,NEW YORK,NY,10017-3140,BMF95,PFZ,Z,Z99,0.424551,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,92.0,0.0,237 PARK AVE 21ST FL,3.0,0.0,1000.0,% THOMAS J KOVARCIK,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
3884,113137086,1992,1992,3,4,4,0,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,150000,18,0,0,0,0,0,0,0,150018,0,150018,0,18,0,0,150018,0,0,0,0,0,150018,304,304,4.0,1.0,1995.0,129385,351109,9412.0,3.0,560000000.0,2.0,0.0,J Z L FND,HOLLISWOOD,NY,11423-0000,BMF95,PF,A,A99,0.9407989999999999,36081.0,11423.0,11423.0,5602.0,5600.0,36081.0,4.0,,199212,199212,NY,11423.0,HOLLISWOOD,PF,O,AR,A,IN,,12,0.0,0.0,87 09 CLIO ST,3.0,0.0,1000.0,% MICKEY WOHL,1.0,11.0,1.0,2.0,,A,AR,AR,AR,3.0,,,,,,,A99,A,,
4050,116036776,1993,1992,2,4,2,60,,0,0,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,16081,0,0,0,0,0,0,0,0,16081,14113,1968,7499,0,0,0,472248,0,0,0,0,6558,472248,0,935,3.0,1.0,1963.0,24317,488996,9503.0,3.0,60091000.0,1.0,0.0,ANONYMOUS ARTS RECOVERY SOC,NEW YORK,NY,10012-5115,BMF95,PF,Z,Z99,0.225728,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,3.0,,199303,199303,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,3,91.0,0.0,380 W BROADWAY,3.0,0.0,1000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A03,A,,
4157,116101563,1992,1991,3,1,1,119,,0,0,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3000,0,0,0,0,0,0,0,0,3000,2183,817,1570,0,0,0,1067,0,0,0,0,0,1067,0,32,4.0,1.0,1968.0,500,435,9406.0,3.0,119059000.0,1.0,0.0,FND CLASSIC THEATRE & ACAD,NEW YORK,NY,10036-7211,BMF95,PF,Z,Z99,0.306341,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,4.0,,199206,199206,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,6,59.0,0.0,220 W 42ND ST,3.0,0.0,2300.0,% N J STATHIS,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,
4206,130429640,1992,1992,2,8,8,65,,0,0,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,279295,0,1524887,855942,0,0,374869,70556,652900,3034993,1743057,1291936,1687006,2633210,0,1777268,27331657,27309409,0,0,27309409,3011,29308654,0,1315866,2.0,1.0,1935.0,4286542,31574028,9512.0,3.0,65207060.0,1.0,0.0,AMER ACAD ARTS & LETTERS,NEW YORK,NY,10032-7501,BMF95,PF,Z,Z99,0.434274,36061.0,10032.0,10032.0,5602.0,5600.0,36061.0,2.0,,199212,199212,NY,10032.0,NEW YORK,PF,O,UN,Z,IN,,12,207.0,60.0,633 W 155TH ST,3.0,0.0,2300.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A25,A,,
4220,131624012,1992,1992,2,9,9,119,,0,0,,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,5195671,130428,5325723,9773783,0,403428,558549,247700,0,21387582,8679349,12708233,7589518,13824237,276485,6976932,118882066,12470411,44044340,48416038,104930789,1174183,140345208,0,6756182,3.0,1.0,1939.0,156769867,130290814,9412.0,3.0,119059060.0,3.0,0.0,FRICK COLLECTION,NEW YORK,NY,10021-4907,BMF95,PF,Z,Z99,0.16223800000000002,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,199212,199212,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,59.0,60.0,1 E 70TH ST,3.0,0.0,1200.0,,1.0,13.0,1.0,3.0,,Z,UN,UN,OT,3.0,,,,,,,A51,A,,
4239,131656673,1992,1991,2,6,4,119,,0,0,,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,174678,21954,39501,28054,0,0,93711,37818,26032,357898,355738,2160,296754,32545,325,98202,1167886,11790,473853,61575,547218,120276,1826221,0,88328,3.0,1.0,1939.0,582937,1039145,9509.0,3.0,119059040.0,1.0,0.0,NAT SCULPTURE SOC,NEW YORK,NY,10036-2714,BMF95,PF,Z,Z99,0.463678,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,3.0,,199209,199209,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,9,59.0,40.0,1177 AVE OF THE AMERICAS,3.0,0.0,2000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,
4268,131790739,1993,1992,3,6,5,561,,0,0,,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,86210,6975,111085,0,-158,0,0,30000,96329,204112,156288,47824,132950,102155,1022,102155,1614774,1141911,30,0,1141941,4554,1709327,0,82370,4.0,1.0,1953.0,198848,1647637,9504.0,3.0,561000000.0,1.0,0.0,MUSICIANS FND,NEW YORK,NY,10001-3507,BMF95,PF,Z,Z99,0.775509,36061.0,10001.0,10001.0,5602.0,5600.0,36061.0,4.0,,199304,199304,NY,10001.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,200 W 55TH ST,3.0,0.0,1000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
4288,131873289,1992,1992,3,5,4,119,,0,0,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,4570,161,80191,13057,0,0,0,0,53800,97980,122089,-24109,102885,74334,743,0,989759,329296,343114,244713,917123,243,1429981,0,71100,4.0,1.0,1942.0,621685,1168493,9412.0,3.0,119000000.0,1.0,0.0,BAGBY FND MUSICAL ARTS,NEW YORK,NY,10017-6103,BMF95,PF,A,A50,0.26615500000000003,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10017.0,NEW YORK,PF,O,AR,A,IN,,12,927.0,561.0,501 FIFTH AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A68,A,,
4300,131926551,1992,1992,3,7,5,119,,0,0,,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,203545,6271,510821,130241,0,0,0,124995,642570,850878,935203,-84325,804915,860468,8605,0,9049271,5011590,3064034,0,8075624,20368,11598145,0,566462,4.0,1.0,1979.0,1028353,9383199,9412.0,3.0,119000000.0,1.0,0.0,HARKNESS FND DANCE,NEW YORK,NY,10017-1259,BMF95,PF,Z,Z99,0.881792,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,145 E 48TH ST SUITE 26C,3.0,0.0,1000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
4306,131947036,1992,1991,2,1,3,119,,0,0,,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,31377,2,37,0,0,0,31697,0,0,63113,62172,941,30436,39,0,0,3046,0,180,0,180,7750,4586,0,126,3.0,1.0,1963.0,82206,504,9504.0,3.0,119059000.0,1.0,0.0,AMOR ARTIS,NEW YORK,NY,10028-0040,BMF95,PF,Z,Z99,0.7935369999999999,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,3.0,,199204,199204,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,4,59.0,0.0,175 RIVERSIDE DR,3.0,0.0,1200.0,% JEAN CANNON APT 5H,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
4343,132509763,1991,1991,3,0,0,602,,0,0,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,1300,0,1772,-1772,1772,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,,ARTISTS CIVIL RIGHTS ASSISTANCE FND,BROOKLYN,NY,11215-3701,BMF89,PF,Z,Z99,0.699724,36047.0,11215.0,11215.0,5602.0,5600.0,36047.0,,,199112,199112,NY,11215.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A02,A,,
4387,132621140,1992,1992,3,4,3,161,,0,0,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,33000,0,0,0,0,0,0,0,0,36088,36879,-791,31694,0,0,0,436285,0,0,0,0,0,870417,0,43634,4.0,1.0,1968.0,9935,405146,9412.0,3.0,161180602.0,1.0,0.0,VIOLA W BERNARD FND,NEW YORK,NY,10021-2651,BMF95,PF,Z,Z99,0.9116879999999999,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,180.0,602.0,930 FIFTH AVE,3.0,0.0,1000.0,% HARRY GOODKIN & CO,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
4453,132760185,1993,1992,2,4,3,8,,0,0,,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,51000,0,0,0,0,24312,0,0,25,75312,71880,3432,25,0,0,0,180400,0,0,0,0,1266,180400,0,8917,2.0,1.0,1974.0,97261,165784,9506.0,3.0,8000000.0,1.0,0.0,EAKINS PRESS FND,NEW YORK,NY,10023-6226,BMF95,PF,Z,Z99,0.9507129999999999,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,199306,199306,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,15 W 67TH ST,3.0,0.0,1000.0,%LESLIE KATZ,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4487,132874843,1992,1992,3,2,2,995,,0,0,,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,18000,0,0,0,0,0,0,0,0,18000,7667,10333,7667,0,0,0,10875,0,0,0,0,0,10875,0,87,4.0,1.0,1977.0,12238,3622,9512.0,3.0,995119000.0,1.0,0.0,LAURA PAWEL DANCE COMPANY,NEW YORK,NY,10023-3402,BMF95,PF,Z,Z99,0.772833,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,199212,199212,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,15 W 72ND ST,3.0,0.0,2000.0,,1.0,13.0,1.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
