,CODE990,SUBSECCD,EIN,TAXPER,DLN,NTEE,ACTIV,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,REASON,Q78A,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,STYEAR,FISYR,verify,TOTREV,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,FIPS,MSA_NECH,PMSA,NteeDraft,ConfidenceDraft,NteeOldA,Confidence,NteeCC4d,FipsOldA,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,DocCd
8741,1,4,130623590,200312,29490276140184,A33,0,0,0,0,0,520502,0,0,0,87507191,85690428,87507191,8946612,74824048,366746,0,7539396,76474567,9459164,1650519,74570984,0,0,0,0,0,0,0,0,0,0,0,0,2244691,0,1557698,0,N,520502,0,55000,55000,0,0,83129300,1816763,81312537,0,0,85690428,76743816,0,2887455,309855,0,0,1433955,6603,-2172832,-1919768,0,0,0,0,0,0,0,0,0,0,0,10016.0,FORWARD ASSOC INC,SAMUEL NORICH,45 E 33RD ST,NEW YORK,NY,10016-5336,0.0,3.0,1.0,200108.0,2.0,0.0,1.0,13.0,0.0,10.0,12,RADIO BROADCASTING & PUBLISHING DIV,0.0,0.0,0.0,2003,2003,,85690428,A33,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.27624,C,36061.0,5602.0,5600.0,A33,C,A33,C,,36061.0,NY,10016.0,NEW YORK,1306235902003.0,A33,A,core2003co_ver1,PC,O,AR,A,IN,,A33,A,511100.0,90
8780,1,6,130951470,200308,29490206006144,,119,0,2608933,0,0,71445,0,0,0,2743701,2743701,5352634,5328167,2080984,410875,0,3171717,2875784,1115200,794800,0,0,0,0,0,0,0,0,0,0,0,0,0,2672256,0,0,0,N,71445,0,0,0,0,0,0,0,0,0,0,5352634,24467,0,1771077,0,0,0,0,0,0,2056517,0,0,0,0,0,0,0,0,0,0,0,10036.0,LEAGUE OF AMERICAN THEATRES AND PRODUCERS INC,,226 W 47TH ST,NEW YORK,NY,10036-1413,0.0,3.0,2.0,194210.0,2.0,0.0,1.0,13.0,0.0,10.0,8,,119.0,205.0,279.0,2002,2003,,5352634,A99,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.46758999999999995,,36061.0,5602.0,5600.0,A99,C,Z99,C,,36061.0,NY,10036.0,NEW YORK,1309514702003.0,A0365,A,core2003co_ver1,PC,O,AR,A,IN,,A0365,A,813920.0,90
8812,1,6,131087160,200312,29490318324164,,200,0,9274400,4537800,4542800,83700,0,0,0,9723200,5180400,18997600,14007700,5158500,2046900,0,6169600,7480500,1427700,2322000,0,0,0,0,0,0,0,0,0,0,0,0,394400,4081000,-22200,648500,0,N,0,83700,0,0,0,-5000,0,0,0,372200,0,14060400,52700,363900,2630600,275000,0,0,0,0,0,4741900,0,0,0,0,0,0,0,0,0,0,0,10019.0,MAGAZINE PUBLISHERS OF AMERICA INC,,810 SEVENTH AVE STE 24 FL,NEW YORK,NY,10019-5818,0.0,3.0,2.0,194209.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,200.0,0.0,0.0,2003,2003,,14060400,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.6450199999999999,,36061.0,5602.0,5600.0,A01,C,Z99,C,,36061.0,NY,10019.0,NEW YORK,1310871602003.0,A33,A,core2003co_ver1,PC,O,AR,A,IN,,A0333,A,813920.0,90
8860,1,6,131374145,200312,29490213244084,,200,0,23800,0,0,609,0,0,0,8817,8817,32617,51141,115264,25000,0,133788,115264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3837,4371,0,N,609,0,0,0,0,0,0,0,0,3837,0,32617,-18524,0,0,0,0,0,0,0,0,133788,0,0,0,0,0,0,0,0,0,0,0,10018.0,TEXTILE DISTRIBUTORS ASSOCIATION INC,,980 AVE OF AMERICAS 3RD F,NEW YORK,NY,10018-0000,0.0,3.0,2.0,194409.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,200.0,279.0,0.0,2003,2003,,32617,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.8558399999999999,,36061.0,5602.0,5600.0,A01,C,Z99,C,,36061.0,NY,10018.0,NEW YORK,1313741452003.0,A40,A,core2003co_ver1,PC,O,AR,A,IN,,A40,A,710000.0,90
8868,1,6,131394480,200312,29490241359274,,205,0,1878386,0,0,0,0,0,0,772285,772285,2650671,1956448,275493,313933,0,779126,442047,1197856,166554,275493,0,0,0,0,0,0,0,0,0,0,0,0,772285,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,2650671,694223,0,419425,44027,0,0,0,0,-418730,-418730,0,0,0,0,0,0,0,0,0,0,0,10170.0,TRAFFIC AUDIT BUREAU FOR MEDIA MEASUREMENT INC,,420 LEXINGTON AVENUE 2520,NEW YORK,NY,10170-2599,0.0,3.0,2.0,195501.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,205.0,0.0,0.0,2003,2003,,2650671,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.19264,,36061.0,5602.0,5600.0,A01,C,Z99,C,,36061.0,NY,10170.0,NEW YORK,1313944802003.0,A30,B,core2003co_ver1,PC,O,AR,A,IN,,A30,A,510000.0,90
8880,1,4,131426099,200404,29490255196074,,999,0,825,0,0,285,0,0,0,89422,89422,90247,8780,147058,0,0,143912,147058,0,0,147058,0,0,0,0,0,0,0,0,0,0,0,89275,0,-138,0,0,N,285,0,0,0,0,0,0,0,0,89137,0,972,-7808,10954,0,0,0,0,0,0,143912,143912,0,0,0,0,0,0,0,0,0,0,0,11223.0,UNITED IRISH COUNTIES ASSOCIATION OF NEW YORK INC,CATHERINE M MICELI,225 AVENUE T APT 6F,BROOKLYN,NY,11223-3811,0.0,3.0,1.0,195604.0,2.0,0.0,5.0,11.0,0.0,10.0,4,,999.0,0.0,0.0,2003,2004,,972,A23,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.0031,,36047.0,5602.0,5600.0,A23,A,Z99,A,,36047.0,NY,11223.0,BROOKLYN,1314260992004.0,A23,A,core2003co_ver1,PC,O,AR,A,IN,,A23,A,710000.0,90
8898,1,6,131505524,200312,29490332375054,,205,0,611553,17630,0,40733,0,0,0,1816653,1816653,2428206,1628485,5905301,119127,0,5382577,7921222,244754,2015921,0,0,0,0,0,0,0,0,0,0,0,0,268825,0,510072,979393,0,Y,7618,33115,0,0,0,17630,0,0,0,778897,0,2159381,530896,236582,397024,45852,0,0,0,0,0,5137823,0,0,0,0,0,0,0,0,0,0,0,10012.0,AMERICAN INSTITUTE OF ARCHITECTS,,535 LA GUARDIA PLACE,NEW YORK,NY,10012-1402,0.0,3.0,1.0,194208.0,2.0,0.0,1.0,13.0,0.0,10.0,12,N Y CHAPTER,205.0,40.0,279.0,2003,2003,,2159381,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.54909,B,36061.0,5602.0,5600.0,A40,B,A40,B,,36061.0,NY,10012.0,NEW YORK,1315055242003.0,A40,B,core2003co_ver1,PC,O,AR,A,IN,,A40,A,710000.0,90
8906,1,6,131520977,200309,29409003072054,,119,0,66135,0,0,0,0,0,0,0,0,66135,78154,40957,0,0,52976,40957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,66135,-12019,0,0,0,0,0,0,0,0,52976,0,0,0,0,0,0,0,0,0,0,0,10021.0,ART & ANTIQUE DEALERS LEAGUE OF AMERICA INC,,1040 MADISON AVE,NEW YORK,NY,10021-0111,0.0,3.0,1.0,197601.0,2.0,0.0,1.0,13.0,0.0,10.0,9,,119.0,0.0,0.0,2002,2003,,66135,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.20623000000000002,,36061.0,5602.0,5600.0,A01,B,Z99,B,,36061.0,NY,10021.0,NEW YORK,1315209772003.0,A0380,A,core2003co_ver1,PC,O,AR,A,IN,,A0380,A,813920.0,9
8929,1,7,131572247,200407,29490333127254,A6AI,119,0,317981,0,0,3746,0,146972,845896,996614,849642,1314595,1176224,734271,0,0,1595155,1550225,852283,815954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,3746,0,0,0,0,0,0,0,0,0,992868,1167623,-8601,0,390482,48468,0,0,0,0,0,742872,0,0,0,0,0,0,0,0,0,0,0,10023.0,METROPOLITAN OPERA CLUB INC,,LINCOLN CTR,NEW YORK,NY,10023-0000,0.0,3.0,1.0,194608.0,2.0,0.0,1.0,13.0,0.0,10.0,7,,119.0,319.0,0.0,2003,2004,,1167623,A11,A,O,S,ZA,A,A,IN,,1,AR,AR,AR,0.34476999999999997,A,36061.0,5602.0,5600.0,N60,A,A11,A,,36061.0,NY,10023.0,NEW YORK,1315722472004.0,A11,A,core2003co_ver1,PC,S,ZA,A,IN,,A11,A,813219.0,90
8985,1,4,131673348,200402,29490213097314,,908,0,1200,0,0,16272,0,0,0,171982,171982,173182,38790,460283,0,0,251106,460283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5710,0,0,0,N,0,16272,0,0,0,0,150000,0,150000,0,0,173182,134392,74785,2923,356,0,0,0,0,0,251106,0,0,0,0,0,0,0,0,0,0,0,10024.0,OLD GUARD OF THE CITY OF NEW YORK,,307 W 91ST ST,NEW YORK,NY,10024-1001,0.0,3.0,3.0,195203.0,2.0,0.0,1.0,13.0,0.0,10.0,2,,908.0,0.0,0.0,2003,2004,,173182,A82,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.19971,,36061.0,5602.0,5600.0,A82,A,Z99,A,,36061.0,NY,10024.0,NEW YORK,1316733482004.0,W20,C,core2003co_ver1,PC,O,AR,A,IN,,W20,W,813410.0,90
9138,1,6,131777183,200312,29490213250254,,919,0,4964276,0,0,69068,0,0,0,467691,467691,5431967,5431246,3322735,647248,0,3991495,4082520,1027406,759785,0,0,0,0,0,0,0,0,0,0,0,0,0,340726,0,899,0,N,69068,0,56998,56998,0,0,0,0,0,0,0,5431967,721,357925,1944620,129198,0,0,0,0,0,2964089,0,0,0,0,0,0,0,0,0,0,0,10022.0,TELEVISION BUREAU OF ADVERTISING INC,,3 E 54TH ST,NEW YORK,NY,10022-3108,0.0,3.0,1.0,195602.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,919.0,200.0,59.0,2003,2003,,5431967,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.22746999999999998,,36061.0,5602.0,5600.0,A01,B,Z99,B,,36061.0,NY,10022.0,NEW YORK,1317771832003.0,A0132,B,core2003co_ver1,PC,O,AR,A,IN,,A0132,A,813319.0,90
9141,1,6,131783842,200312,29490318371064,A33C,200,0,360411,15000,15105,3868,0,0,0,832895,817790,1193306,457819,811391,0,0,525087,813560,2180,2169,811391,0,0,0,0,0,0,0,0,0,0,0,434981,0,375317,3729,0,N,3868,0,0,0,0,-105,0,0,0,810298,0,743220,285401,3083,6240,6373,0,0,0,0,522907,522907,0,0,0,0,0,0,0,0,0,0,0,10036.0,ANTIQUARIAN BOOKSELLERS ASSOC OF AMERICA INC SHOP 2 CONCOURSE,,20 W 44TH ST 4TH FLR,NEW YORK,NY,10036-6604,0.0,3.0,2.0,195109.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,200.0,0.0,0.0,2003,2003,,743220,A03,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.39466999999999997,A,36061.0,5602.0,5600.0,A03,A,A03,A,,36061.0,NY,10036.0,NEW YORK,1317838422003.0,A0333,A,core2003co_ver1,PC,O,AR,A,IN,,A0333,A,813920.0,90
9214,1,6,131892640,200312,29490143197394,,200,0,45750,0,0,445,0,0,0,82535,82535,128285,49255,143232,0,0,64202,143232,0,0,143232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82090,0,N,445,0,0,0,0,0,0,0,0,0,0,128285,79030,0,0,0,0,0,0,0,64202,64202,0,0,0,0,0,0,0,0,0,0,0,10011.0,CULTURED PEARL ASSOCIATION OF AMERICA INC,,445 W 23RD ST,NEW YORK,NY,10011-1444,0.0,3.0,2.0,195912.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,200.0,919.0,0.0,2003,2003,,128285,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.9619,,36061.0,5602.0,5600.0,A01,C,Z99,C,,36061.0,NY,10011.0,NEW YORK,1318926402003.0,S01,C,core2003co_ver1,PC,O,AR,A,IN,,S01,S,813319.0,90
9264,1,6,131951979,200308,29490199182084,A32Z,205,0,438885,2458097,2412657,162519,0,0,0,8223836,5811179,8662721,7562603,4199424,667788,0,7655557,5960046,1834662,1760622,0,0,0,0,0,0,0,0,0,0,0,0,0,5556650,0,46570,0,Y,162519,0,0,0,0,45440,0,0,0,0,0,6250064,-1312539,-308932,0,0,0,0,0,0,0,5820895,0,0,0,0,0,0,0,0,0,0,0,10019.0,NATIONAL ACADEMY OF TELEVISION ARTS AND SCIENCES,,111 W 57TH ST,NEW YORK,NY,10019-2211,3005.0,6.0,2.0,197610.0,2.0,0.0,5.0,13.0,0.0,10.0,8,,205.0,0.0,0.0,2002,2003,,6250064,A03,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.14090999999999998,A,36061.0,5602.0,5600.0,A03,A,A03,A,,36061.0,NY,10019.0,NEW YORK,1319519792003.0,A0332,A,core2003co_ver1,PC,O,AR,A,IN,,A0332,A,813920.0,90
9277,1,6,131959701,200312,29409122085334,,59,177,28951,0,0,3107,0,0,0,3107,3107,32235,32822,184517,0,0,174281,184517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,3107,0,0,0,0,0,0,32235,-587,10823,0,0,0,0,0,0,0,174281,0,0,0,0,0,0,0,0,0,0,0,10032.0,INTERNATIONAL LINGUISTIC ASSOCIATION,COOPER FINANCIAL GROUP INC,613 W 155TH ST,NEW YORK,NY,10032-7501,0.0,3.0,1.0,195004.0,1.0,0.0,1.0,13.0,0.0,10.0,12,,59.0,0.0,0.0,2003,2003,,32235,A70,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.9971200000000001,B,36061.0,5602.0,5600.0,A70,B,A70,B,,36061.0,NY,10032.0,NEW YORK,1319597012003.0,A70,A,core2003co_ver1,PC,O,AR,A,IN,,A70,A,710000.0,9
9306,1,6,131996451,200312,29490325029274,,920,0,834391,0,0,38159,0,0,0,38159,38159,872550,828346,629843,310000,0,688305,1080817,95851,450974,629843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,38159,0,0,0,0,0,0,0,0,0,872550,44204,-6815,182933,25765,0,0,0,0,592454,592454,0,0,0,0,0,0,0,0,0,0,0,10017.0,MEDIA RATING COUNCIL INC,,370 LEXINGTON AVE STE 902,NEW YORK,NY,10017-6503,0.0,3.0,2.0,196512.0,2.0,0.0,1.0,13.0,0.0,10.0,12,,920.0,905.0,0.0,2003,2003,,872550,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.15179,,36061.0,5602.0,5600.0,A01,C,Z99,C,,36061.0,NY,10017.0,NEW YORK,1319964512003.0,A30,B,core2003co_ver1,PC,O,AR,A,IN,,A30,A,510000.0,90
