,EIN,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,NTEE,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDCD,ORGCD,DISTRICT,ARED,TAXPER,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,OUTREAS,OUTNCCS,LEVEL2,LEVEL3,LEVEL4,LEVEL1,RASCD,RINCCD,REXPCD,RREVCD,VBS,VFB,VINCEXP,VINCTYPE,VOK,FIPS,MSA_NECH,FNDNCD,CATEGORY,SUBCATEGORY,FY_97,FISYR,BOND_BOY,BOND_EOY,CONT4,DUES4,GRREC4,GRTNONTX,GVTSRV4,INCPURP4,INVENTG,INVINC4,LOBNOTAX,LOBOTH,MRTG_BOY,MRTG_EOY,NETA_BOY,NETINC,NETRENT,NTEECC,NTEECC3D,OTHCHGS,OTHINC4,OTHINVST,OTHSAL,PAYTAX,RENTINC,RETE_BOY,SALEOTHE,SALEOTHG,SALEOTHN,SALESECN,SAVINT,SECINC,SPEVTG,TAXREV4,TOTREV2,ZIP5,LIBEOY97,LIB97,V_BOYAL,V_FB,V_REVEXP,V_EOYAL,NTEE4CD,NTEEDEC,NTEEMID,NTEE1,NTEECODE,V_FREXP,V_CONT,V_GREC,NTEECC4D,PMSA,NTEEIRS,REASON,RandNum,zipnew,fipsold,v_errorCd,NTmaj12,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,GovGtEstimate,GovGtCode,GovGtYr
11922,61267752,1997,9063,0,0,0,0,0,0,0,50058,50058,59121,57798,-6750,0,0,4827,5950,12900,12700,0,0,0,0,0,0,0,0,0,0,0,0,0,50058,0,0,,59121,A65,,29TH STREET REPERTORY THEATRE INC,% TIMOTHY J CORCORAN,212 W 29TH ST,NEW YORK,NY,10001-5201,0.0,3,3.0,2000.0,199104.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,88.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1997,0,0,27070,0,270880,0,0,27070,0,0,0,0,0,0,-8073,1323,0,A65,,0,297950,0,0,0,0,0,0,0,0,0,0,0,0,0,59121,10001.0,0,0,1,9,1,9,,6.0,65,A,Z,1,1,1,,5600.0,,9,0.8421360000000001,10001.0,3606.0,,AR,A65,NY,10001.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,0.0,3b,1998.0
11959,61278112,1996,58421,0,0,0,56,0,0,0,56,56,58477,56229,10153,0,0,40448,38311,40448,28158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58477,A99,,CONSCIENTIOUS MUSICAL REVIEWS,% VALENCIA EMANUEL,100 ALCOTT PL 19L,BRONX,NY,10475-4130,0.0,3,3.0,1000.0,199405.0,1.0,,1.0,13.0,0.0,199612,10.0,12,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36005.0,5602.0,15.0,A,A99,,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247,0,A99,,7905,0,56,0,0,0,0,0,0,0,0,0,0,0,0,58477,10475.0,0,0,9,2,9,1,,9.0,99,A,Z,1,1,1,,5600.0,,0,0.0846928,10475.0,3600.0,,AR,A68,NY,10475.0,BRONX,A68,,A,AR,AR,PC,O,AR,A,IN,,A68,A,0.0,6,2003.0
12017,61297352,1995,151738,0,0,0,0,0,0,0,123635,123635,275373,269335,71538,0,0,97860,89668,32360,18130,0,0,0,0,0,0,0,0,0,0,0,0,0,123635,0,0,,275373,A65,,NIGHT KITCHEN INC,,10 E 53RD ST,NEW YORK,NY,10022-5244,0.0,3,3.0,1000.0,199008.0,1.0,,1.0,13.0,199406.0,199606,10.0,6,,200.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1996,0,0,1271800,0,438804,0,0,1280890,0,8096,0,0,0,0,65500,6038,0,A65,,0,1719700,0,24467,5871,0,0,0,0,0,0,0,0,0,0,275373,10022.0,0,0,.,1,1,1,,6.0,65,A,Z,1,1,1,,5600.0,,9,0.9048799999999999,10022.0,3606.0,,AR,A65,NY,10022.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,,u,
12085,61313662,1997,170260,0,251055,134208,50666,0,0,0,301721,167513,471981,332783,3125100,28225,0,2332230,3129630,7030,4537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,337773,A26,,THE ELIZABETH FOUNDATION FOR THE ARTS,% JANE STEPHENSON,PO BOX 2670,NEW YORK,NY,10108-2670,0.0,3,3.0,1000.0,199211.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,91.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A26,,1997,0,0,243907,0,0,0,0,406185,0,162278,0,0,0,0,2325200,4990,0,A26,,794909,406185,0,5804,4772,0,0,0,0,0,116847,2761,47905,0,0,337773,10108.0,0,0,1,2,9,1,,2.0,26,A,Z,1,1,1,,5600.0,A51Z,7,0.07282739999999999,10108.0,3606.0,,AR,A90,NY,10108.0,NEW YORK,A90,,A,AR,AR,PC,O,AR,A,IN,,A90,A,0.0,1e,2098.0
12188,61336766,1996,40021,0,0,0,27,0,0,0,7850,7850,47871,46697,-3464,0,0,14303,67,18941,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,7823,0,0,,47871,A65,,VIA THEATER INC,,PO BOX 1022 MURRAY HILL S,NEW YORK,NY,10156-1022,0.0,3,3.0,1000.0,199207.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1997,0,0,73005,0,195812,0,0,73080,0,75,0,0,0,0,-4638,1174,0,A65,,0,268892,27,0,0,0,0,0,0,0,0,0,0,0,0,47871,10156.0,0,0,1,9,1,9,,6.0,65,A,Z,1,1,1,,5600.0,A60Z,7,0.923566,10156.0,3606.0,,AR,A65,NY,10156.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,0.0,3b,1998.0
12435,61402785,1996,8466,0,0,0,0,0,0,0,164934,164934,173400,172043,-4215,79203,0,19304,2814,24877,7029,0,0,0,0,0,0,0,0,0,0,0,0,0,164934,0,0,,173400,A19,,42ND STREET COLLECTIVE,% RANDEE SMITH NGUYEN,432 W 42ND ST 4TH FLR,NEW YORK,NY,10036-6812,0.0,3,3.0,2000.0,199507.0,1.0,,1.0,13.0,0.0,199708,10.0,8,,30.0,90.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,11.0,A,A19,,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5573,1357,0,A19,,0,0,0,3708,9276,0,0,0,0,0,0,0,0,0,0,173400,10036.0,0,0,1,9,1,9,,1.0,19,A,P,1,1,1,6,5600.0,A6EP,2,0.6274529999999999,10036.0,3606.0,,AR,A19,NY,10036.0,NEW YORK,A19,,A,AR,AR,PC,O,AR,A,IN,,A19,A,,u,
13246,111630813,1996,1089140,55221,1065230,994454,84973,14477,0,0,1316980,322529,2461340,1298560,8152310,85512,0,8077670,8416290,156801,263981,0,0,0,0,0,0,0,0,0,0,0,0,12750,110998,0,43035,,1454140,A80,,THE BROOKLYN HISTORICAL SOCIETY,,128 PIERREPONT ST,BROOKLYN,NY,11201-2711,0.0,3,3.0,2000.0,193412.0,1.0,,1.0,11.0,0.0,199704,10.0,4,,62.0,61.0,0.0,B9710,,,IN,O,AR,A,PC,5.0,4.0,4.0,4.0,0,,0,,0,36047.0,5602.0,15.0,A,A80,,1997,0,0,4233870,157881,255215,0,0,4856660,0,464907,0,0,0,0,7920870,155585,0,A80,,75851,5111870,0,568590,46355,0,0,0,0,0,70773,0,84973,12750,0,1454140,11201.0,0,0,1,1,9,1,,8.0,80,A,Z,1,1,1,,5600.0,,7,0.024569,11201.0,3604.0,,AR,A80,NY,11201.0,BROOKLYN,A82,,A,AR,AR,PC,O,AR,A,IN,,A82,A,18611.0,1e,2099.0
13275,111631820,1996,2826020,0,143486,54954,15240,0,0,0,373293,318339,3199310,3043440,979657,0,0,730097,1350540,281465,370881,0,0,0,0,0,0,0,0,0,0,0,0,0,214567,0,0,,3144360,A20,,BROOKLYN KINDERGARTEN SOCIETY TOMKINS CHILDREN CENTER,,860 PARK AVE,BROOKLYN,NY,11206-7302,0.0,3,3.0,2000.0,195207.0,1.0,,5.0,11.0,0.0,199706,10.0,6,,46.0,30.0,32.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,4.0,4.0,0,,0,,0,36047.0,5602.0,15.0,A,A20,,1997,0,0,9607010,0,606115,0,0,9667290,0,60276,0,0,0,0,448632,100913,0,A20,,430112,10273400,0,2038090,155914,0,0,0,0,0,88532,15240,0,0,0,3144360,11206.0,0,0,2,2,9,1,,2.0,20,A,Z,1,1,1,,5600.0,,7,0.353454,11206.0,3604.0,,AR,B21,NY,11206.0,BROOKLYN,B21,,A,AR,AR,PC,O,AR,A,IN,,B21,B,2626673.0,3b,1998.0
13344,111672743,1996,21187200,760735,24176700,21041800,1357070,1097460,652256,644353,27990400,6296270,49938300,18401300,90405104,0,0,70510800,93953600,2435400,3548460,0,0,0,0,0,0,0,0,0,0,0,0,0,438880,0,721073,,28244200,A50,,BROOKLYN INSTITUTE OF ARTS AND SCIENCES,,200 EASTERN PKY,BROOKLYN,NY,11238-6052,0.0,3,3.0,1000.0,193506.0,1.0,,1.0,11.0,0.0,199706,10.0,6,BROOKLYN MUSEUM,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,,,,,0,,0,,0,36047.0,5602.0,15.0,A,A50,,1997,0,0,25011200,2941040,6807620,0,3320000,65981700,1296610,3995790,0,0,0,0,68075400,9842880,0,A50,,12486800,72789296,0,8830230,675512,0,0,0,0,0,3134890,227162,1129910,0,30713700,28244200,11238.0,0,0,1,2,9,1,,5.0,50,A,Z,1,1,1,,5600.0,,7,0.790309,11238.0,3604.0,,AR,A51,NY,11238.0,BROOKLYN,A51,,A,AR,AR,PC,O,AR,A,IN,,A51,A,10879752.0,1b,2097.0
13396,111773636,1996,1072060,0,0,0,1953,120187,0,0,816022,816022,1888080,2021130,175981,110000,0,829632,735455,495901,559474,0,0,0,0,0,0,0,0,0,0,0,0,24700,738216,40515,10638,,1863380,A69,,BROOKLYN PHILHARMONIC SYMPHONY ORCHESTRA INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3,3.0,2000.0,195601.0,1.0,,1.0,11.0,0.0,199706,10.0,6,,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,3.0,4.0,4.0,4.0,0,,0,,0,36047.0,5602.0,15.0,A,A69,,1997,0,0,5509100,0,2805140,0,0,5557930,0,6019,0,0,65000,190782,333731,-157750,0,A69,,0,8363070,0,893537,88489,0,0,0,0,0,0,1953,0,65215,0,1863380,11217.0,0,0,1,1,9,1,,6.0,69,A,Z,1,1,1,,5600.0,,7,0.9379280000000001,11217.0,3604.0,,AR,A69,NY,11217.0,BROOKLYN,A69,,A,AR,AR,PC,O,AR,A,IN,,A69,A,329106.0,3b,1998.0
13518,112004760,1996,16320,15560,0,0,29336,0,0,0,166310,166310,198190,208295,270952,0,0,287726,274868,2693,3916,237641,0,0,0,0,0,0,0,0,0,0,0,3976,99720,32571,707,,194214,A6B,,ST CECILIA CLUB INC,,PO BOX 421 FDR STA,NEW YORK,NY,10150-0421,0.0,3,3.0,2000.0,194410.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,119.0,59.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A6B,,1997,0,0,66587,62290,521053,0,0,189248,0,60371,0,0,0,0,285033,-14081,0,A6B,,0,710301,0,25500,2119,0,210151,0,0,0,0,1846,27490,36547,0,194214,10150.0,0,0,1,1,9,1,,6.0,6B,A,Z,1,1,1,,5600.0,,9,0.896632,10150.0,3606.0,,AR,A6B,NY,10150.0,NEW YORK,A6B,,A,AR,AR,PC,O,AR,A,IN,,A6B,A,0.0,3b,1998.0
13535,112034097,1995,134527,0,0,0,0,0,0,0,19000,19000,153527,127054,50062,72150,0,192190,89145,168601,39082,25562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,153527,A6C,,SEUFFERT BAND INC,,45 22 DOUGLASTON PKY,DOUGLASTON,NY,11362-1059,0.0,3,3.0,2000.0,196603.0,1.0,,1.0,11.0,0.0,199512,10.0,12,,59.0,119.0,0.0,B9606,1996.0,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36081.0,5602.0,16.0,A,A6C,,1995,0,0,1132200,0,0,0,0,1132200,0,0,0,0,0,0,23589,26473,0,A6C,,0,1132200,0,0,4315,0,911,0,19000,19000,0,0,0,0,0,153527,11362.0,0,0,.,1,1,1,,6.0,6C,A,Z,1,1,1,,5600.0,,7,0.566345,11362.0,3608.0,,AR,A6C,NY,11362.0,DOUGLASTON,A6C,,A,AR,AR,PC,O,AR,A,IN,,A6C,A,,u,
13556,112104059,1996,4066900,51642,2022330,2004310,66686,233012,104685,189652,3464360,1355370,7582910,5690780,3152520,147480,0,3801880,3537090,430570,384571,0,0,0,0,0,0,0,0,0,0,0,0,0,881693,0,82417,,5473920,A57,,NEW YORK HALL OF SCIENCE,,47 01 111TH ST,CORONA,NY,11368-2999,0.0,3,3.0,2000.0,196411.0,1.0,,1.0,11.0,0.0,199706,10.0,6,,59.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,5.0,5.0,5.0,0,,0,,0,36081.0,5602.0,15.0,A,A57,,1997,0,0,13631000,26290,2953210,0,0,14918500,294337,385623,0,0,0,0,3371310,-216859,116898,A57,,-1929,17871700,0,2658550,203344,116898,0,0,0,0,18026,66686,0,0,0,5473920,11368.0,0,0,1,1,9,1,,5.0,57,A,Z,1,1,1,,5600.0,,7,0.184349,11368.0,3608.0,,AR,A57,NY,11368.0,CORONA,A57,,A,AR,AR,PC,O,AR,A,IN,,A57,A,1615765.0,1d,2098.0
