,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,NTEECC4d,NTEEconf,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEE2,NTEE,NTMAJ12,NTMAJ5,MSA,PMSA,FIPS,RANDNUM,NTEESRC,MSA_NECH,Ntee2007a,Ntee42007a,NteeOldB,DirSupEstimate,DirSupCode,DirSupYr,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
2286,10685280,200512,2005,319984,0,0,0,1821,4249,0,0,114016,114016,434000,245570,321994,0,0,133564,321994,0,0,0,0,0,0,0,0,0,0,0,112195,0,0,,434000,434000,0,0,0,0,0,0,0,188430,0,0,0,0,0,0,0,133564,0,0,0,0,1821,0,0,0,0,0,0,187936,0,0,0,0,0,187936,187936,3,9,0,0,0.0,1.0,29490231213256.0,2005,N,10156-1748,10156.0,10685280200512,106852802005,12,0.0,0.0,0.0,PO BOX 1748,3.0,200612.0,NEW YORK,1.0,MICHAEL WELCH,1.0,13.0,15.0,10.0,0.0,TIBETAN COMMUNITY OF NEW YORK AND NEW JERSEY INC,1.0,200211.0,,NY,rtf05PC,2.0,2.0,2.0,2.0,A,A23,,A,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.9883540000000001,1,5602.0,A23,,B99,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,321994.0,2,2006.0,5252.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,2179.0,4,2006.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,321994.0,6,2003.0,B99,B
2463,10715984,200312,2003,53551,0,0,0,42,0,0,0,42,42,53593,11032,42561,0,0,0,42561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53593,53593,0,0,0,0,0,0,0,42561,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0.0,1.0,29490309073015.0,2003,N,10128-1251,10128.0,10715984200312,107159842003,12,0.0,0.0,0.0,45 E 89TH ST APT F,3.0,200512.0,NEW YORK,1.0,ROBERTA KELLERMAN,1.0,13.0,15.0,20.0,0.0,P R KELLERMAN FOUNDATION,1.0,200305.0,,NY,rtf05PC,1.0,1.0,1.0,1.0,A,A68,,B,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.357678,1,5602.0,A68,,A68,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,,A68,A
2550,10730531,200506,2004,88674,0,0,0,0,0,0,0,0,0,88674,49017,50337,0,0,10680,50337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,88674,88674,0,0,0,0,0,0,0,39657,0,0,0,0,0,0,0,10680,0,0,0,0,0,0,0,0,0,0,0,62725,0,0,0,0,0,62725,62725,3,9,0,0,0.0,1.0,29409189003316.0,2005,N,11354-0000,11354.0,10730531200506,107305312005,6,0.0,0.0,0.0,PO BOX 506,3.0,200606.0,FLUSHING,1.0,ALBERT STERN,1.0,11.0,15.0,10.0,0.0,FRIENDS OF THE NEW YORK CITY HALL OF FAME,1.0,200210.0,,NY,rtf05PC,1.0,1.0,1.0,1.0,A,A11,50.0,A,IN,,AR,A,PC,S,ZA,A,,,AR,AR,5602.0,5600.0,36081.0,0.807546,1,5602.0,A11,50.0,A50,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,,,,PC,S,ZA,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A1150,A
2574,10734181,200412,2004,40223,8160,0,0,0,0,0,0,13064,13064,61447,50955,12711,0,0,2219,12711,0,0,0,0,0,0,0,0,0,0,0,13064,0,0,,61447,61447,0,0,0,0,0,0,0,10492,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0,0,0,0,0,6500,2330,1958,0,0,0,10788,8830,3,9,0,0,,,,2004,N,10003-2965,10003.0,10734181200412,107341812004,12,0.0,0.0,0.0,151 1ST AVE,3.0,200712.0,NEW YORK,1.0,HOWARD MANDEL,1.0,13.0,16.0,10.0,0.0,JAZZ JOURNALISTS ASSOCIATION,1.0,200406.0,,NY,core04PC,,,,,A,A6C,,A,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.142229,1,5602.0,A6C,,N,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,,A6C,A
2600,10738276,200506,2004,872075,0,0,0,11413,38924,0,0,24813,24813,896888,771139,141659,69808,0,91432,164916,75522,23257,0,0,0,0,0,0,0,0,0,13400,0,0,,896888,896888,0,0,0,0,0,0,0,125749,0,174975,21458,0,0,0,0,15910,0,0,0,0,0,0,0,11413,0,0,0,1407000,0,0,4961,0,0,1411961,1411961,3,7,0,0,0.0,1.0,29490217077176.0,2005,N,10014-7002,10014.0,10738276200506,107382762005,6,0.0,0.0,0.0,200 VARICK STREET 500A,3.0,200706.0,NEW YORK,1.0,SUSAN W COULTER,1.0,13.0,15.0,10.0,0.0,CW FILM FOUNDATION INC,1.0,200211.0,,NY,rtf05PC,2.0,3.0,3.0,3.0,A,A31,,A,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.171291,1,5602.0,A31,,A31,872075.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,141659.0,4,2007.0,7920.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,4391.0,4,2007.0,PC,O,AR,A,IN,,0.0,6,2003.0,15795.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A31,A
2759,10769997,200412,2004,500000,0,0,0,8456,0,0,0,8456,8456,508456,117361,878359,0,0,500000,891095,12736,12736,0,0,0,0,0,0,0,0,0,0,0,0,,508456,508456,0,0,0,0,0,0,0,391095,0,0,0,0,0,0,0,487264,0,0,0,0,8456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,,,,2004,N,10128-0112,10128.0,10769997200412,107699972004,12,0.0,0.0,0.0,1071 FIFTH AVE,3.0,0.0,NEW YORK,1.0,THOMAS KRENS,1.0,13.0,17.0,10.0,0.0,HERMITAGE-GUGGENHEIM FOUNDATION INC,1.0,200311.0,,NY,core04PC,,,,,A,A51,,A,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.864542,1,5602.0,A51,,A51,500000.0,5,2004.0,0.0,5,2004.0,0.0,5,2004.0,878359.0,2,2005.0,0.0,8,2004.0,0.0,2,2005.0,0.0,2,2005.0,0.0,8,2004.0,0.0,2,2005.0,0.0,4,2005.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A51,A
2822,10782375,200512,2005,40676,0,0,0,0,0,0,0,0,0,40676,46097,-5421,0,0,15657,15657,15657,15657,0,0,0,0,0,0,0,0,0,0,0,0,,40676,40676,0,0,0,0,0,0,0,-5421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,1.0,29409224031146.0,2005,N,11375-2749,11375.0,10782375200512,107823752005,12,0.0,0.0,0.0,101-18 QUEENS BLVD,3.0,200712.0,FOREST HILLS,1.0,NIKOLOZ CHKHEIDZE,1.0,11.0,16.0,10.0,0.0,TVISTOMI ASSOCIATION CORP,1.0,200405.0,,NY,rtf05PC,1.0,1.0,1.0,1.0,A,A32,,A,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36081.0,0.05168300000000001,1,5602.0,A32,,N,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,,A32,A
2911,10798319,200506,2004,21549,0,0,0,0,2145,0,0,114735,114735,136284,112019,63063,30724,1562,42510,65227,3712,2164,0,0,0,0,0,0,0,0,0,114735,0,0,,136284,136284,0,0,0,0,0,0,0,24265,0,0,0,0,0,0,0,38798,0,0,0,0,0,0,0,0,0,0,0,0,0,88098,0,0,0,88098,0,3,7,0,0,0.0,1.0,29490204033136.0,2005,N,10018-6505,10018.0,10798319200506,107983192005,6,0.0,0.0,0.0,505 8TH AVE 1802,3.0,0.0,NEW YORK,2.0,AMY HERZOG,1.0,13.0,16.0,10.0,0.0,TANK LTD,1.0,200503.0,,NY,rtf05PC,1.0,2.0,2.0,2.0,A,A65,,B,IN,,AR,A,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.583726,1,5602.0,A65,,N,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,,A65,A
2937,10808098,200512,2005,294332,0,0,0,0,54883,0,0,0,0,294332,392366,467,0,0,98501,9171,0,8704,0,0,0,0,0,0,0,0,0,0,0,0,,294332,294332,0,0,0,0,0,0,0,-98034,0,19168,0,0,0,0,0,98501,0,0,0,0,0,0,0,0,0,0,0,183460,0,0,0,0,0,183460,183460,3,7,0,0,0.0,1.0,29490273098166.0,2005,N,10012-1055,10012.0,10808098200512,108080982005,12,0.0,0.0,0.0,143 W 4TH ST,3.0,200812.0,NEW YORK,1.0,WILLIAM H SCHAAP,1.0,13.0,15.0,10.0,0.0,INDEPENDENT WORLD TELEVISION INC,1.0,200503.0,,NY,rtf05PC,1.0,2.0,2.0,2.0,A,A32,,A,IN,,AR,A,PC,O,AR,A,,,AR,AR,,5600.0,36061.0,0.863159,1,5602.0,A32,,N,294332.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,467.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,4,2006.0,PC,O,AR,A,IN,,,,,,,,,,,,,,A32,A
3262,20223438,200512,2005,138261,0,95281,33843,10258,0,0,0,106709,72866,244970,157781,2180683,0,0,2045037,2180683,15000,0,0,0,0,0,0,0,0,0,0,0,0,1170,,211127,211127,0,61438,0,0,0,0,0,53346,97300,26400,2020,0,0,0,0,2030037,0,0,0,0,50,10208,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,62.0,1.0,29490287231096.0,2005,N,10017-1920,10017.0,20223438200512,202234382005,12,62.0,0.0,0.0,17 E 47TH ST,3.0,0.0,NEW YORK,1.0,ROGER HOOKER,1.0,13.0,17.0,10.0,0.0,SAINT-GAUDENS MEMORIAL,1.0,194703.0,,NY,rtf05PC,4.0,2.0,2.0,2.0,A,A80,,B,IN,,AR,A,PC,O,AR,A,,A80Z,AR,AR,5602.0,5600.0,36061.0,0.297989,1,5602.0,A80,,A80,138261.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,2115784.0,2,2006.0,734824.0,2,2006.0,64899.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,0.0,2,2006.0,565365.0,4,2007.0,PC,O,AR,A,IN,,1162474.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,8247.0,6,2003.0,A80,A
