,EIN,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,NTEE,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDCD,ORGCD,DISTRICT,ARED,TAXPER,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,OUTREAS,OUTNCCS,LEVEL2,LEVEL3,LEVEL4,LEVEL1,RASCD,RINCCD,REXPCD,RREVCD,VBS,VFB,VINCEXP,VINCTYPE,VOK,FIPS,MSA_NECH,FNDNCD,CATEGORY,SUBCATEGORY,FY_97,FISYR,BOND_BOY,BOND_EOY,CONT4,DUES4,GRREC4,GRTNONTX,GVTSRV4,INCPURP4,INVENTG,INVINC4,LOBNOTAX,LOBOTH,MRTG_BOY,MRTG_EOY,NETA_BOY,NETINC,NETRENT,NTEECC,NTEECC3D,OTHCHGS,OTHINC4,OTHINVST,OTHSAL,PAYTAX,RENTINC,RETE_BOY,SALEOTHE,SALEOTHG,SALEOTHN,SALESECN,SAVINT,SECINC,SPEVTG,TAXREV4,TOTREV2,ZIP5,LIBEOY97,LIB97,V_BOYAL,V_FB,V_REVEXP,V_EOYAL,NTEE4CD,NTEEDEC,NTEEMID,NTEE1,NTEECODE,V_FREXP,V_CONT,V_GREC,NTEECC4D,PMSA,NTEEIRS,REASON,RandNum,zipnew,nteeOld,MAJGRPB,NTEESRC,ntmaj10,fipsold,v_errorCd,NTmaj12,NCCSKEY2,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
18654,132762322,1997,99332,0,0,0,892,1803,0,0,48267,48267,147599,171740,189417,15000,0,84508,196744,5118,7327,0,0,0,0,0,0,0,0,0,0,0,0,0,46085,0,1290,,147599,A02,,PERFORMING ARTSERVICES INC,,260 W BROADWAY,NEW YORK,NY,10013-2259,0.0,3,3.0,1200.0,197311.0,1.0,,1.0,13.0,0.0,199806,10.0,6,,119.0,59.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A02,,1998,0,0,757314,0,711403,0,0,760790,0,3476,0,0,0,0,79390,-24141,0,A02,,134168,1472190,0,30740,12487,0,0,0,0,0,0,892,0,0,0,147599,10013.0,0,0,1,2,9,1,,,,A,,1,1,1,6,5600.0,A60B,7,0.9559979999999999,10013.0,A02,A,1.0,AR,36061.0,,AR,1327623221998,A02,NY,10013.0,NEW YORK,A02,60,0.0,3a,1998.0,0.0,3a,1998.0,5200.0,3a,1998.0,13203.0,3a,1998.0,184117.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,99332.0,3a,1998.0,18002.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,1800.0,3a,1998.0,0.0,3a,1998.0,178440.0,3a,1998.0,A0260,A
18656,132763351,1996,0,0,0,0,0,0,0,0,25937,25937,25937,27984,-7598,0,0,2560,513,8111,8111,0,0,0,0,0,0,0,0,0,0,0,0,0,25937,0,0,,25937,A62,,KAZUKO HIRABAYASHI DANCE THEATRE INC,% DIKMAN,330 BROOME ST,NEW YORK,NY,10002-2816,0.0,3,3.0,2000.0,197401.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A62,,1997,0,0,4140,0,90193,0,0,4140,0,0,0,0,0,0,-5551,-2047,0,A62,,0,94333,0,0,0,0,0,0,0,0,0,0,0,0,0,25937,10002.0,0,0,9,9,9,9,,,,A,,1,1,1,,5600.0,,7,0.022140200000000002,10002.0,A62,A,1.0,AR,36061.0,,AR,1327633511997,A62,NY,10002.0,NEW YORK,A62,,,,,,,,0.0,6,2001.0,0.0,6,2001.0,0.0,6,2001.0,0.0,6,2001.0,0.0,6,2001.0,0.0,6,2001.0,,,,0.0,6,2001.0,AR,PC,O,AR,A,IN,,0.0,6,2001.0,0.0,6,2001.0,0.0,6,2001.0,0.0,6,2001.0,A62,A
18660,132765717,1997,0,113617,0,0,175,0,0,0,175,175,113792,111125,16709,15528,0,32142,33052,18100,16343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,113792,A60,,WARD-NASSE GALLERY INC,,178 PRINCE ST,NEW YORK,NY,10012-2905,0.0,3,3.0,1000.0,197810.0,1.0,,1.0,13.0,0.0,199806,10.0,6,,90.0,119.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A60,,1998,0,0,0,339930,0,0,0,340504,0,574,0,0,0,0,14042,2667,0,A60,,0,340504,0,0,1443,0,0,0,0,0,0,175,0,0,0,113792,10012.0,0,0,1,1,1,1,,,,A,,1,1,1,,5600.0,,9,0.317676,10012.0,A60,A,1.0,AR,36061.0,,AR,1327657171998,A60,NY,10012.0,NEW YORK,A60,,,,,,,,0.0,3a,1998.0,2404.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,,,,1302.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,3005.0,3a,1998.0,0.0,3a,1998.0,27543.0,3a,1998.0,A60,A
18662,132766701,1997,223578,0,0,0,4776,51439,0,0,4776,4776,228354,197262,121299,37308,16763,108575,124980,18368,3681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,228354,A12,A40Z,CITYARTS INC,,525 BROADWAY 700,NEW YORK,NY,10012-4411,0.0,3,3.0,1000.0,197409.0,1.0,,1.0,13.0,0.0,199808,10.0,8,,349.0,379.0,402.0,B9710,,,IN,S,ZB,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A12,,1998,0,0,771096,0,0,0,0,781258,0,10162,0,0,0,0,90207,31092,0,A12,,0,781258,0,17923,4569,0,0,0,0,0,0,4776,0,0,0,228354,10012.0,0,0,1,1,1,1,,,,A,,1,1,1,2,5600.0,A26Z,9,0.685713,10012.0,A12,A,1.0,AR,36061.0,,AR,1327667011998,A12,NY,10012.0,NEW YORK,A12,61,28210.0,3a,1998.0,0.0,3a,1998.0,90274.0,3a,1998.0,0.0,3a,1998.0,31025.0,3a,1998.0,0.0,3a,1998.0,5303.0,3a,1998.0,0.0,3a,1998.0,195368.0,3a,1998.0,0.0,3a,1998.0,AR,PC,S,ZB,A,IN,,0.0,3a,1998.0,2802.0,3a,1998.0,0.0,3a,1998.0,500.0,3a,1998.0,A1261,A
18663,132767468,1997,54165,0,0,0,0,0,0,0,3835,3835,58000,58138,4681,0,0,4819,4681,0,0,4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3835,,58000,A61,,AURORA MUSIC FOUNDATION INC,% MASON & CO,1841 BROADWAY 500,NEW YORK,NY,10023-7603,0.0,3,3.0,1000.0,197507.0,1.0,,1.0,13.0,0.0,199806,20.0,6,,90.0,119.0,123.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,16.0,A,A61,,1998,0,0,91251,0,0,0,0,91251,0,0,0,0,0,0,4819,-138,0,A61,,0,91251,0,0,0,0,4819,0,0,0,0,0,0,0,0,58000,10023.0,0,0,1,1,9,1,,,,A,,1,1,1,,5600.0,A68Z,7,0.245319,10023.0,A61,A,1.0,AR,36061.0,,AR,1327674681998,A20,NY,10023.0,NEW YORK,A61,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,54165.0,3a,1998.0,0.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,4681.0,3a,1998.0,A61,A
18664,132767572,1997,0,0,0,0,677,0,0,0,218446,218446,218446,211693,8868,72100,0,86115,17868,84000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,217769,0,0,,218446,A40,S20Z,URBAN INITIATIVES INC,,225 LAFAYETTE ST ROOM 1204,NEW YORK,NY,10012-4015,0.0,3,3.0,2800.0,197309.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,994.0,59.0,350.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A40,,1997,0,0,0,0,824338,0,0,356,0,356,0,0,0,0,2115,6753,0,A40,,0,824694,0,0,0,0,0,0,0,0,0,677,0,0,0,218446,10012.0,0,0,9,1,1,1,,,,A,,1,1,1,,5600.0,A41Z,9,0.169455,10001.0,A40,A,1.0,AR,36061.0,,AR,1327675721997,A40,NY,10012.0,NEW YORK,A40,,,,,,,,0.0,3b,1998.0,0.0,3b,1998.0,0.0,3b,1998.0,0.0,3b,1998.0,0.0,3b,1998.0,0.0,3b,1998.0,,,,0.0,3b,1998.0,AR,PC,O,AR,A,IN,,0.0,3b,1998.0,632.0,3b,1998.0,0.0,3b,1998.0,17236.0,3b,1998.0,A40,A
18665,132768583,1997,2939140,53324,0,0,53450,65096,0,0,193429,193429,3185900,1186110,3391550,76614,22100,1462810,3573450,52856,181893,0,0,0,0,0,0,33750,33750,0,0,0,0,18191,59940,30781,12074,,3167700,A65,,ALLIANCE OF RESIDENT THEATRES,,131 VARICK ST RM 904,NEW YORK,NY,10013-1410,0.0,3,3.0,2000.0,197310.0,1.0,,1.0,13.0,0.0,199806,10.0,6,,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,4.0,4.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1998,0,0,4135640,156003,71136,48403,0,4463360,0,155806,193611,1152360,0,0,1409960,1981600,18993,A65,,0,4534500,0,262800,29408,18993,0,0,0,0,0,53450,0,48972,0,3167700,10013.0,0,0,1,1,1,1,,,,A,,1,1,1,,5600.0,,7,0.111321,10013.0,A65,A,1.0,AR,36061.0,,AR,1327685831998,A01,NY,10013.0,NEW YORK,A01,65,572284.0,1b,2098.0,0.0,1b,2098.0,551308.0,3a,1998.0,1489.0,1b,2098.0,1620124.0,3a,1998.0,1220018.0,3a,1998.0,0.0,1b,2098.0,0.0,1b,2098.0,2366858.0,1b,2098.0,58644.0,1d,2099.0,AR,PC,O,AR,A,IN,,0.0,1b,2098.0,105.0,1b,2098.0,0.0,1b,2098.0,239105.0,1b,2098.0,A0165,A
18671,132773475,1997,1094620,0,0,0,281532,134061,0,0,1508950,1508950,2603570,3204960,4141810,214008,0,5391740,6265710,648535,2123900,0,0,0,0,0,0,0,0,0,0,0,0,0,1196530,0,30894,,2603570,A63,,BALLET TECH FOUNDATION INC,,890 BROADWAY,NEW YORK,NY,10003-1211,0.0,3,3.0,1000.0,197402.0,1.0,,1.0,13.0,0.0,199806,10.0,6,,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,5.0,4.0,4.0,4.0,0,,0,,0,36061.0,5602.0,14.0,A,A63,,1998,0,0,6869800,0,2958350,0,0,7205640,0,265479,0,0,379153,1783790,4743200,-601390,0,A63,,0,10164000,198974,1117580,97403,0,0,0,0,0,0,82558,0,0,0,2603570,10003.0,0,0,9,1,9,1,,,,A,,1,1,1,,5600.0,A63Z,9,0.30790500000000004,10003.0,A63,A,1.0,AR,36061.0,,AR,1327734751998,A63,NY,10003.0,NEW YORK,A63,,294005.0,3a,1998.0,0.0,3a,1998.0,3002807.0,3a,1998.0,2188603.0,3a,1998.0,1138903.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,800515.0,3a,1998.0,520704.0,3a,1998.0,AR,PC,O,AR,A,IN,,1709403.0,3a,1998.0,440701.0,3a,1998.0,0.0,3a,1998.0,1600.0,3a,1998.0,A63,A
18673,132778597,1997,7209,14950,0,0,339,0,3786,2055,11166,7380,33325,27147,19588,0,0,17816,19588,0,0,0,2,0,0,0,0,0,0,0,0,0,0,620,331,1035,3000,,28919,A40,A71Z,UKIYO E SOCIETY OF AMERICA,,PO BOX 665,NEW YORK,NY,10150-0665,0.0,3,3.0,2000.0,197503.0,1.0,,1.0,13.0,0.0,199806,20.0,6,,91.0,123.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,16.0,A,A40,,1998,0,0,8051,53990,55808,0,0,63474,5841,1433,0,0,0,0,17816,1772,0,A40,,0,119282,339,0,0,0,0,0,0,0,0,0,0,1655,0,28919,10150.0,0,0,1,1,1,1,,,,A,,1,1,1,,5600.0,A40Z,9,0.731432,10150.0,A40,A,1.0,AR,36061.0,,AR,1327785971998,A24,NY,10150.0,NEW YORK,A24,,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,0.0,3b,1999.0,AR,PC,O,AR,A,IN,,0.0,3b,1999.0,117.0,3b,1999.0,0.0,3b,1999.0,19471.0,3b,1999.0,A24,A
18698,132792668,1997,273087,0,0,0,143782,0,0,0,1987430,1987430,2260520,2238110,3503830,94900,0,3751580,4062780,419629,558945,0,0,0,0,0,0,0,0,0,0,0,0,0,1836960,0,6691,,2260520,A61,,USDAN CENTER FOR THE CREATIVE AND PERFORMING ARTS,,420 E 79TH ST,NEW YORK,NY,10021-1472,0.0,3,3.0,2000.0,197411.0,1.0,,1.0,13.0,0.0,199803,10.0,3,,46.0,30.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,4.0,4.0,0,,0,,0,36061.0,5602.0,11.0,A,A61,,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3331950,22405,0,A61,,149472,0,0,740468,62047,0,0,0,0,0,0,0,143782,0,0,2260520,10021.0,0,0,1,1,1,1,,,,A,,1,1,1,,5600.0,,2,0.674833,10021.0,A61,A,1.0,AR,36061.0,,AR,1327926681998,A6E,NY,10021.0,NEW YORK,A6E,,0.0,3a,1998.0,76824.0,3a,1998.0,154801.0,3a,1998.0,260405.0,3a,1998.0,2628823.0,3a,1998.0,720106.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,196162.0,3a,1998.0,271806.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,4500.0,3a,1998.0,1890737.0,3a,1998.0,5200.0,3a,1998.0,A6E,A
18700,132794121,1998,182901,0,0,0,0,24507,0,0,130324,130324,313225,318081,-90182,67500,0,15684,6376,101010,96558,0,0,0,0,0,0,0,0,0,0,0,0,0,130324,0,0,,313225,A33,,LILITH PUBLICATIONS INC,,250 W 57TH ST SUITE 2432,NEW YORK,NY,10107-0172,0.0,3,3.0,7200.0,197504.0,1.0,,1.0,13.0,0.0,199812,10.0,12,,602.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A33,,1998,0,0,726287,0,477353,0,0,726287,0,0,0,0,0,0,-85326,-4856,0,A33,,0,1203640,0,49980,4862,0,0,0,0,0,0,0,0,0,0,313225,10107.0,0,0,1,9,9,9,,,,A,,1,1,1,,5600.0,A33Z,9,0.878307,10107.0,A33,A,1.0,AR,36061.0,,AR,1327941211998,A33,NY,10107.0,NEW YORK,A33,,0.0,3a,1998.0,0.0,3a,1998.0,-90182.0,6,2003.0,0.0,3a,1998.0,0.0,6,2003.0,0.0,6,2003.0,0.0,3a,1998.0,0.0,3a,1998.0,182901.0,3a,1998.0,0.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,101.0,3a,1998.0,A33,A
18705,132799828,1997,249616,0,0,0,0,13447,0,0,133863,133863,383479,361248,-19791,0,0,53265,76433,88034,96224,0,0,0,0,0,0,0,0,0,0,0,0,7253,111402,15208,0,,376226,A60,,MULLER WORKS FOUNDATION,% JENNIFER MULLER,150 E 58TH ST 22FL,NEW YORK,NY,10155-0002,0.0,3,3.0,2000.0,197501.0,1.0,,1.0,13.0,0.0,199806,10.0,6,,90.0,149.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A60,,1998,0,0,621924,0,687307,0,0,621924,0,0,0,0,0,0,-34769,14978,0,A60,,0,1309230,0,65892,9590,0,0,0,0,0,0,0,0,22461,0,376226,10155.0,0,0,1,9,1,9,,,,A,,1,1,1,,5600.0,,7,0.671539,10155.0,A60,A,1.0,AR,36061.0,,AR,1327998281998,A62,NY,10155.0,NEW YORK,A62,,3000.0,3a,1998.0,0.0,3a,1998.0,-19791.0,3b,1999.0,0.0,3a,1998.0,-35162.0,3a,1998.0,0.0,3a,1998.0,8204.0,3a,1998.0,0.0,3a,1998.0,246616.0,3a,1998.0,0.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,500.0,3a,1998.0,0.0,3a,1998.0,30913.0,3a,1998.0,A62,A
18708,132800646,1997,85166,0,401887,321911,45790,13334,0,0,475043,153132,560209,191289,1204510,36400,2674,1053550,1212460,9055,7949,0,0,0,0,0,0,0,0,0,0,0,0,0,16306,0,11060,,238298,A80,,MORRIS JUMEL MANSION INC,,65 JUMEL TER,NEW YORK,NY,10032-5360,0.0,3,3.0,2000.0,197309.0,1.0,,1.0,13.0,0.0,199805,10.0,5,NEW YORK FOUNDED BY DAUGHTERS,64.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,3.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A80,,1998,0,0,469715,0,75393,0,0,641789,0,172074,0,0,2280,1196,1044500,47009,0,A80,,113002,717182,0,77350,15983,0,0,0,0,0,79976,0,45790,0,0,238298,10032.0,0,0,9,2,1,1,,,,A,,1,1,1,,5600.0,A82Z,9,0.136105,10032.0,A80,A,1.0,AR,36061.0,,AR,1328006461998,A80,NY,10032.0,NEW YORK,A54,,7506.0,3a,1998.0,0.0,3a,1998.0,72701.0,3a,1998.0,7200.0,3a,1998.0,43900.0,3a,1998.0,1087709.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,77660.0,3a,1998.0,10100.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,0.0,3a,1998.0,1178158.0,3a,1998.0,300.0,3a,1998.0,A54,A
18711,132805131,1997,2095770,0,0,0,36447,218037,0,0,2201950,2201950,4297720,4180100,3124870,160516,0,3742910,3805330,650965,680460,0,0,0,0,0,0,0,0,0,0,0,0,87282,1887670,0,123105,,4210440,A60,,PLAYWRIGHTS HORIZONS INC,,416 W 42ND ST,NEW YORK,NY,10036-6809,0.0,3,3.0,2000.0,198903.0,1.0,,1.0,13.0,0.0,199806,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,4.0,4.0,0,,0,,0,36061.0,5602.0,16.0,A,A60,,1998,0,0,6293730,0,8122170,0,0,6536200,0,120421,0,0,0,0,3091950,30342,67446,A65,,2577,14658400,0,1803950,146807,67446,0,0,0,0,0,36447,0,87282,0,4210440,10036.0,0,0,1,1,1,1,,,,A,,1,1,1,,5600.0,,9,0.756855,10036.0,A60,A,1.0,AR,36061.0,,AR,1328051311998,A65,NY,10036.0,NEW YORK,A65,,157005.0,3a,1998.0,0.0,3a,1998.0,2307252.0,3a,1998.0,2357119.0,3a,1998.0,392609.0,3a,1998.0,425010.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,1938765.0,3a,1998.0,2386606.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,38300.0,3a,1998.0,289802.0,3a,1998.0,125701.0,3a,1998.0,A65,A
18714,132805575,1998,900796,0,38136,31285,1908,116766,0,0,40044,8759,940840,1192530,-1751,60372,0,278269,236956,2192,238707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,909555,A68,,WORLD HUNGER YEAR INC,,261 W 35TH ST,NEW YORK,NY,10001-1902,0.0,3,3.0,1200.0,197506.0,1.0,,1.0,13.0,0.0,199812,10.0,12,,350.0,379.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,3.0,4.0,3.0,0,,0,,0,36061.0,5602.0,15.0,A,A68,,1998,0,0,3850610,0,0,0,0,3859000,0,8386,0,0,0,0,276077,-282976,0,A68,,5148,3859000,0,602779,0,0,0,0,0,0,6851,1908,0,0,0,909555,10001.0,0,0,9,9,9,9,,,,A,,1,1,1,,5600.0,A68Z,7,0.873549,10018.0,A68,A,1.0,AR,36061.0,,AR,1328055751998,Z98,NY,10001.0,NEW YORK,A68,,154216.0,3a,1998.0,0.0,3a,1998.0,-1027.0,3b,1999.0,0.0,3a,1998.0,-128544.0,3a,1998.0,0.0,3a,1998.0,32908.0,3a,1998.0,0.0,3a,1998.0,746580.0,3a,1998.0,0.0,3a,1998.0,AR,PC,O,AR,A,IN,,0.0,3a,1998.0,3401.0,3a,1998.0,126930.0,3a,1998.0,12503.0,3a,1998.0,A68,A
18716,132805582,1998,10503000,315943,2415820,2024680,261483,1991810,171289,108116,5586800,3390830,16405700,17155000,99733000,1339280,5426,118262000,121665000,23988600,21932100,0,0,0,0,0,0,0,0,0,0,0,0,620614,519953,1353540,135981,,13589200,A50,,MUSEUM OF TELEVISION AND RADIO,,25 W 52ND ST,NEW YORK,NY,10019-6101,0.0,3,3.0,2000.0,197506.0,1.0,,1.0,13.0,0.0,199812,10.0,12,,60.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,6.0,,,,0,,0,,0,36061.0,5602.0,15.0,A,A50,,1998,12800000,12800000,43571800,1139620,1755680,0,0,46464300,279405,1752890,0,0,6500000,4507500,94273000,-3565870,0,A50,,9025830,48220000,0,4172710,398674,0,0,0,0,0,391140,16890,244593,1974150,0,13589200,10019.0,0,0,1,1,9,1,,,,A,,1,1,1,,5600.0,A59Z,7,0.00482476,10019.0,A50,A,1.0,AR,36061.0,,AR,1328055821998,A50,NY,10019.0,NEW YORK,A50,,20200.0,1d,2098.0,0.0,1d,2098.0,40900441.0,3a,1998.0,54177900.0,1d,2098.0,4659605.0,3a,1998.0,54172854.0,3a,1998.0,0.0,1d,2098.0,0.0,1d,2098.0,10482800.0,1d,2098.0,54903951.0,1b,2097.0,AR,PC,O,AR,A,IN,,0.0,1d,2098.0,51258800.0,1d,2098.0,4736800.0,1d,2098.0,443200.0,1d,2098.0,A50,A
18729,132813806,1997,75,0,0,0,0,79,0,0,997237,997237,997312,1093370,-193541,124800,0,163856,33886,261340,227427,0,0,0,0,0,0,0,0,0,0,0,0,0,997237,0,0,,997312,A63,,LES BALLETS TROCKADERO DE MONTE CARLO INC,% MR EUGENE MCDOUGLE,PO BOX 46,NEW YORK,NY,10025-0001,0.0,3,3.0,2000.0,197606.0,1.0,,1.0,13.0,0.0,199806,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,3.0,4.0,3.0,0,,0,,0,36061.0,5602.0,16.0,A,A63,,1998,0,0,420,0,3410520,0,0,420,0,0,0,0,0,0,-97484,-96057,0,A63,,0,3410940,0,458243,0,0,0,0,0,0,0,0,0,0,0,997312,10025.0,0,0,1,9,9,9,,,,A,,1,1,1,,5600.0,,9,0.47669300000000003,10025.0,A63,A,1.0,AR,36061.0,,AR,1328138061998,A63,NY,10025.0,NEW YORK,A63,,0.0,4,2007.0,0.0,4,2007.0,0.0,6,2003.0,0.0,4,2007.0,0.0,6,2003.0,0.0,6,2003.0,0.0,4,2007.0,0.0,4,2007.0,75.0,4,2007.0,0.0,4,2007.0,AR,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,33886.0,6,2003.0,A63,A
18732,132814763,1998,307150,0,0,0,295,0,0,0,86356,86356,393506,401661,151413,47000,0,178730,212472,19162,61059,0,0,0,0,0,0,0,0,0,0,0,0,0,82474,0,3587,,393506,A65,,NEW FEDERAL THEATER INC,,292 HENRY ST,NEW YORK,NY,10002-4816,0.0,3,3.0,1200.0,197601.0,1.0,,1.0,13.0,0.0,199906,10.0,6,,88.0,90.0,149.0,B9710,,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A65,,1999,0,0,922496,0,489932,0,0,935912,0,12103,0,0,7890,40410,159568,-8155,0,A65,,0,1425840,0,90050,15839,0,0,0,0,0,0,295,0,0,0,393506,10002.0,0,0,9,1,9,1,,,,A,,1,1,1,,5600.0,,9,0.24812199999999998,10002.0,A65,A,1.0,AR,36061.0,,AR,1328147631999,A65,NY,10002.0,NEW YORK,A65,,81703.0,3b,2000.0,0.0,3b,2000.0,59968.0,3b,2000.0,7965.0,3b,2000.0,101575.0,3c,1998.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,225447.0,3b,2000.0,252.0,3b,2000.0,AR,PC,O,AR,A,IN,,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,23704.0,3b,2000.0,A65,A
18738,132828328,1997,27150,0,1004370,897177,146197,0,0,0,1150570,253392,1177720,430280,2479050,1000,0,2618250,2479050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,280542,A33,,Z PRESS INC,% ACCOUNTING MGMT CO,667 MADISON AVE,NEW YORK,NY,10021-8029,0.0,3,3.0,1000.0,197512.0,1.0,,1.0,13.0,0.0,199806,10.0,6,,92.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A33,,1998,0,0,0,0,0,0,0,888373,0,888373,0,0,0,0,2618250,-149738,0,A33,,10542,888373,-14990,0,0,0,0,0,0,0,107195,0,161187,0,0,280542,10021.0,0,0,1,1,9,1,,,,A,,1,1,1,,5600.0,,7,0.627736,10021.0,A33,A,1.0,AR,36061.0,,AR,1328283281998,A33,NY,10021.0,NEW YORK,X83,,0.0,3a,1998.0,0.0,3a,1998.0,2479050.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,27150.0,3a,1998.0,0.0,3a,1998.0,AR,PC,O,AR,A,IN,,298406.0,3a,1998.0,0.0,3a,1998.0,2078642.0,3a,1998.0,101902.0,3a,1998.0,X83,X
