,EIN,DocCD,TAXPER,CYCLE,DLN,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,EOY,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,ARED,FRCD,ACCPER,SEC_NAME,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA,VERIFY
5615,61551999,91,201106,201151.0,29491281065091,A68,N,Y,0.0,1.0,2010,2.0,3.0,1.0,3,0.0,50,166,0,0,0,500,0,2000,716,4527,-3811,4027,166,166,42766,0,0,0,0,0,42766,0,2214,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,166,666,2527,0,2027,0,500,525,0,0,42766,0,42766,3,0,0,0,0,0,0,0,0,3,44953,0,166,240,606,0,1012,2027,2655,14397,10373,29452,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,61551999201106,615519992011,rtf10pf,11,3,0,10463.0,JOYCE DUTKA ARTS FOUNDATION INC,JOYCE DUTKA,PO BOX 630053,BRONX,NY,10463-0800,0.0,3.0,1.0,200004.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,6,,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.13308,B,A1261,A,36005.0,5602.0,5600.0,
5826,61633557,91,201012,201152.0,29491344029061,B820,N,Y,0.0,1.0,2010,3.0,3.0,1.0,3,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,42483,0,0,0,0,0,42483,0,3064,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,5772,0,0,42483,0,42483,0,0,0,0,0,0,0,0,0,0,62217,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,61633557201012,616335572010,rtf10pf,10,0,0,11101.0,DOUGLAS MOORE FUND FOR AMERICAN OPERA INC,JAMES STEPLETON,2728 THOMSON AVE UNIT 702,LONG IS CITY,NY,11101-2932,0.0,3.0,1.0,200208.0,1.0,4.0,0.0,0.0,0.0,1.0,200512.0,3.0,12,,A6A,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9351200000000001,A,A6A,A,36081.0,5602.0,5600.0,
5866,61655858,91,201106,201151.0,93491346004001,A51,N,Y,0.0,1.0,2010,2.0,1.0,1.0,3,0.0,0,0,0,0,0,0,0,0,1,39,-38,39,0,0,462,0,0,0,0,1,462,0,23,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,39,0,39,0,0,462,0,0,462,0,462,0,0,0,0,0,0,0,0,0,0,465,23,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,61655858201106,616558582011,rtf10pf,11,0,0,10017.0,MOROCCO PALACE OF ARTS FOUNDATION,IMOWITZ KOENIG & CO LLP,622 THIRD AVE 33RD FLR,NEW YORK,NY,10017-6707,0.0,3.0,1.0,200401.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,6,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.50507,A,A51,A,36061.0,5602.0,5600.0,
5909,61683335,91,201012,201143.0,93491287001021,A60,N,Y,0.0,1.0,2010,3.0,1.0,1.0,3,0.0,1000,0,0,0,0,0,0,0,1000,300,700,0,0,0,3200,0,0,0,0,1,2200,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,300,0,0,0,300,3200,0,0,2200,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,2500,2500,90,8290,3200,2500,2500,90,8290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,61683335201012,616833352010,rtf10pf,10,0,0,10069.0,MADE TO MOVE INC,FRAN KISMER PRODUCTIONS LLC,160 RIVERSIDE BLVD,NEW YORK,NY,10069-0701,0.0,3.0,1.0,200307.0,1.0,4.0,0.0,0.0,0.0,1.0,200712.0,1.0,12,,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.87016,B,A60,A,36061.0,5602.0,5600.0,
6446,66356055,91,201012,201150.0,29491330261161,A40,N,Y,0.0,1.0,2010,3.0,6.0,5.0,3,91.0,0,0,113753,-46100,0,0,5000,406225,67653,445840,-378187,406225,103946,103945,4066753,533642,0,1201390,1735032,4730,4570444,0,140558,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,113753,113753,39615,9807,0,9807,9808,145788,0,1400000,4570444,0,4062023,2079,0,0,11281,0,0,0,0,9202,2079,2853968,138479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,66356055201012,663560552010,rtf10pf,10,-9202,0,10118.0,THE STEPHEN HAHN FOUNDATION,BRAELOFF TRATTNER& CO CPAB,350 5TH AVE STE 1000,NEW YORK,NY,10118-1000,0.0,3.0,1.0,199108.0,1.0,4.0,91.0,0.0,0.0,2.0,0.0,1.0,12,HAHN STEPHEN R TTEE,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.52908,B,A40,A,36061.0,5602.0,5600.0,
6694,112538932,91,201012,201124.0,29491142046031,,N,Y,0.0,1.0,2010,3.0,4.0,1.0,3,40.0,0,5556,0,0,0,0,0,17288,5556,17543,-11987,17288,5556,0,140027,100000,0,0,100000,0,141685,0,7192,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,5556,0,255,0,0,0,0,0,0,0,141685,0,140027,111,0,0,0,0,0,0,0,0,111,146020,7081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,112538932201012,1125389322010,rtf10pf,10,111,0,10021.0,RICHARD H GOLDMAN MEMORIAL FOUNDA TION,,150 E 69TH ST APT 7G,NEW YORK,NY,10021-5704,0.0,3.0,1.0,198107.0,1.0,4.0,40.0,0.0,0.0,2.0,0.0,1.0,12,,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.86413,C,A80,A,36061.0,5602.0,5600.0,
6784,112775942,91,201106,201151.0,29491337005031,A230,N,Y,0.0,1.0,2010,3.0,5.0,3.0,3,90.0,0,0,35265,0,0,0,0,2500,35265,21105,14160,20287,34952,0,944612,0,810266,0,810266,0,865573,34259,40028,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,35265,0,18605,313,17787,313,0,11953,0,0,865573,0,944612,699,0,0,500,0,0,0,0,0,699,812749,39329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,112775942201106,1127759422011,rtf10pf,11,199,0,10163.0,THE ARMENIAN CENTER INC,N ORDJANIAN,PO BOX 4042,NEW YORK,NY,10163-4042,0.0,3.0,1.0,198605.0,1.0,4.0,90.0,92.0,119.0,1.0,0.0,1.0,6,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.35373000000000004,A,A23,A,36061.0,5602.0,5600.0,
6798,112801382,91,201006,201115.0,29491036001041,,N,Y,0.0,1.0,2009,3.0,1.0,1.0,3,124.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,500,0,0,0,0,0,500,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,112801382201006,1128013822010,rtf10pf,10,0,0,11206.0,THE MOVEMENT INTERFACE RESEARCH INSTITUTE INC,,54 BOERUM ST APT 11N,BKLYN NY,NY,11206-2418,0.0,3.0,1.0,198702.0,1.0,4.0,124.0,209.0,0.0,1.0,0.0,1.0,6,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.07015,C,A70,A,36047.0,5602.0,5600.0,
6840,112864409,91,201102,201133.0,29491211020181,,N,Y,0.0,1.0,2010,3.0,1.0,0.0,3,602.0,0,0,0,0,0,0,0,300,0,365,-365,365,0,0,4654,0,0,0,0,0,4654,0,229,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,65,65,65,65,65,4654,0,0,4654,0,4654,0,0,0,0,0,0,0,0,0,0,4654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,112864409201102,1128644092011,rtf10pf,11,0,0,10075.0,THE PHILIP KAPLAN CULTURAL FOUNDATION INC,,445 E 80TH ST APT 4A,NEW YORK,NY,10075-0603,0.0,3.0,1.0,198709.0,1.0,4.0,602.0,0.0,0.0,1.0,0.0,1.0,2,,A122,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.56816,B,A1220,A,36061.0,5602.0,5600.0,
6877,112948645,91,201006,201150.0,29491330088171,,N,Y,0.0,1.0,2009,3.0,4.0,1.0,3,602.0,200,2600,0,0,0,0,0,20746,2800,25108,-22308,25108,2600,2600,280950,0,0,0,0,2,280950,0,13895,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2600,2600,4362,0,4362,0,0,1257,0,0,280950,0,280948,26,0,0,1600,0,0,0,0,1574,26,282124,13869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,112948645201006,1129486452010,rtf10pf,10,-1574,0,11357.0,WORLD JOURNAL CULTURE FOUNDATION INC,,141-07 20TH AVE 6FL,FLUSHING,NY,11357-3097,0.0,3.0,1.0,198909.0,1.0,4.0,602.0,0.0,0.0,1.0,0.0,1.0,6,,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.4909,A,A33,A,36081.0,5602.0,5600.0,
6912,113027025,91,201012,201136.0,29491232081011,A23Z,N,Y,0.0,1.0,2010,3.0,1.0,1.0,3,119.0,0,0,49,0,0,0,0,442,49,1552,-1503,986,0,49,5803,0,0,0,0,0,3909,0,233,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,49,49,1110,566,544,566,0,115,0,3633,3909,0,5803,0,0,0,0,0,0,0,0,0,0,4722,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,113027025201012,1130270252010,rtf10pf,10,0,0,10021.0,SJMS HUMANITIES ARTS AND SCIENCES CHARITY INC,MELVIN ROSEN,340 E 74TH ST,NEW YORK,NY,10021-3737,0.0,3.0,1.0,199108.0,1.0,4.0,119.0,0.0,0.0,1.0,0.0,1.0,12,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.6584,A,A70,A,36061.0,5602.0,5600.0,
6915,113028110,91,201012,201121.0,29491113087081,,N,Y,0.0,1.0,2010,3.0,0.0,4.0,3,429.0,0,0,0,0,0,109761,0,5500,109761,111755,-1994,0,0,0,-1094,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,113028110201012,1130281102010,rtf10pf,10,0,0,10024.0,LAC HONG MAGAZINE,DIEN THOAI,309 W 78TH ST,NEW YORK,NY,10024-6543,0.0,3.0,2.0,199203.0,1.0,4.0,429.0,120.0,408.0,1.0,0.0,1.0,12,,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.42946999999999996,A,A33,A,36061.0,5602.0,5600.0,
