,CODE990,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
3872,3,112801382,1994,1993,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MOVEMENT INTERFACE RES INST,BROOKLYN,NY,11206-3040,Z,Z99,0.09681110000000001,36047.0,11206.0,11206.0,5602.0,5600.0,36047.0,4.0,,198702.0,199406,199406,NY,11206.0,BROOKLYN,PF,O,UN,Z,IN,,6,209.0,0.0,31 LEONARD ST 1M,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
3941,3,112879579,1993,1993,1,0,90,0,0,0,0,0,0,0,0,0,0,311,-311,0,0,0,0,9594,0,0,0,0,0,9594,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ASIAN AMER FND ARTS,NEW YORK,NY,10025-8052,Z,Z99,0.869297,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,4.0,,198810.0,199312,199312,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,517 W 113TH ST STE 54,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
3966,3,112918759,1993,1993,0,3,29,31407,0,0,0,0,0,0,0,1129,31407,56113,-24706,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,AMER FRIENDS MUS MIKVEH,BROOKLYN,NY,11219-2130,Z,Z99,0.949153,36047.0,11219.0,11219.0,5602.0,5600.0,36047.0,4.0,,8901.0,199312,199312,NY,11219.0,BROOKLYN,PF,O,UN,Z,IN,,12,0.0,0.0,1360 44TH ST,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1150,A,,
3978,3,112942428,1994,1994,1,2,90,13200,0,0,0,0,0,0,0,0,13200,11805,1395,11805,0,0,0,4407,0,0,0,0,0,4407,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PODVAL ARTS & POETRY GALLERIES,BROOKLYN,NY,11235-5841,Z,Z99,0.09439299999999999,36047.0,11235.0,11235.0,5602.0,5600.0,36047.0,4.0,,198903.0,199412,199412,NY,11235.0,BROOKLYN,PF,O,UN,Z,IN,,12,0.0,0.0,150 BRIGHTON 15TH ST,3.0,0.0,1000.0,V MOLOT ESQ,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
3985,3,112948645,1994,1993,4,4,602,50000,2725,0,0,0,0,0,0,1000,147832,94760,53072,46035,49107,982,0,246047,0,0,0,0,0,246047,0,10641,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,WORLD JOURNAL CULTURE FND,FLUSHING,NY,11354-0000,Z,Z99,0.492996,36081.0,11354.0,11354.0,5602.0,5600.0,36081.0,4.0,,198909.0,199406,199406,NY,11354.0,FLUSHING,PF,O,UN,Z,IN,,6,0.0,0.0,141 07 20TH AVE,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4012,3,112994852,1994,1994,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,JUDAICA FND RES & PUBLICATION,NEW YORK,NY,10038-2400,Z,Z99,0.051019800000000004,36061.0,10038.0,10038.0,5602.0,5600.0,36061.0,4.0,,9106.0,199412,199412,NY,10038.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,245 PARK AVE 1600,3.0,0.0,1000.0,% HAVAZELET,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4035,3,113028110,1994,1994,2,3,429,0,0,0,0,0,0,28337,0,0,28337,22522,5815,0,0,0,0,11120,0,0,0,0,0,11120,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LAC HONG MAGAZINE,BROOKLYN,NY,11218-1754,Z,Z99,0.137248,36047.0,11218.0,11218.0,5602.0,5600.0,36047.0,4.0,,199203.0,199412,199412,NY,11218.0,BROOKLYN,PF,O,UN,Z,IN,,12,120.0,408.0,81 OCEAN PKY RM 3G,3.0,0.0,2000.0,% DIEN THOAI,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4042,3,113038143,1994,1993,4,4,200,205000,0,24380,15153,0,0,0,0,281000,244533,281623,-37090,281050,39533,791,0,233925,0,46200,176947,223147,0,249959,0,13499,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NOSSEN FND,BROOKLYN,NY,11230-5102,Z,Z99,0.237508,36047.0,11230.0,11230.0,5602.0,5600.0,36047.0,4.0,,199104.0,199411,199411,NY,11230.0,BROOKLYN,PF,O,UN,Z,IN,,11,0.0,0.0,1280 OCEAN PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4075,3,113081355,1994,1994,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,DAN FLAVIN ART FND,NEW YORK,NY,10017-3140,Z,Z99,0.0700367,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199209.0,199412,199412,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,92.0,0.0,237 PARK AVE 21ST FL,3.0,0.0,1000.0,% THOMAS J KOVARCIK,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
4118,3,113137086,1994,1994,4,4,560,125000,4385,0,0,0,0,0,0,64304,129385,64756,64629,64304,3933,39,3933,351109,0,0,0,0,0,351109,0,12632,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,J Z L FND,HOLLISWOOD,NY,11423-0000,A,A99,0.830793,36081.0,11423.0,11423.0,5602.0,5600.0,36081.0,4.0,,199508.0,199412,199412,NY,11423.0,HOLLISWOOD,PF,O,AR,A,IN,,12,0.0,0.0,87 09 CLIO ST,3.0,0.0,1000.0,% MICKEY WOHL,1.0,11.0,1.0,0.0,2.0,,A,AR,AR,AR,3.0,,,,,,,A99,A,,
4359,2,116036776,1995,1994,4,2,60,24317,0,0,0,0,0,0,0,0,24317,20955,3362,14284,0,0,0,488996,0,0,0,0,6558,488996,0,1063,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ANONYMOUS ARTS RECOVERY SOC,NEW YORK,NY,10012-5115,Z,Z99,0.448304,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,3.0,,196311.0,199503,199503,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,3,91.0,0.0,380 W BROADWAY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A03,A,,
4466,3,116101563,1994,1993,1,1,119,500,0,0,0,0,0,0,0,0,500,0,500,0,0,0,0,435,0,0,0,0,0,435,0,17,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FND CLASSIC THEATRE & ACAD,NEW YORK,NY,10036-7211,Z,Z99,0.306232,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,4.0,,196805.0,199406,199406,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,6,59.0,0.0,220 W 42ND ST,3.0,0.0,2300.0,% N J STATHIS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,
4537,2,130429640,1994,1994,8,8,65,269750,0,1668212,433133,0,0,443648,80000,656970,2814743,1935745,878998,1839518,2382085,0,1948952,29793990,29710570,0,0,29710570,4429,30051956,0,1445795,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,AMER ACAD ARTS & LETTERS,NEW YORK,NY,10032-7501,Z,Z99,0.715594,36061.0,10032.0,10032.0,5602.0,5600.0,36061.0,2.0,,193503.0,199412,199412,NY,10032.0,NEW YORK,PF,O,UN,Z,IN,,12,207.0,60.0,633 W 155TH ST,3.0,0.0,2300.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A25,A,,
4549,2,131624012,1994,1994,9,9,119,2741471,70625,5135227,1369831,0,377532,966062,321000,0,10660748,9018716,1642032,7711824,5692957,113859,5666720,130290814,16685577,39167937,58036331,113889845,945292,142065263,0,6815883,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,FRICK COLLECTION,NEW YORK,NY,10021-4907,Z,Z99,0.536289,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,193910.0,199412,199412,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,59.0,60.0,1 E 70TH ST,3.0,0.0,1200.0,,1.0,13.0,1.0,0.0,3.0,,Z,UN,UN,OT,3.0,,,,,,,A51,A,,
4568,2,131656673,1994,1993,5,5,119,63402,6582,30751,169846,0,25040,208934,39131,9237,504555,432842,71713,378622,184941,1849,249069,996245,101334,592048,0,693382,101590,1444324,0,76039,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NAT SCULPTURE SOC,NEW YORK,NY,10036-2714,Z,Z99,0.243079,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,3.0,,193901.0,199409,199409,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,9,59.0,40.0,1177 AVE OF THE AMERICAS,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,
4595,3,131790739,1994,1993,6,4,561,53409,7235,90891,1117,0,0,0,30000,84830,152652,149477,3175,122661,83248,1665,82131,1613395,1433000,30,0,1433030,0,1632719,0,82298,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,MUSICIANS FND,NEW YORK,NY,10001-3507,Z,Z99,0.591052,36061.0,10001.0,10001.0,5602.0,5600.0,36061.0,4.0,,195305.0,199404,199404,NY,10001.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,200 W 55TH ST,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
4615,3,131873289,1994,1994,6,5,119,15550,208,72060,167719,0,0,0,0,43403,255538,98504,157034,82600,224223,2242,0,1168493,343872,633193,164598,1141663,266,1312840,0,66771,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,BAGBY FND MUSICAL ARTS,NEW YORK,NY,10017-6103,A,A50,0.781289,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,194211.0,199412,199412,NY,10017.0,NEW YORK,PF,O,AR,A,IN,,12,927.0,561.0,501 FIFTH AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A68,A,,
4628,3,131926551,1994,1994,7,6,119,437402,5432,436769,15785,0,0,315,133000,554305,895703,864384,31319,729914,319747,3197,0,9383199,4600267,4040680,46832,8687779,19335,10923155,0,535984,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,HARKNESS FND DANCE,NEW YORK,NY,10017-1259,Z,Z99,0.673253,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197903.0,199412,199412,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,145 E 48TH ST SUITE 26C,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
4635,2,131947036,1994,1993,1,4,119,24725,1,34,0,0,0,79909,0,0,104669,110278,-5609,25432,34,1,34,642,0,180,0,180,11300,1888,0,362,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,AMOR ARTIS,NEW YORK,NY,10028-0040,Z,Z99,0.339902,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,3.0,,196311.0,199404,199404,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,4,59.0,0.0,175 RIVERSIDE DR,3.0,0.0,1200.0,% JEAN CANNON APT 5H,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
4709,3,132621140,1994,1994,4,1,161,0,0,813,872,0,0,0,0,5000,1685,27786,-26101,27431,1330,13,1330,405146,0,0,0,0,0,542018,0,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,VIOLA W BERNARD FND,NEW YORK,NY,10021-2651,Z,Z99,0.46253599999999995,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,196812.0,199412,199412,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,180.0,602.0,930 FIFTH AVE,3.0,0.0,1000.0,% HARRY GOODKIN & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
4772,2,132760185,1994,1993,4,3,8,75000,0,0,0,0,14946,0,0,0,89946,87432,2514,0,0,0,0,183654,0,0,0,0,2008,183654,0,9001,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,EAKINS PRESS FND,NEW YORK,NY,10023-6226,Z,Z99,0.7838930000000001,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197404.0,199406,199406,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,15 W 67TH ST,3.0,0.0,1000.0,%LESLIE KATZ,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4803,3,132874843,1994,1994,1,2,995,13500,0,0,0,0,0,701,0,0,14201,17977,-3776,17977,0,0,0,6903,0,0,0,0,0,6903,0,243,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,LAURA PAWEL DANCE COMPANY,NEW YORK,NY,10023-3402,Z,Z99,0.388977,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197701.0,199412,199412,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,15 W 72ND ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
4825,3,132893085,1994,1993,2,1,92,0,27,1697,0,0,0,995,0,1000,2719,3125,-406,3088,1724,34,0,21340,0,20440,0,20440,0,20150,0,1048,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NEW YORK DRAMA CRITIC CIRCLE,NEW YORK,NY,10017-5617,Z,Z99,0.399565,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197710.0,199409,199409,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,9,0.0,0.0,655 THIRD AVE,3.0,0.0,2000.0,% ROSENZWEIG & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4830,3,132896424,1994,1993,3,4,122,148633,1006,0,0,0,0,0,0,69499,149640,80851,68789,69499,0,0,0,77418,0,0,0,0,17210,77418,0,397,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,LIVING ARCHIVES,NEW YORK,NY,10024-1125,Z,Z99,0.342763,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,15.0,,197710.0,199410,199410,NY,10024.0,NEW YORK,PC,O,UN,Z,IN,,10,0.0,0.0,262 W 91ST ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,
4835,2,132898805,1994,1993,6,5,119,396114,215,46561,1010,0,0,74484,46650,0,518384,551184,-32800,544334,47786,478,121260,1046711,109681,0,0,109681,105575,1017847,0,44367,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PUBLIC ART FND,NEW YORK,NY,10022-4201,Z,Z99,0.480649,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,197707.0,199406,199406,NY,10022.0,NEW YORK,PC,O,UN,Z,IN,,6,123.0,429.0,1 E 53RD ST 11TH FL,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A1240,A,,
4862,3,132925873,1994,1994,2,3,62,63133,581,38,0,0,0,0,13244,116838,63752,155515,-91763,143233,619,12,0,13425,0,0,0,0,13425,13425,0,2580,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,AMER MERCHANT MARINERS MEM,NEW YORK,NY,10028-7964,A,A99,0.227981,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,,,,199412,199412,NY,10028.0,NEW YORK,U,O,AR,A,IN,,12,,,,,,,,,,,,,,A,AR,AR,AR,,,,,,,,A99,A,,
4901,3,132958531,1994,1993,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,CHAMBER PLAYERS LIMITED,NEW YORK,NY,10108-0346,Z,Z99,0.770579,36061.0,10108.0,10108.0,5602.0,5600.0,36061.0,4.0,,7810.0,199411,199411,NY,10108.0,NEW YORK,PF,O,UN,Z,IN,,11,90.0,0.0,PO BOX 2335,3.0,198311.0,1200.0,% CHRIS EREDE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
