,EIN,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,NTEE,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,OUTREAS,OUTNCCS,LEVEL2,LEVEL3,LEVEL4,LEVEL1,RASCD,RINCCD,REXPCD,RREVCD,VBS,VFB,VINCEXP,VINCTYPE,VOK,FIPS,MSA_NECH,FNDNCD,CATEGORY,SUBCATEGORY,FY_97,NTEE1,NTEE4,nteecc,RandNum,zipnew,ZIP5,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
62080,133138626,1996,0,0,26500,25650,4735,0,0,0,57433,31783,57433,51169,57374,0,0,72565,57374,0,0,57374,0,0,0,0,0,0,0,0,0,0,0,0,26198,0,0,,31783,A82Z,T90Z,THE HISTORY OF NEW YORK CITY PROJEC T INC,,PO BOX 104,BRONX,NY,10471-0104,0.0,3,0.0,1000.0,0.0,0.0,,5.0,13.0,0.0,10.0,12,,0.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,1,1,0,1,0,36005,5602.0,16.0,A,A82,1996,A,A82Z,A82,0.394583,10471.0,10471.0,5600.0,36005.0,,AR,1996,A82,199612,NY,10471.0,BRONX,A80,,,,A,AR,AR,PC,O,AR,A,IN,,A80,A
62082,133574221,1996,45109,2960,0,0,0,0,0,0,0,0,48069,45667,16860,0,0,19008,19810,4550,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48069,A33Z,,INNER CITY PRESS COMMUNITY ON THE MOVE INC,,PO BOX 416 HUB STA,BRONX,NY,10455-0416,0.0,3,3.0,1000.0,199007.0,1.0,,1.0,13.0,0.0,10.0,12,,400.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,1,1,1,6,1,36005,5602.0,15.0,A,A33,1996,A,A33Z,A33,0.05974019999999999,10455.0,10455.0,5600.0,36005.0,,AR,1996,A33,199612,NY,10455.0,BRONX,A33,,,,A,AR,AR,PC,O,AR,A,IN,,A33,A
62086,133091475,1996,13065,0,0,0,0,0,0,0,41126,41126,54191,57160,10685,0,0,24758,21975,11104,11290,0,0,0,0,0,0,0,0,0,0,0,0,0,41126,0,0,,54191,A99Z,,SIMEON SERVICE FOUNDATION INC,,1020 CARROLL PL,BRONX,NY,10456-6219,0.0,3,3.0,1000.0,198111.0,1.0,,1.0,13.0,0.0,10.0,12,,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,1,1,1,6,1,36005,5602.0,15.0,A,A99,1996,A,A99Z,A99,0.554801,10456.0,10456.0,5600.0,36005.0,,AR,1996,A99,199612,NY,10456.0,BRONX,T20,,,,A,AR,AR,PC,O,AR,A,IN,,A99,A
62109,133265665,1994,214378,0,0,0,0,0,0,0,0,0,214378,252684,-38306,0,0,0,9294,0,47600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,214378,A30Z,,INFORMATION NETWORKING AND COMM ASSC,,912 SOUNDVIEW AVE,BRONX,NY,10473-3747,0.0,3,3.0,2000.0,199406.0,1.0,,1.0,13.0,199806.0,10.0,6,,994.0,349.0,566.0,B9710,,,IN,O,AR,A,PC,1,2,2,2,0,0,1,6,0,36005,5602.0,15.0,A,A30,1995,A,A30Z,A30,0.316293,10473.0,10473.0,5600.0,36005.0,,AR,1995,A30,199506,NY,10473.0,BRONX,A30,,,,A,AR,AR,PC,O,AR,A,IN,,A30,A
62111,133266893,1994,440611,0,0,0,12015,10551,0,0,41635,41635,482246,477402,-46348,0,0,171873,429057,170755,475405,0,0,0,0,0,0,0,0,0,0,0,0,0,29620,0,0,,482246,A65Z,,PREGONES TOURING PUERTO RICAN THEATRE COLLECTION INC,,700 GRAND CONCOURSE,BRONX,NY,10451-3134,0.0,3,3.0,1200.0,198609.0,1.0,,1.0,13.0,198706.0,0.0,6,,88.0,995.0,90.0,B9710,,,IN,O,AR,A,PC,2,2,2,2,0,0,0,1,0,36005,5602.0,16.0,A,A65,1995,A,A65Z,A65,0.792194,10451.0,10451.0,5600.0,36005.0,,AR,1995,A65,199506,NY,10451.0,BRONX,A65,,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
62117,132999528,1995,94302,0,0,0,0,0,0,0,382589,382589,476891,487991,-1479,79800,0,336467,324490,326846,325969,0,0,0,0,0,0,0,0,0,0,0,0,0,273933,0,2156,,476891,A65Z,,BRONX DANCE THEATRE INC,,286 E 204TH ST,BRONX,NY,10467-4102,0.0,3,3.0,1000.0,198308.0,1.0,,1.0,13.0,198506.0,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2,2,2,2,0,0,1,4,0,36005,5602.0,15.0,A,A65,1996,A,A65Z,A65,0.713332,10467.0,10467.0,5600.0,36005.0,,AR,1996,A62,199606,NY,10467.0,BRONX,A62,,,,A,AR,AR,PC,O,AR,A,IN,,A62,A
62161,133261148,1995,45947,0,0,0,105,0,0,0,17659,17659,63606,40737,30123,0,0,7605,36150,351,6027,0,0,0,0,0,0,0,0,0,0,0,0,0,17554,0,0,,63606,A40Z,,THE BRONX RIVER ART CENTER INC,,1087 E TREMONT AVE,BRONX,NY,10460-2306,0.0,3,3.0,1000.0,198712.0,1.0,,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,1,1,1,6,1,36005,5602.0,15.0,A,A40,1996,A,A40Z,A40,0.246615,10460.0,10460.0,5600.0,36005.0,,AR,1996,A40,199606,NY,10460.0,BRONX,A40,,,,A,AR,AR,PC,O,AR,A,IN,,A40,A
62194,132709368,1995,2135580,73456,0,0,12701,76291,0,0,12701,12701,2221730,2309640,1940710,0,0,2606470,2174900,1508680,234186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2221730,A51Z,,BRONX MUSEUM OF THE ARTS,,1040 GRAND CONCOURSE,BRONX,NY,10456-3901,0.0,3,3.0,1000.0,197303.0,1.0,,1.0,13.0,0.0,10.0,9,,60.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4,4,4,4,1,1,0,1,0,36005,5602.0,15.0,A,A51,1996,A,A51Z,A51,0.72611,10456.0,10456.0,5600.0,36005.0,,AR,1996,A51,199609,NY,10456.0,BRONX,A51,,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
62215,133116643,1995,334302,0,0,0,463,0,0,0,227516,227516,561818,584398,45994,0,0,111305,109001,45435,63007,0,0,0,0,0,0,0,0,0,0,0,0,0,227054,0,0,,561818,A20Z,,HOSTOS COMMUNITY COLLEGE ADVISORY COUNCIL INC,,500 GRAND CONCOURSE,BRONX,NY,10451-5323,0.0,3,3.0,1000.0,198212.0,1.0,,1.0,13.0,0.0,10.0,8,,40.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2,3,3,3,1,1,1,6,1,36005,5602.0,15.0,A,A20,1996,A,A20Z,A20,0.347029,10451.0,10451.0,5600.0,36005.0,,AR,1996,A20,199608,NY,10451.0,BRONX,A20,,,,A,AR,AR,PC,O,AR,A,IN,,A20,A
62224,133253144,1994,96250,0,0,0,63,5021,0,0,151895,151895,248145,210518,33438,0,0,44214,172107,47092,138669,0,0,0,0,0,0,0,0,0,0,0,0,0,151354,0,478,,248145,Z99Z,,PEPATIAN,,1001 GRAND CONCOURSE 10F,BRONX,NY,10452-9128,0.0,3,3.0,1200.0,199403.0,1.0,,1.0,13.0,199709.0,10.0,9,,994.0,90.0,0.0,B9710,,,IN,O,UN,Z,PC,2,2,2,2,1,1,1,6,1,36005,5602.0,15.0,Z,Z99,1995,Z,Z99Z,Z99,0.038732300000000004,10452.0,10452.0,5600.0,36005.0,,UN,1995,Z99,199509,NY,10452.0,BRONX,A23,,,,Z,UN,OT,PC,O,UN,Z,IN,,A23,A
62254,133391212,1996,104810,0,0,0,5158,1123,0,0,103257,103257,208067,204776,85467,0,0,202819,133362,120643,47895,75000,0,0,0,0,0,0,0,0,0,0,0,0,98099,0,0,,208067,A51Z,,LEHMAN COLLEGE ART GALLERY INC,,250 BEDFORD PARK BLVD W,BRONX,NY,10468-1589,0.0,3,3.0,1000.0,198705.0,1.0,,1.0,13.0,0.0,10.0,6,,91.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2,2,2,2,1,1,1,6,1,36005,5602.0,15.0,A,A51,1997,A,A51Z,A51,0.10395,10468.0,10468.0,5600.0,36005.0,,AR,1997,A51,199706,NY,10468.0,BRONX,A51,,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
62291,133047056,1995,445591,0,0,0,0,11400,0,0,305375,305375,750966,729308,8917,0,0,282696,147953,330437,139036,0,0,0,0,0,0,0,0,0,0,0,0,0,132180,0,0,,750966,A61Z,,LEHMAN COLLEGE CENTER FOR THE PERFORMING ARTS INC,,BEDFORD PARK BLVD W,BRONX,NY,10468-0000,0.0,3,3.0,1200.0,198101.0,1.0,,1.0,13.0,0.0,10.0,6,,995.0,90.0,0.0,B9710,,,IN,O,AR,A,PC,2,3,3,3,1,1,0,0,0,36005,5602.0,16.0,A,A61,1996,A,A61Z,A61,0.194211,10468.0,10468.0,5600.0,36005.0,,AR,1996,A61,199606,NY,10468.0,BRONX,A61,,,,A,AR,AR,PC,O,AR,A,IN,,A61,A
62295,133545233,1996,1159580,0,0,0,70224,0,0,0,123505,123505,1283090,1632860,2400650,80000,0,2786200,2439140,35374,38491,0,0,0,0,0,0,0,0,0,0,0,0,0,48379,0,4902,,1283090,A32Z,,BRONX COMMUNITY CABLE PROGRAMMING CORP,,LEHMAN COLLEGE CARMAN HAL,BRONX,NY,10468-0000,0.0,3,3.0,1000.0,199101.0,1.0,,1.0,13.0,199412.0,10.0,12,,995.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4,4,4,4,1,1,1,6,1,36005,5602.0,16.0,A,A32,1996,A,A32Z,A32,0.354446,10468.0,10468.0,5600.0,36005.0,,AR,1996,A32,199612,NY,10468.0,BRONX,A32,,,,A,AR,AR,PC,O,AR,A,IN,,A32,A
62321,132879843,1996,47124,0,0,0,1385,0,57333,4310,63028,5695,110152,40053,360488,0,0,355955,365338,8233,4850,360488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,52819,A33Z,,SHEEP MEADOW PRESS INC,% STANLEY MOSS,5247 INDEPENDENCE AVE,RIVERDALE-ON-HUDSON,NY,10471-2825,0.0,3,3.0,2000.0,198108.0,1.0,,1.0,13.0,0.0,10.0,12,,120.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2,2,1,1,1,1,1,6,1,36005,5602.0,16.0,A,A33,1996,A,A33Z,A33,0.0964563,10471.0,10471.0,5600.0,36005.0,,AR,1996,A33,199612,NY,10471.0,RIVERDALE-ON-HUDSON,A33,,,,A,AR,AR,PC,O,AR,A,IN,,A33,A
62323,132988157,1995,828635,0,0,0,0,0,0,0,124495,124495,953130,956563,588175,0,0,719869,750356,128261,162181,0,0,0,0,0,0,0,0,0,0,0,0,0,124495,0,0,,953130,A99Z,,MIND BUILDERS CREATIVE ARTS CO,MADAHA KINSEY-LAMB,3415 OLINVILLE AVE,BRONX,NY,10467-5612,0.0,3,3.0,2000.0,197907.0,1.0,,1.0,13.0,0.0,10.0,6,,119.0,349.0,0.0,B9710,,,IN,O,AR,A,PC,3,3,3,3,1,1,1,6,1,36005,5602.0,16.0,A,A99,1996,A,A99Z,A99,0.760412,10467.0,10467.0,5600.0,36005.0,,AR,1996,A25,199606,NY,10467.0,BRONX,A25,,,,A,AR,AR,PC,O,AR,A,IN,,A25,A
62329,133460383,1996,38409,0,0,0,0,0,0,0,0,0,38409,42651,6035,0,0,10277,6035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38409,P84Z,B99Z,THE NATIONAL ASSOCIATION FOR KOREAN SCHOOLS NORTH EAST CHAPTER,,5900 ARLINGTON AVENUE,RIVERDALE,NY,10471-1302,0.0,3,3.0,2000.0,199308.0,1.0,,5.0,13.0,199708.0,10.0,8,,994.0,59.0,119.0,B9710,,,IN,O,HS,P,PC,1,1,1,1,1,1,1,6,1,36005,5602.0,15.0,P,P84,1997,P,P84Z,P84,0.029168,10471.0,10471.0,5600.0,36005.0,,HU,1997,A23,199708,NY,10471.0,RIVERDALE,A23,,,,P,HU,HU,PC,O,HS,P,IN,,A23,A
62336,112164064,1995,63933,100,0,0,133,7444,0,0,50346,50346,114379,136298,42577,0,0,77550,50526,11918,7949,-23055,0,0,0,0,0,0,0,0,0,0,0,1136,48983,94,0,,113243,A65Z,,THE BELMONT ITALIAN AMERICAN PLAYHOUSE LTD,,2385 ARTHUR AVE,BRONX,NY,10458-8103,0.0,3,3.0,1000.0,199601.0,1.0,,1.0,11.0,0.0,10.0,12,,319.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,2,2,2,1,1,1,6,1,36005,5602.0,16.0,A,A65,1995,A,A65Z,A65,0.659571,10458.0,10458.0,5600.0,36005.0,,AR,1995,A65,199512,NY,10458.0,BRONX,A65,,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
62337,61278112,1996,58421,0,0,0,56,0,0,0,56,56,58477,56229,10153,0,0,40448,38311,40448,28158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58477,A99Z,,CONSCIENTIOUS MUSICAL REVIEWS,% VALENCIA EMANUEL,100 ALCOTT PL 19L,BRONX,NY,10475-4130,0.0,3,3.0,1000.0,199405.0,1.0,,1.0,13.0,0.0,10.0,12,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,1,1,0,1,0,36005,5602.0,15.0,A,A99,1996,A,A99Z,A99,0.0168143,10475.0,10475.0,5600.0,36005.0,,AR,1996,A68,199612,NY,10475.0,BRONX,A68,,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
62342,510243951,1995,23775,40927,0,0,24834,0,0,0,132816,132816,197518,167619,192178,0,0,209999,192178,5527,0,0,0,0,0,0,0,0,0,0,0,0,0,42193,12379,53323,87,,155325,A82Z,,BARTOW-PELL LANDMARK FUND,,PELHAM BAY PARK - 895 SHO,BRONX,NY,10464-0000,0.0,3,3.0,2000.0,197510.0,1.0,,2.0,13.0,0.0,10.0,5,,60.0,62.0,0.0,B9710,,,IN,O,AR,A,PC,2,2,2,2,1,1,1,6,1,36005,5602.0,15.0,A,A82,1996,A,A82Z,A82,0.29940500000000003,10464.0,10464.0,5600.0,36005.0,,AR,1996,A82,199605,NY,10464.0,BRONX,A54,,,,A,AR,AR,PC,O,AR,A,IN,,A54,A
62346,510186869,1995,288689,0,0,0,2444,11724,0,0,90756,90756,379445,364128,43698,29932,11509,72676,119401,44295,75703,8859,0,0,0,0,0,0,0,0,0,0,0,0,88312,0,0,,379445,A6CZ,A6CP,BRONX ARTS ENSEMBLE INC,,VAN CORTLANDT PARK,BRONX,NY,10471-0000,0.0,3,3.0,1200.0,197601.0,1.0,,1.0,13.0,0.0,10.0,8,,90.0,119.0,0.0,B9710,,,IN,O,AR,A,PC,2,2,2,2,1,1,1,6,1,36005,5602.0,16.0,A,A6C,1996,A,A6CZ,A6C,0.16206900000000002,10471.0,10471.0,5600.0,36005.0,,AR,1996,A68,199608,NY,10471.0,BRONX,A68,,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
62348,237448754,1995,0,0,0,0,0,0,21009,24494,45503,24494,45503,23682,4912,0,0,4100,4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24494,A33Z,,ISLAND CURRENT INC,,PO BOX 6,CITY ISLAND,NY,10464-0006,0.0,3,3.0,2000.0,199206.0,1.0,,1.0,13.0,0.0,10.0,3,,120.0,402.0,126.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,1,1,1,6,1,36005,5602.0,16.0,A,A33,1996,A,A33Z,A33,0.199811,10464.0,10464.0,5600.0,36005.0,,AR,1996,A33,199603,NY,10464.0,CITY ISLAND,A33,,,,A,AR,AR,PC,O,AR,A,IN,,A33,A
62368,132601303,1995,1244050,10110,0,0,1000,0,0,0,38945,38945,1293110,1301290,-24528,75000,0,154952,192757,162960,217285,-24528,0,0,0,0,0,0,0,0,0,0,0,8336,0,23609,0,,1284770,A26Z,,BRONX COUNCIL ON THE ARTS INC,,1738 HONE AVE,BRONX,NY,10461-1403,0.0,3,3.0,2000.0,196803.0,1.0,,1.0,13.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,,IN,O,AR,A,PC,2,4,4,4,1,0,1,6,1,36005,5602.0,15.0,A,A26,1996,A,A26Z,A26,0.14114000000000002,10461.0,10461.0,5600.0,36005.0,,AR,1996,A26,199606,NY,10461.0,BRONX,A26,,,,A,AR,AR,PC,O,AR,A,IN,,A26,A
62404,112561104,1994,0,1330,0,0,156,0,0,0,36635,36635,37965,24434,8050,0,0,7980,8051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10253,25000,1232,0,,27712,A6BZ,,GLEE CLUB OF THE FRIENDLY SONS OF ST PATRICK IN THE CITY OF NY INC,,277 W 261ST ST,BRONX,NY,10471-1124,0.0,3,3.0,1000.0,198105.0,1.0,,1.0,13.0,0.0,10.0,8,,89.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1,1,1,1,1,1,0,0,0,36005,5602.0,16.0,A,A6B,1995,A,A6BZ,A6B,0.9667899999999999,10471.0,10471.0,5600.0,36005.0,,AR,1995,A6B,199508,NY,10471.0,BRONX,A6B,,,,A,AR,AR,PC,O,AR,A,IN,,A6B,A
