,EIN,NAME,SEC_NAME,ADDRESS,CITY,STATE,ZIP,ZIP5,CONTACT,NTEEIRS,SUBSECCD,FNDNCD,RULEDATE,ORGCD,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,CLASSCD,DEDUCTCD,EOSTATUS,FRCD,GEN,TAXPER,FISYR,SOIYR,STYEAR,subcd,CONT,PROGREV,INVINC,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,RENTINC,rntlexpnsreal,rntlexpnsprsnl,RENTEXP,rntlincreal,rntlincprsnl,NETRENT,SECUR,SALEOTHG,SALESEXP,SALEOTHE,SALESECN,SALEOTHN,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,SPEVTG,DIREXP,FUNDINC,INVENTG,GOODS,GRPROF,OTHINC,TOTREV2,TOTREV,GRREC,COMPENS,OTHSAL,PAYTAX,FUNDFEES,EXPS,NETINC,OTHCHGS,ASS_BOY,ASS_EOY,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,unsecurednotesend,LIAB_BOY,LIAB_EOY,RETE_BOY,RETEARN,NETA_BOY,FUNDBAL,Q78A,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,REASON,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,grsinc170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,txrevnuelevied509,srvcsval509,subtotsuppinc509,totsupp509,inPrior,inPriorSrc,taxperP,fisyrP,doccdP,contP,progrevP,duesP,invincP,netrentP,salesecnP,saleothnP,fundincP,grprofP,othincP,totrevP,expsP,netincP,compensP,othsalP,paytaxP,fundfeesP,DocCD,FileName,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,nteeFinal,nteeFinal1,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NAICS,LONGITUDE,LATITUDE,epostcard,SOURCE,KeyID,VERIFY,GovGtEstimate,GovGtCode,GovGtYr,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,EmployEstimate,EmployCode,EmployYr
23948,133477104,ART BEYOND SIGHT INC,,589 BROADWAY 3RD FLOOR,NEW YORK,NY,10012-3231,10012.0,,,3,15.0,198906.0,1.0,12.0,160.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,453404,38173,1695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,95246.0,90992.0,4254.0,0.0,0.0,0.0,95246,90992,4254,0,0,0,0,497526,497526,588518.0,260008.0,52996.0,23105.0,0.0,492046,5480,,596712.0,718911,0.0,0.0,0.0,0.0,0.0,261540.0,378259,0.0,0.0,335172.0,340652,N,0,0,0.0,0.0,7,2268383.0,0.0,0.0,22559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201112.0,2011.0,93.0,384765.0,7400.0,0.0,4946.0,0.0,0.0,0.0,29359.0,0.0,0.0,427826.0,418355.0,9471.0,0.0,297000.0,22964.0,0.0,93,133477104_201212_990,IN,,133477104201212,1334771042012,A25,A,36061.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.7979,A,611610.0,-73.9976946,40.7250632,0,rtf2013_990_VER,42802,,0,c4,2006,0,c4,2006,453404,c4,2006,38,ag,0
24017,237254943,ROME FESTIVAL ORCHESTRA LTD,,350 FIFTH AVE-59TH FL,NEW YORK,NY,10118-0110,10118.0,,A68Z,3,11.0,197303.0,1.0,12.0,30.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,111275,50993,1791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,164059,164059,164059.0,0.0,0.0,0.0,0.0,117400,46659,,561586.0,556759,0.0,0.0,103089.0,81094.0,229128.0,404717.0,382722,-401540.0,-382136.0,156869.0,174037,N,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201112.0,2011.0,93.0,132485.0,52236.0,0.0,1870.0,0.0,0.0,0.0,0.0,0.0,0.0,186591.0,156771.0,29820.0,0.0,0.0,0.0,0.0,93,237254943_201212_990,IN,,237254943201212,2372549432012,A1969,A,36061.0,5602.0,5600.0,A196,A,PC,O,AR,A,A,1,AR,AR,AR,0.61093,A,813219.0,-73.983615556,40.671884278,0,rtf2013_990_VER,42905,,0,j3,2011,0,j3,2011,111275,j3,2011,0,a,2012
24080,133773381,ZGD INC,,246 W 38TH ST RM 4,NEW YORK,NY,10018-9090,10018.0,,A20,3,16.0,199410.0,1.0,7.0,995.0,90.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201207,2012,2011,2011,3.0,95550,161913,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,257468,257468,257468.0,51004.0,43929.0,16342.0,0.0,275852,-18384,,31238.0,9217,0.0,0.0,0.0,0.0,30000.0,45405.0,41768,0.0,0.0,-14167.0,-32551,N,0,0,0.0,0.0,7,519715.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201107.0,2011.0,93.0,169932.0,182500.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,352475.0,306789.0,45686.0,61000.0,41780.0,25550.0,0.0,93,133773381_201207_990,IN,,133773381201207,1337733812012,A62,A,36061.0,5602.0,5600.0,A62,A,PC,O,AR,A,A,1,AR,AR,AR,0.07397999999999999,A,711120.0,-73.99024299,40.754194894,0,rtf2013_990_VER,42971,,8732,c4,2006,86818,c4,2006,0,c4,2006,14,ar,0
24275,237212492,INTERNATIONAL ARTS RELATIONS INC,,PO BOX 756,NEW YORK,NY,10108-0756,10108.0,,A230,3,15.0,197208.0,1.0,6.0,59.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,338346,12857,38,0.0,15.0,2530.0,0.0,2530.0,0.0,0.0,0.0,2530.0,0.0,2530.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7617,361403,361403,361403.0,96153.0,48280.0,15572.0,0.0,308789,52614,,92460.0,84464,0.0,0.0,0.0,0.0,41250.0,164749.0,104139,0.0,0.0,-72289.0,-19675,N,0,0,0.0,0.0,7,1950029.0,0.0,0.0,8773.0,115498.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201106.0,2011.0,93.0,272388.0,39382.0,0.0,19.0,4556.0,0.0,0.0,0.0,0.0,196.0,316568.0,305557.0,11011.0,73900.0,26400.0,11095.0,0.0,93,237212492_201206_990,IN,,237212492201206,2372124922012,A23,A,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.5293899999999999,B,710000.0,-73.9907,40.7601,0,rtf2013_990_VER,43179,,175937,c4,2006,162409,c4,2006,0,c4,2006,17,ag,0
24294,651309240,MAIEUTIC THEATRE WORKS,MTWORKS,147 W 72ND ST APT 2C,NEW YORK,NY,10023-3201,10023.0,,A60,3,15.0,201210.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201208,2012,2011,2011,3.0,279,51427,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,51706,51706,51706.0,0.0,0.0,0.0,0.0,52798,-1092,,4308.0,3216,0.0,0.0,0.0,0.0,0.0,93.0,93,4215.0,3123.0,4215.0,3123,N,0,0,0.0,0.0,7,3227.0,0.0,0.0,0.0,95224.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201108.0,2011.0,93.0,1606.0,28123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29729.0,27744.0,1985.0,0.0,0.0,0.0,0.0,93,651309240_201208_990,IN,,651309240201208,6513092402012,A65,A,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.11713,B,711110.0,-73.97031199999999,40.799621,0,rtf2013_990_VER,43201,,57,ar,0,218,ar,0,4,ar,0,0,a,2012
24327,113487542,PANSAMIAN BROTHERHOOD PYTHAGORAS OF NEW YORK INC,,3507 31ST AVE,ASTORIA,NY,11106-1434,11106.0,DEMETRIOS CHRISTODOULOU,A23,3,15.0,200901.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,20025,0,0,0.0,0.0,80929.0,0.0,80929.0,101612.0,0.0,101612.0,-20683.0,0.0,-20683.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-658,-658,100954.0,0.0,0.0,0.0,0.0,12207,-12865,,960021.0,939406,0.0,0.0,579205.0,571455.0,0.0,585005.0,577255,375015.0,362151.0,375016.0,362151,Y,0,0,0.0,0.0,7,305458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201112.0,2011.0,93.0,34331.0,0.0,0.0,0.0,-45375.0,0.0,0.0,0.0,0.0,0.0,-11044.0,13614.0,-24658.0,0.0,0.0,0.0,0.0,93,113487542_201212_990,IN,,113487542201212,1134875422012,A23,A,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.30174,B,710000.0,-73.91943959,40.762423647,0,rtf2013_990_VER,43234,,1099,ar,0,18491,ar,0,435,ar,0,0,a,2012
24392,131997754,YOUNG AUDIENCES-NEW YORK INC,,ONE EAST 53RD ST 9TH FL,NEW YORK,NY,10022-4200,10022.0,,A250,3,15.0,197005.0,1.0,6.0,119.0,59.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,1700206,600012,35776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999502.0,0.0,1004737.0,0.0,-5235.0,0,-5235.0,149540.0,149540.0,0.0,0.0,0.0,0.0,149540,149540,0,0,0,0,2823,2333582,2333582,3487859.0,246337.0,568650.0,60950.0,0.0,2179024,154558,,2087063.0,2052549,0.0,0.0,55081.0,0.0,0.0,232666.0,176224,0.0,0.0,1854397.0,1876325,N,0,0,0.0,0.0,7,6965406.0,0.0,0.0,306643.0,3654074.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201106.0,2011.0,93.0,1668550.0,647161.0,0.0,38714.0,0.0,30937.0,0.0,-11247.0,0.0,3527.0,2377642.0,2026543.0,351099.0,203289.0,560419.0,57714.0,20950.0,93,131997754_201206_990,IN,,131997754201206,1319977542012,A25,A,36061.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.99731,A,611610.0,-73.9752255,40.7602311,0,rtf2013_990_VER,43302,,232086,c4,2006,1468120,c4,2006,0,c4,2006,48,ar,0
24831,201915394,MUSEUM OF BIBLICAL ART,,1865 BROADWAY,NEW YORK,NY,10023-7505,10023.0,ENA HELLER EXECUTIVE DIRECTOR,A50,3,15.0,200503.0,1.0,6.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,2130401,23440,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,28185,0,28185,11216,2193466,2193466,2193466.0,210599.0,779363.0,78011.0,0.0,2328427,-134961,,1156922.0,1098677,0.0,0.0,0.0,0.0,0.0,272437.0,349153,0.0,0.0,884485.0,749524,N,0,0,0.0,0.0,7,10218664.0,0.0,0.0,892.0,279618.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201106.0,2011.0,93.0,1824433.0,29355.0,0.0,334.0,0.0,0.0,0.0,23438.0,28914.0,6890.0,1913364.0,2167494.0,-254130.0,211375.0,684570.0,0.0,0.0,93,201915394_201206_990,IN,,201915394201206,2019153942012,A50,A,36061.0,5602.0,5600.0,A50,A,PC,O,AR,A,A,1,AR,AR,AR,0.5865,A,712110.0,-73.98231283300001,40.769931111,0,rtf2013_990_VER,43787,,201196,j3,2011,1929205,j3,2011,0,j3,2011,0,j3,2011
24948,132744557,SEVEN LOAVES,DBA GOH PRODUCTIONS,239 E 5TH ST APT 1D,NEW YORK,NY,10003-8531,10003.0,BONNIE STEIN,A650,3,15.0,198011.0,5.0,6.0,994.0,603.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,134934,221987,599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,357520,357520,357520.0,9600.0,8400.0,1676.0,0.0,347115,10405,,176068.0,191212,0.0,0.0,0.0,0.0,0.0,26542.0,27188,0.0,0.0,149526.0,164024,N,0,0,0.0,0.0,7,701898.0,0.0,0.0,3113.0,784365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201106.0,2011.0,93.0,151022.0,157926.0,0.0,945.0,0.0,0.0,0.0,0.0,0.0,1374.0,311267.0,298545.0,12722.0,9600.0,8400.0,1631.0,0.0,93,132744557_201206_990,IN,,132744557201206,1327445572012,A65,A,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.3201,A,711110.0,-73.989539846,40.727518563000004,0,rtf2013_990_VER,43909,,23409,j3,2011,111525,j3,2011,0,j3,2011,0,j3,2011
25040,133180628,THE GEORGE BALANCHINE FOUNDATION INC,,20 LINCOLN CENTER PLAZA,NEW YORK,NY,10023-6913,10023.0,JOAN BAEKELAND,,3,15.0,198404.0,1.0,12.0,90.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,201212,2012,2012,2012,3.0,108305,35828,4283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,148416,148416,148416.0,0.0,0.0,0.0,0.0,141784,6632,,136222.0,144618,0.0,0.0,0.0,0.0,0.0,296.0,2060,135926.0,142558.0,135926.0,142558,N,0,0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201112.0,2011.0,93.0,39633.0,34449.0,0.0,18660.0,0.0,0.0,0.0,0.0,0.0,0.0,92742.0,158618.0,-65876.0,0.0,0.0,0.0,0.0,93,133180628_201212_990,IN,,133180628201212,1331806282012,A99,A,36061.0,5602.0,5600.0,A99,A,PC,O,AR,A,A,1,AR,AR,AR,0.72165,B,710000.0,-74.11150679,40.58091666,0,rtf2013_990_VER,44006,,0,c4,2005,108305,c4,2005,0,c4,2005,0,a,2012
25041,134189725,RIPE TIME INC,RIPE TIME,138 S OXFORD ST STE 4D,BROOKLYN,NY,11217-1694,11217.0,RACHEL DICKSTEIN,A65,3,15.0,200212.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,188148,59511,0,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,248659,248659,248659.0,3750.0,3300.0,19173.0,0.0,283457,-34798,,28854.0,19298,,0.0,,8250.0,0.0,5451.0,30693,,0.0,23403.0,-11395,N,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,583706.0,103691.0,0.0,0.0,1000.0,693480.0,1,core2011pc,201106.0,2011.0,92.0,114002.0,1321.0,0.0,0.0,,,0.0,0.0,0.0,19.0,115342.0,96820.0,18522.0,,,,,93,134189725_201206_990,IN,,134189725201206,1341897252012,A0165,A,36047.0,5602.0,5600.0,A016,A,PC,O,AR,A,A,1,AR,AR,AR,0.18545999999999999,A,813319.0,-73.97293118399999,40.684813942,0,rtf2013_990_VER,44007,,15422,c4,2006,172726,c4,2006,0,c4,2006,1,ag,0
25123,61634051,SHEN WEI DANCE ARTS INC,,246 W 38TH ST FL 8,MANHATTAN,NY,10018-7857,10018.0,SHEN WEI,A62,3,15.0,200203.0,1.0,6.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,545943,512421,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,85556.0,85556.0,0.0,0.0,0.0,0.0,85556,85556,0,1016,0,1016,242,1059622,1059622,1145178.0,154178.0,411189.0,43950.0,0.0,1198910,-139288,,465813.0,295563,0.0,0.0,0.0,0.0,0.0,134709.0,103747,0.0,0.0,331104.0,191816,N,0,0,0.0,0.0,7,2365290.0,0.0,0.0,0.0,2810279.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201106.0,2011.0,93.0,637430.0,285926.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,618.0,924574.0,724576.0,199998.0,119463.0,247045.0,25427.0,0.0,93,061634051_201206_990,IN,,61634051201206,616340512012,A62,A,36061.0,5602.0,5600.0,A62,A,PC,O,AR,A,A,1,AR,AR,AR,0.66597,A,711120.0,-73.9962255,40.7483282,0,rtf2013_990_VER,44093,,90463,c4,2006,455480,c4,2006,0,c4,2006,33,ar,0
25180,132814763,NEW FEDERAL THEATER INC,,292 HENRY ST,NEW YORK,NY,10002-4816,10002.0,,A650,3,16.0,197601.0,1.0,6.0,88.0,90.0,149.0,3.0,1.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,261345,32158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5438.0,5438.0,0.0,0.0,0.0,0.0,5438,5438,0,0,0,0,9,293512,293512,298950.0,64604.0,68779.0,9806.0,3000.0,410850,-117338,,116377.0,107081,0.0,0.0,28228.0,30990.0,0.0,133765.0,197139,0.0,0.0,-17388.0,-90058,N,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,1907211.0,218946.0,0.0,0.0,0.0,2132421.0,1,core2011pc,201106.0,2011.0,93.0,477845.0,62204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,540076.0,457589.0,82487.0,64604.0,84244.0,9752.0,36964.0,93,No Exact Image Match (JAN14),IN,,132814763201206,1328147632012,A65,A,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.24236999999999997,A,711110.0,-73.9833331,40.7145515,0,rtf2013_990_VER,44156,,110569,c4,2006,150776,c4,2006,0,c4,2006,20,ar,0
25197,133317229,POETRY PROJECT LIMITED,,131 E 10TH ST,NEW YORK,NY,10003-7504,10003.0,,,3,15.0,198603.0,1.0,6.0,90.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,258891,68773,36290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6904,370858,370858,370858.0,0.0,0.0,12744.0,0.0,366117,4741,,1478131.0,1484252,0.0,0.0,0.0,0.0,0.0,19473.0,9229,0.0,0.0,1458658.0,1475023,N,0,0,0.0,0.0,7,989997.0,0.0,0.0,68570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201106.0,2011.0,93.0,266061.0,58042.0,0.0,32280.0,0.0,-16365.0,0.0,0.0,0.0,1839.0,341857.0,300398.0,41459.0,50000.0,62100.0,9237.0,0.0,93,133317229_201206_990,IN,,133317229201206,1333172292012,A70,A,36061.0,5602.0,5600.0,A70,A,PC,O,AR,A,A,1,AR,AR,AR,0.47001000000000004,A,710000.0,-73.987816665,40.730513718000005,0,rtf2013_990_VER,44174,,92378,c4,2006,166513,c4,2006,0,c4,2006,0,a,2012
25251,132936291,VOLUNTEER LAWYERS FOR THE ARTS INC,,6TH FLOOR,NEW YORK,NY,10022-0000,10022.0,,A900,3,15.0,197805.0,1.0,6.0,462.0,123.0,120.0,3.0,1.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,637080,156740,28184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89000.0,0.0,84281.0,0.0,4719.0,0,4719.0,8730.0,8730.0,0.0,0.0,0.0,0.0,8730,8730,0,1714,1337,377,616,827716,827716,922064.0,192900.0,355679.0,38090.0,0.0,903067,-75351,,1382780.0,1300768,0.0,0.0,0.0,0.0,0.0,26807.0,24049,0.0,0.0,1355973.0,1276719,N,0,0,0.0,0.0,7,3430553.0,0.0,0.0,178245.0,838246.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201106.0,2011.0,93.0,730772.0,171496.0,0.0,29770.0,0.0,0.0,0.0,0.0,1031.0,119.0,933188.0,866647.0,66541.0,196172.0,336543.0,36878.0,0.0,93,132936291_201206_990,IN,,132936291201206,1329362912012,A90,A,36061.0,5602.0,5600.0,A90,A,PC,O,AR,A,A,1,AR,AR,AR,0.76895,A,813219.0,-73.9679,40.7582,0,rtf2013_990_VER,44263,,131129,o4,2008,505951,o4,2008,0,o4,2008,45,ag,0
25339,452928717,CINEMA CONSERVANCY INCORPORATED,,225 W 13TH ST,NEW YORK,NY,10011-7701,10011.0,,A31,3,16.0,201202.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,1266413,3520,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1269933,1269933,1269933.0,101065.0,8000.0,10341.0,0.0,205704,1064229,,,1100238,,0.0,,0.0,0.0,,36009,,0.0,,1064229,N,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,3520.0,0.0,0.0,0.0,3520.0,0,,,,,,,,,,,,,,,,,,,,,,93,452928717_201206_990,IN,,452928717201206,4529287172012,A31,A,36061.0,5602.0,5600.0,A31,A,PC,O,AR,A,A,1,AR,AR,AR,0.8580399999999999,A,512110.0,-73.999332,40.74179,0,rtf2013_990_VER,44357,,138821,ag,0,1115266,ag,0,12326,ag,0,13,ag,0
25368,133880953,STORYVILLE CENTER FOR THE SPOKEN WORD INC,,481 BROADWAY APT 3,NEW YORK,NY,10013-2662,10013.0,,A650,3,15.0,199707.0,1.0,12.0,995.0,90.0,92.0,3.0,2.0,1.0,1.0,10.0,0.0,201112,2011,2011,2011,3.0,1117751,1690844,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2809097,2809097,2809097.0,108613.0,595698.0,63295.0,0.0,2088717,720380,,975698.0,1575210,0.0,0.0,0.0,0.0,0.0,69246.0,79552,0.0,0.0,906452.0,1495658,N,0,0,0.0,0.0,7,3365698.0,0.0,0.0,12567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201012.0,2010.0,93.0,935281.0,756516.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,1692105.0,1276248.0,415857.0,51303.0,315604.0,27624.0,0.0,93,133880953_201112_990,IN,,133880953201112,1338809532011,A65,A,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.11631,A,711110.0,-73.9903489,40.7549051,0,rtf2013_990_VER,44386,,14107,c4,2005,1103644,c4,2005,0,c4,2005,59,av,0
25918,133035783,NEW YORKS LANDMARKS PRESERVATION FOUNDATION INC,,ONE CENTRE ST 9TH FL NORTH,NEW YORK,NY,10007-1602,10007.0,CHRISTINA DAVIS,A800,3,16.0,198009.0,2.0,6.0,119.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,110634,18763,667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,53616.0,53616.0,0.0,0.0,0.0,0.0,53616,53616,0,0,0,0,0,130064,130064,183680.0,0.0,0.0,0.0,12500.0,109486,20578,,540496.0,552504,0.0,0.0,0.0,0.0,0.0,9570.0,1000,0.0,0.0,530926.0,551504,N,0,0,0.0,0.0,7,523911.0,0.0,0.0,16764.0,57902.0,0.0,0.0,0.0,0.0,0.0,0.0,1,soi10c39,201106.0,2011.0,93.0,117582.0,17879.0,,750.0,0.0,0.0,0.0,0.0,0.0,2087.0,138298.0,75499.0,62799.0,0.0,0.0,0.0,15350.0,93,133035783_201206_990,IN,,133035783201206,1330357832012,A82,A,36061.0,5602.0,5600.0,A82,A,PC,O,AR,A,A,1,AR,AR,AR,0.70545,A,,-74.0094,40.7144,0,rtf2013_990_VER,45241,,0,s1,2012,110634,s1,2012,0,s1,2012,0,a,2012
26064,112495664,BROOKLYN CHILDRENS MUSEUM CORP,,145 BROOKLYN AVE,BROOKLYN,NY,11213-1930,11213.0,,A520,3,15.0,198110.0,1.0,6.0,60.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201206,2012,2011,2011,3.0,4369197,891835,37817,0.0,0.0,170842.0,0.0,170842.0,0.0,0.0,0.0,170842.0,0.0,170842.0,686402.0,0.0,643306.0,0.0,43096.0,0,43096.0,94043.0,76520.0,17523.0,0.0,0.0,0.0,94043,76520,17523,196219,141808,54411,54021,5638742,5638742,6500376.0,340186.0,3105120.0,246701.0,0.0,7579203,-1940461,,9340384.0,7290604,0.0,0.0,215000.0,195000.0,112000.0,3895714.0,4704667,0.0,0.0,5444670.0,2585937,N,0,0,0.0,0.0,7,23421136.0,0.0,0.0,885555.0,3398902.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011pc,201106.0,2011.0,93.0,4432533.0,793738.0,0.0,59767.0,141660.0,106019.0,0.0,-24646.0,72817.0,57899.0,5639787.0,6984511.0,-1344724.0,0.0,3243479.0,247569.0,0.0,93,112495664_201206_990,IN,,112495664201206,1124956642012,A52,A,36047.0,5602.0,5600.0,A52,A,PC,O,AR,A,A,1,AR,AR,AR,0.9539,A,712110.0,-73.94405129399999,40.674302677,0,rtf2013_990_VER,45392,,2108364,c4,2004,2260833,c4,2004,0,c4,2004,116,ar,0
