,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P6INVTAX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,randnum,nteeConf,LEVEL1,LEVEL2,LEVEL3,LEVEL4,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
6680,133224878,200012,2000,200143.0,29491279000221.0,A20Z,N,Y,0.0,1.0,2000,2.0,1.0,2.0,3,123,18152,11,0,0,0,0,551,0,25,18714,17011,1703,15881,11,0,11,4546,0,0,0,0,305,4546,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,11,11,16986,0,15856,0,0,0,0,0,4546,0,4241,0,0,0,0,0,0,0,0,0,0,5460,0,1,0,124,272,396,21427,34302,38510,31660,125899,4546,2538,1425,1732,10241,4546,2538,1425,1732,10241,0,0,83,181,264,18703,35396,38165,26573,118837,18703,35396,38165,26573,118837,11,19,38,67,135,10025.0,CHILDRENS MUSIC WORKSHOP INC,,315 RIVERSIDE DRIVE SUITE 7C,NEW YORK,NY,10025-4100,0.0,3.0,1.0,199112.0,1.0,3.0,123.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A20,A,A,IN,,1,AR,AR,AR,0.331025,N,PF,O,AR,A,NY,10025.0,NEW YORK,core2000pf_ver1,PF,O,AR,A,IN,,A20,A
6688,133229829,200104,2001,200147.0,29491307015071.0,A23Z,N,Y,0.0,1.0,2000,3.0,2.0,3.0,3,46,54533,0,0,0,0,0,0,0,0,54533,46096,8437,0,0,0,0,11050,0,0,0,0,1003,11050,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,46096,0,0,0,0,11050,0,0,11050,0,10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001.0,KOREAN LANGUAGE & CULTURAL INSTITUTE INC,,246 5TH AVE STE 500,NEW YORK,NY,10001-7603,0.0,3.0,1.0,199101.0,1.0,4.0,46.0,0.0,0.0,1.0,13.0,0.0,1.0,4,,36061.0,5602.0,5600.0,A23,A,A,IN,,1,AR,AR,AR,0.309529,N,PF,O,AR,A,NY,10001.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A23,A
6927,133354834,200006,2000,200132.0,29491146011211.0,A31Z,N,Y,0.0,1.0,1999,3.0,1.0,2.0,3,122,15000,0,678,0,0,0,0,0,25250,15678,39385,-23707,25250,508,5,0,3919,0,0,0,0,0,3919,0,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,678,0,14135,170,0,170,0,0,0,0,3919,0,3919,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10025.0,MEDIA ASSOCIATION OF SOCIAL SCIENTISTS AND ARTISTS INC,,292 RIVERSIDE DR 4A,NEW YORK,NY,10025-9003,0.0,3.0,1.0,199001.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,6,,36061.0,5602.0,5600.0,A31,A,A,IN,,1,AR,AR,AR,0.61443,N,PF,O,AR,A,NY,10025.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A0330,A
7104,133389923,200010,2000,200116.0,29491090030011.0,,N,Y,0.0,1.0,1999,3.0,4.0,1.0,3,122,0,0,0,0,0,0,3529,0,0,3529,6781,-3252,1483,0,0,0,136072,0,0,0,0,301668,26681,0,277,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,3529,6781,0,1483,0,35539,6677,0,0,26681,0,-165596,0,0,0,0,0,0,0,0,0,0,5618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10024.0,THE TEREZIN FOUNDATION INC,,262 CENTRAL PARK WEST,NEW YORK,NY,10024-3512,0.0,3.0,1.0,198703.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,10,,36061.0,5602.0,5600.0,A31,A,A,IN,,1,AR,AR,AR,0.8399049999999999,N,PF,O,AR,A,NY,10024.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A31,A
7156,133406046,200012,2000,200139.0,29491251002081.0,A40,N,Y,0.0,1.0,2000,3.0,1.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,75,-75,75,0,0,0,5414,0,0,0,0,0,5414,0,269,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,75,0,75,0,75,5414,0,0,5414,0,5414,0,0,0,0,0,0,0,0,0,0,5452,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003.0,FRANCIS J GREENBURGER FOUNDATION INC,% TIME EQUITIES INC,55 5TH AVE,NEW YORK,NY,10003-4301,0.0,3.0,1.0,200106.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.896495,N,PF,O,AR,A,NY,10003.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A40,A
7253,133442712,199912,1999,200105.0,29491006047131.0,,N,Y,0.0,1.0,1999,3.0,3.0,3.0,3,122,11482,4587,0,0,0,0,10364,0,0,26433,202033,-175600,202033,4587,46,4587,63964,0,0,0,0,0,63964,0,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,4587,4587,202033,0,0,0,0,63664,0,0,63964,0,63964,46,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019.0,OUTSIDE IN JULY INC,% J L ROSENHOUSE CPA INC,250 W 57TH ST STE 2203,NEW YORK,NY,10019-3741,0.0,3.0,1.0,198810.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,12,GARRISON,36061.0,5602.0,5600.0,A31,A,A,IN,,1,AR,AR,AR,0.635971,N,PF,O,AR,A,NY,10019.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A31,A
7255,133442953,200012,2000,200140.0,29491258058201.0,,N,Y,0.0,1.0,2000,3.0,1.0,2.0,3,121,20056,47,0,0,0,0,0,0,0,20103,20718,-615,0,47,1,47,7724,0,0,0,0,1220,7666,0,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,47,47,20718,0,0,0,0,5340,0,0,7666,0,6504,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10024.0,VIDEO INFORMATION NETWORK,,257 W 86TH ST APT 5A,NEW YORK,NY,10024-3105,0.0,3.0,1.0,198802.0,1.0,4.0,121.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A31,A,A,IN,,1,AR,AR,AR,0.7583260000000001,N,PF,O,AR,A,NY,10024.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A31,A
7319,133472572,200006,2000,200117.0,29491097017151.0,A20Z,N,Y,0.0,1.0,1999,3.0,4.0,0.0,3,155,0,0,0,0,0,0,0,0,0,0,16938,-16938,0,0,0,0,101038,0,0,0,0,144975,21038,0,1036,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,16938,0,0,0,0,0,0,0,21038,0,-43937,0,0,0,0,0,0,0,0,0,0,21038,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10023.0,GUINEA DEVELOPMENT FOUNDATION INC,% SYLLA,140 W END AVE STE 17G,NEW YORK,NY,10023-6142,0.0,3.0,1.0,199101.0,1.0,4.0,155.0,0.0,0.0,1.0,13.0,0.0,1.0,6,,36061.0,5602.0,5600.0,A23,A,A,IN,,1,AR,AR,AR,0.45248900000000003,N,PF,O,AR,A,NY,10023.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A23,A
7340,133486646,200012,2000,200143.0,29491279006181.0,,N,Y,0.0,1.0,2000,3.0,4.0,3.0,3,123,0,2973,5160,47204,0,0,0,0,25000,55337,27198,28139,26485,54624,546,0,260840,0,166322,53258,219580,0,406913,5799,23201,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,55337,0,2198,713,1485,713,0,2,0,0,406913,0,260840,546,0,0,414,0,132,0,0,0,0,471095,22655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10036.0,RONALD A WILFORD FOUNDATION FOR CONDUCTORS INC,% US TRUST CO OF NY,114 W 47TH ST TAXVS,NEW YORK,NY,10036-1510,0.0,3.0,1.0,198906.0,1.0,4.0,123.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A60,A,A,IN,,1,AR,AR,AR,0.538877,N,PF,O,AR,A,NY,10036.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A60,A
7499,133553683,200012,2000,200125.0,29491153016071.0,A99Z,N,Y,0.0,1.0,2000,3.0,1.0,1.0,3,90,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,0,0,0,0,0,16,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,16,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019.0,OPERA DE PARIS FOUNDATION INC,% WILLKIE FARR & GALLAGHER,787 SEVENTH AVE,NEW YORK,NY,10019-6018,0.0,3.0,1.0,199004.0,1.0,4.0,90.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.03279,N,PF,O,AR,A,NY,10019.0,NEW YORK,core2000pf_ver1,PF,S,AR,A,IN,,A6A,A
7542,133572120,200009,2000,200143.0,29491237000081.0,,N,Y,0.0,1.0,1999,2.0,4.0,4.0,3,122,271466,439,0,0,0,0,0,0,0,271905,144628,127277,141584,439,4,0,103745,0,0,0,0,58629,103745,0,2656,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,0,439,439,144628,0,141584,0,3634,99782,0,0,103745,0,45116,4,0,0,0,0,0,0,0,4,0,53933,0,1,0,0,0,1,141584,32537,27497,59944,261562,103745,3791,34150,15054,156740,103745,3791,34150,15054,156740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10023.0,FUND FOR NEW PERFORMANCE VIDEO INC,,175 W 73RD STE 12D,NEW YORK,NY,10023-2934,0.0,3.0,1.0,199401.0,1.0,3.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,9,,36061.0,5602.0,5600.0,A11,A,A,IN,,1,AR,AR,AR,0.438877,N,PF,S,ZA,A,NY,10023.0,NEW YORK,core2000pf_ver1,PF,S,ZA,A,IN,,A1131,A
