,KeyID,EIN,DocCD,TAXPER,NTEEIRS,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA,LONGITUDE,LATITUDE,NAICS,VerifyBy
5319,6552,61655858,91,201306,A51,1.0,2012,Y,,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,61655858201306,616558582013,NCCS_Form990PF_2012_Extract,0,0,10017.0,MOROCCO PALACE OF ARTS FOUNDATION,IMOWITZ KOENIG & CO LLP,622 THIRD AVENUE 33RD FLOOR,NEW YORK,NY,10017-6707,0.0,3.0,1.0,200401.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,,,,,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.6158899999999999,A,A51,A,36061.0,5602.0,5600.0,-73.9755468,40.7497598,712110.0,
5355,6593,61683335,91,201212,A60,1.0,2012,N,,,3,0,0,0,0,0,0,0,0,1,2850,-2850,2500,0,0,1,0,0,0,0,1,0,0,70,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,2850,0,2500,0,350,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1425,70,0,0,0,0,0,2500,0,0,0,2500,0,2850,3200,2500,8550,0,2850,3200,2500,8550,47,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,61683335201212,616833352012,NCCS_Form990PF_2012_Extract,0,0,10023.0,MADE TO MOVE INC,FRAN KISMER PRODUCTIONS LLC,165 WEST 66TH STREET,NEW YORK,NY,10023-6508,0.0,3.0,1.0,200307.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,12.0,,,,,,A60,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.5651,B,A60,A,36061.0,5602.0,5600.0,-73.9875,40.7715,711100.0,
5860,7441,66356055,91,201212,A40,1.0,2012,N,,,3,0,0,68930,0,0,0,20000,348400,68930,383218,-314288,348400,61523,0,3529205,33642,0,1020865,1054507,28725,4082960,0,112036,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,68930,0,34818,7407,0,7407,7411,90357,0,1400000,4082960,0,3500480,1230,0,0,5957,0,0,0,0,4727,1230,2274842,110806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,66356055201212,663560552012,NCCS_Form990PF_2012_Extract,-4727,4727,10123.0,THE STEPHEN HAHN FOUNDATION,ISRAELOFF TRATTNER & CO,450 7TH AVE STE 2701,NEW YORK,NY,10123-2701,0.0,3.0,1.0,199108.0,1.0,4.0,91.0,0.0,0.0,2.0,1.0,12.0,HAHN STEPHEN R TTEE,,,,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.94788,B,A40,A,36061.0,5602.0,5600.0,-73.983615556,40.671884278,710000.0,
6091,7685,112538932,91,201212,,1.0,2012,N,,,3,0,2548,1074,0,0,0,0,14600,3622,14686,-11064,14600,3622,0,118875,0,0,0,0,0,120767,0,6400,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,3622,0,86,0,0,0,0,0,0,46672,120767,0,118875,72,0,0,0,0,0,0,0,0,72,129948,6328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,112538932201212,1125389322012,NCCS_Form990PF_2012_Extract,72,0,10021.0,RICHARD H GOLDMAN MEMORIAL FOUNDA TION,,150 E 69TH ST APT 7G,NEW YORK,NY,10021-5704,0.0,3.0,1.0,198107.0,1.0,4.0,40.0,0.0,0.0,2.0,1.0,12.0,,,,,,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.20723000000000003,C,A80,A,36061.0,5602.0,5600.0,-73.963287533,40.76840619,712120.0,
6164,7765,112764785,91,201212,A90,1.0,2012,N,,,3,7300,30,0,0,0,0,0,11420,7330,13614,-6284,13614,30,30,53152,0,0,0,0,1,53154,0,2773,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,30,30,2194,0,2194,0,0,23102,0,0,53154,0,53152,0,0,0,0,0,0,0,0,0,0,56295,2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,112764785201212,1127647852012,NCCS_Form990PF_2012_Extract,0,0,10122.0,ARLENE TOPAL CREATIVE ARTS FIND INC,JACK TOPAL,14 PENN PLZ STE 1800,NEW YORK,NY,10122-1815,0.0,3.0,1.0,201211.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,12.0,,,,,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.92109,C,A99,A,36061.0,5602.0,5600.0,-73.997056,40.750153000000005,710000.0,
6169,7771,112775942,91,201306,A230,1.0,2012,N,,,3,20000,0,38402,964,0,324,0,2500,59690,34302,25388,14614,38928,0,979969,0,710266,0,710266,18005,1006338,46489,47268,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,39366,0,31802,438,12114,438,0,10420,0,0,1006338,0,961964,779,0,0,445,0,0,0,0,0,779,959759,46489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,112775942201306,1127759422013,NCCS_Form990PF_2012_Extract,334,0,10163.0,THE ARMENIAN CENTER INC,N ORDJANIAN,PO BOX 4042,NEW YORK,NY,10163-4042,0.0,3.0,1.0,198605.0,1.0,4.0,90.0,92.0,119.0,1.0,1.0,6.0,,,,,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.3066,A,A23,A,36061.0,5602.0,5600.0,-73.9706,40.7536,710000.0,
6180,7784,112801382,91,201206,,1.0,2011,N,,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,500,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,112801382201206,1128013822012,NCCS_Form990PF_2012_Extract,0,0,11206.0,THE MOVEMENT INTERFACE RESEARCH INSTITUTE INC,,54 BOERUM ST APT 11N,BKLYN NY,NY,11206-2418,0.0,3.0,1.0,198702.0,1.0,4.0,124.0,209.0,0.0,1.0,1.0,6.0,,,,,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.43955,C,A70,A,36047.0,5602.0,5600.0,-73.946817327,40.705135613,710000.0,
6212,7822,112864409,91,201302,,1.0,2012,N,,,3,0,0,0,0,0,0,0,300,0,365,-365,365,0,0,3924,0,0,0,0,0,3924,0,193,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,65,65,65,65,65,3924,0,0,3924,0,3924,0,0,0,0,0,0,0,0,0,0,3924,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,112864409201302,1128644092013,NCCS_Form990PF_2012_Extract,0,0,10075.0,THE PHILIP KAPLAN CULTURAL FOUNDATION INC,,445 E 80TH ST APT 4A,NEW YORK,NY,10075-0603,0.0,3.0,1.0,198709.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,2.0,,,,,,A122,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.57548,B,A1220,A,36061.0,5602.0,5600.0,-73.95148030600001,40.772740561,813219.0,
6241,7855,112948645,91,201306,,1.0,2012,N,,,3,0,550,0,0,0,0,0,5000,550,6850,-6300,6850,550,0,256541,0,0,0,0,1,256541,0,12738,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,550,0,1850,0,1850,0,0,9648,0,0,256541,0,256541,11,0,0,560,0,0,0,0,549,11,258630,12727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,112948645201306,1129486452013,NCCS_Form990PF_2012_Extract,-549,549,11357.0,WORLD JOURNAL CULTURE FOUNDATION INC,,141-07 20TH AVENUE 6TH FL,WHITESTONE,NY,11357-3062,0.0,3.0,1.0,198909.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,6.0,,,,,,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.1497,A,A33,A,36081.0,5602.0,5600.0,-73.811,40.7862,511100.0,
6277,7895,113028110,91,201212,,1.0,2012,N,,,3,0,0,0,0,0,77782,0,0,77782,87905,-10223,0,0,0,-10223,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,87105,0,0,0,0,0,0,0,1,0,-10223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,113028110201212,1130281102012,NCCS_Form990PF_2012_Extract,0,0,10024.0,LAC HONG MAGAZINE,DIEN THOAI,308 W 78TH ST,NEW YORK,NY,10024-6544,0.0,3.0,2.0,199203.0,1.0,4.0,429.0,120.0,408.0,1.0,1.0,12.0,,,,,,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.78257,A,A33,A,36061.0,5602.0,5600.0,-73.981968247,40.783752473,511100.0,
6329,7972,113137086,91,201212,A99Z,1.0,2012,N,,,3,5000,10,0,0,0,0,0,6010,5010,9035,-4025,6010,10,0,3686,0,0,0,0,1,0,0,281,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,10,10,3025,0,0,0,25,3686,0,0,1,0,3686,0,0,0,0,0,0,0,0,0,0,5698,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,113137086201212,1131370862012,NCCS_Form990PF_2012_Extract,0,0,11423.0,J Z L FOUNDATION,MICKEY WOHL,8709 CLIO ST,HOLLIS,NY,11423-1229,0.0,3.0,1.0,199508.0,1.0,4.0,560.0,0.0,0.0,2.0,1.0,12.0,,,,,,A99,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.39798,B,A99,A,36081.0,5602.0,5600.0,-73.76846623899999,40.719421978,710000.0,
6342,7989,113162087,91,201112,,1.0,2011,N,,,3,523915,0,0,0,0,341316,0,0,865231,970252,-105021,866262,0,311653,3874551,0,563573,0,563573,1826222,3874551,0,50241,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,341316,970252,0,866262,0,29663,1005638,0,0,3874551,0,2048329,0,0,0,0,0,0,0,0,0,0,1020116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,113162087201112,1131620872011,NCCS_Form990PF_2012_Extract,0,0,10018.0,AMERICAN AIRPOWER MUSEUM,COCKPIT USA INC,15 W 39TH ST FL 12,NEW YORK,NY,10018-0628,0.0,3.0,1.0,199308.0,1.0,4.0,994.0,60.0,0.0,1.0,1.0,12.0,,,,,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9102100000000001,B,A50,A,36061.0,5602.0,5600.0,-73.982980786,40.752006693,712110.0,
