,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,VERIFY,OLDNTEE,NTEE2,RASCD,RINCCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,MAJGRPB,NTEESRC,ntmaj10,ntmaj5,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,TOTREV,PROGREV,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,FUNDINC,PROGREV2
9295,111672743,12233600,665175,1217649,0,1175142,965564,594555,590260,5838441,5243886,18737216,15285843,26765322,0,0,25787629,35873390,1879125,9108068,0,0,0,0,0,0,0,0,0,0,0,S,A99Z,,6.0,6.0,6.0,BROOKLYN INSTITUTE OF ARTS AND SCIENCES,,200 EASTERN PKY,BROOKLYN,NY,11238-6052,0.0,3.0,3.0,1000.0,193506.0,1.0,15.0,1.0,11.0,0.0,10.0,6,BROOKLYN MUSEUM,119.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36047.0,,A99Z,A50,,PC,O,AR,A,IN,,1989,A,A99Z,0.665614,11238.0,11238.0,5602.0,5600.0,A,1,AR,AR,36047.0,,AR,1990,A51,199006,18142661,0,NY,11238.0,BROOKLYN,,,PC,O,AR,A,IN,,A51,A,,3478484
9349,111773636,1279034,0,0,0,2846,68280,0,0,813830,813830,2092864,2037758,-158803,107500,0,448065,453541,634167,612344,0,0,0,0,0,0,0,0,0,0,0,,A69Z,,2.0,4.0,4.0,BROOKLYN PHILHARMONIC SYMPHONY ORCHESTRA INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,2000.0,195601.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,0.0,1,0,0.0,0,36047.0,,A69Z,A69,,PC,O,AR,A,IN,,1989,A,A69Z,0.33415,11217.0,11217.0,5602.0,5600.0,A,1,AR,AR,36047.0,,AR,1990,A69,199006,2092864,0,NY,11217.0,BROOKLYN,,,PC,O,AR,A,IN,,A69,A,,810984
9472,112004760,13073,13700,0,0,10699,1849,0,0,180617,180617,207390,140756,180267,0,0,129396,184834,671,4567,0,0,0,0,0,0,0,0,0,0,0,,A6BZ,,2.0,2.0,2.0,ST CECILIA CLUB INC,,PO BOX 421 FDR STA,NEW YORK,NY,10150-0421,0.0,3.0,3.0,2000.0,194410.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A6BZ,A6B,,PC,O,AR,A,IN,,1990,A,A6BZ,0.0917416,10150.0,10150.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A6B,199106,207390,0,NY,10150.0,NEW YORK,,,PC,O,AR,A,IN,,A6B,A,,169918
9488,112034097,399713,0,0,0,0,0,0,0,0,0,399713,402475,57441,14500,0,71948,123999,11744,66556,32943,0,0,0,0,0,0,0,0,0,0,,A6CZ,,2.0,2.0,2.0,SEUFFERT BAND INC,,45 22 DOUGLASTON PKY,DOUGLASTON,NY,11362-1059,0.0,3.0,3.0,2000.0,196603.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,59.0,119.0,0.0,B9606,1996.0,1.0,1,1,6.0,1,36081.0,,A6CZ,A6C,,PC,O,AR,A,IN,,1990,A,A6CZ,0.8715229999999999,11362.0,11362.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1990,A6C,199012,399713,0,NY,11362.0,DOUGLASTON,,,PC,O,AR,A,IN,,A6C,A,,0
9513,112104059,4108781,0,0,0,47426,460441,89900,95857,1418505,1328605,5527286,4791356,1051381,0,0,1314068,2447501,908717,1396120,0,0,0,0,0,0,0,0,0,0,0,,A57Z,,4.0,5.0,4.0,NEW YORK HALL OF SCIENCE,,47 01 111TH ST,CORONA,NY,11368-2999,0.0,3.0,3.0,2000.0,196411.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36081.0,,A57Z,A57,,PC,O,AR,A,IN,,1989,A,A57Z,0.79106,11368.0,11368.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1990,A57,199006,5437386,0,NY,11368.0,CORONA,,,PC,O,AR,A,IN,,A57,A,,1185322
9515,112106191,607173,0,0,0,2337,58041,0,0,253751,253751,860924,925731,-160197,50000,0,192318,153374,273106,313571,0,0,0,0,0,0,0,0,0,0,0,,A69Z,,2.0,3.0,3.0,QUEENS SYMPHONY ORCHESTRA INC,,31 00 47TH AVE,LONG ISLAND CITY,NY,11101-0000,0.0,3.0,3.0,2000.0,195703.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,0.0,1,0,0.0,0,36081.0,,A69Z,A69,,PC,O,AR,A,IN,,1989,A,A69Z,0.6257729999999999,11101.0,11101.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1990,A69,199006,860924,0,NY,11101.0,LONG ISLAND CITY,,,PC,O,AR,A,IN,,A69,A,,251414
9550,112157260,49170,0,0,0,199,0,0,0,8223,8223,57393,61372,21499,0,0,25478,21499,0,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,N Y STREET THEATRE CARAVAN INC,% MARKETA KIMBRELL,87 05 CHELSEA ST,JAMAICA,NY,11432-2438,0.0,3.0,3.0,1000.0,196807.0,1.0,15.0,1.0,11.0,0.0,20.0,6,,59.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36081.0,,A65Z,A65,,PC,O,AR,A,IN,,1990,A,A65Z,0.322357,11432.0,11432.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1991,A65,199106,57393,8024,NY,11432.0,JAMAICA,,,PC,O,AR,A,IN,,A65,A,,8024
9575,112201344,8233667,0,0,0,58895,691092,0,0,4330862,4330862,12564529,12587426,3088096,416500,0,7531917,7439218,4325623,4351122,0,0,0,0,0,0,15363,15363,0,0,0,,A60Z,,5.0,6.0,6.0,BROOKLYN ACADEMY OF MUSIC INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,1000.0,196912.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36047.0,,A60Z,A61,,PC,O,AR,A,IN,,1989,A,A60Z,0.8317690000000001,11217.0,11217.0,5602.0,5600.0,A,1,AR,AR,36047.0,,AR,1990,A60,199006,12564529,0,NY,11217.0,BROOKLYN,,,PC,O,AR,A,IN,,A60,A,,4271967
9587,112207752,191407,0,0,0,0,0,0,0,0,0,191407,194641,267028,18200,0,341272,326516,71010,59488,0,0,0,0,0,0,0,0,0,0,0,,A62Z,A23Z,2.0,2.0,2.0,AIMS OF MODZAWE INC,,115 62 SUTPHIN BLVD,JAMAICA,NY,11434-1019,0.0,3.0,3.0,2000.0,197309.0,1.0,15.0,1.0,11.0,0.0,10.0,7,,119.0,0.0,0.0,B9710,,1.0,1,1,6.0,1,36081.0,,A62Z,A62,,PC,O,AR,A,IN,,1989,A,A62Z,0.632273,11434.0,11434.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1990,A62,199007,191407,0,NY,11434.0,JAMAICA,,,PC,O,AR,A,IN,,A62,A,,0
9597,112219193,867433,13797,0,0,9027,0,0,0,169166,169166,1050396,1034855,123693,0,0,172986,212078,53545,88385,0,0,0,0,0,0,0,0,0,0,0,,A26Z,,2.0,4.0,4.0,QUEENS COUNCIL ON THE ARTS INC,,79 01 PARK LN S,WOODHAVEN,NY,11421-0000,0.0,3.0,3.0,2000.0,197012.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1.0,1,0,0.0,0,36081.0,,A26Z,A26,,PC,O,AR,A,IN,,1990,A,A26Z,0.620578,11421.0,11421.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1991,A26,199106,1050396,0,NY,11421.0,WOODHAVEN,,,PC,O,AR,A,IN,,A26,A,,160139
9677,112278998,1634375,19865,0,0,10426,19304,20416,22495,216474,196058,1870714,1720781,254388,151093,0,183064,258729,7246,4341,0,0,0,0,0,0,0,0,0,0,0,,A20Z,,2.0,4.0,4.0,QUEENS MUSEUM OF ART,,FLSHNG MDWS CORONA PARK N,QUEENS,NY,11368-0000,0.0,3.0,3.0,1200.0,197208.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36081.0,,A20Z,A20,,PC,O,AR,A,IN,,1989,A,A20Z,0.9394889999999999,11368.0,11368.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1990,A51,199006,1850298,0,NY,11368.0,QUEENS,,,PC,O,AR,A,IN,,A51,A,,163137
9728,112309024,387820,0,0,0,0,0,0,0,11895,11895,399715,406035,18393,0,0,65426,51851,40713,33458,0,0,0,0,0,0,0,0,0,0,0,,A20Z,,1.0,2.0,2.0,MARTIN DEPORRES COMMUNITY SERVICE CENTER INC,,4 25 ASTORIA BLVD,ASTORIA,NY,11102-4322,,3.0,3.0,1000.0,74.0,,15.0,,,,,12,,296.0,0.0,0.0,ALM97,1992.0,1.0,1,1,4.0,1,36081.0,,A20Z,A20,,PC,O,AR,A,IN,,1990,A,A20Z,0.42016499999999996,11102.0,11102.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1990,A20,199012,399715,11895,NY,11102.0,ASTORIA,,,PC,O,AR,A,IN,,A20,A,,11895
9767,112336154,246995,0,0,0,0,0,0,0,150042,150042,397037,354637,-406838,25450,0,87203,154032,536441,560870,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,2.0,2.0,2.0,BILLIE HOLIDAY THEATRE INCORPORATED,,1368 FULTON ST,BROOKLYN,NY,11216-2630,0.0,3.0,3.0,1230.0,197602.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,88.0,90.0,119.0,B9710,,0.0,1,1,4.0,1,36047.0,,A65Z,A65,,PC,O,AR,A,IN,,1988,A,A65Z,0.511269,11216.0,11216.0,5602.0,5600.0,A,1,AR,AR,36047.0,,AR,1989,A65,198906,397037,0,NY,11216.0,BROOKLYN,,,PC,O,AR,A,IN,,A65,A,,150042
9775,112346647,3167134,2051,0,0,0,0,0,0,26818,26818,3196003,3195718,-6073,0,0,288646,318243,238192,324315,0,0,0,0,0,0,0,0,0,0,0,,S80Z,,2.0,4.0,4.0,COUNCIL OF JEWISH ORGANIZATIONS OF BORO PARK INC,,5224 13TH AVE,BROOKLYN,NY,11219-3810,0.0,3.0,3.0,1000.0,198308.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,408.0,569.0,0.0,B9710,,0.0,1,1,6.0,1,36047.0,,S80Z,S80,,PC,O,PB,S,IN,,1990,S,S80Z,0.9532129999999999,11219.0,11219.0,5602.0,5600.0,S,1,PU,OT,36047.0,,PU,1990,S80,199012,3196003,0,NY,11219.0,BROOKLYN,,,PC,O,PB,S,IN,,A23,A,,26818
9807,112382247,211653,5993,0,0,1515,27080,0,0,22611,22611,240257,299342,36554,0,0,884859,36554,0,0,34763,0,0,0,0,0,0,0,0,0,0,,V30Z,,1.0,2.0,2.0,CENTER FOR HOLOCAUST STUDIES INC,,1609 AVE J,BROOKLYN,NY,11230-3711,0.0,3.0,3.0,2000.0,197704.0,1.0,15.0,1.0,11.0,0.0,20.0,12,,61.0,119.0,0.0,B9710,,1.0,1,0,0.0,0,36047.0,,A59Z,A50,,PC,O,AR,A,IN,,1990,A,A59Z,0.23199,11230.0,11230.0,5602.0,5600.0,A,1,AR,AR,36047.0,,AR,1990,A50,199012,240257,0,NY,11230.0,BROOKLYN,,,PC,O,AR,A,IN,,A50,A,,21096
9819,112393789,24627,0,0,0,1592,0,0,0,11949,11949,36576,31277,43693,0,0,41837,43693,0,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,GOLD MOUNTAIN INSTITUTE FOR TRADITIONAL SHADOW THEATER INC,,33 47 91ST ST,JACKSON HEIGHTS,NY,11372-1749,0.0,3.0,3.0,2000.0,197702.0,1.0,16.0,1.0,11.0,0.0,10.0,3,ATER INC,90.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36081.0,,A65Z,A65,,PC,O,AR,A,IN,,1990,A,A65Z,0.782691,11372.0,11372.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1991,A65,199103,36576,0,NY,11372.0,JACKSON HEIGHTS,,,PC,O,AR,A,IN,,A65,A,,10357
9842,112407454,15780,3925,0,0,61,730,0,0,12521,12521,32226,30220,8177,0,0,6171,8195,0,0,0,0,0,0,0,0,0,0,0,0,0,,A69Z,,1.0,1.0,1.0,NEIGHBORHOOD CHAMBER ORCHESTRA INC,,1344 E 22ND ST,BROOKLYN,NY,11210-4517,0.0,3.0,3.0,1000.0,197702.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,90.0,119.0,149.0,B9702,1997.0,1.0,1,1,4.0,1,36047.0,,A69Z,A69,,PC,O,AR,A,IN,,1990,A,A69Z,0.25971900000000003,11210.0,11210.0,5602.0,5600.0,A,1,AR,AR,36047.0,,AR,1990,A69,199012,32226,0,NY,11210.0,BROOKLYN,,,PC,O,AR,A,IN,,A69,A,,12460
9846,112408985,34776,0,0,0,0,0,0,0,23142,23142,57918,60853,2486,37180,0,16045,2486,11000,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,THE NEW YORK CHILDRENS THEATRE INC,,250 W 65TH ST,NEW YORK,NY,10023-6403,0.0,3.0,3.0,2000.0,198001.0,1.0,10.0,1.0,13.0,198506.0,10.0,6,,994.0,149.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1990,A,A65Z,0.0484462,10023.0,10023.0,5602.0,5600.0,A,1,AR,AR,36061.0,,AR,1991,A65,199106,57918,22640,NY,10023.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A,,23142
9904,112440150,4540,0,0,0,2006,0,0,0,31015,31015,35555,35336,27349,0,0,30530,35799,3400,8450,0,0,0,0,0,0,0,0,0,0,0,,A68Z,,1.0,1.0,1.0,NEW YORK BANDURA ENSEMBLE INC,,84 82 164TH ST,JAMAICA,NY,11432-1735,0.0,3.0,3.0,1200.0,197804.0,1.0,15.0,1.0,11.0,198212.0,20.0,8,,994.0,90.0,93.0,B9710,,1.0,1,1,4.0,1,36081.0,,A68Z,A68,,PC,O,AR,A,IN,,1989,A,A68Z,0.165269,11432.0,11432.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1990,A68,199008,35555,0,NY,11432.0,JAMAICA,,,PC,O,AR,A,IN,,A68,A,,29009
9924,112451587,749375,23831,0,0,2814,0,0,0,151347,151347,924553,562672,452745,0,0,166223,539334,75359,86589,452745,0,0,0,0,0,0,0,0,0,0,,A60Z,,3.0,3.0,3.0,BARGEMUSIC LTD C O STANLEY T STAIRS,,FULTON FERRY LANDING,BROOKLYN,NY,11201-0000,0.0,3.0,3.0,1200.0,197812.0,1.0,15.0,1.0,11.0,0.0,10.0,8,,90.0,119.0,123.0,B9710,,1.0,1,1,4.0,1,36047.0,,A60Z,A60,,PC,O,AR,A,IN,,1989,A,A60Z,0.5904590000000001,11201.0,11201.0,5602.0,5600.0,A,1,AR,AR,36047.0,,AR,1990,A68,199008,924553,0,NY,11201.0,BROOKLYN,,,PC,O,AR,A,IN,,A68,A,,148533
9937,112457973,0,0,0,0,0,0,0,0,45144,45144,45144,1035,24330,0,0,9334,24330,750,0,0,0,0,0,0,0,0,0,0,0,0,,A82Z,,1.0,1.0,1.0,BOROUGH HALL RESTORATION FOUNDATION,% M SCOTTO,209 JORALEMON ST,BROOKLYN,NY,11201-3751,,3.0,3.0,1000.0,197806.0,,15.0,,,,,12,,350.0,402.0,915.0,B9508,1995.0,1.0,1,0,0.0,0,36047.0,,A82Z,A80,,PC,O,AR,A,IN,,1990,A,A82Z,0.8520690000000001,11201.0,11201.0,5602.0,5600.0,A,1,AR,AR,36047.0,,AR,1990,A80,199012,45144,0,NY,11201.0,BROOKLYN,,,PC,O,AR,A,IN,,A82,A,,45144
9960,112468118,2305,9240,0,0,2265,0,0,0,64340,64340,75885,47101,24809,0,0,29901,24809,0,0,0,0,0,9240,32769,0,0,0,0,0,0,,C32Z,A26Z,1.0,1.0,1.0,ARTS PROJECT OF CHERRY GROVE INC,% ZOCCANO,73 37 AUSTIN ST,FOREST HILLS,NY,11375-6258,0.0,3.0,3.0,2000.0,198101.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36081.0,,C32Z,C32,,PC,O,EN,C,IN,,1990,C,C32Z,0.45851400000000003,11375.0,11375.0,5602.0,5600.0,C,1,EN,OT,36081.0,,EN,1990,C32,199012,75885,0,NY,11375.0,FOREST HILLS,,,PC,O,EN,C,IN,,A20,A,,62075
9962,112468882,42454,0,0,0,0,1101,0,0,19139,19139,61593,68066,269,0,0,6742,269,0,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,GREEK CULTURAL CENTER INC,,27 18 HOYT AVE S,ASTORIA,NY,11102-1960,0.0,3.0,3.0,2000.0,198109.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,88.0,119.0,0.0,B9710,,1.0,1,1,4.0,1,36081.0,,A65Z,A65,,PC,O,AR,A,IN,,1989,A,A65Z,0.305371,11102.0,11102.0,5602.0,5600.0,A,1,AR,AR,36081.0,,AR,1990,A23,199006,61593,0,NY,11102.0,ASTORIA,,,PC,O,AR,A,IN,,A23,A,,19139
