,OLDNTEE,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VOK,VBS,VINCTYPE,VINCEXP,VFB,TOTREV,RASCD,RINCCD,RREVCD,REXPCD,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2TASFMV
9532,A60Z,110339104,22027,0,0,0,0,0,0,0,3848,3848,25875,16624,196,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9055,0,-5207,0,,,EPODE INC,,77 SEVENTH AVENUE NO 8G,NEW YORK,NY,10011-6623,0.0,3.0,3.0,1000.0,199103.0,1.0,16.0,1.0,13.0,0.0,20.0,8,,90.0,995.0,123.0,B9710,,1,1,6.0,1,1.0,16820,1.0,1.0,1.0,1.0,36061,,A62Z,A62,,PC,O,AR,A,IN,,1990,A,A62Z,0.678954,10011.0,10011.0,5602.0,5600.0,36061.0,,AR,1991,A62,199108,NY,10011.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A62,A,
9550,B99Z,111532426,64418,0,0,0,24336,0,0,0,930030,930030,994448,1000773,380699,0,0,542499,550700,155475,170001,0,0,0,0,0,0,0,0,0,0,0,0,0,873429,0,32265,,,BROOKLYN CONSERVATORY OF MUSIC,,58 7TH AVE,BROOKLYN,NY,11217-3608,0.0,3.0,3.0,2000.0,194812.0,1.0,11.0,1.0,11.0,0.0,10.0,6,,46.0,119.0,30.0,B9710,,1,1,6.0,1,1.0,994448,3.0,3.0,3.0,4.0,36047,,B99Z,B99,,PC,O,ED,B,IN,,1991,B,B99Z,0.291045,11217.0,11217.0,5602.0,5600.0,36047.0,,ED,1992,A6E,199206,NY,11217.0,BROOKLYN,,,B,ED,ED,PC,O,ED,B,IN,,A6E,A,
9572,A82Z,111630813,728148,43670,909489,935452,105632,19788,0,0,1093037,157585,1864855,932100,3097123,0,0,4144709,4103787,1027630,1006664,0,0,0,0,0,0,0,0,0,0,0,0,17259,60657,0,0,,,THE BROOKLYN HISTORICAL SOCIETY,,128 PIERREPONT ST,BROOKLYN,NY,11201-2711,0.0,3.0,3.0,2000.0,193412.0,1.0,15.0,1.0,11.0,0.0,10.0,4,,62.0,61.0,0.0,B9710,,1,1,6.0,1,1.0,912144,4.0,4.0,3.0,3.0,36047,,A82Z,A82,,PC,O,AR,A,IN,,1991,A,A82Z,0.104851,11201.0,11201.0,5602.0,5600.0,36047.0,,AR,1992,A80,199204,NY,11201.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A82,A,
9670,A99Z,111672743,11789248,731314,985126,0,1314401,950883,686445,591617,14761619,14075174,27282181,14728731,38632328,0,0,35873390,44416721,9108068,5784393,0,0,0,0,0,0,0,0,0,0,0,0,0,531227,0,10652803,S,,BROOKLYN INSTITUTE OF ARTS AND SCIENCES,,200 EASTERN PKY,BROOKLYN,NY,11238-6052,0.0,3.0,3.0,1000.0,193506.0,1.0,15.0,1.0,11.0,0.0,10.0,6,BROOKLYN MUSEUM,119.0,0.0,0.0,B9710,,1,1,6.0,1,1.0,26595736,6.0,6.0,6.0,6.0,36047,,A99Z,A99,,PC,O,AR,A,IN,,1990,A,A99Z,0.630832,11238.0,11238.0,5602.0,5600.0,36047.0,,AR,1991,A51,199106,NY,11238.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A51,A,
9719,A69Z,111773636,1293142,0,0,0,5688,2070,0,0,731460,731460,2024602,1850734,-37351,109167,0,453541,623990,612344,661341,0,0,0,0,0,0,0,0,0,0,0,0,52416,659877,0,13479,,,BROOKLYN PHILHARMONIC SYMPHONY ORCHESTRA INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,2000.0,195601.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1,1,6.0,1,0.0,1972186,3.0,4.0,4.0,4.0,36047,,A69Z,A69,,PC,O,AR,A,IN,,1990,A,A69Z,0.9111959999999999,11217.0,11217.0,5602.0,5600.0,36047.0,,AR,1991,A69,199106,NY,11217.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A69,A,
9844,A6BZ,112004760,13194,12405,33561,18402,11465,1449,0,0,143351,124949,168950,120666,201888,0,0,184834,202777,4567,889,0,0,0,0,0,0,0,0,0,0,0,0,7788,85560,4977,0,,,ST CECILIA CLUB INC,,PO BOX 421 FDR STA,NEW YORK,NY,10150-0421,0.0,3.0,3.0,2000.0,194410.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1,1,6.0,1,1.0,142760,2.0,2.0,2.0,2.0,36061,,A6BZ,A6B,,PC,O,AR,A,IN,,1991,A,A6BZ,0.90044,10150.0,10150.0,5602.0,5600.0,36061.0,,AR,1992,A6B,199206,NY,10150.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A6B,A,
9862,A6CZ,112034097,268850,0,0,0,0,0,0,0,0,0,268850,248626,77665,30000,0,123999,257431,66556,179765,53166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SEUFFERT BAND INC,,45 22 DOUGLASTON PKY,DOUGLASTON,NY,11362-1059,0.0,3.0,3.0,2000.0,196603.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,59.0,119.0,0.0,B9606,1996.0,1,1,6.0,1,1.0,268850,2.0,2.0,2.0,2.0,36081,,A6CZ,A6C,,PC,O,AR,A,IN,,1991,A,A6CZ,0.10668599999999999,11362.0,11362.0,5602.0,5600.0,36081.0,,AR,1991,A6C,199112,NY,11362.0,DOUGLASTON,,,A,AR,AR,PC,O,AR,A,IN,,A6C,A,
9886,A57Z,112104059,3134764,0,0,0,88913,451585,86642,103609,1350572,1263930,4485336,3965000,1324627,0,0,2287053,2753859,1396120,1429232,0,0,0,0,0,0,0,0,0,0,0,0,0,738070,0,169089,,,NEW YORK HALL OF SCIENCE,,47 01 111TH ST,CORONA,NY,11368-2999,0.0,3.0,3.0,2000.0,196411.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1,1,4.0,1,1.0,4398694,4.0,4.0,4.0,4.0,36081,,A57Z,A57,,PC,O,AR,A,IN,,1990,A,A57Z,0.715536,11368.0,11368.0,5602.0,5600.0,36081.0,,AR,1991,A57,199106,NY,11368.0,CORONA,,,A,AR,AR,PC,O,AR,A,IN,,A57,A,
9888,A69Z,112106191,488565,0,0,0,1310,53260,0,0,169198,169198,657763,588371,-107143,31346,0,153374,73213,313571,180355,0,0,0,0,0,0,0,0,0,0,0,0,16338,109981,35703,5866,,,QUEENS SYMPHONY ORCHESTRA INC,,31 00 47TH AVE,LONG ISLAND CITY,NY,11101-0000,0.0,3.0,3.0,2000.0,195703.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1,1,6.0,1,0.0,641425,1.0,3.0,3.0,3.0,36081,,A69Z,A69,,PC,O,AR,A,IN,,1990,A,A69Z,0.6443,11101.0,11101.0,5602.0,5600.0,36081.0,,AR,1991,A69,199106,NY,11101.0,LONG ISLAND CITY,,,A,AR,AR,PC,O,AR,A,IN,,A69,A,
9908,A99Z,112136919,36075,0,0,0,73,0,0,0,73,73,36148,34210,200079,0,0,200100,200079,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ALFRED T WHITE JR COMMUNITY CENTER,,26 WILLOW PL,BROOKLYN,NY,11201-4513,0.0,3.0,3.0,2000.0,63.0,1.0,15.0,1.0,1.0,0.0,10.0,4,,119.0,59.0,0.0,ALM97,1992.0,1,1,6.0,1,1.0,36148,2.0,1.0,1.0,1.0,36047,,A99Z,A99,,PC,O,AR,A,IN,,1990,A,A99Z,0.945099,11201.0,11201.0,5602.0,5600.0,36047.0,,AR,1991,A99,199104,NY,11201.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A99,A,
9922,A65Z,112157260,49170,0,0,0,199,0,0,0,8223,8223,57393,61372,21499,0,0,25478,21499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8024,0,0,,,N Y STREET THEATRE CARAVAN INC,% MARKETA KIMBRELL,87 05 CHELSEA ST,JAMAICA,NY,11432-2438,0.0,3.0,3.0,1000.0,196807.0,1.0,15.0,1.0,11.0,0.0,20.0,6,,59.0,0.0,0.0,B9710,,1,1,6.0,1,1.0,57393,1.0,1.0,1.0,1.0,36081,,A65Z,A65,,PC,O,AR,A,IN,,1990,A,A65Z,0.401972,11432.0,11432.0,5602.0,5600.0,36081.0,,AR,1991,A65,199106,NY,11432.0,JAMAICA,,,A,AR,AR,PC,O,AR,A,IN,,A65,A,
9948,A60Z,112201344,8035627,0,0,0,44043,765080,0,0,4160239,4160239,12195866,12548824,2601448,435500,0,7439218,6593792,4351122,3992344,0,0,0,0,0,0,7125,7125,0,0,0,0,133690,2543681,0,1078386,,,BROOKLYN ACADEMY OF MUSIC INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,1000.0,196912.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1,1,4.0,1,1.0,12062176,5.0,6.0,6.0,6.0,36047,,A60Z,A60,,PC,O,AR,A,IN,,1990,A,A60Z,0.779083,11217.0,11217.0,5602.0,5600.0,36047.0,,AR,1991,A60,199106,NY,11217.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A60,A,
9961,A62Z,112207752,191407,0,0,0,0,0,0,0,0,0,191407,194641,267028,18200,0,341272,326516,71010,59488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A23Z,AIMS OF MODZAWE INC,,115 62 SUTPHIN BLVD,JAMAICA,NY,11434-1019,0.0,3.0,3.0,2000.0,197309.0,1.0,15.0,1.0,11.0,0.0,10.0,7,,119.0,0.0,0.0,B9710,,1,1,6.0,1,1.0,191407,2.0,2.0,2.0,2.0,36081,,A62Z,A62,,PC,O,AR,A,IN,,1989,A,A62Z,0.590461,11434.0,11434.0,5602.0,5600.0,36081.0,,AR,1990,A62,199007,NY,11434.0,JAMAICA,,,A,AR,AR,PC,O,AR,A,IN,,A62,A,
9971,A26Z,112219193,769114,7685,0,0,6343,0,0,0,236392,236392,1013191,986537,114735,0,0,212078,147641,88385,32906,0,0,0,0,0,0,0,0,0,0,0,0,35612,154317,22698,17422,,,QUEENS COUNCIL ON THE ARTS INC,,79 01 PARK LN S,WOODHAVEN,NY,11421-0000,0.0,3.0,3.0,2000.0,197012.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1,1,6.0,1,1.0,977579,2.0,4.0,3.0,3.0,36081,,A26Z,A26,,PC,O,AR,A,IN,,1991,A,A26Z,0.22515900000000003,11421.0,11421.0,5602.0,5600.0,36081.0,,AR,1992,A26,199206,NY,11421.0,WOODHAVEN,,,A,AR,AR,PC,O,AR,A,IN,,A26,A,
10044,A20Z,112278998,1349146,10620,0,0,9970,0,12384,17392,165458,153074,1525224,1543089,236733,81606,0,258729,241401,4341,4668,0,0,0,0,0,0,0,0,0,0,0,0,44281,69192,12239,0,,,QUEENS MUSEUM OF ART,,FLSHNG MDWS CORONA PARK N,QUEENS,NY,11368-0000,0.0,3.0,3.0,1200.0,197208.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,0,1,1.0,0,1.0,1468559,2.0,4.0,4.0,4.0,36081,,A20Z,A20,,PC,O,AR,A,IN,,1990,A,A20Z,0.0741187,11368.0,11368.0,5602.0,5600.0,36081.0,,AR,1991,A51,199106,NY,11368.0,QUEENS,,,A,AR,AR,PC,O,AR,A,IN,,A51,A,
10092,A20Z,112309024,387820,0,0,0,0,0,0,0,11895,11895,399715,406035,18393,0,0,65426,51851,40713,33458,0,0,0,0,0,0,0,0,0,0,0,0,0,11895,0,0,,,MARTIN DEPORRES COMMUNITY SERVICE CENTER INC,,4 25 ASTORIA BLVD,ASTORIA,NY,11102-4322,,3.0,3.0,1000.0,74.0,,15.0,,,,,12,,296.0,0.0,0.0,ALM97,1992.0,1,1,6.0,1,1.0,399715,1.0,2.0,2.0,2.0,36081,,A20Z,A20,,PC,O,AR,A,IN,,1990,A,A20Z,0.726184,11102.0,11102.0,5602.0,5600.0,36081.0,,AR,1990,A20,199012,NY,11102.0,ASTORIA,,,A,AR,AR,PC,O,AR,A,IN,,A20,A,
10139,S80Z,112346647,3711978,0,0,0,1610,0,0,0,-42578,-42578,3669400,3591381,31127,0,0,318243,398617,324315,367492,0,0,0,0,0,0,0,0,0,0,0,0,40820,0,-19820,-68319,,,COUNCIL OF JEWISH ORGANIZATIONS OF BORO PARK INC,,5224 13TH AVE,BROOKLYN,NY,11219-3810,0.0,3.0,3.0,1000.0,198308.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,408.0,569.0,0.0,B9710,,1,1,6.0,1,1.0,3628580,2.0,4.0,4.0,4.0,36047,,S80Z,S80,,PC,O,PB,S,IN,,1991,S,S80Z,0.8198040000000001,11219.0,11219.0,5602.0,5600.0,36047.0,,PU,1991,S80,199112,NY,11219.0,BROOKLYN,,,S,PU,OT,PC,O,PB,S,IN,,A23,A,
10175,V30Z,112382247,87517,96,0,0,645,678,0,0,9577,9577,97190,39901,92052,0,0,36554,92052,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8932,0,0,,,CENTER FOR HOLOCAUST STUDIES INC,,1609 AVE J,BROOKLYN,NY,11230-3711,0.0,3.0,3.0,2000.0,197704.0,1.0,15.0,1.0,11.0,0.0,20.0,12,,61.0,119.0,0.0,B9710,,1,1,6.0,1,1.0,97190,1.0,1.0,1.0,1.0,36047,,A59Z,A59,,PC,O,AR,A,IN,,1991,A,A59Z,0.323783,11230.0,11230.0,5602.0,5600.0,36047.0,,AR,1991,A59,199112,NY,11230.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A50,A,
10190,A65Z,112393789,26449,1458,0,0,0,0,0,0,18252,18252,46159,41300,52005,0,0,47146,52032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18251,0,1,,,GOLD MOUNTAIN INSTITUTE FOR TRADITIONAL SHADOW THEATER INC,,33 47 91ST ST,JACKSON HEIGHTS,NY,11372-1749,0.0,3.0,3.0,2000.0,197702.0,1.0,16.0,1.0,11.0,0.0,10.0,3,ATER INC,90.0,0.0,0.0,B9710,,1,1,6.0,1,1.0,46159,1.0,1.0,1.0,1.0,36081,,A65Z,A65,,PC,O,AR,A,IN,,1991,A,A65Z,0.0366877,11372.0,11372.0,5602.0,5600.0,36081.0,,AR,1992,A65,199203,NY,11372.0,JACKSON HEIGHTS,,,A,AR,AR,PC,O,AR,A,IN,,A65,A,
10213,A69Z,112407454,17490,4409,0,0,66,0,0,0,10887,10887,32786,28662,11159,0,0,8195,11159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3999,0,6822,,,NEIGHBORHOOD CHAMBER ORCHESTRA INC,,1344 E 22ND ST,BROOKLYN,NY,11210-4517,0.0,3.0,3.0,1000.0,197702.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,90.0,119.0,149.0,B9702,1997.0,0,1,1.0,0,1.0,32786,1.0,1.0,1.0,1.0,36047,,A69Z,A69,,PC,O,AR,A,IN,,1991,A,A69Z,0.927485,11210.0,11210.0,5602.0,5600.0,36047.0,,AR,1991,A69,199112,NY,11210.0,BROOKLYN,,,A,AR,AR,PC,O,AR,A,IN,,A69,A,
10217,A65Z,112408985,34776,0,0,0,0,0,0,0,23142,23142,57918,60853,2486,37180,0,16045,2486,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22640,0,0,,,THE NEW YORK CHILDRENS THEATRE INC,,250 W 65TH ST,NEW YORK,NY,10023-6403,0.0,3.0,3.0,2000.0,198001.0,1.0,10.0,1.0,13.0,198506.0,10.0,6,,994.0,149.0,0.0,B9710,,1,1,4.0,1,1.0,57918,1.0,1.0,1.0,1.0,36061,,A65Z,A65,,PC,O,AR,A,IN,,1990,A,A65Z,0.693171,10023.0,10023.0,5602.0,5600.0,36061.0,,AR,1991,A65,199106,NY,10023.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A,
10218,A82Z,112409274,24430,1503,0,0,5820,5444,0,0,11914,11914,37847,56432,167399,0,0,175565,168149,90273,750,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0,4952,,,GREATER RIDGEWOOD HISTORICAL SOCIETY INC,WALTER,54 49 63RD PL,MASPETH,NY,11378-1212,0.0,3.0,3.0,1000.0,197702.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,994.0,0.0,0.0,B9710,,0,1,1.0,0,1.0,36705,2.0,1.0,1.0,1.0,36081,,A82Z,A82,,PC,O,AR,A,IN,,1990,A,A82Z,0.635587,11378.0,11378.0,5602.0,5600.0,36081.0,,AR,1991,A82,199106,NY,11378.0,MASPETH,,,A,AR,AR,PC,O,AR,A,IN,,A82,A,
