,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,TOTLOB,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NTEE1,NTEECC,OUTNCCS,OUTREAS,NTMAJ10,MAJGRPB,NTEE,LEVEL1,LEVEL2,LEVEL3,LEVEL4,NTEECC4D,NTEE2,NTMAJ12,NTMAJ5,MSA,PMSA,FIPS,Randnum,MSA_NECH,NTEESRC,nteeConf,nteedraft,Ntee2005b,Confidence2005b,ntee42005b,LAT,LON,FipsOldA,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
25137,131923626,200306,2002,31014112,0,68018139,67747867,496125,0,0,0,96025928,28278061,127040040,38377541,99328785,0,0,107187979,116508093,19240216,17179308,0,0,0,0,0,0,0,0,0,0,0,8612730,0,19511960,0,0,,50679443,3,7,0,0,496125,7999704,-613026,0,270272,0,0,0,0,0,50679443,12301902,-920880,11872102,0,0,0,0,0,0,87947763,113353060,0,76038952,30942988,0,0,220335000,144296048,0,0,0,119,1.0,29490017106174,2003,N,10019-3210,10019.0,131923626200306,1319236262003,6,119.0,59.0,399.0,881 7TH AVE,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,CARNEGIE HALL CORPORATION,1.0,196202.0,,NY,RTF03PC,6.0,,6.0,,A,A61,IN,,AR,A,A61Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.9797290000000001,5602.0,1,A,A61,A61,,,-73.98308,40.75972,36061.0,NY,10019.0,NEW YORK,A61,,944452.0,1b,2003.0,30069660.0,1b,2003.0,99328785.0,3a,2003.0,99726552.0,1b,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,1b,2003.0,0.0,1b,2003.0,0.0,1b,2003.0,89642453.0,1b,2003.0,PC,O,AR,A,IN,,0.0,1b,2003.0,204428.0,1b,2003.0,8747896.0,1b,2003.0,0.0,1b,2003.0,A61,A
25171,131945149,200306,2002,132901508,0,2407490,2515118,2021442,24038394,0,0,29099430,26584312,162000938,158669315,191944258,2271090,2246761,215123839,226482975,30445006,34538717,0,0,0,0,0,0,36000,0,0,0,0,0,807386,9436966,2819727,11561854,,158678434,3,7,0,52224,1969218,44565,44565,0,-107628,0,0,0,3627113,0,158678434,9119,7256306,42620969,3360838,0,0,0,0,0,184678833,492343569,0,23233999,26055164,0,0,546192180,522958181,0,0,0,119,1.0,29490136262264,2003,Y,10001-2603,10001.0,131945149200306,1319451492003,6,119.0,59.0,120.0,450 W 33RD ST,3.0,0.0,NEW YORK,2.0,THOMAS A CONWAY,1.0,13.0,15.0,10.0,0.0,EDUCATIONAL BROADCASTING CORP,1.0,196105.0,,NY,RTF03PC,6.0,6.0,6.0,6.0,A,A32,IN,,AR,A,A32Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.5006189999999999,5602.0,1,A,A32,A32,,,-73.9963,40.75351,36061.0,NY,10001.0,NEW YORK,A32,,24572909.0,1b,2003.0,18006954.0,1b,2003.0,54558416.0,3a,2003.0,40439376.0,1b,2003.0,90612627.0,3a,2003.0,46773114.0,3a,2003.0,0.0,1b,2003.0,0.0,1b,2003.0,90321645.0,1b,2003.0,40678531.0,1b,2003.0,PC,O,AR,A,IN,,0.0,1b,2003.0,19570718.0,1b,2003.0,62646823.0,1b,2003.0,1017154.0,1b,2003.0,A32,A
25184,131951681,200306,2002,1716587,0,1169859,1099411,180439,56144,0,0,2091484,992073,3808071,2612449,7673134,258000,0,7699132,7789821,147348,1166687,0,0,0,0,0,0,0,0,0,0,0,0,75433,694386,-28633,0,,2633227,3,7,0,0,171196,0,0,9243,70448,0,0,0,46800,0,2633227,20778,100572,652319,64719,0,0,0,0,0,7551784,5248224,0,450725,0,873544,0,6572493,6121768,0,0,0,119,,29490340206153,2003,N,10019-3741,10019.0,131951681200306,1319516812003,6,119.0,0.0,0.0,250 W 57TH ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,YOUNG CONCERT ARTISTS INC,1.0,196302.0,,NY,CORE02PC,,,,,A,A68,IN,,AR,A,A68Z,PC,O,AR,A,,,AR,AR,,5600.0,36061.0,0.421613,5602.0,1,A,A68,A68,,,-73.97977,40.766329999999996,36061.0,NY,10019.0,NEW YORK,A68,,42302.0,3a,2003.0,0.0,3a,2003.0,214701.0,3a,2003.0,22500.0,3a,2003.0,4989522.0,3a,2003.0,2468811.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,1674285.0,3a,2003.0,47700.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,251701.0,3a,2003.0,7284420.0,3a,2003.0,23300.0,3a,2003.0,A68,A
25209,131969375,200306,2002,2775368,0,0,0,0,145942,0,0,2127663,2127663,4903031,4918372,138662,103183,0,2586230,3537073,2432227,3398411,0,0,0,0,0,0,0,0,0,0,0,0,0,2095862,0,31801,,4903031,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4903031,-15341,0,2055961,166414,0,0,2097292,3039791,0,154003,8750557,0,3000174,0,0,0,11831433,8831259,0,0,0,59,1.0,29490164068264,2003,N,10018-1428,10018.0,131969375200306,1319693752003,6,59.0,0.0,0.0,333 W 39TH ST 1101,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,AMERICAN SYMPHONY ORCHESTRA INC,1.0,196412.0,,NY,RTF03PC,4.0,4.0,4.0,4.0,A,A69,IN,,AR,A,A69Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.366248,5602.0,1,A,A69,A69,,,-73.99208,40.75571,36061.0,NY,10018.0,NEW YORK,A69,,96402.0,3a,2003.0,0.0,3a,2003.0,61227.0,3a,2003.0,135903.0,3a,2003.0,77335.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,2678966.0,3a,2003.0,49901.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,11300.0,3a,2003.0,0.0,3a,2003.0,73602.0,3a,2003.0,A69,A
25215,131972960,200404,2003,369052,0,0,0,7531,78353,0,0,637954,637954,1007006,1008338,627670,111536,0,669422,627670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40420,590003,0,0,,966586,3,7,0,7531,0,0,0,0,0,0,0,0,40420,0,966586,-41752,0,292447,40333,0,0,0,0,0,669422,1306793,0,2382675,43317,0,0,3735235,1352560,0,0,0,119,1.0,29490262126244,2004,N,10025-5014,10025.0,131972960200404,1319729602004,4,119.0,59.0,0.0,225 W 99TH ST,3.0,0.0,NEW YORK,1.0,J LISS,1.0,13.0,15.0,10.0,0.0,PAPER BAG PLAYERS INC,1.0,196207.0,J MARTIN,NY,RTF03PC,3.0,3.0,4.0,4.0,A,A65,IN,,AR,A,A65Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.27994,5602.0,1,A,A65,A65,,,-73.96826999999999,40.79635,36061.0,NY,10025.0,NEW YORK,A65,,64429.0,3c,2003.0,0.0,3c,2003.0,627670.0,3c,2003.0,7876.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,0.0,3c,2003.0,304530.0,3c,2003.0,10844.0,3c,2003.0,PC,O,AR,A,IN,,0.0,3c,2003.0,2625.0,3c,2003.0,0.0,3c,2003.0,255513.0,3c,2003.0,A65,A
25222,131975005,200312,2003,0,0,0,0,16139,0,0,0,479292,479292,479292,483668,595843,0,0,596606,609378,14000,13535,0,0,0,0,0,0,0,0,0,0,0,0,7283,460000,-4130,0,,472009,3,9,0,7168,8971,0,0,0,0,0,0,0,3153,0,472009,-11659,24896,205232,18067,0,0,0,0,0,582606,18316,0,2685785,31899,0,0,2750384,64599,0,0,0,120,1.0,29490144028154,2003,N,10025-7847,10025.0,131975005200312,1319750052003,12,120.0,59.0,0.0,2875 BROADWAY 3RD FL,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,SPECTATOR PUBLISHING COMPANY INC,1.0,196604.0,,NY,RTF03PC,3.0,2.0,2.0,2.0,A,A33,IN,,AR,A,A33Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.557191,5602.0,1,A,A33,A33,,,-73.96861,40.8025,36061.0,NY,10025.0,NEW YORK,A33,,0.0,4,2006.0,0.0,4,2006.0,595843.0,3a,2003.0,11001.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,4,2006.0,20900.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,500.0,3a,2003.0,A33,A
25226,131978163,200212,2002,69795,0,2925223,3671455,183952,57732,0,0,3154352,-517103,3224147,575576,7516105,77672,0,8586979,7518240,0,2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45177,,-447308,3,7,0,3418,180534,0,0,0,-746232,0,0,0,0,0,-447308,-1022884,-47990,27380,8036,0,0,0,0,0,8586979,1027861,0,0,1619577,0,0,2647438,2647438,0,0,0,602,1.0,29490354371133,2002,N,10014-5134,10014.0,131978163200212,1319781632002,12,602.0,0.0,0.0,820 GREENWICH ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,FOUNDATION FOR CONTEMPORARY PERFORMANCE ARTS INC,1.0,199912.0,,NY,RTF03PC,5.0,0.0,4.0,3.0,A,A12,IN,,AR,A,A60J,PC,S,ZB,A,6.0,,AR,AR,5602.0,5600.0,36061.0,0.06524529999999999,5602.0,1,A,A12,A12,,,-74.00647,40.738279999999996,36061.0,NY,10014.0,NEW YORK,A12,60,0.0,3a,2002.0,0.0,3a,2002.0,7516105.0,3a,2002.0,4700.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,0.0,3a,2002.0,69795.0,3a,2002.0,6700.0,3a,2002.0,PC,S,ZB,A,IN,,0.0,3a,2002.0,0.0,3a,2002.0,6970237.0,3a,2002.0,86700.0,3a,2002.0,A1260,A
25237,131985514,200306,2002,1067806,32791,0,0,55326,238718,28862,20465,886498,604495,1987095,2118898,895606,100619,0,1491553,1130022,175062,234416,0,0,0,0,0,0,0,0,0,0,0,0,25560,174529,191208,37595,,1679532,3,7,0,543,54783,95198,95198,0,0,257755,253141,4614,216768,49327,1679532,-439366,18481,1050296,297909,0,0,0,45001,0,1316491,5236281,107025,1400931,221018,0,0,7342494,5941563,0,0,0,62,1.0,29490038125014,2003,N,10306-1125,10306.0,131985514200306,1319855142003,6,62.0,0.0,0.0,441 CLARKE AVE,3.0,0.0,STATEN ISLAND,2.0,CHASE MANHATTAN BANK TTEE,1.0,13.0,15.0,10.0,0.0,STATEN ISLAND HISTORICAL SOCIETY INC,1.0,194401.0,,NY,RTF03PC,4.0,4.0,4.0,4.0,A,A82,IN,,AR,A,A82Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36085.0,0.11091,5602.0,1,B,A80,A82,,,-74.14464,40.5698,36085.0,NY,10306.0,STATEN ISLAND,A82,,697644.0,2,2004.0,0.0,2,2004.0,205101.0,3a,2003.0,0.0,3a,2003.0,116201.0,3a,2003.0,574204.0,3a,2003.0,250005.0,3a,2003.0,0.0,3a,2003.0,370078.0,2,2004.0,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,654013.0,3a,2003.0,65001.0,3a,2003.0,A82,A
25238,131985627,200306,2002,4136448,486002,428556,560932,1437080,1092418,676245,488114,4785332,3548155,9407782,11092451,22196422,148078,0,59218162,56074115,34037514,33877693,0,0,0,0,0,0,0,0,0,0,0,0,186464,403257,116536,1049080,,7984141,3,7,0,0,363649,0,0,1073431,-132376,0,0,0,303000,1164359,7984141,-3108310,124084,2385955,179098,31865000,31865000,0,0,0,25180648,27612971,1387871,4649886,3830341,0,0,37481069,32831183,0,0,0,60,1.0,29490087221004,2003,Y,10023-7015,10023.0,131985627200306,1319856272003,6,60.0,0.0,0.0,61 W 62ND ST # 3FL,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,AMERICAN FOLK ART MUSEUM,1.0,196407.0,,NY,RTF03PC,,5.0,5.0,,A,A53,IN,,AR,A,A53Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.269848,5602.0,1,A,A53,A53,,,-73.9810333251953,40.770778656005895,36061.0,NY,10023.0,NEW YORK,A53,,55750.0,1b,2003.0,0.0,1b,2003.0,17971118.0,3a,2003.0,26721611.0,1b,2003.0,2681403.0,3a,2003.0,1543802.0,3a,2003.0,0.0,1b,2003.0,0.0,1b,2003.0,4080698.0,1b,2003.0,27869844.0,1b,2003.0,PC,O,AR,A,IN,,0.0,1b,2003.0,20328586.0,1b,2003.0,88136.0,1b,2003.0,409503.0,1b,2003.0,A53,A
25242,131991118,200308,2002,2998186,0,1331123,1481452,180647,503267,0,0,4723730,3242278,7721916,5187208,12769414,134601,0,12432753,13635144,922248,865730,0,0,0,0,0,0,0,0,0,0,0,0,127278,2743090,-56778,0,,6113186,3,2,0,180647,0,398370,398370,0,-150329,0,0,0,70500,0,6113186,925978,332931,2675388,213268,0,0,0,0,0,11510505,0,0,0,0,0,0,0,0,0,0,0,46,1.0,29490213177114,2003,N,10023-5915,10023.0,131991118200308,1319911182003,8,46.0,30.0,0.0,129 W 67TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,ELAINE KAUFMAN CULTURAL CENTER-LUCY MOSES SCHOOL FOR MUSIC AND DANCE,1.0,196412.0,,NY,RTF03PC,,5.0,5.0,5.0,A,A6E,IN,,AR,A,A6EZ,PC,O,AR,A,,A25Z,AR,AR,5602.0,5600.0,36061.0,0.758584,5602.0,1,A,A6E,A6E,,,-73.98249,40.77479,36061.0,NY,10023.0,NEW YORK,A6E,,63302.0,3a,2003.0,0.0,3a,2003.0,6923008.0,3a,2003.0,5486118.0,3a,2003.0,155000.0,3a,2003.0,5691206.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,2934884.0,3a,2003.0,5549424.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,623502.0,3a,2003.0,6021519.0,3a,2003.0,355401.0,3a,2003.0,A6E,A
25256,131997644,200306,2002,411006,0,0,0,513,134299,0,0,178274,178274,589280,644563,56779,0,0,203978,110328,91916,53549,0,0,0,0,0,0,0,0,0,0,0,0,0,151000,0,4661,,589280,3,9,0,513,0,22100,22100,0,0,0,0,0,0,0,589280,-55283,0,231242,29329,0,0,60510,45591,0,112062,1901079,0,699122,863189,0,0,3477563,2778441,0,0,0,59,1.0,29490087180254,2003,N,10036-8502,10036.0,131997644200306,1319976442003,6,59.0,0.0,0.0,111 W 46TH ST,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,AMERICAN PLACE THEATRE INC,1.0,196407.0,,NY,RTF03PC,2.0,3.0,3.0,3.0,A,A65,IN,,AR,A,A65Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.143648,5602.0,1,A,A65,A65,,,-73.98253000000001,40.7575,36061.0,NY,10036.0,NEW YORK,A65,,62301.0,3a,2003.0,0.0,3a,2003.0,56779.0,3a,2003.0,27207.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,348705.0,3a,2003.0,45417.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,20505.0,3a,2003.0,0.0,3a,2003.0,11503.0,3a,2003.0,A65,A
25257,131997754,200306,2002,1232946,0,359540,540009,24439,248580,0,0,1573261,1033252,2806207,2535134,2499928,105154,0,2920462,2834945,166225,335017,0,0,0,0,0,0,0,0,0,0,0,0,135157,1166702,-112612,35,,2131041,3,7,0,24439,0,0,0,0,-180469,0,0,0,22545,0,2131041,-404093,149784,570620,57593,0,0,0,0,0,2754237,4965194,0,5478186,155278,0,0,10605015,5126829,0,0,0,119,1.0,29490080125164,2003,N,10022-4233,10022.0,131997754200306,1319977542003,6,119.0,59.0,0.0,1 E 53RD ST 8TH FLR,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,YOUNG AUDIENCES-NEW YORK INC,1.0,197005.0,,NY,RTF03PC,4.0,4.0,4.0,4.0,A,A25,IN,,AR,A,A65P,PC,O,AR,A,6.0,,AR,AR,5602.0,5600.0,36061.0,0.670555,5602.0,1,A,A25,A25,,,-73.97583,40.76041,36061.0,NY,10022.0,NEW YORK,A25,,257710.0,3a,2003.0,0.0,3a,2003.0,1637318.0,3a,2003.0,85501.0,3a,2003.0,641407.0,3a,2003.0,221102.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,975236.0,3a,2003.0,70802.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,899614.0,3a,2003.0,1307721.0,3a,2003.0,A25,A
25261,131999454,200308,2002,221882,0,0,0,13896,6243,0,0,16962,16962,238844,288345,2574089,53100,0,2751732,2738523,150829,164434,0,0,0,0,0,0,0,0,0,0,0,0,0,3066,0,0,,238844,3,9,0,0,13896,0,0,0,0,0,0,0,0,0,238844,-49501,22687,0,0,0,0,0,0,0,2600903,791776,0,36040,80394,0,0,909428,873388,0,0,0,119,1.0,29490178378024,2003,N,10014-2126,10014.0,131999454200308,1319994542003,8,119.0,59.0,279.0,120 BANK ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,H B PLAYWRIGHTS FOUNDATION INC,1.0,196403.0,,NY,RTF03PC,4.0,2.0,2.0,2.0,A,A65,IN,,AR,A,A65Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.317331,5602.0,1,A,A65,A65,,,-74.00619,40.736309999999996,36061.0,NY,10014.0,NEW YORK,A65,,0.0,1b,2003.0,148611.0,1b,2003.0,2379582.0,3a,2003.0,2352729.0,1b,2003.0,0.0,3a,2003.0,194507.0,3a,2003.0,0.0,1b,2003.0,0.0,1b,2003.0,73271.0,1b,2003.0,2371411.0,1b,2003.0,PC,O,AR,A,IN,,0.0,1b,2003.0,0.0,1b,2003.0,368718.0,1b,2003.0,10066.0,1b,2003.0,A65,A
25267,132501829,200306,2002,0,0,0,0,176113,0,0,0,19943656,19943656,19943656,17703745,10825895,490000,0,11716272,14252983,2970426,3427088,0,0,0,0,0,0,0,0,0,0,0,0,0,15815649,0,3951894,,19943656,3,2,0,0,176113,0,0,0,0,0,0,0,0,0,19943656,2239911,-159862,5256147,392679,0,0,300967,295797,0,8745846,0,0,0,0,0,0,0,0,0,0,0,46,1.0,29490052174074,2003,N,10023-2106,10023.0,132501829200306,1325018292003,6,46.0,30.0,119.0,2109 BROADWAY,3.0,0.0,NEW YORK,2.0,,1.0,13.0,11.0,10.0,0.0,AMERICAN MUSICAL & DRAMATIC ACADEMY,1.0,196405.0,AMDA,NY,RTF03PC,,,,,A,A6E,IN,,AR,A,B99Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.197163,5602.0,1,B,B99,A6E,,,-73.98164,40.77983,36061.0,NY,10023.0,NEW YORK,A6E,,,,,,,,10825895.0,3a,2003.0,2382914.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,,,,1805811.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,3365620.0,3a,2003.0,0.0,3a,2003.0,1214207.0,3a,2003.0,A6E,A
25268,132502177,200306,2002,2456775,0,0,0,10020,410058,0,1500,1912226,1912226,4369001,4380959,787117,512442,201250,1275589,1158428,407299,371311,0,0,0,0,0,0,0,0,0,0,0,0,69215,1773236,0,58255,,4299786,3,7,0,10020,0,0,0,0,0,0,0,0,69215,1500,4299786,-81173,0,1319814,171260,0,0,0,0,0,868290,5917043,0,6286115,173399,0,0,13451615,7165500,0,0,0,119,1.0,29490066158164,2003,N,10014-1703,10014.0,132502177200306,1325021772003,6,119.0,59.0,40.0,55 BETHUNE ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,CUNNINGHAM DANCE FOUNDATION INC,1.0,196608.0,,NY,RTF03PC,4.0,4.0,4.0,4.0,A,A62,IN,,AR,A,A62Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.5140819999999999,5602.0,1,A,A62,A62,,,-74.0065612792969,40.7369613647461,36061.0,NY,10014.0,NEW YORK,A62,,174505.0,3a,2003.0,0.0,3a,2003.0,332907.0,3a,2003.0,84302.0,3a,2003.0,454210.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,2282270.0,3a,2003.0,80706.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,17400.0,3a,2003.0,0.0,3a,2003.0,333908.0,3a,2003.0,A62,A
25275,132506620,200303,2002,0,732545,418443,482337,31960,0,0,0,1990777,1508440,2723322,2225378,1505887,194900,0,2356316,2009173,699395,503286,0,0,0,0,0,0,2000,0,2000,0,0,0,166641,1325102,48631,0,,2074344,3,9,2000,516,31444,0,0,0,-63894,0,0,0,215272,0,2074344,-151034,0,270953,38288,0,0,0,0,0,1656921,0,2725502,5888836,169027,0,0,8783365,2894529,2223378,261269,65317,59,1.0,29490052347044,2003,N,10010-3506,10010.0,132506620200303,1325066202003,3,59.0,602.0,0.0,71 W 23RD ST STE 901,3.0,0.0,NEW YORK,2.0,,1.0,13.0,16.0,10.0,0.0,ASSOCIATION OF AMERICAN UNIVERSITY PRESSES INC,1.0,196506.0,,NY,RTF03PC,4.0,4.0,4.0,4.0,A,A03,IN,,AR,A,A33C,PC,O,AR,A,3.0,,AR,AR,5602.0,5600.0,36061.0,0.000457985,5602.0,1,A,A03,A03,,,-73.99186999999999,40.742509999999996,36061.0,NY,10010.0,NEW YORK,A03,33,,,,,,,1505887.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,,,,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,41502.0,3a,2003.0,1190843.0,3a,2003.0,358513.0,3a,2003.0,A0333,A
25279,132509176,200312,2003,52496,0,0,0,434,0,5311,633,27837,22526,80333,79704,24809,0,0,36814,25756,3810,947,0,0,0,0,0,0,0,0,0,0,0,0,3514,0,17945,0,,71508,3,9,0,0,0,0,0,434,0,0,0,0,21460,5944,71509,-8195,0,0,0,0,0,0,0,0,33004,269910,0,165364,720,0,0,435994,270630,0,0,0,90,1.0,29409136227054,2003,N,10001-1210,10001.0,132509176200312,1325091762003,12,90.0,91.0,0.0,210 11TH AVE RM 902,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,PHOENIX GALLERY INC,1.0,199612.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A40,IN,,AR,A,A99Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.33311599999999997,5602.0,1,B,A40,A40,,,0.0,0.0,36061.0,NY,10001.0,NEW YORK,A40,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,100.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,4510.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A40,A
25293,132530479,200312,2003,5066,14698,0,0,71,0,0,0,30395,30395,50159,27569,26407,0,0,29159,26407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25342,0,4134,848,,24817,3,9,0,0,0,0,0,71,0,0,0,0,29476,0,24817,-2752,0,0,0,0,0,0,0,0,29159,10941,57707,64035,287,0,0,135053,71018,0,0,0,60,1.0,29409129093104,2003,N,10010-4628,10010.0,132530479200312,1325304792003,12,60.0,0.0,0.0,204 E 23RD ST,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,THE FIRE BELL CLUB OF NEW YORK INC,1.0,199507.0,,NY,RTF03PC,1.0,1.0,1.0,1.0,A,A03,IN,,AR,A,A54Z,PC,O,AR,A,,,AR,AR,5602.0,5600.0,36061.0,0.237103,5602.0,1,B,A03,A03,,,-73.98315,40.7388,36061.0,NY,10010.0,NEW YORK,A54,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,PC,O,AR,A,IN,,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,0.0,3a,2003.0,A54,A
