,EIN,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,SOURCE,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,SUBSECCD,REASON,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,NTEE,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,FIPS,MSA_NECH,PMSA,FipsOldA,stateOld1,zip5Old1,cityOld1,NteeDraft,Nccskey2,Ntee2007a,Confidence2007a,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,DocCd
9966,134003017,200412,2004,139526,0,0,0,0,0,0,0,0,0,139526,157158,3724,46350,0,21840,4266,484,542,RTF04CO,3724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,139526,6,0,0,0,0,0,0,0,0,0,0,0,0,139526,-17632,0,28350,7169,0,0,0,0,21356,21356,0,0,0,0,0,0,0,0,0,0,0,0,1,29490281198275,2004,N,10028-0104,10028.0,12,0.0,0.0,0.0,1014 FIFTH AVE 4TH FLR,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,GERMAN BOOK OFFICE-NEW YORK INC,1.0,199910.0,,NY,,A33,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.48094,C,36061.0,5602.0,5600.0,36061.0,NY,10028.0,NEW YORK,A33,1340030172004.0,A33,B,O,O,AR,A,IN,,A33,A,511100.0,90
10143,134218359,200412,2004,1000,76262,0,0,0,0,0,0,0,0,77262,49177,114751,0,0,86722,114807,56,56,RTF04CO,114751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,77262,6,0,0,0,0,0,0,0,0,0,0,0,0,77262,28085,0,21076,2526,0,0,0,0,86666,86666,0,0,0,0,0,0,0,0,0,0,0,0,1,29490351093115,2004,N,10028-0957,10028.0,12,0.0,0.0,0.0,45 E 85TH ST,3.0,0.0,NEW YORK,2.0,THE METROPOLITAN MUSEUM OF ART,2.0,13.0,0.0,10.0,0.0,ASSOCIATION OF ART MUSEUM CURATORS,1.0,200301.0,,NY,,A50,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.7169399999999999,C,36061.0,5602.0,5600.0,36061.0,NY,10028.0,NEW YORK,A50,1342183592004.0,A50,B,O,O,AR,A,IN,,A50,A,712110.0,90
67905,510192888,200504,2004,0,63721,0,0,39,0,0,0,39,39,63760,73255,5531,0,0,15026,5531,0,0,RTF04CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,63760,6,0,39,0,0,0,0,0,0,0,0,0,0,63760,-9495,0,0,0,0,0,0,0,0,15026,0,0,0,0,0,0,0,0,0,0,0,205,1,29490281259075,2005,N,10461-1930,10461.0,4,205.0,199.0,0.0,1300 MORRIS PARK AVE BELFER 502,3.0,0.0,BRONX,2.0,VICKI SELTZER MD,2.0,13.0,0.0,10.0,0.0,NEW YORK OBSTETRICAL SOCIETY INC,1.0,198407.0,,NY,A69Z,A69,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.63007,A,36005,5602.0,5600.0,36005.0,NY,10461.0,BRONX,A69,5101928882005.0,A69,A,O,O,AR,A,IN,,A69,A,711130.0,90
74109,541585995,200412,2004,0,9907,0,0,0,0,0,0,53958,53958,63865,67982,16580,0,0,20697,16580,0,0,RTF04CO,0,0,0,0,0,0,0,0,0,0,0,0,0,53958,0,0,,63865,6,0,0,0,0,0,0,0,0,0,0,0,0,63865,-4177,0,0,0,0,0,0,0,0,20697,0,0,0,0,0,0,0,0,0,0,0,229,1,29409225037425,2004,N,10003-4103,10003.0,12,229.0,0.0,0.0,111 E 14TH ST STE 157,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,NATIONAL ASSOCIATION OF INDEPENDENT PUBLISHERS REPRESENTATIVES INC,1.0,199108.0,,NY,A33C,A03,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.8839299999999999,A,36061.0,5602.0,5600.0,36061.0,NY,10003.0,NEW YORK,A03,5415859952004.0,A03,A,O,O,AR,A,IN,,A03,A,813920.0,9
81423,582648602,200406,2003,0,0,0,0,1367,0,0,0,3121003,3121003,3121003,670000,15148962,0,0,26068027,27284084,12136040,12135122,RTF04CO,15148962,0,0,0,0,0,0,0,0,0,0,2416569,0,0,0,0,,704434,25,0,1367,0,3119636,703067,0,0,0,0,0,0,0,704434,34434,1182541,0,0,0,0,11600000,11600000,13931987,13931987,0,0,0,0,0,0,0,0,0,0,0,0,1,29490191155165,2004,N,10169-1299,10169.0,6,0.0,0.0,0.0,230 PARK AVE 12TH FLOOR,3.0,0.0,NEW YORK,1.0,CLARION PARTNERS LLC,2.0,13.0,0.0,10.0,0.0,ERS PLAZA MUSEUM INC,2.0,200307.0,,NY,,A50,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.36322,C,36061.0,5602.0,5600.0,36061.0,NY,10169.0,NEW YORK,A50,5826486022004.0,A50,B,O,O,AR,A,IN,,A50,A,712110.0,90
122599,130452445,200506,2004,0,3811265,554538,522593,112675,0,3784,16970,2487858,1930821,6299123,5090162,3305695,743846,0,3892118,4169150,945811,874658,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,283611,1123633,139144,223274,,5458475,6,0,15312,97363,0,0,0,31945,30229,30660,-431,422755,20754,5458475,368313,-8925,637116,85266,0,0,0,0,0,2946307,0,0,0,0,0,0,0,0,0,0,0,59,1,29490070277286,2005,N,10017-5707,10017.0,6,59.0,200.0,0.0,675 THIRD AVENUE,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,AMERICAN BUSINESS MEDIA INC,1.0,193504.0,,NY,,A03,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.81914,A,36061,5602.0,5600.0,,,,,,,A0330,A,PC,O,AR,A,IN,,S41,S,813910.0,90
122601,130453215,200412,2004,0,102363,1120982,1008252,40810,0,0,0,1173792,165540,1276155,159763,377446,0,0,373974,477804,104668,100358,core2005co,377446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,,267903,6,0,3505,31079,0,0,6226,112730,0,0,0,0,0,267903,108140,0,0,0,0,0,0,0,269306,269306,0,0,0,0,0,0,0,0,0,0,0,59,1,29490365293035,2004,N,10017-5436,10017.0,12,59.0,205.0,279.0,50 E 42ND ST RM 506,9.0,0.0,NEW YORK,2.0,ARNOLD MERRITT,2.0,13.0,0.0,10.0,2493.0,PAINTING & DECORATING CONTRACTORS OF AMERICA,5.0,197401.0,NEW YORK CITY,NY,,A40,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.8129,A,36061,5602.0,5600.0,,,,,,,A40,A,PC,O,AR,A,IN,,A40,A,710000.0,90
122611,131101367,200511,2004,0,39618,0,0,1090,0,0,0,103544,103544,143162,144281,57447,0,0,59725,61161,1159,3714,core2005co,57447,0,0,0,0,0,0,0,0,0,0,0,0,102454,0,0,,143162,6,0,1090,0,0,0,0,0,0,0,0,0,0,143162,-1119,0,48119,4576,0,0,0,0,58566,58566,0,0,0,0,0,0,0,0,0,0,0,200,1,29490259051246,2005,N,10007-1901,10007.0,11,200.0,205.0,0.0,299 BROADWAY 226,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,NEW YORK SOCIETY OF ARCHITECTS,1.0,194208.0,,NY,,A03,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.42662,B,36061,5602.0,5600.0,,,,,,,A03,B,PC,O,AR,A,IN,,A03,A,813920.0,90
122616,131426730,200412,2004,0,3195328,0,0,8100,0,0,0,32044,32044,3227372,3038522,1182925,448646,0,1221901,1315587,213674,132662,core2005co,1182925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23944,,3227372,5,0,8100,0,0,0,0,0,0,0,0,0,0,3227372,188850,-14152,856153,93083,0,0,127514,42518,1008227,1008227,0,0,0,0,0,0,0,0,0,0,0,263,1,29490351059245,2004,N,10018-5504,10018.0,12,263.0,264.0,279.0,29 W 38TH ST FL 15,9.0,0.0,NEW YORK,3.0,CECILIA ANN FRIEDERICHS,2.0,13.0,0.0,10.0,444.0,INTERNATIONAL ALLIANCE OF THEATRICA L STAGE EMPLOYEES LOCAL USA 829,5.0,196004.0,0829,NY,,A65,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.65872,B,36061,5602.0,5600.0,,,,,,,A65,B,PC,O,AR,A,IN,,J40,J,813930.0,90
122621,131505524,200412,2004,0,712740,0,0,60785,0,0,0,2193387,2193387,2906127,2249797,6303284,244602,0,7921222,8678770,2015921,2375486,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,378455,0,509725,1244422,,2527672,6,0,7168,26911,0,0,26706,0,0,0,0,888180,0,2527672,277875,120108,414700,54611,0,0,1426240,1691667,0,5905301,0,0,0,0,0,0,0,0,0,0,0,205,1,29490365283045,2004,Y,10012-1401,10012.0,12,205.0,40.0,279.0,536 LAGUARDIA PL,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,AMERICAN INSTITUTE OF ARCHITECTS,1.0,194208.0,N Y CHAPTER,NY,,A40,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.94915,B,36061,5602.0,5600.0,,,,,,,A40,B,PC,O,AR,A,IN,,A40,A,710000.0,90
122627,131572247,200507,2004,0,366730,0,0,11181,0,168327,839787,1019295,850968,1386025,1174298,777671,0,0,1550225,1532695,815954,755024,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1217698,7,0,11181,0,0,0,0,0,0,0,0,0,1008114,1217698,43400,0,429149,57455,0,0,0,0,0,734271,0,0,0,0,0,0,0,0,0,0,0,119,1,29490008047086,2005,Y,10023-0000,10023.0,7,119.0,319.0,0.0,INC LINCOLN CTR,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,METROPOLITAN OPERA CLUB INC,1.0,194608.0,,NY,,A11,A,O,S,ZA,A,A,IN,,,AR,AR,AR,0.52123,A,36061,5602.0,5600.0,,,,,,,A11,A,PC,S,ZA,A,IN,,A11,A,813219.0,90
122665,131996451,200412,2004,0,886715,130546,143592,37397,0,0,0,167943,24351,1054658,1102591,435824,320000,0,1080817,881699,450974,445875,core2005co,435824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,911066,6,0,0,37397,0,0,0,-13046,0,0,0,0,0,911066,-191525,-2494,202684,18107,0,0,0,0,629843,629843,0,0,0,0,0,0,0,0,0,0,0,920,1,29490008019396,2004,N,10017-6588,10017.0,12,920.0,905.0,0.0,370 LEXINGTON AVE RM 902,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,MEDIA RATING COUNCIL INC,1.0,196512.0,,NY,,A30,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.5525100000000001,B,36061,5602.0,5600.0,,,,,,,A30,B,PC,O,AR,A,IN,,A30,A,510000.0,90
122669,132534897,200412,2004,0,0,0,0,157,0,0,0,146215,146215,146215,209763,313829,0,0,607240,546912,229863,233083,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,146058,0,0,,146215,2,0,157,0,0,0,0,0,0,0,0,0,0,146215,-63548,0,0,0,0,0,0,0,0,377377,0,0,0,0,0,0,0,0,0,0,0,0,1,29490008015176,2004,N,10011-7419,10011.0,12,0.0,0.0,0.0,45 W 14TH ST,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,PAINTING INDUSTRY FUND BUILDING CORP,1.0,199904.0,,NY,,A40,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.07198,A,36061,5602.0,5600.0,,,,,,,A40,A,PC,O,AR,A,IN,,A40,A,710000.0,90
122672,132562532,200506,2004,0,223041,0,0,3176,0,0,0,254538,254538,477579,471912,217267,57300,0,212482,221178,927,3911,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,251362,0,0,,477579,6,0,3176,0,0,0,0,0,0,0,0,0,0,477579,5667,45,0,0,0,0,0,0,0,211555,0,0,0,0,0,0,0,0,0,0,0,205,1,29490008083236,2005,N,10036-5505,10036.0,6,205.0,120.0,279.0,1501 BROADWAY STE 302,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,AMERICAN SOCIETY OF JOURNALISTS & AUTHORS INC,1.0,196801.0,,NY,,A70,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.61585,A,36061,5602.0,5600.0,,,,,,,A70,A,PC,O,AR,A,IN,,A70,A,710000.0,90
122696,132932563,200412,2004,0,1585,0,0,11314,0,0,0,35309,35309,36894,33045,76695,0,0,94803,76695,0,0,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,21957,0,2038,0,,14937,4,0,0,0,0,0,11314,0,0,0,0,23995,0,14937,-18108,0,0,0,0,0,0,0,0,94803,0,0,0,0,0,0,0,0,0,0,0,119,1,29409351029295,2004,N,11209-3601,11209.0,12,119.0,123.0,0.0,7919 3RD AVE,3.0,0.0,BROOKLYN,1.0,,2.0,11.0,0.0,10.0,0.0,METROPOLITAN SOCIETY OF KARDAMYLIANS INC C O MARC LIVANOS,1.0,197805.0,,NY,,A99,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.92225,C,36047,5602.0,5600.0,,,,,,,A99,C,PC,O,AR,A,IN,,A99,A,710000.0,9
122716,133131629,200505,2004,0,101357,0,0,89,11700,0,0,60646,60646,162003,156130,40648,35100,0,38544,41676,3769,1028,core2005co,0,0,0,0,0,0,0,0,0,0,0,0,0,60557,0,0,,162003,6,0,89,0,0,0,0,0,0,0,0,0,0,162003,5873,0,11917,9808,0,0,0,0,0,34775,0,0,0,0,0,0,0,0,0,0,0,229,1,29490063003096,2005,N,10011-3728,10011.0,5,229.0,0.0,0.0,27 W 20TH ST STE 601,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,ADVERTISING PHOTOGRAPHER OF AMERICA INC,1.0,198410.0,,NY,,A40,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.01967,A,36061,5602.0,5600.0,,,,,,,A40,A,PC,O,AR,A,IN,,A40,A,710000.0,90
122725,133251595,200506,2004,0,1937,0,0,592,0,0,0,91152,91152,93089,85940,8023,0,0,874,8023,0,0,core2005co,8023,0,0,0,0,0,0,0,0,0,0,0,0,0,24638,65922,,93089,5,0,0,0,0,0,592,0,0,0,0,24638,0,93089,7149,0,0,0,0,0,0,0,874,874,0,0,0,0,0,0,0,0,0,0,0,0,1,29490008021096,2005,N,10038-3242,10038.0,6,0.0,0.0,0.0,90 JOHN ST RM 403,3.0,0.0,NEW YORK,1.0,LARA KISIELEWSKA,0.0,13.0,0.0,10.0,0.0,GRAPHIC ARTISTS GUILD OF NEW YORK,0.0,199509.0,,NY,,A40,A,O,O,AR,A,A,IN,,,AR,AR,AR,0.68334,C,36061,5602.0,5600.0,,,,,,,A40,C,PC,O,AR,A,IN,,A40,A,710000.0,90
