,EIN,EOY,TAXPER,STYEAR,NTEEIRS,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,DocCd,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,fincheckv,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NumEmpEstimate,NumEmpCode,NumEmpYr,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,PayAfflEstimate,PayAfflCode,PayAfflYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,NetLandEstimate,NetLandCode,NetLandYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,PermRnaEstimate,PermRnaCode,PermRnaYr,TempRnaEstimate,TempRnaCode,TempRnaYr,GovGtEstimate,GovGtCode,GovGtYr,AdminExpEstimate,AdminExpCode,AdminExpYr,ProgExpEstimate,ProgExpCode,ProgExpYr,Verifyby,NAICS,epostcard
2573,10734181,9,200912,2009,A032,0,0,0,0,0,0,0,0,0,0,26393,25915,8040,0,0,7562,8040,0,0,0,0,0,0,0,0,0,0,0,21394,0,0,,26393,26393,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,7562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,1,1,201029,29492184397370,92,1,2009,3,Y,1,N,1,0,2009,10003-2965,10003.0,IN,,10734181200912,107341812009,12,0.0,0.0,0.0,151 1ST AVE,3.0,0.0,NEW YORK,1.0,H MANDEL,1.0,1.0,15.0,10.0,0.0,JAZZ JOURNALISTS ASSOCIATION,1.0,200406.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A6C,A,0,L,0,36061.0,5600.0,5600.0,A6C,A,PC,O,AR,A,A,1,AR,AR,AR,0.30002,A,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,711130.0,
2937,10798319,9,200906,2008,A65,125836,0,0,0,0,0,25384,21744,0,0,294317,259249,43433,11284,0,34207,49035,1576,5602,0,0,0,0,0,0,0,0,0,121353,0,0,,268933,268933,0,0,0,0,0,0,47128,9684,0,57725,6413,0,0,0,0,32631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201032,29493198282070,93,1,2009,4,Y,1,N,1,0,2008,10018-4707,10018.0,IN,,10798319200906,107983192009,6,0.0,0.0,0.0,505 8TH AVE RM 1802,3.0,0.0,NEW YORK,2.0,GLATZER,1.0,1.0,16.0,10.0,0.0,TANK LTD,1.0,200503.0,,NY,rtf09pc,,1.0,2.0,2.0,2.0,A65,A,2,K,0,36061.0,5600.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.66151,B,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,711110.0,
2986,10808098,9,200912,2009,A32,769717,0,0,0,0,0,0,138,0,0,775122,1691181,-3944125,0,8000,98274,221559,3126341,4165684,0,0,0,0,0,0,0,0,0,10,0,5257,,775122,775122,0,0,0,0,0,0,138,-916059,0,0,0,0,0,0,0,-3028067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201048,29493310082070,93,1,2009,5,Y,1,N,1,0,2009,10012-1055,10012.0,IN,,10808098200912,108080982009,12,0.0,0.0,0.0,143 W 4TH ST,3.0,200812.0,NEW YORK,1.0,WILLIAM H SCHAAP,1.0,1.0,15.0,10.0,0.0,INDEPENDENT WORLD TELEVISION INC,1.0,200503.0,,NY,rtf09pc,,2.0,3.0,3.0,4.0,A32,A,0,L,0,36061.0,5600.0,5600.0,A32,A,PC,O,AR,A,A,1,AR,AR,AR,0.60392,A,769717.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,-3944125.0,4,2006.0,,,,,,,,,,,,,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,106960.0,4,2006.0,988877.0,4,2006.0,,513120.0,
3078,10825812,8,200809,2007,A61,473034,0,0,0,0,16304,0,0,37491,37491,510525,474329,43587,67600,0,8981,45177,1590,1590,0,0,0,0,0,0,0,0,0,37491,0,0,,510525,510525,0,0,0,0,0,0,0,36196,0,112012,13790,0,0,0,0,7391,0,0,0,0,0,0,0,0,0,0,0,646710,0,303171,3,0,0,949884,646713,3,7,0,0,0,N,3,1,200931,29490199033189,90,1,2008,5,Y,1,N,1,0,2007,10036-8521,10036.0,IN,,10825812200809,108258122008,9,0.0,0.0,0.0,155 W 46TH STREET,3.0,200909.0,NEW YORK,1.0,MARTIN PLATT,1.0,1.0,16.0,20.0,0.0,PERRY STREET THEATRE COMPANY INC,1.0,200612.0,,NY,CORE08pc,,1.0,3.0,3.0,2.0,A65,A,5,K,0,36061.0,5600.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.41812,A,473034.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,43587.0,4,2006.0,,,,,,,,,,,,,285.0,4,2006.0,57.0,3,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,47633.0,4,2006.0,398447.0,4,2006.0,,711110.0,
3167,10848423,10,201003,2009,A23,4050,0,0,0,0,0,0,0,0,0,57175,33442,154426,0,0,152175,154426,0,0,0,0,0,0,0,0,0,0,21482,0,10938,17050,,35693,35693,0,0,0,0,0,32420,0,2251,0,0,0,0,0,0,0,152175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201037,29492240044140,92,1,2010,3,Y,1,N,1,0,2009,11223-2329,11223.0,IN,,10848423201003,108484232010,3,0.0,0.0,0.0,1992 CONEY ISLAND AVE,3.0,201103.0,BROOKLYN,1.0,NICK VELLIOS,1.0,1.0,15.0,10.0,0.0,DIPLATANOS SOCIETY-AGIA MARINA INC,1.0,200610.0,,NY,rtf09pc,,2.0,1.0,1.0,1.0,A23,A,0,L,0,36047.0,5600.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.94801,B,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,710000.0,
3193,10856384,9,200912,2009,A68,427774,0,0,0,446,0,0,0,0,0,494382,247122,329648,15600,0,189779,343327,2846,13679,0,0,0,0,0,0,0,0,104545,0,-39013,630,,389837,389837,0,0,0,0,0,65532,0,142715,0,86175,0,0,0,0,0,186933,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201034,93493224018740,93,1,2009,4,Y,1,N,1,0,2009,10019-0000,10019.0,IN,,10856384200912,108563842009,12,0.0,0.0,0.0,825 EIGHTH AVE WORLDWIDE PLAZA,3.0,201012.0,NEW YORK,2.0,EMILY WALSH,1.0,1.0,15.0,10.0,0.0,SING FOR HOPE,1.0,200706.0,,NY,rtf09pc,,2.0,2.0,2.0,2.0,A68,A,3,K,0,36061.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.25172,B,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,711130.0,
3279,10877394,8,200801,2007,A25,26791,0,0,0,0,0,0,0,0,0,26791,23883,2908,0,0,0,3586,0,678,0,0,0,0,0,0,0,0,0,0,0,0,,26791,26791,0,0,0,0,0,0,0,2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,N,1,1,200840,29409264002178,9,1,2008,3,Y,1,N,1,0,2007,11238-1181,11238.0,IN,,10877394200801,108773942008,1,0.0,0.0,0.0,360 CLINTON AVE APT 6D,3.0,201101.0,BROOKLYN,2.0,JUSTINE WILLIAMS,1.0,1.0,15.0,20.0,0.0,THE GLASS CONTRAPTION ARTS GROUP INC,1.0,200704.0,GLASS CONTRAPTION,NY,CORE08pc,,,,,,A25,A,0,L,0,36047.0,5600.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.24946,B,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,611610.0,
4705,20501122,9,200906,2008,A68,1955,0,0,0,23,0,0,0,0,0,137603,105846,104660,0,0,72903,104660,0,0,104660,0,0,0,0,0,0,0,0,135625,0,0,,137603,137603,0,0,0,0,0,0,0,31757,0,0,0,0,0,0,0,72902,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201012,29493065047190,93,1,2009,4,Y,1,N,1,0,2008,10023-6049,10023.0,IN,,20501122200906,205011222009,6,0.0,0.0,0.0,74 W 68TH ST APT 1C,3.0,0.0,NEW YORK,1.0,DAVID SEGAL,1.0,1.0,16.0,10.0,0.0,WATERVILLE VALLEY MUSIC CENTER,5.0,199904.0,,NY,rtf09pc,,2.0,2.0,2.0,2.0,A68,A,0,L,0,36061.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.61503,A,1955.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,104660.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,105846.0,6,2003.0,,711130.0,
5100,20557576,9,200912,2009,A50,111450,0,0,0,2943,0,0,0,0,0,114393,88265,229645,0,0,203517,234231,0,4586,0,0,0,0,0,0,0,0,0,0,0,0,,114393,114393,0,0,0,0,0,0,0,26128,0,0,0,0,0,0,0,203517,0,0,0,0,0,2943,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201047,93492316043540,92,1,2009,4,Y,1,N,1,0,2009,10041-0004,10041.0,IN,,20557576200912,205575762009,12,0.0,0.0,0.0,55 WATER STREET,3.0,0.0,NEW YORK,1.0,NEW WATER STREET CORPORATION,1.0,1.0,15.0,10.0,0.0,FRIENDS OF THE PLAZA-VVP CORPORATION,1.0,200211.0,,NY,rtf09pc,,2.0,2.0,2.0,1.0,A80,A,0,L,0,36061.0,5600.0,5600.0,A80,A,PC,O,AR,A,A,1,AR,AR,AR,0.34383,A,111450.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,229645.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,234231.0,6,2003.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,4739.0,4,2006.0,83526.0,4,2006.0,,712120.0,
5156,20569320,9,200912,2009,A63,149943,0,0,0,0,0,0,0,0,0,149943,190866,-169,27500,0,40753,29831,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,,149943,149943,0,0,0,0,0,0,0,-40923,0,17100,4495,0,0,0,0,40753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201039,29493247174220,93,1,2009,4,Y,1,N,1,0,2009,11201-2327,11201.0,IN,,20569320200912,205693202009,12,0.0,0.0,0.0,145 HICKS ST A-54,3.0,0.0,BROOKLYN,1.0,,1.0,1.0,15.0,10.0,0.0,BROOKLYN BALLET INC,1.0,200206.0,,NY,rtf09pc,,1.0,2.0,2.0,2.0,A63,A,2,K,0,36047.0,5600.0,5600.0,A63,A,PC,O,AR,A,A,1,AR,AR,AR,0.11835,A,110698.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,-169.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,29831.0,6,2003.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,39088.0,4,2006.0,176184.0,4,2006.0,0.0,4,2006.0,,711120.0,
