,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,REASON,Q78A,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,STYEAR,NteeOldA,Confidence,NteeCC4d,FipsOldA,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
8101,1,6,1,131087160,200012,2000,200150,29490328111301,,N,Y,0,1,2000,1,7,8,200,1135420,8476538,4153778,3842984,194204,0,0,0,9823398,5980414,19435356,14539849,6236570,2064940,0,7404694,7717701,1119891,1481131,0,0,0,0,0,0,0,0,0,0,0,0,689293,4701219,-193259,278163,0,N,64266,129938,0,0,0,310794,0,0,0,496034,0,14903079,363230,-411464,1660400,212108,0,0,0,0,0,6284804,0,0,0,0,0,0,0,0,0,0,0,10022.0,MAGAZINE PUBLISHERS OF AMERICA INC,,919 THIRD AVE 22ND FL,NEW YORK,NY,10022-3801,0.0,3.0,2.0,194209.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.26964,,2000,Z99,C,,36061.0,NY,10022.0,NEW YORK,1310871602000,A33,A,PC,O,AR,A,IN,,A0333,A,813920.0
8145,1,6,1,131374145,200012,2000,200135,29490223211131,,N,Y,0,1,2000,1,4,4,200,0,167700,0,0,23639,0,0,0,219932,219932,387632,329554,424708,102083,0,506170,424708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139540,8074,40549,7630,0,Y,23639,0,0,0,0,0,500,0,500,180089,0,248092,-81462,0,57643,4681,0,0,0,0,0,506170,0,0,0,0,0,0,0,0,0,0,0,10018.0,TEXTILE DISTRIBUTORS ASSOCIATION INC,,104 W 40TH ST,NEW YORK,NY,10018-3617,0.0,3.0,2.0,194409.0,2.0,0.0,200.0,279.0,0.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.0069099999999999995,,2000,Z99,C,,36061.0,NY,10018.0,NEW YORK,1313741452000,A40,A,PC,O,AR,A,IN,,A40,A,710000.0
8152,1,6,1,131394480,200012,2000,200130,29490174223081,,N,Y,0,1,2000,1,6,6,205,0,1065612,0,0,17922,0,0,3909,1127739,1127739,2193351,2059490,372418,320000,0,1369961,1580252,1131405,1207834,0,0,0,0,0,0,0,0,0,0,0,0,0,1093528,0,12380,0,N,17922,0,0,0,0,0,0,0,0,0,3909,2193351,133862,0,301796,36748,0,0,0,0,0,238556,0,0,0,0,0,0,0,0,0,0,0,10170.0,TRAFFIC AUDIT BUREAU FOR MEDIA MEASUREMENT INC,,420 LEXINGTON AVE STE 2520,NEW YORK,NY,10170-2599,0.0,3.0,2.0,195501.0,2.0,0.0,205.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.79533,,2000,Z99,C,,36061.0,NY,10170.0,NEW YORK,1313944802000,A30,B,PC,O,AR,A,IN,,A30,A,510000.0
8180,1,6,1,131505524,199912,1999,200103,29490344104160,,N,Y,0,1,1999,1,6,6,205,0,503724,163044,0,80698,0,0,0,1338682,1338682,1842406,1100337,3459075,98461,0,3130508,4384994,132307,925919,0,0,0,0,0,0,0,0,0,0,0,0,281647,0,320528,492765,0,N,16062,64636,0,0,0,163044,0,0,0,602175,0,1560759,460422,452,181086,19367,0,0,0,744505,0,2998201,0,0,0,0,0,0,0,0,0,0,0,10016.0,AMERICAN INSTITUTE OF ARCHITECTS N Y CHAPTER,,200 LEXINGTON AVE RM 602,NEW YORK,NY,10016-6186,0.0,0.0,1.0,194208.0,2.0,11.0,205.0,40.0,279.0,1.0,13.0,0.0,10.0,12,N Y CHAPTER,36061.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.85577,N,1999,A40,B,,36061.0,NY,10016.0,NEW YORK,1315055241999,A40,B,PC,O,AR,A,IN,,A40,A,710000.0
8191,1,6,1,131520977,200009,2000,200117,29409097008241,,N,Y,0,1,1999,1,3,3,119,0,50785,0,0,0,0,0,0,0,0,50785,43485,29764,0,0,22464,29764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,50785,7300,0,0,0,0,0,0,0,0,22464,0,0,0,0,0,0,0,0,0,0,0,10021.0,ART & ANTIQUE DEALERS LEAGUE OF AMERICA INC,,1040 MADISON AVE,NEW YORK,NY,10021-0111,0.0,3.0,1.0,197601.0,2.0,0.0,119.0,0.0,0.0,1.0,13.0,0.0,10.0,9,,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.32853000000000004,,1999,Z99,B,,36061.0,NY,10021.0,NEW YORK,1315209772000,A0380,A,PC,O,AR,A,IN,,A0380,A,813920.0
8213,1,7,1,131572247,200007,2000,200120,29490111158031,A6AI,N,Y,0,1,1999,1,6,5,119,0,209339,0,0,29712,0,152655,319352,537215,384560,746554,591501,829962,0,0,1132936,1576813,331797,746851,829962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35496,0,Y,29712,0,0,0,0,0,0,0,0,0,472007,593899,2398,26425,330467,0,0,0,0,0,801139,801139,0,0,0,0,0,0,0,0,0,0,0,10023.0,METROPOLITAN OPERA CLUB INC,,LINCOLN CENTER,NEW YORK,NY,10023-0000,0.0,3.0,1.0,194608.0,2.0,0.0,119.0,319.0,0.0,1.0,13.0,0.0,10.0,7,,36061.0,5602.0,5600.0,A11,A,O,S,ZA,A,A,IN,,1,AR,AR,AR,0.81583,N,1999,A11,A,,36061.0,NY,10023.0,NEW YORK,1315722472000,A11,A,PC,S,ZA,A,IN,,A11,A,813219.0
8221,1,6,1,131583260,200106,2001,200147,29490307152241,,N,Y,0,1,2000,1,6,4,919,0,265300,62408,90850,535,0,0,0,62943,-27907,328243,293741,160800,116359,0,1857422,1892867,1640274,1732067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,535,0,0,0,0,-28442,0,0,0,0,0,237393,-56348,0,0,12471,0,0,0,0,0,217148,0,0,0,0,0,0,0,0,0,0,0,10024.0,STATION REPRESENTATIVES ASSOCIATION INC,KATZ MEDIA J BELOYIANIS,16 W 77TH ST,NEW YORK,NY,10024-5126,0.0,3.0,2.0,196910.0,2.0,0.0,919.0,200.0,0.0,1.0,13.0,0.0,10.0,6,,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.44632,,2000,Z99,C,,36061.0,NY,10024.0,NEW YORK,1315832602001,A01,C,PC,O,AR,A,IN,,A01,A,813319.0
8264,1,4,1,131673348,200102,2001,200131,29490189045121,,N,Y,0,1,2000,1,4,3,908,0,2115,10884,9464,19168,0,0,0,32212,22748,34327,30142,347761,0,0,314379,347761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,0,0,0,N,0,19168,0,0,0,1420,0,0,0,0,0,24863,-5279,38661,2814,311,0,0,0,0,0,314379,0,0,0,0,0,0,0,0,0,0,0,10024.0,OLD GUARD OF THE CITY OF NEW YORK,,307 W 91ST ST,NEW YORK,NY,10024-1001,0.0,3.0,3.0,195203.0,2.0,0.0,908.0,0.0,0.0,1.0,13.0,0.0,10.0,2,,36061.0,5602.0,5600.0,A82,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.35153,,2000,Z99,A,,36061.0,NY,10024.0,NEW YORK,1316733482001,W20,C,PC,O,AR,A,IN,,W20,W,813410.0
8269,1,4,1,131677485,200103,2001,200152,29490342035051,,N,Y,0,1,2000,1,6,6,121,257574,0,0,0,36553,0,0,0,4290212,4290212,4547786,4537018,1991500,6486,0,3639400,3415100,1412200,1423600,1991500,0,0,0,0,0,0,0,0,0,0,0,0,4225890,0,27769,0,N,0,36553,0,0,0,0,0,0,0,0,0,4547786,10768,-246468,1160106,0,0,0,54400,72700,2227200,2227200,0,0,0,0,0,0,0,0,0,0,0,10017.0,BRITISH BROADCASTING CORP,,747 THIRD AVE 7TH FLR,NEW YORK,NY,10017-2803,0.0,3.0,1.0,199202.0,2.0,0.0,121.0,122.0,149.0,1.0,13.0,0.0,10.0,3,,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.17643,,2000,Z99,A,,36061.0,NY,10017.0,NEW YORK,1316774852001,A30,A,PC,O,AR,A,IN,,A30,A,510000.0
8399,1,4,1,131769475,200012,2000,200120,29490111200141,,N,Y,0,1,2000,1,4,3,319,0,4525,0,0,13942,0,0,0,70350,70350,74875,16615,258377,0,600,250276,258377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50159,0,6249,0,0,N,13942,0,0,0,0,0,0,0,0,56408,0,24716,8101,0,0,0,0,0,0,0,0,250276,0,0,0,0,0,0,0,0,0,0,0,10036.0,THEATRICAL MUTUAL ASSOCIATION NEW YORK LODGE-1,,326 W 48TH ST,NYC,NY,10036-1314,0.0,3.0,3.0,195504.0,2.0,0.0,319.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A65,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.04752,,2000,Z99,C,,36061.0,NY,10036.0,NYC,1317694752000,A65,B,PC,O,AR,A,IN,,A65,A,711110.0
8408,1,6,1,131777183,200012,2000,200152,29490342036461,,N,Y,0,1,2000,1,6,7,919,0,5010536,1091620,1103916,204572,0,0,0,1614146,510230,6624682,5392266,3280047,450000,0,3903302,4113563,671545,833521,0,0,0,0,0,0,0,0,0,0,0,0,0,263595,0,17999,0,N,0,204572,36360,36360,0,-12296,0,0,0,0,0,5520766,128500,-80210,2611390,157231,0,0,0,0,0,3231757,0,0,0,0,0,0,0,0,0,0,0,10022.0,TELEVISION BUREAU OF ADVERTISING INC,,850 THIRD AVENUE,NEW YORK,NY,10022-6222,0.0,3.0,1.0,195602.0,2.0,0.0,919.0,200.0,59.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.65528,,2000,Z99,B,,36061.0,NY,10022.0,NEW YORK,1317771832000,A0132,B,PC,O,AR,A,IN,,A0132,A,813319.0
8411,1,6,1,131783842,200012,2000,200139,29490251224281,A33C,N,Y,0,1,2000,1,5,5,200,0,229226,36658,0,10453,0,0,0,561902,561902,791128,422404,978953,0,0,1010130,981810,1991,2857,978953,0,0,0,0,0,0,0,0,0,0,0,337773,0,109374,67644,0,N,10453,0,0,0,0,36658,0,0,0,447147,0,453355,30951,-60137,58750,4668,0,0,0,0,1008139,1008139,0,0,0,0,0,0,0,0,0,0,0,10036.0,ANTIQUARIAN BOOKSELLERS ASSOC OF AMERICA INC SHOP 2 CONCOURSE,,20 W 44TH ST 4TH FLR,NEW YORK,NY,10036-6604,0.0,3.0,2.0,195109.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A03,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.54206,N,2000,A03,A,,36061.0,NY,10036.0,NEW YORK,1317838422000,A0333,A,PC,O,AR,A,IN,,A0333,A,813920.0
8482,1,6,1,131892640,200012,2000,200128,29409167003151,,N,Y,0,1,2000,1,3,3,200,0,55500,0,0,276,0,0,0,276,276,55776,49128,28807,0,0,22159,28807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,276,0,0,0,0,0,0,55776,6648,0,0,0,0,0,0,0,0,22159,0,0,0,0,0,0,0,0,0,0,0,10036.0,CULTURED PEARL ASSOCIATION OF AMERICA INC,,71 W 47TH ST,NEW YORK,NY,10036-2819,0.0,3.0,2.0,195912.0,2.0,0.0,200.0,919.0,0.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.52142,,2000,Z99,C,,36061.0,NY,10036.0,NEW YORK,1318926402000,S01,C,PC,O,AR,A,IN,,S01,S,813319.0
8534,1,6,1,131951979,200008,2000,200134,29490216074361,A32Z,N,Y,0,1,1999,1,7,7,205,0,422225,475000,490743,405180,0,0,0,6547824,6057081,6970049,5663785,6845004,473311,0,7155255,8236350,1107595,1391346,0,0,0,0,0,0,0,0,0,0,0,0,0,5642703,0,24941,0,Y,405180,0,0,0,0,-15743,0,0,0,0,0,6479306,815521,-18177,0,0,0,0,0,0,0,6047660,0,0,0,0,0,0,0,0,0,0,0,10019.0,NATIONAL ACADEMY OF TELEVISION ARTS AND SCIENCES,,111 W 57TH ST,NEW YORK,NY,10019-2211,3005.0,6.0,2.0,197610.0,2.0,0.0,205.0,0.0,0.0,5.0,13.0,0.0,10.0,8,,36061.0,5602.0,5600.0,A03,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.40928000000000003,N,1999,A03,A,,36061.0,NY,10019.0,NEW YORK,1319519792000,A0332,A,PC,O,AR,A,IN,,A0332,A,813920.0
8547,1,6,1,131959701,200012,2000,200118,29490104064081,,N,Y,0,1,2000,1,4,4,59,506,40625,50239,49436,8993,0,0,0,62272,12836,103403,35334,193472,0,0,179317,193472,0,0,193472,0,0,0,0,0,0,0,0,0,0,0,4190,0,-1150,0,0,N,875,6301,0,0,1817,803,0,0,0,3040,0,49777,14443,-288,0,0,0,0,0,0,179317,179317,0,0,0,0,0,0,0,0,0,0,0,10032.0,INTERNATIONAL LINGUISTIC ASSOCIATION,% COOPER FINANCIAL GROUP INC,613 W 155TH ST,NEW YORK,NY,10032-7501,0.0,3.0,1.0,195004.0,1.0,0.0,59.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A70,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.18441,N,2000,A70,B,,36061.0,NY,10032.0,NEW YORK,1319597012000,A70,A,PC,O,AR,A,IN,,A70,A,710000.0
8576,1,6,1,131996451,200012,2000,200132,29490195138311,,N,Y,0,1,2000,1,6,5,920,0,597375,0,0,44080,0,0,0,44080,44080,641455,595412,567509,225000,0,1057355,1001884,541270,434375,567509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,44080,0,0,0,0,0,0,0,0,0,0,641455,46043,5381,37000,11048,0,0,0,0,516085,516085,0,0,0,0,0,0,0,0,0,0,0,10019.0,MEDIA RATING COUNCIL INC,,200 W 57TH ST STE 204,NEW YORK,NY,10019-3211,0.0,3.0,2.0,196512.0,2.0,0.0,920.0,905.0,0.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.37940999999999997,,2000,Z99,C,,36061.0,NY,10019.0,NEW YORK,1319964512000,A30,B,PC,O,AR,A,IN,,A30,A,510000.0
