,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,PF23,PF24,PF25,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
3438,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112634917,1991,1990,349,1305,290,0,0,0,0,27209,12697,0,28804,35302,-6498,32607,0,0,0,3561,0,0,0,0,3030,3561,0,0,INST THEATRE LEARNING,FRESH MEADOWS,NY,11365-1634,Z,Z99,0.61666,36081.0,11365.0,11365.0,5602.0,5600.0,36081.0,4.0,,198305.0,199106,199106,NY,11365.0,FRESH MEADOWS,PF,O,UN,Z,IN,,6,0.0,0.0,56 15A UTOPIA PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,
3465,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112668888,1989,1989,90,1710,0,0,0,0,0,3121,0,0,4831,4704,127,4665,0,0,0,147,0,0,0,0,0,147,0,4,ARGENTINE & IBEROAMERICAN FOLK ART FND,NEW YORK,NY,10024-2941,Z,Z99,0.483829,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10024.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1224,A,,
3533,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112748834,1989,1989,90,35533,0,0,0,0,0,0,2526,0,35533,37313,-1780,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSHWICK INST PERFORMING ARTS,BROOKLYN,NY,11237-5898,A,A65,0.344727,36047.0,11237.0,11237.0,5602.0,5600.0,36047.0,,,,198912,198912,NY,11237.0,BROOKLYN,PF,O,AR,A,IN,,12,,,,,,,,,,,,,,A,AR,AR,AR,3.0,,,,,,,A65,A,,
3548,3,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112780069,1991,1991,91,0,633,0,0,0,0,0,0,0,633,61749,-61116,11022,633,6,0,0,0,0,0,0,0,0,0,279,EAST HAMPTON CTR CONTEMPORARY ART,NEW YORK,NY,10007-3001,Z,Z99,0.266585,36061.0,10007.0,10007.0,5602.0,5600.0,36061.0,,,,199112,199112,NY,10007.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A20,A,,
3563,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112801382,1992,1991,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MOVEMENT INTERFACE RES INST,BROOKLYN,NY,11206-3040,Z,Z99,0.8946620000000001,36047.0,11206.0,11206.0,5602.0,5600.0,36047.0,4.0,,198702.0,199206,199206,NY,11206.0,BROOKLYN,PF,O,UN,Z,IN,,6,209.0,0.0,31 LEONARD ST 1M,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
3665,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112942428,1991,1991,90,10071,0,0,0,0,0,0,0,0,10071,11824,-1753,10024,0,0,0,3240,0,0,0,0,0,3240,0,0,PODVAL ARTS & POETRY GALLERIES,BROOKLYN,NY,11235-5841,Z,Z99,0.125256,36047.0,11235.0,11235.0,5602.0,5600.0,36047.0,4.0,,198903.0,199112,199112,NY,11235.0,BROOKLYN,PF,O,UN,Z,IN,,12,0.0,0.0,150 BRIGHTON 15TH ST,3.0,0.0,1000.0,V MOLOT ESQ,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
3671,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112948645,1992,1991,602,50000,3887,0,0,0,0,0,0,14000,54087,22269,31818,16748,4087,41,0,176880,0,0,0,0,0,176880,0,6961,WORLD JOURNAL CULTURE FND,FLUSHING,NY,11354-0000,Z,Z99,0.801072,36081.0,11354.0,11354.0,5602.0,5600.0,36081.0,4.0,,198909.0,199206,199206,NY,11354.0,FLUSHING,PF,O,UN,Z,IN,,6,0.0,0.0,141 07 20TH AVE,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
3696,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112994852,1991,1991,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUDAICA FND RES & PUBLICATION,NEW YORK,NY,10038-2400,Z,Z99,0.131426,36061.0,10038.0,10038.0,5602.0,5600.0,36061.0,4.0,,9106.0,199112,199112,NY,10038.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,245 PARK AVE 1600,3.0,0.0,1000.0,% HAVAZELET,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
3720,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113028110,1991,1991,429,0,0,0,0,0,0,17300,0,0,17300,18609,-1309,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC HONG MAGAZINE,BROOKLYN,NY,11218-1754,Z,Z99,0.544132,36047.0,11218.0,11218.0,5602.0,5600.0,36047.0,4.0,,199203.0,199112,199112,NY,11218.0,BROOKLYN,PF,O,UN,Z,IN,,12,120.0,408.0,81 OCEAN PKY RM 3G,3.0,0.0,2000.0,% DIEN THOAI,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
3728,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113038143,1991,1990,200,302500,8720,0,0,0,0,0,0,282500,311220,283320,27900,283320,8720,174,0,29147,0,0,0,0,0,29147,0,11015,NOSSEN FND,BROOKLYN,NY,11230-5102,Z,Z99,0.9982540000000001,36047.0,11230.0,11230.0,5602.0,5600.0,36047.0,4.0,,199104.0,199111,199111,NY,11230.0,BROOKLYN,PF,O,UN,Z,IN,,11,0.0,0.0,1280 OCEAN PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
3753,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113081355,1991,1991,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAN FLAVIN ART FND,NEW YORK,NY,10017-3140,Z,Z99,0.189975,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199209.0,199112,199112,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,92.0,0.0,237 PARK AVE 21ST FL,3.0,0.0,1000.0,% THOMAS J KOVARCIK,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
3924,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,116036776,1992,1991,60,31412,0,0,0,0,0,0,0,0,31412,16029,15383,7743,0,0,0,470280,0,0,0,0,6558,470280,0,983,ANONYMOUS ARTS RECOVERY SOC,NEW YORK,NY,10012-5115,Z,Z99,0.760627,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,3.0,,196311.0,199203,199203,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,3,91.0,0.0,380 W BROADWAY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A03,A,,
4036,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,116101563,1991,1990,119,2630,0,0,0,0,0,0,0,0,2630,2793,-163,2055,0,0,0,250,0,0,0,0,0,250,0,16,FND CLASSIC THEATRE & ACAD,NEW YORK,NY,10036-7211,Z,Z99,0.9866440000000001,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,4.0,,196805.0,199106,199106,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,6,59.0,0.0,220 W 42ND ST,3.0,0.0,2300.0,% N J STATHIS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,
4074,2,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,130429640,1991,1991,65,277336,0,1572476,1195626,0,0,370085,65000,650865,3415523,1821320,1594203,1763897,2997240,0,1801614,26044425,26019357,0,0,26019357,7716,27814951,0,1246485,AMER ACAD ARTS & LETTERS,NEW YORK,NY,10032-7501,Z,Z99,0.412466,36061.0,10032.0,10032.0,5602.0,5600.0,36061.0,2.0,,193503.0,199112,199112,NY,10032.0,NEW YORK,PF,O,UN,Z,IN,,12,207.0,60.0,633 W 155TH ST,3.0,0.0,2300.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A25,A,,
4088,2,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,131624012,1991,1991,119,6531086,358681,5743688,4296716,0,180748,529317,235000,0,17640236,9545559,8094677,8600593,9043017,90430,7438277,105728851,11914572,34450862,46630657,92996091,729203,129459011,0,5491891,FRICK COLLECTION,NEW YORK,NY,10021-4907,Z,Z99,0.616819,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,193910.0,199112,199112,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,59.0,60.0,1 E 70TH ST,3.0,0.0,1200.0,,1.0,13.0,1.0,0.0,3.0,,Z,UN,UN,OT,3.0,,,,,,,A51,A,,
4107,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,131656673,1991,1990,119,167695,34719,35744,39,0,0,75278,35310,49338,313475,325513,-12038,239211,23033,460,98272,1115252,11790,488724,61575,562089,69803,1698522,0,78331,NAT SCULPTURE SOC,NEW YORK,NY,10036-2714,Z,Z99,0.909452,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,3.0,,193901.0,199109,199109,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,9,59.0,40.0,1177 AVE OF THE AMERICAS,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,
4136,3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,131790739,1991,1990,561,252972,8572,107182,484,0,0,0,30081,105775,369210,155390,213820,133407,101635,1016,93671,1544779,1389786,1361,0,1391147,3854,1585190,0,71599,MUSICIANS FND,NEW YORK,NY,10001-3507,Z,Z99,0.139342,36061.0,10001.0,10001.0,5602.0,5600.0,36061.0,4.0,,195305.0,199104,199104,NY,10001.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,200 W 55TH ST,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
4157,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,131873289,1991,1991,119,2800,626,77966,15724,0,0,0,0,55187,97117,107400,-10283,90364,77408,774,0,1014026,401921,341498,243521,986940,402,1483378,22603,68535,BAGBY FND MUSICAL ARTS,NEW YORK,NY,10017-6103,A,A50,0.552325,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,194211.0,199112,199112,NY,10017.0,NEW YORK,PF,O,AR,A,IN,,12,927.0,561.0,501 FIFTH AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A68,A,,
4169,3,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,131926551,1991,1991,119,470,8208,524285,235355,0,0,325,118751,487616,768643,783156,-14513,603694,855808,17116,0,9147053,5012476,3000396,94899,8107771,33825,11819145,0,546305,HARKNESS FND DANCE,NEW YORK,NY,10017-1259,Z,Z99,0.346015,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197903.0,199112,199112,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,145 E 48TH ST SUITE 26C,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
4171,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,131933437,1989,1989,119,2537,31,0,0,0,0,0,0,6650,2568,11075,-8507,11075,2568,51,2568,0,0,0,0,0,0,0,0,64,MUSICA AETERNA,NEW YORK,NY,10169-0007,Z,Z99,0.157687,36061.0,10169.0,10169.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10169.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,
4177,2,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,131947036,1991,1990,119,27552,2,35,0,0,0,21672,0,0,49261,46326,2935,25075,37,1,0,2105,0,180,0,180,7750,3022,0,150,AMOR ARTIS,NEW YORK,NY,10028-0040,Z,Z99,0.472497,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,3.0,,196311.0,199104,199104,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,4,59.0,0.0,175 RIVERSIDE DR,3.0,0.0,1200.0,% JEAN CANNON APT 5H,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,
4214,3,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132509763,1991,1991,602,0,0,0,0,0,0,0,0,1300,0,1772,-1772,1772,0,0,0,0,0,0,0,0,0,0,0,0,ARTISTS CIVIL RIGHTS ASSISTANCE FND,BROOKLYN,NY,11215-3701,Z,Z99,0.795049,36047.0,11215.0,11215.0,5602.0,5600.0,36047.0,,,,199112,199112,NY,11215.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A02,A,,
4259,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132621140,1991,1991,161,401828,0,0,0,0,0,0,0,4000,405428,12367,393061,5659,0,0,0,437076,0,0,0,0,0,901208,0,15833,VIOLA W BERNARD FND,NEW YORK,NY,10021-2651,Z,Z99,0.7892140000000001,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,196812.0,199112,199112,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,180.0,602.0,930 FIFTH AVE,3.0,0.0,1000.0,% HARRY GOODKIN & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
4326,2,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,132760185,1992,1991,8,38000,0,0,0,0,17042,0,0,27,55042,53102,1940,27,0,0,0,176984,0,0,0,0,1282,176984,0,8643,EAKINS PRESS FND,NEW YORK,NY,10023-6226,Z,Z99,0.8737,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197404.0,199206,199206,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,15 W 67TH ST,3.0,0.0,1000.0,%LESLIE KATZ,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,
4360,3,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,132874843,1991,1991,995,19600,0,0,0,0,0,1130,0,0,20730,20167,563,20167,0,0,0,1048,0,0,0,0,0,1048,0,117,LAURA PAWEL DANCE COMPANY,NEW YORK,NY,10023-3402,Z,Z99,0.792862,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197701.0,199112,199112,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,15 W 72ND ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
4362,3,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,132874863,1990,1989,300,61567,865,0,0,0,0,120545,26245,0,182977,179446,3531,177349,0,0,120545,13352,0,0,0,0,6347,13352,0,478,FIJI THEATRE COMPANY,NEW YORK,NY,10012-1114,A,A6F,0.5769850000000001,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,15.0,,197611.0,199006,199006,NY,10012.0,NEW YORK,PC,O,AR,A,IN,,6,0.0,0.0,47 GREAT JONES STREET,1.0,0.0,1200.0,% PING CHONG,1.0,13.0,10.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A65,A,,
4383,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132893085,1991,1990,92,0,1782,0,0,0,0,680,0,0,2462,2451,11,2451,1782,36,0,21310,0,0,0,0,0,21310,1029,1065,NEW YORK DRAMA CRITIC CIRCLE,NEW YORK,NY,10017-5617,Z,Z99,0.37308,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197710.0,199109,199109,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,9,0.0,0.0,655 THIRD AVE,3.0,0.0,2000.0,% ROSENZWEIG & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,
4388,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,132896424,1991,1990,122,141258,3182,0,0,0,0,0,0,118674,144440,125922,18518,118674,0,0,0,50925,0,0,0,0,19710,50925,0,0,LIVING ARCHIVES,NEW YORK,NY,10024-1125,Z,Z99,0.9489360000000001,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,15.0,,197710.0,199110,199110,NY,10024.0,NEW YORK,PC,O,UN,Z,IN,,10,0.0,0.0,262 W 91ST ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,
4395,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132898805,1991,1990,119,383386,598,67103,0,-2495,0,4561,0,0,453153,431582,21571,426804,67171,672,72262,1066904,497608,0,0,497608,71749,1046317,0,45008,PUBLIC ART FND,NEW YORK,NY,10022-4201,Z,Z99,0.9597690000000001,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,197707.0,199106,199106,NY,10022.0,NEW YORK,PC,O,UN,Z,IN,,6,123.0,429.0,1 E 53RD ST 11TH FL,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A1240,A,,
