,EIN,FisYr,TAXPER,SUBSECCD,ACTIV,P1TOTREV,P2TOTAST,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,ACTIV1,ACTIV2,ACTIV3,RULEDATE,NAME,CITY,STATE,ZIP5,ADDRESS,ZIP,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P1GRENTS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TX4940,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,P6TEXCTX,CONTACT,GEN,AFCD,CLASSCD,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,verify,FIPS,MSA_NECH,PMSA,RandNum,STYEAR,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,NTEE1,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,NTEECC,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
4420,112879579,1997,199712,3,90,4619,5487,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90.0,0.0,0.0,198810.0,ASIAN AMERICAN FOUNDATION FOR THE ARTS INC,NEW YORK,NY,10025,517 W 113TH ST STE 54,10025-8052,4423,196,0,0,0,0,0,0,9674,-5055,0,0,0,0,0,0,0,0,5487,0,0,0,0,0,9674,0,0,0,0,5487,0,0,5487,0,5487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.749734,1997,NY,10025,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A23,,,,,,,A23,A
4443,112918759,1997,199712,3,29,36807,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29.0,0.0,0.0,198901.0,AMERICAN FRIENDS OF THE MUSEUM OF THE MIKVEH INC,BROOKLYN,NY,11219,1360 44TH ST,11219-2130,36807,0,0,0,0,0,0,3295,60066,-23259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,1.0,1.0,4.0,1.0,11.0,0.0,1.0,12,,,36047.0,5602.0,5600.0,0.797653,1997,NY,11219,BROOKLYN,PF,S,ZA,A,IN,,A,A,AR,AR,AR,A11,,,,,,,A1150,A
4453,112942428,1997,199712,3,90,20630,20421,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90.0,0.0,0.0,198903.0,PODVAL ARTS AND POETRY GALLERIES LTD,NEW YORK,NY,10122,225 W 34TH ST STE 1504,10122-1599,20630,0,0,0,0,0,0,0,3770,16860,0,0,0,0,0,0,0,0,20421,0,0,0,0,0,3770,0,0,0,0,220,0,0,20421,0,20421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V MOLOT ESQ,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.44843,1997,NY,10122,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A70,,,,,,,A70,A
4457,112945662,1997,199712,3,90,0,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90.0,0.0,0.0,198901.0,SHOSTAKOVICH CULTURAL PROGRAM INC,BAYSIDE,NY,11361,33 16 214TH ST,11361-1624,0,0,0,0,0,0,0,0,109,-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,1.0,1.0,4.0,1.0,11.0,0.0,1.0,12,,,36081.0,5602.0,5600.0,0.099138,1997,NY,11361,BAYSIDE,PF,O,AR,A,IN,,A,A,AR,AR,AR,A20,,,,,,,A20,A
4459,112948645,1997,199706,3,602,152701,208297,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,602.0,0.0,0.0,198909.0,WORLD JOURNAL CULTURE FOUNDATION INC,FLUSHING,NY,11357,141 07 20TH AVE 6 FLR,11357-3097,0,1676,0,0,0,0,0,5966,137919,14782,46694,61476,152701,0,0,0,0,24182,208330,0,7987,151025,152701,152701,131953,91225,40728,91225,0,29668,0,0,208330,24182,184115,1230,0,0,0,0,0,0,29,0,162200,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,,0.0,3.0,1.0,1.0,4.0,1.0,11.0,0.0,1.0,6,,,36081.0,5602.0,5600.0,0.451251,1996,NY,11357,FLUSHING,PF,O,AR,A,IN,,A,A,AR,AR,AR,A33,,,,,,,A33,A
4465,112964287,1996,199612,3,120,0,1,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,120.0,0.0,0.0,199104.0,INTERNATIONAL COMMENTARY SERVICE INC,BROOKLYN,NY,11201,195 ADAMS ST - STE 6H,11201-1808,0,0,0,0,0,0,0,0,3379,-3379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3379,0,0,0,3379,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% GUPTE,0.0,3.0,1000.0,1.0,4.0,1.0,11.0,0.0,1.0,12,,,36047.0,5602.0,5600.0,0.735135,1996,NY,11201,BROOKLYN,PF,O,AR,A,IN,,A,A,AR,AR,AR,A32,,,,,,,A32,A
4489,112994852,1995,199512,3,602,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,602.0,0.0,0.0,199106.0,JUDAICA FOUNDATION FOR RESEARCH & PUBLICATION INC,NEW YORK,NY,10038,132 NASSAU ST 812,10038-2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% HAVAZELET,0.0,3.0,1000.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.683014,1995,NY,10038,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A33,,,,,,,A33,A
4491,112995688,1997,199710,3,90,1250,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,90.0,0.0,0.0,199003.0,MERANOFEST INC,FOREST HILLS,NY,11375,69 11 YELLOWSTON BLVD,11375-3761,1250,0,0,0,0,0,0,1250,1250,0,1250,0,0,0,0,0,0,4439,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-4438,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1250,0,16817,18643,36710,1,1,86,13003,13091,1,1,86,13003,13091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,2.0,1.0,3.0,1.0,11.0,0.0,1.0,10,,,36081.0,5602.0,5600.0,0.125556,1996,NY,11375,FOREST HILLS,PF,O,AR,A,IN,,A,A,AR,AR,AR,A68,,,,,,,A68,A
4504,113005761,1996,199612,3,994,0,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,994.0,0.0,0.0,199005.0,POSITIVE MEDIA FOR YOUTH INC,NEW YORK,NY,10272,PO BOX 1063 PECK SLIP STATION,10272-1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% CHARLES G THOMAS,0.0,3.0,1.0,1.0,15.0,1.0,13.0,200012.0,20.0,12,,,36061.0,5602.0,5600.0,0.955134,1996,NY,10272,NEW YORK,PC,O,AR,A,IN,,A,A,AR,AR,AR,A30,,,,,,,A30,A
4517,113028110,1997,199712,3,429,59462,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,429.0,120.0,408.0,199203.0,LAC HONG MAGAZINE,BROOKLYN,NY,11225,81 OCEAN AVE RM 3G,11225-3601,0,0,0,0,0,59462,0,4206,48250,11212,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% DIEN THOAI,0.0,3.0,2.0,1.0,4.0,1.0,11.0,0.0,1.0,12,,,36047.0,5602.0,5600.0,0.959614,1997,NY,11225,BROOKLYN,PF,O,AR,A,IN,,A,A,AR,AR,AR,A33,,,,,,,A33,A
4526,113038143,1997,199711,3,200,87389,502681,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,200.0,0.0,0.0,199104.0,NOSSEN FOUNDATION INC C/O ISRAEL PRESS,BROOKLYN,NY,11230,1280 OCEAN PKY,11230-5102,29984,0,41599,15806,0,0,0,66500,68492,18897,66687,56405,0,0,198904,269511,468415,0,571157,0,27138,0,57405,0,1992,1000,187,1000,0,34266,0,0,571157,0,502681,1128,0,0,0,0,0,0,0,0,551000,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,,0.0,3.0,1.0,1.0,4.0,1.0,11.0,0.0,1.0,11,,,36047.0,5602.0,5600.0,0.8280489999999999,1996,NY,11230,BROOKLYN,PF,O,AR,A,IN,,A,A,AR,AR,AR,A33,,,,,,,A33,A
4558,113081355,1997,199712,3,91,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,91.0,92.0,0.0,199209.0,DAN FLAVIN ART FOUNDATION INC,NEW YORK,NY,10017,237 PARK AVE 21ST FL,10017-3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% THOMAS J KOVARCIK,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,12,,,36061.0,5602.0,5600.0,0.249401,1997,NY,10017,NEW YORK,PF,S,ZB,A,IN,,A,A,AR,AR,AR,A12,,,,,,,A12,A
4578,113121207,1997,199702,3,122,0,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,122.0,0.0,0.0,199402.0,B KING PRODUCTIONS INC,NEW YORK,NY,10022,350 PARK AVE,10022-6022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% STARR & CO,0.0,3.0,1.0,1.0,4.0,1.0,13.0,0.0,1.0,2,,,36061.0,5602.0,5600.0,0.88895,1996,NY,10022,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A60,,,,,,,A60,A
4694,113227149,1997,199706,3,91,46645,6976,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,91.0,149.0,59.0,199612.0,CLAYWORKS ON COLUMBIA INC,BROOKLYN,NY,11231,195 COLUMBIA STREET,11231-0000,732,0,0,0,0,45912,0,100,48425,-1780,48425,0,0,0,0,0,0,4569,6977,0,0,0,0,0,48325,0,48325,0,0,5554,0,0,6977,0,2408,0,0,0,0,0,0,0,0,0,3300,0,0,0,0,0,0,48425,43876,35089,0,127390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46645,46714,32099,0,125458,0,0,0,0,0,0,,0.0,3.0,3.0,1.0,4.0,1.0,11.0,0.0,1.0,6,,,36047.0,5602.0,5600.0,0.209471,1996,NY,11231,BROOKLYN,PF,O,AR,A,IN,,A,A,AR,AR,AR,A40,,,,,,,A40,A
5043,116036776,1998,199803,3,60,48371,555936,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60.0,91.0,0.0,196311.0,ANONYMOUS ARTS RECOVERY SOCIETY INCORPORATED,NEW YORK,NY,10012,380 W BROADWAY,10012-5115,48371,0,0,0,0,0,0,0,17457,30914,10427,0,0,0,0,0,0,6558,554421,0,985,0,0,0,0,0,0,0,0,23545,0,0,554421,0,549378,0,0,0,0,0,0,0,0,0,20000,0,985,1103,1113,1063,4264,34973,20368,27936,26359,109636,0,0,0,0,0,0,0,0,0,0,656,735,742,709,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3.0,1.0,1.0,3.0,1.0,13.0,0.0,1.0,3,,,36061.0,5602.0,5600.0,0.107438,1997,NY,10012,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A03,,,,,,,A03,A
5141,116101563,1997,199706,3,119,500,141,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,119.0,59.0,0.0,196805.0,FOUNDATION FOR CLASSIC THEATRE & ACADEMY INC,NEW YORK,NY,10022,515 MADISON AVE STE 725,10022-5403,500,0,0,0,0,0,0,0,770,-270,0,0,0,0,0,0,0,0,141,14,14,0,0,0,770,0,0,0,0,141,0,0,141,0,141,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,% N J STATHIS,0.0,3.0,2.0,1.0,4.0,1.0,13.0,0.0,1.0,6,,,36061.0,5602.0,5600.0,0.0424768,1996,NY,10022,NEW YORK,PF,O,AR,A,IN,,A,A,AR,AR,AR,A6E,,,,,,,A6E,A
