,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DOCLOCNO,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,REASON,P6UNRELB,P7INTXAT,P7DIVRIN,P7ESTRIN,P1RENTN,P7INVRIN,P1SECURN,P1OTHG,P1OTHC,P1OTHN,P1SPEVC,P1INVNTG,P1TOTREV,P1NETINC,P1CHGAS,P2TWAGES,P2TPYTAX,P4B_BOND,P4E_BOND,P4B_MORT,P4E_MORT,P4E_RET1,p4b_net,A4A_CNT,A4A_MEMT,A4A_BUST,A4A_IVST,A4A_TAXT,A4A_GVTT,A4A_OTHT,A4A_TOTT,A6OEXPB,A6NTLBB,A6NGLBB,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFFILCD,CLASSCD,RULEDATE,DEDUCTCD,PRFNDNCD,ACTIVCD1,ACTIVCD2,ACTIVCD3,ORGCD,DISTRICT,ADVRULDT,ASSETCD,INCOMECD,FILREQCD,ACCPERMO,ASSETS,INCOME,NEGINC,SEC_NAME,ZIP5,ACCPER,ACTIV1,ACTIV2,ACTIV3,MSA_NECH,PMSA,FIPS,RandNum,NTEECC,NTEE1,zipnew,fipsold,v_errorCd,LEVEL1,LEVEL2,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,STYEAR,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,AFCD,ARED,FNDNCD,FRCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
7976,1,6,1,130452445,199906,1999,200012,29490050066050,,N,Y,0,1,1998,1,6,6,59,0,3288817,0,0,81549,0,0,0,1220470,1220470,4509287,3622155,1122551,605046,0,2063076,1813821,1114863,691270,0,0,0,0,0,0,0,0,0,0,0,0,916596,0,178603,43722,0,N,0,81549,0,0,0,0,0,0,0,1095199,0,3592691,-29464,203802,496094,65693,0,0,0,0,0,948213,0,0,0,0,0,0,0,0,0,0,0,AMERICAN BUSINESS PRESS INC,,675 THIRD AVE,NEW YORK,NY,10017-5704,0.0,3.0,2.0,193504.0,2.0,0.0,59.0,200.0,0.0,1.0,13.0,0.0,6.0,6.0,10.0,6.0,1813821,4509287,,,10017.0,6,59.0,200.0,0.0,5602.0,5600.0,36061.0,0.14645,A01,A,10017.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10017.0,NEW YORK,1304524451999,A0330,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,S41,S,813910.0
7984,1,6,1,130453230,199911,1999,200034,29490218004070,,N,Y,0,1,1998,1,6,7,919,0,4994753,1158250,1000909,48331,0,0,0,3835735,2834826,8830488,8317337,-437963,1357556,0,3943080,4820938,3833487,5258901,0,0,0,0,0,0,0,0,0,0,0,0,0,2629154,0,0,0,Y,48331,0,0,0,0,157341,0,0,0,0,0,7829579,-487758,-59798,1527254,158530,0,0,65521,232652,0,109593,0,0,0,0,0,0,0,0,0,0,0,ASSOCIATION OF NATIONAL ADVERTISERS INC,,708 THIRD AVE,NEW YORK,NY,10017-4201,0.0,3.0,2.0,194208.0,2.0,0.0,919.0,205.0,0.0,5.0,13.0,0.0,6.0,7.0,10.0,11.0,4820938,8830488,,,10017.0,11,919.0,205.0,0.0,5602.0,5600.0,36061.0,0.31982,A30,A,10017.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10017.0,NEW YORK,1304532301999,S41,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,S41,S,813910.0
7990,1,4,1,130508050,199906,1999,200015,29490071098290,,N,Y,0,1,1998,1,5,5,298,12350,0,500000,494331,36778,0,0,0,527295,32964,539645,5012,517631,0,0,629454,572919,74849,55287,508647,0,0,0,0,0,0,0,0,0,0,0,77276,0,-815,-85944,7,N,29218,7560,0,0,0,5669,0,0,0,76461,0,-31962,-36974,0,0,0,0,0,0,0,545620,554605,228527,0,165310,171065,22661,0,542241,376931,0,0,0,BOHEMIAN BENEVOLENT & LITERARY ASSN OF NEW YORK CITY,JAN HIRD POKORNY PRESIDENT,321 E 73RD ST,NEW YORK,NY,10021-3705,0.0,3.0,3.0,196501.0,2.0,0.0,298.0,318.0,319.0,5.0,13.0,0.0,5.0,5.0,10.0,6.0,0,0,,,10021.0,6,298.0,318.0,319.0,5602.0,5600.0,36061.0,0.3739,A70,A,10021.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10021.0,NEW YORK,1305080501999,A23,B,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A23,A,710000.0
8058,1,6,1,130951470,199908,1999,200025,29490127081290,,N,Y,0,1,1998,1,6,6,119,0,2482255,0,0,117497,0,0,0,1830160,1830160,4312415,4375762,2166010,1009096,0,3260566,2512353,1031209,346343,0,0,0,0,0,1300,0,0,0,0,0,0,0,1712663,0,0,0,N,117497,0,0,0,0,0,0,0,0,0,0,4312415,-63347,0,1140793,164055,0,0,0,0,0,2229357,0,0,0,0,0,0,0,0,0,0,0,LEAGUE OF AMERICAN THEATRES AND PRODUCERS INC,,226 W 47TH ST,NEW YORK,NY,10036-1413,0.0,3.0,2.0,194210.0,2.0,0.0,119.0,205.0,279.0,1.0,13.0,0.0,6.0,6.0,10.0,8.0,2512353,4312415,,,10036.0,8,119.0,205.0,279.0,5602.0,5600.0,36061.0,0.36515,A99,A,10036.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10036.0,NEW YORK,1309514701999,A0365,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0365,A,813920.0
8061,1,7,1,130971750,199906,1999,200012,29490057198210,A6AZ,N,Y,0,1,1998,1,3,4,319,0,0,0,0,65,0,0,0,280795,280795,280795,280583,25081,0,0,33487,31110,8618,6029,0,0,0,0,0,0,0,0,0,0,0,0,0,280730,0,0,9,N,65,0,0,0,0,0,0,0,0,0,0,280795,212,0,153940,17364,0,0,0,0,0,24869,20610,8747,1028040,193,0,0,1057590,29550,0,0,0,LIEDERKRANZ OF THE CITY OF NEW YORK,,6 E 87TH ST,NEW YORK,NY,10128-0505,0.0,3.0,1.0,193907.0,2.0,0.0,319.0,0.0,0.0,1.0,13.0,0.0,3.0,4.0,10.0,6.0,31110,280795,,,10128.0,6,319.0,0.0,0.0,5602.0,5600.0,36061.0,0.33931,A6A,A,10128.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1998,NY,10128.0,NEW YORK,1309717501999,A6A,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A6A,A,711130.0
8088,1,6,1,131087160,199912,1999,200049,29490316083340,,N,Y,0,1,1999,1,7,8,200,897500,7691990,4853404,4231190,128798,0,0,0,9707429,5476239,18296919,13329224,6284804,2238250,0,7722244,7404694,1607341,1119891,0,0,0,0,0,0,0,0,0,0,0,0,407505,4307816,-71105,72909,0,N,26766,102032,0,0,0,622214,8102,0,8102,336400,0,13658224,329000,-159099,1564650,214904,0,0,0,0,0,6114903,0,0,0,0,0,0,0,0,0,0,0,MAGAZINE PUBLISHERS OF AMERICA INC,,919 THIRD AVE 22ND FL,NEW YORK,NY,10022-3801,0.0,3.0,2.0,194209.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,7.0,8.0,10.0,12.0,7404694,18296919,,,10022.0,12,200.0,0.0,0.0,5602.0,5600.0,36061.0,0.63551,A01,A,10022.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10022.0,NEW YORK,1310871601999,A33,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0333,A,813920.0
8136,1,6,1,131374145,199912,1999,200038,29490239211030,,N,Y,0,1,1999,1,5,4,200,0,182450,0,0,46842,0,0,0,259873,259873,442323,341424,506170,103750,0,570966,506170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165695,7653,38028,1655,0,Y,46842,0,0,0,0,0,0,0,0,203723,0,276628,-64796,0,95346,7555,0,0,0,0,0,570966,0,0,0,0,0,0,0,0,0,0,0,TEXTILE DISTRIBUTORS ASSOCIATION INC,,104 W 40TH ST,NEW YORK,NY,10018-3617,0.0,3.0,2.0,194409.0,2.0,0.0,200.0,279.0,0.0,1.0,13.0,0.0,5.0,4.0,10.0,12.0,506170,442323,,,10018.0,12,200.0,279.0,0.0,5602.0,5600.0,36061.0,0.06694,A01,A,10018.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10018.0,NEW YORK,1313741451999,A40,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
8145,1,6,1,131394480,199912,1999,200030,29490183147340,,N,Y,0,1,1999,1,6,6,205,0,1139116,0,0,6242,0,0,10841,862934,862934,2002050,1868885,238556,302865,0,1359463,1369961,1254073,1131405,0,0,0,0,0,0,0,0,0,0,0,0,0,835835,0,10016,0,N,0,6242,0,0,0,0,0,0,0,0,10841,2002050,133166,0,320276,40471,0,0,0,0,0,105390,0,0,0,0,0,0,0,0,0,0,0,TRAFFIC AUDIT BUREAU FOR MEDIA MEASUREMENT INC,,420 LEXINGTON AVE STE 2520,NEW YORK,NY,10170-2599,0.0,3.0,2.0,195501.0,2.0,0.0,205.0,0.0,0.0,1.0,13.0,0.0,6.0,6.0,10.0,12.0,1369961,2002050,,,10170.0,12,205.0,0.0,0.0,5602.0,5600.0,36061.0,0.48696999999999996,A01,A,10170.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1999,NY,10170.0,NEW YORK,1313944801999,A30,B,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A30,A,510000.0
8183,1,6,1,131520977,199909,1999,200012,29409057005250,,N,Y,0,1,1998,1,2,3,119,0,50940,0,0,0,0,0,0,0,0,50940,49832,22464,0,0,21356,22464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,50940,1108,0,0,0,0,0,0,0,0,21356,0,0,0,0,0,0,0,0,0,0,0,ART & ANTIQUE DEALERS LEAGUE OF AMERICA INC,,1040 MADISON AVE,NEW YORK,NY,10021-0111,0.0,3.0,1.0,197601.0,2.0,0.0,119.0,0.0,0.0,1.0,13.0,0.0,2.0,3.0,10.0,9.0,22464,50940,,,10021.0,9,119.0,0.0,0.0,5602.0,5600.0,36061.0,0.26354,A01,A,10021.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,1998,NY,10021.0,NEW YORK,1315209771999,A0380,A,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0380,A,813920.0
8209,1,7,1,131572247,199907,1999,200010,29490023002220,A6AI,N,Y,0,1,1998,1,6,5,119,0,197140,0,0,24198,0,151435,330924,540999,389564,738139,553499,769589,0,0,1036186,1101386,299802,331797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34442,0,Y,24198,0,0,0,0,0,0,0,0,0,482359,586704,33205,0,327790,0,0,0,0,0,0,736384,0,0,0,0,0,0,0,0,0,0,0,METROPOLITAN OPERA CLUB INC,,LINCOLN CTR,NEW YORK,NY,10023-0000,0.0,3.0,1.0,194608.0,2.0,0.0,119.0,319.0,0.0,1.0,13.0,0.0,6.0,5.0,10.0,7.0,1101386,738139,,,10023.0,7,119.0,319.0,0.0,5602.0,5600.0,36061.0,0.19571,A11,A,10023.0,36061.0,,O,S,,ZA,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1998,NY,10023.0,NEW YORK,1315722471999,A11,A,3.0,0.0,0.0,10.0,PC,S,ZA,A,IN,,A11,A,813219.0
8216,1,6,1,131583260,199906,1999,200016,29490085058040,,N,N,0,1,1998,1,6,4,919,0,265298,49847,57008,2999,0,0,0,52846,-4162,318144,295822,254920,95000,0,1788973,1841345,1499367,1586425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,641,2358,0,0,0,-7161,0,0,0,0,0,261136,-34686,0,16027,10528,0,0,0,0,0,289606,0,0,0,0,0,0,0,0,0,0,0,STATION REPRESENTATIVES ASSOCIATION INC,KATZ MEDIA J BELOYIANIS,16 W 77TH ST,NEW YORK,NY,10024-5126,0.0,3.0,2.0,196910.0,2.0,0.0,919.0,200.0,0.0,1.0,13.0,0.0,6.0,4.0,10.0,6.0,1857422,310748,,,10024.0,6,919.0,200.0,0.0,5602.0,5600.0,36061.0,0.35143,A30,A,10024.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10024.0,NEW YORK,1315832601999,A01,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A01,A,813319.0
8264,1,4,1,131673348,200002,2000,200036,29490225061210,,N,Y,0,1,1999,1,4,3,908,0,1780,14915,8555,17502,0,0,0,40172,31617,41952,33742,314034,0,0,343109,314034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7755,0,0,0,N,0,17502,0,0,0,6360,0,0,0,0,0,33397,-345,-28730,2813,309,0,0,0,0,0,343109,0,0,0,0,0,0,0,0,0,0,0,OLD GUARD OF THE CITY OF NEW YORK,,307 W 91ST ST,NEW YORK,NY,10024-1001,0.0,3.0,3.0,195203.0,2.0,0.0,908.0,0.0,0.0,1.0,13.0,0.0,4.0,3.0,10.0,2.0,314034,41952,,,10024.0,2,908.0,0.0,0.0,5602.0,5600.0,36061.0,0.92724,A82,A,10024.0,36061.0,,O,O,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1999,NY,10024.0,NEW YORK,1316733482000,W20,C,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,W20,W,813410.0
