,FILER,CODE990,EIN,styear,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,POPCD,REASON,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
12462,990.0,1,130508050,1991,298,10125,0,0,0,88283,0,0,0,88283,88283,98408,22739,1241020,0,0,1370869,1342487,101467,101467,1232035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,N,BOHEMIAN BENEVOLENT & LITERARY ASSOC NEW YORK CITY,NEW YORK,NY,10021-3705,10021.0,36061,A70,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.6370899999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199206,98408,199206,1992,NY,10021.0,NEW YORK,A23,B,6,298.0,318.0,319.0,321 E 73RD ST,3.0,0.0,3000.0,JAN HIRD POKORNY PRESIDENT,2.0,13.0,0.0,10.0,0.0,5.0,6501.0,TY,PC,O,AR,A,IN,,A23,A,710000.0
12537,990.0,1,130872850,1991,279,0,897091,0,0,4386,0,0,0,204111,204111,1101202,1088966,234204,164758,0,227810,265031,5842,30827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199725,5,1,0,N,INTL PHOTO LOCAL 644 IATSE,NEW YORK,NY,10018-6505,10018.0,36061,A65,A,,5602.0,5600.0,,,O,O,0.10327,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199205,1101202,199205,1992,NY,,NEW YORK,A65,A,5,279.0,268.0,0.0,505 EIGHTH AVE,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4104.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,J40,J,813930.0
12549,990.0,1,130951470,1990,119,0,1301079,0,0,150082,0,0,0,840336,840336,2141415,1990545,1380324,285569,0,1699540,2067206,469098,686882,0,0,0,0,0,3005,0,0,0,0,0,0,0,689218,0,1036,6,1,0,N,LEAGUE AMER THEATRES & PRODUCERS,NEW YORK,NY,10036-1413,10036.0,36061,A99,A,10036.0,5602.0,5600.0,36061.0,,O,O,0.17353,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199108,2141415,199108,1991,NY,10036.0,NEW YORK,A0365,A,8,119.0,205.0,279.0,226 W 47TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4210.0,,PC,O,AR,A,IN,,A0365,A,813920.0
12552,990.0,1,130971750,1991,119,9324,3847,0,0,35,0,0,0,266044,266044,279215,282329,23201,0,0,41208,38410,9116,15209,0,0,0,0,0,0,0,0,0,0,0,0,5777,180453,1358,78420,7,1,9,N,LIEDERKRANZ CITY NEW YORK,NEW YORK,NY,10128-0505,10128.0,36061,A6A,A,10128.0,5602.0,5600.0,36061.0,,O,O,0.95439,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199206,273438,199206,1992,NY,10128.0,NEW YORK,A6A,A,6,119.0,916.0,318.0,6 E 87TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3907.0,,PC,O,AR,A,IN,,A6A,A,711130.0
12589,990.0,1,131087160,1991,200,440870,5195326,2441782,2308619,264886,0,0,0,4558988,2250369,10195184,8292762,3735759,1299884,0,4461159,4085208,319203,349449,3735759,0,0,0,0,0,0,0,0,0,0,0,0,1841678,0,10642,6,1,0,N,MAGAZINE PUBLISHERS AMERICA,NEW YORK,NY,10022-3801,10022.0,36061,A01,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.50052,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199112,7886565,199112,1991,NY,10022.0,NEW YORK,A33,A,12,200.0,0.0,0.0,919 THIRD AVE 22ND FL,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4209.0,,PC,O,AR,A,IN,,A0333,A,813920.0
12602,990.0,1,131101367,1990,200,0,72159,0,0,1388,0,44786,-861,99567,54781,171726,141836,27206,0,0,94144,49824,52042,22618,27206,0,0,0,0,0,0,0,0,0,0,0,0,51625,0,2629,6,1,0,Y,NEW YORK SOC ARCHITECTS,NEW YORK,NY,10001-6708,10001.0,36061,A01,A,10001.0,5602.0,5600.0,36061.0,,O,O,0.20878000000000002,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199111,126940,199111,1991,NY,10001.0,NEW YORK,A03,B,11,200.0,205.0,0.0,275 SEVENTH AVE 15TH FLR,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4208.0,,PC,O,AR,A,IN,,A03,A,813920.0
12655,990.0,1,131374145,1991,200,0,245175,0,0,29374,0,0,0,300668,300668,545843,413203,496532,68900,0,518408,500249,2587,3717,0,0,0,0,0,0,0,0,0,0,0,0,151929,58175,56084,5106,6,1,0,Y,TEXTILE DISTRIBUTORS ASSOC,NEW YORK,NY,10018-7904,10018.0,36061,A01,A,10018.0,5602.0,5600.0,36061.0,,O,O,0.50245,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199112,393914,199112,1991,NY,10018.0,NEW YORK,A40,A,12,200.0,279.0,0.0,45 W 36TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4409.0,,PC,O,AR,A,IN,,A40,A,710000.0
12664,990.0,1,131394480,1991,205,0,674511,0,0,29744,0,2014,5690,442111,440097,1116622,1114504,47566,108303,0,653960,382352,606497,334785,0,0,0,0,0,0,0,0,0,0,0,0,0,404662,0,0,6,1,0,N,TRAFFIC AUDIT BUREAU MEDIA MEASUREMENT,NEW YORK,NY,10170-2599,10170.0,36061,A01,A,10170.0,5602.0,5600.0,36061.0,,O,O,0.5987600000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199112,1114608,199112,1991,NY,10170.0,NEW YORK,A30,B,12,205.0,0.0,0.0,420 LEXINGTON AVE 2520,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5501.0,,PC,O,AR,A,IN,,A30,A,510000.0
12674,990.0,1,131406872,1991,263,0,54887,0,0,0,0,0,0,0,0,54887,47119,14928,0,0,26731,28282,19571,13354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,N,INTL ALLIANCE THEATRICAL STAGE EMP & MVG PIC MACH OP US&CAN,BRONX,NY,10036-5701,10036.0,36061,A65,A,,5602.0,5600.0,,,O,O,0.15663,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199112,54887,199112,1991,NY,,BRONX,A65,A,12,263.0,0.0,0.0,1515 BROADWAY 601,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4407.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,A65,A,711110.0
12718,990.0,1,131520977,1991,119,0,67586,0,0,849,0,0,0,849,849,68435,110504,17610,0,0,59679,17610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,ART & ANTIQUE DEALERS LEAGUE AMERICA,NEW YORK,NY,10021-1313,10021.0,36061,A01,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.80062,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199209,68435,199209,1992,NY,10021.0,NEW YORK,A0380,A,9,119.0,0.0,0.0,353 E 78TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7601.0,,PC,O,AR,A,IN,,A0380,A,813920.0
12727,,1,131530748,1991,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,N,CINEMA RADIO TV UNIT 6000,NEW YORK,NY,10036-7209,10036.0,36061,A32,A,10036.0,5602.0,5600.0,36061.0,,O,O,0.31436,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199112,0,199112,1991,NY,10036.0,NEW YORK,A32,A,12,59.0,29.0,349.0,229 W 42ND ST,9.0,0.0,1000.0,,1.0,13.0,0.0,20.0,947.0,5.0,4606.0,,PC,O,AR,A,IN,,A32,A,513120.0
12753,990.0,1,131572247,1990,119,0,140920,0,0,16646,0,174169,229241,440474,266305,581394,423105,329885,0,0,482677,534264,161792,204379,0,25525,0,0,0,0,0,0,0,0,0,0,0,0,0,20418,7,1,0,Y,METRO OPERA CLUB,NEW YORK,NY,10023-0000,10023.0,36061,A11,A,10023.0,5602.0,5600.0,36061.0,,O,S,0.06829,,ZA,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199107,407225,199107,1991,NY,10023.0,NEW YORK,A11,A,7,119.0,319.0,0.0,LINCOLN CENTER,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4608.0,,PC,S,ZA,A,IN,,A11,A,813219.0
12763,990.0,1,131583260,1991,919,0,379262,0,0,39247,0,0,0,39247,39247,418509,485442,107276,186644,0,736119,793030,561910,685754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N,STATION REPRESENTATIVES ASSOC,NEW YORK,NY,10169-0005,10169.0,36061,A30,A,10169.0,5602.0,5600.0,36061.0,,O,O,0.27096,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199206,418509,199206,1992,NY,10169.0,NEW YORK,A01,C,6,919.0,200.0,0.0,230 PARK AVE,3.0,0.0,2000.0,KATZ MEDIA J BELOYIANIS,2.0,13.0,0.0,10.0,0.0,1.0,6910.0,,PC,O,AR,A,IN,,A01,A,813319.0
12830,990.0,1,131673348,1991,908,0,1122,23777,23516,20975,0,0,0,58324,34808,59446,45458,894172,0,0,873435,897592,3805,3420,3230,0,0,0,0,0,0,0,0,0,0,0,0,13572,0,0,4,1,0,N,OLD GUARD CITY NEW YORK,NEW YORK,NY,10024-1001,10024.0,36061,A82,A,10024.0,5602.0,5600.0,36061.0,,O,O,0.055529999999999996,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199202,35930,199202,1992,NY,10024.0,NEW YORK,W20,C,2,908.0,0.0,0.0,307 W 91ST ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5203.0,,PC,O,AR,A,IN,,W20,W,813410.0
13040,990.0,1,131769475,1991,319,0,4350,0,0,13239,0,0,0,47891,47891,52241,42477,219863,0,0,261489,249531,28852,29668,0,0,0,0,0,0,0,0,0,0,0,0,22638,0,12014,0,4,1,0,N,THEATRICAL MUTUAL ASSOC NEW YORK LODGE 1,NYC,NY,10019-0000,10019.0,36061,A65,A,10019.0,5602.0,5600.0,36061.0,,O,O,0.6245,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199112,29603,199112,1991,NY,10019.0,NYC,A65,B,12,319.0,0.0,0.0,211 W 53RD ST,3.0,0.0,3000.0,,2.0,13.0,0.0,20.0,0.0,1.0,5504.0,,PC,O,AR,A,IN,,A65,A,711110.0
13053,990.0,1,131783842,1990,200,0,296628,0,0,8917,0,0,0,19917,19917,316545,215652,242394,0,0,152929,242394,11426,0,242394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,9,N,ANTIQUARIAN BOOKSELLERS ASSOC AMERICA SHOP 2 CONCOURSE,NEW YORK,NY,10020-1605,10020.0,36061,A03,A,10020.0,5602.0,5600.0,36061.0,,O,O,0.9507399999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199012,316545,199012,1990,NY,10020.0,NEW YORK,A0333,A,12,200.0,0.0,0.0,50 ROCKERFELLER PLAZA,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5109.0,2 CONCOURSE,PC,O,AR,A,IN,,A0333,A,813920.0
13071,990.0,1,131813049,1991,123,69689,0,0,0,204,9967,0,0,21480,21480,91169,82812,-4037,16893,0,22451,12622,34845,16659,0,0,0,0,0,0,0,0,0,0,0,0,0,18162,0,3114,4,1,0,N,AMER COMM AFRICA,NEW YORK,NY,10038-4010,10038.0,36061,A70,A,10038.0,5602.0,5600.0,36061.0,,O,O,0.0232,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199112,91169,199112,1991,NY,10038.0,NEW YORK,A70,C,12,123.0,124.0,480.0,17 JOHN STREET 12TH FLOOR,3.0,0.0,3000.0,AFRICA ACTION,2.0,13.0,0.0,10.0,0.0,1.0,7911.0,,PC,O,AR,A,IN,,A70,A,710000.0
13086,990.0,1,131830960,1991,205,0,84373,96353,96000,16276,0,0,0,986083,890083,1070456,1128004,164224,0,0,433241,408488,115469,244264,0,0,0,0,0,0,0,0,0,0,0,0,0,798454,0,75000,6,1,0,Y,INTL RADIO & TELEVISION SOC,NEW YORK,NY,10170-0002,10170.0,36061,A32,A,,5602.0,5600.0,,,O,O,0.8832399999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199112,974456,199112,1991,NY,,NEW YORK,A32,A,12,205.0,120.0,0.0,420 LEXINGTON AVE,3.0,,2000.0,,,,0.0,,,,5406.0,,PC,O,AR,A,IN,,A32,A,513120.0
13101,990.0,1,131841248,1990,265,0,0,448335,460400,65740,0,0,0,1676914,1216514,1676914,1435510,438338,0,0,1151035,1077274,493701,638936,0,0,0,0,0,0,0,0,0,0,0,0,0,1140904,0,21935,9,1,0,N,INTL PHOTOGRAPHERS 644 WELFARE FND,NEW YORK,NY,10011-5126,10011.0,36061,A40,A,10011.0,5602.0,5600.0,36061.0,,O,O,0.57386,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199108,1216514,199108,1991,NY,10011.0,NEW YORK,A40,A,8,265.0,0.0,0.0,505 EIGHTH AVE,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,5.0,5811.0,,PC,O,AR,A,IN,,A40,A,710000.0
13137,990.0,1,131866133,1991,263,0,135958,0,0,45,0,0,0,4630,4630,140588,138350,32763,0,0,36383,32763,5858,0,32763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4585,5,1,0,N,INTL ALLIANCE THEATRICAL STAGE EMP & MVG PIC MACH OP US&CAN,NEW YORK,NY,10018-6505,10018.0,36061,A65,A,,5602.0,5600.0,,,O,O,0.98893,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199112,140588,199112,1991,NY,,NEW YORK,A65,A,12,263.0,0.0,0.0,505 EIGHTH AVE 16TH FLR,9.0,,3000.0,,,,0.0,,,,6205.0,PIC MACH OP-US&CAN,PC,O,AR,A,IN,,A65,A,711110.0
13237,990.0,1,131951979,1990,205,1700,496991,0,0,40959,0,0,0,1505237,1505237,2003928,2036619,591150,7400,0,847794,773039,211716,181889,0,0,0,0,0,0,0,0,0,0,0,0,0,1457232,0,1016,6,1,0,Y,NAT ACAD TELEVISION ARTS & SCIENCES,NEW YORK,NY,10019-2211,10019.0,36061,A03,A,10019.0,5602.0,5600.0,36061.0,,O,O,0.69302,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199108,2003928,199108,1991,NY,10019.0,NEW YORK,A0332,A,8,205.0,0.0,0.0,111 W 57TH ST,6.0,0.0,2000.0,,2.0,13.0,0.0,10.0,3005.0,5.0,7610.0,,PC,O,AR,A,IN,,A0332,A,813920.0
13290,990.0,1,131996451,1991,920,0,199500,0,0,33406,0,0,0,53075,53075,252575,264313,255607,102525,0,399026,396898,131681,141291,0,0,0,0,0,0,0,0,0,0,0,0,0,19669,0,0,6,1,0,N,MEDIA RATING CNCL,NEW YORK,NY,10019-3211,10019.0,36061,A01,A,10019.0,5602.0,5600.0,36061.0,,O,O,0.05259,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199112,252575,199112,1991,NY,10019.0,NEW YORK,A30,B,12,920.0,905.0,0.0,200 W 57TH ST STE 204,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,6512.0,,PC,O,AR,A,IN,,A30,A,510000.0
13343,990.0,1,132562532,1991,205,0,0,0,0,800,0,0,0,303125,303125,303125,298792,24054,0,0,23974,27184,4253,3130,0,0,0,0,0,0,0,0,0,0,0,0,0,302325,0,0,6,1,0,N,AMER SOC JOURNALISTS & AUTHORS,NEW YORK,NY,10036-5503,10036.0,36061,A01,A,10036.0,5602.0,5600.0,36061.0,,O,O,0.35338,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199206,303125,199206,1992,NY,10036.0,NEW YORK,A70,A,6,205.0,120.0,279.0,1501 BROADWAY,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,6801.0,,PC,O,AR,A,IN,,A70,A,710000.0
13362,990.0,1,132576830,1990,267,0,0,388504,0,1611352,0,0,0,1999856,1999856,1999856,1436698,19265848,0,0,18952370,19772357,249680,506509,19265848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,N,GRAPHIC ARTS INTL UNION LOC 119B NY PRNTRS LEAG SPCL DSPLCMT BNFT FND,NEW YORK,NY,10003-3305,10003.0,36061,A99,A,10003.0,5602.0,5600.0,36061.0,,O,O,0.7711100000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199106,1999856,199106,1991,NY,10003.0,NEW YORK,A40,C,6,267.0,0.0,0.0,27 UNION SQ RM 204,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,2.0,6803.0,PCL DSPLCMT BNFT FND,PC,O,AR,A,IN,,A1240,A,813219.0
