,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DOCLOCNO,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,REASON,P6UNRELB,P7INTXAT,P7DIVRIN,P7ESTRIN,P1RENTN,P7INVRIN,P1SECURN,P1OTHG,P1OTHC,P1OTHN,P1SPEVC,P1INVNTG,P1TOTREV,P1NETINC,P1CHGAS,P2TWAGES,P2TPYTAX,P4B_BOND,P4E_BOND,P4B_MORT,P4E_MORT,P4E_RET1,p4b_net,A4A_CNT,A4A_MEMT,A4A_BUST,A4A_IVST,A4A_TAXT,A4A_GVTT,A4A_OTHT,A4A_TOTT,A6OEXPB,A6NTLBB,A6NGLBB,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFFILCD,CLASSCD,RULEDATE,DEDUCTCD,PRFNDNCD,ACTIVCD1,ACTIVCD2,ACTIVCD3,ORGCD,DISTRICT,ADVRULDT,ASSETCD,INCOMECD,FILREQCD,ACCPERMO,ASSETS,INCOME,NEGINC,SEC_NAME,ZIP5,MSA_NECH,PMSA,FIPS,NTEECC,NTEE1,zipnew,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,STYEAR,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,ARED,FNDNCD,FRCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
8064,1,4,1,132857308,199810,1998,199917,82490100093479,,N,Y,0,1,1997,1,4,4,123,0,134195,0,0,12749,0,0,0,48946,48946,183141,169577,198313,73500,0,269592,281886,84843,83573,0,0,0,0,0,0,0,0,0,0,0,0,0,16197,20000,0,0,N,12749,0,0,0,0,0,0,0,0,20000,0,183141,13564,0,13615,7673,0,0,0,0,0,184749,0,0,0,0,0,0,0,0,0,0,0,WOMENS FORUM INC,,6 E 39TH ST FL 6,NEW YORK,NY,10016-0112,0.0,3.0,3.0,197602.0,2.0,0.0,123.0,559.0,0.0,1.0,13.0,0.0,4.0,4.0,10.0,10.0,281886,183141,,,10016.0,5602.0,5600.0,36061.0,A70,A,10016.0,36061.0,,O,O,0.45533,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10016.0,NEW YORK,1328573081998,R24,C,10,123.0,559.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,R24,R,813311.0
8073,1,4,1,132931071,199812,1998,199922,82490135033379,,N,Y,0,1,1998,1,0,3,91,200,48865,0,0,0,0,0,0,8480,8480,57545,66058,-3251,0,0,6262,-3251,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8480,0,0,N,0,0,0,0,0,0,0,0,0,8480,0,57545,-8513,0,0,0,0,0,0,0,0,5262,0,0,0,0,0,0,0,0,0,0,0,SOCIETY OF ANIMAL ARTISTS INC,,47 FIFTH AVE,NEW YORK,NY,10003-4303,0.0,3.0,1.0,198306.0,2.0,0.0,91.0,126.0,0.0,1.0,13.0,0.0,0.0,3.0,10.0,12.0,3251,57545,,,10003.0,5602.0,5600.0,36061.0,A20,A,10003.0,36061.0,,O,O,0.13122,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10003.0,NEW YORK,1329310711998,A0340,A,12,91.0,126.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0340,A,813920.0
8074,1,4,1,132932563,199812,1998,199930,82409184001359,,N,Y,0,1,1998,1,4,3,119,550,2890,0,0,16156,0,0,0,44830,44830,48270,24292,116574,0,0,112690,116574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20094,0,8580,0,0,N,0,0,0,0,16156,0,0,0,0,28674,0,28176,3884,0,0,0,0,0,0,0,0,112690,0,0,0,0,0,0,0,0,0,0,0,METROPOLITAN SOCIETY OF KARDAMYLIANS INC C O MARC LIVANOS,,7917 THIRD AVE,BROOKLYN,NY,11209-3601,0.0,3.0,1.0,197805.0,2.0,0.0,119.0,123.0,0.0,1.0,11.0,0.0,4.0,3.0,10.0,12.0,116574,48270,,,11209.0,5602.0,5600.0,36047.0,A99,A,11209.0,36047.0,,O,O,0.6163,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36047.0,1998,NY,11209.0,BROOKLYN,1329325631998,A99,C,12,119.0,123.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A99,A,710000.0
8080,1,4,1,133021168,199902,1999,199939,82490226046389,,N,Y,0,1,1998,1,1,3,64,38837,0,0,0,0,0,0,0,52689,52689,91526,50706,6730,0,0,8736,9330,0,2600,0,0,0,0,0,0,0,0,0,0,0,0,42826,0,9863,0,0,Y,0,0,0,0,0,0,0,0,0,52690,0,48700,-2005,0,0,0,0,0,0,0,0,8736,0,0,0,0,0,0,0,0,0,0,0,COMITE DEL DESFILE DE LA HISPANIDAD INC,,174 176 5TH AVE STE 401,NEW YORK,NY,10010-0000,0.0,3.0,3.0,198005.0,2.0,0.0,64.0,90.0,92.0,1.0,13.0,0.0,1.0,3.0,10.0,2.0,9330,91526,,,10010.0,5602.0,5600.0,36061.0,A84,A,10010.0,36061.0,,O,O,0.34421999999999997,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10010.0,NEW YORK,1330211681999,A84,C,2,64.0,90.0,92.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A84,A,712120.0
8087,1,4,1,133109557,199812,1998,199952,82490345139389,,N,Y,0,1,1998,1,4,4,123,173111,186974,69986,63906,6110,90984,0,0,87663,23757,447748,387968,201632,42485,70193,303761,311355,102028,109723,201632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11567,0,N,0,6110,0,0,0,6080,0,0,0,0,0,383842,-4126,4025,76908,11908,0,0,0,0,201733,201733,0,0,0,0,0,0,0,0,0,0,0,DEMOCRATIC SOCIALISTS OF AMERICA INC,,180 VARICK ST 12TH FLOOR,NEW YORK,NY,10014-4606,0.0,3.0,3.0,198807.0,2.0,0.0,123.0,521.0,0.0,1.0,13.0,0.0,4.0,4.0,10.0,12.0,303761,468743,,,10014.0,5602.0,5600.0,36061.0,A70,A,10014.0,36061.0,,O,O,0.80628,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10014.0,NEW YORK,1331095571998,A70,C,12,123.0,521.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,V24,V,541720.0
8088,1,4,1,133112767,199812,1998,199934,82409205012149,Z99Z,N,Y,0,1,1998,1,3,3,119,0,59889,0,0,3979,0,0,0,27273,13073,87162,63279,69451,0,0,60323,70083,555,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167,9,N,0,0,0,0,3979,0,14127,14200,-73,0,0,72962,9682,0,0,0,0,0,0,0,0,59768,3596,199126,0,16110,0,0,232614,232614,0,0,0,INTERNATIONAL COUNCIL FOR TRADITIONAL MUSIC,% DEPT OF MUSIC COLUMBIA UNIVERSITY,DEPT OF MUSIC COLUMBIA UNIVERSITY,NEW YORK,NY,10027-0000,0.0,3.0,1.0,198602.0,2.0,0.0,119.0,93.0,0.0,5.0,13.0,0.0,3.0,3.0,10.0,12.0,70083,87162,,,10027.0,5602.0,5600.0,36061.0,A68,A,10027.0,36061.0,,O,O,0.703,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10027.0,NEW YORK,1331127671998,A68,A,12,119.0,93.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A68,A,711130.0
8876,1,4,1,222805952,199812,1998,199952,82490345112039,,N,Y,0,1,1998,1,5,4,119,163800,0,0,0,39,34120,0,0,39,39,163839,175191,618130,15000,0,782763,741751,153281,123622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,39,0,0,0,0,0,0,0,0,0,0,163839,-11352,0,13200,2367,0,0,144043,103000,0,629482,0,0,0,0,0,0,0,0,0,0,0,JAPANESE HERITAGE FOUNDATION INC,,401 FIFTH AVE STE 2ND FL,NEW YORK,NY,10016-3317,0.0,3.0,3.0,199001.0,2.0,0.0,119.0,0.0,0.0,1.0,13.0,0.0,5.0,4.0,10.0,12.0,782763,180472,,,10016.0,5602.0,5600.0,36061.0,A23,A,10016.0,36061.0,,O,O,0.4176,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,1998,NY,10016.0,NEW YORK,2228059521998,A23,A,12,119.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A23,A,710000.0
18650,1,4,1,510163940,199812,1998,199926,82409163101049,,N,Y,0,1,1998,1,0,3,64,26400,0,0,0,0,0,0,0,0,0,26400,26886,-4859,0,0,-8746,0,-4373,-4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,26400,-486,0,0,0,0,0,0,0,0,-4373,0,0,0,0,0,0,0,0,0,0,0,AFRICAN-AMERICAN DAY PARADE INC,,PO BOX 501,NEW YORK,NY,10030-0501,0.0,3.0,3.0,197510.0,2.0,0.0,64.0,908.0,0.0,1.0,13.0,0.0,0.0,3.0,10.0,12.0,0,26400,,,10030.0,5602.0,5600.0,36061.0,A23,A,10030.0,36061.0,,O,O,0.14774,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10030.0,NEW YORK,5101639401998,A23,A,12,64.0,908.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A23,A,710000.0
30302,1,5,1,133216947,199812,1998,199922,82409142007379,,N,Y,0,1,1998,1,3,3,30,77500,0,0,0,646,0,0,0,5308,5308,82808,65012,81660,0,0,63864,81660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3367,0,1295,7,N,0,0,0,0,646,0,0,0,0,0,0,82808,17796,0,0,0,0,0,0,0,0,63864,25971,0,9032,12756,0,0,47759,38727,0,0,0,ASSOCIATION FOR THE ADVANCEMENT OF CREATIVE MUSICIANS NYC CHAPTER INC,,PO BOX 187,NEW YORK,NY,10108-0187,0.0,3.0,1.0,198507.0,1.0,15.0,30.0,0.0,0.0,1.0,13.0,0.0,3.0,3.0,10.0,12.0,81660,82808,,,10108.0,5602.0,5600.0,36061,A60,A,10108.0,36061.0,,O,O,0.97751,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1998,NY,10108.0,NEW YORK,1332169471998,A0168,A,12,30.0,0.0,0.0,3.0,0.0,15.0,10.0,PC,O,AR,A,IN,,A0168,A,813319.0
33253,1,5,1,237323039,199806,1998,199935,82409212037149,A63Z,N,Y,0,1,1997,1,0,3,119,42893,0,0,0,121,0,0,0,5311,5311,48204,55001,-299,0,0,6498,-299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5190,0,0,9,N,0,0,0,0,121,0,0,0,0,0,0,48204,-6797,0,0,0,0,0,0,0,0,6498,119450,0,11430,131,0,0,131011,119581,0,0,0,KATHRYN POSIN DANCE FOUNDATION INC,% TREAS,20 BOND ST,NEW YORK,NY,10012-2406,0.0,3.0,1.0,197310.0,1.0,16.0,119.0,59.0,0.0,1.0,13.0,0.0,0.0,3.0,10.0,6.0,299,48204,,,10012.0,5602.0,5600.0,36061.0,A63,A,10012.0,36061.0,,O,O,0.13677999999999998,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1997,NY,10012.0,NEW YORK,2373230391998,A63,A,6,119.0,59.0,0.0,3.0,0.0,16.0,10.0,PC,O,AR,A,IN,,A63,A,711120.0
49602,1,6,1,42977509,199806,1998,199903,29490353005038,,N,Y,0,1,1997,1,4,4,92,10176,63248,0,0,16791,0,0,2253,76704,76704,150128,92958,283975,21520,0,239178,283975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12373,0,-393,45678,0,N,16791,0,0,0,0,0,0,0,0,11980,2253,137755,44797,0,0,921,0,0,0,0,0,239178,0,0,0,0,0,0,0,0,0,0,0,SCIENCE FICTION WRITERS OF AMERICA INC,% IAN STROCK,1380 E 17TH ST STE 301,BROOKLYN,NY,11230-6011,0.0,3.0,2.0,198909.0,2.0,0.0,92.0,0.0,0.0,1.0,11.0,0.0,4.0,4.0,10.0,6.0,283975,150128,,,11230.0,5602.0,5600.0,36047.0,A01,A,11230.0,36047.0,,O,O,0.7925300000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36047.0,1997,NY,11230.0,BROOKLYN,429775091998,A0370,A,6,92.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A0370,A,813920.0
50235,1,6,1,112022650,199812,1998,199930,82490177174399,,N,Y,0,1,1998,1,2,4,920,0,21543,0,0,0,0,0,0,137525,137525,159068,162271,21056,0,0,25948,22527,1688,1471,21056,0,0,0,0,0,0,0,0,0,0,0,0,129054,0,8471,0,Y,0,0,0,0,0,0,0,0,0,0,0,159068,-3203,0,22800,1891,0,0,0,0,24260,24260,0,0,0,0,0,0,0,0,0,0,0,AUTO BODY CRAFTSMENS GUILD INC,,65 60 MYRTLE AVE,GLENDALE,NY,11385-7067,0.0,3.0,2.0,196506.0,2.0,0.0,920.0,0.0,0.0,1.0,11.0,0.0,2.0,4.0,10.0,12.0,22527,159068,,,11385.0,5602.0,5600.0,36081.0,A01,A,11385.0,36081.0,,O,O,0.77349,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,1998,NY,11385.0,GLENDALE,1120226501998,A40,A,12,920.0,0.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,A40,A,710000.0
50283,1,6,1,112601204,199809,1998,199943,82409275125209,,N,Y,0,1,1997,1,3,3,123,0,1180,0,0,570,0,0,0,49207,49207,50387,41092,32792,0,0,23497,32792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48636,0,0,0,N,0,0,0,0,570,0,0,0,0,0,0,50387,9294,0,0,0,0,0,0,0,0,23497,0,0,0,0,0,0,0,0,0,0,0,NASSAU-SUFFOLK CHAPTER OF THE FINANCIAL MANAGERS SOCIETY INC,% ASTORIA FED SAVNGS ATN A BLAZK JR,71 02 FOREST AVE,RIDGEWOOD,NY,11385-0000,0.0,3.0,1.0,198302.0,2.0,0.0,123.0,205.0,0.0,5.0,11.0,0.0,3.0,3.0,10.0,9.0,32792,50387,,,11385.0,5602.0,5600.0,36081.0,A70,A,11385.0,36081.0,,O,O,0.74412,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,1997,NY,11385.0,RIDGEWOOD,1126012041998,S41,C,9,123.0,205.0,0.0,3.0,0.0,0.0,10.0,PC,O,AR,A,IN,,S41,S,813910.0
