,FILER,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P1GRENTS,P2CASHBV,P2MORTG
4039,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112801382,1996,1995,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,MOVEMENT INTERFACE RES INST,BROOKLYN,NY,11206-3040,Z,Z99,0.9372790000000001,36047.0,11206.0,11206.0,5602.0,5600.0,36047.0,4.0,,198702.0,199606,199606,NY,11206.0,BROOKLYN,PF,O,UN,Z,IN,,6,209.0,0.0,31 LEONARD ST 1M,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,,
4107,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112879579,1996,1996,2,1,90,2000,0,0,0,0,0,0,0,0,2000,162,1838,0,0,0,0,10542,0,0,0,0,0,10542,0,0,ASIAN AMER FND ARTS,NEW YORK,NY,10025-8052,Z,Z99,0.21371199999999999,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,4.0,,198810.0,199612,199612,NY,10025.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,517 W 113TH ST STE 54,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,,
4132,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112918759,1996,1996,0,3,29,28224,0,0,0,0,0,0,0,178,28224,43073,-14849,0,0,0,0,0,0,0,0,0,0,0,0,1,AMER FRIENDS MUS MIKVEH,BROOKLYN,NY,11219-2130,Z,Z99,0.239877,36047.0,11219.0,11219.0,5602.0,5600.0,36047.0,4.0,,198901.0,199612,199612,NY,11219.0,BROOKLYN,PF,O,UN,Z,IN,,12,0.0,0.0,1360 44TH ST,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1150,A,,,
4143,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112942428,1995,1995,1,2,90,16900,0,0,0,0,0,0,0,0,16900,15843,1057,15843,0,0,0,5464,0,0,0,0,0,5464,0,0,PODVAL ARTS & POETRY GALLERIES,BROOKLYN,NY,11235-5841,Z,Z99,0.559457,36047.0,11235.0,11235.0,5602.0,5600.0,36047.0,4.0,,198903.0,199512,199512,NY,11235.0,BROOKLYN,PF,O,UN,Z,IN,,12,0.0,0.0,150 BRIGHTON 15TH ST,3.0,0.0,1000.0,V MOLOT ESQ,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,,
4148,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112945662,1996,1996,0,0,90,0,0,0,0,0,0,0,0,0,0,106,-106,0,0,0,0,0,0,0,0,0,0,0,0,1,SHOSTAKOVICH CULTURAL PROGRAM,BAYSIDE,NY,11361-1624,Z,Z99,0.0582539,36081.0,11361.0,11361.0,5602.0,5600.0,36081.0,4.0,,198901.0,199612,199612,NY,11361.0,BAYSIDE,PF,O,UN,Z,IN,,12,0.0,0.0,33 16 214TH ST,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A20,A,,,
4151,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112948645,1997,1996,4,4,602,0,1676,0,0,0,0,0,0,5966,152701,137919,14782,46694,61476,1230,152701,208297,0,0,0,0,24182,208330,0,7987,WORLD JOURNAL CULTURE FND,FLUSHING,NY,11354-0000,Z,Z99,0.49473999999999996,36081.0,11354.0,11354.0,5602.0,5600.0,36081.0,4.0,,198909.0,199706,199706,NY,11354.0,FLUSHING,PF,O,UN,Z,IN,,6,0.0,0.0,141 07 20TH AVE,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
4159,PF,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112964287,1995,1995,1,1,120,500,0,0,0,0,0,728,0,0,1228,892,336,0,0,0,0,3379,0,0,0,0,0,347,0,0,INTL COMMENTARY SERVICE,BROOKLYN,NY,11201-1808,A,A32,0.870337,36047.0,11201.0,11201.0,5602.0,5600.0,36047.0,4.0,,199104.0,199512,199512,NY,11201.0,BROOKLYN,PF,O,AR,A,IN,,12,0.0,0.0,195 ADAMS ST - STE 6H,3.0,0.0,1000.0,% GUPTE,1.0,11.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A32,A,,,
4165,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112976829,1996,1995,1,2,91,10958,0,0,0,0,0,0,0,0,10958,10612,346,0,0,0,346,4463,0,0,0,0,0,4463,0,1,AMER MEDALLIC SCULPTURE ASSOC,NEW YORK,NY,10021-0467,Z,Z99,0.250502,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,199003.0,199606,199606,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,1394 3RD AVE,3.0,0.0,1000.0,% GANZ HOLLINGER & TOWE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,,
4180,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112994852,1995,1995,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUDAICA FND RES & PUBLICATION,NEW YORK,NY,10038-2400,Z,Z99,0.618052,36061.0,10038.0,10038.0,5602.0,5600.0,36061.0,4.0,,199106.0,199512,199512,NY,10038.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,132 NASSAU ST 812,3.0,0.0,1000.0,% HAVAZELET,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
4182,PF,3,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,112995688,1995,1994,1,1,90,3900,162,0,0,0,0,4725,0,2500,8787,21704,-12917,16817,162,2,0,86,0,0,0,0,4439,86,0,0,MERANOFEST,NEW YORK,NY,10006-1705,A,A68,0.6743979999999999,36061.0,10006.0,10006.0,5602.0,5600.0,36061.0,3.0,,199003.0,199510,199510,NY,10006.0,NEW YORK,PF,O,AR,A,IN,,10,,,,,,,,,,,,,,A,AR,AR,AR,,,,,,,,A68,A,,,
4195,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113005761,1995,1995,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE MEDIA YOUTH,NEW YORK,NY,10272-1063,B,B99,0.890818,36061.0,10272.0,10272.0,5602.0,5600.0,36061.0,4.0,,199005.0,199512,199512,NY,10272.0,NEW YORK,PF,O,ED,B,IN,,12,0.0,0.0,PO BOX 1063 PECK SLIP STA,3.0,200012.0,1000.0,% CHARLES G THOMAS,1.0,11.0,1.0,0.0,1.0,,B,ED,ED,ED,3.0,,,,,,,A30,A,,,
4206,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113028110,1996,1996,3,3,429,0,0,0,0,0,0,55945,0,0,55945,41341,14604,0,0,0,0,36735,0,0,0,0,0,0,0,0,LAC HONG MAGAZINE,BROOKLYN,NY,11218-1754,Z,Z99,0.992877,36047.0,11218.0,11218.0,5602.0,5600.0,36047.0,4.0,,199203.0,199612,199612,NY,11218.0,BROOKLYN,PF,O,UN,Z,IN,,12,120.0,408.0,81 OCEAN PKY RM 3G,3.0,0.0,2000.0,% DIEN THOAI,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
4215,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113038143,1996,1995,4,4,200,230000,0,29580,10663,0,0,0,0,42000,270243,43005,227238,42169,40243,805,0,483784,0,209146,245167,454313,0,530900,0,19945,NOSSEN FND,BROOKLYN,NY,11230-5102,Z,Z99,0.41822700000000007,36047.0,11230.0,11230.0,5602.0,5600.0,36047.0,4.0,,199104.0,199611,199611,NY,11230.0,BROOKLYN,PF,O,UN,Z,IN,,11,0.0,0.0,1280 OCEAN PKY,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
4248,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113081355,1996,1996,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAN FLAVIN ART FND,NEW YORK,NY,10017-3140,Z,Z99,0.782926,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199209.0,199612,199612,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,92.0,0.0,237 PARK AVE 21ST FL,3.0,0.0,1000.0,% THOMAS J KOVARCIK,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
4272,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113131714,1996,1996,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEACE UNITY & PROSPERITY FND,RICHMOND HILL,NY,11419-1023,A,A99,0.06772260000000001,36081.0,11419.0,11419.0,5602.0,5600.0,36081.0,4.0,,199607.0,199612,199612,NY,11419.0,RICHMOND HILL,PF,O,AR,A,IN,,12,0.0,0.0,95 54 111TH ST,3.0,0.0,1000.0,% SARITA SACHOEUA,1.0,11.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A99,A,,,
4286,PF,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113137086,1996,1996,4,4,560,120000,6658,0,0,0,0,0,0,78077,126658,78696,47962,78077,6039,60,6039,348636,0,0,0,0,0,348636,0,15993,J Z L FND,HOLLISWOOD,NY,11423-0000,A,A99,0.6907369999999999,36081.0,11423.0,11423.0,5602.0,5600.0,36081.0,4.0,,199508.0,199612,199612,NY,11423.0,HOLLISWOOD,PF,O,AR,A,IN,,12,0.0,0.0,87 09 CLIO ST,3.0,0.0,1000.0,% MICKEY WOHL,1.0,11.0,1.0,0.0,2.0,,A,AR,AR,AR,3.0,,,,,,,A99,A,,,
4379,PF,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,113227149,1996,1995,2,3,91,0,0,0,0,0,0,46714,0,0,46714,43876,2838,43876,0,0,0,14651,0,0,0,0,10464,14394,0,0,CLAYWORKS COLUMBIA,BROOKLYN,NY,11231-0000,A,A47,0.75252,36047.0,11231.0,11231.0,5602.0,5600.0,36047.0,4.0,,199612.0,199606,199606,NY,11231.0,BROOKLYN,PF,O,AR,A,IN,,6,149.0,59.0,195 COLUMBIA STREET,3.0,0.0,3000.0,,1.0,11.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A40,A,,,
4642,PF,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,116036776,1996,1995,5,3,60,37848,0,0,0,0,0,0,0,0,37848,14725,23123,7867,0,0,0,512119,0,0,0,0,6558,512119,0,1113,ANONYMOUS ARTS RECOVERY SOC,NEW YORK,NY,10012-5115,Z,Z99,0.7123550000000001,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,3.0,,196311.0,199603,199603,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,3,91.0,0.0,380 W BROADWAY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A03,A,,,
4744,PF,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,116101563,1996,1995,1,1,119,1000,0,0,0,0,0,0,0,0,1000,754,246,0,0,0,0,411,0,0,0,0,0,411,0,14,FND CLASSIC THEATRE & ACAD,NEW YORK,NY,10036-7211,Z,Z99,0.434517,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,4.0,,196805.0,199606,199606,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,6,59.0,0.0,220 W 42ND ST,3.0,0.0,2300.0,% N J STATHIS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,,
4831,PF,2,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,130429640,1996,1996,8,6,65,321556,0,1767604,760613,0,0,748146,90000,638050,3597919,2346100,1251819,2217310,3099346,0,2338733,32830829,3248664,0,0,3248664,6467,37125704,0,1585970,AMER ACAD ARTS & LETTERS,NEW YORK,NY,10032-7501,Z,Z99,0.8162,36061.0,10032.0,10032.0,5602.0,5600.0,36061.0,2.0,,193503.0,199612,199612,NY,10032.0,NEW YORK,PF,O,UN,Z,IN,,12,207.0,60.0,633 W 155TH ST,3.0,0.0,2300.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A25,A,,,
4844,PF,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,131624012,1996,1996,9,9,119,1335152,136094,5971607,15986138,0,480219,1818717,452800,0,25727927,10676623,15051304,9245337,20736295,414726,10904286,191620683,12185494,112448671,44540956,169175121,6602231,191620683,0,8255729,FRICK COLLECTION,NEW YORK,NY,10021-4907,Z,Z99,0.42059399999999997,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,193910.0,199612,199612,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,59.0,60.0,1 E 70TH ST,3.0,0.0,1200.0,,1.0,13.0,1.0,0.0,3.0,,Z,UN,UN,OT,3.0,,,,,,,A51,A,,,
4862,PF,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,131656673,1995,1994,6,5,119,91946,9347,35706,132768,0,11100,161564,41275,23132,442431,411591,30840,341012,144185,1442,184777,1039145,151130,653657,0,804787,113650,1584057,0,74099,NAT SCULPTURE SOC,NEW YORK,NY,10036-2714,Z,Z99,0.7187319999999999,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,3.0,,193901.0,199509,199509,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,9,59.0,40.0,1177 AVE OF THE AMERICAS,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,,
4890,PF,3,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,131790739,1997,1996,6,6,561,174309,4796,79509,160211,0,0,0,12428,83480,418825,153927,264898,115341,211950,4239,0,2120162,431883,1026445,161072,1619400,0,2120162,0,99074,MUSICIANS FND,NEW YORK,NY,10001-3507,Z,Z99,0.570295,36061.0,10001.0,10001.0,5602.0,5600.0,36061.0,4.0,,195305.0,199704,199704,NY,10001.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,875 6TH AVE STE 2303,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
4910,PF,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,131873289,1996,1996,6,5,119,136973,163,62890,76058,0,0,0,0,33899,276086,96089,179997,78660,121730,2435,0,1377294,554007,697481,100801,1352289,320,1807434,0,84789,BAGBY FND MUSICAL ARTS,NEW YORK,NY,10017-6103,A,A50,0.226771,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,194211.0,199612,199612,NY,10017.0,NEW YORK,PF,O,AR,A,IN,,12,0.0,0.0,501 FIFTH AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A68,A,,,
4922,PF,3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,131926551,1996,1996,8,5,119,0,3141,524365,292275,0,0,0,148978,787465,819781,1204004,-384223,997050,624039,6240,0,20924420,5838174,11675805,0,17513979,56139,20924420,0,737299,HARKNESS FND DANCE,NEW YORK,NY,10017-1259,Z,Z99,0.11671400000000001,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197903.0,199612,199612,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,145 E 48TH ST SUITE 26C,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,,
4929,PF,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,131947036,1996,1995,1,3,119,19788,1,772,0,0,0,70685,0,0,91246,88219,3027,17519,773,15,773,3677,0,180,0,180,13746,5294,0,256,AMOR ARTIS,NEW YORK,NY,10028-0040,Z,Z99,0.337889,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,3.0,,196311.0,199604,199604,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,4,59.0,0.0,PO BOX U GRACIE STA,3.0,0.0,1200.0,% JEAN CANNON APT 5H,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,,
