,CODE990,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,p1tcont,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2TASFMV,P2CASHBV,P2MORTG
3386,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112720287,1987,1987,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDRENS GROUP THEATRE WORKSHOP,BROOKLYN,NY,11217-0001,Z,Z99,0.810613,36047.0,11217.0,11217.0,5602.0,5600.0,36047.0,,,,198712,198712,NY,11217.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A65,A,,,
3412,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112743930,1988,1988,1,4,398,44574,0,0,0,0,0,0,0,0,44574,48519,-3945,48519,0,0,0,4368,0,4139,4368,0,0,ANNIROC RESTORATION,BROOKLYN,NY,11207-7301,Z,Z99,0.920702,36047.0,11207.0,11207.0,5602.0,5600.0,36047.0,4.0,,8510.0,198812,198812,NY,11207.0,BROOKLYN,PF,O,UN,Z,IN,,12,400.0,0.0,685 JEROME ST,3.0,,1000.0,,,,,,,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,,
3418,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112764785,1988,1988,4,1,602,1460,2003,0,0,0,0,0,0,1500,3463,1500,1963,1500,2003,20,0,31640,0,0,31640,26,1494,ARLENE TOPAL CREATIVE ARTS FIND,BROOKLYN,NY,11201-0000,Z,Z99,0.08784539999999999,36047.0,11201.0,11201.0,5602.0,5600.0,36047.0,,,,198812,198812,NY,11201.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A99,A,,,
3431,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112780069,1989,1989,5,5,91,201431,2889,0,0,0,666,5604,46237,0,210590,208007,2583,127317,2383,24,0,268412,0,259399,268412,0,3652,EAST HAMPTON CTR CONTEMPORARY ART,NEW YORK,NY,10007-3001,Z,Z99,0.737974,36061.0,10007.0,10007.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10007.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A20,A,,,
3537,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112942428,1989,1989,2,3,90,10000,0,0,0,0,0,0,0,0,10000,10667,-667,9767,0,0,0,5950,0,217,5950,6300,0,PODVAL ARTS & POETRY GALLERIES,BROOKLYN,NY,11235-5841,Z,Z99,0.292821,36047.0,11235.0,11235.0,5602.0,5600.0,36047.0,4.0,,198903.0,198912,198912,NY,11235.0,BROOKLYN,PF,O,UN,Z,IN,,12,0.0,0.0,150 BRIGHTON 15TH ST,3.0,0.0,1000.0,V MOLOT ESQ,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,,
3543,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112948645,1989,1988,4,5,602,100000,0,0,0,0,0,0,0,67500,100000,69886,30114,69886,0,0,0,30114,0,0,30114,0,2432,WORLD JOURNAL CULTURE FND,FLUSHING,NY,11354-0000,Z,Z99,0.00200574,36081.0,11354.0,11354.0,5602.0,5600.0,36081.0,4.0,,198909.0,198906,198906,NY,11354.0,FLUSHING,PF,O,UN,Z,IN,,6,0.0,0.0,141 07 20TH AVE,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
3563,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,112994852,1989,1989,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUDAICA FND RES & PUBLICATION,NEW YORK,NY,10038-2400,Z,Z99,0.0639674,36061.0,10038.0,10038.0,5602.0,5600.0,36061.0,4.0,,9106.0,198912,198912,NY,10038.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,245 PARK AVE 1600,3.0,0.0,1000.0,% HAVAZELET,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
3758,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,116036776,1990,1989,5,4,119,64457,351,0,0,0,0,0,0,0,64808,32649,32159,23532,351,7,0,457449,0,6558,457449,0,1892,ANONYMOUS ARTS RECOVERY SOC,NEW YORK,NY,10012-5115,Z,Z99,0.23047800000000002,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,3.0,,196311.0,199003,199003,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,3,91.0,0.0,380 W BROADWAY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A03,A,,,
3878,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,116101563,1989,1988,1,3,119,15695,0,0,0,0,1978,0,0,0,17673,18353,-680,14653,0,0,0,165,0,0,165,0,68,FND CLASSIC THEATRE & ACAD,NEW YORK,NY,10036-7211,Z,Z99,0.6119939999999999,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,4.0,,196805.0,198906,198906,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,6,59.0,0.0,220 W 42ND ST,3.0,0.0,2300.0,% N J STATHIS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A6E,A,,,
3914,2,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,130429640,1989,1989,8,7,65,283490,0,1355352,1836844,0,0,328748,64196,561785,3804434,1576084,2228350,1518529,3406545,0,1569701,23192073,22967482,0,22077898,0,1218862,AMER ACAD ARTS & LETTERS,NEW YORK,NY,10032-7501,Z,Z99,0.388785,36061.0,10032.0,10032.0,5602.0,5600.0,36061.0,2.0,,193503.0,198912,198912,NY,10032.0,NEW YORK,PF,O,UN,Z,IN,,12,207.0,60.0,633 W 155TH ST,3.0,0.0,2300.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A25,A,,,
3929,2,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,131624012,1989,1989,9,8,119,2602775,59605,3689320,4672560,0,172506,564533,237785,0,11761299,7147425,4613874,6456832,7877884,78779,4104162,70806977,67835807,0,91325975,0,4072920,FRICK COLLECTION,NEW YORK,NY,10021-4907,Z,Z99,0.852975,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,3.0,,193910.0,198912,198912,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,59.0,60.0,1 E 70TH ST,3.0,0.0,1200.0,,1.0,13.0,1.0,0.0,3.0,,Z,UN,UN,OT,3.0,,,,,,,A51,A,,,
3948,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,131656673,1989,1988,7,5,119,90007,0,72589,36350,0,0,104343,28750,35824,303289,355919,-52630,293646,46666,933,114659,1065813,1043173,24478,1547453,0,71192,NAT SCULPTURE SOC,NEW YORK,NY,10036-2714,Z,Z99,0.509851,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,3.0,,193901.0,198909,198909,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,9,59.0,40.0,1177 AVE OF THE AMERICAS,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,,
3977,3,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,131790739,1989,1988,7,5,561,51800,3179,102620,0,-622,0,22375,22871,91095,179352,133347,46005,112101,91108,1822,108596,1132987,1061947,354,1230663,0,59910,MUSICIANS FND,NEW YORK,NY,10001-3507,Z,Z99,0.539038,36061.0,10001.0,10001.0,5602.0,5600.0,36061.0,4.0,,195305.0,198904,198904,NY,10001.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,200 W 55TH ST,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
3997,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,131873289,1989,1989,7,4,119,2200,446,70606,12205,0,0,0,0,53125,85458,95504,-10046,82093,69976,700,0,1008988,1004923,112,1290011,20305,60153,BAGBY FND MUSICAL ARTS,NEW YORK,NY,10017-6103,A,A50,0.884093,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,194211.0,198912,198912,NY,10017.0,NEW YORK,PF,O,AR,A,IN,,12,927.0,561.0,501 FIFTH AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A68,A,,,
4011,3,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,131925857,1988,1988,1,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,THEATRE GUILD FND,NEW YORK,NY,10036-1413,Z,Z99,0.0803319,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,,,,198812,198812,NY,10036.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A65,A,,,
4012,3,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,131926551,1989,1989,7,7,119,721525,22614,464823,53049,0,0,3503,109430,440231,1265514,694902,570612,545280,474366,9487,0,9136765,7725920,27185,10786919,0,487926,HARKNESS FND DANCE,NEW YORK,NY,10017-1259,Z,Z99,0.146809,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197903.0,198912,198912,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,145 E 48TH ST SUITE 26C,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,,
4014,2,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,131933437,1989,1989,2,1,119,1513,26,0,0,0,0,0,0,0,1540,1419,121,1419,1540,31,1540,8507,0,0,8507,0,27,MUSICA AETERNA,NEW YORK,NY,10169-0007,Z,Z99,0.024829900000000002,36061.0,10169.0,10169.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10169.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A68,A,,,
4020,2,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,131947036,1990,1989,1,4,119,20778,2,41,0,0,0,20448,0,0,41269,32219,9050,12406,43,1,0,1004,180,9584,1861,0,113,AMOR ARTIS,NEW YORK,NY,10028-0040,Z,Z99,0.72377,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,3.0,,196311.0,199004,199004,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,4,59.0,0.0,175 RIVERSIDE DR,3.0,0.0,1200.0,% JEAN CANNON APT 5H,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,,
4056,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132509763,1989,1989,1,0,602,0,0,0,0,0,0,0,0,0,0,360,-360,360,0,0,0,3488,0,0,3488,0,181,ARTISTS CIVIL RIGHTS ASSISTANCE FND,BROOKLYN,NY,11215-3701,Z,Z99,0.9903049999999999,36047.0,11215.0,11215.0,5602.0,5600.0,36047.0,,,,198912,198912,NY,11215.0,BROOKLYN,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A02,A,,,
4106,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132621140,1989,1989,4,2,161,8500,0,221,0,0,0,0,0,4830,8721,12992,-4271,7178,0,0,0,42733,0,0,249993,0,12528,VIOLA W BERNARD FND,NEW YORK,NY,10021-2651,Z,Z99,0.711517,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,196812.0,198912,198912,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,180.0,602.0,930 FIFTH AVE,3.0,0.0,1000.0,% HARRY GOODKIN & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
4180,2,N,Y,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,132760185,1989,1988,5,4,8,52500,0,0,0,0,1946,0,0,0,54446,59495,-5049,52621,0,0,0,181315,0,6035,181315,0,163,EAKINS PRESS FND,NEW YORK,NY,10023-6226,Z,Z99,0.866382,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197404.0,198906,198906,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,6,0.0,0.0,15 W 67TH ST,3.0,0.0,1000.0,%LESLIE KATZ,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
4218,3,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,132874843,1989,1989,2,3,995,10300,0,0,0,0,0,285,0,0,10585,6074,4511,6074,0,0,0,5470,0,0,5470,0,59,LAURA PAWEL DANCE COMPANY,NEW YORK,NY,10023-3402,Z,Z99,0.326612,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,197701.0,198912,198912,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,15 W 72ND ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,,
4220,2,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,132874863,1989,1988,2,5,995,61005,930,0,0,0,0,91890,26500,0,153825,176970,-23145,134657,930,0,0,7274,0,3802,7274,0,887,FIJI THEATRE COMPANY,NEW YORK,NY,10012-1114,A,A6F,0.732617,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,15.0,,197611.0,198906,198906,NY,10012.0,NEW YORK,PC,O,AR,A,IN,,6,0.0,0.0,47 GREAT JONES STREET,1.0,0.0,1200.0,% PING CHONG,1.0,13.0,10.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A65,A,,,
4242,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132893085,1989,1988,3,2,92,4000,1704,0,0,0,0,575,0,0,6279,1916,4363,1916,1704,34,0,20683,20000,0,20683,985,1013,NEW YORK DRAMA CRITIC CIRCLE,NEW YORK,NY,10017-5617,Z,Z99,0.58021,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197710.0,198909,198909,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,9,0.0,0.0,655 THIRD AVE,3.0,0.0,2000.0,% ROSENZWEIG & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
4248,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,132896424,1989,1988,3,4,122,48500,1405,0,0,0,0,395,0,45413,50301,50748,-447,45413,0,0,0,22609,0,17410,22609,0,0,LIVING ARCHIVES,NEW YORK,NY,10024-1125,Z,Z99,0.376942,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,15.0,,197710.0,198910,198910,NY,10024.0,NEW YORK,PC,O,UN,Z,IN,,10,0.0,0.0,262 W 91ST ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,,
4255,2,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,132898805,1989,1988,7,5,119,315221,780,76090,0,0,0,2424,33042,0,394515,420928,-26413,416105,76184,762,78608,1034733,0,91439,1020428,0,46403,PUBLIC ART FND,NEW YORK,NY,10022-4201,Z,Z99,0.700304,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,197707.0,198906,198906,NY,10022.0,NEW YORK,PC,O,UN,Z,IN,,6,123.0,429.0,1 E 53RD ST 11TH FL,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A1240,A,,,
4318,3,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132948550,1987,1987,1,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ALL ABOUT TV,NEW YORK,NY,10019-3827,Z,Z99,0.014793100000000002,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,,,,198712,198712,NY,10019.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A32,A,,,
4328,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132958531,1989,1988,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAMBER PLAYERS LIMITED,NEW YORK,NY,10108-0346,Z,Z99,0.557592,36061.0,10108.0,10108.0,5602.0,5600.0,36061.0,4.0,,7810.0,198911,198911,NY,10108.0,NEW YORK,PF,O,UN,Z,IN,,11,90.0,0.0,PO BOX 2335,3.0,198311.0,1200.0,% CHRIS EREDE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
4360,3,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132975183,1989,1989,1,1,995,0,102,0,0,0,0,0,0,2600,102,3017,-2915,2600,102,2,0,340,0,0,340,0,0,NEW CHAMBER ENSEMBLE,NEW YORK,NY,10024-1309,Z,Z99,0.18979400000000002,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10024.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A6C,A,,,
4369,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,132982575,1989,1989,4,1,91,0,0,2365,0,0,0,0,0,0,2365,1180,1185,0,2365,47,1185,53271,0,0,53271,2577,2624,ROBERT C SCULL FND ARTS,NEW YORK,NY,10029-4316,Z,Z99,0.507817,36061.0,10029.0,10029.0,5602.0,5600.0,36061.0,4.0,,8207.0,198912,198912,NY,10029.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,2065 FIRST AVE,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
