,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,VERIFY,OLDNTEE,NTEE2,RASCD,RINCCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,MANUAL,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,MAJGRPB,NTEESRC,ntmaj10,ntmaj5,fipsold,ntmaj12,nteeConf,TOTREV,PROGREV,RENTEXP,OTHINC,SPEVTG,FUNDINC,v_errorCd,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
9037,112004760,14273,13445,13073,12075,9797,1254,0,0,116645,104570,144363,107856,128725,0,0,122325,129396,552,671,0,0,0,0,0,0,0,0,0,0,0,,A6BZ,,2.0,2.0,2.0,ST CECILIA CLUB INC,,PO BOX 421 FDR STA,NEW YORK,NY,10150-0421,0.0,3.0,3.0,2000.0,194410.0,1.0,16.0,1.0,13.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1.0,1,0,0.0,0,36061.0,,A6BZ,A6B,,PC,O,AR,A,IN,,1989,A,A6BZ,0.30139699999999997,10150.0,10150.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,132288,93775,0,0,0,0,,1990,A6B,199006,NY,10150.0,NEW YORK,,,PC,O,AR,A,IN,,A6B,A
9053,112034097,241449,0,0,0,0,0,0,0,159435,159435,400884,399058,60203,23500,0,128771,71948,70393,11744,35704,0,0,0,0,0,0,0,0,0,0,,A6CZ,,1.0,2.0,2.0,SEUFFERT BAND INC,,45 22 DOUGLASTON PKY,DOUGLASTON,NY,11362-1059,0.0,3.0,3.0,2000.0,196603.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,59.0,119.0,0.0,B9606,1996.0,1.0,1,1,4.0,1,36081.0,,A6CZ,A6C,,PC,O,AR,A,IN,,1989,A,A6CZ,0.725754,11362.0,11362.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,400884,159435,0,0,0,0,,1989,A6C,198912,NY,11362.0,DOUGLASTON,,,PC,O,AR,A,IN,,A6C,A
9078,112104059,2505103,0,0,0,28249,430092,74852,100337,830168,755316,3335271,3228498,405351,91823,0,1182887,1314068,809457,908717,0,0,0,0,0,0,0,0,0,0,0,,A57Z,,4.0,4.0,4.0,NEW YORK HALL OF SCIENCE,,47 01 111TH ST,CORONA,NY,11368-2999,0.0,3.0,3.0,2000.0,196411.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36081.0,,A57Z,A57,,PC,O,AR,A,IN,,1988,A,A57Z,0.251683,11368.0,11368.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,3260419,626730,0,0,0,0,,1989,A57,198906,NY,11368.0,CORONA,,,PC,O,AR,A,IN,,A57,A
9080,112106191,482507,0,0,0,1837,50186,0,0,250588,250588,733095,746983,-80788,43712,0,121744,192318,160824,273106,0,0,0,0,0,0,0,0,0,0,0,,A69Z,,2.0,3.0,3.0,QUEENS SYMPHONY ORCHESTRA INC,,31 00 47TH AVE,LONG ISLAND CITY,NY,11101-0000,0.0,3.0,3.0,2000.0,195703.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,59.0,0.0,0.0,B9710,,0.0,1,0,0.0,0,36081.0,,A69Z,A69,,PC,O,AR,A,IN,,1988,A,A69Z,0.780089,11101.0,11101.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,733095,248751,0,0,0,0,,1989,A69,198906,NY,11101.0,LONG ISLAND CITY,,,PC,O,AR,A,IN,,A69,A
9114,112157260,22742,0,0,0,120,0,0,0,8308,8308,31050,34350,4658,0,0,10169,4658,2209,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,N Y STREET THEATRE CARAVAN INC,% MARKETA KIMBRELL,87 05 CHELSEA ST,JAMAICA,NY,11432-2438,0.0,3.0,3.0,1000.0,196807.0,1.0,15.0,1.0,11.0,0.0,20.0,6,,59.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36081.0,,A65Z,A65,,PC,O,AR,A,IN,,1988,A,A65Z,0.8322510000000001,11432.0,11432.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,31050,8188,0,0,0,0,,1989,A65,198906,NY,11432.0,JAMAICA,,,PC,O,AR,A,IN,,A65,A
9139,112201344,9563660,0,0,0,9865,668063,0,0,5047674,5047674,14611334,14236594,3206294,392814,0,7788367,7531917,4762482,4325623,0,0,0,0,0,0,0,0,0,0,0,,A60Z,,5.0,6.0,6.0,BROOKLYN ACADEMY OF MUSIC INC,,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,0.0,3.0,3.0,1000.0,196912.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36047.0,,A60Z,A61,,PC,O,AR,A,IN,,1988,A,A60Z,0.614169,11217.0,11217.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,14611334,5037809,0,0,0,0,,1989,A60,198906,NY,11217.0,BROOKLYN,,,PC,O,AR,A,IN,,A60,A
9151,112207752,114416,0,0,0,0,0,0,0,40497,40497,154913,165083,270262,17200,2187,348010,341272,67578,71010,0,0,0,0,0,0,0,0,0,0,0,,A62Z,A23Z,2.0,2.0,2.0,AIMS OF MODZAWE INC,,115 62 SUTPHIN BLVD,JAMAICA,NY,11434-1019,0.0,3.0,3.0,2000.0,197309.0,1.0,15.0,1.0,11.0,0.0,10.0,7,,119.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36081.0,,A62Z,A62,,PC,O,AR,A,IN,,1988,A,A62Z,0.203809,11434.0,11434.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,154913,40497,0,0,0,0,,1989,A62,198907,NY,11434.0,JAMAICA,,,PC,O,AR,A,IN,,A62,A
9161,112219193,852775,12565,0,0,10503,0,0,0,80728,80728,946068,899489,119441,0,0,216777,172986,106034,53545,0,0,0,0,0,0,0,0,0,0,0,,A26Z,,2.0,3.0,3.0,QUEENS COUNCIL ON THE ARTS INC,,79 01 PARK LN S,WOODHAVEN,NY,11421-0000,0.0,3.0,3.0,2000.0,197012.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,59.0,0.0,B9710,,1.0,1,0,0.0,0,36081.0,,A26Z,A26,,PC,O,AR,A,IN,,1989,A,A26Z,0.052182400000000004,11421.0,11421.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,946068,70225,0,0,0,0,,1990,A26,199006,NY,11421.0,WOODHAVEN,,,PC,O,AR,A,IN,,A26,A
9237,112278998,1634375,19865,0,0,10426,19304,20416,22495,216474,196058,1870714,1720781,254388,151093,0,183064,258729,7246,4341,0,0,0,0,0,0,0,0,0,0,0,,A20Z,,2.0,4.0,4.0,QUEENS MUSEUM OF ART,,FLSHNG MDWS CORONA PARK N,QUEENS,NY,11368-0000,0.0,3.0,3.0,1200.0,197208.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,119.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36081.0,,A20Z,A20,,PC,O,AR,A,IN,,1989,A,A20Z,0.850672,11368.0,11368.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,1850298,163137,0,0,0,0,,1990,A51,199006,NY,11368.0,QUEENS,,,PC,O,AR,A,IN,,A51,A
9287,112309024,450745,0,0,0,0,0,0,0,11982,11982,462727,463503,3208,42500,0,74219,62270,70735,59062,0,0,0,0,0,0,0,0,0,0,0,,A20Z,,1.0,2.0,2.0,MARTIN DEPORRES COMMUNITY SERVICE CENTER INC,,4 25 ASTORIA BLVD,ASTORIA,NY,11102-4322,,3.0,3.0,1000.0,74.0,,15.0,,,,,12,,296.0,0.0,0.0,ALM97,1992.0,1.0,1,1,4.0,1,36081.0,,A20Z,A20,,PC,O,AR,A,IN,,1988,A,A20Z,0.657844,11102.0,11102.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,462727,11982,0,0,0,0,,1988,A20,198812,NY,11102.0,ASTORIA,,,PC,O,AR,A,IN,,A20,A
9327,112336154,221574,0,0,0,0,0,0,0,109447,109447,331021,423119,-449238,32000,0,16792,87203,373932,536441,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,2.0,2.0,BILLIE HOLIDAY THEATRE INCORPORATED,,1368 FULTON ST,BROOKLYN,NY,11216-2630,0.0,3.0,3.0,1230.0,197602.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,88.0,90.0,119.0,B9710,,0.0,1,1,4.0,1,36047.0,,A65Z,A65,,PC,O,AR,A,IN,,1987,A,A65Z,0.5850270000000001,11216.0,11216.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,331021,109447,0,0,0,0,,1988,A65,198806,NY,11216.0,BROOKLYN,,,PC,O,AR,A,IN,,A65,A
9336,112346647,2921179,1625,0,0,0,0,0,0,15976,15976,2938780,2887151,50454,0,0,318757,288646,267041,238192,0,0,0,0,0,0,0,0,0,0,0,,S80Z,,2.0,4.0,4.0,COUNCIL OF JEWISH ORGANIZATIONS OF BORO PARK INC,,5224 13TH AVE,BROOKLYN,NY,11219-3810,0.0,3.0,3.0,1000.0,198308.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,408.0,569.0,0.0,B9710,,1.0,1,0,0.0,0,36047.0,,S80Z,S80,,PC,O,PB,S,IN,,1989,S,S80Z,0.591572,11219.0,11219.0,5602.0,5600.0,S,1,PU,OT,36047.0,PU,N,2938780,15976,0,0,0,0,,1989,S80,198912,NY,11219.0,BROOKLYN,,,PC,O,PB,S,IN,,A23,A
9368,112382247,322080,25699,0,0,2474,32276,0,0,9380,9380,357159,210169,884859,0,0,737869,884859,0,0,884859,0,0,0,0,0,0,0,0,0,0,,V30Z,,3.0,2.0,2.0,CENTER FOR HOLOCAUST STUDIES INC,,1609 AVE J,BROOKLYN,NY,11230-3711,0.0,3.0,3.0,2000.0,197704.0,1.0,15.0,1.0,11.0,0.0,20.0,12,,61.0,119.0,0.0,B9710,,1.0,1,1,4.0,1,36047.0,,A59Z,A50,,PC,O,AR,A,IN,,1989,A,A59Z,0.103612,11230.0,11230.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,357159,6906,0,0,0,0,,1989,A50,198912,NY,11230.0,BROOKLYN,,,PC,O,AR,A,IN,,A50,A
9379,112393789,32687,0,0,0,1299,0,0,0,13108,13108,45795,35256,41837,0,0,31004,41837,0,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,GOLD MOUNTAIN INSTITUTE FOR TRADITIONAL SHADOW THEATER INC,,33 47 91ST ST,JACKSON HEIGHTS,NY,11372-1749,0.0,3.0,3.0,2000.0,197702.0,1.0,16.0,1.0,11.0,0.0,10.0,3,ATER INC,90.0,0.0,0.0,B9710,,1.0,1,1,4.0,1,36081.0,,A65Z,A65,,PC,O,AR,A,IN,,1989,A,A65Z,0.350488,11372.0,11372.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,45795,11809,0,0,0,0,,1990,A65,199003,NY,11372.0,JACKSON HEIGHTS,,,PC,O,AR,A,IN,,A65,A
9402,112407454,16764,3995,0,0,57,1192,0,0,7493,7493,28252,27023,5090,0,0,4884,5090,0,0,0,0,0,0,0,0,0,0,0,0,0,,A69Z,,1.0,1.0,1.0,NEIGHBORHOOD CHAMBER ORCHESTRA INC,,1344 E 22ND ST,BROOKLYN,NY,11210-4517,0.0,3.0,3.0,1000.0,197702.0,1.0,15.0,1.0,11.0,0.0,10.0,12,,90.0,119.0,149.0,B9702,1997.0,1.0,1,0,0.0,0,36047.0,,A69Z,A69,,PC,O,AR,A,IN,,1989,A,A69Z,0.190755,11210.0,11210.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,28252,7436,0,0,0,0,,1989,A69,198912,NY,11210.0,BROOKLYN,,,PC,O,AR,A,IN,,A69,A
9405,112408985,43039,0,0,0,0,6697,0,0,24756,24756,67795,68152,5045,36819,0,5402,16045,0,11000,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,THE NEW YORK CHILDRENS THEATRE INC,,250 W 65TH ST,NEW YORK,NY,10023-6403,0.0,3.0,3.0,2000.0,198001.0,1.0,10.0,1.0,13.0,198506.0,10.0,6,,994.0,149.0,0.0,B9710,,1.0,1,1,4.0,1,36061.0,,A65Z,A65,,PC,O,AR,A,IN,,1989,A,A65Z,0.780334,10023.0,10023.0,5602.0,5600.0,A,1,AR,AR,36061.0,AR,N,67795,24756,0,0,0,0,,1990,A65,199006,NY,10023.0,NEW YORK,,,PC,O,AR,A,IN,,A65,A
9464,112440150,22830,0,0,0,2009,0,0,0,17009,17009,39839,36878,27130,0,0,26969,30530,2800,3400,0,0,0,0,0,0,0,0,0,0,0,,A68Z,,1.0,1.0,1.0,NEW YORK BANDURA ENSEMBLE INC,,84 82 164TH ST,JAMAICA,NY,11432-1735,0.0,3.0,3.0,1200.0,197804.0,1.0,15.0,1.0,11.0,198212.0,20.0,8,,994.0,90.0,93.0,B9710,,1.0,1,1,4.0,1,36081.0,,A68Z,A68,,PC,O,AR,A,IN,,1988,A,A68Z,0.705245,11432.0,11432.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,39839,15000,0,0,0,0,,1989,A68,198908,NY,11432.0,JAMAICA,,,PC,O,AR,A,IN,,A68,A
9487,112451587,372546,28290,0,0,344,0,0,0,124902,124902,525738,514885,90864,0,0,141777,166223,61766,75359,90864,0,0,0,0,0,0,0,0,0,0,,A60Z,,2.0,3.0,3.0,BARGEMUSIC LTD C O STANLEY T STAIRS,,FULTON FERRY LANDING,BROOKLYN,NY,11201-0000,0.0,3.0,3.0,1200.0,197812.0,1.0,15.0,1.0,11.0,0.0,10.0,8,,90.0,119.0,123.0,B9710,,1.0,1,1,4.0,1,36047.0,,A60Z,A60,,PC,O,AR,A,IN,,1988,A,A60Z,0.190648,11201.0,11201.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,525738,124558,0,0,0,0,,1989,A68,198908,NY,11201.0,BROOKLYN,,,PC,O,AR,A,IN,,A68,A
9499,112457457,3857,5736,0,0,941,4665,3683,2566,85805,82122,95398,6885,22227,0,0,3142,22227,0,0,0,0,0,0,0,0,0,0,0,0,0,,A25Z,,1.0,1.0,1.0,ERASMUS HALL HIGH SCHOOL AND ACADEMY OF THE ARTS ALUMNI INC,,911 FLATBUSH AVE,BROOKLYN,NY,11226-4017,0.0,3.0,3.0,1000.0,198006.0,1.0,16.0,1.0,11.0,0.0,20.0,6,LUMNI INC,34.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36047.0,,A25Z,A25,,PC,O,AR,A,IN,,1987,A,A25Z,0.691196,11226.0,11226.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,91715,78615,0,0,0,0,,1988,A25,198806,NY,11226.0,BROOKLYN,,,PC,O,AR,A,IN,,A25,A
9501,112457973,0,0,0,0,11753,0,0,0,278844,278844,278844,127067,265030,0,0,191184,297357,0,32327,0,0,0,0,0,0,0,0,0,0,0,,A82Z,,2.0,2.0,2.0,BOROUGH HALL RESTORATION FOUNDATION,% M SCOTTO,209 JORALEMON ST,BROOKLYN,NY,11201-3751,,3.0,3.0,1000.0,197806.0,,15.0,,,,,12,,350.0,402.0,915.0,B9508,1995.0,1.0,1,0,0.0,0,36047.0,,A82Z,A80,,PC,O,AR,A,IN,,1988,A,A82Z,0.09301010000000001,11201.0,11201.0,5602.0,5600.0,A,1,AR,AR,36047.0,AR,N,278844,267091,0,0,0,0,,1988,A80,198812,NY,11201.0,BROOKLYN,,,PC,O,AR,A,IN,,A82,A
9526,112468118,5755,9588,0,0,2060,0,0,0,86708,86708,102051,62468,24257,0,0,26375,24257,0,0,0,0,0,0,0,0,0,0,0,0,0,,C32Z,A26Z,1.0,2.0,1.0,ARTS PROJECT OF CHERRY GROVE INC,% ZOCCANO,73 37 AUSTIN ST,FOREST HILLS,NY,11375-6258,0.0,3.0,3.0,2000.0,198101.0,1.0,16.0,1.0,11.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,1.0,1,0,0.0,0,36081.0,,C32Z,C32,,PC,O,EN,C,IN,,1988,C,C32Z,0.284773,11375.0,11375.0,5602.0,5600.0,C,1,EN,OT,36081.0,EN,N,102051,84648,0,0,0,0,,1988,C32,198812,NY,11375.0,FOREST HILLS,,,PC,O,EN,C,IN,,A20,A
9528,112468882,42454,0,0,0,0,1101,0,0,19139,19139,61593,68066,269,0,0,6742,269,0,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,1.0,1.0,1.0,GREEK CULTURAL CENTER INC,,27 18 HOYT AVE S,ASTORIA,NY,11102-1960,0.0,3.0,3.0,2000.0,198109.0,1.0,15.0,1.0,11.0,0.0,10.0,6,,88.0,119.0,0.0,B9710,,1.0,1,1,4.0,1,36081.0,,A65Z,A65,,PC,O,AR,A,IN,,1989,A,A65Z,0.187721,11102.0,11102.0,5602.0,5600.0,A,1,AR,AR,36081.0,AR,N,61593,19139,0,0,0,0,,1990,A23,199006,NY,11102.0,ASTORIA,,,PC,O,AR,A,IN,,A23,A
