,FIPS,MSA,PMSA,SRC1_UPD,CMSA,FIPSTATE,ZIP5,EIN,NTEECC,NTEE1,confiden,NteeCC4d,OutReas,Level2,Level4,MajGrpB,NtMaj10,NtMaj5,NtMaj12,Level1,Level3,NteeSrc,OutNCCS,RandNum,NTEEOLDA,TAXPER,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,VERIFY,TOTREV,SUBSECCD,REASON,RASCD,RREVCD,RINCCD,REXPCD,FISYR,STYEAR,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,MSA_NECH,V_FREXP,V_CONT,V_GREC,TOTLOB,V_BOYAL,V_EOYAL,V_FB,V_REVEXP,NTEE_CAT,LEVEL5,POP_NDX,NTEEDRAF,FIPSOLDA,SRC2_UPD,STATECHK,nteeConf,Ntee2007a,Ntee42007a,GovGtEstimate,GovGtCode,GovGtYr,IndSupEstimate,IndSupCode,IndSupYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,DirSupEstimate,DirSupCode,DirSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,nteeFinal,nteeFinal1
29760,36061,5602.0,5600.0,,70.0,NY,10004.0,135563011,A80,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A80,199809.0,202018,48350,753999,687242,265298,83416,13098,13523,1323810,623470,1574178,877868,8589242,0,0,8255413,8646760,36634,57518,0,0,0,0,0,0,0,0,0,0,0,180935,0,27301,0,0,732,264566,250591,69656,0,66757,0,0,0,0,26621,692903,-184965,555428,300719,24243,0,0,0,0,0,8218779,888823,55790,313883,2443001,0,0,3701497,3387614,0,0,0,,692903,3,7,5.0,3,4.0,3.0,1999,1998,SONS OF THE REVOLUTION IN THE STATE OF NEW YORK INC,,54 PEARL ST,NEW YORK,NY,10004-2429,0.0,1.0,2.0,193804.0,1.0,15.0,64.0,62.0,61.0,1.0,13.0,0.0,10.0,9,,5602.0,1,1,1,0,1.0,1,1,9,1,3,8,,36061.0,,1,A,A80,,22202.0,3a,1999.0,0.0,3a,1999.0,4120620.0,3a,1999.0,1513311.0,3a,1999.0,21600.0,3a,1999.0,4447022.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,179816.0,3a,1999.0,1513302.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,6856448.0,3a,1999.0,0.0,3a,1999.0,A80,A
29769,36061,5602.0,5600.0,,70.0,NY,10004.0,236269069,A80,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A80,199906.0,197602,62530,822092,610321,16935,0,3216,2876,845119,231582,1105251,90268,1046669,0,0,847659,1046669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3702,13233,0,0,0,211771,0,0,0,0,6092,491714,401446,-202436,0,0,0,0,0,0,0,847659,325,159015,16943,50357,0,0,226640,209697,0,0,0,,491714,3,7,4.0,2,4.0,1.0,2000,1999,GENERAL SOCIETY OF THE SONS OF THE REVOLUTION,% JAMES THORINGTON II,54 PEARL ST,NEW YORK,NY,10004-2429,0.0,3.0,2.0,194502.0,1.0,16.0,62.0,908.0,0.0,5.0,13.0,0.0,10.0,6,,5602.0,1,1,1,0,1.0,1,2,1,1,3,8,A80,36061.0,,1,B,A80,,0.0,1d,200.0,0.0,1d,200.0,1046669.0,3a,2000.0,0.0,1d,200.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,1d,200.0,0.0,1d,200.0,197602.0,1d,200.0,0.0,1b,2099.0,PC,O,AR,A,IN,,581438.0,1d,200.0,0.0,1d,200.0,0.0,1d,200.0,16501.0,1d,200.0,A80,A
29770,36061,5602.0,5600.0,,70.0,NY,10004.0,391825922,A99,A,C,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A99,199809.0,160703,13907,0,0,302,21214,0,0,11420,11420,186030,224581,-20312,65016,0,39728,25906,21489,46218,0,0,0,0,0,0,0,0,0,0,0,0,0,11058,0,60,302,0,0,0,0,0,0,0,0,0,0,186030,-38551,0,50024,9653,0,0,0,0,0,18239,620440,33735,5531,1572,0,0,663577,658046,0,0,0,,186030,3,7,1.0,2,2.0,2.0,1999,1998,SUSTAINABLE AMERICA,,42 BROADWAY SUITE 1740,NEW YORK,NY,10004-1617,0.0,3.0,1.0,199512.0,1.0,15.0,994.0,123.0,0.0,1.0,11.0,0.0,10.0,9,,5602.0,1,1,1,0,1.0,9,9,9,1,2,8,,36061.0,,1,C,S40,,0.0,3a,1999.0,0.0,3a,1999.0,-20312.0,3b,2000.0,17304.0,3a,1999.0,-3302.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,160703.0,3a,1999.0,9106.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,6502.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,S40,S
29783,36061,5602.0,5600.0,,70.0,NY,10005.0,131674444,A33,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A33,199812.0,0,0,0,0,0,0,66451,180869,255258,188807,255258,128289,274478,0,0,522610,486939,308650,212460,273478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7938,0,0,0,0,0,0,0,0,0,0,247321,188807,60518,0,70254,5802,0,0,0,0,212959,213959,0,0,895383,0,0,0,895383,0,0,0,0,,188807,3,9,2.0,2,2.0,2.0,1999,1999,LUCIS PUBLISHING COMPANY,,120 WALL ST 24TH FLR,NEW YORK,NY,10005-4001,0.0,3.0,2.0,194311.0,1.0,16.0,29.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,5602.0,1,1,1,0,1.0,1,1,1,1,2,8,,36061.0,,1,A,X83,,,,,,,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,,,,0.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,18802.0,3a,1999.0,0.0,3a,1999.0,38203.0,3a,1999.0,X83,X
29805,36061,5602.0,5600.0,,70.0,NY,10005.0,133035783,A82,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,1,A80,199806.0,89737,0,0,0,1517,8514,0,0,19104,19104,108841,41058,154712,0,0,100363,166678,2097,11966,0,0,0,0,0,0,0,0,0,0,0,0,11337,3750,0,2500,1517,0,0,0,0,0,0,0,0,11337,0,97504,56446,0,0,0,0,0,0,0,0,98266,312952,0,20785,13498,0,0,349904,329119,0,0,0,,97504,3,7,2.0,1,2.0,1.0,1999,1998,NEW YORKS LANDMARKS PRESERVATION FOUNDATION INC,,100 OLD SLIP,NEW YORK,NY,10005-3539,0.0,3.0,2.0,198009.0,1.0,16.0,119.0,0.0,0.0,2.0,13.0,0.0,10.0,6,,5602.0,1,1,1,0,1.0,1,1,1,1,3,8,A80,36061.0,,1,A,A82,,0.0,1b,2099.0,0.0,1b,2099.0,153512.0,3a,1999.0,0.0,1b,2099.0,1200.0,3a,1999.0,0.0,3a,1999.0,0.0,1b,2099.0,0.0,1b,2099.0,89737.0,1b,2099.0,0.0,1c,2098.0,PC,O,AR,A,IN,,0.0,1b,2099.0,0.0,1b,2099.0,0.0,1b,2099.0,87453.0,1b,2099.0,A82,A
29808,36061,5602.0,5600.0,,70.0,NY,10001.0,133127841,A65,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,1,A65,199712.0,233184,0,0,0,0,34102,0,0,29591,29591,262775,335090,50838,62900,0,123153,50838,0,0,50838,0,0,0,0,0,0,0,0,0,0,0,0,29591,0,0,0,0,0,0,0,0,0,0,0,0,0,262775,-72315,0,112236,29996,0,0,0,0,123153,123153,1647404,1291,182832,73915,0,0,1905442,1722610,0,0,0,,262775,3,9,1.0,2,2.0,2.0,1999,1999,UBU REPERTORY THEATRE CORP,,15 W 28TH ST,NEW YORK,NY,10001-6410,0.0,3.0,1.0,198508.0,1.0,16.0,119.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,5602.0,1,1,1,0,9.0,1,1,9,1,1,8,A65,36061.0,,1,A,A65,,174616.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,58447.0,3b,2000.0,8485.0,3b,2000.0,PC,O,AR,A,IN,,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,50838.0,3b,2000.0,A65,A
29879,36061,5602.0,5600.0,,70.0,NY,10006.0,133848509,A99,A,C,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A99,199806.0,15676,465,0,0,494,0,0,0,52294,52294,68435,37598,3791,0,0,1040,3791,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28086,0,23714,0,0,0,0,0,494,0,0,0,0,51800,0,40349,2751,0,0,0,0,0,0,0,0,1040,73027,715,0,729,0,0,74471,74471,0,0,0,,40349,3,7,1.0,1,1.0,1.0,1999,1998,ALEXANDER THE GREAT FOUNDATION INC,% BRUCE H SOBEL,29 BROADWAY STE 1400,NEW YORK,NY,10006-3201,0.0,3.0,1.0,199511.0,1.0,15.0,994.0,119.0,0.0,1.0,13.0,199906.0,20.0,6,,5602.0,1,1,1,0,9.0,1,1,1,1,2,8,,36061.0,,1,C,A23,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,3791.0,3a,1999.0,A23,A
29886,36061,5602.0,5600.0,,70.0,NY,10006.0,521724997,A68,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,1,A68,199712.0,214146,0,76144,75596,1225,27849,0,0,100934,25338,315080,171288,89590,48885,0,21394,89692,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,23565,0,0,63,1162,0,0,0,548,0,0,0,0,0,239484,68196,0,25837,5890,0,0,0,0,0,21394,326558,4710,84501,5566,0,0,421335,336834,0,0,0,,239484,3,9,1.0,2,2.0,2.0,1998,1998,PIATIGORSKY FOUNDATION,% POLAKOFF & MICHAELSON CPA PC,90 WEST ST RM 1605,NEW YORK,NY,10006-1039,0.0,3.0,1.0,199106.0,1.0,16.0,90.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,5602.0,1,1,1,0,1.0,1,1,1,1,1,8,,36061.0,,1,A,A68,,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,1602.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,0.0,3a,1998.0,214146.0,3a,1998.0,2411.0,3a,1998.0,PC,O,AR,A,IN,,0.0,3a,1998.0,7107.0,3a,1998.0,63165.0,3a,1998.0,17017.0,3a,1998.0,A68,A
29887,36061,5602.0,5600.0,,70.0,NY,10006.0,650294494,A69,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,1,A6C,199806.0,497198,0,0,0,44289,95054,0,0,1482655,1482655,1979853,1714922,359487,0,13120,1180007,1190607,1085451,831120,359487,0,0,0,0,0,0,0,0,0,0,0,0,1438366,0,0,44289,0,0,0,0,0,0,0,0,0,0,1979853,264931,0,240315,25067,0,0,0,0,94556,94556,1611684,0,3752068,23614,0,0,5387366,1635298,0,0,0,,1979853,3,9,4.0,4,4.0,4.0,1999,1998,PALM BEACH POPS INC,% W ROBERT LAPPIN,29 BROADWAY STE 2900,NEW YORK,NY,10006-3201,0.0,3.0,2.0,199207.0,1.0,16.0,90.0,119.0,0.0,1.0,13.0,0.0,10.0,6,,5602.0,1,1,1,0,1.0,1,1,1,1,1,8,A69,36061.0,,1,B,A69,,10002.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,7100.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,487196.0,3a,1999.0,4400.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,1047906.0,3a,1999.0,A69,A
29904,36061,5602.0,5600.0,,70.0,NY,10007.0,133015230,A34,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A30,199806.0,15592297,0,0,0,422207,3478868,0,0,1389595,1389595,16981892,14708823,16474469,278516,112230,27952410,27557813,13499618,11083344,0,0,0,0,0,0,0,0,0,0,0,0,273708,732370,-151825,113135,422207,0,0,0,0,0,0,0,0,121883,0,16708184,1999361,22316,5461143,487475,0,0,0,0,0,14452792,55876710,0,1507094,1584199,0,0,59537601,58030507,0,0,0,,16708184,3,7,,6,,,1999,1998,WNYC RADIO,,ONE CENTRE ST,NEW YORK,NY,10007-1602,0.0,3.0,1.0,197912.0,1.0,15.0,121.0,0.0,0.0,1.0,13.0,0.0,10.0,6,,5602.0,1,1,1,0,1.0,1,1,1,1,2,8,A34,36061.0,,1,B,A34,,143901.0,3a,1999.0,0.0,3a,1999.0,13753658.0,3a,1999.0,595400.0,3a,1999.0,1774707.0,3a,1999.0,946004.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,15448396.0,3a,1999.0,0.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,15174007.0,3a,1999.0,273000.0,3a,1999.0,1495601.0,3a,1999.0,A34,A
29907,36061,5602.0,5600.0,,70.0,NY,10007.0,133091904,A80,A,C,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,T99,199803.0,51498,0,0,0,8031,0,0,0,8031,8031,59529,32955,345894,0,0,319320,345894,0,0,345894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8031,0,0,0,0,0,0,0,0,0,0,59529,26574,0,0,0,0,0,0,0,319320,319320,376777,0,0,33482,0,0,410259,410259,0,0,0,,59529,3,9,2.0,1,1.0,1.0,1999,1998,HISTORIAL RECORDS OF THE NEW YORK COUNTY CLERK INC,,60 CENTRE ST 161,NEW YORK,NY,10007-1402,0.0,3.0,1.0,198402.0,1.0,16.0,602.0,0.0,0.0,1.0,13.0,0.0,10.0,3,,5602.0,1,1,1,0,1.0,1,1,1,7,45,8,,36061.0,,1,C,A80,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,51498.0,3a,1999.0,0.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,46913.0,3a,1999.0,A80,A
29909,36061,5602.0,5600.0,,70.0,NY,10019.0,133132750,A54,A,B,,,O,A,A,AR,AR,AR,PC,AR,1,IN,1,A50,199812.0,17623,105,0,0,1671,5,0,0,21557,21557,39285,31413,130458,0,0,134829,413002,12243,282544,-4371,0,0,0,0,0,0,0,0,0,0,0,0,19666,0,220,0,1671,0,0,0,0,0,0,0,0,0,39285,7872,0,0,23,0,0,0,0,-8161,122586,52477,621,86330,0,0,0,139428,53098,0,0,0,,39285,3,9,2.0,1,1.0,1.0,1999,1999,MUSEUM OF THE AMERICAN PIANO,,211 W 58TH ST,NEW YORK,NY,10019-1411,0.0,3.0,2.0,198710.0,1.0,15.0,60.0,61.0,0.0,1.0,13.0,0.0,10.0,12,,5602.0,1,1,1,0,1.0,1,1,1,1,4,8,A54,36061.0,,1,A,A54,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,200.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,17623.0,3a,1999.0,0.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,153001.0,3a,1999.0,0.0,3a,1999.0,3600.0,3a,1999.0,A54,A
29912,36061,5602.0,5600.0,,70.0,NY,10007.0,133224400,A61,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A61,199806.0,29460,0,0,0,4609,14495,0,0,536122,536122,565582,628710,88673,0,0,205144,119267,53343,30594,0,0,0,0,0,0,0,0,0,0,0,0,0,512658,0,18855,4609,0,0,0,0,0,0,0,0,0,0,565582,-63128,0,277138,22955,0,0,0,0,0,151801,214977,0,2079856,17468,0,0,2369786,289930,0,0,0,,565582,3,6,2.0,3,3.0,3.0,1999,1998,BOROUGH OF MANHATTAN COMMUNITY COLLEGE PERFORMING ARTS CENTER INC,,199 CHAMBERS ST S 110,NEW YORK,NY,10007-1006,0.0,3.0,1.0,199011.0,1.0,13.0,59.0,0.0,0.0,1.0,13.0,0.0,10.0,6,,5602.0,1,1,1,0,1.0,1,1,9,1,1,8,A61,36061.0,,1,A,A61,,24249.0,3a,1999.0,0.0,3a,1999.0,88673.0,3a,1999.0,4302.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,5211.0,3a,1999.0,4201.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,33119.0,3a,1999.0,A61,A
29939,36061,5602.0,5600.0,,70.0,NY,10007.0,133693660,A25,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A60,199712.0,10327,0,0,0,0,12438,0,0,231533,231533,241860,256837,35207,29768,0,79494,53616,29310,18409,0,0,0,0,0,0,0,0,0,0,0,0,0,220231,0,11302,0,0,0,0,0,0,0,0,0,0,0,241860,-14977,0,74203,11811,0,0,20649,13879,0,50184,0,0,0,0,0,0,0,0,0,0,0,,241860,3,2,1.0,2,2.0,2.0,1999,1998,CHURCH STREET SCHOOL FOR MUSIC AND ART,,74 WARREN ST,NEW YORK,NY,10007-1004,0.0,3.0,2.0,199402.0,1.0,11.0,46.0,59.0,149.0,1.0,13.0,0.0,10.0,12,,5602.0,1,1,1,0,2.0,1,1,9,1,1,8,A25,36061.0,,1,B,A25,,0.0,3a,1999.0,0.0,3a,1999.0,35207.0,3a,1999.0,47714.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,10327.0,3a,1999.0,67480.0,3a,1999.0,PC,O,AR,A,IN,,0.0,3a,1999.0,3001.0,3a,1999.0,0.0,3a,1999.0,2801.0,3a,1999.0,A25,A
29953,36061,5602.0,5600.0,,70.0,NY,10007.0,133877381,A60,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A60,199712.0,49220,0,0,0,0,0,0,0,547,547,49767,46958,4938,0,0,8215,4938,6086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,247,0,0,0,0,0,0,0,0,0,300,0,49767,2809,0,0,0,0,0,0,0,0,2129,24439,0,1461,0,0,0,25900,24439,0,0,0,,49767,3,7,1.0,1,1.0,1.0,1997,1997,ARMENIAN CENTER FOR CONTEMPORARY EXPERIMENTAL ART INC,% SONIA BALASSANIAN,81 MURRAY ST STE 5,NEW YORK,NY,10007-2167,0.0,3.0,2.0,199608.0,1.0,15.0,994.0,90.0,0.0,1.0,13.0,200012.0,10.0,12,,5602.0,1,1,1,0,9.0,1,1,1,1,1,8,A60,36061.0,,1,C,A60,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,A60,A
29958,36061,5602.0,5600.0,,70.0,NY,10006.0,134059512,A40,A,C,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A40,,26000,0,0,0,33,0,0,0,13524,13524,39524,40371,-847,0,0,0,2719,0,3566,0,0,0,0,0,0,0,0,0,0,0,0,0,13491,0,0,0,0,0,0,33,0,0,0,0,0,0,39524,-847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39524,3,9,1.0,1,1.0,1.0,1999,1999,ABZ ART FOUNDATION INC,% PROTAX SERVICES,40 RECTOR ST STE 1502,NEW YORK,NY,10006-1705,0.0,3.0,1.0,199910.0,1.0,15.0,0.0,0.0,0.0,1.0,11.0,200312.0,10.0,12,,5602.0,1,1,1,0,,9,9,9,1,2,8,,36061.0,,1,C,A12,23,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3b,2000.0,PC,O,AR,A,IN,,0.0,3b,2000.0,0.0,3b,2000.0,0.0,3b,2000.0,2719.0,3b,2000.0,A1223,A
29968,36061,5602.0,5600.0,,70.0,NY,10007.0,237223688,A69,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,0,A69,199712.0,86288,0,0,0,309,1869,0,0,6112,6112,92400,110017,82976,0,0,100593,82976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5803,0,0,309,0,0,0,0,0,0,0,0,0,0,92400,-17617,0,0,0,0,0,0,0,0,100593,244358,0,7910,492,0,244000,496760,488850,0,0,0,,92400,3,7,1.0,1,1.0,2.0,1997,1997,HOUSING SYMPHONY ORCHESTRA INC,,250 BROADWAY,NEW YORK,NY,10007-2516,0.0,3.0,2.0,197402.0,1.0,15.0,90.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,5602.0,1,1,1,0,9.0,1,1,9,1,1,8,,36061.0,,1,A,A69,,0.0,4,2006.0,0.0,4,2006.0,0.0,6,2002.0,0.0,4,2006.0,0.0,6,2002.0,0.0,6,2002.0,0.0,4,2006.0,0.0,4,2006.0,86288.0,4,2006.0,0.0,4,2006.0,PC,O,AR,A,IN,,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,36793.0,6,2002.0,A69,A
29975,36061,5602.0,5600.0,,70.0,NY,10008.0,133571240,A6A,A,A,,,O,A,A,AR,AR,AR,PC,AR,1,IN,1,A6A,199806.0,173285,0,0,0,918,0,0,0,31364,31364,204649,242027,48926,0,0,118697,50706,32393,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,30446,0,0,918,0,0,0,0,0,0,0,0,0,0,204649,-37378,0,84783,8831,0,0,0,0,0,86304,787080,0,132756,2594,0,0,922430,789674,0,0,0,,204649,3,9,1.0,2,2.0,2.0,2000,1999,L OPERA FRANCAIS OF NEW YORK INC,,PO BOX 3151,NEW YORK,NY,10008-3151,0.0,3.0,1.0,199409.0,1.0,15.0,200.0,0.0,0.0,1.0,13.0,0.0,10.0,6,,5602.0,1,1,1,0,9.0,1,1,9,1,1,8,A6A,36061.0,,1,A,A6A,,12006.0,3a,2000.0,0.0,3a,2000.0,48926.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,161279.0,3a,2000.0,0.0,3a,2000.0,PC,O,AR,A,IN,,0.0,3a,2000.0,0.0,3a,2000.0,0.0,3a,2000.0,13102.0,3a,2000.0,A6A,A
29986,36061,5602.0,5600.0,,70.0,NY,10008.0,136041343,A12,A,B,5.0,,S,A,A,AR,AR,AR,PC,ZB,1,IN,0,A12,199812.0,0,0,698028,268295,69966,0,0,0,767994,499699,767994,69283,1797276,23185,0,1366905,1797276,0,0,4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,68907,0,0,0,429733,0,0,0,0,0,499699,430416,-45,0,0,0,0,0,0,4248,1366905,0,0,0,0,0,0,0,0,0,0,0,,499699,3,10,4.0,2,3.0,1.0,1999,1999,R BELKNAP TRUST WINTERTHUR MUSEUM & RESEARCH LIBRARY,% BANKERS TRUST CO,PO BOX 829,NEW YORK,NY,10008-0829,0.0,3.0,1.0,197202.0,1.0,17.0,602.0,0.0,0.0,2.0,13.0,0.0,10.0,12,,5602.0,1,1,1,0,1.0,1,1,1,1,42,8,,36061.0,,1,A,A11,50,,,,,,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,,,,0.0,3a,1999.0,PC,S,ZB,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,1620669.0,3a,1999.0,4800.0,3a,1999.0,A1150,A
30004,36061,5602.0,5600.0,,70.0,NY,10008.0,136919198,A11,A,A,,,S,A,A,AR,AR,AR,PC,ZA,1,IN,1,A11,199812.0,0,0,412883,0,273703,0,0,0,686586,686586,686586,272472,6200691,38165,0,5786577,6200691,0,0,23536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314,271389,0,0,0,412883,0,0,0,0,0,686586,414114,0,0,0,0,0,0,0,22054,5786577,0,0,0,0,0,0,0,0,0,0,0,,686586,3,10,5.0,3,3.0,2.0,1999,1999,D B MELVILLE TR,% BANKERS TRUST COMPANY,PO BOX 829 CHURCH ST STATION,NEW YORK,NY,10008-0829,0.0,3.0,1.0,198912.0,1.0,17.0,602.0,0.0,0.0,2.0,13.0,0.0,10.0,12,FBO MUSEUMS STONY BROOK 2,5602.0,1,1,1,0,1.0,1,1,1,1,41,8,,36061.0,,1,A,A11,54,,,,,,,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,0.0,3a,1999.0,,,,0.0,3a,1999.0,PC,S,ZA,A,IN,,0.0,3a,1999.0,0.0,3a,1999.0,6129290.0,3a,1999.0,23500.0,3a,1999.0,A1154,A
