,EIN,DocCD,TAXPER,TaxPer_OLD,ARC,ASS_CODE,EOSTATUS,INC_CODE,LRC,POPCD,RECCODE,RESERVED,SOIYR,CYCLE,NTEEIRS,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NumEmpEstimate,NumEmpCode,NumEmpYr,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,PayAfflEstimate,PayAfflCode,PayAfflYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,NetLandEstimate,NetLandCode,NetLandYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,PermRnaEstimate,PermRnaCode,PermRnaYr,TempRnaEstimate,TempRnaCode,TempRnaYr,GovGtEstimate,GovGtCode,GovGtYr,AdminExpEstimate,AdminExpCode,AdminExpYr,ProgExpEstimate,ProgExpCode,ProgExpYr,NAICS,LONGITUDE,LATITUDE,ProffeesEstimate,ProffeesCode,ProffeesYr,OccuEstimate,OccuCode,OccuYr,InterEstimate,InterCode,InterYr,GrantEstimate,GrantCode,GrantYr,DepRecEstimate,DepRecCode,DepRecYr,CommEstimate,CommCode,CommYr,AssIndEstimate,AssIndCode,AssIndYr,compothestimate,compothcode,compothyr,EmpBenEstimate,EmpBenCode,EmpBenYr,SupplyEstimate,SupplyCode,SupplyYr,PensionEstimate,PensionCode,PensionYr,benmemestimate,benmemCode,benmemYr,othexpestimate,othexpCode,othexpYr,epostcard
24336,112495664,93,201006,201006,N,8,1,7,Y,1,1,0,2009,201126,A520,2009,4241595,0,1038329,849078,34727,0,112793,57155,0,0,6504534,6919016,6630476,0,0,12488544,10597003,3983088,3966527,0,0,0,0,0,0,0,0,15577,829435,-3992,45860,,5527086,5527086,133055,189251,0,0,0,11585,169948,-1391930,0,2997308,239931,0,0,525000,225000,8505456,0,0,0,0,0,34727,133055,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,60,1,29493155215101,2010,N,11213-1930,11213.0,IN,,112495664201006,1124956642010.0,6,60.0,0.0,0.0,145 BROOKLYN AVE,3.0,0.0,BROOKLYN,1.0,,1.0,15.0,10.0,0.0,BROOKLYN CHILDRENS MUSEUM CORP,1.0,198110.0,,NY,rtf10pc,,5.0,5.0,5.0,A52,A,124,M,2007,36047.0,5602.0,5600.0,A52,A,PC,O,AR,A,A,,AR,AR,AR,0.8220799999999999,A,2194806,c4,2004,0,c4,2004,0,dd,2003,1385820.0,c4,2007.0,0,dd,2003,0,dd,2003,3768940,dd,2003,103330,dd,2003,730967,dd,2003,861443.0,dd,2003.0,2070550.0,c4,2007.0,3174106.0,c4,2007.0,2046789,c4,2004,,,,,,,712110.0,-73.94405129399999,40.674302677,,u,,163117,dd,2003,0,dd,2003,0,dd,2003,73003,dd,2003,269120,dd,2003,,u,,,u,,505351,dd,2003,235341,dd,2003,76558,dd,2003,,u,,,u,,
24341,112496130,92,200912,200912,N,1,1,3,Y,1,1,0,2009,201048,,2009,32500,0,0,0,0,0,0,0,0,0,32500,32000,674,0,0,174,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32500,32500,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,62,1,29492310163330,2009,N,11367-2841,11367.0,IN,,112496130200912,1124961302009.0,12,62.0,0.0,0.0,7520 VLEIGH PL,3.0,198312.0,FLUSHING,1.0,,1.0,15.0,20.0,0.0,OHR YAACOV L CHOZRAY B TISHUVA INC,1.0,198003.0,,NY,CORE09pc,,,,,A80,A,0,L,0,36081.0,5602.0,5600.0,A80,A,PC,O,AR,A,A,,AR,AR,AR,0.25995,B,32500,ez,2009,0,ez,2009,0,ag,0,,u,,34,av,0,23,av,0,145,av,0,15,av,0,371,av,0,371.0,av,0.0,,u,,,u,,0,ez,2009,,,,,,,712120.0,-73.82002989600001,40.722189924,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
24376,112507185,93,201006,201006,N,3,1,4,Y,1,1,0,2009,201113,,2009,25418,0,0,0,0,0,0,0,0,0,336450,254485,55030,0,0,38523,57742,119,2712,55030,0,0,0,0,0,0,65339,0,245427,0,266,,271111,271111,0,0,0,0,0,0,0,16626,0,0,0,0,0,0,0,38404,0,0,0,0,0,0,65339,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,38404,88,1,29493064115081,2010,N,11215-1209,11215.0,IN,,112507185201006,1125071852010.0,6,88.0,0.0,0.0,748 UNION ST,3.0,0.0,BROOKLYN,2.0,,1.0,16.0,10.0,0.0,SPOKE THE HUB DANCING INC,1.0,198003.0,,NY,rtf10pc,1.0,2.0,2.0,2.0,A62,A,0,L,0,36047.0,5602.0,5600.0,A62,A,PC,O,AR,A,A,,AR,AR,AR,0.9634,B,11795,c4,2007,0,c4,2007,0,dd,2003,55030.0,c4,2007.0,0,dd,2003,0,dd,2003,0,dd,2003,57742,dd,2003,0,dd,2003,0.0,dd,2003.0,0.0,c4,2007.0,0.0,c4,2007.0,13623,c4,2007,,,,,,,711120.0,-73.977863829,40.675332189,,u,,46862,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,63776,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
24382,112508369,93,201106,201106,N,6,1,6,Y,1,1,0,2010,201141,,2010,26513,0,0,0,3460,0,52402,412938,0,0,2711759,2642328,1511179,0,0,1562873,1552177,88805,40998,0,0,0,0,0,0,0,0,0,2216446,0,0,,2659357,2659357,0,0,0,0,0,0,465340,17029,0,1259418,126672,0,0,0,0,1474068,0,0,0,0,0,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,60,1,93493273006121,2011,Y,11004-1129,11004.0,IN,,112508369201106,1125083692011.0,6,60.0,119.0,249.0,7350 LITTLE NECK PKWY,3.0,0.0,FLORAL PARK,1.0,,1.0,15.0,10.0,0.0,COLONIAL FARMHOUSE RESTORATION SOCIETY OF BELLEROSE INC,1.0,197911.0,,NY,rtf10pc,4.0,4.0,4.0,4.0,A82,A,339,M,2007,36081.0,5602.0,5600.0,A82,A,PC,O,AR,A,A,,AR,AR,AR,0.79423,A,26513,c4,2004,0,c4,2004,0,dd,2003,1511179.0,c4,2007.0,0,dd,2003,5396,dd,2003,0,dd,2003,49732,dd,2003,867749,dd,2003,873729.0,dd,2003.0,0.0,c4,2007.0,0.0,c4,2007.0,0,c4,2004,,,,,,,,-73.718775,40.747215000000004,,u,,0,dd,2003,7789,dd,2003,0,dd,2003,59483,dd,2003,551919,dd,2003,,u,,,u,,12746,dd,2003,235808,dd,2003,3824,dd,2003,,u,,,u,,
24404,112515828,93,201008,201008,N,4,1,4,Y,1,1,0,2009,201131,A230,2009,212751,0,0,0,0,0,0,0,0,0,311694,328526,95788,17000,0,400115,413917,373364,318129,0,0,0,0,0,0,0,0,0,98943,0,0,,311694,311694,0,0,0,0,0,0,0,-16832,0,0,0,0,0,0,318129,26751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,994,1,29493071204081,2010,N,11432-0000,11432.0,IN,,112515828201008,1125158282010.0,8,994.0,404.0,0.0,1176-03 JAMAICA AVE,3.0,198408.0,JAMAICA,1.0,,1.0,16.0,10.0,0.0,AFRICAN POETRY THEATRE INC,1.0,198001.0,,NY,rtf10pc,2.0,2.0,2.0,2.0,A23,A,12,M,2005,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,,AR,AR,AR,0.11928,A,67339,c4,2005,0,c4,2005,0,dd,2003,95788.0,c4,2005.0,0,dd,2003,0,dd,2003,0,dd,2003,17576,dd,2003,352747,dd,2003,366708.0,dd,2003.0,0.0,c4,2005.0,0.0,c4,2005.0,145412,c4,2005,,,,,,,710000.0,-73.783930982,40.707158557,,u,,42390,dd,2003,4097,dd,2003,0,dd,2003,2583,dd,2003,74807,dd,2003,,u,,,u,,0,dd,2003,13982,dd,2003,0,dd,2003,,u,,,u,,
24406,112516146,92,200812,201012,N,2,1,3,N,1,1,0,2008,201048,,2008,84131,0,0,0,0,0,0,0,0,0,84131,60422,21290,0,0,762,21290,3184,0,0,0,0,0,0,0,0,0,0,0,0,0,,84131,84131,0,0,0,0,0,0,0,23709,0,0,0,0,0,0,0,-2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,92,1,29492310201120,2008,N,11379-1622,11379.0,IN,,112516146200812,1125161462008.0,12,92.0,120.0,123.0,6802 METROPOLITAN AVE,3.0,0.0,MIDDLE VLG,1.0,,1.0,16.0,20.0,0.0,COUNCIL ON NATIONAL LITERATURES INC,5.0,198104.0,,NY,CORE09pc,,,,,A70,A,0,L,0,36081.0,5602.0,5600.0,A70,A,PC,O,AR,A,A,,AR,AR,AR,0.40878000000000003,A,84131,ez,2008,0,ez,2008,0,dd,2002,,ez,0.0,0,dd,2002,0,dd,2002,0,dd,2002,0,dd,2002,0,dd,2002,0.0,dd,2002.0,,ez,0.0,,ez,0.0,0,ez,2008,,,,,,,710000.0,-73.890129398,40.71185356,,u,,0,dd,2002,0,dd,2002,0,dd,2002,0,dd,2002,0,dd,2002,,u,,,u,,0,dd,2002,0,dd,2002,0,dd,2002,,u,,,u,,
24412,112517055,93,201012,201012,N,7,1,6,Y,1,1,0,2010,201152,A500,2010,2053602,0,8513,8663,6184,0,0,0,0,0,2368855,3095172,7364003,202402,85000,11291511,8430973,3025197,1066970,0,0,0,0,0,0,0,0,142386,211367,-53482,285,,2217806,2217806,0,-150,0,0,0,88904,0,-877366,0,466377,57267,0,0,0,879188,8266314,0,0,0,0,0,6184,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,119,1,29493344000131,2010,N,10013-4477,10013.0,IN,,112517055201012,1125170552010.0,12,119.0,0.0,0.0,70 MULBERRY STREET 2ND FLOOR,3.0,0.0,NEW YORK,2.0,,1.0,15.0,10.0,0.0,MUSEUM OF CHINESE IN THE AMERICA,1.0,198211.0,,NY,rtf10pc,5.0,4.0,4.0,4.0,A54,A,11,N,2004,36061.0,5602.0,5600.0,A54,A,PC,O,AR,A,A,,AR,AR,AR,0.14793,A,1190364,s1,2008,3535,s1,2008,0,s1,2008,1513045.0,c4,2007.0,0,s1,2008,203508,s1,2008,16558,s1,2008,632719,s1,2008,134224,s1,2008,114301.0,s1,2008.0,177727.0,c4,2007.0,5673231.0,c4,2007.0,859703,s1,2008,,,,,,,712110.0,-73.9992005,40.71644417,,u,,765680,s1,2008,40516,s1,2008,20652,s1,2008,2950,s1,2008,97947,s1,2008,,u,,,u,,159508,s1,2008,234444,s1,2008,0,s1,2008,,u,,,u,,
24458,112530319,93,201006,201006,N,3,1,4,Y,1,1,0,2009,201111,S20,2009,193701,0,0,0,0,0,0,0,0,0,193701,199629,-9451,0,0,36167,76372,39690,85823,0,0,0,0,0,0,0,0,0,0,0,0,,193701,193701,0,0,0,0,0,0,0,-5928,0,101715,7771,0,0,0,0,-3523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,402,1,29493331128080,2010,N,11233-3104,11233.0,IN,,112530319201006,1125303192010.0,6,402.0,994.0,0.0,1958 FULTON ST,3.0,0.0,BROOKLYN,1.0,EAST NEY YORK LEARNING CENTER INC,1.0,15.0,10.0,0.0,EAST NEW YORK LEARNING CENTER INC,1.0,198609.0,,NY,rtf10pc,1.0,2.0,2.0,2.0,A23,A,15,M,2006,36047.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,,AR,AR,AR,0.02684,A,0,c4,2006,0,c4,2006,0,dd,2003,0.0,c4,2006.0,0,dd,2003,20405,dd,2003,0,dd,2003,0,dd,2003,12709,dd,2003,11652.0,dd,2003.0,0.0,c4,2006.0,-9451.0,c4,2006.0,193701,c4,2006,,,,,,,710000.0,-73.920063992,40.678382631999995,,u,,33124,dd,2003,0,dd,2003,0,dd,2003,3312,dd,2003,2540,dd,2003,,u,,,u,,7729,dd,2003,5797,dd,2003,0,dd,2003,,u,,,u,,
24464,112532555,92,201006,201006,N,2,1,3,Y,1,1,0,2009,201051,A600,2009,45675,0,0,0,12,0,0,0,0,0,84217,57962,18464,0,0,7791,18464,0,0,0,0,0,0,0,0,0,0,0,38530,0,0,,84217,84217,0,0,0,0,0,0,0,26255,0,0,0,0,0,0,0,7791,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,998,1,29492331041290,2010,N,11201-3439,11201.0,IN,,112532555201006,1125325552010.0,6,998.0,0.0,0.0,115 MONTAGUE ST APT 8C,3.0,0.0,BROOKLYN,1.0,,1.0,16.0,0.0,0.0,PROVIDENCE PRODUCTIONS INTERNATIONAL INCORPORATED,1.0,198403.0,,NY,CORE09pc,,,,,A60,A,0,L,0,36047.0,5602.0,5600.0,A60,A,PC,O,AR,A,A,,AR,AR,AR,0.6685800000000001,A,45675,ez,2010,0,ez,2010,0,dd,2002,,ez,0.0,0,dd,2002,2308,dd,2002,0,dd,2002,16051,dd,2002,0,dd,2002,0.0,dd,2002.0,,ez,0.0,,ez,0.0,0,ez,2010,,,,,,,711100.0,-73.99448314199999,40.694690736999995,,u,,1061,dd,2002,0,dd,2002,0,dd,2002,193,dd,2002,8487,dd,2002,,u,,,u,,0,dd,2002,1495,dd,2002,0,dd,2002,,u,,,u,,
24471,112534644,92,200904,201004,N,1,1,3,Y,1,1,0,2008,201112,,2008,0,0,0,0,0,0,0,0,0,0,93375,114533,-50671,0,0,3365,3264,32878,53935,0,0,0,0,0,0,0,0,0,93375,0,0,,93375,93375,0,0,0,0,0,0,0,-21158,0,0,0,0,0,0,0,-29513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,994,1,29492303006240,2009,N,11432-6141,11432.0,IN,,112534644200904,1125346442009.0,4,994.0,0.0,0.0,90-04 161ST STREET,3.0,0.0,JAMAICA,2.0,,1.0,15.0,20.0,0.0,REACH INTO CULTURAL HEIGHTS INC,1.0,199109.0,RICH,NY,rtf10pc,1.0,1.0,1.0,2.0,A20,A,0,L,0,36081.0,5602.0,5600.0,A20,A,PC,O,AR,A,A,,AR,AR,AR,0.67097,B,0,a,2009,0,a,2009,0,dd,2001,-50671.0,c4,2007.0,0,dd,2001,0,dd,2001,0,dd,2001,3264,dd,2001,0,dd,2001,0.0,dd,2001.0,0.0,c4,2007.0,0.0,c4,2007.0,0,a,2009,,,,,,,710000.0,-73.798863176,40.704462269000004,,u,,0,dd,2001,0,dd,2001,0,dd,2001,0,dd,2001,6251,dd,2001,,u,,,u,,0,dd,2001,3630,dd,2001,0,dd,2001,,u,,,u,,
24474,112535978,92,200912,201012,N,4,1,3,Y,1,1,0,2009,201029,A6E0,2009,0,0,0,0,0,0,0,0,0,0,40995,43236,-184471,0,0,235670,233781,416515,418252,0,0,0,0,0,0,0,0,0,0,0,40995,,40995,40995,0,0,0,0,0,0,0,-2241,0,0,0,0,0,0,0,-180845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,46,1,29492184422110,2009,N,11354-0000,11354.0,IN,,112535978200912,1125359782009.0,12,46.0,0.0,0.0,137-138 NORTHERN BLVD,3.0,0.0,QUEENS,2.0,,1.0,11.0,20.0,0.0,QUEENS NEW YORK SCHOOL OF MUSIC INC,1.0,198008.0,,NY,CORE09pc,,,,,A6E,A,0,L,0,36081.0,5602.0,5600.0,A6E,A,PC,O,AR,A,A,,AR,AR,AR,0.6270399999999999,A,0,a,2009,0,a,2009,0,dd,2003,-184471.0,c4,2006.0,7390,dd,2003,4397,dd,2003,0,dd,2003,5426,dd,2003,0,dd,2003,0.0,dd,2003.0,0.0,c4,2006.0,0.0,c4,2006.0,0,a,2009,,,,,,,611610.0,-73.8270615,40.764103000000006,,u,,5538,dd,2003,0,dd,2003,0,dd,2003,2927,dd,2003,5142,dd,2003,,u,,,u,,0,dd,2003,1226,dd,2003,0,dd,2003,,u,,,u,,
24525,112556169,92,201007,201007,N,2,1,3,Y,1,1,0,2009,201118,A6BZ,2009,19279,11110,0,0,3,0,0,0,0,0,37970,43152,10699,0,0,15881,10699,0,0,0,0,0,0,0,0,0,0,0,7578,0,0,,37970,37970,0,0,0,0,0,0,0,-5182,0,0,0,0,0,0,0,15881,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,402,1,29492099031421,2010,N,11201-4028,11201.0,IN,,112556169201007,1125561692010.0,7,402.0,408.0,0.0,254 HICKS ST,3.0,0.0,BROOKLYN,2.0,,1.0,15.0,20.0,0.0,GRACE & SPIRITUS CHORALE OF BROOKLYN,1.0,198105.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A6B,A,0,L,0,36047.0,5602.0,5600.0,A6B,A,PC,O,AR,A,A,,AR,AR,AR,0.9469,A,19279,c4,2006,0,c4,2006,0,dd,2003,10699.0,c4,2006.0,0,dd,2003,4377,dd,2003,0,dd,2003,6160,dd,2003,0,dd,2003,0.0,dd,2003.0,0.0,c4,2006.0,0.0,c4,2006.0,0,c4,2006,,,,,,,711130.0,-73.99620999999999,40.6934545,,u,,1648,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,8241,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
24531,112557794,93,201012,201012,N,4,1,3,Y,1,1,0,2010,201124,M23Z,2010,90330,0,0,0,301,0,0,0,0,0,98470,151780,216672,0,0,404778,365640,134796,148968,216672,0,0,0,0,0,0,0,0,7839,0,0,,98470,98470,0,0,0,0,0,0,0,-53310,0,0,0,0,0,0,0,269982,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,158,1,93493157007081,2010,Y,11693-1037,11693.0,IN,,112557794201012,1125577942010.0,12,158.0,407.0,0.0,15 NOEL RD,3.0,0.0,BROAD CHANNEL,1.0,,1.0,15.0,10.0,0.0,BROAD CHANNEL VOLUNTEERS INC,1.0,199801.0,,NY,rtf10pc,2.0,1.0,1.0,2.0,A32,A,0,L,0,36081.0,5602.0,5600.0,A32,A,PC,O,AR,A,A,,AR,AR,AR,0.83416,A,81056,c4,2006,0,c4,2006,0,dd,2003,216672.0,c4,2006.0,0,dd,2003,0,dd,2003,0,dd,2003,58404,dd,2003,120834,dd,2003,157215.0,dd,2003.0,0.0,c4,2006.0,0.0,c4,2006.0,9274,c4,2006,,,,,,,513120.0,-73.819079286,40.607057356999995,,u,,0,dd,2003,2407,dd,2003,0,dd,2003,69817,dd,2003,13241,dd,2003,,u,,,u,,0,dd,2003,2298,dd,2003,0,dd,2003,,u,,,u,,
24535,112558552,93,200912,201012,N,2,1,4,Y,1,1,0,2009,201127,A230,2009,0,0,0,0,668,0,0,0,0,0,182307,224657,-70577,25246,0,38851,18423,67078,89000,-264414,0,0,0,0,0,0,0,0,95817,0,85822,,182307,182307,0,0,0,0,0,0,0,-42350,0,16000,3232,0,0,0,0,-28227,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,-222064,90,1,29493345198190,2009,N,10001-6116,10001.0,IN,,112558552200912,1125585522009.0,12,90.0,0.0,0.0,305 7TH AVE FL 17,6.0,0.0,NEW YORK,1.0,,1.0,15.0,10.0,9250.0,BHARATIYA VIDYA BHAVAN USA INC,1.0,198503.0,,NY,rtf10pc,1.0,2.0,2.0,2.0,A23,A,2,M,2005,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,,AR,AR,AR,0.85721,B,0,a,2009,0,a,2009,0,dd,2003,-70577.0,c4,2005.0,0,dd,2003,0,dd,2003,0,dd,2003,3955,dd,2003,14461,dd,2003,30496.0,dd,2003.0,0.0,c4,2005.0,0.0,c4,2005.0,0,a,2009,,,,,,,710000.0,-73.9938181,40.747034899999996,,u,,4947,dd,2003,0,dd,2003,0,dd,2003,29797,dd,2003,86860,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
24542,112561538,93,201009,201009,N,5,1,5,Y,1,1,0,2009,201120,A600,2009,971265,0,0,0,334,0,0,0,0,0,971599,1220740,487749,76750,0,961645,742372,224755,254623,0,0,0,0,0,0,0,0,0,0,0,0,,971599,971599,0,0,0,0,0,0,0,-249141,0,96878,16558,0,0,0,0,736890,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,90,1,29493120010121,2010,N,11201-4421,11201.0,IN,,112561538201009,1125615382010.0,9,90.0,119.0,0.0,32 COURT STREET SUITE 807,3.0,0.0,BROOKLYN,1.0,JOSEPH NACMIAS,1.0,13.0,10.0,0.0,SEASIDE SUMMER CONCERT SERIES INC,1.0,198104.0,,NY,rtf10pc,3.0,3.0,3.0,4.0,A60,A,1,M,2007,36047.0,5602.0,5600.0,A60,A,PC,O,AR,A,A,,AR,AR,AR,0.9164700000000001,A,652350,c4,2006,0,c4,2006,0,dd,2003,487749.0,c4,2007.0,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,0.0,dd,2003.0,0.0,c4,2007.0,0.0,c4,2007.0,318915,c4,2006,,,,,,,711100.0,-73.9903693,40.692764399999994,,u,,0,dd,2003,0,dd,2003,0,dd,2003,5252,dd,2003,10982,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
24552,112565236,93,201012,201012,N,4,1,3,Y,1,1,0,2010,201120,,2010,51484,0,0,0,1160,0,0,0,0,0,52644,34050,118206,0,0,99612,118206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,52644,52644,0,0,0,0,0,0,0,18594,0,0,0,0,0,0,0,99612,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,92,1,93493130020181,2010,N,11439-9000,11439.0,IN,,112565236201012,1125652362010.0,12,92.0,90.0,0.0,8000 UTOPIA PKWY,3.0,0.0,JAMAICA,1.0,SAINT JOHNS UNIVERSITY,1.0,16.0,10.0,0.0,ARBA SICULA INC,1.0,198202.0,,NY,rtf10pc,2.0,1.0,1.0,1.0,A23,A,0,L,0,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,,AR,AR,AR,0.02748,A,51484,j3,2009,0,j3,2009,0,j3,2009,118206.0,j3,2009.0,0,j3,2009,0,j3,2009,0,j3,2009,68123,j3,2009,0,j3,2009,0.0,j1,2009.0,0.0,j3,2009.0,0.0,j3,2009.0,0,j3,2009,,,,,,,710000.0,-73.7907,40.7197,,u,,0,j3,2009,0,j3,2009,0,j3,2009,0,j3,2009,0,j3,2009,,u,,,u,,0,j3,2009,0,j3,2009,0,j3,2009,,u,,,u,,
24597,112579252,93,201012,201012,N,4,1,3,Y,1,1,0,2010,201148,A650,2010,34363,0,0,0,0,0,0,0,0,0,42610,61950,92560,0,0,120904,106857,9003,14297,0,0,0,0,0,0,0,0,0,8247,0,0,,42610,42610,0,0,0,0,0,0,0,-19340,0,0,0,0,0,9003,7197,111901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,88,1,29493267046041,2010,N,11214-5327,11214.0,IN,,112579252201012,1125792522010.0,12,88.0,90.0,0.0,2445 BATH AVE,3.0,0.0,BROOKLYN,2.0,,1.0,15.0,20.0,0.0,RYAN REPERTORY COMPANY INC,1.0,198110.0,,NY,rtf10pc,2.0,1.0,1.0,1.0,A65,A,0,L,0,36047.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,,AR,AR,AR,0.6896100000000001,A,29954,c4,2006,4409,c4,2006,0,dd,2003,92560.0,c4,2006.0,0,dd,2003,0,dd,2003,0,dd,2003,1102,dd,2003,105676,dd,2003,119647.0,dd,2003.0,0.0,c4,2006.0,0.0,c4,2006.0,0,c4,2006,,,,,,,711110.0,-73.991684282,40.5947208,,u,,0,dd,2003,0,dd,2003,0,dd,2003,4851,dd,2003,6367,dd,2003,,u,,,u,,0,dd,2003,1314,dd,2003,0,dd,2003,,u,,,u,,
24620,112587607,93,201012,201012,N,3,1,3,Y,1,1,0,2010,201127,,2010,21603,0,0,0,0,0,0,0,0,0,33201,31146,26698,0,0,24643,26698,0,0,0,0,0,0,0,0,0,0,0,11598,0,0,,33201,33201,0,0,0,0,0,0,0,2055,0,0,0,0,0,0,0,24643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,64,1,29493162062001,2010,N,10021-5009,10021.0,IN,,112587607201012,1125876072010.0,12,64.0,994.0,0.0,686 PARK AVE,3.0,198606.0,NEW YORK,2.0,,1.0,15.0,20.0,0.0,ITALIAN HERITAGE AND CULTURE COMMITTEE OF NEW YORK INC,1.0,198202.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A23,A,0,L,0,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,,AR,AR,AR,0.03812,A,21603,j3,2009,0,j3,2009,0,j3,2009,26698.0,j3,2009.0,0,j3,2009,0,j3,2009,0,j3,2009,26698,j3,2009,0,j3,2009,0.0,j1,2009.0,0.0,j3,2009.0,0.0,j3,2009.0,0,j3,2009,,,,,,,710000.0,-73.965557022,40.768978944000004,,u,,0,j3,2009,0,j3,2009,0,j3,2009,0,j3,2009,153,j3,2009,,u,,,u,,0,j3,2009,24972,j3,2009,0,j3,2009,,u,,,u,,
