,EIN,TAXPER,ARC,ASS_CODE,EOSTATUS,INC_CODE,LRC,POPCD,RECCODE,RESERVED,SOIYR,CYCLE,NTEEIRS,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,NAICS,DocCd
9756,112022650,200812,N,3,1,4,Y,1,1,0,2008,200922,,2008,0,7570,0,0,0,0,0,0,0,0,135180,131755,66056,0,0,63584,66311,2004,255,0,0,0,0,0,0,0,0,0,127610,0,0,,135180,135180,0,0,0,0,0,0,0,3425,0,0,0,0,0,0,0,61580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,920,1,29492122127179,2008,Y,11223-5002,11223.0,112022650200812,1120226502008,12.0,920.0,0.0,0.0,2366 CONEY ISLAND AVE,3.0,0.0,BROOKLYN,2.0,,2.0,1.0,0.0,10.0,0.0,AUTO BODY CRAFTSMENS GUILD INC,1.0,196506,,NY,rtf08co,1.0,2.0,2.0,2.0,36047.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.44958000000000004,A,A40,A,710000.0,92
9823,112224061,200806,N,4,1,4,Y,1,1,0,2007,200911,,2007,0,211759,36023,38625,5452,0,0,0,41475,2850,253234,495651,-563432,192259,0,413549,475078,706755,1038510,0,0,0,0,0,0,0,0,0,0,0,0,,214609,214609,0,-2602,0,0,0,0,0,-281042,10816,19933,13170,0,0,0,0,-293206,0,0,0,0,2454,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,566,1,29490059184039,2008,N,10016-0000,10016.0,112224061200806,1122240612008,6.0,566.0,0.0,0.0,386 PARIC AVE S,3.0,0.0,NEW YORK,3.0,,2.0,1.0,0.0,10.0,0.0,EXHIBITION EMPLOYEES LOCAL 829 HIRING HALL FUND,2.0,197111,,NY,rtf08co,2.0,2.0,2.0,2.0,36061.0,5602.0,5600.0,A114,A,O,S,ZA,A,A,IN,,1,AR,AR,AR,0.72656,B,A1140,A,813219.0,90
9997,112511065,200806,N,4,1,4,Y,1,1,0,2007,200920,,2007,0,0,0,0,4214,0,0,0,147283,147283,147283,114797,235945,0,0,209077,240742,5618,4797,0,0,0,0,0,0,0,0,0,143069,0,0,,147283,147283,0,0,0,0,0,0,0,32486,0,0,0,0,0,0,0,203459,0,0,0,0,4214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,1,93490133002349,2008,N,11241-0000,11241.0,112511065200806,1125110652008,6.0,200.0,0.0,0.0,C/O WILLIAM ROTHBERG 16 COURT ST,3.0,0.0,BROOKLYN,1.0,WILLIAM ROTHBERG,2.0,1.0,0.0,10.0,0.0,BUILDING RESTORATION CONTRACTORS INDUSTRY PROMOTION FUND OF NY,2.0,197912,,NY,rtf08co,2.0,2.0,2.0,2.0,36047.0,5602.0,5600.0,A82,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.7932600000000001,B,A82,A,,90
10038,112579110,200812,N,3,1,3,Y,1,1,0,2008,200930,,2008,0,0,0,0,0,0,0,0,0,0,40382,45789,31147,0,0,36554,31386,0,239,0,0,0,0,0,0,0,0,0,40382,0,0,,40382,40382,0,0,0,0,0,0,0,-5407,0,0,0,0,0,0,0,36554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,200,1,29493185364279,2008,N,10472-3102,10472.0,112579110200812,1125791102008,12.0,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,BRONX,1.0,CHARLES WEINER,2.0,1.0,0.0,10.0,0.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,1.0,198311,,NY,rtf08co,1.0,1.0,1.0,1.0,36005.0,5602.0,5600.0,A65,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.45824,C,A65,A,711110.0,93
10127,112689446,200712,N,0,1,4,Y,1,1,0,2007,200849,,2007,0,336689,0,0,0,0,0,0,0,0,336689,355411,-28486,204396,0,-7201,-15544,2563,12942,-28486,2100,0,0,0,0,0,0,0,0,0,0,,336689,336689,0,0,0,0,0,0,0,-18722,0,7561,12011,0,0,0,0,-9764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-9764,261,1,29490313028018,2007,N,10461-2622,10461.0,112689446200712,1126894462007,12.0,261.0,0.0,0.0,1401 BLONDELL AVE,3.0,0.0,BRONX,1.0,,2.0,13.0,0.0,20.0,0.0,PRODUCTION INDUSTRIAL TECHNICAL,1.0,199104,,NY,CORE07co,0.0,2.0,2.0,2.0,36005.0,5602.0,5600.0,A60,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.08171,C,A60,A,711100.0,90
10129,112691482,200812,N,4,1,7,Y,1,1,0,2008,200952,,2008,0,0,0,0,0,0,0,0,0,0,6409355,6371254,58300,187220,0,116474,215015,96275,156715,58300,0,0,0,0,0,0,0,0,6406293,0,3062,,6409355,6409355,0,0,0,0,0,0,0,38101,0,57667,12128,0,0,0,0,20199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,20199,254,1,29493346016199,2008,N,10461-2622,10461.0,112691482200812,1126914822008,12.0,254.0,0.0,0.0,1401 BLONDELL AVE,3.0,0.0,BRONX,1.0,,2.0,1.0,0.0,10.0,0.0,PRODUCTION INDUSTRIAL TECH TEXTILE & PROF EMPLOYEES LOC 124 WLFR FUND,2.0,199211,,NY,rtf08co,2.0,5.0,5.0,5.0,36005.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.29324,A,A40,A,710000.0,93
10207,112803536,200707,N,4,1,3,Y,1,1,0,2006,200846,,2006,0,0,0,0,0,0,0,0,67549,67549,67549,20933,134943,0,0,147727,134943,0,0,0,0,0,0,0,0,0,0,59400,0,8149,0,,8149,8149,0,0,0,0,0,67549,0,-12784,0,0,0,0,0,0,0,147727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,119,1,29409292139458,2007,N,11103-1264,11103.0,112803536200707,1128035362007,7.0,119.0,0.0,0.0,4602 30TH AVE,3.0,0.0,ASTORIA,1.0,,2.0,11.0,0.0,10.0,0.0,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,1.0,198707,,NY,CORE07co,2.0,1.0,1.0,1.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.94273,B,A23,A,710000.0,9
10251,112910678,200712,N,5,1,4,Y,1,1,0,2007,200910,,2007,3149,2005,0,0,659,0,0,37798,171007,171007,176161,158417,698957,0,0,718886,708957,0,0,0,0,0,0,0,0,0,0,37673,0,86027,0,,138488,138488,8850,0,0,0,0,123700,37798,-19929,0,19764,1512,0,0,0,0,718886,0,0,0,0,659,0,8850,0,0,0,0,0,0,955772,6154,0,0,961926,6154,5,9,0,0,907,1,29490017101139,2007,N,11433-3441,11433.0,112910678200712,1129106782007,12.0,907.0,0.0,0.0,11002 MERRICK BLVD,3.0,0.0,JAMAICA,1.0,,2.0,1.0,0.0,10.0,0.0,PROCTOR HOPSON POST MEMORIAL ASSOCIATION INCORPORATED,1.0,198906,,NY,rtf08co,3.0,2.0,2.0,2.0,36081.0,5602.0,5600.0,A80,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.22225,B,A80,A,712120.0,90
10375,113097379,200812,N,4,1,4,Y,1,1,0,2008,200933,,2008,0,0,0,0,0,0,0,0,0,0,250847,253893,269706,0,0,219868,357392,0,87686,0,0,0,0,0,0,0,0,0,83250,0,0,,250847,250847,0,0,0,0,0,0,0,-3046,0,0,0,0,0,0,0,219868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,319,1,29492206211039,2008,N,11385-6930,11385.0,113097379200812,1130973792008,12.0,319.0,119.0,0.0,7254 65TH PL,3.0,0.0,GLENDALE,1.0,DUSHAN RADOVICH,2.0,1.0,0.0,10.0,0.0,SERBIAN ASSOCIATION OF NEW YORK INC,1.0,199301,,NY,rtf08co,2.0,2.0,2.0,2.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.20911,A,A23,A,710000.0,92
10398,113123913,200812,N,4,36,3,Y,1,1,0,2008,200944,,2008,334,12600,0,0,174,0,0,0,0,0,75239,34046,231283,0,0,225299,231283,0,0,0,0,0,0,0,0,0,0,35374,0,26757,0,,39865,39865,0,0,0,0,0,62131,0,5819,0,0,0,0,0,0,0,225299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,29492290104219,2008,N,11102,11102.0,113123913200812,1131239132008,12.0,,,,,,,,,,,,0.0,,,MALTESE CTR INC,,0,,NY,rtf08co,2.0,1.0,1.0,1.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.0179,C,A23,A,710000.0,92
10431,113163244,200804,N,2,1,3,Y,1,1,0,2007,200847,A23,2007,0,300,0,0,7,0,0,0,47210,47210,47510,8095,23208,0,0,29496,23208,0,0,0,0,0,0,0,0,0,0,45703,0,1281,219,,1807,1807,0,0,0,0,0,46984,0,-6288,0,0,0,0,0,0,0,29496,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,29409299000028,2008,N,10008-2222,10008.0,113163244200804,1131632442008,4.0,0.0,0.0,0.0,PO BOX 2222,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,1.0,200201,,NY,CORE07co,1.0,1.0,1.0,1.0,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.5736600000000001,B,A23,A,710000.0,9
10466,113212678,200712,N,3,1,4,Y,1,1,0,2007,200904,,2007,233075,0,0,0,0,0,0,0,0,0,233075,232361,38301,0,0,37587,38301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,233075,233075,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,37587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,1,29490292109238,2007,N,11354-2827,11354.0,113212678200712,1132126782007,12.0,200.0,0.0,0.0,35-30 FARRINGTON ST 2FL,3.0,0.0,FLUSHING,1.0,,2.0,1.0,0.0,0.0,0.0,KOREAN-AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,1.0,199509,,NY,rtf08co,1.0,2.0,2.0,2.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.70233,A,A23,A,710000.0,90
10468,113216404,200809,N,2,1,4,Y,1,1,0,2007,200910,,2007,0,18275,0,0,0,0,0,0,97431,97431,115706,119361,15647,12000,0,21827,18172,2525,2525,10811,0,0,0,0,0,0,0,0,97431,0,0,,115706,115706,0,0,0,0,0,0,0,-3655,0,0,0,0,0,0,0,19302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14466,317,1,29490031241019,2008,N,11210-1233,11210.0,113216404200809,1132164042008,9.0,317.0,0.0,0.0,1324 FLATBUSH AVE,3.0,0.0,BROOKLYN,1.0,FREDERICK BALLENTYNE,2.0,1.0,0.0,10.0,0.0,CARIBBEAN CUP INC,1.0,199609,,NY,rtf08co,1.0,2.0,2.0,2.0,36047.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.09078,C,A23,A,710000.0,90
10479,113234458,200707,N,3,36,3,Y,1,1,0,2006,200930,,2006,0,67840,0,0,0,0,0,0,0,0,67840,68622,29426,0,0,38860,38078,8652,8652,29426,0,0,0,0,0,0,0,0,0,0,0,,67840,67840,0,0,0,0,0,0,0,-782,0,0,0,0,0,0,0,30208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,30208,0,1,29490192103029,2007,N,11436,11436.0,113234458200707,1132344582007,7.0,,,,,,,,,,,,,,,MOVEMENT OF THE CHILDREN DANCENTER INC,,0,,NY,rtf08co,1.0,1.0,1.0,1.0,36081.0,5602.0,5600.0,A62,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.36363,A,A62,A,711120.0,90
10484,113238845,200812,N,3,1,3,Y,1,1,0,2008,200933,,2008,0,17961,0,0,3614,0,0,0,0,0,78940,52497,62861,0,0,69281,74386,2778,11525,0,0,0,0,0,0,0,0,30085,0,27280,0,,48855,48855,0,0,0,0,0,57365,0,-3642,0,0,0,0,0,0,0,66503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205,1,29492206318139,2008,Y,11379-2315,11379.0,113238845200812,1132388452008,12.0,205.0,0.0,0.0,8101 FURMANVILLE AVE,3.0,0.0,MIDDLE VLG,2.0,NAT COSTANZA,2.0,1.0,0.0,10.0,0.0,A I A QUEENS INC,1.0,199503,,NY,rtf08co,1.0,1.0,1.0,1.0,36081.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.18075,C,A40,A,710000.0,92
10496,113261970,200712,N,3,1,3,Y,1,1,0,2007,200918,S40,2007,94985,0,0,0,0,0,0,0,0,0,94985,89052,41690,0,0,35757,41690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,94985,94985,0,0,0,0,0,0,0,5933,0,0,0,0,0,0,0,35757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,29409299054328,2007,N,11101-1801,11101.0,113261970200712,1132619702007,12.0,0.0,0.0,0.0,4503 37TH ST,3.0,0.0,LONG IS CITY,2.0,HYUNG SUK CHOI,2.0,1.0,0.0,10.0,0.0,KOREAN AIR CONDITIONING AND REFRIGERATION ASSOCIATION OF NEW,1.0,200003,,NY,rtf08co,1.0,1.0,1.0,1.0,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.51223,A,A23,A,710000.0,9
10504,113278319,200812,N,2,1,3,Y,1,1,0,2008,200934,S41,2008,41920,0,0,0,0,0,0,0,0,0,41920,53517,22543,0,0,34141,22544,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,41920,41920,0,0,0,0,0,0,0,-11597,0,0,0,0,0,0,0,34140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,29492206369189,2008,N,10474-0060,10474.0,113278319200812,1132783192008,12.0,0.0,0.0,0.0,800 FOOD CENTER DR UNIT 96B,3.0,0.0,BRONX,2.0,,2.0,1.0,0.0,10.0,0.0,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,1.0,199904,,NY,rtf08co,1.0,1.0,1.0,1.0,36005.0,5602.0,5600.0,A23,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.15884,A,A23,A,710000.0,92
