,EIN,TAXPER,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P6TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,p6ExmPF,p6DomOrg,p7Polit,p7Liquid,p7PoFClm,p7DisSal,p7DisBor,p7DisSer,p7DisPay,p7DisTra,p7PayGvt,p7UndInc,p7BusInt,p7JeoInv,p7Propag,p7Elect,p7IndGrt,p7OrgGrt,p7OthPur,P1GRENTS,pgoods,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TX4940,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6INVTAX,P6TXCRDT,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,PF112,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,ASCD,INCCD,FRCD,ACCPER,ASSETS,INCOME,NEGINCOM,SEC_NAME,FIPS,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,CONVTOCO,SUBSEC2,ZIP5,ntee1,nteecc,RandNum,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,FisYr,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,ntmaj10,ntmaj12,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
4326,112918759,199912,200024,29491155004000,,N,Y,0,1,1999,3,1,3,3,29,45372,0,0,0,0,0,0,0,297,45372,57796,-12424,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,57499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMERICAN FRIENDS OF THE MUSEUM OF THE MIKVEH INC,,1360 44TH ST,BROOKLYN,NY,11219-2130,0.0,3.0,1000.0,198901.0,1.0,4.0,1.0,11.0,0.0,0.0,3.0,1.0,12,0,28224,,,36047.0,29.0,0.0,0.0,B9710,,,3.0,11219,Z,Z99,0.28931399999999996,11219,5602.0,5600.0,36047.0,,1999,NY,11219,BROOKLYN,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A1150,A
4334,112942428,199912,200016,29491085006150,,N,Y,0,1,1999,3,2,1,3,90,9500,0,0,0,0,0,0,0,0,9500,11546,-2046,0,0,0,0,24275,0,0,0,0,0,24275,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,11546,0,0,0,0,1867,0,0,24275,0,24275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PODVAL ARTS AND POETRY GALLERIES LTD,V MOLOT ESQ,150 BRIGHTON 15TH ST,BROOKLYN,NY,11235-5841,0.0,3.0,1000.0,198903.0,1.0,4.0,1.0,11.0,0.0,1.0,2.0,1.0,12,5464,16900,,,36047.0,90.0,0.0,0.0,B9710,,,3.0,11235,Z,Z99,0.863122,11235,5602.0,5600.0,36047.0,,1999,NY,11235,BROOKLYN,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A70,A
4341,112948645,199906,200003,82491359014029,,N,Y,0,1,1998,3,4,4,3,602,0,2927,0,0,0,0,0,0,2000,113971,126073,-12102,40886,28782,576,113971,151300,0,0,0,0,7931,151300,0,7530,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,111044,0,113971,113971,124073,85189,38886,85189,0,583,0,0,151300,7931,143369,576,0,0,843,0,0,0,0,-267,267,152896,6954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WORLD JOURNAL CULTURE FOUNDATION INC,,141 07 20TH AVE,FLUSHING,NY,11354-0000,0.0,3.0,1000.0,198909.0,1.0,4.0,1.0,11.0,0.0,4.0,4.0,1.0,6,186316,150022,,,36081.0,602.0,0.0,0.0,B9710,,,3.0,11354,Z,Z99,0.680128,11354,5602.0,5600.0,36081.0,,1999,NY,11354,FLUSHING,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A33,A
4380,113005761,199912,200047,29491253067040,B99Z,N,Y,0,25,1999,3,1,1,3,994,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE MEDIA FOR YOUTH INC,% CHARLES G THOMAS,PO BOX 1063 PECK SLIP STA,NEW YORK,NY,10272-1063,0.0,3.0,1000.0,199005.0,1.0,4.0,1.0,11.0,200012.0,0.0,0.0,1.0,12,0,0,,,36061.0,994.0,0.0,0.0,B9710,,,3.0,10272,B,B99,0.8286319999999999,10272,5602.0,5600.0,36061.0,,1999,NY,10272,NEW YORK,PF,O,ED,B,B,IN,,ED,ED,ED,,,,,,,A30,A
4391,113028110,199912,200029,29491113013110,,N,Y,0,1,1999,3,3,3,3,429,0,0,0,0,0,0,91675,0,0,91675,81549,10126,0,0,0,0,57341,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,32722,0,0,1,0,57341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC HONG MAGAZINE,% DIEN THOAI,81 OCEAN PKY RM 3G,BROOKLYN,NY,11218-1754,0.0,3.0,2000.0,199203.0,1.0,4.0,1.0,11.0,0.0,3.0,3.0,1.0,12,36735,55945,,,36047.0,429.0,120.0,408.0,B9710,,,3.0,11218,Z,Z99,0.401994,11218,5602.0,5600.0,36047.0,,1999,NY,11218,BROOKLYN,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A33,A
4398,113038143,199911,200018,29491092006010,,N,Y,0,1,1998,3,4,3,3,200,22500,0,20781,0,-7908,0,0,0,38000,35373,38480,-3107,38179,20781,416,1,347147,0,219001,113700,332701,0,366977,0,16869,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,20781,0,480,0,179,0,0,14446,0,0,366977,0,347147,416,0,0,0,0,0,0,0,416,0,342519,16453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOSSEN FOUNDATION INC C/O ISRAEL PRESS,,1280 OCEAN PKY,BROOKLYN,NY,11230-5102,0.0,3.0,1000.0,199104.0,1.0,4.0,1.0,11.0,0.0,4.0,4.0,1.0,11,483784,270243,,,36047.0,200.0,0.0,0.0,B9710,,,3.0,11230,Z,Z99,0.528569,11230,5602.0,5600.0,36047.0,,1999,NY,11230,BROOKLYN,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A33,A
4424,113081355,199912,200024,29491148026230,,N,Y,0,1,1999,3,1,1,3,91,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAN FLAVIN ART FOUNDATION INC,% THOMAS J KOVARCIK,237 PARK AVE 21ST FL,NEW YORK,NY,10017-3140,0.0,3.0,1000.0,199209.0,1.0,4.0,1.0,13.0,0.0,0.0,0.0,1.0,12,0,0,,,36061.0,91.0,92.0,0.0,B9710,,,3.0,10017,Z,Z99,0.877131,10017,5602.0,5600.0,36061.0,,1999,NY,10017,NEW YORK,PF,O,UN,Z,Z,IN,,UN,UN,OT,,,,,,,A12,A
4444,113121207,200002,200049,29491316054230,A60Z,N,Y,0,1,1999,3,4,1,3,122,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,101510,0,0,0,0,75962,101510,44,44,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,890,0,0,101510,0,25548,0,0,0,0,0,0,0,0,0,0,890,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B KING PRODUCTIONS INC,% BECKER LONDON KOSSOW,350 PARK AVE,NEW YORK,NY,10022-6022,0.0,3.0,1000.0,199402.0,1.0,4.0,1.0,13.0,0.0,0.0,0.0,1.0,2,0,0,,,36061.0,122.0,0.0,0.0,B9710,,,3.0,10022,A,A60,0.0120315,10022,5602.0,5600.0,36061.0,,2000,NY,10022,NEW YORK,PF,O,AR,A,A,IN,,AR,AR,AR,,,,,,,A60,A
4452,113131714,199912,200017,29491092037030,A99Z,N,Y,0,1,1999,3,1,1,3,560,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEACE UNITY AND PROSPERITY FOUNDATION INC,% SARITA SACHOEUA,95 54 111TH ST,RICHMOND HILL,NY,11419-1023,0.0,3.0,1000.0,199607.0,1.0,4.0,1.0,11.0,0.0,0.0,0.0,1.0,12,0,0,,,36081.0,560.0,0.0,0.0,B9710,,,3.0,11419,A,A99,0.15980899999999998,11419,5602.0,5600.0,36081.0,,1999,NY,11419,RICHMOND HILL,PF,O,AR,A,A,IN,,AR,AR,AR,,,,,,,A99,A
4464,113137086,199912,200046,29491295020020,A99Z,N,Y,0,1,1999,3,4,4,3,560,205000,2495,4265,0,-14035,0,0,0,172672,197725,173656,24069,172672,5776,58,5776,320949,0,0,0,0,0,320949,0,15215,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,6760,6760,984,984,0,984,984,320949,0,0,320949,0,320949,58,0,0,0,0,58,0,0,0,0,308932,15157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J Z L FOUNDATION,% MICKEY WOHL,87 09 CLIO ST,HOLLISWOOD,NY,11423-0000,0.0,3.0,1000.0,199508.0,1.0,4.0,2.0,11.0,0.0,4.0,4.0,1.0,12,348636,126658,,,36081.0,560.0,0.0,0.0,B9710,,,3.0,11423,A,A99,0.130217,11423,5602.0,5600.0,36081.0,,1999,NY,11423,HOLLISWOOD,PF,O,AR,A,A,IN,,AR,AR,AR,,,,,,,A99,A
4490,113174234,199912,200042,29491232060040,A99Z,N,Y,0,1,1999,3,4,3,3,602,44425,0,7383,0,0,0,0,0,5530,51808,15661,36147,12826,7383,148,0,228420,0,0,60000,60000,0,228420,2487,10487,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,7383,0,10131,0,7296,0,0,0,0,0,228420,0,228420,148,0,0,0,0,74,0,0,74,0,212930,10339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOUNDATION FOR THE ADVANCEMENT OF ARTS AND SCIENCES FROM INDIA INC,% RAVI S KULKARNI,150 56 MELBOURNE AVE,FLUSHING,NY,11367-1439,0.0,3.0,1000.0,199310.0,1.0,4.0,1.0,11.0,199712.0,3.0,3.0,10.0,12,37469,40999,,,36081.0,602.0,0.0,0.0,B9710,,,3.0,11367,A,A99,0.348058,11367,5602.0,5600.0,36081.0,,1999,NY,11367,FLUSHING,PF,O,AR,A,A,IN,,AR,AR,AR,,,,,,,A0123,A
