,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DOCLOCNO,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,REASON,P6UNRELB,P7INTXAT,P7DIVRIN,P7ESTRIN,P1RENTN,P7INVRIN,P1SECURN,P1OTHG,P1OTHC,P1OTHN,P1SPEVC,P1INVNTG,P1TOTREV,P1NETINC,P1CHGAS,P2TWAGES,P2TPYTAX,P4B_BOND,P4E_BOND,P4B_MORT,P4E_MORT,P4E_RET1,p4b_net,A4A_CNT,A4A_MEMT,A4A_BUST,A4A_IVST,A4A_TAXT,A4A_GVTT,A4A_OTHT,A4A_TOTT,A6OEXPB,A6NTLBB,A6NGLBB,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFFILCD,CLASSCD,RULEDATE,DEDCTCD,PRFNDNCD,ACTIVCD1,ACTIVCD2,ACTIVCD3,ORGCD,DISTRICT,ADVRULDT,TAXPD,ASSETCD,INCOMECD,FILREQCD,ACCPERMO,ASSETS,INCOME,NEGINC,SECNAME,ZIP5,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,zipnew,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,STYEAR,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,ARED,DEDUCTCD,FNDNCD,FRCD,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
9442,1,4,1,130508050,199706,1997,199821,29490038112198,,N,Y,,1,1996,1,5,3,298,2425,0,0,0,39386,0,0,0,77408,-3151,79833,138979,484619,0,0,668546,579030,3000,94411,475634,0,0,0,0,0,0,0,0,0,0,0,41222,0,7508,-90442,0,N,37380,2006,0,0,0,0,79734,80559,-825,48730,0,-41948,-180927,0,0,0,0,0,3000,94411,656561,665546,0,0,0,0,0,0,0,0,0,0,0,BOHEMIAN BENEVOLENT & LITERARY ASSN OF NEW YORK CITY,JAN HIRD POKORNY PRESIDENT,321 E 73RD ST,NEW YORK,NY,10021-3705,0.0,3.0,3.0,196501.0,2.0,0.0,298.0,318.0,319.0,5.0,13.0,0.0,199806.0,5.0,4.0,0.0,6.0,0,0,,,10021.0,36061.0,5602.0,5600.0,A70,A,10021.0,36061.0,,O,O,0.59526,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1996,NY,10021.0,NEW YORK,1305080501997,A23,B,6,298.0,318.0,319.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A23,A,710000.0
9519,1,6,1,130951470,199608,1996,199730,29490130169077,,N,Y,,1,1995,1,6,6,119,0,2308851,0,0,165083,0,0,0,1433778,1433778,3742629,4152459,2317449,797044,0,2905797,3095865,761932,778416,0,0,0,0,0,1500,0,0,0,0,0,0,0,1263764,0,4931,0,N,165083,0,0,0,0,0,0,0,0,0,0,3742629,-409830,583414,887390,103157,0,0,0,0,2143865,2143865,0,0,0,0,0,0,0,0,0,0,0,LEAGUE OF AMERICAN THEATRES AND PRODUCERS INC,,226 W 47TH ST,NEW YORK,NY,10036-1413,0.0,3.0,2.0,194210.0,2.0,0.0,119.0,205.0,279.0,1.0,13.0,0.0,199608.0,6.0,6.0,0.0,8.0,3095865,3742629,,,10036.0,36061.0,5602.0,5600.0,A99,A,10036.0,36061.0,,O,O,0.58715,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1995,NY,10036.0,NEW YORK,1309514701996,A0365,A,8,119.0,205.0,279.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A0365,A,813920.0
9522,1,7,1,130971750,199706,1997,199808,29490045049118,A6AZ,N,Y,,1,1996,1,3,4,319,1020,775,0,0,48,0,0,0,320200,320200,321995,315400,33685,0,0,42108,40082,15018,6397,0,0,0,0,0,0,0,0,0,0,0,0,0,182227,0,137925,9,N,48,0,0,0,0,0,0,0,0,0,0,321995,6595,0,149808,15721,0,0,0,0,0,27090,38655,13791,1141584,215,0,0,1194245,52661,0,0,0,LIEDERKRANZ OF THE CITY OF NEW YORK,,6 E 87TH ST,NEW YORK,NY,10128-0505,0.0,3.0,1.0,193907.0,2.0,0.0,319.0,0.0,0.0,1.0,13.0,0.0,199706.0,3.0,4.0,0.0,6.0,40082,321995,,,10128.0,36061.0,5602.0,5600.0,A6A,A,10128.0,36061.0,,O,O,0.9483799999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1996,NY,10128.0,NEW YORK,1309717501997,A6A,A,6,119.0,916.0,318.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A6A,A,711130.0
9554,1,6,1,131087160,199712,1997,199831,29490199046188,,N,Y,,1,1997,1,7,8,200,334170,6908205,1719550,1417915,157960,0,0,0,5706880,4288965,12949255,11507764,5720314,2154341,0,6709644,6946263,1012906,1225949,0,0,0,0,0,0,0,0,0,0,0,0,0,3289465,0,539905,0,N,52688,105272,0,0,0,301635,0,0,0,0,0,11531340,23576,0,1237315,199292,0,0,0,0,0,5696738,0,0,0,0,0,0,0,0,0,0,0,MAGAZINE PUBLISHERS OF AMERICA INC,,919 THIRD AVE 22ND FL,NEW YORK,NY,10022-3801,0.0,3.0,2.0,194209.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,199712.0,7.0,8.0,0.0,12.0,6946263,12949255,,,10022.0,36061.0,5602.0,5600.0,A01,A,10022.0,36061.0,,O,O,0.8815200000000001,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10022.0,NEW YORK,1310871601997,A33,A,12,200.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A0333,A,813920.0
9564,1,6,1,131101367,199711,1997,199830,29490185019088,,N,Y,,1,1996,1,3,4,200,1575,51191,0,0,524,0,2225,1249,55536,53311,108302,89704,19434,0,0,14411,28000,11350,8566,19434,0,0,0,0,0,0,0,0,0,0,0,0,51538,0,0,0,N,524,0,0,0,0,0,0,0,0,0,3474,106077,16373,0,20000,2183,0,0,0,0,3061,3061,0,0,0,0,0,0,0,0,0,0,0,NEW YORK SOCIETY OF ARCHITECTS,,299 BROADWAY RM 206,NEW YORK,NY,10007-1901,0.0,3.0,2.0,194208.0,2.0,0.0,200.0,205.0,0.0,1.0,13.0,0.0,199711.0,3.0,4.0,0.0,11.0,28000,108302,,,10007.0,36061.0,5602.0,5600.0,A01,A,10007.0,36061.0,,O,O,0.87665,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1996,NY,10007.0,NEW YORK,1311013671997,A03,B,11,200.0,205.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A03,A,813920.0
9610,1,6,1,131374145,199712,1997,199840,29490255108148,,N,Y,,1,1997,1,5,5,200,0,222250,0,0,25028,0,0,0,330649,330649,552899,374459,604826,93750,0,660300,604826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233914,20328,48814,2565,0,Y,25028,0,0,0,0,0,0,0,0,282728,0,318985,-55474,0,97504,8122,0,0,0,0,0,660300,0,0,0,0,0,0,0,0,0,0,0,TEXTILE DISTRIBUTORS ASSOCIATION INC,,104 W 40TH ST,NEW YORK,NY,10018-3617,0.0,3.0,2.0,194409.0,2.0,0.0,200.0,279.0,0.0,1.0,13.0,0.0,199712.0,5.0,5.0,0.0,12.0,0,0,,,10018.0,36061.0,5602.0,5600.0,A01,A,10018.0,36061.0,,O,O,0.10536,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10018.0,NEW YORK,1313741451997,A40,A,12,200.0,279.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A40,A,710000.0
9620,1,6,1,131394480,199612,1996,199733,29490165151117,,N,Y,,1,1996,1,5,6,205,0,841599,0,0,17660,0,15709,9614,517144,501435,1358743,1327533,94813,234000,0,1325383,533349,1251818,438536,0,0,0,0,0,0,0,0,0,0,0,0,0,474161,0,0,0,N,17660,0,0,0,0,0,0,0,0,0,25323,1343034,15501,5747,207640,32919,0,0,0,0,0,73565,0,0,0,0,0,0,0,0,0,0,0,TRAFFIC AUDIT BUREAU FOR MEDIA MEASUREMENT INC,,420 LEXINGTON AVE STE 2520,NEW YORK,NY,10170-2599,0.0,3.0,2.0,195501.0,2.0,0.0,205.0,0.0,0.0,1.0,13.0,0.0,199712.0,4.0,6.0,0.0,12.0,466673,1456488,,,10170.0,36061.0,5602.0,5600.0,A01,A,10170.0,36061.0,,O,O,0.53562,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1996,NY,10170.0,NEW YORK,1313944801996,A30,B,12,205.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A30,A,510000.0
9634,1,4,1,131426099,199804,1998,199843,29409276023138,,N,Y,,1,1997,1,4,3,999,0,865,0,0,5068,0,0,0,55598,55598,56463,23006,132703,0,0,136811,132703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37565,0,12965,0,0,N,0,0,0,0,5068,0,0,0,0,50530,0,18898,-4108,0,0,0,0,0,0,0,0,136811,0,0,0,0,0,0,0,0,0,0,0,UNITED IRISH COUNTIES ASSOCIATION OF NEW YORK INC,MICHAEL FOGARTY,8219 NORTHERN BLVD,JACKSON HTS,NY,11372-1457,0.0,3.0,1.0,195604.0,2.0,0.0,999.0,0.0,0.0,5.0,11.0,0.0,199804.0,4.0,3.0,0.0,4.0,132703,56463,,,11372.0,36081.0,5602.0,5600.0,A23,A,11372.0,36081.0,,O,O,0.7943399999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36081.0,1997,NY,11372.0,JACKSON HTS,1314260991998,A23,A,4,999.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A23,A,710000.0
9655,1,6,1,131505524,199712,1997,199852,29490346169248,,N,Y,,1,1997,1,6,6,205,0,450823,86528,0,92994,0,0,0,911975,911975,1362798,1044387,1975869,105134,0,1948726,2187841,137293,211972,0,0,0,0,0,0,0,0,0,0,0,0,153975,0,248500,329978,0,N,6549,86445,0,0,0,86528,0,0,0,402475,0,1208823,164436,0,150719,20125,0,0,0,0,0,1811433,0,0,0,0,0,0,0,0,0,0,0,AMERICAN INSTITUTE OF ARCHITECTS N Y CHAPTER,,200 LEXINGTON AVE RM 602,NEW YORK,NY,10016-6186,0.0,0.0,1.0,194208.0,2.0,11.0,205.0,40.0,279.0,1.0,13.0,0.0,199712.0,6.0,6.0,0.0,12.0,2187841,1362798,,,10016.0,36061.0,5602.0,5600.0,A40,A,10016.0,36061.0,,O,O,0.94947,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,1997,NY,10016.0,NEW YORK,1315055241997,A40,B,12,205.0,40.0,279.0,0.0,0.0,2.0,11.0,10.0,N Y CHAPTER,PC,O,AR,A,IN,,A40,A,710000.0
9667,1,6,1,131520977,199709,1997,199803,29409003019058,,N,Y,,1,1996,1,2,3,119,0,43675,0,0,0,0,0,0,0,0,43675,43491,24309,0,0,24125,24309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,43675,184,0,0,0,0,0,0,0,0,24125,0,0,0,0,0,0,0,0,0,0,0,ART & ANTIQUE DEALERS LEAGUE OF AMERICA INC,,353 E 78TH ST,NEW YORK,NY,10021-1313,0.0,3.0,1.0,197601.0,2.0,0.0,119.0,0.0,0.0,1.0,13.0,0.0,199809.0,2.0,3.0,0.0,9.0,21356,46840,,,10021.0,36061.0,5602.0,5600.0,A01,A,10021.0,36061.0,,O,O,0.96851,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,1996,NY,10021.0,NEW YORK,1315209771997,A0380,A,9,119.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A0380,A,813920.0
9707,1,6,1,131583260,199806,1998,199851,29490339185108,,N,Y,,1,1997,1,6,4,919,0,327780,48081,46551,6035,0,0,0,54116,7565,381896,355368,289606,147500,0,1693975,1788973,1384346,1499367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,801,5234,0,0,0,1530,0,0,0,0,0,335345,-20023,0,43696,8917,0,0,0,0,0,309629,0,0,0,0,0,0,0,0,0,0,0,STATION REPRESENTATIVES ASSOCIATION INC,KATZ MEDIA J BELOYIANIS,16 W 77TH ST,NEW YORK,NY,10024-5126,0.0,3.0,2.0,196910.0,2.0,0.0,919.0,200.0,0.0,1.0,13.0,0.0,199806.0,6.0,4.0,0.0,6.0,1788973,381896,,,10024.0,36061.0,5602.0,5600.0,A30,A,10024.0,36061.0,,O,O,0.06876,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,1997,NY,10024.0,NEW YORK,1315832601998,A01,C,6,919.0,200.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,A01,A,813319.0
9769,1,4,1,131673348,199802,1998,199834,29490220070198,,N,Y,,1,1997,1,5,3,908,0,1995,0,0,17697,0,0,0,29272,29272,31267,34092,968698,0,0,935101,968698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11575,0,0,0,N,0,17697,0,0,0,0,0,0,0,0,0,31267,-2825,36422,2814,365,0,0,0,0,0,935101,0,0,0,0,0,0,0,0,0,0,0,OLD GUARD OF THE CITY OF NEW YORK,,307 W 91ST ST,NEW YORK,NY,10024-1001,0.0,3.0,3.0,195203.0,2.0,0.0,908.0,0.0,0.0,1.0,13.0,0.0,199802.0,5.0,3.0,0.0,2.0,968698,31267,,,10024.0,36061.0,5602.0,5600.0,A82,A,10024.0,36061.0,,O,O,0.77103,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,1997,NY,10024.0,NEW YORK,1316733481998,W20,C,2,908.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,,PC,O,AR,A,IN,,W20,W,813410.0
