,EIN,TAXPER,CYCLE,DLN,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,STYEAR,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,FIPS,MSA_NECH,PMSA,NteeOldB,NTEECC,NteeCC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,NteeFinal,nteeFinal1
5556,61532031,200512,,,,,,,,,,,3,,0,125,0,0,0,0,0,60000,125,60250,-60125,60250,125,0,1400263,0,0,0,0,4000,1400263,0,71676,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,125,0,250,0,250,0,0,5263,0,0,0,0,1396263,3,0,0,0,0,0,0,0,0,3,1455351,71673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005,61532031200512.0,615320312005.0,core05pf,0,0,10021.0,ALEPH FOUNDATION FOR HUMANITIES,JOEL ORNSTEIN,667 MADISON AVE 11TH FLR,NEW YORK,NY,10021-8029,0.0,3.0,1.0,199904.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A70,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.8066,PC,O,AR,A,,,A70,A
5607,61551999,200606,,,,,,,,,,,3,,30641,1467,0,0,0,2831,0,23650,34939,47216,-12277,44379,1467,1467,44692,0,0,0,0,0,44692,0,2788,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,0,0,1467,4298,23566,0,20729,0,2831,3522,0,0,0,0,44692,15,0,0,0,0,0,0,0,0,15,56605,0,1467,0,0,0,1467,21879,19583,21841,21045,84348,0,0,0,0,0,0,0,0,0,0,1859,2239,3143,3731,10972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,61551999200606.0,615519992006.0,core05pf,0,0,10463.0,JOYCE DUTKA ARTS FOUNDATION INC,JOYCE DUTKA,PO BOX 630053,BRONX,NY,10463-0800,0.0,3.0,1.0,200004.0,1.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,6,,,0.0,N,,36005.0,5602.0,5600.0,,A1261,61.0,B,A,A,AR,AR,AR,IN,,PF,S,ZB,A,0.3275,PC,S,ZB,A,,,A1261,A
5842,61633557,200612,200749.0,29491251052017.0,B820,N,Y,0.0,1.0,3.0,3.0,1.0,3,0.0,2175,0,0,0,0,0,8920,12000,2175,23227,-21052,21948,0,0,26935,0,0,0,0,0,26935,0,1845,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,0,0,0,0,11227,0,9948,0,0,26515,0,0,26935,0,26935,0,0,0,0,0,0,0,0,0,0,37461,1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,61633557200612.0,616335572006.0,rtf06pf,0,0,10010.0,DOUGLAS MOORE FUND FOR AMERICAN OPERA INC,BROWN RAYSMAN MILLSTEIN FELDER &,30 W 26TH ST,NEW YORK,NY,10010-2011,0.0,3.0,1.0,200208.0,1.0,15.0,0.0,0.0,0.0,1.0,13.0,200512.0,10.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A6A,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.29057,PC,O,AR,A,,,A6A,A
6292,66356055,200612,200750.0,29491321063107.0,A40,N,Y,0.0,1.0,3.0,7.0,6.0,3,91.0,500000,0,378124,-41933,0,0,20000,326450,836191,367977,468214,326450,365063,368781,9267386,5675666,0,1840812,7516478,52761,9047007,0,396842,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,378124,378124,41527,13061,0,13061,9343,108256,0,1000000,9047007,0,9214625,7301,0,0,1998,0,8000,0,278,2419,7301,8057712,389541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,66356055200612.0,663560552006.0,rtf06pf,-2419,0,10118.0,THE STEPHEN HAHN FOUNDATION,ISRAELOFF TRATTNER AND CO PC,350 5TH AVE STE 1000,NEW YORK,NY,10118-1000,0.0,3.0,1.0,199108.0,1.0,4.0,91.0,0.0,0.0,2.0,13.0,0.0,1.0,12,HAHN STEPHEN R TTEE,,0.0,N,,36061.0,5602.0,5600.0,,A40,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.03767,PC,O,AR,A,,,A40,A
6541,112538932,200612,200725.0,29491161116047.0,,N,Y,0.0,1.0,3.0,4.0,3.0,3,40.0,0,518,5258,-3280,0,2,0,46955,2498,47141,-44643,46955,5776,2,113536,96322,0,0,96322,0,109086,0,6183,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,5776,2,186,0,0,0,0,0,0,0,109086,0,113536,58,0,0,0,0,0,0,0,0,58,125541,6125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,112538932200612.0,1125389322006.0,rtf06pf,58,0,10021.0,RICHARD H GOLDMAN MEMORIAL FOUNDA TION,,150 E 69TH ST APT 7G,NEW YORK,NY,10021-5704,0.0,3.0,1.0,198107.0,1.0,4.0,40.0,0.0,0.0,2.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A80,,C,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.62531,PC,O,AR,A,,,A80,A
6664,112801382,200606,200708.0,29491034016077.0,,N,Y,0.0,1.0,3.0,1.0,1.0,3,124.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,400,0,0,0,0,0,400,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,400,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2006,112801382200606.0,1128013822006.0,rtf06pf,0,0,11206.0,THE MOVEMENT INTERFACE RESEARCH INSTITUTE INC,,54 BOERUM ST APT 11N,BKLYN NY,NY,11206-2418,0.0,3.0,1.0,198702.0,1.0,4.0,124.0,209.0,0.0,1.0,11.0,0.0,1.0,6,,,0.0,N,,36047.0,5602.0,5600.0,,A70,,C,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.40389,PC,O,AR,A,,,A70,A
6711,112864409,200702,200734.0,29491216050177.0,,N,Y,0.0,1.0,3.0,1.0,1.0,3,602.0,0,262,0,0,0,0,0,200,262,265,-3,265,197,197,5722,0,0,0,0,0,5722,17,282,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,262,262,65,65,65,65,65,5722,0,0,5722,0,5722,0,0,0,0,0,0,0,0,0,0,5722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2007,112864409200702.0,1128644092007.0,rtf06pf,0,0,10021.0,THE PHILIP KAPLAN CULTURAL FOUNDATION INC,,530 E 72ND ST APT 5D,NEW YORK,NY,10021-4844,0.0,3.0,1.0,198709.0,1.0,4.0,602.0,0.0,0.0,1.0,13.0,0.0,1.0,2,,,3.0,N,,36061.0,5602.0,5600.0,,A1220,20.0,B,A,A,AR,AR,AR,IN,,PF,S,ZB,A,0.20195,PC,S,ZB,A,,,A1220,A
6743,112942428,200612,200720.0,29491118022147.0,,N,Y,0.0,1.0,3.0,1.0,3.0,3,90.0,42332,0,0,0,0,0,0,0,42332,55469,-13137,0,0,0,6616,0,0,0,0,0,6616,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,55469,0,0,0,0,6616,0,0,6616,0,6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,112942428200612.0,1129424282006.0,rtf06pf,0,0,10122.0,PODVAL ARTS AND POETRY GALLERIES LTD,V MOLOT ESQ,225 W 34TH ST STE 1504,NEW YORK,NY,10122-0049,0.0,3.0,1.0,198903.0,1.0,4.0,90.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A70,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.60302,PC,O,AR,A,,,A70,A
6748,112945662,200612,200724.0,29491132087187.0,A20,N,Y,0.0,20.0,3.0,1.0,1.0,3,90.0,0,8,0,0,0,0,0,0,8,225,-217,0,0,0,1846,0,0,0,0,0,1846,0,95,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,342,0,0,1846,0,1846,0,0,0,0,0,0,0,0,0,0,1932,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,112945662200612.0,1129456622006.0,rtf06pf,0,0,11361.0,SHOSTAKOVICH CULTURAL PROGRAM INC,,3316 214TH ST,BAYSIDE,NY,11361-1624,0.0,3.0,1.0,198901.0,1.0,4.0,90.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,,0.0,N,,36081.0,5602.0,5600.0,,A20,,B,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.33197,PC,O,AR,A,,,A20,A
6754,112948645,200706,200749.0,29491300037187.0,,N,Y,0.0,1.0,3.0,4.0,3.0,3,602.0,0,3163,0,0,0,0,0,0,63163,5470,57693,2775,60468,60468,186519,0,0,0,0,0,186519,0,7765,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60000,0,63163,63163,5470,2695,2695,2695,2695,35177,0,0,186519,0,186519,1209,0,0,423,0,0,0,5,0,1209,157673,6556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2007,112948645200706.0,1129486452007.0,rtf06pf,791,0,11354.0,WORLD JOURNAL CULTURE FOUNDATION INC,,141 07 20 AVE 6 FLR,FLUSING,NY,11354-0000,0.0,3.0,1.0,198909.0,1.0,4.0,602.0,0.0,0.0,1.0,11.0,0.0,1.0,6,,,0.0,N,,36081.0,5602.0,5600.0,,A33,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.48316000000000003,PC,O,AR,A,,,A33,A
6796,113027025,200612,200736.0,29491230015107.0,A23Z,N,Y,0.0,1.0,3.0,2.0,1.0,3,119.0,0,2,469,0,0,0,0,518,471,2261,-1790,1268,0,471,11304,0,0,0,0,0,1,0,507,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,471,471,1743,905,750,905,0,104,0,8308,0,0,11304,0,0,0,0,0,0,0,0,0,0,10298,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,113027025200612.0,1130270252006.0,rtf06pf,0,0,10021.0,SJMS HUMANITIES ARTS AND SCIENCES CHARITY INC,MELVIN ROSEN,340 E 74TH ST,NEW YORK,NY,10021-3737,0.0,3.0,1.0,199108.0,1.0,4.0,119.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0.0,N,,36061.0,5602.0,5600.0,,A70,,A,A,A,AR,AR,AR,IN,,PF,O,AR,A,0.08519,PC,O,AR,A,,,A70,A
