,EIN,NAME,SEC_NAME,ADDRESS,CITY,STATE,ZIP,ZIP5,CONTACT,NTEEIRS,SUBSECCD,FNDNCD,RULEDATE,ORGCD,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,CLASSCD,DEDUCTCD,EOSTATUS,FRCD,GEN,TAXPER,FISYR,SOIYR,STYEAR,subcd,CONT,PROGREV,INVINC,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,RENTINC,rntlexpnsreal,rntlexpnsprsnl,RENTEXP,rntlincreal,rntlincprsnl,NETRENT,SECUR,SALEOTHG,SALESEXP,SALEOTHE,SALESECN,SALEOTHN,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,SPEVTG,DIREXP,FUNDINC,INVENTG,GOODS,GRPROF,OTHINC,TOTREV2,TOTREV,GRREC,COMPENS,OTHSAL,PAYTAX,FUNDFEES,EXPS,NETINC,OTHCHGS,ASS_BOY,ASS_EOY,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,unsecurednotesend,LIAB_BOY,LIAB_EOY,RETE_BOY,RETEARN,NETA_BOY,FUNDBAL,Q78A,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,REASON,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,grsinc170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,txrevnuelevied509,srvcsval509,subtotsuppinc509,totsupp509,inPrior,inPriorSrc,taxperP,fisyrP,doccdP,contP,progrevP,duesP,invincP,netrentP,salesecnP,saleothnP,fundincP,grprofP,othincP,totrevP,expsP,netincP,compensP,othsalP,paytaxP,fundfeesP,DocCD,FileName,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,DLN,nteeFinal,nteeFinal1,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NAICS,LONGITUDE,LATITUDE,censusTract,block,epostcard,SOURCE,KeyID,VERIFY,NetLandEstimate,NetLandCode,NetLandYr,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,GovGtEstimate,GovGtCode,GovGtYr,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,NumEmpEstimate,NumEmpCode,NumEmpYr,ProffeesEstimate,ProffeesCode,ProffeesYr,OccuEstimate,OccuCode,OccuYr,InterEstimate,InterCode,InterYr,GrantEstimate,GrantCode,GrantYr,DepRecEstimate,DepRecCode,DepRecYr,CommEstimate,CommCode,CommYr,AssIndEstimate,AssIndCode,AssIndYr,compothestimate,compothcode,compothyr,EmpBenEstimate,EmpBenCode,EmpBenYr,SupplyEstimate,SupplyCode,SupplyYr,PensionEstimate,PensionCode,PensionYr,benmemestimate,benmemCode,benmemYr,othexpestimate,othexpCode,othexpYr,PayAfflEstimate,PayAfflCode,PayAfflYr
26892,454596326,AMERICAN FRIENDS FOR THE PRESERVATION OF SAINT GERMAIN DES,,1540 BROADWAY FL 24,NEW YORK,NY,10036-4039,10036.0,CAROLE V ACIMAN,A20,3,15.0,201208.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,1011000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1011000,1011000,1011000,0.0,0.0,0.0,0.0,10675,1000325,,0.0,1000325,,0.0,,0.0,0.0,0.0,0,,0.0,0.0,1000325,N,0,0,0.0,0.0,9,0,0,0,0,0,1011000,0,0,0,0,1011000,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,454596326_201212_990,IN,,454596326201212,4545963262012,,A20,A,36061.0,5602.0,5600.0,A20,A,PC,O,AR,A,A,1,AR,AR,AR,0.37394,B,710000.0,,,,,0,rtf13_990_VER,84759,0,0,f1,2012.0,0,f1,2012.0,0,f1,2012,0,f1,2012,1000325,f1,2012,84614,ar,0,926386,ar,0,0,ar,0,0,a,2012,10663,f1,2012,0,f1,2012,0,f1,2012,0,f1,2012,0,f1,2012,12,f1,2012,0,f1,2012,12,f1,2012,0,f1,2012,0,f1,2012,0,f1,2012,0,f1,2012,0,f1,2012,0,f1,2012
26934,454925260,NEW CENTENNIAL THEATER FOUNDATION INC,,484 WEST 43RD ST STE 31-A,NEW YORK,NY,10036-6319,10036.0,SANDRA M KARAS,A65,3,15.0,201303.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,80207,0,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,80207,80207,80207,,,,,41519,38688,0.0,0.0,38688,,,,,,0.0,0,,,0.0,38688,N,0,0,,,7,80207,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,92,454925260_201212_990EZ,IN,,454925260201212,4549252602012,,A1265,A,36061.0,5602.0,5600.0,A126,A,PC,S,ZB,A,A,1,AR,AR,AR,0.58377,B,813219.0,,,,,0,rtf13_990EZ_VER,180069,0,6447,ar,0.0,1874,ar,0.0,0,ar,0,7783,ar,0,2545,ar,0,0,ez,2012,80207,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,41519,ez,2012,0,ez,2012
27174,461049598,LITTLE OPERA THEATRE OF NY INC,,OLD CHELSEA STATION,NEW YORK,NY,10113-0000,10113.0,STEPHANIE DOMINUS,A6A,3,15.0,201303.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201306,2013,2012,2012,3.0,101251,16171,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,117422,117422,117422,,,,,118457,-1035,0.0,0.0,4390,,,,,,0.0,5425,,,0.0,-1035,N,0,0,,,7,101251,0,0,0,16171,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,92,461049598_201306_990EZ,IN,,461049598201306,4610495982013,,A6A,A,36061.0,5602.0,5600.0,A6A,A,PC,O,AR,A,A,1,AR,AR,AR,0.6325,A,711130.0,,,,,0,rtf13_990EZ_VER,36061,0,1761,ar,0.0,0,ar,0.0,0,ar,0,591,ar,0,562,ar,0,0,ez,2013,101251,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,0,ez,2013,118457,ez,2013,0,ez,2013
27624,510204491,THE ARTISTS FEDERATION,,89 RENO AVE,STATEN ISLAND,NY,10306-2819,10306.0,,,3,15.0,197611.0,5.0,12.0,91.0,123.0,0.0,3.0,1.0,1.0,1.0,20.0,0.0,201212,2012,2012,2012,3.0,0,0,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0.0,1.0,7000,,,,,,0.0,0,,,0.0,7000,N,0,0,,,9,0,0,0,0,0,0,0,0,0,0,0,1,core2011pc,201112.0,2011.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,92,510204491_201212_990EZ,IN,,510204491201212,5102044912012,,A99,A,36085.0,5602.0,5600.0,A99,A,PC,O,AR,A,A,1,AR,AR,AR,0.75913,C,710000.0,,,,,0,rtf13_990EZ_VER,211587,0,2689,ag,0.0,98,ag,0.0,4,ag,0,1027,ag,0,583,ag,0,0,a,2012,0,a,2012,0,a,2012,0,ez,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012,0,a,2012
27720,510439878,CABARET CONFERENCE INC,CABARET CONF AT YALE UNIVERSITY,111 MORTON ST APT 3A,NEW YORK,NY,10014-3349,10014.0,CABARET CONFERENCE AT YALE UNIVER,A6E,3,15.0,200410.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,3680,72585,2,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,76267,76267,76267,,,,,74821,1446,0.0,8787.0,10233,,,,,,0.0,0,,,8787.0,10233,N,0,0,,,9,0,0,0,0,0,26399,537439,0,0,121,563959,1,core2011pc,201112.0,2011.0,92.0,2991.0,90902.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,93910.0,102596.0,-8686.0,,,,,92,510439878_201212_990EZ,IN,,510439878201212,5104398782012,,A25,A,36061.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.68406,A,611610.0,,,,,0,rtf13_990EZ_VER,130380,0,5287,ar,0.0,0,ar,0.0,0,ar,0,358,ar,0,1536,ar,0,0,c4,2006,3680,c4,2006,0,c4,2006,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,74821,ez,2012,0,ez,2012
27804,510659576,ART OF INSPIRATION INC,,2996 AVENUE T,BROOKLYN,NY,11229-4006,11229.0,,A40,3,15.0,201003.0,1.0,8.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,20.0,0.0,201308,2013,2012,2012,3.0,0,0,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0.0,0.0,441,,,,,,0.0,441,,,0.0,0,N,0,0,,,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,93,No Exact Image Match (JAN14),IN,,510659576201308,5106595762013,,A40,A,36047.0,5602.0,5600.0,A40,A,PC,O,AR,A,A,1,AR,AR,AR,0.00677,B,710000.0,,,,,0,rtf13_990EZ_VER,126956,0,169,ag,0.0,6,ag,0.0,0,ag,0,65,ag,0,37,ag,0,0,a,2013,0,a,2013,0,a,2013,0,aa,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013,0,a,2013
27865,521020481,INDEPENDENT CURATORS INTERNATIONAL,,401 BROADWAY STE 1620,NEW YORK,NY,10013-3005,10013.0,,A250,3,15.0,197504.0,1.0,12.0,91.0,90.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,979804,409919,8273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,288,1398284,1398284,1398284,0.0,418208.0,41821.0,0.0,1360885,37399,,868753.0,887818,0.0,0.0,0.0,0.0,0.0,10350.0,58108,0.0,0.0,858403.0,829710,N,0,0,0.0,0.0,7,3863696,0,0,57172,418480,0,0,0,0,0,0,1,core2011pc,201112.0,2011.0,93.0,790282.0,414224.0,0.0,7158.0,0.0,0.0,0.0,0.0,0.0,0.0,1211664.0,1053429.0,158235.0,0.0,368271.0,34252.0,0.0,93,521020481_201212_990,IN,,521020481201212,5210204812012,,A25,A,36061.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.8636,A,611610.0,,,,,0,rtf13_990_VER,253250,0,79580,f1,2012.0,0,f1,2012.0,0,f1,2012,332558,f1,2012,311794,f1,2012,0,c4,2005,979804,c4,2005,0,c4,2005,9,f1,2012,7200,f1,2012,95089,f1,2012,54,f1,2012,0,f1,2012,10436,f1,2012,217709,f1,2012,0,f1,2012,217709,f1,2012,38060,f1,2012,15216,f1,2012,0,f1,2012,0,f1,2012,517092,f1,2012,0,f1,2012
28051,521424725,INTL FEDERATION FOR THE PROTECTION OF RIGHTS OF ETHNIC ETAL MINORITYS,,1125 30TH AVE,LONG IS CITY,NY,11102-4020,11102.0,,,3,15.0,198603.0,1.0,12.0,430.0,994.0,431.0,3.0,1.0,1.0,1.0,20.0,0.0,201112,2011,2011,2011,,0,0,0,,,,,,,,,,,,,0,,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0.0,,650,,,,,,,0,,,,650,N,0,0,,,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,92,521424725_201112_990EO,IN,,521424725201112,5214247252011,,A23,A,36081.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.70573,A,710000.0,,,,,0,core2011pc,0,,336,ar,0.0,0,ar,0.0,0,ar,0,23,ar,0,98,ar,0,0,a,2011,0,a,2011,0,a,2011,0,ez,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011,0,a,2011
28278,521919419,NATIONAL COUNCIL OF NIGERIAN MUSLIMS IN THE USA,,PO BOX 2028,NEW YORK,NY,10163-2028,10163.0,,A23,3,15.0,201203.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,20.0,0.0,201112,2011,2011,2011,,5211,4800,0,,,,,,,,,,,,,0,,0,,0,,,,,,,,0,0,0,0,0,0,0,10011,10011,10011,,,,,22028,-12017,0.0,,97274,,,,,,,45050,,,,52224,N,0,0,,,9,0,0,0,0,0,51213,0,0,0,0,51213,0,,,,,,,,,,,,,,,,,,,,,,92,521919419_201112_990EZ,IN,,521919419201112,5219194192011,,A23,A,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.70543,A,710000.0,,,,,0,core2011pc,0,,50254,ar,0.0,0,ar,0.0,0,ar,0,3406,ar,0,14604,ar,0,0,ez,2011,5211,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,22028,ez,2011,0,ez,2011
28461,522276084,MEDIA LINE LTD,,1325 AVE OF THE AMERICAS 27TH FL,NEW YORK,NY,10019-6043,10019.0,ZELL GOLDBERG & CO,A30,3,15.0,200104.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201112,2011,2011,2011,3.0,455868,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,455868,455868,455868,125892.0,0.0,0.0,0.0,542190,-86322,,8273.0,0,0.0,0.0,581895.0,659670.0,274.0,581895.0,659944,-573622.0,-659944.0,-573622.0,-659944,N,0,0,0.0,0.0,7,3254826,0,0,0,0,0,0,0,0,0,0,1,core2011pc,201012.0,2010.0,93.0,431409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431409.0,809039.0,-377630.0,153349.0,0.0,0.0,0.0,93,522276084_201112_990,IN,,522276084201112,5222760842011,,A30,A,36061.0,5602.0,5600.0,A30,A,PC,O,AR,A,A,1,AR,AR,AR,0.18492,B,510000.0,,,,,0,rtf13_990_VER,91352,0,0,a,2011.0,0,a,2011.0,0,a,2011,0,a,2011,0,a,2011,0,o4,2007,455868,o4,2007,0,o4,2007,0,f1,2011,1250,f1,2011,0,f1,2011,0,f1,2011,0,f1,2011,0,f1,2011,64742,f1,2011,0,f1,2011,64742,f1,2011,0,f1,2011,0,f1,2011,0,f1,2011,0,f1,2011,350306,f1,2011,0,f1,2011
29130,550879459,LAMDA IN AMERICA,,C/O KENNETH BURROWS 950 THIRD AVE,NEW YORK,NY,10022-0000,10022.0,KENNETH DAVID BURROWS,A12,3,15.0,200506.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,82350,0,126,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,82476,82476,82476,,,,,48956,33520,0.0,51746.0,85266,,,,,,0.0,0,,,51746.0,85266,N,0,0,,,7,226766,0,0,779,0,0,0,0,0,0,0,1,core2011pc,201112.0,2011.0,92.0,99835.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,99933.0,77643.0,22290.0,,,,,92,550879459_201212_990EZ,IN,,550879459201212,5508794592012,,A12,A,36061.0,5602.0,5600.0,A12,A,PC,S,ZB,A,A,1,AR,AR,AR,0.36873,B,813219.0,,,,,0,rtf13_990EZ_VER,155902,0,10692,av,0.0,8,av,0.0,99,av,0,42872,av,0,4491,av,0,0,ez,2012,82350,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,48956,ez,2012,0,ez,2012
29607,562527869,CULTURAL MEDIA COLLABORATIVE INC,,303 W 66TH ST APT 20HE,NEW YORK,NY,10023-6798,10023.0,JASON STARR,,3,15.0,200509.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,165024,933,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,165957,165957,165957,,,,,110605,55352,0.0,64200.0,120016,,,,,,3621.0,4085,,,60579.0,115931,N,0,0,,,7,290774,0,0,0,5433,0,0,0,0,0,0,1,core2011pc,201112.0,2011.0,92.0,28750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28750.0,35675.0,-6925.0,,,,,92,562527869_201212_990EZ,IN,,562527869201212,5625278692012,,A30,A,36061.0,5602.0,5600.0,A30,A,PC,O,AR,A,A,1,AR,AR,AR,0.70814,B,510000.0,,,,,0,rtf13_990EZ_VER,104594,0,46101,ag,0.0,1675,ag,0.0,71,ag,0,17614,ag,0,10002,ag,0,0,c4,2006,165024,c4,2006,0,c4,2006,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,110605,ez,2012,0,ez,2012
29898,571229930,NYC ARTS CYPHER INC,,12 BROAD ST,STATEN ISLAND,NY,10304-2609,10304.0,,A25,3,15.0,200709.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201112,2011,2011,2011,,0,40030,0,,,,,,,,,,,,,0,,0,,0,,,,,,,,10000,3040,6960,0,0,0,0,46990,46990,50030,,,,,60251,-13261,0.0,,5455,,,,,,,1025,,,,4430,N,0,0,,,9,0,0,0,0,0,60000,40030,0,0,0,100030,1,core2010pc,201012.0,2010.0,92.0,49772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49772.0,50317.0,-545.0,0.0,0.0,0.0,0.0,92,571229930_201112_990EZ,IN,,571229930201112,5712299302011,,A25,A,36085.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,1,AR,AR,AR,0.63179,B,611610.0,,,,,0,core2011pc,0,,2818,ar,0.0,0,ar,0.0,0,ar,0,191,ar,0,819,ar,0,0,a,2011,0,a,2011,0,a,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,60251,ez,2011,0,ez,2011
30399,582527196,BLUE COYOTE THEATER GROUP INC,,380 BROADWAY FL 4,NEW YORK,NY,10013-6027,10013.0,ROBERT L BUCKWATER,A60,3,15.0,200103.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,20.0,0.0,201206,2012,2011,2011,3.0,11619,4200,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,195,16014,16014,16014,,,,,20058,-4044,0.0,22805.0,18761,,,,,,0.0,0,,,22805.0,18761,N,0,0,,,9,0,0,0,0,0,70263,54585,0,0,0,131082,1,core2011pc,201106.0,2011.0,92.0,10141.0,3363.0,0.0,0.0,0.0,0.0,0.0,2232.0,0.0,8936.0,24672.0,27372.0,-2700.0,,,,,92,582527196_201206_990EZ,IN,,582527196201206,5825271962012,,A65,A,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.42277,B,711110.0,,,,,0,rtf13_990EZ_VER,27981,0,7527,ar,0.0,0,ar,0.0,0,ar,0,2527,ar,0,2404,ar,0,0,ez,2012,11619,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,0,ez,2012,20058,ez,2012,0,ez,2012
30955,593823201,YOUTH INKWELL PUBLISHING,,149 MADISON AVE,NEW YORK,NY,10016-0000,10016.0,JENNIFER SARJA,O50,3,15.0,200612.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,20.0,0.0,201212,2012,2012,2012,3.0,948,0,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,948,948,948,,,,,10010,-9062,0.0,47900.0,37900,,,,,,30758.0,29820,,,17142.0,8080,N,0,0,,,7,82021,0,0,0,0,0,0,0,0,0,0,1,core2011pc,201112.0,2011.0,92.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,4837.0,-4424.0,,,,,92,593823201_201212_990EZ,IN,,593823201201212,5938232012012,,A33,A,36061.0,5602.0,5600.0,A33,A,PC,O,AR,A,A,1,AR,AR,AR,0.64174,A,511100.0,,,,,0,rtf13_990EZ_VER,15876,0,14558,ag,0.0,529,ag,0.0,22,ag,0,5562,ag,0,3159,ag,0,0,ez,2012,948,ez,2012,0,ez,2012,0,ez,2012,0,j5,2012,0,j5,2012,0,j5,2012,0,j5,2012,0,j5,2012,0,j5,2012,0,j5,2012,0,j5,2012,0,j5,2012,0,j5,2012,0,j5,2012,0,j5,2012,10010,j5,2012,0,j5,2012
31720,640866909,NATIONAL BLACK GRADUATE STUDENT ASSOCIATION INC,,228 PARK AVE S,NEW YORK,NY,10003-1502,10003.0,HOWARD UNIVERSITY,B99,3,16.0,199710.0,1.0,12.0,559.0,0.0,0.0,3.0,1.0,1.0,1.0,20.0,0.0,201212,2012,2012,2012,3.0,0,31320,0,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,0.0,,,0,0,0,0,0,0,0,31320,31320,31320,,,,,31041,278,0.0,3734.0,4331,,,,,,0.0,0,,,3734.0,4331,N,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,core2011pc,201112.0,2011.0,93.0,2188.0,39029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24686.0,65903.0,62168.0,3734.0,,,,,93,No Exact Image Match (JAN14),IN,,640866909201212,6408669092012,,A23,A,36061.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,1,AR,AR,AR,0.95105,A,710000.0,,,,,0,rtf13_990EZ_VER,28002,0,2238,ar,0.0,0,ar,0.0,0,ar,0,152,ar,0,650,ar,0,0,a,2012,0,a,2012,0,a,2012,0,aa,2012,2076,ar,0,5113,ar,0,368,ar,0,184,ar,0,1433,ar,0,1258,ar,0,96,ar,0,1258,ar,0,273,ar,0,2360,ar,0,0,ar,0,0,ar,0,17056,ar,0,40,ar,0
31743,640961295,CANTEEN ARTS INC,,96 PIERREPONT ST,BROOKLYN,NY,11201-2756,11201.0,STEPHEN PIERSON,A700,3,16.0,200802.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201112,2011,2011,2011,,58091,0,0,,,,,,,,,,,,,0,,0,,0,,,,,,,,0,0,0,0,0,0,0,58091,58091,58091,,,,,80064,-21973,0.0,,2002,,,,,,,80052,,,,-78050,N,0,0,,,9,0,0,0,0,0,150874,0,0,0,0,150874,1,rtf2012_EZ,201012.0,2010.0,92.0,30183.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,30183.0,61502.0,-31319.0,,,,,92,640961295_201112_990EZ,IN,,640961295201112,6409612952011,,A70,A,36047.0,5602.0,5600.0,A70,A,PC,O,AR,A,A,1,AR,AR,AR,0.54725,B,710000.0,,,,,0,core2011pc,0,,769,ag,0.0,28,ag,0.0,1,ag,0,294,ag,0,167,ag,0,0,ez,2011,58091,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,0,ez,2011,80064,ez,2011,0,ez,2011
31986,651209580,ASTORIA PERFORMING ARTS CENTER INC,,31-60 33RD STE B-9,LONG ISLAND CITY,NY,11106-1200,11106.0,TARYN DRONGOWSKI,A65,3,15.0,200408.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,0.0,201306,2013,2012,2012,3.0,153479,64744,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,218223,218223,218223,31000.0,26851.0,4945.0,0.0,220680,-2457,,49722.0,41576,0.0,0.0,0.0,0.0,0.0,21418.0,15729,0.0,0.0,28304.0,25847,N,0,0,0.0,0.0,7,902801,0,0,0,0,0,0,0,0,0,0,1,core2011pc,201206.0,2012.0,93.0,149892.0,69938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219830.0,219746.0,84.0,32000.0,25797.0,3473.0,0.0,93,651209580_201306_990,IN,,651209580201306,6512095802013,,A61,A,36081.0,5602.0,5600.0,A61,A,PC,O,AR,A,A,1,AR,AR,AR,0.8143,A,711100.0,,,,,0,rtf13_990_VER,262045,0,1112,f1,2013.0,0,f1,2013.0,0,f1,2013,0,f1,2013,0,f1,2013,27090,ar,0,121455,ar,0,4934,ar,0,3,f1,2013,7229,f1,2013,14010,f1,2013,1357,f1,2013,0,f1,2013,2222,f1,2013,6964,f1,2013,0,f1,2013,6964,f1,2013,0,f1,2013,2093,f1,2013,0,f1,2013,0,f1,2013,124009,f1,2013,0,f1,2013
