,fincheckv,VerifyBy,STYEAR,EIN,NAME,STATE,NTEE1,NTEECC,ADDRESS,CITY,ZIP5,ZIP,FIPS,MSA_NECH,PMSA,TAXPER,FisYr,OUTNCCS,OUTREAS,SUBSECCD,NTMAJ5,NTMAJ10,NTMAJ12,NTEESRC,MAJGRPB,ACTIV,ACTIV1,ACTIV2,ACTIV3,P1INTREV,P1DIVID,P1NGASTS,P1TCONT,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P1GRENTS,P6DOMORG,P7POLIT,P1INVRV,P7LIQUID,P1NADJRV,P7POFCLM,P1ADMEXP,P7DISSAL,P7DISBOR,P1INVEXP,P7DISSER,P1CHAEXP,P7DISPAY,P1TINVEX,P7DISTRA,P1TADJEX,P7PAYGVT,P2CASHBV,P7UNDINC,P2MORTG,P7BUSINT,P2EYOTIN,P7JEOINV,P2EYASST,P7PROPAG,P2MTGNTS,P7ELECT,P3EYTFND,P7INDGRT,P6TX4940,P7ORGGRT,P6TX511,P7OTHPUR,P6TXSUBA,P6ESTTX,P6TEXCTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,NTEE,RULEDATE,FNDNCD,FRCD,AFCD,ARED,CONTACT,SEC_NAME,GEN,DISTRICT,LEVEL1,LEVEL2,LEVEL3,LEVEL4,CLASSCD,DEDUCTCD,ORGCD,P1GOODS,DLN,ARC,RandNum,ACCPER,TFLD,P6TXRFD,CALC4940,V1P6TX49,verify,V1P1TOTR,verfail,V1P1TOTE,V1P1EXCR,V1P1NETI,V1P1NADI,V1P3EYTF,V1P6TEXC,V1P14NAD,V1P14TNA,V1P14TQD,V1P14TAS,V1P14T49,V1P14TEN,V1P14TTS,V1P14TPS,V1P14TGI,V1P10MIR,VGOFCOMP,VGADMEXP,VGCONTPD,VGINVEXP,VGCHAEXP,VGTINVEX,VGTADJEX,VGTEXMEX,VGCASHBV,VGGVTINV,VGCRPSTK,VGCRPBND,VGMORTG,VGEYOTIN,VGMTGNTS,VGTASFMV,VGTOTAST,VGTASST,VIDIVID,VINGASTS,VIOTHINC,VITCONT,VIINTREV,VIGRENTS,VIGINVPF,VMREVEXP,VMASSETS,VMPOFCLM,nteeConf,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
5973,,,2002,113131714,PEACE UNITY AND PROSPERITY FOUNDATION INC,NY,A,A99,95 54 111TH ST,RICHMOND HILL,11419.0,11419-1023,36081.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,560,560.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A99Z,199607.0,4.0,1.0,3.0,0.0,SARITA SACHOEUA,,0.0,11.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.967517,12,0,0,0,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1,U,U,U,U,U,U,U,U,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,11419.0,RICHMOND HILL,core2002pf_ver1,PF,S,AR,A,IN,,A99,A
5987,,,2002,113137086,J Z L FOUNDATION,NY,A,A99,87 09 CLIO ST,HOLLISWOOD,11423.0,11423-1229,36081.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,560,560.0,0.0,0.0,2178,0,0,50000,0,0,0,96232,52178,97380,-45202,96232,1030,1030,205531,0,0,0,0,0,205531,0,11239,N,0,N,N,2178,N,2178,N,1148,N,N,1148,N,0,N,1148,N,1148,N,205531,N,0,N,0,N,205531,N,0,N,205531,N,21,N,0,N,0,0,21,0,0,0,0,0,228212,11218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A99Z,199508.0,4.0,1.0,3.0,0.0,MICKEY WOHL,,0.0,11.0,PF,O,AR,A,1.0,1.0,2.0,0,2,-5,0.474285,12,21,0,21,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,7,U,U,U,U,U,U,U,U,3,0.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,N,NY,11423.0,HOLLISWOOD,core2002pf_ver1,PF,S,AR,A,IN,,A99,A
6005,,,2001,113162087,AMERICAN AIRPOWER MUSEUM,NY,A,A50,15 W 39TH ST,NEW YORK,10018.0,10018-3806,36061.0,5602.0,5600.0,200112,2001,IN,,3,AR,AR,AR,1,A,994,994.0,60.0,0.0,0,0,0,141612,0,345952,0,0,487564,654534,-166970,580534,0,276530,914151,0,567033,0,567033,164835,914151,0,881,N,0,N,N,0,N,345952,N,654534,N,N,0,N,580534,N,0,N,69422,N,32461,N,0,N,0,N,914151,N,0,N,749316,N,0,N,0,N,0,0,0,0,0,0,0,0,17896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,199308.0,4.0,1.0,3.0,0.0,AVIREX LTD,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.92965,12,0,0,0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,7,U,U,U,U,U,U,U,U,7,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,10018.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A50,A
6079,,,2002,113227149,CLAYWORKS ON COLUMBIA INC,NY,A,A19,195 COLUMBIA STREET,BROOKLYN,11231.0,11231-0000,36047.0,5602.0,5600.0,200306,2003,IN,,3,AR,AR,AR,1,A,91,91.0,149.0,59.0,0,0,0,0,0,50919,3500,0,50919,51192,-273,0,0,0,13530,0,0,0,0,14409,13531,0,0,N,0,N,N,0,N,0,N,51192,N,N,0,N,0,N,0,N,0,N,9551,N,0,N,0,N,13531,N,0,N,-879,N,0,N,0,N,0,0,0,0,0,0,0,0,6863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A47P,199612.0,4.0,1.0,3.0,0.0,,,0.0,11.0,PF,O,AR,A,3.0,1.0,1.0,0,2,-5,0.10636099999999998,6,0,0,0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1,U,U,U,U,U,U,U,U,1,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,11231.0,BROOKLYN,core2002pf_ver1,PF,S,AR,A,IN,,A40,A
6260,,,2002,113371174,FOURTH UNITY INC,NY,A,A65,40 11 67TH ST STE 1A,WOODSIDE,11377.0,11377-8513,36081.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,995,995.0,88.0,0.0,0,0,0,23687,0,9661,0,0,33348,33348,0,33348,0,0,1,0,0,0,0,1,1,0,0,N,0,N,N,0,N,0,N,33348,N,N,0,N,33348,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A65Z,199705.0,4.0,1.0,3.0,0.0,D SMITH,,0.0,11.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.34270100000000003,12,0,0,0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1,U,U,U,U,U,U,U,U,1,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,11377.0,WOODSIDE,core2002pf_ver1,PF,S,AR,A,IN,,A65,A
6620,,,2002,113559712,HAROLD WESTON FOUNDATION,NY,A,A99,338 8TH ST 8,BROOKLYN,11215.0,11215-3339,36047.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,0,0.0,0.0,0.0,0,0,-2783,0,0,0,0,0,-2783,8113,-10896,7549,0,0,2638229,0,0,0,0,0,2638793,0,0,N,0,N,N,0,N,0,Y,8113,N,N,0,N,7549,N,0,N,0,N,63488,N,0,N,0,N,2638793,N,0,N,2638229,N,0,N,0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7549,6186,0,0,13735,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A51,200108.0,3.0,1.0,3.0,0.0,REBECCA FOSTER,,0.0,11.0,PF,O,AR,A,1.0,1.0,2.0,0,2,-5,0.63573,12,0,0,0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2,1,1,1,1,1,1,1,1,U,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,11215.0,BROOKLYN,core2002pf_ver1,PF,O,AR,A,IN,,A51,A
6701,,,2001,113630680,DORSKY GALLERY CURATORIAL PROGRAMS,NY,A,A51,11 03 45TH AVE,LONG IS CITY,11101.0,11101-5109,36081.0,5602.0,5600.0,200206,2002,IN,,3,AR,AR,AR,1,A,0,0.0,0.0,0.0,0,415,15245,1352870,0,210,12206,0,1368740,178061,1190679,118457,15660,0,1203236,0,1060650,0,1060650,12557,1203236,0,48775,N,0,N,N,15660,N,5698,Y,178061,N,N,0,N,118457,N,0,N,59604,N,167,N,0,Y,0,N,1203236,N,0,N,1190679,N,313,N,0,N,0,0,313,0,0,0,0,0,1343805,0,1,0,0,0,1,118457,0,0,0,118457,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A51,200204.0,3.0,1.0,3.0,0.0,DAVID DORSKY,,0.0,11.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.6669470000000001,6,313,0,313,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2,1,1,1,1,1,1,1,1,U,2.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,C,NY,11101.0,LONG IS CITY,core2002pf_ver1,PF,O,AR,A,IN,,A50,A
7110,,,2002,131655152,VAN ALEN INSTITUTE PROJECTS IN PUBLIC ARCHITECTURE,NY,A,A40,30 W 22ND ST 6TH FLR,NEW YORK,10010.0,10010-5884,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,59,59.0,0.0,0.0,0,145670,-388123,231461,0,19827,90000,0,549946,906058,-356112,573854,354577,374404,4922763,0,0,0,0,130674,6759924,0,346282,N,541111,Y,N,686781,N,706608,Y,906058,N,N,332204,N,573854,N,332204,N,332204,N,1796,N,0,N,3382134,N,6759924,N,0,N,4792089,N,3546,N,0,N,0,0,0,0,0,0,0,0,7031102,0,346282,362597,369313,329358,1407550,573854,607768,404191,425594,2011407,6759924,7260765,7517214,7404731,28942634,533333,533333,533333,533333,2133332,230855,241731,246209,219572,938367,231461,149772,37512,64342,483087,231461,149772,37512,64342,483087,496011,546759,491373,422721,1956864,A41Z,193804.0,3.0,1.0,1.0,200312.0,,,0.0,13.0,PF,O,AR,A,2.0,1.0,1.0,0,2,-5,0.50444,12,0,0,3546,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,7.0,1,1,1,1,1,1,1,1,1,U,2.0,3.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,4.0,4.0,N,NY,10010.0,NEW YORK,core2002pf_ver1,PF,O,AR,A,IN,,A40,A
7156,,,2002,131873289,BAGBY FOUNDATION FOR THE MUSICAL ARTS INC,NY,A,A50,501 FIFTH AVE,NEW YORK,10017.0,10017-6103,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,119,119.0,0.0,0.0,8,61336,-116459,14500,0,0,0,69911,-40614,146882,-187496,124340,38924,0,1730150,134947,1023058,568520,1726525,571,1884570,21484,100436,N,0,Y,N,61345,N,0,N,76970,N,N,22420,N,54428,N,22420,N,0,N,-1811,N,0,N,0,N,1884570,N,0,N,1729579,Y,389,N,0,N,0,1000,389,0,0,0,0,611,2039324,100047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A50Z,194211.0,4.0,1.0,3.0,0.0,,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.8664200000000001,12,-611,0,389,1.0,,2.0,,2.0,1.0,2.0,1.0,2.0,1.0,1,U,U,U,U,U,U,U,U,3,0.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,N,NY,10017.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A68,A
7183,,,2002,131966496,AUTHORS LEAGUE FUND ESTABLISHED BY THE AUTHORS LEAGUE OF AMERICA INC,NY,A,A12,31 E 28TH ST 10TH FLR,NEW YORK,10016.0,10016-7923,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,119,119.0,561.0,0.0,302714,4270,-38287,668995,0,-9951,0,186420,927741,323243,604498,290203,268339,269034,5478502,4983296,0,0,4983296,11599,5478502,0,0,N,0,Y,N,296338,N,297033,N,136823,N,N,27999,N,103783,N,27999,N,27999,N,9418,N,0,N,0,N,5478502,N,0,N,5466903,N,2683,N,0,N,0,0,2683,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,193603.0,4.0,1.0,1.0,0.0,,,0.0,13.0,PF,S,ZB,A,1.0,1.0,1.0,0,2,-5,0.9111090000000001,12,2685,0,2683,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,1,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,N,NY,10016.0,NEW YORK,core2002pf_ver1,PF,S,ZB,A,IN,,A1170,A
7578,,,2002,133096058,BARBARA BARONDESS THEATRE LAB FOUNDATION INC,NY,A,A60,440 PARK AVE S 5TH,NEW YORK,10016.0,10016-8012,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,90,90.0,995.0,0.0,0,5896,1000,36000,0,96,0,15000,42992,17858,25134,16410,5582,0,248418,0,0,0,0,0,249071,0,10517,N,0,Y,N,6992,N,0,N,2858,N,N,1410,N,1410,N,1410,N,0,N,74170,N,0,N,174248,N,249071,N,0,N,248418,N,56,N,0,N,0,0,56,0,0,0,0,0,213548,10461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,198201.0,16.0,20.0,3.0,198312.0,ERE & CO,,0.0,13.0,PC,O,AR,A,1.0,1.0,1.0,0,2,-5,0.516475,12,56,0,56,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,3,0.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,10016.0,NEW YORK,core2002pf_ver1,PF,O,AR,A,IN,,A60,A
7678,,,2002,133150248,SOCIETE DES PROFESSEORS FRANCAIS EN AMERIQUE,NY,A,A70,PO BOX 6026,NEW YORK,10150.0,10150-6026,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,149,149.0,0.0,0.0,1680,119064,46687,4950,0,0,0,84500,172381,138996,33385,110401,143436,0,2699305,1548930,1046156,0,2595086,0,2957814,104089,152016,N,0,N,N,167431,N,0,N,54496,N,N,23995,N,25901,N,23995,N,0,N,8024,N,0,N,0,N,2957814,N,0,N,2699305,Y,2869,N,0,N,0,8963,2869,0,0,0,0,6094,3086610,149147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,199410.0,4.0,1.0,3.0,0.0,,,0.0,13.0,PF,O,AR,A,2.0,1.0,1.0,0,2,-5,0.439403,12,-6094,0,2869,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,4,0.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,N,NY,10150.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,B82,B
7817,,,2002,133229829,KOREAN LANGUAGE & CULTURAL INSTITUTE INC,NY,A,A23,246 5TH AVE 500,NEW YORK,10001.0,10001-7603,36061.0,5602.0,5600.0,200304,2003,IN,,3,AR,AR,AR,1,A,46,46.0,0.0,0.0,0,0,0,55515,0,0,0,100,55515,59115,-3600,0,0,0,14657,14657,0,0,14657,1003,14657,0,0,N,0,N,N,0,N,0,N,59015,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,14657,N,0,N,13654,N,0,N,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A23Z,199101.0,4.0,1.0,3.0,0.0,,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.674952,4,0,0,0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,10001.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A23,A
8235,,,2001,133389923,THE TEREZIN FOUNDATION INC,NY,A,A31,262 CENTRAL PARK WEST,NEW YORK,10024.0,10024-3512,36061.0,5602.0,5600.0,200210,2002,IN,,3,AR,AR,AR,1,A,122,122.0,0.0,0.0,0,0,0,0,0,1067,0,0,1067,6793,-5726,1932,0,0,122902,0,0,0,0,302168,24205,0,232,N,0,N,N,0,N,1067,N,6793,N,N,0,N,1932,N,0,N,4861,N,4205,N,0,N,0,N,24205,N,0,N,-179266,N,0,N,0,N,0,0,0,0,0,0,0,0,4711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,198703.0,4.0,1.0,3.0,0.0,,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.160941,10,0,0,0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,7,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,10024.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A31,A
8289,,,2002,133406046,FRANCIS J GREENBURGER FOUNDATION INC,NY,A,A99,55 5TH AVE,NEW YORK,10003.0,10003-4301,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,0,0.0,0.0,0.0,0,0,0,2162,0,0,0,7162,2162,7285,-5123,7285,0,0,7719,0,0,0,0,0,7719,0,509,N,0,N,N,0,N,0,N,123,N,N,0,N,123,N,0,N,123,N,7719,N,0,N,0,N,7719,N,0,N,7719,N,0,N,0,N,0,0,0,0,0,0,0,0,10280,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A40,200106.0,4.0,1.0,3.0,0.0,TIME EQUITIES INC,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.9347209999999999,12,0,0,0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,1,0.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,N,NY,10003.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A40,A
8393,,,2002,133442712,OUTSIDE IN JULY INC,NY,A,A31,250 W 57TH ST STE 2203,NEW YORK,10019.0,10019-3741,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,122,122.0,0.0,0.0,68,0,0,169909,0,6946,0,0,176923,193583,-16660,191217,0,0,16965,0,0,0,0,2716,16965,0,1478,N,0,N,N,68,N,0,N,193583,N,N,68,N,191217,N,68,N,0,N,16952,N,0,N,0,N,16965,N,0,N,14249,N,0,N,0,N,0,0,0,0,0,0,0,0,30000,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,198810.0,4.0,1.0,3.0,0.0,J L ROSENHOUSE CPA INC,GARRISON,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.801188,12,0,0,0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,1,0.0,3.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,N,NY,10019.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A31,A
8395,,,2001,133442953,VIDEO INFORMATION NETWORK,NY,A,A31,257 W 86TH ST APT 5A,NEW YORK,10024.0,10024-3105,36061.0,5602.0,5600.0,200112,2001,IN,,3,AR,AR,AR,1,A,121,121.0,0.0,0.0,39,0,0,0,0,0,0,0,39,1236,-1197,0,39,39,6529,0,0,0,0,1220,6471,0,0,N,0,N,N,39,N,39,N,1236,N,N,0,N,0,N,0,N,0,N,4145,Y,0,N,0,N,6471,N,0,N,5309,N,1,N,0,N,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,198802.0,4.0,1.0,3.0,0.0,,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.879574,12,0,0,1,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,4.0,N,NY,10024.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A31,A
8479,,,2002,133486646,RONALD A WILFORD FOUNDATION FOR CONDUCTORS INC,NY,A,A60,114 W 47TH ST TAXVS,NEW YORK,10036.0,10036-1510,36061.0,5602.0,5600.0,200212,2002,IN,,3,AR,AR,AR,1,A,123,123.0,0.0,0.0,2248,2887,28095,0,0,0,0,6000,33230,8297,24933,7882,32815,0,273273,100645,0,0,100645,0,272680,14014,14811,N,0,N,N,33230,N,0,N,2297,N,N,415,N,1882,N,415,N,0,N,0,N,0,N,0,N,272680,N,273273,N,273273,N,656,N,0,N,0,422,656,0,600,0,0,366,300738,14155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,198906.0,4.0,1.0,3.0,0.0,US TRUST CO OF NY,,0.0,13.0,PF,O,AR,A,1.0,1.0,1.0,0,2,-5,0.325954,12,-366,0,656,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,U,U,U,U,U,U,U,U,4,0.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,N,NY,10036.0,NEW YORK,core2002pf_ver1,PF,S,AR,A,IN,,A60,A
