,FILER,CODE990,EIN,styear,ASSETCD,INCOMECD,ACTIVCD1,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P1RENTE,P1SPEVE,P1PSREV,P1SPEVN,P1OTHREV,SUBSECCD,POPCODE,P6UNRELB,REASON,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,RandNum,nteeConf,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,estp1totrev,P1TOTREV,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
13121,990.0,1,113238845,1995,3,3,205,0,11517,0,0,0,0,0,0,34266,34266,45783,30507,25631,0,0,22484,25631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12129,0,6232,15905,6,1,N,9,I QUEENS,LONG ISLAND CITY,NY,11106-2837,11106.0,36081.0,A40,A,11106.0,5602.0,5600.0,36081.0,,O,O,0.69352,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199512,33654,33654,199512,1995,NY,11106.0,LONG ISLAND CITY,A40,C,12,205.0,0.0,0.0,182 09 HORACE HARDING EXPY,3.0,0.0,2000.0,% ANTHONY DIPROPERZIO,2.0,11.0,0.0,10.0,0.0,1.0,9503.0,,PC,O,AR,A,IN,,A40,A,710000.0
13194,,1,113344197,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,N,0,LINKS INC,TAMAICA,NY,11411-0792,11411.0,36081.0,A99,A,11411.0,5602.0,5600.0,36081.0,,O,O,0.42208999999999997,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199604,0,0,199604,1996,NY,11411.0,TAMAICA,A99,C,4,119.0,40.0,279.0,11226 178TH PL,9.0,0.0,1.0,RENEE N BLUFORD,2.0,1.0,0.0,20.0,1520.0,5.0,196112.0,GREATER QUEENS CHAPTER,PC,O,AR,A,IN,,A99,A,710000.0
13310,,1,116035572,1994,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,N,0,ASSOC ARCHITECTURAL & STORE FRONT CONTRACTORS,HOWARD BEACH,NY,11414-2415,11414.0,36081.0,A40,A,11414.0,5602.0,5600.0,36081.0,,O,O,0.69785,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36081.0,199506,0,0,199506,1995,NY,11414.0,HOWARD BEACH,A40,A,6,200.0,0.0,0.0,90 53 SHORE PARKWAY,3.0,0.0,2000.0,,2.0,11.0,0.0,20.0,0.0,1.0,6312.0,,PC,O,AR,A,IN,,A40,A,710000.0
13637,990.0,1,130417765,1995,6,6,919,0,896574,0,0,135139,0,0,0,2158092,2158092,3054666,3415368,1596595,560308,0,3087720,2875390,1130423,1278795,0,0,0,0,0,0,0,0,0,0,0,0,0,2022953,0,0,6,1,Y,0,ADVERTISING RES FND,NEW YORK,NY,10022-4503,10022.0,36061.0,A30,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.63595,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199512,3054666,3054666,199512,1995,NY,10022.0,NEW YORK,A03,A,12,919.0,0.0,0.0,641 LEXINGTON AVE 11TH FLR,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4303.0,,PC,O,AR,A,IN,,A03,A,813920.0
13656,990.0,1,130448930,1994,6,5,65,0,135318,0,0,3083,0,0,0,736310,736310,871628,881543,846179,64031,0,1254306,1207752,316434,361573,0,0,0,0,0,0,0,0,0,0,0,0,0,684421,0,48806,6,1,Y,0,ART DIRECTORS CLUB,NEW YORK,NY,10003-1402,10003.0,36061.0,A25,A,10003.0,5602.0,5600.0,36061.0,,O,O,0.9742,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199508,871628,871628,199508,1995,NY,10003.0,NEW YORK,A25,A,8,65.0,207.0,119.0,250 PARK AVE S,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3807.0,,PC,O,AR,A,IN,,A25,A,611610.0
13660,990.0,1,130452445,1994,6,6,59,0,2409351,0,0,77881,0,0,0,620387,620387,3029738,2748390,1267659,351104,0,1719585,2092078,277375,824419,0,0,0,0,0,0,0,0,0,0,0,0,455899,0,29702,56905,6,1,N,0,AMER BUSINESS PRESS,NEW YORK,NY,10017-5704,10017.0,36061.0,A01,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.67655,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199506,2573839,2573839,199506,1995,NY,10017.0,NEW YORK,A0330,A,6,59.0,200.0,0.0,675 THIRD AVE,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3504.0,,PC,O,AR,A,IN,,S41,S,813910.0
13668,990.0,1,130453230,1994,6,7,919,0,3727580,843115,756029,59965,0,0,0,3152530,2373992,6880110,6259975,432296,1027726,0,2629633,3037744,2038934,2605448,0,0,0,0,0,0,0,0,0,0,0,0,0,2133450,0,116000,6,1,Y,0,ASSOC NAT ADVERTISERS,NEW YORK,NY,10017-4201,10017.0,36061.0,A30,A,10017.0,5602.0,5600.0,36061.0,,O,O,0.058289999999999995,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199511,6101572,6101572,199511,1995,NY,10017.0,NEW YORK,S41,A,11,919.0,205.0,0.0,155 E 44TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,5.0,4208.0,,PC,O,AR,A,IN,,S41,S,813910.0
13676,990.0,1,130508050,1995,5,4,298,95373,0,119644,120583,37151,0,0,0,112565,-8018,207938,349384,665546,0,0,968867,668546,3000,3000,656561,0,0,0,0,0,0,0,0,0,0,0,38292,0,15973,-98495,4,1,N,0,BOHEMIAN BENEVOLENT & LITERARY ASSOC NEW YORK CITY,NEW YORK,NY,10021-3705,10021.0,36061.0,A70,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.24374,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199606,49063,49063,199606,1996,NY,10021.0,NEW YORK,A23,B,6,298.0,318.0,319.0,321 E 73RD ST,3.0,0.0,3000.0,JAN HIRD POKORNY PRESIDENT,2.0,13.0,0.0,10.0,0.0,5.0,6501.0,,PC,O,AR,A,IN,,A23,A,710000.0
13746,990.0,1,130872850,1995,4,5,279,0,578401,0,0,4551,0,0,0,70505,70505,648906,838209,324953,89560,21216,644681,455598,130425,130645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65954,5,1,N,0,INTL PHOTO LOCAL 644 IATSE,NEW YORK,NY,10011-5126,10011.0,36061.0,A65,A,,5602.0,5600.0,,,O,O,0.22983,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199605,648906,648906,199605,1996,NY,,NEW YORK,A65,A,5,279.0,268.0,0.0,80 EIGHTH AVE,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4104.0,644 IATSE,PC,O,AR,A,IN,,J40,J,813930.0
13758,990.0,1,130951470,1994,6,6,119,0,2246281,0,0,144497,0,0,0,1098359,1098359,3344640,2852492,2143865,926662,0,2390903,2905797,738329,761932,2143865,0,0,0,0,2550,0,0,0,0,0,0,0,940762,0,13100,6,1,N,0,LEAGUE AMER THEATRES & PRODUCERS,NEW YORK,NY,10036-1413,10036.0,36061.0,A99,A,10036.0,5602.0,5600.0,36061.0,,O,O,0.41171,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199508,3344640,3344640,199508,1995,NY,10036.0,NEW YORK,A0365,A,8,119.0,205.0,279.0,226 W 47TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4210.0,,PC,O,AR,A,IN,,A0365,A,813920.0
13761,990.0,1,130971750,1994,3,4,119,3769,3585,0,0,71,0,0,0,284796,284796,292150,295740,22607,0,0,38711,42525,6289,19917,0,0,0,0,0,0,0,0,0,0,0,0,6225,165325,3196,109978,7,1,N,9,LIEDERKRANZ CITY NEW YORK,NEW YORK,NY,10128-0505,10128.0,36061.0,A6A,A,10128.0,5602.0,5600.0,36061.0,,O,O,0.71435,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199506,285925,285925,199506,1995,NY,10128.0,NEW YORK,A6A,A,6,119.0,916.0,318.0,6 E 87TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,3907.0,,PC,O,AR,A,IN,,A6A,A,711130.0
13798,990.0,1,131087160,1995,7,8,200,605442,6570949,2036479,1883728,165872,0,0,0,4715921,2832193,11892312,9655398,4605167,1531247,0,5318684,5530164,1066703,924997,0,0,0,0,0,0,0,0,0,0,0,0,0,2375394,0,138176,6,1,N,0,MAGAZINE PUBLISHERS AMERICA,NEW YORK,NY,10022-3801,10022.0,36061.0,A01,A,10022.0,5602.0,5600.0,36061.0,,O,O,0.78437,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199512,10008584,10008584,199512,1995,NY,10022.0,NEW YORK,A33,A,12,200.0,0.0,0.0,919 THIRD AVE 22ND FL,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4209.0,,PC,O,AR,A,IN,,A0333,A,813920.0
13810,990.0,1,131101367,1993,2,4,200,3660,59560,0,0,219,0,14235,4281,72301,58066,135521,124350,868,0,0,20385,16968,16453,16100,868,0,0,0,0,0,0,0,0,0,0,0,0,51319,0,2247,6,1,Y,0,NEW YORK SOC ARCHITECTS,NEW YORK,NY,10001-6708,10001.0,36061.0,A01,A,10001.0,5602.0,5600.0,36061.0,,O,O,0.30543000000000003,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199411,121286,121286,199411,1994,NY,10001.0,NEW YORK,A03,B,11,200.0,205.0,0.0,275 SEVENTH AVE 15TH FLR,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4208.0,,PC,O,AR,A,IN,,A03,A,813920.0
13862,990.0,1,131374145,1995,5,5,200,0,257091,0,0,75925,0,0,0,357104,357104,614195,344284,615816,93750,0,558115,615816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167723,34594,75314,3548,6,1,Y,0,TEXTILE DISTRIBUTORS ASSOC,NEW YORK,NY,10018-7904,10018.0,36061.0,A01,A,10018.0,5602.0,5600.0,36061.0,,O,O,0.25918,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199512,446472,446472,199512,1995,NY,10018.0,NEW YORK,A40,A,12,200.0,279.0,0.0,45 W 36TH ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4409.0,,PC,O,AR,A,IN,,A40,A,710000.0
13870,990.0,1,131394480,1995,6,6,205,0,755093,0,0,25285,0,15680,53391,550242,534562,1305335,1272286,73565,212604,0,677175,1325383,620979,1251818,0,0,0,0,0,0,0,0,0,0,0,0,0,455886,0,0,6,1,N,0,TRAFFIC AUDIT BUREAU MEDIA MEASUREMENT,NEW YORK,NY,10170-2599,10170.0,36061.0,A01,A,10170.0,5602.0,5600.0,36061.0,,O,O,0.95814,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199512,1289655,1289655,199512,1995,NY,10170.0,NEW YORK,A30,B,12,205.0,0.0,0.0,420 LEXINGTON AVE STE 2520,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5501.0,,PC,O,AR,A,IN,,A30,A,510000.0
13878,990.0,1,131406872,1995,2,3,263,0,27392,0,0,0,0,0,0,0,0,27392,35395,9954,0,0,21403,10904,3476,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,N,0,INTL ALLIANCE THEATRICAL STAGE EMP & MVG PIC MACH OP US&CAN,BRONX,NY,10473-0963,10473.0,36005.0,A65,A,,5602.0,5600.0,,,O,O,0.04992,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,,199512,27392,27392,199512,1995,NY,,BRONX,A65,A,12,263.0,0.0,0.0,PO BOX 1018 CORNELL STA,9.0,0.0,3000.0,,2.0,13.0,0.0,10.0,386.0,5.0,4407.0,LOCAL H 63,PC,O,AR,A,IN,,A65,A,711110.0
13885,990.0,1,131426099,1995,4,3,999,0,670,0,0,5468,0,0,0,44521,44521,45191,7721,137187,0,0,125042,137187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25325,0,13728,0,4,1,N,0,UNITED IRISH COUNTIES ASSOC NEW YORK,JACKSON HTS,NY,11372-1457,11372.0,36081.0,A23,A,11372.0,5602.0,5600.0,36081.0,,O,O,0.3502,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36081.0,199604,19866,19866,199604,1996,NY,11372.0,JACKSON HTS,A23,A,4,999.0,0.0,0.0,67 89TH ST,3.0,0.0,1000.0,MICHAEL FOGARTY,2.0,11.0,0.0,10.0,0.0,5.0,5604.0,,PC,O,AR,A,IN,,A23,A,710000.0
13908,990.0,1,131505524,1995,6,5,205,100000,454656,1547,0,52773,0,0,0,266942,266942,821598,499567,1304545,91185,0,1295082,1441138,204687,136593,773934,0,0,0,0,0,0,0,0,0,0,0,107881,0,89852,14889,6,1,N,0,AMER INST ARCHITECTS N Y CHAPTER,NEW YORK,NY,10016-6186,10016.0,36061.0,A40,A,10016.0,5602.0,5600.0,36061.0,,O,O,0.8682799999999999,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199512,713717,713717,199512,1995,NY,10016.0,NEW YORK,A40,B,12,205.0,40.0,279.0,200 LEXINGTON AVE RM 602,0.0,0.0,1000.0,,2.0,13.0,11.0,10.0,0.0,1.0,4208.0,N Y CHAPTER,PC,O,AR,A,IN,,A40,A,710000.0
13920,990.0,1,131520977,1995,2,3,119,0,49593,0,0,0,0,0,0,0,0,49593,59771,24125,0,0,34303,24125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,N,0,ART & ANTIQUE DEALERS LEAGUE AMERICA,NEW YORK,NY,10021-1313,10021.0,36061.0,A01,A,10021.0,5602.0,5600.0,36061.0,,O,O,0.45555,,AR,A,A,IN,,Q,AR,AR,AR,Z99,B,,36061.0,199609,49593,49593,199609,1996,NY,10021.0,NEW YORK,A0380,A,9,119.0,0.0,0.0,353 E 78TH ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7601.0,,PC,O,AR,A,IN,,A0380,A,813920.0
13954,990.0,1,131572247,1994,5,5,119,0,167674,0,0,17268,0,136909,227355,424250,287341,591924,408094,510255,0,0,507859,776914,44525,266659,0,12596,0,0,0,0,0,0,0,0,0,0,0,0,0,42718,7,1,Y,0,METRO OPERA CLUB,NEW YORK,NY,10023-0000,10023.0,36061.0,A11,A,10023.0,5602.0,5600.0,36061.0,,O,S,0.9665100000000001,,ZA,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199507,455015,455015,199507,1995,NY,10023.0,NEW YORK,A11,A,7,119.0,319.0,0.0,LINCOLN CENTER,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,4608.0,,PC,S,ZA,A,IN,,A11,A,813219.0
13964,990.0,1,131583260,1995,6,5,919,0,532481,108850,127664,84210,0,0,0,193060,65396,725541,520418,252161,221497,0,1269544,1480337,1094842,1228176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,N,0,STATION REPRESENTATIVES ASSOC,NEW YORK,NY,10169-0005,10169.0,36061.0,A30,A,10169.0,5602.0,5600.0,36061.0,,O,O,0.56455,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199606,597877,597877,199606,1996,NY,10169.0,NEW YORK,A01,C,6,919.0,200.0,0.0,230 PARK AVE,3.0,0.0,2000.0,KATZ MEDIA J BELOYIANIS,2.0,13.0,0.0,10.0,0.0,1.0,6910.0,,PC,O,AR,A,IN,,A01,A,813319.0
14029,,1,131673348,1995,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,N,0,OLD GUARD CITY NEW YORK,NEW YORK,NY,10024-1001,10024.0,36061.0,A82,A,10024.0,5602.0,5600.0,36061.0,,O,O,0.63479,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199602,0,0,199602,1996,NY,10024.0,NEW YORK,W20,C,2,908.0,0.0,0.0,307 W 91ST ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5203.0,,PC,O,AR,A,IN,,W20,W,813410.0
14035,990.0,1,131677485,1994,6,6,121,283500,0,0,0,7300,0,0,0,3443000,3443000,3726500,3565000,1871700,4300,0,2562400,3025900,991000,1154200,1871700,0,0,0,0,0,0,0,0,0,0,0,0,3423200,0,2400,4,1,N,0,BRITISH BROADCASTING,NEW YORK,NY,10023-5882,10023.0,36061.0,A30,A,10023.0,5602.0,5600.0,36061.0,,O,O,0.33304,,AR,A,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199503,3726500,3726500,199503,1995,NY,10023.0,NEW YORK,A30,A,3,121.0,122.0,149.0,1995 BROADWAY STE 505,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,9202.0,,PC,O,AR,A,IN,,A30,A,510000.0
14214,990.0,1,131769475,1995,4,3,319,0,6814,0,0,11556,0,0,0,44049,44049,50863,23687,226724,0,0,226258,226724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26710,0,5783,0,4,1,N,0,THEATRICAL MUTUAL ASSOC NEW YORK LODGE 1,NYC,NY,10019-0000,10019.0,36061.0,A65,A,10019.0,5602.0,5600.0,36061.0,,O,O,0.76365,,AR,A,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199512,24153,24153,199512,1995,NY,10019.0,NYC,A65,B,12,319.0,0.0,0.0,211 W 53RD ST,3.0,0.0,3000.0,,2.0,13.0,0.0,20.0,0.0,1.0,5504.0,,PC,O,AR,A,IN,,A65,A,711110.0
