,EIN,TAXPER,CYCLE,DLN,NTEEIRS,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,verfail,vMagS,vMagP,NTEECC,NteeCC4d,NTEEconf,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,ntmaj10,ntmaj12,ntmaj5,RandNum,FIPS,MSA_NECH,PMSA,NteeOldB,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS,DocCd
9436,112212446,200612,200741.0,93490270005007,,2006,0,1967681,0,0,4691,0,0,0,10396,10396,1978077,1108047,1383355,183948,0,643611,1473396,98093,90041,1383355,0,0,0,0,0,0,0,0,0,0,5705,,1978077,1978077,0,0,0,0,0,0,0,870030,-32193,146676,22821,0,0,0,0,545518,0,0,0,0,4691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,545518,263,1,2006,N,10011-7168,10011.0,112212446200612.0,1122124462006.0,12,263.0,264.0,279.0,265 W 14TH ST STE 1003,9.0,0.0,NEW YORK,3.0,JOSEPH GIORDANO,2.0,13.0,0.0,10.0,444.0,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES 1974,5.0,194107.0,1974,NY,rtf06co,4.0,4.0,4.0,4.0,,,,A40,,C,A,O,O,AR,A,A,IN,,AR,AR,AR,0.19907,36061.0,5602.0,5600.0,,PC,O,AR,A,OUT,S,S99,S,813410.0,90
9652,112579110,200612,200726.0,29490167229237,,2006,0,54756,0,0,0,0,0,0,0,0,54756,57608,29219,0,0,31574,29219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54756,54756,0,0,0,0,0,0,0,-2852,497,0,0,0,0,0,0,31574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,200,1,2006,N,10472-3102,10472.0,112579110200612.0,1125791102006.0,12,200.0,0.0,0.0,1110 BRONX RIVER AVE,3.0,0.0,BRONX,1.0,CHARLES WEINER,2.0,13.0,0.0,10.0,0.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,1.0,198311.0,,NY,rtf06co,1.0,1.0,1.0,1.0,,,,A65,,C,A,O,O,AR,A,A,IN,,AR,AR,AR,0.97583,36005.0,5602.0,5600.0,,PC,O,AR,A,IN,,A65,A,711110.0,90
9741,112691482,200612,200752.0,29490335157217,,2006,0,0,0,0,0,0,0,0,7339147,7339147,7339147,7531203,-154225,141470,0,315270,122451,277439,276676,-154225,0,0,0,0,0,0,0,0,7337767,0,1380,,7339147,7339147,0,0,0,0,0,0,0,-192056,0,27339,9084,0,0,0,0,37831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,37831,254,1,2006,N,10461-2622,10461.0,112691482200612.0,1126914822006.0,12,254.0,0.0,0.0,1401 BLONDELL AVE,3.0,0.0,BRONX,1.0,,2.0,13.0,0.0,10.0,0.0,PRODUCTION INDUSTRIAL TECH TEXTILE & PROF EMPLOYEES LOC 124 WLFR FUND,2.0,199211.0,,NY,rtf06co,2.0,5.0,5.0,5.0,,,,A40,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.8527899999999999,36005.0,5602.0,5600.0,,PC,O,AR,A,IN,,A40,A,710000.0,90
9811,112803536,200507,,29409014025236,,2004,0,0,0,0,35690,0,0,0,70989,70989,70989,30535,154745,0,0,150388,154745,0,0,0,0,0,0,0,0,0,0,36097,0,-798,0,,34892,34892,0,0,0,0,0,35299,0,4357,0,0,0,0,0,0,0,150388,0,0,0,0,0,0,0,35690,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,119,1,2005,Y,11103-1264,11103.0,,,7,119.0,0.0,0.0,46 02 30TH AVE,3.0,0.0,ASTORIA,1.0,,2.0,11.0,0.0,10.0,0.0,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,1.0,198707.0,,NY,CORE05co,,,,,,,,A23,,B,A,O,O,AR,A,A,IN,,AR,AR,AR,0.84515,36081.0,5602.0,5600.0,,PC,O,AR,A,IN,,A23,A,710000.0,9
9971,113097379,200612,200750.0,29490321008047,,2006,0,122556,0,0,0,0,0,0,58615,58615,181171,160525,253173,0,0,232527,253183,0,0,215925,0,0,0,0,0,0,0,0,58615,0,0,,181171,181171,0,0,0,0,0,0,0,20646,0,0,0,0,0,0,0,232527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,215925,319,1,2006,N,11385-6930,11385.0,113097379200612.0,1130973792006.0,12,319.0,119.0,0.0,7254 65TH PL,3.0,0.0,GLENDALE,1.0,DUSHAN RADOVICH,2.0,11.0,0.0,10.0,0.0,SERBIAN ASSOCIATION OF NEW YORK INC,1.0,199301.0,,NY,rtf06co,2.0,2.0,2.0,2.0,,,,A23,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.73128,36081.0,5602.0,5600.0,,PC,O,AR,A,IN,,A23,A,710000.0,90
9984,113110485,200512,,29490112005146,,2005,48854,0,0,0,0,0,0,0,0,0,48854,45454,3930,0,0,14270,4690,13740,760,0,0,0,0,0,0,0,0,0,0,0,0,,48854,48854,0,0,0,0,0,0,0,3400,0,22931,1760,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,372184,0,0,0,0,0,372184,372184,4,7,0,0,328,1,2005,N,11691-4304,11691.0,,,12,328.0,0.0,0.0,1848 CORNAGA AVE,3.0,0.0,FAR ROCKAWAY,1.0,,2.0,11.0,0.0,10.0,0.0,ROCKAWAY PENINSULA CIVIC ASSOC INC,1.0,199211.0,DAVID N DINKINS CTR PHYS CULTURE,NY,CORE05co,,,,,,,,A40,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.84321,36081.0,5602.0,5600.0,,PC,O,AR,A,IN,,A40,A,710000.0,90
10025,113163244,200704,200748.0,29409300164017,A23,2006,0,900,0,0,34,0,0,0,84178,84178,85078,1778,29493,0,0,44069,29493,0,0,0,0,0,0,0,0,0,0,97876,0,-13732,0,,-12798,-12798,0,0,0,0,0,84144,0,-14576,0,0,0,0,0,0,0,44069,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2007,N,10008-2222,10008.0,113163244200704.0,1131632442007.0,4,0.0,0.0,0.0,PO BOX 2222,3.0,0.0,NEW YORK,1.0,,2.0,13.0,0.0,10.0,0.0,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,1.0,200201.0,,NY,rtf06co,1.0,0.0,1.0,1.0,,,,A23,,B,A,O,O,AR,A,A,IN,,AR,AR,AR,0.44785,36061.0,5602.0,5600.0,,PC,O,AR,A,IN,,A23,A,710000.0,9
10057,113212678,200512,,29490210350006,,2005,166200,0,0,0,0,0,0,0,0,0,166200,138535,43550,0,0,15885,43549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,166200,166200,0,0,0,0,0,0,0,27665,0,0,0,0,0,0,0,15885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,1,2005,N,11354-2827,11354.0,,,12,200.0,0.0,0.0,35 30 FARRINGTON ST 2ND FLR,3.0,0.0,FLUSHING,1.0,,2.0,11.0,0.0,10.0,0.0,KOREAN AMERICAN NAIL SALON ASSOC OF NEW YORK INC,1.0,199509.0,,NY,CORE05co,,,,,,,,A23,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.11980999999999999,36081.0,5602.0,5600.0,,PC,O,AR,A,IN,,A23,A,710000.0,90
10059,113216404,200609,200732.0,29490202154157,,2005,0,9600,0,0,0,0,0,0,54030,54030,63630,74942,7186,0,0,29478,7186,10980,0,2350,0,0,0,0,0,0,0,0,54030,0,0,,63630,63630,0,0,0,0,0,0,0,-11312,0,0,0,0,0,0,0,18498,0,0,0,0,0,0,0,0,0,0,0,0,25810,296713,0,0,0,322523,25810,4,9,0,13662,317,1,2006,N,11210-1233,11210.0,113216404200609.0,1132164042006.0,9,317.0,0.0,0.0,1324 FLATBUSH AVE,3.0,0.0,BROOKLYN,1.0,FREDERICK BALLENTYNE,2.0,11.0,0.0,10.0,0.0,CARIBBEAN CUP INC,1.0,199609.0,,NY,rtf06co,1.0,1.0,1.0,1.0,,,,A23,,C,A,O,O,AR,A,A,IN,,AR,AR,AR,0.69024,36047.0,5602.0,5600.0,,PC,O,AR,A,IN,,A23,A,710000.0,90
10071,113238845,200612,200739.0,29409251118137,,2006,4140,13996,0,0,3115,0,0,0,7419,7419,25555,22055,65602,0,0,63327,66012,98,410,0,0,0,0,0,0,0,0,4447,0,-143,0,,21108,21108,0,0,0,0,0,4304,0,-947,3320,0,0,0,0,0,0,63229,0,0,0,0,0,0,0,3115,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205,1,2006,N,11379-2315,11379.0,113238845200612.0,1132388452006.0,12,205.0,0.0,0.0,8101 FURMANVILLE AVE,3.0,0.0,MIDDLE VLG,2.0,GINO O LONGO,2.0,11.0,0.0,10.0,0.0,A I A QUEENS INC,1.0,199503.0,,NY,rtf06co,1.0,1.0,1.0,1.0,,,,A40,,C,A,O,O,AR,A,A,IN,,AR,AR,AR,0.3018,36081.0,5602.0,5600.0,,PC,O,AR,A,IN,,A40,A,710000.0,9
10084,113261970,200512,,29409273056336,,2005,0,2800,0,0,0,0,0,0,71875,71875,74675,66642,47002,0,0,38060,47002,0,0,0,0,0,0,0,0,0,0,0,71875,0,0,,74675,74675,0,0,0,0,0,0,0,8033,909,0,0,0,0,0,0,38060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2005,N,11101-1801,11101.0,,,12,0.0,0.0,0.0,45 03 37TH ST,3.0,0.0,LONG IS CITY,2.0,HYUNG SUK CHOI,2.0,11.0,0.0,10.0,0.0,KOREAN AIR CONDITIONING AND REFRIGERATION ASSOCIATION OF NEW,1.0,200003.0,,NY,CORE05co,,,,,,,,A23,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.35646,36081.0,5602.0,5600.0,,PC,O,AR,A,IN,,A23,A,710000.0,9
10093,113278319,200612,200737.0,29409244067267,S41,2006,42441,0,0,0,0,0,0,0,0,0,42441,56162,18288,0,0,32010,18289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42441,42441,0,0,0,0,0,0,0,-13721,0,0,0,0,0,0,0,32009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2006,N,10038-2015,10038.0,113278319200612.0,1132783192006.0,12,0.0,0.0,0.0,150 BEEKMAN ST FL 3,3.0,0.0,NEW YORK,2.0,,2.0,13.0,0.0,10.0,0.0,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,1.0,199904.0,,NY,rtf06co,1.0,1.0,1.0,1.0,,,,A23,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.8755,36061.0,5602.0,5600.0,,PC,O,AR,A,IN,,A23,A,710000.0,9
10150,113395787,200612,200727.0,29490168269057,,2006,0,71970,0,0,0,0,0,0,242619,242619,314589,120162,88994,96000,0,106447,88994,0,0,0,0,0,0,0,0,0,0,211880,0,30739,0,,102709,102709,0,0,0,0,0,242619,0,-17453,0,0,4007,0,0,0,0,106447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,1,2006,N,10016-3903,10016.0,113395787200612.0,1133957872006.0,12,200.0,0.0,0.0,200 MADISON AVENUE,3.0,0.0,NEW YORK,2.0,WILLIAM G CASTAGNOLI,2.0,13.0,0.0,10.0,0.0,MEDICAL ADVERTISING HALL OF FAME INC,1.0,199808.0,,NY,rtf06co,1.0,2.0,2.0,2.0,,,,A50,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.52137,36061.0,5602.0,5600.0,,PC,O,AR,A,IN,,A50,A,712110.0,90
10195,113477797,200612,200739.0,29490168248297,N31,2006,2010,4870,0,0,0,0,0,0,122684,122684,129564,55953,197797,0,0,814627,857683,614496,661896,37797,0,0,0,0,0,0,68890,7055,2010,51319,7000,,53619,53619,-13590,0,0,0,0,58374,0,-2334,0,0,0,0,0,0,0,200131,0,0,0,0,0,0,55300,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,40131,0,1,2006,N,11105-2402,11105.0,113477797200612.0,1134777972006.0,12,0.0,0.0,0.0,2227 33RD ST,3.0,0.0,ASTORIA,3.0,,2.0,11.0,0.0,0.0,0.0,SYLLOGOS KRETON MINOS INC,1.0,199908.0,,NY,rtf06co,3.0,1.0,2.0,1.0,,,,A23,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.91984,36081.0,5602.0,5600.0,,PC,O,AR,A,OUT,S,A23,A,710000.0,90
10444,116024777,200612,200722.0,93409138000017,,2006,0,2405,0,0,210,0,0,0,24280,24280,26685,3586,28171,0,0,31896,28171,0,0,0,0,0,0,0,0,0,0,26824,0,-2754,0,,-139,-139,0,0,0,0,0,24070,0,-3725,0,0,0,0,0,0,0,31896,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263,1,2006,Y,11417-0185,11417.0,116024777200612.0,1160247772006.0,12,263.0,264.0,267.0,PO BOX 185,3.0,0.0,JAMAICA,3.0,,2.0,11.0,0.0,10.0,0.0,NEW YORK TURF WRITERS ASSOCIATION INC OZONE PARK,1.0,196311.0,,NY,rtf06co,1.0,0.0,1.0,1.0,,,,A70,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.5805899999999999,36081.0,5602.0,5600.0,,PC,O,AR,A,IN,,A70,A,710000.0,9
10478,116036702,200704,200745.0,29490293048047,,2006,0,19144,0,0,1047,0,54400,16735,97355,42955,116499,75046,212739,0,0,366375,358444,138827,128246,162471,0,0,0,0,0,0,0,1807,0,1671,21695,,60292,60292,0,0,0,0,0,3478,71135,-14754,-55,0,0,0,0,0,0,227548,3000,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,177221,904,1,2007,N,11693-1105,11693.0,116036702200704.0,1160367022007.0,4,904.0,602.0,328.0,1622 CHURCH RD,3.0,0.0,BROAD CHANNEL,1.0,,2.0,11.0,0.0,10.0,0.0,NORTH CHANNEL YACHT CLUB INC,1.0,195712.0,,NY,rtf06co,2.0,1.0,2.0,1.0,,,,A32,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.08107,36081.0,5602.0,5600.0,,PC,O,AR,A,IN,,A32,A,513120.0,90
10527,116042353,200609,200737.0,29490167346137,,2005,0,106400,0,0,279,0,0,0,279,279,106679,95483,24630,0,0,43935,50474,30501,25844,0,0,0,0,0,0,0,0,0,0,0,0,,106679,106679,0,0,0,0,0,0,0,11196,0,0,0,0,0,0,0,13434,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,263,1,2006,N,10007-2233,10007.0,116042353200609.0,1160423532006.0,9,263.0,59.0,264.0,125 BARCLAY ST,9.0,0.0,NEW YORK CITY,3.0,WILSON SOUFFRANT,2.0,13.0,0.0,10.0,1381.0,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,5.0,195708.0,1502 NY LOC NYC BROOKLYN MUSEUM EMP,NY,rtf06co,1.0,2.0,2.0,1.0,,,,A50,,A,A,O,O,AR,A,A,IN,,AR,AR,AR,0.3056,36061.0,5602.0,5600.0,,PC,O,AR,A,IN,,A50,A,712110.0,90
