,EIN,TAXPER,CYCLE,DLN,DocCd,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,EOY,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,FIPS,MSA_NECH,PMSA,nteeFinal,nteeFinal1,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,Verifyby,fincheckv,VERIFY
5410,61551999,200906,200947,29491304079039,91,A68,N,Y,0,1,2008,2,3,3,3,0,25033,606,0,0,0,2325,0,8150,27964,24879,3085,22547,606,606,47553,0,0,0,0,0,47553,0.0,2189,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,606,2931,16729,0,14397,0,2325.0,1612,0,0,47553,0,47553,12,0,0,0,0,0,0,0,0,12,44447,0,606,0,1164.0,1467,3237,14397,10373,16085,21879,62734,0,0,0,0,0,0,0,0,0,0,1459,1057,1381,1859,5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,61551999200906,615519992009,rtf08pf,9,12,0,10463.0,JOYCE DUTKA ARTS FOUNDATION INC,JOYCE DUTKA,PO BOX 630053,BRONX,NY,10463-0800,0.0,3.0,1.0,200004.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6,,36005.0,5600.0,PMSA,A1261,A,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.72678,B,,,
6187,66356055,200812,200950,29491332060109,91,A40,N,Y,0,1,2008,3,6,6,3,91,0,0,210934,30821,0,0,20000,3304672,241755,3357109,-3115354,3304672,221037,199215,4552288,1280842,0,1447490,2728332,3000,4029515,0.0,299183,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,241755,210934,52437,20718,0,20718,11719.0,82191,0,1400000,4029515,0,4549288,2210,0,0,15874,0,0,0,0,13664,2210,6074783,296973,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,66356055200812,663560552008,rtf08pf,8,-13664,0,10118.0,THE STEPHEN HAHN FOUNDATION,ISRAELOFF TRATTNER & CO,350 5TH AVE STE 1000,NEW YORK,NY,10118-1000,0.0,3.0,1.0,199108.0,1.0,4.0,91.0,0.0,0.0,2.0,1.0,0.0,1.0,12,HAHN STEPHEN R TTEE,36061.0,5600.0,PMSA,A40,A,A40,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.2682,B,,,
6420,112538932,200812,200925,29491157338119,91,,N,Y,0,1,2008,3,4,3,3,40,0,7740,0,0,0,0,0,45610,7740,45845,-38105,45610,7740,0,162800,100000,0,0,100000,0,161490,0.0,8905,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,7740,0,235,0,0,0,0.0,0,0,0,161490,0,162800,77,0,0,0,0,0,0,0,0,77,180814,8828,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,112538932200812,1125389322008,rtf08pf,8,77,0,10021.0,RICHARD H GOLDMAN MEMORIAL FOUNDA TION,,150 E 69TH ST APT 7G,NEW YORK,NY,10021-5704,0.0,3.0,1.0,198107.0,1.0,4.0,40.0,0.0,0.0,2.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A80,A,A80,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.22154000000000001,C,,,
6443,112587802,200908,200945,29491290029219,91,,N,Y,0,1,2008,3,1,0,3,90,0,0,0,0,0,0,0,0,0,124,-124,0,0,0,17,0,0,0,0,124,17,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,124,0,0,0,0.0,17,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,112587802200908,1125878022009,rtf08pf,9,0,0,10150.0,TOP HAT DANCERS INC,HARRY V SCOTT JR,PO BOX 241,NEW YORK,NY,10150-0241,0.0,3.0,1.0,198112.0,1.0,4.0,90.0,994.0,92.0,1.0,1.0,0.0,1.0,8,,36061.0,5600.0,PMSA,A62,A,A62,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.59614,A,,,
6525,112801382,200806,200910,29491052040049,91,,N,Y,0,1,2007,3,1,0,3,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,450,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,112801382200806,1128013822008,rtf08pf,8,0,0,11206.0,THE MOVEMENT INTERFACE RESEARCH INSTITUTE INC,,54 BOERUM ST APT 11N,BKLYN NY,NY,11206-2418,0.0,3.0,1.0,198702.0,1.0,4.0,124.0,209.0,0.0,1.0,1.0,0.0,1.0,6,,36047.0,5600.0,PMSA,A70,A,A70,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.90865,C,,,
6565,112864409,200902,200933,29491199073109,91,,N,Y,0,1,2008,3,1,1,3,602,0,119,0,0,0,0,0,300,119,365,-246,365,54,54,5379,0,0,0,0,0,5379,0.0,265,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,119,119,65,65,65,65,65.0,5379,0,0,5379,0,5379,0,0,0,0,0,0,0,0,0,0,5379,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,112864409200902,1128644092009,rtf08pf,9,0,0,10075.0,THE PHILIP KAPLAN CULTURAL FOUNDATION INC,,445 E 80TH ST APT 4A,NEW YORK,NY,10075-0603,0.0,3.0,1.0,198709.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,0.0,1.0,2,,36061.0,5600.0,PMSA,A1220,A,A122,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.25219,B,,,
6590,112942428,200812,200918,29491094076099,91,,N,Y,0,1,2008,3,1,2,3,90,13600,0,0,0,0,0,0,0,13600,21106,-7506,0,0,0,70,0,0,0,0,0,70,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,21106,0,0,0,0.0,70,0,0,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,112942428200812,1129424282008,rtf08pf,8,0,0,10122.0,PODVAL ARTS AND POETRY GALLERIES LTD,V MOLOT ESQ,225 W 34TH ST STE 1504,NEW YORK,NY,10122-0049,0.0,3.0,1.0,198903.0,1.0,4.0,90.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A70,A,A70,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.28199,A,,,
6596,112945662,200812,200940,29491115023049,91,A20,N,Y,0,20,2008,3,1,1,3,90,400,0,0,0,0,0,0,0,400,0,400,0,0,0,2256,0,0,0,0,0,2256,0.0,110,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0.0,742,0,0,0,0,2256,0,0,0,0,0,0,0,0,0,0,2256,110,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,112945662200812,1129456622008,rtf08pf,8,0,0,11361.0,SHOSTAKOVICH CULTURAL PROGRAM INC,,3316 214TH ST,BAYSIDE,NY,11361-1624,0.0,3.0,1.0,198901.0,1.0,4.0,90.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,36081.0,5600.0,PMSA,A20,A,A20,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.10883,B,,,
6638,113027025,200812,200933,29491213004189,91,A23Z,N,Y,0,1,2008,3,1,1,3,119,0,1,240,0,0,0,0,326,241,1261,-1020,701,0,241,8602,0,0,0,0,0,6485,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,241,241,935,560,375,560,0.0,331,0,5482,6485,0,8602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,113027025200812,1130270252008,rtf08pf,8,0,0,10021.0,SJMS HUMANITIES ARTS AND SCIENCES CHARITY INC,MELVIN ROSEN,340 E 74TH ST,NEW YORK,NY,10021-3737,0.0,3.0,1.0,199108.0,1.0,4.0,119.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A70,A,A70,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.26166999999999996,A,,,
6641,113028110,200812,200929,29491136047169,91,,N,Y,0,1,2008,3,0,3,3,429,0,0,0,0,0,97947,0,1250,97947,105552,-7605,0,0,0,0,0,0,0,0,0,0,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,104302,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,113028110200812,1130281102008,rtf08pf,8,0,0,10024.0,LAC HONG MAGAZINE,DIEN THOAI,309 W 78TH ST,NEW YORK,NY,10024-6543,0.0,3.0,2.0,199203.0,1.0,4.0,429.0,120.0,408.0,1.0,1.0,0.0,1.0,12,,36061.0,5600.0,PMSA,A33,A,A33,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.09297000000000001,A,,,
6684,113121207,200802,200911,29491059020009,91,A60Z,N,Y,0,1,2007,3,4,1,3,122,0,0,0,0,0,0,0,0,1,0,1,0,0,0,101510,0,0,0,0,75962,101510,0.0,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0.0,0,0,0,101510,0,25548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,113121207200802,1131212072008,rtf08pf,8,0,0,10022.0,B KING PRODUCTIONS INC,STARR & CO,850 THIRD AVE,NEW YORK,NY,10022-6222,0.0,3.0,1.0,199402.0,1.0,4.0,122.0,0.0,0.0,1.0,1.0,0.0,1.0,2,,36061.0,5600.0,PMSA,A60,A,A60,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.19168,B,,,
6691,113131714,200812,200924,29491143387009,91,A99Z,N,Y,0,1,2008,3,1,1,3,560,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,113131714200812,1131317142008,rtf08pf,8,0,0,11419.0,PEACE UNITY AND PROSPERITY FOUNDATION INC,SARITA SACHOEUA,9554 111TH ST,RICHMOND HILL,NY,11419-1023,0.0,3.0,1.0,199607.0,1.0,4.0,560.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,36081.0,5600.0,PMSA,A99,A,A99,A,PF,S,AR,A,A,IN,,1,AR,AR,AR,0.52678,B,,,
